"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
 306,"*kùkùpí", 945,"swan","лебедь","kukupji","kùkùfí","kugui (arch.)","","","","","","","JLTT 462."
 307,"*táká",2253,"falcon","сокол","taka","táká","tàka","táká","táka","","","","","JLTT 538."
 308,"*pàtuâ",1646,"pigeon","голубь","patwo","fato","háto","hàtô","ható","","","","","JLTT 402."
 309,"*tùrû",2276,"crane","журавль","turu","tùrú","tsúru","tsùrû","tsurú","","","","","JLTT 557."
 310,"*kàmə́mái (~-ia)", 732,"gull","чайка","kamame","kàmómé","kàmome","kàmòmé","kamomé","","","","","JLTT 436."
 311,"*pipa",1647,"siskin","чиж","","","hiwa","","","","","","","JLTT 412."
 312,"*kara-su", 816,"crow","ворона","karasu","kàrásu","kàrasu","kàràsù","karásu","","","","","JLTT 439. Accent relations are quite unclear."
 313,"*tùmpá-mái ( ~ -ia)", 308,"swallow","ласточка","tubame","tubame","tsùbame","tsùbàmé","tsubamé","","","","","JLTT 552."
 314,"*kàsàsákì",1893,"magpie","сорока","kasasak(j)i","kasasaki","kàsasagi, kasásagi","kàsàságì","kasasagí","","","","","JLTT 441."
 315,"*pə̀tə̀tə́kí-sù",1693,"cuckoo","кукушка","p(w)ototogjisu","fòtòtógísù","hototógisu","hótótógìsù","hototogísu","","","","","JLTT 416."
 316,"*kàmuâ", 950,"duck","утка","kamwo","kàmò","kámo","kàmô","kamó","","","","","JLTT 436."
 317,"*sika",2095,"deer","олень","sika","","shìka, shíka","shíkà","shiká","","","","","JLTT 523. Significant accent variation in dialects does not allow to reconstruct a common accent pattern."
 318,"*sisi",1973,"deer","олень","sisi","","","","","","","","","JLTT 527."
 319,"*bəsə ( ~ -ua)",2512,"otter","выдра","","woso","uso","","","","","","","JLTT 512."
 320,"*pànà-",1870,"to chop off","отрубать","pana-","fànà-","hané-","háné-","hané-","","","","","JLTT 684. The accent in Kagoshima is irregular."
 321,"*pítú-nsí", 136,"sheep","овца","pjituzi","fítúzí","hìtsuji","hítsújí","hitsúji","","","","","JLTT 411. The word may indeed have *usi 'ox' (with secondary voicing) in the second part, but Martin's analysis of the first part as *pi 'beard' seems hardly credible (in Kor. jəm-so the first part is also etymologically "goat", not "beard")."
 322,"*kùmà", 814,"bear","медведь","kuma","","kumá","kúmà","kumá","","","","","JLTT 463."
 323,"*bə̀sákí, *ùsákí", 193,"hare","заяц","usakji, OJ East. dial. wosagji","ùsági","ùsagi","ùsàgí","usagí","","","","","JLTT 564, JOAL 116-118."
 324,"*múi ( ~ *mə́i)",1322,"snake (6th Zodiac sign)","змей (6 знак зодиака)","\Imi\i","\Imi\i","mì","\Imī̂\i","mí","","","","","JLTT 476."
 325,"*kání", 783,"crab","краб","kani","kání","kàni","kání","káni","","","","","JLTT 437."
 326,"*pírámái (~-miá)",1624,"fluke, plaice","камбала","p(j)iram(j)e","","hìrame","hìràmé","hiráme","","","","","Tokyo and Kagoshima point unambiguosly to high tone, while Kyoto accent is irregular."
 327,"*sàkâi (~-ia)",1896,"salmon, white-fish","кета, сиг","","sàkè","sáke","sàkê","sáke","","","","","JLTT 517. Accent in Kagoshima is irregular."
 328,"*kamasu", 744,"sea pike","морская щука","","","kàmasu, kamasú","kámású","kamasú","","","","","Kagoshima and Tokyo favour the reconstruction *kàmású or *kàmàsù; the Kyoto accent, however, is quite irregular."
 329,"*púká",1614,"shark","акула","","fúká","fùka, fuká","fúká","fúka","","","","","JLTT 417."
 330,"*pùnâ",1664,"crucian","карась","puna","fùná","fúna","fùnâ","funá","","","","","JLTT 418."
 331,"*mùná(n)kí",1254,"eel","угорь","munagji","mùnágí","ùnagi","ùnàgí","unagí","","","","","JLTT 562."
 332,"*nàmà(n)tù",1207,"sheat-fish","сом","","nàmàdù","nàmazu","námàzù","namazú","","","","","JLTT 492. The Tokyo accent is aberrant (pointing rather to LHH)."
 333,"*pə̀taru ( ~ -ua-)",1860,"firefly","светляк","p(w)otaru","fotaru","hótaru","hótàrù","hotarú","","","","","JLTT 415. Accent correspondences are not quite clear, but in any case point to a low tone in the first syllable."
 334,"*mìmìnsúkù",1381,"Ledra auditura Walker","кобылочка японская (цикадка)","","","mímizuku, mimízuku","mìmìzúkù","mimizukú","","","","",""
 335,"*múkátai (~-tia)",1332,"centipede","многоножка","","múkádè","mùkade","mùkádè","mukáde","","","","","JLTT 487. Accent is not quite clear: most dialects (including RJ) point to high tone on the first two syllables, but Kyoto suggests rather *mùkátài."
 336,"*pìrû",1778,"water leech","пиявка","p(j)iru","fìrú","híru","hìrû","hirú","","","","","JLTT 408."
 337,"*tə̀m-",2345,"dragon-fly","стрекоза","","tombau, tombo","tòmbo","tòm̀bó","tombó","","","","","JLTT 550."
 338,"*kuà",1149,"basket","корзина","kwo","kò","","","","","","","","JLTT 453."
 339,"*sùm-",2150,"1 violet 2 Prunus sallicina Lindley (a k. of plum)","1 фиалка 2 вид сливы","sumjire 1, sum(w)om(w)o 2","sùmíre 1, sùmómo 2","sùmire 1, sùmomo, sumómo 2","sùmírè 1, sùmòmó 2","sumiré 1, sumomó 2","","","","","JLTT 534."
 340,"*mínái",1498,"mountain top","вершина горы","mjine","míné","mìne","míné","míne","","","","","JLTT 480."
 341,"*síwá",2171,"wrinkle","морщина","siwa","síwá","shiwa","","","","","","","JLTT 528."
 342,"*pukusi", 105,"digging stick","палка-копалка","pukusi","","","","","","","","","JLTT 417."
 343,"*túm-", 298,"to pluck (with fingers)","срывать, хватать (пальцами)","tum-","túm-","tsùm-","tsúm-","tsúm-","","","","","JLTT 775."
 344,"*kúa", 926,"child","ребенок","kwo","kó","kò","kṓ","kó","","","","","JLTT 452."
 345,"*(d)ìpià",2621,"house","дом","ipje","ìfè","ié","íè","ié","","","","","JLTT 421."
 346,"*pə̀-pə́ (~-ua-)",1855,"cheek","щека","p(w)op(w)o","fòfó","hóo, hóho","hóò","hóo","","","","","JLTT 414. The Kyoto and Kagoshima accent contradicts the old records and the Tokyo evidence: this is probably due to contraction."
 347,"*múná-i",1345,"ridge (of roof)","конек (крыши)","mune","múné","muné","múné","múne","","","","","JLTT 488. The Tokyo accent is irregular (mùne would be expected)."
 348,"*pátá",1719,"side","край, сторона","pata","fátá","hàta","hátá","hatá","","","","","JLTT 401. Accent in Kagoshima is irregular."
 349,"*kə̀m(p)ùrá (~-ua-)",1012,"calf (of leg)","икра (ноги)","","kòmùrá, kobura","kòmura, kómura","kómùrà","komúra","","","","","JLTT 456. Tonal correspondences are not quite clear."
 350,"*pùkùpùkùsi",1577,"lung(s)","легкие","pukupukusi","fùkùfùkùsi","","","","","","","",""
 351,"*suán-tài",2563,"sleeve","рукав","swode","sódè","sòde","sódé","sóde","","","","","JLTT 529. Modern dialects point rather to *suántái, but the RJ form must be more archaic. Note also OJ \Iso\i 'cloth, dress' - which is marked as \Iso\i in JB, but in fact could have also been swo (see Martin ibid.)."
 352,"*kúrá-p-",1088,"to consume, eat","есть, пожирать","kura-p-","kúráf-","kùra-","kúrá-","kurá-","","","","","JLTT 716."
 353,"*sùn-kata",2076,"form, shape","форма, вид","sugata","sùgàtá","súgata","súgàtà","sugatá","","","","","JLTT 532. A compound with *kátà 'form, shape'."
 354,"*ùrù-p-",2516,"to soak, wet","мокнуть","urup(w)op-","ùrùf-","uruó-","úrúó-","uruó-","","","","","JLTT 780. Accent in Kagoshima is irregular."
 355,"*sə́sə́-k- (~ -ua-)",2159,"to pour","лить","s(w)os(w)ok-","sósók-","sòsog-, sosóg-","sósóg-","sosóg-","","","","","JLTT 756."
 356,"*ùwá-", 652,"to be hungry","голодать","uwa-","ùwá-","ué-","ùè-","ué-","","","","","JLTT 777. Accent in Kagoshima is irregular, but all other dialects and RJ point to *ùwá-."
 357,"*sùk-",1957,"to like","любить, нравиться","","suk-","súk- 'to like', sùk-as- 'to quieten'","sùk-, súkás-","sùk-, sukás-","","","","","JLTT 758. The causative differs in tone from *sùk- and may actually reflect a different original root."
 358,"*mə́tə̀-mə̀",1290,"the most","самый","m(w)ot(w)om(w)o","mótòmò","móttomo","móttómó","mottómo","","","","","Accent correspondences are rather uncertain; but the evidence is for the most part in favour of high tone on the first syllable."
 359,"*ə̀tə", 650,"younger brother","младший брат","oto, otopji","òtòùtò","otṓto","ótṓtó","otṓto","","","","","JLTT 513."
 360,"*sátuá",2566,"adopted parents, tutors","приемные родители, воспитатели","","sátó","sàto","sátó","sátò","","","","",""
 361,"*kə̀tə̀, *kə̀tə̀-pà", 501,"word, speech","слово, речь","koto, koto-ba","kòtò, kòtò-bà","kotobá","kótòbà","kotobá","","","","","JLTT 459."
 362,"*kínsú", 981,"scar","шрам, рана","kjizu","kízú","kìzu","kízú","kízù","","","","","JLTT 452."
 363,"*nùa",1489,"field","поле","nwo","no","nó","nṑ","nò","","","","","JLTT 499."
 364,"*màmuà-r-",1364,"to guard, protect","защищать, охранять","mamwor-","màmòr-","mamór-","mámór-","mamór-","","","","","JLTT 720. Accent in Kagoshima is irregular."
 365,"*sámà",1943,"form, shape","форма, вид","sama","sama","samá","sámà","sáma","","","","","JLTT 517."
 366,"*nà-r- / *nà-s-",1446,"1 to be born, become 2 to bear, bring forth","1 рождаться, становиться 2 рождать, создавать","nar- 1, nas- 2","nàr- 1, nàs- 2","nár- 1, nás- 2","nàr- 1, nàs- 2","nàr- 1, nàs- 2","","","","","JLTT 733."
 367,"*súk-",2170,"to be transparent","быть прозрачным","","súk-","sùk-","súk-","súk-","","","","","JLTT 758."
 368,"*túpí",2264,"finish","конец, в конце","tupji","túfí","tsúi(-ni)","tsúi(-ni)","tsuí(-ni)","","","","","JLTT 554. Modern accentuation is not quite clear (probably due to the adverbial status of the word)."
 369,"*pə̀ ( ~ *puà)",1703,"spike, ear (of grain)","колос","p(w)o","fò","hó","hṓ","hó","","","","","JLTT 413. RJ and Tokyo point to low tone, but Kyoto and Kagoshima are aberrant."
 370,"*kákì", 741,"fence","забор","kakji","kákjì","kakí","kákì","káki","","","","","JLTT 434."
 371,"*ìpùa", 583,"hut","хижина","ip(w)o, ip(w)ori","ìfò, ìfòrì","ìo(ri)","íórí","ióri","","","","","JLTT 425. Modern dialects reflect rather *ípúa - but RJ has quite explicitly both ìfò and ìfòrì."
 372,"*túa",2466,"door","дверь","two","tó","tò","tṓ","tó","","","","","JLTT 547."
 373,"*pái",1645,"hearth; household","очаг; домашнее хозяйство","pe","fé","","","","","","","","JLTT 403."
 374,"*párì",1711,"cross-beam","балка","","fárì","harí","hárì","harí","","","","","JLTT 399. The Kagoshima accent is irregular (*hári would be expected)."
 375,"*pátà",1832,"loom; cloth","ткацкий станок; ткань","pata","fátà","hatá","hátà","háta","","","","","JLTT 401."
 376,"*túrí-(n)kə́i",2392,"ceiling beam","потолочная балка","","túrígí","tsurigi","","","","","","",""
 377,"*kùisì ( ~ -ə̀i-)", 891,"bank, shore","берег, край","kisi","kìsì","kishí","kíshí","kishí","","","","","JLTT 451. Kyoto has an irregular accent (*kíshì would be expected)."
 378,"*kiátá ( ~ *káitá)", 740,"beam, cross-beam","балка, поперечный брус","k(j)eta","keta","kèta","kétá","ketá","","","","","JLTT 448. The Kagoshima accent is irregular (kéta would be expected)."
 379,"*síkímí",1998,"threshold","порог","sikjimji","síkímí","shìkii","shíkíí","shikíi","","","","","JLTT 523. Modern shikii is actually a merger of OJ síkjíimjí 'threshhold' and sikiwi (attested only in MJ) 'rush plant'."
 380,"*sík-",1952,"to litter, strew","расстилать","sik-","sík-","shìk-","shík-","shík-","","","","","JLTT 751."
 381,"*kápà", 993,"river","река","kapa","káfà","kawá","káwà","káwa","","","","","JLTT 445."
 382,"*bà", 139,"place","место","\Ipa\i 'edge'","bà","bà","bà","bà","","","","","JLTT 390. All sources except Tokyo point to low tone. A rare case of preservation of *b- (which normally gives OJ w-), probably for syntactic reasons - the word is usually employed in genitive constructions, *-nə ba > *-mba > ba."
 383,"*(d)ìtí",2589,"market","рынок","iti","ìtí","íchi","ìchí","ichí","","","","","JLTT 428."
 384,"*tàmùruá",2323,"plot; camp","участок; лагерь","tamura","tàmùró","tamuró, támuro","támùrò","tamuró","","","","","JLTT 541. Dialects reflect a variation between *tàmùruá and *tàmùruà."
 385,"*múrà",1279,"village","деревня","mura","múrà","murá","múrà","múra","","","","","JLTT 488."
 386,"*suki",2131,"village","деревня","sukji","","","","","","","","",""
 387,"*nùsí",2709,"master","хозяин","nusi","nusi","núshi","nùshí","nùshí","","","","","JLTT 502."
 388,"*kùrì-dà", 808,"kitchen","кухня","kurĳa","kùrìjà","kùrĳa","kúríjá","kurĳá","","","","","JLTT 464. The accent in Tokyo and Kyoto is irregular (pointing to *kúrí-dá), but Kagoshima together with RJ point to original low tone."
 389,"*kámá", 758,"stove","печь, очаг","kama, kama-dwo","kámá","kàma, kamado","kámá","káma","","","","","JLTT 435."
 390,"*táná",2219,"shelf","полка","tana","táná","tàna","táná","tána","","","","","JLTT 541."
 391,"*tə̀mə̀ (~-muà)",2463,"stern","корма","tom(w)o","tòmò","tomó, tómo","tómò","tómo","","","","","JLTT 549. The Tokyo variant tómo and Kagoshima tómo are quite irregular tonally."
 392,"*sárá",2139,"plate","тарелка","sara","sárá","sàra","sárá","sárà","","","","","JLTT 518. The form is sometimes considered to be borrowed from Sanskr. çarāva, which is rather dubious."
 393,"*sitənia",2548,"cushion","подушка","","sìtònè","shìtone","shítóné","shitoné","","","","","JLTT 528. The reconstruction of accent here is uncertain: RJ and Kagoshima point to *sìtə̀nià, while both Kyoto and Tokyo - to *sítə́niá."
 394,"*màsù",1302,"a measure (for grain)","мера (зерна)","masu","màsù","masú","másù","masú","","","","","JLTT 473."
 395,"*pùjàkà-", 158,"to swell (being immersed into water)","разбухать (в воде)","","","fuyaké-","fúyáké-","fuyaké-","","","","","JLTT 797. The MJ accent is unattested. Kyoto and Tokyo point to original low tone, but Kagoshima is aberrant."
 396,"*kánáransu", 746,"necessarily, certainly","обязательно","kanarazu","kánárazu","kanarazu","","","","","","","Formally kanarazu is a negation of kanari 'enough' ('not enough' > 'necessarily'). The latter is not attested in RJ, and the modern dialects speak rather in favour of *kànárì."
 397,"*una-kas-",1534,"to urge, force","заставлять, принуждать","","ùnàgás-, únákas-","unagás-, ùnagas-","únágás-","ùnàgàs-","","","","","JLTT 779 (Martin gives also the meaning 'bend the neck', obviously deriving the form from unag- 'hang around the neck' - but, as far as we know, this meaning is not attested anywhere, and the relationship is not evident at all). Accent reconstruction is not clear (both high and low tone variants are attested)."
 398,"*túkì",2378,"cup, vessel","чашка, сосуд","tukji","túkì","(saka-)zuki","","","","","","","JLTT 554."
 399,"*túr-",2414,"fishing (with a rod, angle)","рыбная ловля","tur- `to fish'","túrí","tsùri","tsúrí","tsúri","","","","","JLTT 556. One has to suppose a rather natural semantic development: 'to fish with a net' > 'to fish (in general)' > 'to fish with a rod, to angle'."
 400,"*túrú(m)pài",2263,"bucket, pail","ведро, бадья","turub(j)e","túrúbè","tsùrube","tsùrúbè","tsurúbe","","","","","JLTT 557. A rare accent class in MJ: HHL; its modern reflexes are not quite clear."
 401,"*sùr(u)ì",1970,"a bamboo box for travelling","бамбуковая коробка для путешествий","suri","sùrì","","","","","","","","JLTT 534."
 402,"*pátà",1611,"flag, banner","флаг, знамя","pata","fátà","hatá","hátà","háta","","","","","JLTT 401."
 403,"*piwa-",1659,"to mince, cut into small slices","размельчать, резать на мелкие куски","pjiwa-","","","","","","","","","JLTT 688."
 404,"*kàsi",1028,"fetters, shackles","оковы, кандалы","kasi","kasi, kase","káse","kásé","kasé","","","","","JLTT 441. Tokyo and Kagoshima point to *kàs(a)í or *kàs(a)î, but Kyoto points to *kás(a)í (the word is not attested in RJ)."
 405,"*sùsû",2121,"soot","сажа","susu","sùsú","súsu","sùsû","susú","","","","","JLTT 535."
 406,"*nuki",1173,"cross-beam","балка, поперечная рейка","","nuki","nuki","","","","","","","Usually analysed as a deverbative from *núk- 'to pass through' - but external evidence shows that this is rather a folk etymology."
 407,"*nátá",1461,"hatchet","топорик","","","nàta, natá","nátá","nátà","","","","","JLTT 494."
 408,"*písí, *pisi(n)k-",1768,"1 fish-fork 2 to break up","1 двузубые вилы, острога 2 разбивать, раздавливать","","físí 1, físíg- 2","hishi 1, hishíg- 2","híshíg- 2","hìshìg- 2","","","","","JLTT 690. In *pisi(n)k- RJ has high tone, but all modern dialects point rather to *pìsì(n)k-."
 409,"*pàpákí",1838,"broom","метла","papakji","fàfákí","hṑki, hṓki","hō̂kì","hōkí","","","","","JLTT 414. Dialects show some tonal variation, but all point to a low tone in the first syllable."
 410,"*kàtànà", 483,"knife","нож","katana","kàtànà","kataná, katána","kátànà","kataná","","","","","JLTT 443."
 411,"*sə̀jà",2188,"arrow","стрела","soja","sòjà","\Isoya\i","","","","","","","JLTT 531. May be a compound with ja `arrow', but \Iso \ialone is not attested."
 412,"*sùsí",2155,"a k. of meal","вид блюда (рис с уксусом)","susi","sùsí","sushí, súshi","súshì","sushí","","","","","JLTT 535. Dialectal reflexes point to variants *sùsí and *sùsì."
 413,"*kuà", 567,"flour","мука","kwo","kò","kó","kō̌","kò","","","","","JLTT 453."
 414,"*sùmí",2110,"inner angle","внутренний угол","sumji","sùmí","súmi","sùmí","sumí","","","","","JLTT 533."
 415,"*nə̀mpú- (~-ua-)",1435,"to spread","расстилать","n(w)obu-","nòbu-","nobé-","nòbè-","nòbè-","","","","","JLTT 736."
 416,"*sintai (~-ia)",2025,"tassels tied to sacrifices","тесемки, привязываемые к приношениям божеству","","\Iside\i","shide","","","","","","","Formally derived from *sinta- `to let hang down', but etymologically hardly separable from Mong. seter."
 417,"*kìnú", 763,"silk; cloth, robe","шелк; одежда, платье","kjinu","kìnú","kínu","kìnú","kinú","","","","","JLTT 451."
 418,"*pákúa",1613,"box","ящик","pakwo","fákó","hàko","hákó","háko","","","","","JLTT 397."
 419,"*nə́mì",1430,"cypress bark used for preventing boat leaking, boat caulking","кипарисовая кора, используемая для предотвращения течи в лодке","","nómì","","","","","","","","JLTT 500 (also giving variants noma, nome)."
 420,"*tìnkìr-",2339,"to tear (into pieces)","разрывать, отрывать","","tigir-","chigír-","chígír-","chìgìr-","","","","","JLTT 767."
 421,"*tánka",2602,"hoop, rim","обруч","","","tagá","tágá","tága","","","","","JLTT 537."
 422,"*bà", 159,"wheel","колесо","wa","wà","wá","wā̌","wà","","","","","JLTT 567."
 423,"*kúrà",1036,"saddle","седло","kura","kúrà","kurá","kúrà","kurá","","","","","JLTT 464. The accent in Kagoshima is irregular."
 424,"*tùkà", 285,"handle","ручка","tuka","tùkà","tsuká","tsúkà","tsúka","","","","","JLTT 554. Tone in Kagoshima is irregular (all other evidence points to *tùkà)."
 425,"*na",2659,"blade","лезвие","\Ina\i","","","","","","","","","JLTT 490."
 426,"*kúsàpì", 862,"wedge, brace, clinch","клин, скоба, шпонка","","kúsàfì, kúsàbì","kùsabi","kúsábí","kusabí","","","","","JLTT 465. The word has a rare accent structure HLL."
 427,"*kùpá", 850,"mulberry tree","тут, тутовое дерево","kupa","kufa","kúwa","kùwá","kuwá","","","","","JLTT 468."
 428,"*dapara-",2689,"soft","мягкий","japara-ka-","jáfárá- / jàfàra-","yawaráka-","yáwárákà-","yawaraká-","","","","","JLTT 575. Accent is not quite clear: RJ has a variation; the adjective seems to point to low tone (and thus reconstructed in JLTT), but the noun *dapara (Tokyo yàwara, Kyoto yáwárá) presupposes rather *dápárá (but Kagoshima here also has yawará < *dà-)."
 429,"*pújù", 157,"winter","зима","puju","fuju","fuyú","fúyù","fúyu","","","","","JLTT 419."
 430,"*kúsárì", 890,"chain","цепь","kusari; kusar- 'to be linked, chained together'","kúsárì","kùsari","kúsárí","kusári","","","","","JLTT 466. Modern dialects point rather to *kúsárí."
 431,"*sítáp-",2023,"to be anxious, to miss, to care","заботиться, скучать, любить","sitap-","sítáf-","shìta-","shítá-","shitá-","","","","","JLTT 753."
 432,"*tərə- ( ~ ua)",2443,"languid, slack, remiss","вялый, медленный","","toro-","toro-","","","","","","","JLTT 842."
 433,"*maju(a)-",1321,"to go astray","сбиваться с пути","maju-p- / majwo-p-","majof-","mayó-","máyó-","mayó-","","","","","JLTT 722. Accent reconstruction is not clear: either *májúa- (Kyoto-Kagoshima, with deviation in Tokyo) or *màjùa- (Tokyo-Kyoto, with deviation in Kagoshima); the word is unfortunately absent in RJ."
 434,"*kəp(u)i ( ~ -ua-)", 533,"swelling of feet","опухание ног","","kofi","","","","","","","",""
 435,"*tuju", 292,"dew","роса","tuju","tuju","tsuyu","","","","","","","JLTT 558. There is considerable confusion of three words in Japanese: a) RJ tùjú, Tokyo tsúyu, Kyoto tsúyú, Kag. tsúyu 'dew'; b) RJ tújù, Tokyo tsúyu, Kyoto tsúyù, Kag. tsuyú 'juice'; Tokyo tsùyu, tsúyu, Kyoto tsúyú, Kag. tsúyu 'early rainy season'. It seems that there had existed several original words but their dialectal reflexes got hopelessly mixed up."
 436,"*tútú-(n)ká",2328,"illness caused by ticks","болезнь, вызываемая клещами","","tútúgá","tsutsuga","","","","","","","JLTT 558."
 437,"*símí",1963,"pock-mark; stain","оспина, веснушка; пятно","simji","","shìmi","shímí","shími","","","","","JLTT 524."
 438,"*níkuá- / *níkí-",1392,"mild, soft (in part. of heart, soul)","мягкий, добрый (в частн. о сердце, душе)","nikwo-, nikji- (nikji-tama)","níkó-, níkí-","","","","","","","","JLTT 497."
 439,"*úntú-m- ( < *mú-)",1246,"to dig, bury","копать, хоронить","udu-m-","údú-m-","ùzume-","ùzùmè-","uzumé-","","","","","JLTT 782. Accent in Kyoto is irregular."
 440,"*kìtà-nà-",1035,"dirty","грязный","kjita-na-","kita-na-","kitaná-","kítánà-","kitaná-","","","","","JLTT 832."
 441,"*tíná-m-", 237,"be related, connected","быть связанным, иметь отношение к","","tíná-m-","chinám-","chínám-","chinám-","","","","","JLTT 767. The Tokyo accent is irregular (*chìnam- would be expected)."
 442,"*sua",2133,"hemp","конопля","swo","","","","","","","","","JLTT 529."
 443,"*úr-",2531,"to sell","продавать","ur-","úr-","ùr-","úr-","úr-","","","","","JLTT 779."
 444,"*kùnkù-tú", 961,"a k. of doll","вид куклы","","kùgùtú","kugutsu","","","","","","","JLTT 462. In OJ kugutu is attested with the meaning 'satchel worn at the belt'; JB derives it from kugu 'a k. of grass' and suggests that dolls were carried in such satchels. Even if it they were, it is highly probable that the name of the satchel is derived from 'doll', and not vice versa; the connection with "kugu-grass" is highly dubious."
 445,"*ə́sə́-",1555,"late","поздний","oso-","ósó-","òso-","ósò-","óso-","","","","","JLTT 839."
 446,"*pàtàr-",1620,"to collect (taxes etc.)","собирать (налоги), взимать","patar-","fàtàr-","","","","","","","","JLTT 685."
 447,"*tàmà",2304,"pearl, jade","жемчуг, яшма","tama","tàmà","tamá","tàmá","tamá","","","","","JLTT 539. The Kyoto accent is not quite regular (pointing rather to *tàmá)."
 448,"*nàmià",1487,"slippery, smooth","скользкий, гладкий","namje","nàmè","naméraka","námérákà","nameraká","","","","","JLTT 492."
 449,"*(d)íká(n)ta",2226,"raft","плот","ikada","íkáda","ìkada","íkádá","ikáda","","","","","JLTT 422."
 450,"*pəta",1674,"log","полено","","fota","hota","","","","","","","Accent unknown."
 451,"*asi",1566,"reed, rush","тростник","asi","ásí","áshi","àshí","ashí","","","","","JLTT 385. Original accent is not quite clear: modern dialects point to *àsí, but RJ has ásí."
 452,"*i(m)pu-sia-", 410,"in bad spirits, bad-mooded","в дурном настроении, расстроенный","ibuse-","ibuse-","","","","","","","","JLTT 829."
 453,"*nàpài",1209,"sprout","росток","\Inape\i","nàfè","náe","nàé","naé","","","","","JLTT 490. Both Tokyo and Kyoto point to a variant *nàpái (Kagoshima is ambiguous)."
 454,"*sápa",2011,"1 bog, marsh 2 to dip; to smear with lacquer","1 болото 2 окунать; мазать лаком","safa 1","sáfá 1, safa-s- 2","sawá 1, sawas- 2","sáwà 1","sáwa 1","","","","","JLTT 520, 748. Modern dialects point unanimously to *sápà, but RJ shows high tone in the 2d syllable."
 455,"*sàpí",1931,"a k. of hoe","вид мотыги","sapji","sàfí","","","","","","","","JLTT 516 (but the hypothesis of Jpn. < Kor. < Chin. is groundless)."
 456,"*sàwùa",2063,"pole","шест, жердь","sawo","sàwò","saó","sáò","saó","","","","","JLTT 518."
 457,"*sìmpá ~ *símpá",1919,"firewood","дрова, хворост","siba","sìbà, sìbá","shìba, shíba","shìbá","shibá","","","","","JLTT 522. Most forms point to *sì(m)pá, although a variant *sí(m)pá may be also postulated on the basis of Tokyo shìba."
 458,"*sə̀npá",2672,"side","бок, сторона","","sòbá","sóba","sòbá","sobá","","","","","JLTT 529."
 459,"*sá- / *sə́-",2042,"back","спина","\Ise\i \I(so-)\i","sé","sé","\Isē̂\i","sé","","","","","JLTT 521. High tone in Tokyo is irregular."
 460,"*sípína",2066,"ear of corn","пустой колос","","sífína","shiina","","","","","","",""
 461,"*sápár-",2191,"to touch","трогать","","sáfár-","sàwar-","sáwár-","sawár-","","","","","JLTT 748."
 462,"*kur-",1165,"to delve","долбить","","kur-","kur-","","","","","","",""
 463,"*mə̀k-",1271,"to pull out","вырывать, отрывать","","mòk-","móg-","móg-","móg-","","","","","JLTT 726. RJ and Tokyo point unambiguosly to low tone; accent in Kyoto and Kagoshima is most probably influenced by the Tokyo form."
 464,"*kàtai", 487,"provisions, food for travelling","провизия, запас пищи","kate","kate","káte, katé","kátè","katé","","","","","JLTT 444. Without the RJ evidence it is somewhat difficult to reconstruct accent on the 2d syllable; however, all accent reflexes seem to point to low tone in the 1st syllable."
 465,"*tùk-",2267,"to pound","молотить","tuk-","tùk-","tsúk-","tsùk-","tsùk-","","","","","JLTT 774."
 466,"*túk-",2368,"to poke, thrust","засовывать, протыкать","tuk-","túk-","tsùk-","tsúk-","tsúk-","","","","","JLTT 773."
 467,"*túk-",2422,"to hit, strike, beat","бить, колотить, ударять","tuk-","túk-","tsùk-","tsúk-","tsúk-","","","","","Homonymous with *túk- 'to poke, thrust', but written differently and probably different etymologically."
 468,"*súr-",2186,"to rub, whet, polish","тереть, точить, полировать","sur-","súr-","súr-","sùr-","sùr-","","","","","JLTT 759. Modern dialects reflect *sùr- - due to a merger of *súr- 'rub' and *sùr- 'print, close up' which are clearly distinguished in RJ."
 469,"*tùkúsi", 318,"horse-tail","хвощ","","","tsùkushi","tsùkúshì","tsukushí","","","","",""
 470,"*tə̀kərə",2421,"yam","ямс","tokoro","tòkòrə  / tòkóro","tokoro","","","","","","",""
 471,"*kárà", 996,"shell","скорлупа","","kárà","kará","kàrá","kára","","","","","JLTT 438. The Kyoto accent is aberrant (*kárà would be expected)."
 472,"*sai ( ~ sia)",1966,"beloved one","возлюбленный","\Ise\i","","","","","","","","","JLTT 521."
 473,"*mitua",1289,"pudenda","гениталии","mjitwo","","","","","","","","",""
 474,"*ùnàr-", 668,"to howl, weep","выть, рыдать","","","unár-","únár-","ùnàr-","","","","","JLTT 779."
 475,"*púnkúri",1666,"testicles","testiculi","","fúgúri","fuguri (dial.)","","","","","","","JLTT 416."
 476,"*dəjə-",2626,"to speak badly (of old persons without teeth)","плохо говорить (о беззубых стариках)","jojom-","","","","","","","","",""
 477,"*sùnà-tər-",2112,"to fish","ловить рыбу","suna-tor-","sùnà-tòr-","sunador-","","","","","","","JLTT 759."
 478,"*kupi-(mpi)su", 835,"heel","пятка","kupjipjisu","kúbísù, kúfísù","kùbisu, kìbisu","kúbìsù","kubísu","","","","","JLTT 461. Original accent is not quite clear: Kyoto points rather to LLL, Tokyo and Kagoshima - to HHH, while RJ has an exceptional type HHL: this is all probably due to the elision of a medial syllable."
