"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
 138,"*sogta-",2101,"to get drunk","пьянеть, напиваться","soɣta-, soɣtu- (L 723)","soxta- (HY 35, SH), ṣoxta- (IM), suqta- (MA)","sogto-","hogto-","soktə-","soGtū","sodo-, sudo-","soxte-","sorto- (Тод. Даг. 164), sogetō, soretō 'a drunk' (MD 211)  soretu-","soGtō-, soGdō-","soGdō- (SM 351), sdō-","","KW 329-330, MGCD 603."
 139,"*ǯil-", 361,"fish glue","рыбий клей","ǯilaɣan","ǯil-sün (MA)","","","ǯalān 'Schleim'","","","ǯilsoŋ 'glue'","","","ǯulsə 'glue'","","KW 107, MGCD 555."
 140,"*kön-ǯile",2743,"blanket","одеяло","könǯile (MXTTT)","konǯile (HY 23), koanǯile (SH), kənǯəle (LH)","xönǯil","xünžel","könǯḷ (КРС)","könǯil (Тод. ЯМВМ)","guanǯulie (Тод. Дн.)","","","","gwənʒ́ilen (SM 138)","könǯilä (Ramstedt 1906)",""
 141,"*baga",  89,"young, small","молодой, маленький","baɣa (L 67)","","baga","baga","baɣə","baGa","","","bage (MD 117)","baʁa","","","KW 28, TMN 1, 213."
 142,"*hutuɣa",1833,"1 smoke 2 to smoke, fumigate","1 дым 2 дымить","utuɣa(n), utaɣa(n) (L 889)","","utā(n) 1, uta- 2","utā(n)","utān","utā","fudu- 2","","xutā 1 (Тод. Даг. 180), xoto- 2","hdā, χdā 1, χdu- 2","","","KW 452, MGCD 676, 682, 683."
 143,"*büse", 171,"belt","пояс","büse (L 151)","buse (HY 23, SH), busä (IM), busä̆ (MA), būse (Lig.VMI)","büs(en)","behe","büsə","büse","pišie","\Ise\i","bese, buse (Тод. Даг. 126, MD 122)","pəsē","puʒə, busə (Huzu)","","KW 69, MGCD 179. Mong. > Evk. buse, see Doerfer MT 94."
 144,"*beri-", 122,"1 daughter-in-law, bride 2 wife of the elder brother","1 невестка, невеста 2 жена старшего брата","beri 1, bergen 2 (L 99)","beri (SH, HY 29) 1, berigen (SH, IM), berigan (HY 28) 2","ber 1, bergen 2","beri 1, berigen 2","berə 1, bergṇ 2","bere 1, bergen 2","bieri 1, beGen 2 (Тод. Дн.)","vere 1 (Тод. Бн.)","beri (beŕ) 1, berigen 2 (Тод. Даг. 126, MD 122)","","beri, jeri 'épouse, femme' (SM 25, 492), bergen (SM 25) 2","bɛiri 1 (Weiers)","KW 42, TMN 1, 198, 209. Mong. > Evk. berigei etc., see Doerfer MT 101, Rozycki 29."
 145,"*debi-",2231,"1 to wave, flap, winnow 2 fan","1 махать, веять 2 веер","debi-, debis-, debüs-, debül- 1,  debigür 2 (L 238, 239, 240)","","deve- 1, devǖr 2","deje- (Alar) 1, debǖr 2","\Idew-\i 1, dewǖr 2","","","","deuse- 1 (Тод. Даг. 136); delbur (Тод. Даг. 136) 2","","d(w)ēsə-, d(w)ēli- (SM 68)","","KW 90. Cf. also WMong. degüli-, Khalkha dǖlle- 'to jump, leap' (L 245)."
 146,"*(h)alču-",  23,"1 knucklebone 2 depression on the side of an anklebone","1 лодыжка, щиколотка 2 выемка, впадина в лодыжке","alču, alčuŋɣai 2 (L 29)","","alc 'вогнутая сторона бабки, верблюд (название положения игральное кости' (БАМРС)","","alcə 1","alčaG 'голень'","","","","","","","KW 8. See also Дыбо 1993. Mong. > Tat. alču etc. (ЭСТЯ 1, 144-145); Manchu alču, Neg. alčụxān etc. (ТМС 1, 34; see Doerfer MT 115, Rozycki 15)."
 147,"*kilga-su",1027,"horse's hair, tail hair","лошадиный волос, волос хвоста","kilɣasu(n) (L 466)","qilɣasu (MA), kilqasun (SH)","x́algas","xilgāha(n)","kilɣəsṇ, kiləɣsṇ","kilGasu(n)","","","kilgās, kirgās (Тод. Даг. 150)","","ćirGāʒə","qilɣasun","KW 231, MGCD 352. Mong. > Evk. kilgāsun, see Doerfer MT 126."
 148,"*kulki",1156,"ear-wax; middle ear","ушная сера; среднее ухо","qulki (L 984), quluɣu","","xulxi, xulga","xulxa, xolxi","xulxə, xuĺxə","xuluGu(n)","","","xoĺgi (Тод. Даг. 177; MGCD kolig)","","xoŋGo (SM 171)","","KW 196, MGCD 389."
 149,"*seri-",1946,"to wake; notice","просыпаться; замечать","\Isere-,\i seri- (L 689)","seri- (HY 35, SH), sere-ba 'to feel, sense' (HY 33), \Isere-\i (SH), siri-, sä̆ri- (MA), sīr- (IM)","\Isere-\i","heri-","ser-","\Isere-\i","šieri-","\Isere-\i","\Isere-\i (Тод. Даг. 163, MD 211)","ser-","sari- (SM 327), (MGCD serə-)","serä-","KW 325, MGCD 600. Mong. > Evk. seri- etc. (see Doerfer MT 38, Rozycki 178)."
 150,"*beje", 115,"body, person, self","тело, личность, сам","beje (L 94)","beje (HY 45, SH), bäjä (IM), bĭjä̆, bĳä-du (MA)","bĳe","beje","\Ibī,\i bījə","bĳe, beje","beĳe","","bej(e) (Тод. Даг. 125)","bəi","bīje (SM 26), (MGCD) buje","","KW 47, MGCD 147. Mong. > Yak., Dolg. beje 'self' (Kał. MEJ 40, Stachowski 57)."
 151,"*daba-", 364,"cross (a mountain)","переваливать (через гору)","daba- (L 211)","daba-, daba'an (SH)","dava-","daba-","\Idaw-,\i dawān","dawa-","dava-","","dawa-, dau-, dawā (n.) (Тод. Даг. 134, MD 133)","dawa-","dawā- (SM 47)","","KW 80, MGCD 184. All languages also reflect the derivate *daba-ɣan\I \i'mountain pass'. Mong. > Chag. taban 'mountain pass' (see Щербак 1997, 203)."
 152,"*hünir",1679,"1 smell 2 to smell","1 запах 2 пахнуть","ünür (L 1010), ünir 1","xunir, xunor, xuŋši'ut (pl.) (SH), xunir (HYt), hujir (IM), hunir (MA) 1, hunir 1, hunis- 2 (MA)","üner 1","üner 1","ünṛ 1","ünir 1","funi 1","hun-de- 2","xūnu- 1 (Тод. Даг. 179)","honər, honor 1","funir 1, funis- 2 (SM 108)","","KW 458, MGCD 695."
 153,"*büri", 169,"all, each","каждый, все","büri (L 148)","buri (SH, HYt)","bür","büri","bürə","büri","","","","burən","\Ibu\i (SM 30), \Ibur,\i burən","","KW 67, MGCD 178."
 154,"*heɣe-",1774,"to heat, be heated","греть, палить; греться","ege-, egege-, egsi- (L 296, 297, 300)","xe'u- (SH)","ē-","igā-  'греть (о солнце), греться (на солнце)'","ē-","ē-","šie-","hē-","š́ē- (Тод. Даг. 183)","hī-","xē- (SM 166), śē-","","KW 130, MGCD 248. Cf. also *heg-či-, WMong. egči-, Kalm. ekčə- id. (KW 118)."
 155,"*alku-",  22,"to step","шагать","alqu- (L 34)","alqu- (MA 99)","alxa-","alxa-","alxə-","alxu-","hanku","xalGə-, (MGCD) halGolə-","alku-, alxu- (Тод. Даг. 120), aleku- (MD 112)","alGə-","(x)arGu- (SM 13), (MGCD) xalGula-","","KW 7, MGCD 105."
 156,"*(h)očki-n",1609,"spark","искра","oči(n) (L 599)","","\Ioč\i","ošo(n)","očṇ","oči","očin","oken","","","śʒ́un, fuʒ́un","ukin; ZM očkä (18-3b)","KW 291. Mong. > Turk. učkun 'spark' (see Лексика 368-369; not attested in OTurkic)."
 157,"*mören",1335,"river","река","mören (L 548)","muren (HY 2, SH), murän (MA)","mörön","müre(n)","mörṇ","mörön","moren, moran","moroŋ","\Imure\i (Тод. Даг. 155, MD 192), mur (Тод. Даг. 155)","merēn, merēm","murōn (SM 250)","","KW 267, MGCD 298, 492. Mong. > MTurk. mürän 'river' (TMN 1, 506, Щербак 1997, 206). The MMong. form in LHa - merän - is certainly not enough to reconstruct PM *meren, as attempted by Doerfer (TMN 1, 507) (cf. -ö- or -ü- in  other sources). This is obviously done in order to attack the traditional etymology of the word, which nevertheless still holds."
 158,"*tuwra, *turuɣu",2404,"1 hoof 2 lower hard part of hoof","1 копыто 2 нижний край копыта","turuɣu, taura, tuɣurai 1; tuɣur(a) 2 (L 839)","turu'un (HY 15), tar (IM) 1, turwun (Lig.VMI), turu (MA)","tūr, tūraj, turū 1","turū(n) 1","turūn 1; tūr 2","tūrǟ 1","","","torō (Тод. Даг. 168) 1","turūn 1","","","KW 412, 413, MGCD 649. Cf. also tujila- 'to hit with hooves, feet (of a horse)'."
 159,"*melteji-",1294,"to fill, overflow","наполнять, переполнять","melteji- (L 535)","","meltĳ-","meltɨ-","meltǟ- (КРС)","","","","","","","",""
 160,"*tolui",2395,"reflecting surface, mirror","отражающая поверхность, зеркало","tolui, toli(n) (L 821)","toli (HY 21), tūli (Lig.VMI), tuluj (MA)","toĺ","toli","tolə","toli 'metal mirror'","","","toli (Тод. Даг. 168, MD 225: 'a round iron object used by shamans')","tōlə","tōlə","","KW 399, MGCD 639, TMN 1, 274. Mong. > Evk. tōlē̂n etc., see Doerfer MT 82, Rozycki 210; Chag. toli (Lig. VMI 69)."
 161,"*murui",1369,"awry, curve","кривой","murui (L 552)","muru, muri (IM), muri (MA)","muruj","muŕū","muŕū","murʷī","","","morčigui (Тод. Даг. 155: morčigoi)","","murī (SM 249)","","KW 269. Cf. also *molir (Kalm. mölr, Khalkha mölgör) < *moril 'round'."
 162,"*daka-, *daga-", 351,"to follow","следовать за к.-л.","daɣa- (L 216)","daqa- (HY 33, SH)","daga-","daxa-","daxə-","daGa-","daGa-","daGa-, (MGCD) degə-","daga- (Тод. Даг. 134), dahe (MD 131)","taʁa- (MGCD daʁā-)","daGā- (SM 38)","","KW 72, MGCD 189. The variant with -g- is obviously a result of later assimilation < *daka-."
 163,"*čeɣeǯi", 260,"breast","грудь","čegeǯi(n) (L 170)","če'eǯi (SH)","cēž","sēže","cēǯə, čēǯə","čēǯi","","","čēǯi (Тод. Даг. 181, MD 128)","čīǯ","śiǯan","čeiǯi (Ramstedt 1906)","KW 428, 438, MGCD 565."
 164,"*ködel-", 807,"1 to move 2 to work","1 двигаться 2 работать","ködel- 1, 2","kotɛlči 'servant' (IM), kudäl- (MA), kodol-, godol- (SH, HYt)","xödl- 1, 2","xüdel- 1, 2","ködl- 1, 2","ködöl- 1, 2","goǯielu-  1, 2","gudel-, gudal- 1","xudele- 1 (Тод. Даг. 179), hudele-, hudule- (MD 165)","gödöl-","gudoli- (SM 139) 1","kütäl 'work'","KW 235, MGCD 404."
 165,"*kebi-", 787,"to chew","жевать","kebi- (L 439)","kebi- (MA)","xeve- (Gomb.)","xibe- 'жевать (только о жвачных животных)'","kew-","kewe-","","","","kewə-","kēji- (SM 199), (MGCD kē-)","","KW 229, MGCD 348."
 166,"*boda", 176,"substance, matter, body","предмет, сущность, тело","boda (L 108)","bodo 1, 2 (SH)","bod","bodo","bodə","bodo","","","","","","","KW 48. Mong. > Evk. bodo. The root should be distinguished from *bodu 'cattle'.  Philosophical connotations may have been acquired under the influence of Sanskr. bhūta, but a direct loan from Sanskr. is hardly credible, despite Sukhebatar 40."
 167,"*silbi",2169,"shin, shin muscles","голень, мускулы у голени","silbi (L 705)","šilibi (HY 48), šilbi, šili (MA 178, 333)","šilbe","šelbe","šilwə","šilbi (šilbe)","","","šilem (Тод. Даг. 183)","","","","KW 357."
 168,"*mendü",1283,"sane, healthy","здоровый, целый","mendü (L 535)","mendü 'normal' (HYt)","\Imend\i","mende","mendə","möndü","","","","mȫndə","","","KW 261, MGCD 484. Mong. > Evk. mendu, see Poppe 1966, 197, Doerfer MT 127."
 169,"*beɣe-re-", 140,"be cold","зябнуть","begere- (L 94)","","bēre-","bēre-","bēr-","bēre-","","","bēre- (Тод. Даг. 126), bēde- (MD 120)","","","","KW 44, MGCD 147."
 170,"*gawr-su", 490,"1 chaff, straw 2 feather (usually for writing)","1 солома, мякина 2 перо (обычно для письма)","ɣaɣursu (L 344), ɣuɣursu (L 365), ɣuursu (L 371), ɣaursu 1, 2","","gūrs(an) 1, 2","gūrha(n) 2","ɣūrsṇ 1, 2","\IGūrsu\i 1","","","","gūrs 'pipe' (MGCD 302)","xụ̄rʒə (SM 185)","","KW 157. Mong. > Turk. qavursun, Kirgh. qaursu etc. (ЭСТЯ 5, 177)."
 171,"*nojir",1551,"sleep","сон","nojir (L 589)","nuir (MA), nojir (SH)","nojr","nojr","nȫr","noö̯r","no","nor","noir (Тод. Даг. 158), noire (MD 200)","nūr","nōr (SM 284)","noir, nɛir; ZM nāʔir (6-5a)","KW 280, MGCD 511."
 172,"*(h)ada-",1756,"1 to hurry 2 hurried walking","1 спешить 2 быстрый шаг","adaɣa- 1 (L 9), adam 2 (L 10)","","adga- 1","","adɣə-1, adm 2","","","","","","","","KW 1."
 173,"*bediɣün, *büdüɣün", 113,"thick","толстый","büdügün, bidügün (L 144)","bid[o]n (IM), bidun (MA)","büdǖn","büdǖn","büdǖn, bödǖn","büdǖn, bidǖn","biedun","beidoŋ","budūn (Тод. Даг. 128), budun (MD 126)","budǖn","budin (SM 31), bidun (Huzu)","beidǖn; ZM beidun (18-3a)","KW 66, MGCD 173. The South.-Mong. (Dong., Bao.), as well as Mog. beidǖn (ZM beidun) and the Manchu loanword bedun (see TMN 1, 234) indicate that the original vowel was *e (*bedi-ɣün), with subsequent assimilation in most dialects. Mong. > Yak. bödöŋ 'high'."
 174,"*nilaɣu",1474,"raw","сырой; приторный","nilaɣun (L 584: niluɣun)","","ńalūn","ńalū(n)","nilūn 'widrig; übelriechend (wie Fisch)'","nulūn","","","nilčun","","","","KW 276, MGCD 509."
 175,"*kemi",1055,"marrow, bone with marrow","костный мозг, мозговая кость","kemi (L 451)","","xim","","kemə","keme","","","","","","","KW 224. Cf. also WMong. kemtege 'bones near the hoofs of a horse' (L 452)."
 176,"*ǯiru-",1470,"1 scratch, draw, write 2 line, row","1 царапать, рисовать, писать 2 линия, ряд","ǯiru- 1 (L 1060), ǯirum 2 (L 1061)","ǯiru- (MA)","ʒura- 1, ǯuram 2","zura-","zur-","ǯuru- 1, ǯurā 2","","","ǯurī- (Тод. Даг. 145), ǯori- 'point to; draw ( a picture)' (MD 180)","","ʒ́ūri- (SM 95)","","KW 481, MGCD 464. Cf. Mongr. ʒ́arGə̄ 'ligne de démarcation entre deux champs' (83) and WMong. ǯiruqai. Mong. > Yak. suruj, Dolg. huruj- 'write' (see Kał. MEJ 23, Stachowski 113).  Mong. ǯiru-ɣa `line' > Man. ǯurgan id. (see Rozycki 128)."
 177,"*öl-",1567,"1 to be hungry 2 hungry","1 быть голодным 2 голодный","ölüs- 1, ölüŋ 2 (L 634)","oles- (HY 25, SH), əleso- (IM), uläs- (MA) 1, uləs- (LH), ulūs- (Lig.VMI)","öls- 1, ölön 2","üld- 1, ülen 2","öls- 1","ölödö- 1, öl 'hunger'","oliesu- 1","olos-, oləs- 1","(x)unsu- (Тод. Даг. 171 unsu-, 180 xunsu-), ulese- 1 (MD 232), ulsu- 1","öl 'hunger'","losə- (SM 226) 1","üläsu-; ZM olaṣ (6-2a)","KW 295, MGCD 541, 542."
 178,"*hir-",1747,"1 floor, ground 2 bottom 3 blade, edge (of knife) 4 edge, border, shore","1 пол, почва 2 дно 3 лезвие, острие (ножа) 4 острый край, берег","iruɣar, iruɣal 1 (L 415), ir 3 (L 412), irmeg 4 (L 415)","xiru'ar (HY 51), xira'ur (SH), hiruar, hirur (MA) 1","jorōl 2, ir 3, irmeg 4","ojōr 2, eŕ 3, erimeg 4","jorāl 2","irōl 2, īrmek","širo 1","holər 1","xigōr 1, xir 3 (Тод. Даг. 146: \Iir\i < lit.), šowōre, šigōre 2, šire 3 (MD 215)","horūl 1, hir 3, ermeg 4 ( < lit.)","ir 3 ( < lit.)","","KW 219, MGCD 411, 412, 740."
 179,"*(h)adag",1700,"end, lower part of stream","конец, устье, низ течения","adaɣ (L 9)","","adag","adag","adəg","adaq","","","","","","","KW 1."
 180,"*aǯi- / *ada-", 413,"1 household  2 work","1 домашнее хозяйство 2 работа","aǯi 1, aǯil (L 61) 2","","\Iaǯ\i 1, aǯil 2","ažal, adal 2","aǯəl 2","aǯi 2","","","aǯil (Тод. Даг. 118)","","","","KPC 29."
 181,"*al-dar",  26,"fame, honour","слава, почет","aldar (L 30)","aldar (SH)","aldar","aldar","aldṛ","aldar","","","aldar,aldūr (Тод. Даг. 120); aldartī, aligiən (MGCD), aledere 'news' (MD)","","","","KW 6, MGCD 102."
 182,"*möɣer-sü (-ŋ-)",1359,"cartilage, gristle","хрящ","möge(r)sü, möŋgürsü (L 545: mögeresü(n))","muqursun 'marrow, pith' (MA)","mögȫ(r)s, mȫrs","meŋgērhe(n)","mȫrsṇ","mȫrösü, mȫrös","","","muemči","","muŋgirʒə (SM 248), (MGCD mungərsə)","","KW 268, MGCD 489."
 183,"*küre- (*küri)",1090,"(dark) brown","коричневый, бурый","küreŋ, kürin, küren (L 505)","","xüren","xüri(n)","kürŋ̣","küriŋ, küreŋ","","","kurel (Тод. Даг. 151), (MGCD) xūrin","kureŋ","kurē 'tacheté à peau rayée' (SM 216)","","KW 248, MGCD 401, TMN 1, 463. Mong. > Evk. kurin, Man. kuri etc. (see Doerfer MT 80, Rozycki 147) > Kor. kurəŋ (mal), see Lee 1958, 119; > Oyr. küreŋ etc. (VEWT 310, ЭСТЯ 5, 146-147)."
 184,"*kol-ki-",1141,"to be restless, go round and round","вертеться, не сидеть на месте","qolkida- (L 959)","","xolxi-","xolxi 'shaky, wobbly'","xoĺgədə-","\IGolχido-\i","","","","","","","KW 182."
 185,"*dere(me)", 358,"pillow, cushion","подушка","dere (L 253), derem-deg","dere (HY 21, SH), dirä̆ (MA)","der(en)","dere","derə, derm-deg","dere","","","derbe (Тод. Даг. 136; MGCD dereb, MD 136: derebe) {}","dere","dere (SM 52), (MGCD dəre)","","KW 89, MGCD 218."
 186,"*kičig",1026,"puppy, young of dog","щенок","kičig","güčük (HY)","","","kičəg","","kiǯəu","","","gəčig","","","KW 233, MGCD 300. Evn. köčükēn, kučukēn 'sm, little child' (ТМС 1, 421) should be regarded as a loan < Mong."
 187,"*söɣel",2103,"wart","бородавка","sögel","","","","sȫl","sȫl 'ugly, unpleasant' (?)","","","","","","","KW 335."
 188,"*kisa-", 800,"to contract, shorten; to hamper, impede","сокращать, мешать, задерживать","kis(a)- (L 473: kisa-)","","x́as-","x́aha- 'to be greedy'","kis-","","","","","","","","KW 233."
 189,"*ǯil-",2620,"smooth, level","гладкий, ровный","ǯilim, ǯilum, (L 1055: ǯildam 'level')","","ǯildem","želeger","ǯilṃ","","","","","","","","KW 110."
 190,"*hana-",1726,"to trace, follow, be in wait for","следить, следовать, поджидать","\Iana-\i (L 42)","","\Iana-\i","","","","","","","","xana- 'se guérir' (SM 8)","","The Mongor variant ana- is < lit. Mong."
 191,"*(h)alir-su",  32,"1 chaff 2 fresh grass 3 blue-berry 4 bilberry, cranberry","1 кожура плодов, мякина 2 свежая трава, отава 3 черника, брусника 4 черника, клюква","alisu 1 (KW 22), alir-su(n) 4 (L 32)","","alirs 3","alirhan 2, 3","älsn. 1","","","","","","","","KW 22. Mong. > Evk. alersun, Man. alisun (Poppe 1966, 197, ТМС 1, 32, Rozycki 16)."
 192,"*daŋgi",2229,"root; origin, generation","корень; происхождение, поколение","daŋgi","","","","däŋgə","","","","","","","","KW 82."
 193,"*köb-čin",1123,"whole, all","целый, все, весь","köbči(n) (L 475)","gubčin (SH)","xövčin","","","gübčin","","","","","","",""
 194,"*nowur-",1514,"1 wool 2 down","1 шерсть 2 пух","noɣasu, noŋɣasu, nousu 1 (L 589: noɣusu(n)); noɣulur 2 (L 588: noɣulur, noulur, noluur)","nuŋqasu (SH) 1, unqasun 1 (МА)","nōs 1; nōrs, nōlūr 2","nōho(n) 1; nōlūr 2","nōsṇ 1; nȫlǖr 2","nōs 1, nōlūr, nūlūr 2","noGosun 1","noGosuŋ, noχsoŋ 1","","ŋGuasən, Guasən 1","nGuasə 1","","KW 279, 280, MGCD 509. Mong. noɣulur > Evk. lolur (see ТМС 1, 503)."
 195,"*aji-", 419,"1 sound, voice 2 to cry, speak loudly; to recite 3 melody, tune","1 звук, голос 2 кричать, болтать 3 мелодия","\Iai\i 1 (L 19), aji-la-, aji-da- 2 (L 20: ajilad- 'to perceive; to recite; to say'), aja 3 (L 22)","","ajlda- 2","ajlada- 2","\Iǟ\i 1, ǟl-,ǟd- 2","ajalGa 3","","","aila- 2 (Тод. Даг. 119, MD 111)","","ajaŋ 3","","KW 25. Mong. ajalɣu 'tune, tone' (L 23) > Chag. ajalɣu etc. (VEWT 11, TMN 1, 195-196)."
 196,"*hoj",1875,"1 wood, forest 2 mountain","1 лес 2 гора","\Ioi\i 1","xoi (HY 2, SH) 1","\Ioj\i 1","\Ioj\i","\Iȫ\i 1","öi 1","xoj 1","\Ixi\i 2","\Ioi\i (Тод. Даг. 159, MD 200)   ( < lit.)","","\Ifə̄\i (SM 99), xoj (Minghe) 1","","KW 303, TMN 1, 541-542."
 197,"*aɣuda-la-", 462,"to search, investigate, rummage","искать, рыться в чем-л.","aɣudala- (L 16)","","ūdla-","ūdal-","ūdḷ-","ūdala-","","","","","","audɔl- (Weiers); ZM oudal (24-9a) `investigation'","KW 454."
 198,"*duɣul-",2268,"listen","слушать, слышать","duɣul- (L 271)","dūla- (MA), du'ulqa- (SH) 'verkünden, bekanntgeben'","dūla-","dūla-","dūlɣə- (caus.)","dūl-","","","","","","","KW 104."
 199,"*čökü-", 329,"to lose all hope, to be a beggar","терять надежду, быть нищим","čökü-, čöküre- (L 201)","","cöxö-, cöxrö-","süxer-","cökə-, cökṛ-","ǯöχörölči-","","","čakaral 'утомление, усталость' (Тод. Даг. 180)","","ćugo 'eclipse'","","KW 431, 432."
 200,"*keŋsi-",2780,"1 to have a burnt taste or smell 2 smell of burning","1 иметь запах, вкус подгорелого 2 запах подгорелого","keŋsi- 1, keŋsigün 2","","xenši- 1, xenšǖ 2","xünšǖ 2","küŋšǖn 2","","","","kunšun 2 (Тод. Даг. 151)","","","","KW 246. Mong. > Man. kuŋšun."
 201,"*del", 378,"mane, crest","грива, холка","del (L 247)","del (HY 15, SH), dīl- (IM), dil (MA)","del","delben","del","del","","","dēlbur (Тод. Даг. 136) delin (MD 136)","del","","","KW 74, 85, MGCD 212."
 202,"*ǯuǯaɣan",2610,"thick","толстый","ǯuǯaɣan (L 1081)","ǯuǯa'an (HY 54, SH), ǯüǯa'an (HY 22), ǯuǯān (IM), ǯuǯa'ān, ǯuǯān (MA)","ʒuʒān","zuzān","zuzān","ǯuǯān","ǯuǯan","ǯiǯaŋ","ǯuǯān (Тод. Даг. 145), ǯuǯan (MD 180)","ǯuǯān","ǯuǯwān, ǯuǯān (SM 73)","ǯuǯɔn (Weiers); ZM ǯoǯān (18-3a)","KW 481-482, MGCD 461."
 203,"*kara-", 727,"1 to look 2 patrol, watch","1 смотреть 2 патруль, караул","qara- 1, qaraɣul 2 (L 932, 933)","qara- 1, qara'ul (SH) 2, qara- (MA, HYt) 1","xara- 1, xarūl 2","xara- 1","xarə- 1","xara- 1","","","xarāla- 1 (Тод. Даг. 174), xarōl 2","χarūl 2, χarəmul 'sight'","xarụ̄la- (SM 164), xarə- 1; xarəmul 'sight'","qara- 1 (Ramstedt 1906)","KW 169, MGCD 329, 331, 334. Mong. > Chag. etc. qara-, qarawul (see TMN 1, 401, Щербак 1997, 208; a backloan from Turkic is probably ZM qarawol (8-6a) 'vanguard'), ЭСТЯ 5, 288-289, 290-291."
 204,"*ǯiɣür", 405,"wing","крыло","ǯigür (L 1053)","ǯəu'ur (HY 15), ǯi'ur (SH), ǯebūr (Lig.VMI)","žigǖr < lit.","žegǖr < lit.","","ǯigǖr < lit.","","","","","ʒ́ār, ćār, sār","","KW 114."
 205,"*bari-", 108,"to take, hold","брать (руками), хватать","bari- (L 85)","bari- (HY 33, SH), bāri- (IM), bari- (MA)","bari-","bari-","bär-, bäŕ-","bari-","bari-","vār(ə)-","bari- (Тод. Даг. 125, MD 119)","\Ibar-\i","bari-, wari- (SM 22, 481)","bari-; ZM bari- (24-7b)","KW 38, TMN 1, 198, MGCD 143."
 206,"*dalba-", 370,"to be flat and wide","быть плоским и широким","dalbaji- (L 225)","dalba-ru (SH)","dalbaj-","dalba-","dalwǟ-","","","","","","","","KW 75."
 207,"*kuǯir", 819,"salty earth","солончак","quǯir (L 994)","qəǯər (IM)","xuǯir","xužar","xuǯr","xuǯir, Guǯir","","","xod́ir (Тод. Даг. 176; MGCD xoǯir)","χuǯir","xoʒ́ir 'soude' (SM 170)","","KW 195, MGCD 385. Mong. > Man. xuǯiri (see Doerfer MT 104, Rozycki 112 - but not Evk. \Ikudu).\i"
 208,"*ele-", 423,"to rub off, be rubbed off, to wear out","стирать, стираться","ele- (L 308)","\Iel-\i (HY 38), ēlä- (IM), ilä- (MA)","ele-","eĺe-","\Iel-\i","ele-","elie-","elə-","","","ilē- (SM 191)","","KW 119, MGCD 257."
 209,"*dolugana", 391,"hawthorn, mayflower","боярышник","doluɣana, doluɣuna, dolunu (L 260)","","dolōgono","dolōgono","dolānə","","","","","","","","KW 94. Mong. > Yak. doloɣon etc. (see TMN 4, 315, ЭСТЯ 3, 269-270, Лексика 123-124)."
 210,"*(h)asa-",  54,"to catch fire","загораться","asa- (L 55)","","asa-","\Iaha-\i","\Ias-\i","","","","","","","","KW 16."
 211,"*na-su(n)",1390,"age, year of life","возраст, год жизни","nasu(n) (L 566)","nāṣun (IM), nasun 'life' (MA), nasu-tu '...years old' (SH)","nas","naha(n)","nasṇ","nasu(n)","nasun","nasoŋ","nase (MD 195,Тод. Даг. 156), nas (Тод. Даг. 156)","nasən, nas","nasə (SM 260)","","KW 272, MGCD 501. Mong. > Evk. nasun, see Poppe 1966, 196, Doerfer MT 127."
 212,"*debte-", 372,"to soak, become wet","мокнуть","debte-, debtü- (L 239)","","devte-","debte-","deptə-","debte-","","","debte- (Тод. Даг. 135), derte-","debtē-","təbdē-, tudē- (SM 427)","ZM debtäl- `to make fall into the water' (15-3a)","KW 88, MGCD 210. Cf. MMong. (SH) debul- 'to boil'."
 213,"*köke", 897,"blue, green","синий, зеленый","köke (L 482)","koko (HY 41, SH), keuke (IM), kukä̆ (MA)","xöx","xüxe","kökə","göχö","kugie","koge, (MGCD) kugo","kuke (Тод. Даг. 151, MD 185)","hgö","kugo (SM 209)","kükä; ZM kukä (13-7)","KW 236, MGCD 378."
 214,"*kada", 699,"rock","скала","qada(n) (L 902)","qada (SH)","xad","xada","xadə","xada(n)","\IGada\i","","xada, xad (Тод. Даг. 172), \Ihade\i (MD 154)","\IGada\i","\IGadā\i (SM 114)","","KW 158, TMN 1, 393, MGCD 314."
 215,"*bur-gi- / *bür-gi-", 194,"to rise (of dust, smoke)","подниматься (о пыли, дыме)","burgi-(ra-) (L 138), bürgi-ni-","burqalix 'whirlwind' (SH)","burgi-","burja-, borjol- (Tsongol)","bürgn-, bürgəń-","burgila-, burgi-","","","","","puʒ́irā- (SM 306)","","KW 68. Mong. > Man. burgi-, see TMN 1, 227; > Turk. Uzb. burqira-n- 'клубиться, дымиться', Kirgh. burk-ura-, burgu- 'валить клубами', Nogh. burkɨ-ra- 'клубиться', Bashk. borqo- 'вздыматься (о пыли)', KKalp. burqɨ- 'валить клубами'."
 216,"*öwr",1580,"dawn","рассвет","ör (L 1010: ür, 1014: üür)","\Iur\i (MA 382)","ǖr","ǖr","ör","örö, ör","","\Ior\i","\Iur\i","ojir","ōr (SM 298)","","KW 298, MGCD 686."
