"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
 270,"*čẹke", 345,"1 temple  2 cheekbone","1 висок   2 скула","","(MKypch.) čeke 1 (At-Tuhf.)","","čigɛ 1","čeke 'back of head' (Vamb.)","čakka 1, 2","čekä 1","","","čekge 1, 2","","","","","čigə 1","","","","","čeke 1","šeke 1","šeke 1","sikä 1","","","čege 1","šeke 1","","čeke 1","VEWT 103, TMN 3, 87f, Егоров 326, Лексика 203.  Despite the lack of ancient attestation, the root is evidently archaic."
 271,"*büt-",1383,"1 to believe  2 sign, token","1 верить 2 знак","","büt- 1 (MK, KB)","","","büt- 1 (Pav. C.)","","püt- 1 (dial.)","","","","","püt- 1","büt- 1","","","\Ibit\i 2","","","","","","","","","","","","","","VEWT 93, EDT 298-299 (together with büt- 'finish'), ЭСТЯ 2, 279-280."
 272,"*bȫg, *bȫg-en, *bȫg-ček", 173,"1 insect 2 phalanx, tarantula 3 gad-fly 4 wolf","1 насекомое 2 фаланга, тарантул 3 слепень 4 волк","","bög, böj 2 (MK), bĳ 2 (MK - Oghuz)","böɣ 2, büɣe, büɣe-lek 3, böǯek 1,  (dial.) 4","böjɛ 2, böǯɛk 1","bew 2 (Sangl.)","bĳ 2","","","böv 2","mȫj 2, bĳ 2, mȫǯek 4","","","","","pъʷvan 3","","","","","\Ibȫ,\i böj, böjü, böjön 3","büji 2","bĳ 2, 'queen bee', böǯek 'beetle'","böjö 2, böǯäk 1","","böǯek 1","bĳ 2","mĳ 2","","mĳa 2","EDT 323, VEWT 82-3, Лексика 184. Partly contaminated with *böke-l 'gad-fly ' (v. sub *pi̯ŭ́k`í). The form in  -ček is a diminutive. Turk. > Hung. bögöly 'gad-fly', see Gombocz 1912."
 273,"*bakɨr", 142,"1 copper 2 patina","1 медь 2 налет, патина","baqɨr 1 (Yen., OUygh.)","baqɨr 1 (MK, KB)","bakɨr 1","baqɨr 1","baqɨr (MA, Pav. C.) 1","baqir, paqir 1","paqir 1","paqɨr 1","paxɨr 2","baqɨr 1","pāɣər (Kyz., Joki) 1","","baqras 'brass kettle'","","pъʷgъʷr 1","baɣaraχ 'pot for boiling milk'","","","","baqɨr 1","baqɨr 1","baqɨr 1","baqɨr 1","baɣɨr 1","baqɨr 1","baɣɨr 1","baqɨr 1","","baɣɨr 1","EDT 317, VEWT 58, ЭСТЯ 2, 45-46, Лексика 405-406. Turk. > WMong. baqar, baqur (Kalm. baχr), see KW 29, Щербак 1997, 104. Turk. > Russ. Siber. bakírka (Аникин 111-112)."
 274,"*jar-",2556,"1 to shine  2 to dawn  3 light 4 candle","1 светить 2 рассветать 3 свет 4 свеча","jaru- 1, jaruq 3 (Orkh., OUygh.)","jaru- 1, jaruq 3 (MK)","jarɨk 3 (dial.)","jarɨq 3 (dial.)","jarɨ- (AH), jaru- (Abush.) 1, jaruq 3 (Бор. Бад., Abush.)","jɔri- 1, jɔruɣ 3","joru- 1, joruq 3","","","jarɨq 3 (dial.)","čarɨ- 1, čarɨx 3","čar-, čarɨ- 1","\Ijar-,\i d́arɨ- 1, d́arɨq 3","","śor-da 4","sarā- 2 (but also sɨrdā-)","hɨrdā- 2","čɨrɨ- 1, čarɨq 3","","ǯar-, ǯarɨ- 1, ǯarɨq 3","žarɨq 3","jarɨq 3","jarɨq 3 (dial.)","ǯarɨq 3","","jarɨ- 1, jarɨq, jarɨx 3","žarɨq 3","jarux 3","jarɨq 3","EDT 956, 962, 963, ЭСТЯ 4, 134-135, VEWT 189 (there are hardly reasons to consider the Chuv. word a borrowing), Федотов 2, 145, Stachowski 119. Turk. (Bulg.?) > Hung. gyertya 'candle', see Gombocz 1912."
 275,"*jạr-",1440,"1 order  2 announcement, call 3 judge 4 law, justice","1 приказ 2 объявление, клич 3 судья 4 закон, правосудие","jar-lɨɣ 1,2 (OUygh.), jarɣan 3","jar-lɨɣ 1,2 (MK)","\Ijar,\i ǯar 2 (dial.)","\Ijar\i 2, jarlɨq 1","\Ijar\i 2 (Abush.), jar-lɨɣ 1,2 (Abush., Pav. C.)","jarɣu 4, dial. ǯar 2","ǯar 2","","ǯar 2 (dial.)","jarlɨq 1, dial. ǯar 2","","","d́ar 2","","śɨrlъx 1","","","čar 2","","ǯar 2","žar 2","","","","","","žar 2","","","VEWT 188-9, EDT 966-7, ЭСТЯ 4, 18-20 (one can hardly agree with Clauson that jarlɨɣ is a loan from an unknown source). Mong. loans from Turk. are widely spread: Mong. ǯar 'announcement', ǯarqu, ǯarɣu 'judgement, court', ǯarliq 'order', ǯarɣuči 'judge' (see TMN 1, 278, 4, 58-66, 157, Щербак 1997, 123)."
 276,"*Kün", 849,"people","народ","elgün (OUygh.)","\Iel\i kün (KB)","elgün (Osm. XIV c.)","","\Iel\i \Iwa\i kün (Sangl.), elgün (Pav. C.), elgün (Oghuz-nama), elgün 'goverment, realm' (Ettuhf.)","","","","","","","","","","","","","","","","","","","","","","","","","VEWT 309, TMN 3,656-7, Лексика 317, EDT 121-122, 725-726 (with doubts)."
 277,"*gǖŕ", 943,"autumn","осень","küz (Orkh., OUygh.)","küz (MK)","güz","köz","güz (Sangl.)","kuz","küz","kuz","güz-äm 'autumn wool'","gǖz","küs","küs","küs","","kəʷr","kühün","kühün","küs","küs","küz","küz","küz","köδ","küz","güz","küz","küz","","güz","VEWT 312, EDT 757, TMN 4,10, ЭСТЯ 3, 94-95, Лексика 75, Stachowski 164."
 278,"*geŋe-", 480,"1 to advise  2 advice","1 советовать(ся) 2 совет","keŋeš 2, keŋeš- 1 (OUygh.)","keŋe- 'to settle one's affairs with someone' (MK, KB), keneš 2, keŋeš- 1 (MK, KB)","gengeš- 1 (dial.)","kiŋäš 2","keŋeš 2, keŋeš- 1 (Abush., Sangl.)","","käŋäš- 1 (dial.)","keŋes- 1, keŋis 2","gänäš- 1 (dial.)","geŋeš- 1, geŋeš 2","","","keŋeš- 1 (Верб.)","","kanaš 2, kanaš-la- 1","","","","","keŋeš 2, keŋeš- 1","keŋes 2, keŋes- 1","keŋes 2","käŋäš 2","kengeš 'counsel'","","kenes, keneš 2, keneš- 1","keŋes 2, keŋes- 1","","gengeš 'counsel'","VEWT 253, EDT 727, 734, ЭСТЯ 3, 21-22, TMN 3, 613-614."
 279,"*umnɨ-t- (~ -mŋ-)",2523,"to forget","забывать","unɨt-, unut- (Orkh., OUygh.)","unɨt- (MK)","unut-","ŭnŭt-","unut- (Pav. C.)","unut-","unut-","unut-","unut-","unut-","undu-","","undu-, uŋdu-, uŋtu-","","\Iman-\i","umun-","umun-","ut-","","unut-","ŭmɨt-","umɨt-","ŭnŭt-","unut-","unut-","unut-","umɨt-","","unut-","EDT 179, VEWT 514, ЭСТЯ 1, 597-598, Stachowski 243 (reconstruction of  *-ŋ- is possible because of forms like Oyr. uŋtu-, Sag. uŋdu-)."
 280,"*jạr-ɨn",1439,"1 morning  2 tomorrow 3 next year","1 утро  2 завтра 3 следующий год","jarɨn 1 (Orkh.)","jarɨn 2 (MK)","jarɨn 2","","jarɨn 1, 2 (Ettuhf.)","jarɨn 3 (dial.)","","jarɨn 3","","","","","","","ɨran 2","sarsɨn 1","harsɨn 1","","","","","","jarɨn 3 (dial.)","","jārɨn 1, 2","","žarɨn 3","","","EDT 970, VEWT 190, ЭСТЯ 4, 147-148, Егоров 343, Лексика 80, Stachowski 97. Räsänen derives the stem from  *jar- 'to shine, glitter', but this is dubious both for phonetic reasons (OT has jaru- 'to shine', but jarɨn 'morning') and because of external evidence."
 281,"*ōp-",1601,"to suck, swallow","сосать, глотать","op- (Orkh.)","op- (MK)","","\Iup-\i","","","","","","","","","op-","","","uop-","uobu 'Bissen, Happen'","","","","op-","op-","\Iup-\i","","","op-","","","","EDT 4, VEWT 363, ЭСТЯ 1, 464-465,  269-273, Stachowski 243."
 282,"*sar(ɨ)",1891,"1 bird of prey, kite 2 a k. of falcon  3 starling 4 siskin","1 хищная птица, коршун 2 сарыч  3 скворец  4 чиж","","","sarɨ-ǯa 4","sarɨč 2","sar, sariča 1 (Pav. C.)","sɔr 2","sa(r) 1","sar 1","sar 2","sar 3","","","","","","","","sarɨ 2","","sarɨ 1","","","har 2","","","","","","","VEWT 402b, Лексика 170, ЭСТЯ 7."
 283,"*kömür",1142,"coal","уголь","kömür (OUygh.)","kömür (MK, KB)","kömür","kümer","kömür (MA, IM, Pav. C., AH), kimür (Abush.)","kụmir","kömü(r)","","kömür","kömür","kömər","","kömür","","kъʷmrъʷk","kömör","kömör","xömür","","kömür","kömər","kömər","kümer","kömür","kömür","","kömər","","kömür","VEWT 289 (relating the stem to köm- 'to bury, dig' seems rather dubious), ЭСТЯ 5, 102-103, Лексика 365, Stachowski 156."
 284,"*KAŋ-čɨk", 723,"1 bitch  2 female","1 сука   2 самка","qančɨq (OUygh.) 1","qančɨq (MK) 1","kanǯɨk 2","","qančɨq (Pav. C., Houts., Qutb.), qančuq (AH) 1","qɛnǯiq 1","qančuq, qanǯiq (dial.)  1","","\IGanǯɨG\i 1","\IGanǯɨq\i 1","","","","","","","","","","qančɨq 1","qanšɨq, qaŋšɨ 1","qanǯɨq 1","qansɨq, qansaj 1","","","","qanšɨq 1","","qančɨq 1","VEWT 230, ЭСТЯ 5, 255-256, Лексика 190. The original *-ŋ- is probably preserved in Kaz. qaŋšɨ."
 285,"*Kiaŕɨ",1045,"inner fat","брюшной жир","","qazɨ (MK)","","dial. qazɨ","","qɛzi","qezi","","","","xazɨ","","qazɨ","","jor-var 'скоромная пища'","qaha","","qazɨ","qazɨ","qazɨ","qazɨ","qazɨ","qaδɨ","","","","qazɨ","","","VEWT 243, ЭСТЯ 5, 189-190, Мудрак Дисс. 193-194, TMN 3, 359, EDT 681, Федотов 2, 491."
 286,"*dẹg-", 242,"1 to cost, to be worth 2 price 3 to change, exchange 4 allotment, portion 5 worth 6 change, exchange","1 стоить, быть достойным 2 цена 3 изменять(ся), обмениваться 4 доля (причитающееся) 5 достойный, положенный 6 перемена, обмен","teg-im 1, teg-im-lig 5, teg-ir 4 (OUygh.), teg-š-il-, teg-š-ür- 3 (OUygh.)","\Iteg-\i 1 (MK - ДТС), teg-ir 4 (MK), teg-iš 5 (KB), 'given in exchange' (MK), teg-š-üt 'exchange price' (MK), teg-š-ür-ül- 3 (KB)","deɣ- 1, dejer 2, deɣ-im (dial.) 2, dejiš 6, dejiš- 3","","(Xwar.) deg- 1, (OKypch.) deg-ir 2, teg-iš 2 (Sangl.), teg-iš- 3 (Sangl.)","","tegiš- 3","","däjär 2, däjiš- 3","deg- 1, degiš- 3","","","","","tivəś 'debt'","","","","","","","","","","dīš 6, dīš- 3","tĳ- 1, degiš- 3","","","tĳ- 1","EDT 482, 485, 487, 488, ЭСТЯ 3, 181-182, 179-180, Лексика 338. Usually regarded as a  development of *dẹg- 'to touch, reach', which is somewhat dubious semantically; external parallels also seem to indicate that the two roots are originally distinct."
 287,"*ȫl",1836,"1 moist, wet 2 marsh","1 влажный 2 болото","öl (Orkh., OUygh.)","öl (MK, KB) 1","öl 1, Osm. öl 'pool'","","öl (Pav. C.) 2, (Sangl.) 1","hụl 1","höl 'damp, moist'","","","ȫl, dial. hȫl 1","öl 1","ǖl 1","ül 1","hẹ̄̂l, hẹ̄l","vilə 1","üöl 1","","öl 1","öl 1","öl 1","","","","","","","höl 1","","","VEWT 371, Егоров 54, ЭСТЯ 1, 524-525, TMN 2, 161-2. The common Turk. derivative *öleŋ (ЭСТЯ 1, 527-528, Лексика 119) means 'rich grass' (hence Chuv. valem; > MMong. olaŋ, oleŋ (SH), WMong. ölüŋ, Kalm. ölŋ, see KW 295, TMN 2, 161, Щербак 1997, 165, 197)."
 288,"*ārɨ",1755,"wasp, bee","пчела, оса","","arɨ (MK)","arɨ","","arɨ (Sangl., Pav. C., Qutb), aru (AH)","ari, tukli ari 'humble-bee'","hɛrɛ","","arɨ","arɨ, ārɨ (ЭСТЯ)","ār, tüktig ār 'hornet'","","arū","hārɨ","təgəld-ora 'humble-bee' ? (təgəl 'shaggy')","ɨŋɨrɨa","","arɨ, Todzh. harɨ","","ārɨ","ara, tükti ara 'humble-bee'","","","","ārɨ","","hɛrre","","","VEWT 25, EDT 196-197, TMN 2, 47, ЭСТЯ 1, 186-187, Лексика 186, Ашм. XV, 23, Федотов 2, 213-214. Turk. > Mong. ari (not vice versa, despite Щербак 1997, 100)."
 289,"*ạ̄r-",1727,"1 to be tired, exhausted 2 to become lean","1 уставать 2 худеть","ar- (Orkh., OUygh.) 1","ar- (MK, KB) 1","ar- 1","ar- 1","ar- (Sangl., Abush., Pav. C., AH, Qutb, IM) 1","hɔri- 1, (Khor.) hār- 1","ar- 1","","arɨG (Adj.) 1","ār- 1","ar- 2","ar- 2","arɨ- 1","harqān, harqan (Ger.) 1","ɨr- 1","ɨ̄r- 2","","ar- 2","","arɨ- 1","arɨ- 1","arɨ- 1","arɨ- 1","arɨ- 1","","","harɨ- 1","","arɨ- 1","VEWT 22, ЭСТЯ 1, 160-162, EDT 193, Егоров 343."
 290,"*jāŕ",1476,"1 spring 2 summer","1 весна 2 лето","jaz 2 (Orkh., OUygh.)","jaz 2 (MK)","jaz 2","jaz 1","jaz (AH 1, Ettuhf. 2)","jɔz 2","jaz 2","jaz 1","jaz 1","jāz 1","čas 1","","jas, d́as 1","jāz 2","śor 1","sās 1","hās 1","čas 1","čaš 1","ǯaz 1","žaz 2","jaz 2","jaδ 1","zaz 2","jāz 2","jaz 1","žaz 2","jaz 1","jaz 1","VEWT 193, ЭСТЯ 4, 71, EDT 982, Лексика 73, Федотов 2, 138-139, Stachowski 100."
 291,"*ȫŕ",1606,"inside, the essential part","середина, внутренность, сущность","öz (Orkh., OUygh.)","öz (MK)","öz","üz","öz (Pav. C.)","ọz","öz","üz","öz","ȫz 'self'","","","üs","ẹ̄̂z","var","üös","üös","","","öz","öz","öz","üδ","","jöz","öz","öz","","öz","EDT 278, VEWT 376-7, ЭСТЯ 1, 506-512, Лексика 90, 117, Stachowski 252.  The word and its derivatives have a wide scope of meanings: 'middle' > 'heartwood, central crossbeam, pole' (*ȫŕek)."
 292,"*jǖŕ",1419,"face","лицо","jüz (Orkh., OUygh.)","jüz (MK)","jüz","jöz","jüz (MA, AH, Ettuhf.)","","jüz","jüz","üz","jüz","čüs","","jüs, d́üs","jīz","śъʷvar 'mouth'","sǖs 'forehead'","hǖs 'forehead'","","","ǯüz","žüz","jüz","jöδ","","jüz, üz","jüz, juź, jiz, iz","žüz","jüz, jiz","jüz","VEWT 213-4, ЭСТЯ 4, 259-260, Лексика 206, Мудрак Дисс. 154, Stachowski 117. Khalaj jīz  = Yak. sǖs prove that Turkm. jüz is secondary.   Turk. > MMong. (MA) jüz 'surface' (Щербак 1997, 196)."
 293,"*Ānt",  76,"oath","клятва","\Iant\i (OUygh.)","\Iand\i (MK)","\Iant\i (andɨ)","\Iant\i","\Iant\i","ɔnt","\Iant\i","","\Iand\i","\Iant\i","","","ant-ɨq- 'to take an oath'","\Ia:nd\i","","","","","","\Iant\i","\Iant\i","\Iant\i","\Iant\i","\Iant\i","","\Iant\i","\Iant\i","","\Iant\i","EDT 176, VEWT 20, TMN 2, 128, ЭСТЯ 1, 151. Original vowel length is proved by Turk., Az. -d."
 294,"*dȫrt",2262,"four","четыре","tört (OUygh.)","tört (MK)","dört","dürt","tört (Бор. Бад., Pav. C.)","tọrt","tö(r)t","dürt, türt","dörd","dȫrt","tört","tört","tört","","tъʷvadъ","tüört","tüört","dört","{dört}","tört","tört","dört","dürt","tört","dört","dört","tört","","dört","EDT 534, VEWT 495, ЭСТЯ 3, 284-286, Stachowski 235."
 295,"*bāj", 124,"1 rich, noble 2 many, numerous","1 богатый, знатный 2 много, многочисленный","baj 1 (Orkh., Yen., OUygh.)","baj 1 (MK, KB)","baj 1","baj 1, bajtaq 2","baj 1","bɔj 1","baj 1","päj 1","baj 1","bāj 1","paj 1","","baj 1, bajtaq 2","","pojan 1","bāj 1","bāj, bājdak, bājdɨk 1","baj 1","","baj 1","baj 1","baj 1","baj 1","baj 1","baj 1","baj 1","baj 1","","baj 1","EDT 384, VEWT 56, TMN 2, 259, ЭСТЯ 2, 27-29, 36, Лексика 304, 332, Федотов 1, 440, Stachowski 55, 56. Turk.  > Mong. bajan 'rich' (KW 29, Щербак 1997, 103), whence Evk. bajan etc. (TMN ibid., Doerfer MT 37)."
 296,"*īl-", 648,"1 to hang on (smth.) 2 hook","1 вешать (на что-л.) 2 крючок","\Iil-\i (OUygh.) 1, ilin- (refl.) (OUygh.) 1","\Iil-\i (MK) 1, ɨlɨn- (refl.) (MK) 1","dial. \Iil-\i 1, ilmek 2","\Iel-\i 1","ɨl- (Abush., Sangl.), ɨlɨn- (refl.) (Pav. C.) 1","\Iil-\i 1, ilmɔq 2","\Iil-\i 1, ilmaq 2, 'loop'","","ilmäk 2","īl- 1","əl-","","\Iil-\i 1, ilmek 2","","jъlъ, jъlmak 'loop'","īl- 1","","\Iil-\i 1","\Iil-\i 1","\Iil-\i 1, ilmek 2","\Iil-\i 1","\Iil-\i 1","\Iel-\i 1","ilin- (refl.) 1","","","\Iil-\i 1, ilmek 2","","\Iil-\i 1","VEWT 170, ЭСТЯ 1, 343-346, Егоров 73-74."
 297,"*KĀma-", 745,"1 become blinded, dumb 2 (set) teeth on edge 3 to be tired, pine, droop","1 слепнуть, глохнуть 2 набивать оскомину 3 уставать, изнемогать","qamaš- (Orkh.) 3","qama- (MK, KB) 1, 2","kamaš- 1","qamaš- 3","qamaš- (Pav. C., Бор. Бад., MA) 1, 2","qɛmɛš- 1","qamaš- 2","","\IGamaš-\i 1","\IGāmaš-\i 2","","","","","","","","","","qama- 2","qama- 2","qama- 2","qamaš- 2","","","","qamas- 2","","qama- 2","VEWT 228, ЭСТЯ 5, 242-243, 246-247. Cf. also Kirgh., Kaz. qam 'sorrow', Turkm. \IGam\i \IGajGɨ\i 'mischief, sorrow'. Turk. > MMong. (MA) qama- id. (see Щербак 1997, 197)."
 298,"*iāg-, *iāg-na-", 633,"1 to roll over, fall over 2 to climb over  3 to tumble 4 to turn over, capsize, let fall","1 падать, опрокидываться, свешиваться 2 перелезать 3 валяться, перекатываться 4 ронять, опрокидывать","aɣna- 3 (OUygh.)","aɣna- 3 (MK, KB)","aɣ- 1, aɣdɨr- 2, aɣɨn- 3","aw- 1, awdar- 4, awna- 3","aɣna- 3","ɔɣ- 1, ɔɣna- 3","aɣ- 1","aɣɨna- 3 (ЯЖУ 11)","aɣna- 3","āɣ- 1, 2, āɣ-dar- 4, āɣɨna- 3","aŋ-dar- 4","aŋ-dar- 4","aŋ-tar- 4, aŋ-da- (<*aŋ-na-) 3","hāɣa, hɔ̄ɣa  'back, in the back'","jъʷvan- 1, 4","āŋ-na- 3","","aŋda-r- 4, aŋda-š- 3","","ō- 1, ōna- 3","aw-dar- 4, awna- 3","av- 1, av-dar- 4, avna- 3","aw- 1, awdar- 4, awna- 3","aw- 1, 2, aw-la- 'to skim', awdar- 4, awna- 3","","avdar- 4, av-ɣa-la-n- 3","aw- 1, 2, awdar- 4, awna- 3","","av- 1, avdar- 4, av-la-n- 'to turn over, incline', avna- 3","EDT 86-87, VEWT 7, ЭСТЯ 1, 69-70, 73-76. Forms like aŋ-dar- are not quite clear - caus. from the refl. *iāg-ɨn- ? (but the refl. form is here not *iāg-ɨn- but rather *iāg-na-)."
 299,"*jɨ̄g-(la-)",1222,"to weep, cry","плакать","ɨɣ-la- (OUygh.)","ɨɣla-, jɨɣla- (MK), jɨɣla- (KB)","","jɨla-","jɨɣla- (Sangl.)","","aɣla-","jiɣla-","","āɣ-la-","ɨ̄","ɨlɣa-","ɨjla-","","","","","","","","žɨla-","","","zɨla-","","","žɨla-","","jila-","VEWT 8, ЭСТЯ 1, 79-81."
 300,"*d(i)ālak",2285,"spleen","селезенка","tal (OUygh.)","talaq (MK)","dalak","talaq","talaq (Sangl.)","talɔq","","","dalaG","dālaq","","","","","","tāl","","","","","talaq","talaq","talaq","talaq","dalaq 1; 'плавательный пузырь'","talaq","talaq","","talaq","VEWT 457, EDT 495, ЭСТЯ 3, 137-138, Лексика 279. Tat. > Chuv. talak."
 301,"*eg-", 415,"to bend","гнуть","eg- (OUygh.)","eg- (MK)","","","","","","","","eg-","","","","äj-, äjri","av-, aj-","iex-","iek-","","","","","","","","","","","","","EDT 99, VEWT 37, ЭСТЯ 1, 330-332, Егоров 19, Stachowski 122 (Yak. iex- < *eg-ik-)."
 302,"*ẹ̄r-", 686,"1 to reach 2 to pass","1 достигать 2 проходить мимо","\Ier-\i (OUygh.) 1, er-t- (OUygh.) 2","eriš- (MK) 1","\Ier-,\i dial. ēr-, ir- 1","ireš- 1","\Ier-\i (Pav. C., AH) 1, ert- (CCom) 2","eriš- 1","","","","","irt- 2","ert- 2","dial. eriš- 1, ert- 2","ẹ̄̂r- 1","irt- 2","irdē- 2","","","","","","","ireš- 1","","","\Ier-\i 1","eris- 1","","","ЭСТЯ 1, 288-289, 303, Федотов 1,172-173. Räsänen (VEWT 46) connects also PT *eriĺ- 'to contest, challenge' (ЭСТЯ 1, 293-294) - which, together with Mong. *eri- 'to seek, search' (HY \Iere-\i `to hope'), should be rather kept apart (possibly a separate PA root *erV). Turk. > Hung. ér- 'to reach', see Gombocz 1912."
 303,"*jEl(b)-", 381,"a k. of short coat","вид короткой куртки","","","jelek","ǯilɛn, ǯilbɛgɛj","jeläk  (Pav. C., Бор. Бад.)","ǯeläk","","","jeläk, jelän (dial.)","jelek (dial.), jelbegej","","","","","","","","","","ǯelek, ǯelbegej, dial. ǯelegej","želek, želeŋ, želbegej, želegej","jeleŋ","jelän, jelbägäj","","","jelek","želek, želeŋ, želbegej","","jelbegej","VEWT 196, ЭСТЯ 4, 177, 178."
 304,"*ẹ̄r", 467,"1 early 2 early in the morning 3 tomorrow 4 (morning sun) > sunny mountain slope","1 рано 2 рано утром 3 завтра 4 (утреннее солнце) > солнечный склон горы","\I[ir\i ~ \Ier\i 4, er-kenin,] erte 2 (OUygh.)","erte 2 (MK)","\Ier,\i erte 2","irtä 2","\Ier\i 1 (Bud.), erte 2 (Abush., Pav. C.)","erta 2","ä(r)tä 'morning'","erte 2","ertä 2","īr 1, erte 2","irte 'morning'","","erte 2","","\Iir\i 3","erde 1","erčin 1","erte 2","","erte 2","erte 2","erte 2","irtä 2","ertte 2","ierte 'next day'","erte 2","erte 2","","ertä 2","EDT 202-203, VEWT 46, ЭСТЯ 1, 302-306, 369-370, Егоров 70, Лексика 79, Stachowski 47."
 305,"*āŕ-", 465,"1 to go astray, lose one's way 2 to lose mind, go mad 3 to miss","1 сбиваться с пути 2 сходить с ума 3 упускать, промахиваться","az- 1 (Orkh., OUygh.)","az- 1 (MK, IM)","az- 1","az- 1","az- (Sangl., Houts., Pav. C., Qutb) 1","ɔz- 1","az- 1","az- 1","az- 1","āz- 1","\Ias-\i 1","\Ias-\i 1","\Ias-\i 1","hāz- 1","\Ior-\i 2","ās- 1, 3","","\Ias-\i 1","","az- 1","az- 1","az- 1","aδ- 1","","āz- (Дмитриев 1955) 1","az- 1","az- 1","","","EDT 279, VEWT 22, 33, 193, Федотов 2, 283, ЭСТЯ 1, 94-95."
 306,"*jēl-",1754,"to ride, trot","бежать (рысью), нестись","jel- (Orkh.)","jel- (MK, KB)","jel-","ǯil-","jel- (Pav. C., MA, Ettuhf.), jil- (AH)","jel-","","","jel-li `quickly'","jel-me `trot'","","čel-","jäl-, d́el-","","","siel-","","čel-","","ǯel-","žel-","jeli-","jel-","","","","žel-","","","EDT 918, VEWT 195, ЭСТЯ 4, 176-177."
 307,"*jālga-",2586,"to lick","лизать","jalɣa- (Orkh., OUygh.)","jalɣa-, jalva- (MK)","jala-","jala-","jala- (Pav. C., MA, AH, Ettuhf.)","jalä-","jala-","jalɣa-, jaɣla-","jala-","jāla-","čalɣa-","čalɣa-","jala-, d́ala-","jalɣa-","śula- / śъvla","salā-","halan-","čɨlɣa-","čɨlɣa-","ǯala-","žala-","jala-","jala-","","jala-","jala-","žala-","jala-","jala-","VEWT 182, EDT 926-927, ЭСТЯ 4, 87-88 (with Turkm. jala-), Федотов 2, 132, Stachowski 94. The deriving stem can perhaps be found in Turkish, Gag., Az. jal 'food, mash given to dogs, animals' (see ЭСТЯ 4, 85); cf. also *jalgak (ЭСТЯ 4, 90) 'dish for feeding animals'; *jalma- 'to lick' (ЭСТЯ 4, 95)."
 308,"*bōl-", 196,"to become","становиться","bol- (Orkh., OUygh.)","bol- (MK, KB)","ol-","bul-","bol- (Abush., Sangl.)","bụl-","bo(l)-","pol-","ol-","bol-","pol-","pol-","bol-","ộl-","pol-","buol-","buol-","bol-","","bol-","bol-","bol-","bul-","bol-","ol-","bol-","bol-","vol-, vō-, bō- (Тен.ССЯ)","bol-","EDT 331-332, VEWT 79, TMN 2, 358, ЭСТЯ 2, 185-188, Федотов 1, 442, Stachowski 66. Forms with o- may represent a different root (see *ol-tur-). On the other hand, the geographical distribution of this variant matches quite closely the change *b- > v- in a number of words with grammatical function  (for Haladzh cf.  vīer- 'give', vāor 'there is'), so most of the forms with o- may indeed reflect *bol- > *vol- > ol-; the different root *ol- is with more certainty reflected only in Middle Uyghur (At., Tefs., IM - cf. \Ibar,\i bir- in the same sources) and Middle Kypchak (Bulgat, Ettuhf., see ЭСТЯ 2, 186)."
 309,"*ījn", 235,"hollow, pit, lair","берлога, яма","\Iin\i (OUygh.)","\Iin,\i jin (MK)","","","","","","","","hīn","","","","hị̄n","jənə","īn","īn","","","ĳin","","","","","","","","","","EDT 166, VEWT 172, Егоров 79, Stachowski 131."
 310,"*ēn-",1533,"to go down","спускаться, идти вниз","\Ien-\i (Orkh., OUygh.)","\Ien-\i (MK)","\Iin-,\i dial. \Ien-\i","\Iin-,\i iŋ-","\Ien-\i (MA, IM, Pav. C.)","","","","\Ien-\i","īn-","\Iin-\i","\Ien-\i","\Ien-\i","ẹ̄̂n-","\Ian-\i","enie","","","","","\Ien-,\i dial. eŋ-","\Ien-\i","\Iin-\i","","jin-","\Ien-\i","\Ien-\i","","\Iin-\i","VEWT 43, ЭСТЯ 1, 353-354, Егоров 26."
 311,"*jā(j)",2597,"bow","лук","\Ija\i (OUygh.)","\Ija\i (MK)","jaj","jɛjɛ, ǯɛjɛ","jaj (Ettuhf.), \Ija\i (Houts.)","jɔj","\Ija\i","\Ija\i 'arrow'","jaj","jāj","čā-ǯax","nan 'bow', jan-čak 'small bow'","d́ā 'arrow'","","śu (in ok-śu)","\Isā\i","\Ihā,\i \Isā\i","ča","ča","ǯaj, ǯā","žaj","jaj","jäjä, jan","ǯaja","jaj, jajɨ","jaj","žaj","","","VEWT 186, EDT 869, TMN 4, 121-122, ЭСТЯ 4, 75, Лексика 570, Федотов 2, 274, Stachowski 99, 209."
 312,"*jạĺɨ-",2591,"be lazy, emaciated, weak, quiet","быть ленивым, измученным; слабым, вялым, робким","","","","","jašɨq (adj.) (Pav. C.)","jəšiq (adj.)","ješiq (adj.)","","","","čazɨɣ (adj.)","","jažɨ- (R), d́ažɨq (adj.)","","","sɨhɨj-","","čažɨ-","","ǯašɨ-","žasɨ-","","jašɨq (adj.)","","","","žasɨ-","","","VEWT 192, ЭСТЯ 4, 20-21, TMN 4, 173."
