NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|PHN|AKO|REFERENCE
237|*màt(h)|1358|place, enclosure, yard|место, огороженное место, двор|madaŋ, (arch.) \Imat\i \I[mat,\i math]|màt, màth|Nam 199, 206, KED 560, 578, 596.
238|*súp(h), *sùphɨ́r|2662|wood, forest, thicket|лес, заросли|sup [suph], suphul|súp(h), sùphɨ́r|Liu 476, 479, Nam 314, KED 1011, 1022.
239|*òĳə́s|1561|plum|слива|ojat [ojas]|òi'jə́s, oi'jač, oi'jas|Nam 387, KED 1202.
240|*mə̀s|1287|wild apple; cherry|дикое яблоко; вишня||mə̀s|Nam 212.
241|*kài'òm|907|prickly grass; nutwood|колючая трава; орешник|käam|kài'òm, kai'am|Nam 28, 29, KED 72.
242|*sằrkó|2082|peach, apricot|персик, абрикос|salgu|sằrkó|Nam 291, KED 896.
243|*tòthórí|2474|Aesculus turbinata Blume; acorn|конский каштан; желудь|tothori|tòthórí|Liu 227, KED 470.
244|*tắrái|2438|currants, (KED) fruit of the Actinidia arguta|смородина|tarä|tắrái|Nam 135, KED 382.
245|*mə̀r'úi|1285|grapes|виноград|məru|mə̀r'úi|Nam 212, KED 608.
246|*òtắi|651|mulberry|шелковица (ягода)|oti|òtắi|Nam 379, KED 1197.
247|*kìčàŋ|1098|millet|просо обыкновенное|kiǯaŋ|kìčàŋ|Liu 115, KED 274.
248|*čòh|2616|millet|просо|čo|čò (čòh-)|Nam 427, KED 1468.
249|*ōi|2498|melon, cucumber|дыня, огурец|\Ioi,\i \Iwē\i|ōi|Nam 386, KED 1202, 1220.
250|*mànắr|1282|garlic|чеснок|manɨl|mànắr|Nam 192, KED 559.
251|*phá ( ~ *páh)|1653|onion|лук|pha|phá|Nam 461, KED 1728.
252|*nàńí|1523|shepherd's purse|пастушья сумка|näŋi|nàńí|Nam 89, KED 328.
253|*njə̀nɨ̀(k)|1481|other, different|другой|jənɨ|njə̀nɨ̀ (njə̀nk-)|Nam 106, KED 1161.
254|*máh|598|potato, yam|картофель, ямс|\Imā\i|má (máh-)|Nam 191, KED 558.
255|*kòsàrí|933|fern, bracken|папоротник|kosari|kòsàrí|Liu 65, KED 144.
256|*kɨ́irjə́kí ( ~ *kɨ́rjə́kí)|828|goose|гусь|kirəgi|kɨ́irjə́kí, kɨ̀rjə̀kí, kɨrəki, kìrə̀kí|Nam 66, 67, 76, Liu 96, 97, 109, 113, KED 264. The variant kɨ́irjə́kí is attested later than kɨrjəki, but accounts well for the modern form with -i- (regularly < -ɨi-). The most plausible PK reconstruction appears to be *kɨ́irə́kí (although *kɨ́rjə́kí is also not excluded).
257|*nə̄ńí|1508|bustard|дрофа|nə̄sä|nə̄ńí|Nam 104.
258|*kòhài|945|heron|цапля||kòhài|Nam 49.
259|*tàbàkí|2450|a k. of bird of prey|вид хищной птицы|t:aogi 'crested ibis'; tok-suri 'eagle'|tà'wàkí|Nam 132, KED 387, 473 (tok-suri is explained as 'bald eagle', but tok- may well be a contraction of *tabak-).
260|*pìtùrí|1646|pigeon|голубь|pidulgi|pìtùrí, pitărki, pitori, pituroki|Nam 276, KED 851.
261|*túrúmí|2276|crane|журавль|turumi|túrúmí|Liu 238, KED 504.
262|*órhì|2513|duck|утка|ōri|órhì|Nam 383, KED 1199.
263|*kằrmjə́kí|732|gull|чайка|kalmägi|kằrmjə́kí, kărmjəkɨi|Nam 20, KED 45.
264|*pjə̄p-sāi|1647|jenny wren, Korean crow-tit|крапивник|pǟpsä|pjə̄p-sāi (-sāi 'bird')|Nam 258, KED 756.
265|*kằr-|816|crow, jackdaw|ворона, галка|kalgamagwi|kằr-kàmàkói|Nam 20, KED 42.
266|*pə́kúk-|1693|cuckoo|кукушка|p:ək:ugi|pə́kúk-sāi|Nam 254, KED 758.
267|*sói|2123|kingfisher|зимородок||sói-sāi|Nam 311.
268|*kàmà'ótí|950|cormorant|баклан|kamauǯi|kàmà'ótí|Nam 4 (HMCH 184), KED 15.
269|*kòrání|572|deer, reindeer, elk|олень, лось|korani|kòrání|Liu 63, KED 138.
270|*sàsắm|1973|deer|олень|sasɨm|sàsắm|Nam 284, KED 878.
271|*írhì|627|wolf|волк|iri|írhì|Nam 406, KED 1327.
272|*nə̀ŋ'úrí|1229|otter|выдра||nə̀ŋ'úrí|Nam 105.
273|*jə́m-sjó|1398|goat|коза|jəmso|jə́m-sjó|Nam 377, KED 1183.
274|*sàskí|2168|young of animals|детеныш животных|säk:i|sàskí|Nam 294, KED 920.
275|*hjə|2067|a house rafter|стропило, балка|sək:arä, dial. hjək:arä|hjə|Nam 488, KED 933.
276|*jə̀ń|622|fox|лиса|jəu|jə̀ń, jə̀ńɨ̀, jəńă|Nam 374, 377, KED 1164.
277|*sằrk|2109|badger; wild cat|барсук; дикая кошка|sak [salk]|sằrk|Nam 292, KED 901.
278|*kōm|814|bear|медведь|kōm|kōm|Nam 51, KED 161.
279|*mằr|1348|horse|лошадь|\Imal\i|mằr|Nam 201, KED 578.
280|*thóskí|2419|hare|заяц|thok:i|thóskí|Nam 459, KED 1705.
281|*tằràmí|386|flying squirrel|белка-летяга|taram-čwi|tằràmí|Nam 135, KED 382.
282|*mìrɨ́|1322|dragon|дракон||mìrɨ́|Nam 233.
283|*kə̄i|783|crab|краб|\Ikē\i|kə̄i|Liu 51, KED 106.
284|*sòkóarí|1896|perch, (KED) a mandarin fish (Siniperca scherzeri)|окунь|s:ogari|sòkóarí|Nam 307, KED 969.
285|*čjòkài|303|oyster, shell, clam|моллюск, раковина|čogä|čjòkài|Nam 432, KED 1469.
286|*kàmór-thì|744|eel; (KED) snake fish (Channa argus), snakehead, mullet|угорь|kamulčhi|kàmóthì, kamorthi|Nam 4, KED 17.
287|*pòk|1614|porpoise, (KED) globefish, swellfish, puffer|дельфин|pog-ə, pok-čäŋi|pòk|Liu 388, KED 798.
288|*pì'út|1664|mackerel, (KED) herring|скумбрия, макрель|piut [pius]|pì'út|Nam 278, KED 856.
289|*mə̀ĳùkí|1254|trout; (KED) catfish, wels, horned-pout|форель|megi|mə̀ĳùkí|Nam 213, KED 616.
290|*kón|721|swan|лебедь|koni|kón|Nam 50, KED 136.
291|*čằnčárí|1924|dragon-fly|стрекоза|čamčari|čằnčárí|Nam 416, KED 1396.
292|*pántó|1860|firefly|светляк|pandi|pántó, pántòi|Nam 243, KED 716.
293|*kə̀ńúi|920|1 earth-worm  2 intestinal worm, ascarid|1 земляной червь 2 глист|kəwi 2|kə̀ńúi 1|Nam 34, KED 87.
294|*čìnə́i|283|centipede, multipede|стоножка, многоножка|čine|čìnə́i|Liu 681, KED 1527.
295|*mằĳàmí|1381|cicada|цикада|mǟmi|mằĳàmí|Nam 207, KED 599.
296|*pə̀r-|1778|worm, insect|червь, насекомое|pəlle|pə̀r'əi|Nam 256, KED 766.
297|*hjə̀|1982|nit|гнида|səkhä|hjə̀|Nam 488, KED 939. Modern səkhä is a dialectal form < *hjə-kai.
298|*čóm|321|a k. of worm, teredo; poisonous insect, poison|червь-древоточец|čom|čóm|Liu 665, KED 1482.
299|*kórí|1149|basket|корзина|kori|kórí|Liu 64, KED 140.
300|*mār|1298|speech|речь|māl|mār|Nam 200, KED 579.
301|*ə̀rkùr|659|shape, appearance|форма, вид|k:ol|ə̀rkùr|Nam 367, KED 157.
302|*pákì|1739|top of the head|темя, верхушка головы||tjə́ŋ-pákì (tjə́ŋ- < Chin.)|Nam 155.
303|*nìmáh|1498|forehead|лоб|ima|nìmá (nìmáh-)|Nam 121, KED 1328.
304|*tằikòr|2426|forehead|лоб|täguri|tằikòr|Nam 147, Liu 188.
305|*s-pám|1777|cheek|щека|p:jam|spám|Nam 248, KED 758.
306|*čum|298|fist, handful|кулак, горсть|čūm, čumək|čúm, čùmə̀kúi|Nam 433, 434, KED 1496, 1509. Original tone is not quite clear.
307|*čìp|2621|house|дом|čip|čìp|Liu 687, KED 1554.
308|*pór-|1855|cheek|щека|pol|pó-čjókái|Nam 261, KED 803.
309|*pùthjə̀|1672|pupil of the eye|зрачок глаза|nun-pučhə|núns-pùthjə̀|Nam 116, KED 363. -pùthjə̀, originally "child" (with a widely spread metaphor "pupil of the eye" = "child of the eye") is folk-etymologically perceived as = puthjə "Buddha".
310|*tù'ə́i|2396|covering, cover|покрышка, крышка|t:uk:əŋ|tù'ə́i|Nam 166, KED 501.
311|*sə̀m|1935|eyebrow|бровь||nún-sə̀m|Nam 115.
312|*sì'úr|2009|string, sinew; bow string|веревка, жила; тетива|siwi|sì'úr|Nam 326, KED 1040.
313|*kùmìt|917|hair on temples|волосы на висках|kwimit [kuimith]|kùmìt, kumis|Nam 59, 65, KED 228. Both variants with -t and -s are early attested and it is hard to decide which one is original (because of the early confusion of -t and -s).  The MKor. variant kui-mit(h), whence modern kwimit, is obviously a result of reinterpreting the word as *kui-mith 'roots of the ears'.
314|*mɨ̀i'ìm|1359|gums|десны||nì-s-mɨ̀i'ìm, ní-s-mɨ̀'jòm, ni-s-mɨ'ɨm, ni-s-mɨi'jom  (ni- 'tooth'|Nam 127. The modern form it-mom is a result of reinterpreting the compound as 'tooth's flesh' (mom).
315|*pàtók|1719|bottom, lower part|дно, нижняя часть|padak|pàtók, pàtáŋ|Nam 237, KED 703.
316|*kàràk|1164|finger; pole|палец; палка|son-karak, karak|soǹs-kàràk 'finger', kàràk 'pole'|Liu 19, KED 10.
317|*kùpɨ̀rə̀ŋ|1012|elbow|локоть|phal-k:up|phằr-kùpɨ̀rə̀ŋ|Nam 462, KED 1736.
318|*hə̀túi(h)|2664|foot, leg|нога||hə̀thúi|Nam 485.
319|*mằrằ|1345|ridge (of roof)|конек (крыши)|maru|mằrằ, măr|Nam 195, Liu 285, 289, KED 561.
320|*púhóa|1577|lung|легкое|pua|púhóa|Nam 266, KED 817.
321|*psɨ́-|2012|1 liver (KED: gall-bladder, gall) 2 bitter|1 печень 2 горький|s:ɨlgä 1, s:ɨ- 2|psɨ́rkə́i 1, psɨ́- 2|Nam 319, 321, KED 1024, 1027.
322|*tɨ̀ŋ|393|back|спина|tɨŋ|tɨ̀ŋ|Liu 255, KED 546.
323|*sɨ̀in|2010|shin, thigh|голень, бедро||sɨ̀in-tàrì|Nam 323.
324|*tàt-|2481|to close|закрывать|\Itat-\i|tàt-|Nam 139, KED 401.
325|*òmìnòi|1571|buttocks, behind|ягодицы, задница||òmìnòi|Nam 380.
326|*òčóm|2485|urine, urinary bladder|моча, мочевой пузырь|oǯum|òčóm|Nam 381, KED 1203.
327|*kùrə̀i|1150|inner part of body, inner part of chest|внутренность, грудная полость||kùrə̀i|Nam 58. It is not quite clear whether the word is the same as modern kure, hə-guri 'waist' (KED 199) - which seems to have a different origin, see under *kaĺbo.
328|*măin|1337|most, extremely, very|весь, самый, очень|mǟn|măin|Nam 208, KED 603.
329|*kór(čhí)|756|brain, marrow|мозг|kol|kor, kór-čhí|Nam 51, KED 156. The meaning 'head' in modern dialects proves that the original meaning was 'brain, head' (in literary Korean the word usually means 'marrow' while 'brain' is expressed as məri-k:ol, lit. "head brain"). The meaning 'marrow' may have been additionally induced by the analogy with kol-su (MKor. kor-sju) 'bone marrow', borrowed from MC 骨髓 kot-sjwé; but Kor. *kor itself has of course nothing to do with MC kot 'bone'.
330|*kūi-mə̀rí|1112|ankle (*leg-head)|лодыжка||kūi-mə̀rí|Nam 65.
331|*ūr-|2543|to cry, weep|плакать, рыдать|ūl-|ūr-|Nam 392, KED 1246.
332|*čằčhắi-|2159|to sneeze|чихать|čäčhä-gi (n.)|čằčhắi-|Nam 415, KED 1415.
333|*ə̀bí-|410|1 to be exhausted, hungry 2 to lack, be insufficient|1 быть истощенным, голодным 2 недоставать, не хватать|ə̄p- [ə̄ps-]|ə̀'uí- 1, ə̄psìwɨ́-, ə̄ps- 2|HMCH 95, Nam 369, KED 1150.
334|*čī-n, *čhuk-|292|1 fluid, liquid, sap 2 be moistened, wet|1 жидкость, сок 2 быть мокрым, влажным|čīn 1, čhuk-, čhukčhuk-ha- 2|čīn 1, čhuk-, čhùk-čhùk-hă- 2|Liu 685, 701, Nam 450, KED 1543, 1635, 1637.
335|*stɨ́-m|2094|1 sweat 2 water after washing rice|1 пот 2 вода после промывки риса|t:am 1, t:ɨmul 2|stɨ́-m 1, stɨ́-mɨ́r 2|HMCH 209, Liu 249, KED 409, 526.
336|*čjūpók|289|furuncle, ulcer|нарыв, прыщ|čubu-kho 'red bulbous nose' ( = MKor. čjūpók-kò)|čjūpók|Nam 436, KED 1498.
337|*pāŋkui|1682|flatulence, wind in the bowels|кишечные газы|paŋgwi|pāŋkui|Nam 250, KED 736.
338|*skắi-|2038|to awake|просыпаться|k:ǟ-|skắi-|Nam 29, KED 68.
339|*kòmá|479|concubine|наложница||kòmá|Nam 46.
340|*sjā'òŋ|1966|husband|муж||sjā'òŋ|Nam 297.
341|*phắs|202|beans, peas|бобы, горох|phat [phath]|phắs|Nam 462, KED 1739.
342|*mằt|1290|the eldest|старший|\Imat\i|mằt|Nam 199, KED 578.
343|*nù'ɨ̀i|1434|(boy's) sister|сестра (мальчика)|nui|nù'ɨ̀i|Nam 115, KED 358.
344|*há-|0|to be many, abundant, thickly growing|много, в изобилии, густо||há-|Nam 468.
345|*nɨ̀rk-|1452|old|старый|nɨk- [nɨrk]|nɨ̀rk-|Nam 118, KED 373.
346|*kā̆rb-|1115|1 twins 2 to compete, match, compare, line together  3 to form a couple|1 близнецы 2 соревноваться, сравнивать, выстраивать вместе 3 образовывать пару|karogi (arch.) 1, kap- [kalp-] (arch.), karu- 2|kằr'ó-kí 1, kằr'ó- 3, kā̆rp- [kā̆rw-]  2|Nam 21, 23, KED 12, 48.
347|*čhi-|296|to raise, rise|поднимать, подниматься|čhi-|čhí-|Nam 452, Liu 704, KED 1655.
348|*kɨ́r, *kɨ́rwə́r|501|1 poetry, letter  2 to draw|1 поэзия, текст, буквы 2 рисовать, чертить|kɨl 1, kɨ̄ri- 2|kɨr, kɨ́r'uə́r 1, kɨ́rí- 2|Liu 98, 103, 104, KED 237, 247.
349|*kə̀s / *kàs|776|thing|вещь|kət [kəs]|kə̀s / kàs|Nam 24, 39, KED 103.
350|*kìs-|778|to rejoice|радоваться|kip:ɨ-|kìs-|Nam 83, KED 267.
351|*stɨ́-|2115|to scoop, ladle|черпать|t:ɨ-|stɨ́-|Nam 173, KED 523.
352|*čjòhắi|342|paper|бумага|čoŋi|čjòhắi|Nam 432, KED 1486.
353|*ptɨ́-t|1673|will, intention|воля, намерение|t:ɨt [t:ɨs]|ptɨ́t|Nam 174, KED 544.
354|*nùrí|1518|world, living place|мир, обиталище|nuri (arch.)|nùrí|Nam 114, KED 357.
355|*sànhằiŋ|2112|hunting|охота|sanjaŋ|sànhằiŋ|Nam 289, KED 869. In KED it is explained as a Chinese borrowing: 山行 'going to the mountains', which is probably a folk etymology: in Middle Korean the word is usually not spelled with Chinese characters (see HMCH 307), means all sorts of hunting, while the Chinese compound does not denote hunting at all (just "mountain trip").
356|*mòńí-|1364|to graze|пасти||mòńí-|Nam 216.
357|*hjə̄i-|1977|to count|считать|hējari-, dial. hē-|hjə̄i-|Nam 489, KED 1829, 1830.
358|*sắ-n|1881|grown-up|взрослый||sằn|Nam 289.
359|*ná-|1446|to go out, break forth|выходить, вырываться|na-|ná-|Nam 86, KED 286.
360|*koāŋ|961|doll, mask, comedian|кукла, маска, актер|kwāŋdä|koāŋtái|Liu 79, KED 184.
361|*sobĳa-ki|1983|wedge, sharp stick|клин, острая палочка|s:wǟgi|sòi'jàkí, sojaki|Nam 311, KED 995.
362|*čɨ̄ń|237|1 shape, appearance, conduct 2 to make, produce|1 форма, вид, поведение 2 делать, производить|čīt [čīs] 1, čīt- [čis-] (či-) 2|čɨ̄ń 1, čīs- (čīń-), čìń- 2|Nam 441, 445, KED 1557.
363|*sjōkjə́ŋ|2170|blind|слепой|sōgjəŋ|sjōkjə́ŋ|Nam 312, KED 969.
364|*tōi|348|barbarian|варвар|twē|tōi|Nam 161, KED 496.
365|*tūih|2264|behind, back, North|зад, спина, север, конец|twī|tūi (tūih-)|Nam 168, KED 512.
366|*húrí-|2051|to charm, bewitch, seduce|завлекать, очаровывать|huri-, hori-|húrí-|Nam 494, KED 1877.
367|*tàràk|2447|tower, upper story|башня, верхний этаж|tarak|tàràk|Liu 192, KED 382.
368|*kākái|0|store, booth|лавка, будка|kāge|kākái|Nam 2, HMCH 229, KED 3. The word is explained in KED as Chinese, from 假家 MC kạ́-kạ 'temporary building', but the reading kai for 家 is quite irregular, and the explanation is most probably folk-etymological.
369|*poh|1772|diaper, wrapping cloth|пеленки|\Ipo\i|po (poh-)|Nam 259, KED 786. Usually treated as a loan < Chin. 褓 id., but final -h in MKor. cannot be explained.
370|*pằrằ-m|1698|wall|стена|param|pằrằ-m|Nam 241, KED 705.
371|*tòrí|2392|cross-beam|поперечная балка|\Itori\i|tòrí|Liu 225, KED 465.
372|*kìsɨ́rk|891|protrusion, edge of roof|выступ, край крыши|kisɨk [kisɨlk]|kìsɨ́rk|Nam 79, KED 269.
373|*pò|93|beam, cross-beam|балка|\Ipo,\i tɨl-bo|pò|Nam 259, KED 786.
374|*kìt|740|pole, pillar|столб, колонна|kiduŋ, (arch.) kit [kit, kis]|kìtòŋ, kit|Nam 78, 80, KED 263, 278, 282.
375|*čítóri|297|pivot, hinge|шарнир, петля|čidoli|čítóri|Liu 682, KED 1528. The explanation in KED < čì- 'carry' + tòr- 'turn' is tonally implausible and obviously folk-etymological.
376|*pàk|204|1 gourd; scoop 2 bamboo basket|1 тыква; черпак 2 бамбуковая корзина|pak 1, paguni 2|pàkòní 2|Nam 236, KED 702, 710.
377|*tằrì|2427|bridge|мост|tari|tằrì|Nam 135, KED 383.
378|*kù'ɨ̀i|1058|office, officer|чиновник, должностное лицо||kù'ɨ̀i|Nam 60.
379|*pá|139|place where, circumstance (aux. word)|место, где; обстоятельство (служ. слово)|\Ipa\i|pá|Liu 359, KED 701.
380|*čjə̀čə́i|2589|shop, market-place|рынок, лавка|čəǯa|čjə̀čə́i|Nam 425, KED 1421.
381|*mằńằrh|1279|village, vicinity|деревня, окрестности|maɨl|mằńằr (mằńằrh-)|Nam 196, KED 564.
382|*sɨ́kúr|2131|province, village|провинция, деревня|sigol|sɨ́kúr, sɨ́kór, sɨ́kằwằr, sɨ́kắ'òr|Nam 317, KED 1033.
383|*čhái|2704|section of a building|секция здания|čhä|čhái|Liu 695, KED 1576.
384|*əru-|591|to rub, stroke, touch|тереть, гладить, трогать|əru-(manǯi-)||KED 1127.
385|*kùrhə́ŋ|1139|tunnel, cave, hole|туннель, пещера, дыра|kurəŋ|kùrhə́ŋ|Nam 63, KED 199.
386|*kàmá|758|cauldron|котел|kama|kàmá|Nam 4, KED 14.
387|*kosak|862|a piece of wood reinforcing a dovetail joint|деревянная распорка|kosak||KED 144.
388|*tòmá|2463|wooden board (for chopping meat), wooden table|деревянная доска (для рубки мяса), деревянный стол|toma|tòmá|Nam 157, KED 465.
389|*sìrɨ̀|2031|earthenware jug|глиняный кувшин|siru|sìrɨ̀|Nam 325, KED 1036.
390|*tòs|0|mat|||tòs|[Cf. MJap. (Iwanami 878) tusi 'attic, loft'?]
391|*sàt|2548|thin mat|тонкая циновка|\Isat\i [sas], sat-čari|sàt|Nam 290, KED 906. In modern Korean mixed with the reflex of *sàs- 'bamboo chip', see *si̯úsa.
392|*tàrì-|373|to iron|утюжить|tari-|tàrì-|Nam 129, KED 383. Cf. also Mod. Kor. taru- 'to tan, make pliant' (KED 382).
393|*már|1302|a measure (18 kg)|мера веса|\Imal\i|már|Nam 200, KED 578.
394|*pɨ̄d-, *pɨ́dVh|158|1 to swell, get bloated (in water) 2 glue, paste, gruel|1 разбухать 2 клей, крахмал, каша|\Iput-\i (pur-) 1, phul 2|phɨ́r 2|Nam 465, KED 832, 1763.
395|*kúkì|887|vessel, dipper, a measure of weight|сосуд, черпак, мера веса|kugi|kúkì|Liu 82, HMCH 243, KED 196.
396|*tòk|0|earthenware vessel|глиняный сосуд|tok|tòk|Liu 228, KED 471.
397|*tằràčhí|2414|basket|корзина|taräk:i|tằràčhí|Nam 135, KED 382.
398|*sə̀rk|1970|a k. of box|вид ящика|səlgi|sə̀rk|Nam 301, KED 950.
399|*nằmằčh|1186|small bag, pocket|мешочек, карман||nằmằčh, nằmằs|Nam 92.
400|*pār|111|curtain|занавес|pāl|pār|Nam 245, KED 723.
401|*pìpɨ́i-|1794|to bore through; to rub|сверлить; тереть|pibi-|pìpɨ́i-|Nam 277, KED 854.
402|*pjə́rí|1811|guiding net rope|ведущая веревка у сети|pjəri|pjə́rí|Liu 382, KED 775.
403|*nə̄r|1428|board|доска|nə̄l|nə̄r|Nam 105, KED 332.
404|*kár|1028|fetters, cangue|оковы, колодки|khal|kár, kār|Nam 19, HMCH 249, KED 1669. Modern initial kh- is not quite clear.
405|*sùsk|2121|coal|уголь|sut [sučh]|sùs (sùsk-)|Nam 316, KED 1021.
406|*náks|1173|hook|крюк|nak:si|náks|Nam 94, KED 298.
407|*nát|1461|sickle|серп|nat [nas]|nát|Nam 94, KED 311.
408|*kɨrk- / *kắrk-|1034|to shear, scrape|стричь, скрести|kɨk- [kɨlk-], kak- [kalk-]|kɨrk-, kắrk-|Nam 22, 74, KED 48, 249.
409|*pskɨ́r|1768|chisel|долото|k:ɨl|pskɨ́r|Nam 74, KED 247.
410|*tàh-, *th-ɨ̀r-|2257|1 to plait, weave 2 to twist, wind|1 плести, ткать 2 крутить, вить|t:a- [t:ah-] 1, thɨl- 2|tàh- 1, thɨ̀r- 2|Nam 145, Liu 718, KED 418, 1724.
411|*ə̀rɨ̀|417|spool|катушка|əlle|ə̀rɨ̀|Nam 360, KED 1144.
412|*púi|1838|broom|метла|\Ipi\i|púi|Nam 269, KED 848.
413|*kárh|483|knife, sword|нож, меч|khal|kár (kárh-)|Nam 19, KED 1669.
414|*màčhí|1323|wooden hammer, mallet|деревянный молоток, колотушка|mačhi|màčhí|Liu 301, KED 567.
415|*már|1244|post, pole|шест, жердь|mal-t:uk|már|Nam 200, KED 583.
416|*čə́s|2155|pickled food|маринад, соленая или маринованная пища|čət [čəs]|čə́s|Liu 653, KED 1449.
417|*tapar|2346|bundle, bunch|связка|tabal||Nam 385.
418|*nùrúk|1516|yeast|закваска, дрожжи|nuruk|nùrúk, nùrɨ́k|Nam 114, KED 357.
419|*skúr|2176|honey|мед|k:ul|skúr, pskúr|Nam 63, KED 217. The attested variant pskúr is probably a result of hypercorrective spelling.
420|*čə̀k|0|lye|щелок||čə̀k|Nam 422.
421|*kằrằ|567|flour|мука|karu|kằrằ, kăr|Nam 10, 20, KED 12.
422|*sắmái|2110|sleeve|рукав|somä|sắmài, sắmắi|Nam 287-288, KED 973/
423|*nìp-|1435|to put on (clothes)|надевать (одежду)|ip-|nìp-|Nam 126, KED 1364.
424|*stɨ́i|1987|belt|ремень|t:i|stɨ́i|Nam 177, KED 550.
425|*nòríkái|1198|smth. worn on the belt|предмет, подвешиваемый к поясу|norigä|nòríkái|Liu 156, KED 341.
426|*kính|763|string, tassel|веревка, кисточка, лента|k:ɨn|kín (kính-)|Nam 80, KED 243.
427|*pòròkí|1779|swaddlingclothes|пеленки||pòròkí|Nam 260.
428|*mìs|0|rudder|руль||mìs|
429|*phắkái|1613|scoop, dipper|черпак|phagä|phắkái, phắkà|Nam 461, KED 1728 (derivation from phắ- 'to dig' is implausible both phonetically and semantically).
430|*kòmắr|506|stern|корма|komul|kòmắr|Nam 47, HMCH 271, KED 142.
431|*nìmắr|1467|prow, stern|нос, перед  (лодки); корма|imul|nìmắr|Nam 122, HMCH 271, KED 1320.
432|*thòŋ|2230|axle|ось|(sal-)thoŋ|thòŋ|Liu 716, KED 900.
433|*tằrkó|2381|light carriage|легкая повозка|talguǯi|tằrkóčí|Nam 140, KED 402.
434|*pàhói|159|wheel|колесо|pakhwi|pàhói|Nam 239, KED 710.
435|*kìrɨ́má|1036|saddle|седло|kilma|kìrɨ́má|Nam 78, Liu 113, KED 280.
436|*čhái|285|whip; handle|кнут; ручка|čhä, čhä-č:ik|čhái|Nam 449, KED 1576.
437|*nắrh|2659|blade|лезвие|nal|nắr (nắrh-)|Nam 95, KED 302.
438|*sòní|2079|bow|лук|swenwe|sòní|Nam 307, KED 995.
439|*kòčái|1037|ends of bow|концы лука|koǯa|kòčái|Nam 48, KED 148.
440|*ònắi|665|notch on an arrow|зарубка на стреле|onɨi|ònắi|Nam 379, KED 1196.
441|*tòŋkái|2430|quiver|колчан|toŋgä|tòŋkái|Nam 232, KED 486.
442|*kīp|850|silk|шелк|kīp|kīp|Nam 82, KED 282.
443|*kūrk-|569|thick|толстый|kuk- [kulk-]|kūrk-|Nam 63, KED 219.
444|*kắnắr-|1004|thin, fine|тонкий, изящный|kanɨl-|kắnắr-|Nam 9, KED 5.
445|*kùrí|1090|copper|медь|kuri|kùrí|Liu 83, KED 200.
446|*kùsɨ́r|890|pearl(s)|жемчуг|kusul|kùsɨ́r|Liu 84, KED 204.
447|*čɨ̀čhɨ́i-|2069|to have diarrhoea|страдать поносом|čīčhi-|čɨ̀čhɨ́i-|Nam 438, KED 1538.
448|*kài'ò-|742|to vomit|блевать|keu-|kài'ò-|Nam 29, KED 109.
449|*sìtɨ́r-|2023|1 to tire, be tired 2 to be emaciated, wither 3 to be displeased, disinclined; to be unsatisfactory|1 уставать 2 истощаться, увядать 3 быть недовольным, нерасположенным; быть неудовлетворительным|sidɨl- 2, sidɨl-ha- 3|sìtɨ́r- 2, sìtɨ́rə́p- 1|Nam 324, KED 1035.
450|*kìčhɨ́-|842|1 cough 2 to sneeze|1 кашель 2 чихать|kičhim 1, kičhi- 2|kìčhɨ́-m 1|Nam 79, KED 275.
451|*pɨ̀ńɨ̀rɨ̀m|1639|pimple, blotch|прыщ|pusɨrəm, pūrəm|pɨ̀ńɨ̀rɨ̀m|Nam 271, KED 813, 816.
452|*hók|2103|wart|бородавка|hok|hók|Liu 757, KED 1845.
453|*čə̄rk|314|lame|хромой, с больными руками или ногами||čə̄rk|Nam 422.
454|*mì-čhí-|1321|to be mad|сходить с ума|mičhi-|mì-čhí-|Liu 346, KED 693.
455|*kòpó-m|533|fever, malaria|лихорадка, малярия||kòpó-m|Nam 47.
456|*tə̀tə́i|2328|rash, scab|сыпь, струп|tədeŋi|tə̀tə́i|Nam 148, KED 440.
457|*hə̀mɨ́r|2661|scar, wound; fault, mistake|шрам, рана; ошибка, вина|həmul|hə̀mɨ́r|Nam 484, KED 1821.
458|*nə̀k|1392|soul|душа|nək [nəks]|nə̀k|Nam 104, KED 332.
459|*mùt-|1246|to dig, bury|копать, хоронить|mut-|mùt-|Nam 223, KED 674.
460|*kút|892|hole, pit|дыра, яма|kut, kudəŋi|kút|Nam 62, KED 197, 216.
461|*nàpắi|1436|butterfly|бабочка|nabi|nàpắi|Nam 88, KED 291.
462|*pjə̀t|1790|light|свет|pjət [pjəth]|pjə̀t|Nam 258, KED 786.
463|*òŋtáŋ- / *ùŋtə́ŋ-|2528|pool, bog|лужа, яма, заполненная водой|uŋdəŋi, oŋdaŋi|uŋtəŋ, ùŋtə́ŋ'í|Liu 597, 598, KED 1251.
464|*ōrm-|2509|to change place|менять место, передвигаться|ōm- [olm-]|ōrm-|Nam 383, KED 1209.
465|*kúi|531|dawn|рассвет|häk:wi|hắis-kúi|Nam 484, KED 1815.
466|*tə̀b-|2331|be warm|быть теплым|tə̄p- (-w-)|tə̄p- (tə̀w-)|Nam 153, KED 451.
467|*nòk-|1231|1 to melt, dissolve 2 to get warm|1 таять, растворяться 2 теплеть|nok- 1, nuk- 2|nòk-|Nam 112, KED 344, 359.
