"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","TURC","TURCNUM","MONG","MONGNUM","TUNG","TUNGNUM","KOR","KORNUM","JAP","JAPNUM","REFERENCE"
 527,"*gi̯óra",   0,"a k. of reed","вид тростника","*KAr(a)gu",1912,"",   0,"*gurbi",2222,"",   0,"*kántúrá",1544,"The Turk.-Manchu match is semantically straightforward; the Jpn. match is phonetically plausible, but less certain semantically."
 528,"*gi̯óro ( ~ -ŕ-)",1355,"to cut, carve, shear","резать; измельчать, ломать","",   0,"*gur-", 778,"*giri-", 280,"",   0,"*kár-", 760,"АПиПЯЯ 288, Miller-Street 1975, 108ff (with a somewhat different distribution of roots). MKor. kằr-hằi-  < *kə̀r-hằi- through assimilation (?). The root tends to contaminate with a number of similar roots: see \U*k`irga,\u \U*k`iregV,\u \U*kiro.\u"
 529,"*gi̯ose ( ~ -i, *gi̯aso)",1784,"stick, pole","палка, шест","",   0,"*gesi-ɣün",1739,"*gusa",1941,"",   0,"",   0,"A Mong.-Tung. isogloss."
 530,"*gi̯ŏ̀[k]ó",  74,"to run, send","бежать, гнать, посылать","*Kog-", 920,"*güji-", 889,"*gik-",1014,"",   0,"*kàká-", 795,"The medial consonant behaves irregularly: the Turk. and Mong. forms point to an intermediate *gi̯ogo, probably a result of assimilation < *gi̯oko."
 531,"*gi̯òjńu", 170,"dawn, daylight","рассвет, дневной свет","*gün(eĺ) / *guńaĺ",  78,"*gegeɣe < *geɣeɣe", 474,"*giańam", 601,"*kúi", 465,"*ka(i)",1588,"Лексика 78, Doerfer MT 143. Cf. also Mong. geji- 'to dawn' (KW 137), proving that *geɣe- < *geje-. The Korean form points to a cluster with *-j-, therefore a reconstruction *gi̯òjnu (with subsequent assimilative palatalization -jn- > -jń-) is perhaps more plausible; cf. also the variation *n/*ń in PT. The Jpn. reflex is somewhat problematic: loss of final resonant here may be explained by a standard development before a velar suffix (*ka < *gi̯òjn(u)-gV, cf. Mong. *gege-ɣe, Man. geŋ-ǵe); but one would rather expect a PJ form like *ku(i). The irregular vowel may be due to contraction, cf. a similar case in PJ *ká 'mosquito' < PA *kúńe."
 532,"*gi̯ṓĺV",1727,"edge; eyebrow","край; бровь","*K(i)āĺ", 924,"",   0,"*gula",1020,"",   0,"",   0,"A Turk.-Tung. isogloss, with very similar semantic developments. Лексика 212. {Cf. WMo ɣuldaŋ, ɣulduŋ 'arch (as of a bridge or gate)'}."
 533,"*gi̯ṓp`e",   0,"to swell, form blisters","пухнуть, нарывать","*Kāp-", 553,"*göb- / *güb-",1084,"",   0,"*kòpó-m-", 455,"*kəp(u)i ( ~ -ua-)", 434,"Cf. \U*kŏp`e,\u \U*k`àpe.\u"
 534,"*gi̯ṑŕe ( ~ *gi̯ā̀ŕu)",   0,"skin disease","кожная болезнь","*KEŕi-", 716,"",   0,"*gōr-", 777,"",   0,"",   0,"A Turk.-Tung. isogloss."
 535,"*gi̯ube",   0,"to hit, pound","бить, стучать","*Küb-", 919,"",   0,"*güb-",1013,"",   0,"*kuwa-", 794,"EAS 148, Poppe 25, Doerfer MT 73. Cf. \U*gṓp`i.\u"
 536,"*gi̯ŭldo",   0,"to stretch","вытягивать","*Kula-", 921,"*gulda-", 890,"*gülde-",1015,"",   0,"",   0,"ТМС 1, 150 (Mong.-Tung.). A Western isogloss."
 537,"*gi̯ūbe", 923,"to smoke, roast","дымить(ся), жарить","*gübeč", 616,"",   0,"*gǖb-", 665,"*kūb-", 533,"*káwə́r-", 888,"One of several similar roots (cf. \U*ki̯ajo,\u \U*ki̯aju\u) tending to contaminate, which may explain some irregularities (notably, tone and irregular -a- in Jpn.)."
 538,"*gi̯ū̀la",   0,"thin, short","тонкий, короткий","*Kɨl-", 224,"*gulbi-",1378,"*gōl-",1584,"",   0,"*kàrú-",1178,"A common derivative *gi̯ū̀la-bV- is reflected in Turkic, Mongolian and TM."
 539,"*gi̯ū̀ĺo ( ~ -e)",   0,"to smoke, fume","коптить, дымить(ся)","",   0,"*golu-mta",1800,"*gǖl-",2011,"*kər-",1114,"*kùsù-(m)p-",1433,"Cf. \U*gi̯ola.\u"
 540,"*gi̯ū̀p`a ( ~ -u)",  78,"to extinguish","гаснуть, гасить","*Kɨp-",1402,"",   0,"*gūp-",1614,"",   0,"",   0,"A Turk.-Tung. isogloss. Cf. *gep`V."
 541,"*gī́ŕa ( ~-o,-u)",   0,"girl, mate","девушка, спутница","*Kɨ̄ŕ", 173,"",   0,"*girkī",1566,"",   0,"",   0,"A Turk.-Tung. isogloss. Cf. perhaps Mong. *gergei 'wife' (if not derived from *ger 'house'; Mong. pl. gergen > Yak., Dolg. kergen 'family', see Kał. MEJ 28, Stachowski 145)."
 542,"*gŏ̀bè ( ~ -o)",1341,"to search, hunt","искать, охотиться","*Kob-", 922,"*guji-", 891,"*gob-",1017,"",   0,"*kə̀p-", 797,"KW 156, Владимирцов 160, 272, Poppe 24, 49, Ozawa 202-203, Miller 1985, 145, АПиПЯЯ 81."
 543,"*goblu",1314,"valley","долина","*Kōl", 717,"*gowl", 629,"*gola", 778,"*kōr", 681,"*kura",1595,"EAS 48, KW 150, SKE 121, Martin 245, Whitman 1985, 191, 222, Martin 1996, 39, АПиПЯЯ 19, 70. Mong. cannot be borrowed from Turk., despite Щербак 1997, 139.; the isolated Manchu form may be < Mong. (see TMN 1, 439, Doerfer MT 116, Rozycki 91), but not necessarily so."
 544,"*gòbù ( ~ -u-)",   0,"beautiful","красивый","{*Kob-}",2017,"*gowa", 614,"",   0,"*kōb-", 641,"*kùpà-",1280,"EAS 90, SKE 124 (despite Doerfer's - TMN 1, 422 - doubts, the comparison seems impeccable), Miller 1985, 144-145, АПиПЯЯ 15, 68, Ozawa 18."
 545,"*gòdè",1310,"to be diligent, persistent, to endure","быть терпеливым, настойчивым, терпеть","*Kodur-",1563,"*güǯi-",1632,"",   0,"",   0,"*kə̀tàpa-", 870,"Cf. \U*ki̯ū́di,\u \U*kit`u.\u"
 546,"*gódú",   0,"down, to lower","низ, опускать","*Kodɨ",1608,"*gudu-",1675,"",   0,"",   0,"*kúntá-r-",1349,"KW 153, Владимирцов 160, 319."
 547,"*gojV",1725,"different, other","другой, отличный","",   0,"*gojar",  99,"*goj / *gia", 182,"",   0,"*kía", 792,"The Jpn. form reflects a contraction *kía < *kV́ja, frequent in roots with medial *-j-."
 548,"*gokV",   0,"a k. of reed or leek","вид тростника или дикого лука","*Koga ( ~ -k-)",1575,"*gogu-",1647,"",   0,"",   0,"",   0,"A Turk.-Mong. isogloss: not quite reliable because of late attestation, but borrowing in either direction seems improbable. Cf. \U*gi̯aŋu,\u \U*ki̯omga,\u \U*k`ema.\u"
 549,"*gók`ì (*-dV)",1402,"high, peak","высокий, вершина","",   0,"*gögde-",1365,"*gugda", 277,"*kòkái", 221,"*kúkì", 284,"Poppe 19, 51, АПиПЯЯ 288, 295. The Mong. and TM forms reflect a derivative in *-dV (probably originally locative). See also a discussion under *gudA."
 550,"*gòlí", 678,"a k. of weapon for sea-hunting","вид орудия для морской охоты","",   0,"*gölmi", 812,"*goli",1018,"",   0,"*kùrúrí", 798,"A common Altaic cultural term."
 551,"*goli",   0,"log, wooden block","бревно, чурбан","*göl-",1482,"*göle- ( ~ -ü-)",1531,"*gola",1717,"",   0,"*kura-i",1267,"The word is rather scantily represented in Turkic and Mongolian, but borrowing is rather improbable."
 552,"*goŋV(ŕV)", 679,"a k. of insect","вид насекомого","*Koŋuŕ", 925,"*guwur", 892,"*guŋgu",1021,"*kūm(p)-", 885,"",   0,"KW 157, Дыбо 8, Лексика 188 (Doerfer TMN 3, 527 regards the Turk.-Mong. match as "aus lautlichen Gründen mindestens unwahrscheinlich"), although phonetically the match is quite plausible. The Kor. form is not quite clear morphologically (kūmp(j)əŋ(i) < *kūŋ-p(j)əŋ, a compound with some unclear second component?), but semantically matches the other forms very well."
 553,"*góp`á ( ~ -u-)",   0,"stump","пень","",   0,"*gobur",2020,"",   0,"",   0,"*kámpú",1552,"A Mong.-Jpn. isogloss."
 554,"*gŏ̀re", 680,"to see; understand","видеть; понимать, узнавать","*göŕ ( = *gör-s) / *gör-",  27,"*gori", 814,"*gur-", 237,"*kɨ́rì-", 913,"",   0,"PKE 85, АПиПЯЯ 281, Дыбо 14. ? Cf. Mong. girkaj 'having good eyesight'."
 555,"*got`ò ( ~ -u-, -e)",   0,"a k. of fish","вид рыбы","",   0,"*gutaɣar", 815,"*gutkē-",1023,"",   0,"*kəti ( ~ -ua-)", 800,"It is not quite clear whether Mong. and TM reflect a common derivative *got`ò-gV (with assimilation -g- > -k- in TM) or these are independent derivations."
 556,"*gṑje",   0,"a k. of ferment","вид квасящего вещества","*göjü-",1500,"",   0,"*gū ( ~ *gǖ)", 662,"*kɨ̄i-", 528,"*ki", 492,"Jpn. \I*ki\i must be a result of early secondary contraction (*kəj- > *ki)."
 557,"*gṓli ( ~ -e)",   0,"to bury, put bones","хоронить, класть кости","*gȫli-",1719,"",   0,"*gulī-",2010,"",   0,"",   0,"An interesting Turk.-Tung. isogloss."
 558,"*gṓp`i ( ~ -e)",   0,"to beat, hit","бить, ударять","*gȫp-",1552,"*göbi-", 888,"*gupuj-",1805,"",   0,"",   0,"A Western isogloss. Cf. \U*gi̯ube.\u"
 559,"*górà ( ~ -ŕ-)",1726,"to starve, be empty","голодать, быть пустым","",   0,"*guri-", 676,"*gure-",1569,"*kòrh-", 756,"*kárà",1306,"Martin 231 (Kor.-Jpn.)"
 560,"*gṓŕV",   0,"to move, be irritated","двигаться, быть возбужденным","*Kōŕ-ga-",1540,"*gurba-",1593,"*gori-",1782,"",   0,"",   0,"A Western isogloss. The root is homonymous with *gōŕa 'to starve' (except that the final vowel is uncertain here), but it seems impossible to reduce the two roots to a single entity."
 561,"*guči ( ~ -e)",1707,"eagle","орел","*güči-",1875,"",   0,"*gusi",2190,"",   0,"",   0,"A Turk.-Tung. isogloss."
 562,"*gudV ( ~ -o-) (?)",   0,"straight, vertical","прямой, вертикальный","",   0,"*goda-",1367,"*goda-",1568,"*kòt-", 964,"",   0,"Lee 1958, 111, ТМС 1, 166 (Tung.-Kor.). Not a very reliable root.  Note that the Manchu form may belong here only if it is separated from TM *gugda 'high, tall' (see under *gók`i), which is not necessarily so. The reflex -t- in Kor. points rather to *-t`- (unless one presumes secondary morphonological analogies). One wonders if all the forms present here do not actually represent reflexes of *gok`-dV, the suffixed form of PA *gók`i."
 563,"*gŭjŕe",   0,"to love, like","любить","*güŕel",1502,"*goju",1554,"*guǯej",1740,"*kò'í-",1018,"*kuà-p-", 574,"Дыбо 12, Martin 236. The root contains a rare medial cluster *-jŕ-."
 564,"*gŭ̀k`à ( ~ -o-)", 236,"curve, hook; to cling to","изгиб, крюк; цепляться","",   0,"*gok-",1627,"*guk-",1814,"",   0,"*kàk-", 803,"Cf. \U*gék`á,\u \U*k`i̯úŋu\u, \U*k`ōki.\u"
 565,"*goli ( ̃ -e)",   0,"female  of an ungulate","самка копытного животного","*göle",1998,"",   0,"*gulu-",2015,"",   0,"",   0,"A Turk.-Tung. isogloss; cf. perhaps also MMong. gölme, WMong. gölme, Ord. gülme 'skin of ox or swine, saddle cloth'."
 566,"*gúpu ( ~ -o-)", 268,"empty, hollow","пустой, полый","",   0,"*gobi-",1587,"*gub-",1776,"",   0,"*kùp-", 849,"An expressive root; not quite reliable because of scanty reflexation in TM and possible contaminations with \U*gebo\u et al. On a possible reflex in Turk. see under \U*kobu.\u"
 567,"*gure",   0,"flour","мука","*Kürüĺ", 528,"*guril", 443,"",   0,"*kằrằ", 421,"*kuà", 413,"Martin 248. In Kor. the word seems to be related to kằr- 'to grind, pulverize' - but this meaning is probably secondary (the verb originally means 'to polish, whet'). The tone discrepancy between Kor. and Jpn. should be explained either by the secondary influence of this verbal stem in Korean, or by contraction in Japanese (where *kuà < *gur(e)-ga); the first explanation seems more probable because the vowel reflex in Korean is also not quite regular (*-o- would be normally expected)."
 568,"*gurgi",  81,"palate","нёбо","*Kurgak", 923,"*güreɣe", 813,"*gorgakta",1019,"",   0,"",   0,"A Western isogloss. See Лексика 230."
 569,"*gŭri", 922,"wide, broad, thick","широкий, толстый","*gür", 545,"*gür", 457,"*gora", 144,"*kūrk-", 443,"",   0,"Despite Poppe (1960,18 etc.) the TM form cannot be compared with Mong. qola 'far'."
 570,"*gŭ̀ŕi", 926,"to unfasten, (un)tie","вязать, развязывать, завязывать","*güŕ-", 768,"*görü- / *gürü-", 674,"*gurē-", 831,"*kɨ̀rɨ̀-", 754,"*kùr-", 836,"Poppe 25, 107, Miller 1996, 154, Tekin 1979, 127. Korean has standard verbal low tone."
 571,"*gùri",   0,"to slander, go mad","клеветать, сходить с ума","*Kür",1539,"*gör-",1592,"*gori-", 833,"*kɨ̀rɨ̀-",1029,"*kùrùp-", 661,"Martin 246. Korean has a usual verbal low tone."
 572,"*gúri ( ~ -o-, -ŕ-, -e)",   1,"deer, game","олень, дичь","",   0,"*görüɣe-",1336,"*gurma- / *gurna-",1529,"*kòrání", 269,"",   0,"PTM and Korean reflect a common derivative *gúri-nV-. Note that Mong. *gura 'roebuck' is to be kept apart, see *ŋurV."
 573,"*gusa ( ~ -o-, -č-)",1704,"elder male relative","старший родственник мужского пола","",   0,"",   0,"*gusin",2160,"",   0,"*kasə",1507,"A Tung.-Jpn. isogloss."
 574,"*guša",1835,"bitter, sour","горький, кислый","",   0,"*gasi-ɣun", 819,"*goši-",1028,"",   0,"",   0,"A Mong.-Tung. isogloss. АПиПЯЯ 17, Мудрак Дисс. 41, Rozycki 92. ? Cf. OJpn. kasu 'dregs'."
 575,"*gū̀lì", 160,"dwelling, cottage","жилище, хижина","*gül", 335,"",   0,"*gūle", 361,"",   0,"*kùrà", 259,"EAS 48."
 576,"*gū́ldi",   0,"to tether, bind","привязывать","*gǖl-",1566,"*güldi-",1634,"*gulde-",1823,"",   0,"",   0,"A Western isogloss. Cf. \U*koli,\u \U*k`i̯uli,\u \U*k`iĺa.\u"
 577,"*gū̀no", 134,"to think","думать","*Kun-",1969,"*guni-", 233,"*gūn-", 106,"*kɨ̀nɨ̀r-", 752,"*kə̀nə̀-m-", 210,"Poppe 24, KW 155, ОСНЯ 1, 234, АПиПЯЯ 291. "Verbal" low tone in Korean. There are several "mental" verbs of the type KUNV in Altaic, and they are not always easy to distinguish from each other. Besides *gū̀no 'think' cf. also notes to *kḕńu 'distress, envy',  *k`i̯ŭnu 'to long, covet', *k`i̯ū́ńa 'punishment' (the latter - with additional analogies with *guna 'attack, torture'). On the whole this produces an extremely complicated etymological situation, and we are not sure we have disentangled everything correctly."
 578,"*tara",   0,"swelling, hardening, tumour","опухоль, затвердение","",   0,"*dar-",1350,"*darga",1998,"",   0,"*tari",1606,"The root is not widely attested, but seems quite reliable."
 579,"*gū́t`ù",   0,"to deteriorate","ухудшаться","*Kūtuŕ",1879,"*gutu-",1905,"*gutu-",2194,"",   0,"*kutu-",1498,"Ozawa 209-210, KW 156. The original meaning may be reconstructed as 'deteriorate', with two directions of semantic development ( > a) 'to become mad, enraged'; > b) 'to become spoiled, rot')."
 580,"*g[i̯o]jk`u",   0,"bird of prey","хищная птица","*göjke",1362,"",   0,"*giax(ü-n)", 269,"",   0,"",   0,"Дыбо 9, Лексика 170. A Turk.-Tung. isogloss.; seems reliable, but the front vowel in Turk. is unclear."
 581,"*g[i̯ú]ĺe", 246,"to strain liquid","процеживать","*Köĺ-er-", 632,"",   0,"*gile-", 681,"*kə̀rɨ̀-", 549,"*kə́s- ( ~ -ua-)", 504,"Martin 232, JOAL 119 (Kor.-Jpn.). Reflexes outside the Eastern area are scarce, but still the comparison seems probable, despite some phonetic problems (in TM *-ü- would be expected)."
 582,"*i",1293,"a deictic root","дейктическая основа","*ɨ-na-",1790,"*i-nu-",1449,"*i",1639,"*í",  88,"*i", 235,"SKE 66, ОСНЯ 1, 271-272, АПиПЯЯ 56-57, 297."
 583,"*ìbè",   0,"door, yard","дверь, двор","*eb", 157,"*eɣüde", 406,"*ib-le", 524,"*íp", 173,"*ìpùa", 371,"Menges 1982, 109. A good common Altaic root; if TM *īb-ǯe belongs here, can be reconstructed as *ī̀be."
 584,"*ìbè ( ~ -p-)", 936,"grain","зерно","*ebin", 710,"",   0,"*ibi-",1927,"*pjə́", 667,"*ìpì", 593,"In Kor. a frequent initial vowel reduction occurred."
 585,"*ibk`V",   0,"a k. of vessel","вид сосуда","*ükek",1138,"*(h)ükeg", 898,"*ibkē-n",1073,"",   0,"*ukupa", 603,"Mong. may be < Turk., but otherwise the root seems quite reliable."
 586,"*ĭ̀če", 351,"to go, reach, get ready to go","идти, достигать, собираться пойти","",   0,"*iču-",1668,"*is-",1861,"",   0,"*ìsuà(n)k-", 834,"One of the common Altaic verbs of motion."
 587,"*ič`u",1834,"inside","внутренность","*ič", 136,"*(h)iči-", 911,"",   0,"",   0,"*utu", 843,"Basically a Turk.-Mong. isogloss; the Jpn. reflex is somewhat dubious because of the influence of *ōŕi > PJ *útì q.v."
 588,"*ič`V", 853,"to hope, see","видеть, надеяться","",   0,"*(h)iča-",1264,"*iče-", 108,"",   0,"",   0,"A Mong.-Tung. isogloss."
 589,"*ĳsV",   0,"soot, smoke","копоть, дым","*ɨjs", 126,"*(h)isu", 540,"",   0,"",   0,"",   0,"Poppe 116, VEWT 167, KW 210, АПиПЯЯ 286, Лексика 371. A Turk.-Mong. isogloss. Cf. Kor. ìs 'moss' (?)"
 590,"*i̯áĺa",   0,"female; to seduce, to frolic","женщина; соблазнять, проказничать","*eĺi", 220,"",   0,"",   0,"*ə̀r'ù-", 729,"*ásuámp-", 643,"? Cf. Evk. ilu 'pregnant' (ТМС 1, 311)."
 591,"*iĺa",   0,"to rub, smear","тереть, мазать","*ɨĺɨ-",1598,"*(h)il(b)i-",1665,"*ilba, *ile-",1858,"*əru-", 384,"",   0,"KW 207, Tekin 1975, 280, Street 1980, 296. The Korean form may belong here if it is historically distinct from *ərɨ- 'fondle' < *i̯áĺa q.v."
 592,"*ile",1939,"to drive","гнать","*ẹl-t-, *ẹl-č-", 966,"*ileɣe-", 900,"*ilbe-",1077,"",   0,"",   0,"Дыбо 13. A Western isogloss."
 593,"*ílék`a ( ~ *élík`a, -k-)",   0,"front, before","перед, прежде","*il(i)k", 441,"",   0,"*(x)elekē-s", 470,"",   0,"*áráka-",1248,"Cf. Bur. eĺge(n) 'sunny side, Southern slope'."
 594,"*iĺkV", 146,"to hope, believe","надеяться, верить","*ɨĺan- / *iĺen-", 967,"*ilga-", 901,"*ilkV-",1078,"",   0,"",   0,"Дыбо 14. A Western isogloss."
 595,"*ìlù",   0,"third (or next after three), consisting of three objects","третий (или четвертый после трех), состоящий из трех предметов","*ölöŋ", 540,"",   0,"*ilan",1838,"",   0,"*ùrùpu",1332,"An interesting etymon; the original meaning can be probably reconstructed as "(a group of) three objects, followed by a fourth". The Turkic form must represent a vowel assimilation < *ilöŋ."
 596,"*ilV ( ~ -ĺ-)",   0,"to stand, become","стоять, становиться","",   0,"",   0,"*ili-", 118,"*īr-", 731,"",   0,"Martin 1996, 75. A Tung.-Kor. isogloss."
 597,"*ìla", 837,"evident, visible","очевидный, видимый","*iler-",1459,"*ile",1505,"*il-",1688,"",   0,"*àràp-ar-", 580,"The Karakh. form is isolated, but borrowing is hardly possible here."
 598,"*ìmè ( ~ -i)",   0,"a k. of vegetable","вид корнеплода","",   0,"",   0,"",   0,"*máh", 254,"*ìmə̀ (~-ua)", 303,"Whitman 1985, 180, 237. A Kor.-Jpn. isogloss, so the reconstruction is rather approximate. Cf. perhaps Oroch impai 'a k. of onion (порей)' (ТМС 1, 313); Orok imu 'potato' (ibid.) may be  < Jpn."
 599,"*ìmé",   0,"now","сейчас","*em-", 751,"*(h)ima-gta", 664,"*ime-", 813,"*ima-", 732,"*ìmá", 645,"Лексика 83."
 600,"*ĭ́na",   0,"dawn, dusk","рассвет, сумерки","*ɨŋɨr", 367,"",   0,"*ine-", 184,"*ə̀ńɨ̀r-ɨm", 209,"",   0,"Лексика 81-82. The Turk. form reflects a velar suffix (cf. PTM *ine-ŋi 'day, dawn'). Cf. perhaps OJpn. ina-(bjikari) 'lightning' ('light in darkness'?)."
 601,"*ińo",   0,"to laugh","смеяться","",   0,"*(h)inĳe-", 605,"*ińe-", 742,"*ūń-", 625,"",   0,"EAS 114, KW 208, Poppe 70, Robbeets 2000, 111. Mong., with a strange reflex of *h- in Southern dialects (opposed to 0- in MMong.) may in fact reflect a contamination: cf. Evk. heŋne- 'to laugh' (see under \U*p`eŋk`a\u). In any case, despite Doerfer MT 23, the TM root is hardly < Mong."
 602,"*i̯unu",   0,"cow","корова","*in-gek (/*ɨn-gak), *in-ken",1498,"*üniɣen",1549,"",   0,"",   0,"",   0,"EAS 114, Владимирцов 175. A Turk.-Mong. isogloss. Despite Щербак 1997, 163 Mong. cannot be borrowed from Turk."
 603,"*íŋo",   0,"to neigh","ржать","*ɨŋɨra-", 970,"*iŋča-", 905,"*iŋi-",1084,"",   0,"*íná-nak-", 839,"An expressive root, but quite regular and doubtlessly common."
 604,"*iŋV",1020,"shallow place","отмель","",   0,"",   0,"*(x)iŋā", 105,"*jə̄ ( < *i'ə)", 736,"*ía",1605,"See SKE 76. An Eastern isogloss; the Jpn. form presupposes *iŋ(V)-gV, with further contraction."
 605,"*ipe ( ~ i̯a-)", 681,"cold, winter","холод, зима","",   0,"*ebül",1472,"*ibaksa",1069,"",   0,"",   0,"A Mong.-Tung. isogloss."
 606,"*ip`i (~-p-,-e)", 682,"mouth; to say","рот; сказать, говорить","",   0,"",   0,"*(x)ipke-", 480,"*íp",  56,"*íp-",  64,"Martin 249, АПиПЯЯ 111, 277. An Eastern isogloss (but cf. perhaps Mong. abĳa(n) (L 4), Khalkha av́a, Bur. ab́a 'sound' ( < *ibaja ?); on a possible Turkic parallel see under *ŏ́t`è); seems reliable, despite a tonal discrepancy between Kor. and Jpn."
 607,"*i̯ằré",   0,"lower jaw, chin","нижняя челюсть, подбородок","*Erin", 973,"*eriwü-", 908,"*irki",1087,"",   0,"*ə̀tə́(n)kapi", 841,"KW 299, Дыбо 308, Лексика 227."
 608,"*ìri ( ~ *e-)",   0,"to rot, pus, be sick","гнить, гной, болеть","*iri-",1686,"*(h)ereke-",1758,"",   0,"",   0,"*ìtà-",1406,"KW 125."
 609,"*íru",   0,"song","песня","*ɨr", 753,"*ira-ɣu",1183,"*ir-ke-", 815,"*ɨrp-", 734,"*útá", 646,"Mong. may be < Turk. (cf. Karakh. jɨraɣu 'singer', see TMN 4, 242, Щербак 1997, 164). Note also PJ *útá-p- 'sing' = Kor. *ɨr-p-."
 610,"*ìsú",1300,"to crush, grind; bite","ломать, размалывать; кусать","*ɨsɨr-",   7,"",   0,"*(x)ise-", 231,"*ɨsɨr-", 142,"*ùsú", 953,"SKE 73 (Kor.-Tung.), АПиПЯЯ 281."
 611,"*isV",1830,"to pinch, pluck out","выщипывать, выдергивать","*iske-",1908,"",   0,"*is-",2217,"",   0,"",   0,"A Tung.-Turk. isogloss; not quite reliable because the Turkic form may reflect a contamination with *p`i̯úsa q.v."
 612,"*ite ( ~ *eti)", 142,"to eat","есть","*et-mek",1649,"*ide-",  26,"",   0,"",   0,"",   0,"A Turkic-Mong. isogloss, but no doubt archaic: a Nostratic etymology see in МССНЯ 340, ОСНЯ 1, 273-4."
 613,"*ĭ̀t`á",   0,"to rely, trust, take upon oneself","доверять, полагаться, брать на себя","",   0,"*itege-",1652,"*(x)iti",1836,"",   0,"*àntùkàr-",1331,"The root should be kept distinct from \U*ēt`a,\u although they tend to be confused."
 614,"*ìtí",   0,"board","доска","",   0,"*(h)ideɣür",1649,"*(x)ite",1852,"",   0,"*ìtá",1339,"The Mong. reflex is somewhat dubious (because of a secondary merger with *ide- 'eat, feed'), but the Tung.-Jpn. match still seems reliable."
 615,"*ìt`ù",1019,"to hit, push","бить, толкать","*it-",1334,"*ete-", 531,"",   0,"",   0,"*ùt-", 784,"Cf. perhaps Evn. ịtъ̣ŋ- 'to flounce, thrash about' (ТМС 1, 333)."
 616,"*it`VKV",   0,"a k. of (big) bird","вид крупной птицы","",   0,"*it-", 914,"*itiknĳa",1093,"",   0,"",   0,"A Mong.-Tung. isogloss."
 617,"*idV",1940,"to follow, lead, arrange","следовать, вести, расставлять по порядку","*Eder-", 842,"*iǯi",1608,"*idu-",1441,"",   0,"",   0,"A Western isogloss. The original meaning here is probably "arrange in order", whence all the other meanings are easily deduced. Cf. similar roots: \U*adV,\u \U*i̯ude,\u with a possibility of secondary contaminations."
 618,"*i̯agu ( ~ *i̯oga)",   0,"hips, space between hips","ляжки, место между ляжками","*(i)ag",1569,"*aɣarčak",1640,"*oga",1242,"",   0,"",   0,"A Western isogloss."
 619,"*ipa ( ~ -b-)",   0,"shell","раковина","",   0,"*(h)ibawu",1271,"*ibu-kta ( ~ *igu-kta)",1467,"",   0,"*apampi",1128,"Cf. also OJ ebi 'shrimp, shellfish' - perhaps an old dialectal variant of the same root."
 620,"*i̯àk`ì ( ~ -k-)",  61,"liquid, flow","жидкость, течь","*iak-", 978,"",   0,"*iaKu",1095,"",   0,"*ìkà-i",1697,"Мудрак Дисс. 196."
 621,"*i̯ámu", 813,"hole, pit","дыра, яма","*(i)am", 639,"*(h)uma-",1876,"*umu-", 691,"*ùmúk-", 562,"*úmá-", 513,"Cf. also notes to \U*úmu\u 'to bear' (the reflexes of which tend to merge with the reflexes of *i̯amu with specialized meanings 'vulva, genitals')."
 622,"*i̯ánti(-kV)",   0,"a k. of small predator","вид небольшого хищника","*(i)anduk ( ~ -nt-)", 419,"",   0,"*iandaku", 446,"*jə̀ń", 276,"",   0,"Дыбо 9, Лексика 159."
 623,"*òŋè", 774,"exterior, front","внешняя сторона, перед","*öŋ / *oŋ", 958,"*öŋge", 852,"",   0,"",   0,"*ə̀mə̀", 826,"EAS 154, Poppe 107 (Turk.-Mong.). Щербак 1997, 131 treats the Mong. word as borrowed from Turk., which is hardly the case. In the Turk.-Mong. area the root could have interacted with *ā̀ŋo `right' (sometimes also acquiring the meaning 'front') q.v.; note also the common Mong. derivative eŋge-sge `rouge, red paint' ( < `face skin')."
 624,"*i̯ap`i ( ~ *i̯op`u)",   0,"to break","ломать","",   0,"*ebde-", 915,"*iapu-",1096,"",   0,"",   0,"A Mong.-Tung. isogloss."
 625,"*ùp`í", 594,"to grasp","хватать","*üp", 584,"*(h)öb",2165,"",   0,"*op- / *up-", 786,"*ùmpà-p-",1309,"Despite VEWT 522, hardly borrowed in Turkic < Mongolian; the reverse direction is possible, but semantics of the Mong. word speaks rather against it."
 626,"*i̯ap`u",1832,"adze","долото","*Apɨl",1775,"*oɣuli",1861,"*upa",2098,"",   0,"",   0,"KW 292, VEWT 2. A Western isogloss."
 627,"*i̯àrgi ( ~ -o)", 683,"wild beast of prey","назв. хищного животного","",   0,"",   0,"*iarga", 440,"*írhì", 271,"",   0,"A Tung.-Kor. isogloss. In Kor. one has to suppose a secondary monophthongization (*jə́rhì > *írhì), cf. the attested Old Koguryo *yaši ( = *yarhi) 'wolf' (see Miller 1979, 10)."
 628,"*uk`e",1143,"a k. of bucket, fish-trap","вид ведра, ловушка для рыбы","",   0,"",   0,"*ukī",2406,"*oku",1197,"*bə̀kaî",1693,"An Eastern isogloss."
 629,"*orV", 990,"deer, antelope","олень, антилопа","*orga",1341,"*(h)oroŋgo",1337,"*oran",1530,"",   0,"",   0,"A Western isogloss."
 630,"*i̯aru",   0,"young (of an animal)","молодой (о животном)","*Arkun (?)",1991,"*(h)ori", 705,"*ora-",1531,"*ə̀rí-", 956,"",   0,"The Turkic reflex is somewhat questionable; it belongs here if we suppose a semantic development 'young (animal)' > 'young horse, stallion'."
