NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
374|*ńūl(ü)-|2659|to shave (skin)|скоблить (шкуру, мездру)|ńūl-, ńūli-|ńūl-|ńul-|||||||ńulu-|||ТМС 1, 645.
375|*ŋōr-ča-|1547|to contest, to wrestle|соревноваться, бороться|ŋōrča-||mōjčan-||||wāča-|wōto- / ŋōto-; ŋu(r)- 'to overcome'|wāča-||||ТМС 1, 665.
376|*liam-|1214|1 bow 2 to shoot|1 лук 2 стрелять|nēmkī 1, (Sym. arch.) lē̂man 'loop of a bow string'|nǟm 'bow-string', nemkъn 'shooting'|nemku- 1|||||lajmatčị 'strap for tying together parts of harpoon'|||||ТМС 1, 496, 620-621.
377|*nīka-|1497|1 relative 2 servant, slave 3 Chinese 4 ordinary man, people|1 родственник 2 слуга, раб 3 китаец 4 мужик, деревенщина|ńīkī (Nerch.) 1||nịkan 3, (arch.) 2||niqan 3, 4||ńiqa(n) 2, 3 (arch.)|ńaqqa(n) 2|ńịqã 3|ńiŋka 3, (arch.) 2|niŋka 3, (arch.) 2|nixã 3|ТМС 1, 590, 637.
378|*ŋāni-|1529|to fetch, go to take smth. or smb.|пойти, чтобы принести что-л.|||||||ŋan-ǯụ-||ŋānị-||||ТМС 1, 657.
379|*ńān|1416|again, once more|снова, еще раз|ńān|ńān|ńān||||||ńā|ńa|ńa|\Inā̃\i|ТМС 1, 633.
380|*ǯōm- (/ *ǯōn-)|2633|to remember|помнить|ǯōn-, ǯōm-kit-|ǯōn-, ǯōman-|ǯon-||ǯo-, ǯono-||ǯombụ-|dōndụ-|ǯōmbo-|ǯōmbu-|ǯoŋi-|ǯōn-, ǯōmụ̄-|ТМС 1, 264. Final *-n in some forms is unclear.
381|*in-|679|1 to live 2 alive|1 жить 2 живой|\Iin-\i 1|īn- 1|īn- 1||||||iŋ-kĩ 2|ini 2|inigi 2|inirge- 'to revive'|ТМС 1, 315.
382|*kēlu-me|942|servant|слуга|kēlūme|kēlme||||||kele|||||ТМС 1, 447.
383|*pāla-n|1723|1 meadow, open ground 2 floor|1 поляна, ровное место 2 пол||hālinrъ̣ 1|palan 2 ( < South.)|falən 2 (454)|fala(n) 2||pala(n) 2|pālla(n) 2|palã 2||||ТМС  2, 32, 313. Shortness in Nan. palã is probably secondary (or a misrecording).
384|*ŋiāŋ-ta|1528|fir-tree|пихта|ŋāŋte|ŋāŋtъ̣|ŋāŋta||wantaꭓa||waŋta|waŋta / waŋịta|waŋta, dial. ŋaŋta||ŋaŋta||ТМС 1, 657-658. Southern languages show here a w-reflex, typical for *ŋ- before diphthongs and back vowels, so -ā- in the Northern subgroup must be secondary (a trace of it is perhaps preserved in the Tompon dialect of Even, where the recorded form is ńaŋta).
385|*ǯig-|2600|1 running fast; race horse 2 to streak|1 проворно бегающий, беговая лошадь 2 мелькать|ǯiɣar 1|ǯịg- 2|||||||||||ТМС 1, 255.
386|*bōKan|174|thigh|бедро, ляжка|bōkan|bōqъ̣n|||buxi||||||\Ibō`\i (Корм. 213)||ТМС 1, 90.
387|*bāru|110|in the direction of (postpos.)|по направлению к (послелог)|||||baru||bā- / bē-|bārụ-|bāro-|bai-ti|||See ТМС 1, 75.
388|*dal(i)-|355|to close|закрывать|dal(i)-|||dali- 'to defend' (794)|dali-||dālị-||dālịa-||||See ТМС 1, 192. TM > Dag. dali- (Тод. Даг. 134). Length in Ul. and Nanai is not clear.
389|*dāl-bu-|361|to glue, stick to|клеить, прилипать|dalbu-|dālbu-|dālbụ-||dalu-||darpụ-||dālpo-||dagbu-||Cf. also Evk. dāl- 'to stick to, be boring' (which probably reflects the original suffixless stem *dāl(a)-). See ТМС 1, 192.
390|*bara-|108|1 many 2 to increase 3 capacious|1 много 2 увеличиваться, возрастать 3 емкий, просторный|bara-ma 1, bara-l- 2|baran 3|baja 1||baran 1|||bara 1||||barā 1|Some forms may be borrowed from Mong. (cf. Bur. baran; note, however, that the word is attested only in Buryat and probably borrowed < Turk., while the TM forms are very widely spread; Dag. barān certainly < TM, see Тод. Даг. 124), but the root is still probably genuine. See ТМС 1, 73.
391|*tulge|2460|wolf|волк||||||||||||tūlge|ТМС 2, 210. The relationship of this word to Evk. tīle 'bear' (ТМС 2, 181) is not quite clear.
392|*sībe|2099|horse-tail, swamped ground where it grows|хвощ, заболоченная почва, где растет хвощ|sīwēɣ|hīweɣ|siwu-kte||sib́a / sibe||siu-kte||siu-kte||||ТМС 2, 76.
393|*sūn-|2144|1 to stretch out 2 become lean 3 stretched (adv.) 4 to faint, lie without consciousness|1 вытягиваться 2 худеть 3 вытянувшись 4 лежать без чувств|sūn- 1|hụn- 1|suŋ-gumǯi 3||suŋ-gi- 2||suŋ-guǯa- 4|\Isun-\i 4|suŋ-gure 3|suŋguremdi 3|sụ̄ŋī- 1||ТМС 2, 126-127. Nanai has secondary vowel shortening.
394|*tamV-|2323|shed, cover (for a hut)|навес, покрышка для чума||tamana|||||||tamịxị||||See ТМС 2, 159.
395|*muči-kta|1355|1 needles (branches) of a conifer 2 bamboo bast|1 хвоя 2 бамбуковое лыко|mučukte 1, muču-  'to be green (of a larch)'|mụčịt 1 (also 'young green sprouts')|||mučiꭓa 2||||||||ТМС 1,562. Evk. > Yak. mučukta, Dolg. möčükte (see Kał. TJ 266, Stachowski 180).
396|*esī|412|now, just now, not long ago|сейчас, только что, недавно|esī|esi-me|esī||esi 'yes, certainly'||esi|esi|esi|esi|esi|eš́ī|See ТМС 2, 467-468.
397|*pialki- (/-rk-)|1782|1 to flash (of lightning) 2 lightning 3 to thunder|1 сверкать (о молнии) 2 молния 3 греметь (о громе)|hē̂lki- 1, hē̂lkin 2 (/-rk-)||||||pịčụ- 1||pojqana- 1|xǟkki- 3|||See ТМС 2, 320.
398|*sile-|2005|dew|роса|sile-kse|hīli|sile-kse||sile-ŋgi|sie-le-un (10), cf. siel-hi 'spring' (48) (2-431)|silemse|śile-śke|sile-mse|sileŋse|silihe|š́ilikš́i|See ТМС 2, 85-86.
399|*lūńe|1232|wet snow|мокрый снег|lūńe||luńe||||||||||ТМС 1,510.
400|*ńaŋńa|1526|clear sky|ясное небо|ńaŋńa|ńanịn|ńaŋńa||ńaŋńa|||nāŋna||ńaŋńa|ńaŋńa||ТМС 1, 634. Cf. also *ńaŋ-ma- ( > *ńamŋa-) 'to become clear (of sky); to appear (of hoar-frost)' (ТМС 1, 632, 633).
401|*xomī-|1120|1 hunger, hungry 2 drought 3 to be hungry|1 голод, голодный 2 засуха, неурожай 3 голодать|omī-kin 1|omъ̣t- 3|omịxị̄n 1||omi-n 1, 2||ꭓomčị- 3||ꭓomị 1, 2||omisi- 3||ТМС 2, 17.
402|*antaga|38|slope of a mountain|склон горы|antaɣa|antъ̣ɣ|antaɣa||antu||||antaǯịa||anta||ТМС 1,44.
403|*muŋu-, *muŋbu-|1353|1 oval, round 2 blunt, rounded|1 овальный, круглый 2 тупой, закругленный|mumō 2, mumbu-me 1, mombo- 'roll'|muŋuti 1|||mumuri 2||||muŋgel-muŋgel bī 1||||Tung. > Yak. mumur / muŋur 'blunt'. See ТМС 1, 544, 556, 558. Evk. munčukē 'beads' may be derived or else may be a later Turkism.
404|*xule-|1129|1 canal, ditch, duct 2 whirlpool 3 pool|1 канал, канава, протока 2 водоворот 3 омут||ūl, ulgin 3|||ule-n 1|||xulu-pti 2|xuler 'pit in river bottom' (On.)|ūle 1|ūle 1||ТМС 1, 477; 2, 257, 264.
405|*mūsa|1378|pools in a swamp|лужи на болоте, болото травяное|mūsu / mūsa||||||||||||ТМС 1, 548. Attested only in Evk., with a possible Korean parallel.
406|*niāru|1391|1 lake 2 swamp|1 озеро 2 болото|ńārut 1|ńarụqaɣ 2|||ńari 2||||nịarõ 2||ńau 2||ТМС 1, 636.
407|*kum-|918|1 edge 2 hollow, cavity 3 precipice|1 край, бок 2 дупло, впадина 3 яр|kumdika 1, kumŋa 2|kumtutti 3|||kumdu 2||||||||ТМС 1, 430, 431, 450. Despite Rozycki 146, Man. kumdu cannot be explained as a loan < Mong. köŋdei (q. v. sub *kĕ̀ŋi).
408|*xarba|976|1 shallow place, shoal 2 shallow 3 ebb, ebb-tide 4 to become shallow|1 мель 2 мелкий 3 отлив, отмель 4 мелеть|arba 1,2|arbatị 1|ajba- 4||||ꭓalba 2||ꭓarba 1,2||||ТМС 1, 49.
409|*niala-|1465|1 overflowed place 2 shallow|1 место, затопляемое в половодье 2 мелкий||ńalakụ 2|||||||nịala / ńala 1||||See ТМС 1, 629.
410|*tur-ku-|2393|1 to jump 2 to swoop (of a wind gust)|1 прыгать 2 налетать (о порыве ветра)|turku- 1||||||||||tuku- 2||ТМС 2, 220.
411|*ugē(r)- / *ug-be(n)|2494|1 wave  2 jet 3 river rift|1 волна 2 струя, рябь, зыбь 3 порог (на реке), перекат|ūɣe 1, dial. uwē, uwge-||uwē 1, ubge-n 3||were-n 2||ugbe(n) 3||\Iwẽ\i 1, ugbẽ 3|uwe 1, 2|\Iwē\i (Корм. 219), \Iue\i 1, 2, ugbe(n) 3||ТМС 1,132; 2, 243, 247.
412|*tim-|2371|1 calm (of weather) 2 calm, silent 3 to speak silently, move lips 4 night silence (in the forest)|1 затишье (о погоде)  2 притихнув, примолкнув 3 шевелить губами, ворчать  4 тишина (ночью в лесу)|temelken 4|tịmъ̣rъ̣n 1, timne- (folkl. tīnme-) 3|||||||čịmo-čịmo 2||||ТМС 2, 182, 235. Cf. also Evk. (Kamn.) tamurga- 'to become silent'.
413|*saj-|1892|sandbank|песчаная насыпь|sajaŋ 'забереги' (water above ice along the bank)||saị-čaụ||||sịja(n) 'sand'||sịjã 'sand'||||ТМС 2, 54, 55.
414|*sigi-|2045|ice-hole|прорубь|sigi-lēn 'frazil'|hịɣlān|siɣin ~ sĳin||||\Isi(n)\i|sī(n)|\Isĩ\i|sē̂la 'snow crust'|sī(n)||ТМС 2,78.
415|*sir-|2184|1 spring, well 2 to strain, press out 3 to milk|1 родник, ключ 2 выжимать 3 доить|\Isir-\i 2, 3|hịr- 3|sĳ- 3|šeri, seri 1 (2085)|šeri 1, siri- 2||sịrị- 2, 3|sịrị- 2, 3|\Isire\i (Bik.) 1, sịrị- 2|sī- 3|sie 'bay with spring water'; sī- 2, 3||ТМС 2, 93, 101.
416|*xapu- ~ *xopu-|1124|foam|пена|||||ꭓofon ~ ꭓafun||||||afuti||ТМС 1, 59.
417|*tegē-r /-n|2334|1 lower edge 2 edge|1 нижний край 2 край|teɣēr (dial. teɣēn) 1||teɣen 1||\Iten\i 2||tene 'beginning'|tē(n) / teɣe(n) 1,2|\Itē̃\i 2|\Itē\i 1|tē(n) 1||ТМС 2, 228.
418|*sup-|2066|1 to prick 2 prickly thorn, bush 3 to stick into|1 занозить 2 заноза; колючий кустарник 3 втыкать, пришпиливать|\Isup-\i 1, supirē 2||\Isup-\i 1, supukta 2||sifi- 3||||||||ТМС 2, 100, 128.
419|*ulīn-(kta)|1561|wild apple|дикое яблоко|ulīkta 'wild apple', ulukta 'bird-cherry'||||uli 'pear; rowan'||unikte||uńikte||uliŋkie|ulītte|ТМС 2, 261, 264.
420|*mes(k)u-|1287|grape|виноград|||||muču|me-ču (130)||muskeri 'name of a tree'|muksulte||mesukte||ТМС 1, 572.
421|*kuri|888|cone, nut|шишка, орех|||||ꭓuri 'fir cone'|xuri (127) 'fir cone'|||kori-či 'water nut', kore-kta 'pine cone'||||ТМС 1, 416, 417, 478.
422|*kĳo-kta|794|brier|шиповник (плоды и кусты)||kēkto 'unripe berry'|||ḱōḱōn 'name of an edible plant'||qojoqto|qịjoqto|qịoqto|kĳokto|kökto, kiokto (Корм. 251)||ТМС 1, 387.
423|*seŋkürē|2082|a k. of bush, багульник|багульник|seŋkirē|heŋkъje|seŋkĳē||seŋkiri x́an 'назв. растения'||seŋkure|sekkure|sēŋkure|seŋki|seŋkie||ТМС 2, 143.
424|*turi-|2438|1 gooseberry; black currants 2 peas, beans|1 черемуха; крыжовник; черная смородина 2 горох, бобы|turikta 1||||turi 2||||||||ТМС 2, 219. Man. > Neg., Nan. turi (etc.), see ibid.
425|*ǯĳa- / *ǯĳe- ( ~ -g-)|2616|1 millet 2 porridge|1 просо  2 каша|||ǯākta 1|ǯē belə 'millet (Setaria italica)' (286)|ǯe 1|che-(po-le)|||ǯiekte 1|ǯiekte, ǯekte 1|ǯakta 1|ǯakta 2|See ТМС 1, 244.
426|*ōkta|651|currant|смородина|ōkta||ōkta||ukuxu, -xe 'name of a berry'|||||oktokto|||ТМС 2, 11.
427|*meŋgu-|1282|a k. of plant|вид травянистого растения, употребляемого в пищу||||||||||meŋgulike ((Аврорин-Лебедева 206)|||ТМС 1, 569. Attested only in Oroch, with possible external parallels.
428|*puka|1653|1 henbane 2 fern 3 dry grass for fire|1 белена 2 папоротник 3 сухая трава для растопки|||||fuqtala 2, fuxen 3||poqo 1||poqaqã 1||||ТМС 2, 40, 301, 302.
429|*ńuńV|1523|a k. of plant|вид растения|ńuńaldiwūn 'назв. растения ("льняное волокно")'||||nono "ситник, водяной лук"||||||||ТМС 1, 605, 646.
430|*gār(u)a|488|1 owl 2 swan|1 сова 2 лебедь|gāre 1,2|gār 'a big mythical bird'|gaja 1||\IGaru\i 2|gawr-un (185) 2|\IGoara(n)\i 1|||garua 1|\Igā\i 1||ТМС 1,142-3.
431|*ńuŋńakī|1508|goose|гусь|ńuŋńakī|nụ̄ŋqị 'баклан', nēŋen|ńoŋnixīn, ńoŋńaxī|ńuŋəńahə (2248)|ńoŋńaꭓa|niuŋ-nia-xa (646)|ńụŋńa|nụŋna|ńoŋńa|ńuŋńa|ńuŋńa`i|nụnnaxi|ТМС 1, 611, 623, 646-7.
432|*ulgumV (/*ulmugV)|2513|1 pheasant 2 gull|1 фазан 2 чайка|umŋētī 2|ȫmŋēti 2|ömöti 2|oləhəmə, oləhumə 1 (2250)|ulꭓuma 1|ulhu-ma  (188) 1|olGoma 1||olGomị 1||||ТМС 2, 268, 283.
433|*piabi|1647|a k. of sparrow|вид воробья|hiwi, Yerb. hē̂wi 'клест, снегирь, дрозд ореховый'||||f́abqu, f́afiqu 'воробей-конопляник'||||||||ТМС 2, 321.
434|*kori|816|a mythical bird (mediator)|мифическая птица (медиатор)||||||||qorị|qorị|kōri|||ТМС 1,415.
435|*saksa(ki)|1893|magpie|сорока|saksa 'утка-саксан; кулик'||saksa 'утка-саксан'||saqsaꭓa, čaqsaꭓa||saqsị|saqsan|saqsị̄|saqsan|||ТМС 2, 56.
436|*sugen ( ~ -b-)|2123|1 gull 2 heron|1 чайка-рыболов 2 цапля|||||suwan / suwen 1|su-wen (181) 2|||||||ТМС 2, 117.
437|*k[ia]m-|950|diver|гагара||kǟmilŋa / kiamilŋa||||||qojomo 'a k. of duck'|||||ТМС 1, 388, 404. Cf. also Man. xumudu / xumtu 'bustard' (ТМС 1, 447). The vocalic reconstruction is not quite clear.
438|*sig- / seg-|2095|wild deer|дикий олень|segǯen, dial. sekserge||||||||segǯi 'herd of wild swine'||sigisa 'годовалый изюбр'||ТМС 1, 325, 327; 2, 136.
439|*sesi-n|1973|herd (of deer, wild animals)|стадо (оленей, диких животных)|sesin|hesъn|sesin||sesi-le-ŋge|||sesi(n)|sesĩ||||ТМС 2, 146.
440|*iarga|627|leopard|леопард||||jarəhə (2220)|jarGa / jarꭓa, jerxe|jara (148)|||jarga (On.)||jagä (Корм. 240)||ТМС 1, 337, 355.
441|*loŋ-sa|1229|1 lynx 2 male sable 3 sable|1 рысь 2 самец соболя 3 соболь|nonno 1|nụŋụčan (dimin.) 'small mouse'|||luŋgu, luŋga 2 (Захаров 858)|||||noso 3|nüho̲ 3||ТМС 1, 510, 605, 612.
442|*ulgu-kī|2512|chipmunk|бурундук|ulgukī||||||ulǯi||ulgi|uggukǟ|ugǯixi||ТМС 2,258.
443|*biaru|136|sheep|овца|bē̂ru||||||||||||ТМС 1, 78. Isolated in Evk., but despite Poppe 1972, 103, hardly < Mong. (because of semantic difference).
444|*šičukta|2168|a young domestic animal|детеныш домашних животных|čičuha (Barg.) 'domestic goat'||||sučutu 'a 2-year-old foal'||||||||ТМС 2, 133, 401.
445|*suǯakī|2152|cat|кошка|suǯakī (Urm.)||||||||||||ТМС 2, 120.
446|*iandaku|622|1 racoon dog 2 badger 3 young of badger 4 wolverine|1 енотовидная собака 2 барсук 3 барсучонок 4 росомаха|jantakī 4||jandako 1||jandači 3||jandaqụ 1||jandaqo 1|jandaku 1, jadači 2|jandasi 2||ТМС 1,341, 249. Interdialectal loans are not excluded.
447|*solüki|2049|1 kolinsky 2 ferret|1 колонок 2 хорек|soliɣā (dial.) 1||||silixi / soloxi 2||||soĺụ 1||solüö 1|sōligi 1|ТМС 2, 109 (some forms - but not all - are borrowed from Mong. soluŋga).
448|*sulakī|2109|fox|лиса|sulakī|hụlǟ|solaxị̄||||sụlị|sụlị|solị|sulaki|sula`i (Корм. 289)|sụlaki, sụlaxi|ТМС 2, 124.
449|*kuma|814|seal|нерпа, тюлень|kuma|qụma|koma||||||||||ТМС 1, 430.
450|*tuksa-|2419|1 to run 2 hare|1 бежать 2 заяц|tuksa- 1, tuksa-kī 2|tụ̄s- 1|toksa- 1,  toksakị̄ 2||toqsaqa 'bastard'||toqsa 2|tụqsa- 1, tụqsa 2|toqsa 2|tuksan 2|tukeä- 1, tuksa 2|tụkčān- 'jump, leap', tụtčaxi, tụrčaxi 2|ТМС 2, 208.
451|*paxan|1614|bream|лещ|||||||paꭓa(n)||paꭓã||||ТМС 2, 32.
452|*muduri|1322|dragon|дракон||||muduri (2276)|muduri|mudu-ur (135)|muduli||muduri|muduri|mudile (Корм. 262)|mudur|ТМС 1, 550. TM > Dag. mudur (Тод. Даг. 155).
453|*čaKar|345|temple; eyelid|висок; веко|čakar|čaqarba|||||||||||ТМС 2, 378. Occasional forms with -o- (Evk. dial. čōkawran, čokomī, Evn. čoqъ̣rron) may actually reflect PA *č`òk`e q.v.
454|*sokta|2106|1 yukola (part from fish's back) 2 fat, grease|1 юкола (часть, отрезанная от позвоночника) 2 жир, сало|||soktou 2|||||||soqto 1|||ТМС 2, 106.
455|*čiabikta|303|shell|раковина|čē̂wɨka (Il.)||čōkta||||čoịqta|toịqta|čoịqta|čojikta|||ТМС 2, 387, 404.
456|*kām-|744|dried fish|юкола||qām||||||||kambuti 'name of a small fish'|||ТМС 1, 369, 370. Cf. also Oroch kemmui 'herring' (ТМС 1, 448).
457|*poŋdV|1664|1 gudgeon 2 grayling|1 пескарь 2 хариус|||||||puŋgu 1||pendē 2 (Он.)||||ТМС 2, 43, 47 (Evk. punnu, pundu, Oroch pende and Ud. poŋehä are borrowed).
458|*māńgu / *mańma|1254|1 Salmo Lenoc 2 trout 3 crucian 4 whitebaits|1 ленок 2 форель 3 карась 4 снетки|mājgu 1, majma / manma 2|mönke 2|manma 2||marma nisiꭓa 2; moŋgošun 3; muŋku 4||||menekse 'назв. рыбы'||mojo`u, mejeu 1 (Корм. 261)||ТМС 1, 521-522, 545, 548. TM > Mong. marma (see Doerfer MT 91); > Russ. maĺma (see Аникин 371).
459|*dēŋgu|379|1 cross-bow 2 arrow|1 самострел 2 стрела|||||||dēŋgure 1|dēŋgure 1|dēŋgure 1|deŋgu 2|||ТМС 1, 234.
460|*čōr-|334|1 pike 2 young fish|1 щука 2 рыбья молодь|||||čurꭓu 2|||||||sōraldī 1|ТМС 2, 113, 400. The Manchu form is regarded as a mongolism by Rozycki, but (unlike Evk. čirukaj 'pike') is more probably a genuine cognate.
461|*čačaraku|1924|a k. of locust|вид саранчи|||||čačaraqu||||||||ТМС 2, 386. An isolated Manchu form, and borrowing < Mong. (see Rozycki 42) cannot be entirely excluded.
462|*pānta- / *pēnte-|1626|1 rainworm 2 flea|1 дождевой червь 2 блоха|hānteku 2||||||||pēnte 1||||ТМС 2, 47, 315.
463|*kuńī-kta|920|1 larva of a gad-fly 2 butterfly|1 личинка овода 2 бабочка|kujīkta, dial. kuńukta 1|köjit 1|kujikte 1||||koači 2|kūńikte 1||kōńi(ka(n)) 2|koańa` 2 (Корм. 249)||ТМС 1, 410, 424. Evk. > Dolg. künükte, küńükte (Stachowski 165).
464|*püjmur|1876|dragon, monster (resembling a constrictor, crocodile or sheat-fish)|дракон, чудовище (напоминающее удава, крокодила или сома)|||ximu||||pujmu(l)|pomoị|pujmur|ximu, sīmu|||ТМС 1, 466.
465|*mana-|1381|louse|вошь||manačān||||||maŋụlụtče- 'to bite (of fleas, bedbugs)'|||||ТМС 1, 527, 531.
466|*čīme- (~š-,-ǖ-)|321|a k. of insect|насекомое (мухообразное с пестрыми крыльями)|čīmečīldūn||||||||||cimgi  (Корм. 310)||ТМС 2, 395.
467|*kori|931|1 frame, blockhouse 2 cage 3 shed|1 сруб 2 клетка 3 хлев|||koj 1||ꭓorin 2,3||qorị 1,2|qorị 1|qorị 1|koi 1|koai- (Корм. 249),   kua- 'to make a blockhouse'||ТМС 1, 415. The listed forms cannot be regarded as mongolisms, despite Doerfer MT 77 (although forms like Evk. korigan are certainly < Mong., see Poppe 1966, 191).
468|*kelder|757|1 variegated, spotted 2 mole|1 пестрый, пятнистый 2 родимое пятно||keldъr 2|keldejin 1||||kelderu(n) 1|kelderu 1||kegdi 1|kedei 1||ТМС 1, 446.
469|*ǯesē|2595|custom|привычка, обычай|ǯesē||||||||||||ТМС 1, 286. Attested only in Evk., but having probable external parallels.
470|*(x)elekē-s|593|at first, in the beginning|сначала|elekēs|elъkъs|elexes||||||||||ТМС 2, 449.
471|*nīme-kte|1498|skin on young horns|кожица на молодых рогах|nīmekte|ńiemъt|mīmekte||||||||ńimakta||ТМС 1, 596.
472|*(x)ob-|652|1 to become spoiled (of meat) 2 to get tired, exhausted 3 to get poor|1 портиться (о мясе) 2 уставать, изнемогать 3 беднеть|obdo- 1|obdъ̣- 2|obolo- 3||uba- 1, obdoqo jali 'spoiled, tasteless meat'||||||||ТМС 2, 4, 5.
473|*kuŋā|926|1 childhood 2 child 3 new-born child|1 детство 2 ребенок 3 новорожденный|kuŋā, kuŋa 1, kuŋākān 2|qụŋa 2|koŋaxān 2||||||qoŋar bī 3|||kuaxań 2|ТМС 1, 433.
474|*ǯīb|2621|house, dwelling|дом, жилище|ǯū|ǯụ̄|ǯō||ǯeofi 'round hovel thatched with straw or birch bark'||ǯụ̄(ɣ)|dụ̄-qụ|ǯō|ǯu(g)|ǯugdi|ǯūɣ|ТМС 1, 266-267, 285. For final *-b cf. Evk. ǯūw-čā- 'to do housework'. PT *ǯūb probably < *ǯīb; the archaic front vowel is preserved in the derivative *ǯīb-ma- 'to go to one's home, to go visiting' > Evk. ǯūmā-, Evn. ǯụ̄ma-, Oroch ǯīma-, Nan. ǯị̄ma- etc.
475|*pul-|1855|1 corner (of mouth) 2 cheek 3 inner side of cheek 4 gum 5 cheekbone 6 nose (of animal)|1 уголок (рта) 2 щека 3 внутренняя сторона щеки 4 десна 5 скула 6 нос (зверя)|hullir 6|hulrъ̣n 3|xolịn 1||fulǯin 2||pụ̄lị (Sch.) 5, pụltụ(n) 3|pụlčị 3|polpị̃ 3 , (Bik.) felče 4||||ТМС 2, 346.
476|*kata-|948|1 to tie hard 2 band 3 friend|1 крепко привязывать 2 лента, тесьма 3 друг||qataq 3|kataɣa- 1, katịxa 3||ꭓata 2||qatara- 1|qatara- 1|qatara- 'to grasp one's hair'||||ТМС 1, 384.
477|*seŋne|1965|1 gill 2 fringe 3 cock's comb|1 жабры 2 бахрома 3 петушиный гребень|senŋen 1|heŋne 1, heŋnen 2|sēńŋe 1|səŋələ 'mane; comb, crest' (2280)|seŋgele 3,2||sene / seńe 1, senem bi 'bearded'|sene 1|sejŋe 1|sene 1|seŋe 1||ТМС 2, 143.
478|*sire-|2009|sinew, thread|сухожилие, нить|sirekte|\Isiren\i (Arm.)|sĳekte, sĳēn|širəxē 'fiber' (269)|sirge / sirxe, \Isiren\i||siri, sirekte|sirekte|sirikte (Kur-Urm.), sīrẽ|sĳe, sĳekte|sie, siekte|š́irikte, š́iritte|ТМС 2, 97. Despite superficial resemblance and Doerfer MT 26, the word has nothing to do with Mong. *sirmö- / *sirbö- 'sinew' (which is = TM *sumu-, see under *si̯orme).
479|*kum-|917|eyelid|веко||kȫmdemke|kembukte||||kumte, kumbikte||kumukte||kempukte, kemukte (Корм. 254)||ТМС 1, 430, 447.
480|*(x)ipke-|606|to order, tell, lure|приказывать, велеть, подстрекать|ipku-, ipke-|ipkъn-|||||||||ikpele- (Корм. 237)||ТМС 1, 322.
481|*pata, *pataka|1719|1 feet pads 2 fetlock 3 sole 4 bottom 5 paw, hoof 6 sledge runner 7 butt (of tree)|1 подушечки на лапе 2 щетка под копытом 3 подошва 4 дно, низ 5 лапа, копыто 6 полоз нарты 7 комель, дерево, погруженное в воду|hata 1,2|\Ihat\i 3,4, hatịqa 2|xata 1,2|fatəhə, fatəqə 'hoof' (2289)|fatan 3,4, fatꭓa 5||pata 6|patta 7|pata 5||xedi 6||ТМС 2, 318. Some languages reflect a variant *piakta (*piatka) - see ТМС 2, 320.
482|*xurū|1164|1 hoof 2 handful|1 копыто 2 пригоршня, горсть|urūn 1, urū 2||||||ꭓụrụ 2|ꭓụ̄rụ 1, ꭓụrụ 2|ꭓōrõ 1, ꭓoro 2|ū-ŋki 1|\Iū\i 1, 2||ТМС 2, 287, 288.
483|*sigdi-pu|2564|metatarsus|предплюсна||||||||sigǯipu|||||ТМС 2, 77. Attested only in Orok, but having probable parallels in Turk. and Mong.
484|*muda-n|1356|end, limit, finish|конец, предел|mudan|mụdъ̣n|modan||||mụda(n)||modã||muda(n)|mudã|ТМС 1, 550. TM > Dag. madan (Тод. Даг. 153).
485|*upVkte|1577|1 lung(s) 2 down, light feather(s) 3 spleen 4 brisket (of a bear)|1 легкие 2 пух, легкие перья 3 селезенка 4 грудина медведя||öbdъ 3|opkolị 4|ufuxu 1 (85)|ufuxu 1||upte 2|upukte 2|upulte 2, upke 3 (Kur-Urm.)|upukte 2|ofokto 2||ТМС 2, 22, 29, 281.
486|*bosa-kta|171|kidney|почка|bosokto|bostъ̣|boxokto|bošəqu, bosəqu 'kidneys' (92)|bosꭓo||bosoqto|bosoqto|bosoqto||bōkto|bosokto|ТМС 1, 97. TM > Dag. basarta (Тод. Даг. 125).
487|*keb-te|768|1 belt 2 to bulge (of belly)|1 пояс, набрюшник 2 выпятить живот|kebder- 2||||xebtexe 1|xebu-de (227) 1|||||||ТМС 1, 387-8, 442.
488|*doŋka|393|saddle (for children or horses)|седло (детское; конское)|doŋqa||||||||||||ТМС 1, 216. Attested only in Evk. and rather problematic. It matches phonetically Evn. dōŋqъ̣n, Nan. dōŋqo (On.) 'place where wild birds roost', derived in ТМС 1, 211 from *dō- 'to sit down'. Let us note, however, that the verb means exclusively 'sit down (of birds), roost', so the meaning 'saddle' is hardly derivable from it. We may well be dealing with a secondary semantic contamination in Nan. and Evn.
489|*čīme- (~š-,-ǖ-)|324|1 knee-cap, fat under the knee-cap 2 ankle, huckle-bone|1 коленная чашечка, клейкая масса (в коленном суставе) 2 лодыжка|čīmečin 1|čimnēk 2|||||||||||ТМС 2, 395.
490|*talpi|2300|thigh, hip|бедро|||||||tarpị|talpị, talịpụ|talpị||||ТМС 2, 169.
491|*omga|1571|upper part of hip; behind|бедро, ляжка; круп|||||||ombo / oŋbo|omGo|oŋbo|ombo|||ТМС 2, 5. Cf. also Evk. omoŋ 'сало'.
492|*uče-|2485|diarrhoea|понос|učen||učel- (v.)||||uče||uce (Bik.)||\Iuse\i||ТМС 2, 297.
