"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
 180,"*ʔaqV",  95,"to make sour; to rot","áqqat 'einsäuern' (Werner 1, 51), áʁas / áʁaś / áqaś 'Gärstoff, Sauerteig' (1, 55)","áqčĳ  'einsäuern' (Werner 1, 51)","age, *ake 'rotten', b-āge-jaŋ 'to rot', praet. barāge-jaŋ; d́āgejaŋ, praet. arāgejaŋ, imp. aregen id.; Ass. (Бол.) bar-ak 'rotten'","bar-oje (Лоск.) 'rotten'","","Reconstructed as *ʔVqV ( ~ -G-) in ССЕ 204, but new data in Werner 1, 51, 55 allow to make the reconstruction more precise."
 181,"*ʔes-",  96,"to sow; to throw","sus (Сл.) "to sow"; eś-kĳ\H6 \h"to throw", d-estъ:\H3\h, (Werner 1, 249) ɛ́ś-tĳ 'to shoot'","ɛsɨʔ (Werner 1, 249) 'to throw'; d-estəu 'to shoot'","ačōʔuk "sowing"; ačōʔukŋ "to sow", praet. ačōlaʔukŋ, imp. ačālčuk, pass. ačōlāʔuki; het-ča, hit-ča 'shooting', hit-čā-kŋ 'to shoot' (het- = hat 'fire'); Ass. (Сл.) pičiga "to sow"","pis (Сл.) "to sow"; (Лоск.) s-og-ontem 'I throw'","kónčadin (Сл.) "to sow" ?","ССЕ 188-189, 204. Roots for "throwing" and "sowing" are probably to be united (although they are divided in ССЕ). Ass. pičiga and Ar. pis may belong here if p- is a class marker. One should also take into account that these Assan and Arin forms, as well as the Pumpokol one, may actually reflect a faulty translation, being very close phonetically to the words for 'evening' and 'dark' - see on that Werner 2, 173. See also Werner 1, 247-248, 249-250, 317 (forms meaning "throw", without reconstruction)."
 182,"*ʔVsilV (~-č-,-ĺ-,-r\L1\l-)",  97,"bird","","","nenašili (Бол.)","išila- (Лоск.): išila-kejči "nest"; išila-kelä "chicken"; išila-igɨ "wool" (probably - "birds' down")","","ССЕ 204. Werner 1, 390."
 183,"*(ʔV)suj",  98,"moon","","","šui, pl. šūjaŋ "moon, month"; šuj (Бол.) "month"; Ass. šuj (М., Сл., Срсл., Кл.) "moon"; Kam. cuj (Стр.) "moon", Koib. čuj (Мес, П), cuj (Мес) "moon"","éšuj (Т) "moon"; ešhuj (М., Сл.) "month"; išuj (Стр.) "moon"; išuj (Лоск.) "month"","tuj (Сл., Срсл., Кл.) "moon"","ССЕ 204. Werner 2, 442 <*tuj / *suj>."
 184,"*ʔVt-",  99,"to know","it-parem (КРС), (Кастр.) iet-päde, (Werner 1, 383) ít-pɛdam, inf. ítej","ít-pade (Werner 1, 383-384)","","","","ССЕ 205. Cf. also Ket., Yug. utpaŋ\H5  \h'blind' ('not seeing'). Werner 1, 383, 384, 2, 372; t...at 'understand' (Werner 2, 224), t...et 'id., to be able' (Werner 2, 225)."
 185,"*ʔV̄s (~x-)",   0,"along, through","aś\H4\h, a:ś\H3\h, a:ś(am) according to, in accordance with (Werner 1, 66, 91)","a:\Hh\hs","oš "durch", Postpos. für den Instructiv","","","ССЕ 205. Werner 1, 66, 91, 2, 50 <*aʔəsə> - for some reason doubting the relationship of the Kottish word."
 186,"*ʔV̄si", 100,"feather","a:śi\H4\h / aś\H4 \h(Kur.), Bak., Sur. a:ś\H4\h / aś\H4\h, South. aś\H4\h; pl. aśeŋ","a:\Hh\hs\H4\h, pl. asɨŋ\H5\h / aseŋ\H5\h","iči, *iče, g. ičī, pl. ičaŋ; Ass. (Бол.) ičan","isen (Лоск.)","","ССЕ 205. Werner 1, 66 <*aʔəsə>."
 187,"*b- (*ʔab-)", 101,"my (attr.)","āp (Bak., Sur. ābə\H1\h, Kur. āvə\H1\h)","ap","m-inšo","b(i)-","","ССЕ 205. Kott. m-inšo < *b-inšo with a regular assimilation *b- > m- before a nasal. In Ket and Yug cf. also ba- / bo- 'morpheme of the 1st person in verb forms'. In Arin the marker is attested in kinship terms: bi-q́aŕat '(my) husband', bi-ḱal '(my) son', bi-ḱaĺa '(my) daughter', bi-qam-alte '(my) wife', be-kib '(my) grandfather' etc."
 188,"*baʔa (~-G-,-χ-)",   0,"a small bird (кулик)","ba:, pl. ba:n","bā / ba:, pl. ba:n","","","","ССЕ 205. Werner 1, 111 <*bága>."
 189,"*baʔŋ", 102,"earth","baʔŋ; baŋŋus\H5\h, pl. baŋŋuŋ\H5\h "dug-out"","baʔŋ","paŋ, pl. -an "Erde, Land; Stelle; Thon"; pak (Бол.) "earth"; Ass. paŋ (М., Сл., Срсл., Кл.), pan (Кл.) "earth"; Koib. (Мес., П) paŋ "earth"","peŋ (М., Сл., Срсл., Кл.); pieŋ (Стр.); pem (Лоск.) "earth"","biŋ (Сл., Срсл., Кл.)","ССЕ 205. Werner 1, 110 *baʔŋ."
 190,"*b[a]jbVl", 103,"kidney","bajbuĺ\H5\h, pl. bajbuĺəŋ\H6\h","bajbɨl, pl. bajbɨlɨŋ\H6\h","koipala, g. koipalei, pl. koipatn","","","ССЕ 206. Kottish has a regular dissimilation < *poipala (see КС 171). The stem is most probably an old compound; perhaps *b[a]jbVl < *b[a]j-pɨʔɨĺ, see *pɨʔɨĺ 'intestines'. Werner's (1, 98) analysis of -bul as būĺ 'foot' seems utterly incredible."
 191,"*baqa- ( ~ w-)",   0,"old man, old woman","ba:m, Bak., Sur. bɔ:m / ba:m; pl. baməŋ\H6\h "old woman"; ba:t, Bak., Sur. bɔ:t / ba:t; pl. batəŋ\H6\h / bātəŋ\H1\h "old man"","baxam\H5\h, pl. baxamɨŋ "old woman"; baxat\H5\h, pl. baxatɨŋ\H5\h "old man"","","","","ССЕ 206. Attested forms reflect PY compounds *baqa-qVm "old woman" and *baqa-keʔt "old man" (see *qVm-, *keʔt), contracted in Ket and Yug. (the reconstructions *baqam and *baqat in Werner 1, 111 are therefore not quite correct). May be a derived (with the prefix *b- or *w-) form from the root *ʔəq- 'earlier, in old times' (q.v.). Helimski (КС 239) notes the similarity with North. Samoyed *wɔjk- 'old'."
 192,"*baʔr\L1\lɨn (~ *banɨr\L1\l;-ŕ-)",1136,"bird-cherry","baĺn\H5\h, pl. baĺneŋ\H5\h","banɨr\H5\h, pl. banɨrɨŋ\H5\h","","","","ССЕ 206. Werner 1, 101 <*banəλ / *baλən>."
 193,"*baŕ- (~-r\L1\l-)",1084,"to pray","baĺbɛt\H6\h, baĺvɛt\H6\h","barbɛt́\H5\h","","","","ССЕ 206. Lit. "to make a prayer"; cf. also Ket baĺbe-ś\H6\h "cross" ("object of prayer"). Werner 1, 101 <*baλ>."
 194,"*b[a]ŕbVd (/-t)",   0,"hail (small)","baĺbɛt\H5\h, pl. South. baĺbɛrəŋ\H5\h (Bak., Sur. baĺbɛdəŋ\H5\h)","","kójpat (М., Сл., Срсл., Кл.); Ass. kójbaten (М., Сл., Срсл., Кл.), kojpat (Кл.) "hail"","polpiéŋ (М., Сл., Срсл., Кл.) "hail"","","ССЕ 206. In Kottish we obserce a regular dissimilation kojpat < *pojpat and an irregular devoicing of the final voiced consonant (see КС 171)."
 195,"*baʔt-", 104,"knee","batpuĺ\H5\h (Imb.), pl. batpuĺəŋ\H5,6\h; baʔt (Werner 1, 108) 'joint, knee', bátiŋ pl. 'joints of reindeer'","batpɨl\H5\h, pl. batpɨlɨŋ\H6\h; baʔt (Werner 1, 108) 'joint, knee'","pulpatap (Бол.) "metatarsus"","karam-pat (Лоск.) "elbow"; (Лоск.) patas "knee"","","ССЕ 206. Cf. also Ket bātkup\H1\h 'bend (of a river)' (the second part - kup - is not quite clear). Ket and Kottish reflect a compound with *bul 'foot, leg' q.v. Werner 1, 108-109 gives a completely folk-etymological analysis of bat-puĺ as bat "forehead, face" + būĺ "leg": it is the stranger because on the same page he adds the attested plain stem baʔt 'joint, knee' and bátiŋ 'joints' - clearly distinct from bat / bāt\H3\h 'face' q.v."
 196,"*bat(t)-", 105,"face","bāt / battat\H5\h (South.); Imb. battat\H5\h, pl. battatəŋ\H6\h, battarəŋ\H6\h","ba:t "face", battat\H5\h, pl. battatɨŋ\H5\h "muzzle, face"","","","","ССЕ 207. Werner 1, 107, 109, evidently undecided whether the word is borrowed from Turkic (as suggested in Stachowski 1997/2, 230 - and, I think, quite dubious for phonetic reasons) or genuine, with the reconstruction <*baʔətə / *bagət>. The first of these two forms would correspond to *bāt in our reconstruction and is not supported by any evidence (a form like Yug ba:\Hh\ht\H4\h would be required); the second could be interpreted as *baʔat or *baGat and is derived from the Yug variant ba:t\H3\h. It is not yet clear whether we should more rely on the Ket form bāt, or on the Yug form ba:t\H3\h. The compound battat is treated by Werner as bat 'face' (this time for some reason in the shape baʔt\H2\h) + aʔt 'bone'; this is possible, but the body part suffix *-Vʒ is also not excluded - because of a lack of a corresponding Kottish form."
 197,"*bat(t)ɔp",1205,"palm of hand","battop\H6\h, pl. battəŋ\H5\h / batəŋ\H5\h","","fatap, phatap, pl. fatapaŋ","","","Kottish has an assimilation: *bat(t)ɔp > *pat(t)ɔp."
 198,"*bäk-", 706,"log","bāɣə","bāk","pēg, pēx","","","ССЕ 207. Werner 1, 112 <*baga>."
 199,"*bän-", 924,"sleeve","banna\H6\h, pl. bannan\H5\h","bɛngou\H5\h, pl. bɛngɔnɨŋ\H5\h / bɛngoun\H5\h","haipen, pl. haipanaŋ","","","ССЕ 207. Werner 1, 101-102. Both Ket-Yug and Kottish reflect compounds with elements, quite plausibly interpreted by Werner (ibid.) as *gu (*ku) 'opening' (q.v.) and *χäʔʒ 'clothing' (q.v.)"
 200,"*beʔ-", 107,"different, separate","bɛlɨŋ\H5\h; bɛnə\H5\h / bɛne\H5\h "separately"; (Werner 1, 118) bɛʔĺ 'different'","bɛnɨŋ\H5\h "separately"; (Werner 1, 118) bɛʔĺ 'different'","palakŋ 'besonders'","","","Werner 1, 112, 113, 118, 2, 52 <*beləŋ 'abgesondert>. In ССЕ 207, 209 the root is erroneously reconstructed twice - as *be- and *b[ə]l-."
 201,"*b[e]ʔb", 108,"son-in-law (also husband of the elder sister, uncle; (Werner 1, 119) wife of the elder sister)","bɛʔp, pl. bebəŋ\H5\h","bɛʔp, pl. bebəŋ\H5\h / bɛbe:ŋ\H3\h","pop- in popēš 'brother', popēča 'sister'; (Бол.) tagar-pobok "сестренич", tiga-pobo-saže "братенич" [tagar- = tagar- "between"?]","bib́a 'Schwägerin', bibṕa 'Nichte', bib́ača 'Schwager' (Лоск.)","","ССЕ 207-208. Werner 1, 119 <*beʔp>."
 202,"*beʔč",1081,"snow (falling in flakes)","bɛʔt","bɛʔt́","","","beč (Сл., Срсл., Кл.) "snow"","ССЕ 208. Werner 1, 119 *beʔt'."
 203,"*beʔl (~w-,-r)", 109,"harlot","bɛʔĺ","bɛʔl (Werner 1, 118)","","","","ССЕ 208. Werner 1, 118 (without reconstruction)."
 204,"*beʔs",   0,"hare","bɛʔś, pl. bɛśn\H5\h; bɛśəm\H6\h (South.), pl. bɛśemn\H5\h "hare overcoat"","bɛʔs, pl. bɛsn\H5\h","peš, pl. pačan","-pič in saj-pič 'Fledermaus' (Werner 1, 119) (?)","but (Сл.) "hare"","ССЕ 208. Werner 1, 119 <*beʔt / *beʔs>."
 205,"*bej", 110,"wind","bēj","bej","pēi; Ass. pej, bej; Kam. ja-pej, Koib. ja-pej","paj","baj","ССЕ 208. Werner 1, 122-123 <*baj> (why -a-?)."
 206,"*beʔjiŋ (~ w-)", 631,"light","bejiŋ\H5\h","bejiŋ\H5\h","","","","ССЕ 208. Let us also note Ket. beńśiŋ\H5\h "lung" - a transparent compound of *beʔjiŋ + *seŋ lit.  "light liver". Therefore a comparison with Sam. *wäjŋ- 'breath, soul' and, moreover, with an unattested *wäjŋ-sVn 'smth. with which one breathes' (Helimsky  КС 240) is completely groundless. Werner 1, 120."
 207,"*bəʔn", 111,"duck","bʌʔn; bʌń-git\H6\h "duckling"; bʌnnej\H5\h "утиный ток"","bʌʔn; bʌń-git\H6\h "duckling"","pin, pl. patn, (Бол.) pin; асс. (М., Сл., Срсл., Кл.) pin, (Кл.) pɨn","pońa (М., Сл., Срсл., Кл.), punä (Стр.), ponä (Лоск.)","ban (Сл., Срсл., Кл.)","ССЕ 208. Werner 1, 156."
 208,"*bəj-", 112,"many, much","bèäjäm, bèjäm (Кастр.) (Бахта); (Werner 1, 153) bʌ́jaŋ 'enough'","","pajaŋ","","","ССЕ 209. Werner 1, 153 <*bʌjəŋ>."
 209,"*bəjbul", 557,"braid (of hair)","bʌjbuĺ\H5\h, pl. bʌjbuĺəŋ\H6\h","bʌjbɨl\H5\h, pl. bʌjbɨlɨŋ\H5\h","","","","ССЕ 209. Werner 1, 154 (treating -buĺ as 'foot, leg' - hardly believable)."
 210,"",   0,"","","","","","",""
 211,"*bəntan", 113,"a k. of wild duck (кряква)","bʌntən\H6\h (КРС bʌntan)","bʌntən\H5\h","","","","ССЕ 209. The stem is similar to *bəʔn 'duck', but the meaning of the component -tan (-tən) is completely unclear. Werner 1, 155 *bənt\Hh\han."
 212,"*bəs-", 114,"widow / widower; orphan","bʌssem 'widow', bʌśśəĺ-git 'widower'","bʌssem 'widow'","paš-ūp-še 'orphan, widow, widower'; Ass. pašup jali 'stepson'","pas 'slave', bi-pas '(my) servant', bi-pašša '(my) servant (fem.)'","","ССЕ 209. The same root is present as the second component in Ket. op-pas 'stepfather', am-mas 'stepmother';  Yug  fɨp-pas  'stepson',  fun-nas 'stepdaughter'. With an alternation -s- > -j-  the same root can be discovered in Ket. bʌjbə\H5\h, bʌj-ɣit\H5\h, pl. bʌj-ɣit\H6\h 'orphan', Yug.  bʌjbə\H5\h  id. The latter form is probably etymologically identical to Kott. paš-ūp: both represent an irregular transformation of the PY compound *bəs-pɨʔb "orphan" + "son". This makes Y. Helimski's (КС 240)  idea of  bʌjbə\H5\h  being borrowed from Sam.  *jVjwA 'orphan' less probable (rather, we should think of the opposite direction of borrowing - from a comparatively late form *bəjbV, with a change *b  > w and assimilation *wVjwA > *jVjwA already in Samoyed). Werner 1, 154, 155 (apparently not noticing the obvious connection of the variants bʌs- and bʌj- in Ket)."
 213,"*bət",   0,"a k. of salmon (ленок)","bъ̄tn\H1\h, pl. bъtnəŋ\H5\h; кур. bъ̄tkit\H1\h, pl. bъtkit\H6\h","bъtn\H1\h, pl. bъtnəŋ\H5\h","pāt, pl. pātn","","","ССЕ 209-210. Werner 1, 159 <*bʌtə>. Like some other fish names, probably borrowed from Turkic, cf. PT *bɨńɨt (~-ŋ-) 'ленок' (VEWT 336). Cf. also Selk. moeten id. (see Helimsky КС 240), probably also of Turkic origin."
 214,"*b[ə̄]k- (~w-)", 115,"to find","bʌ:ɣə\H4 \h(North.); South. bʌɣ\H4\h","bʌ:\Hh\hk","bapukŋ "to find", praet. māmpukŋ (eig. mānpukŋ)","","","ССЕ 210. Werner 1, 156 <*bʌʔəkə > *bʌʔəgə>."
 215,"*biʔiĺ (~-G-,-χ-)",   0,"martlet (стриж, земляная ласточка)","bi:ĺ, pl. bīĺeŋ\H1\h / bi:ĺeŋ\H3\h; южн. bi:ĺt, pl. bīĺtəŋ\H1\h","bi:ĺ, pl. bīĺeŋ\H1\h / bi:ĺeŋ\H3\h","","","","ССЕ 210. Werner 1, 134 <*bigəl / *biGəl>."
 216,"*biʔŋ",   0,"hand","","biʔŋ, pl. biŋɨn\H5\h","","","","ССЕ 210. See *bän-. Werner 1, 134."
 217,"*biǯ- (~w-)",   0,"diver, loon","bīt, pl. bīkŋ\H1\h","bit́, pl. bikŋ\H1\h","","","","ССЕ 210. Werner 1, 135 <*bè-gə́t'> (?). For *-ǯ- cf. Ket bírɔĺ, MKet. bidɔĺ (Werner 1, 131) 'Beutel aus der Haut einer Tauchergans'."
 218,"*bil",   0,"to overtake","-bil (КРС: -veĺ)","","tha-č-a-pil-aŋ 'I shall overtake'","","","ССЕ 210. Werner 1, 125."
 219,"*binč-",1058,"chin, cheek","bint (Ад.) 'face'","","púnǯol (М.), (Сл., Кл.) púnčol 'chin'; Ass. (М., Сл., Кл.) pinǯólan 'chin', (Кл.) punčola 'cheeks'","pinǯal (М., Сл., Кл.) 'chin', (Лоск.) pindalin 'cheek'","","ССЕ 210. The Ket form is somewhat dubious (attested only in Adelung).  However, Werner's (1, 130) explanation (a corrupted rendering of b- 'pronominal prefix' + īŋ 'being there', lit. "my being there") does not appear very probable. If the Ket form is fictive, the Kottish and Arin forms may in fact be derivatives of *pi(ŋ)kaʒ- 'jaw' q.v."
 220,"*bis", 116,"evening","bīś","bis","pīš; асс. piǯiga, pičiga","pis","bič-idin","ССЕ 210. Werner 1, 134."
 221,"*b[i]s", 117,"brother, sister","biśɛʔp","bisɛʔp","popēš 'brother', popēča 'sister'","","bič","ССЕ 210. Ket, Yug and Kottish reflect a compound with *beʔb 'son-in-law, husband of elder sister' (q.v.), cf. the plural Ket. biśn-imin, Yug. bisen-bɛfən 'brothers'. Werner 1, 133 <*bes>. The pure stem, besides Pump. bič, is attested in Ket (Werner 1, 135) ámdi bīś 'uncle, mother's brother'."
 222,"*bit-", 118,"mushroom","","","uča-ptar, pl. uča-ptanaŋ, (Бол.) učatapitaran","pen-betu (Лоск.)","","ССЕ 211. The first part of the Kottish compound contains uča 'birch' (lit. "birch mushroom"); for the Arin form cf. *bol-. Werner 2, 319."
 223,"*b[i]x-",   0,"foreign, other","bīk / bī; bīɣet\H1\h "foreigner"; bik-śe "otherwise"","bik; bik-sou\H5\h "otherwise"","pei, *pēi; pēgai, pegai "elsewhere, someone else's"","","","ССЕ 211. Werner 1, 134 <*be / *begə>."
 224,"*bīr\L1\l",   0,"far","biĺ\H4 \h(South.); North. bi:ĺ\H4\h / bi:ĺ\H3\h; biĺəm\H5\h "far (adv.)"","bi:hr; bi:hrɛ\H4\h "far (adv.)"","pīl, pil; (Бол.) pilä "far (adv.)"","pata (Лоск.) "far (adv.)"","","ССЕ 211. Ar. -ta is probably a suffix, just as in uta "long (adv.)". Werner 1, 125 <*biʔəλə>."
 225,"*bɨʔs", 119,"penis","bɨʔś, pl. bɨśəŋ\H5\h","bɨʔs, pl. bɨ:hs","puš; асс. puš (М., Сл., Кл.)","poš (М., Сл., Кл.)","","ССЕ 211. Werner 1, 160."
 226,"*bɨd-", 120,"hard","bɨ̄t (Werner 1, 160: bɨ̄t-ś / bɨ̄ŕ-ś)","bɨt, bɨdam","","","","ССЕ 211. Werner 1, 160 *bɨdə."
 227,"*bɨĺ-", 121,"all","bɨldə\H5\h","bɨĺĺa\H5\h","","","","ССЕ 211. Werner 1, 159 <*bəλ-> (but Kott. bar 'all' is a transparent Turkic loanword and cannot be compared)."
 228,"*bɨs-", 122,"wesp, bee","bɨśtin\H6\h, bɨśt, pl. bɨśtinəŋ\H5\h","bɨsset\H5,6\h, pl. bɨssetn\H5\h","pačem "hornet"","","","ССЕ 211. Werner 1, 160 says "kot. pačem "Hornisse" läßt sich mit ket. bɨśtin "Wespe" kaum verbinden", but does not explain why - phonetic and sematic correspondences are in this case completely satisfactory. For the Ket and Yug forms he gives a most fantastic explanation: Ket. bɨśtin < bɨʔs 'penis' + -t (genitive marker) + iʔn 'needle' ("needle of the penis"??); Yug bɨsset (obviously = Ket. bɨśt-) < bɨʔs 'penis' + i:\Hh\ht 'tooth' ("tooth of the penis")??? - thus preferring very dubious folk etymologies to regular reconstruction."
 229,"*boʔk", 123,"fire","bɔʔk","bɔʔk; bɔgdirəŋ\H5\h "to singe"","","","buč (Сл., Срсл., Кл.)","ССЕ 212. Werner 1, 145."
 230,"*boʔq (~-ɔ-)",   0,"fish-trap (made of rods)","bɔʔq, pl. bɔqŋ\H5\h","bɔʔx, pl. bɔqŋ\H5\h","","","","ССЕ 212. Werner 1, 145."
 231,"*boks[e]ji (~-ɔ-)",   0,"pimple","bɔkśá  ( < bɔkśa:\H3\h), pl. bɔkśan\H5\h","bɔksej\H6\h / bɔkse:j\H3\h, pl. bɔksin\H5\h / bɔkse:n\H3\h","","","","ССЕ 212. A compound with the second component *s[e]ji 'wound, sore' (q.v.). Werner (1, 139) suggests (with a question mark) *boʔk 'fire' as the first component, which is quite dubious."
 232,"*bol-", 124,"mushroom","bɔĺba\H6\h, bɔĺva\H6\h, pl. bɔĺban\H5\h, bɔĺvan\H5\h","bɔlba\H6\h, pl. bɔlban\H5\h//bɔlba:n\H3\h","pol-šoja 'tree fungus'","pen-betu (Лоск.) "mushroom"","","ССЕ 212. Reconstruction of *-rb- (see КС 171) is erroneous; the Arin form should be probably analyzed as pen-betu < *pel-betu (for the second part see *bit-). Werner 1, 139-140."
 233,"*boŋ",1206,"dead man","bōŋ, pl. boŋáŋ","boŋ, pl. boŋe:ŋ","","","","ССЕ 212. Werner 1, 145-146."
 234,"*boŋgul (~w-)",   0,"knot","bɔŋul\H5,6\h ,pl. bɔŋuləŋ\H5\h (or bɔŋgul\H5,6\h , pl. bɔŋguləŋ\H5\h)","bɔŋgɨl\H5,6\h, pl. bɔŋgɨlɨŋ\H5\h","","","","ССЕ 212. Possibly an old derivative from *ʔāŋ 'string, bind' (q.v.). Werner (1, 141) says: "ein altes Kompositum, dessen Bestandteile man bislang nicht identifizieren konnte"."
 235,"*bɔq-", 125,"mitten, gauntlet","bōq, pl. bɔ:n; Kur. bɔʁɔn\H5\h, pl. bɔʁɔnɨŋ\H5\h","bɔxɔn\H5\h, pl. bɔxɔnɨŋ\H5\h","pagan, pl. -aŋ","","","ССЕ 212. Werner 1, 146 *boq. Cf. *pVg-."
 236,"*bɔq-aʒ", 126,"right","bōʁat (Кастр.) "right"; Werner 1, 142 bɔ́ʁat","","pagai "right"","","","ССЕ 212. *bɔq- is an old PY root meaning 'hand' (see *bɔq- 'mitten'). Werner 1, 142 <*boqət> - analyzing bɔ́ʁat as bɔq + aʔt 'bone'; completely impossible because of Kott. pagai (with Ket. -t : Kott. -j pointing only to PY *-ʒ)."
 237,"*bul", 624,"foot, leg","būĺ, pl. buĺəŋ\H5\h","bul, pl. bulɨŋ\H5\h; cf. bul, pl. bu:ĺ /bulɨŋ\H5\h "sleigh detail"","pul, pl. -aŋ "foot, leg" (pulap, pl. -aŋ "sole of foot"); bulaŋ "by foot"; (Бол.) pul "foot, leg"; Ass. puláŋ (М., Сл., Срсл., Кл.), pulan (Кл.) "feet, legs"; pulán-ujáha (М., Сл.), pulan-ajáha (Кл.) "to go"","pil (М., Сл., Кл., Срсл.,) "feet, legs"; apil (Лоск.) "foot, leg"","bulún (Сл.) "to go"","ССЕ 213. Werner 1, 153. Cf. also the PY derivative *buloĺ ( ~ -r) 'stocking': Ket. buĺɔĺ\H6\h, Yug. bulɔl\H5,6\h, Arin  (М.,  Сл., Кл.) proroŋ "stockings" (with assimilation  < *piloroŋ); explained by Werner 1, 149 as *bul + *ʔoʔĺ 'hull'."
 238,"*bVʔĺ",   0,"thick","bɔʔĺ, pl. bɔĺeŋ\H5\h","","","berga(r), berik 'big, very'","","ССЕ 213. Helimski (КС 248) suggests that the Arin word is borrowed from Selk. wərqɨ 'big', which is somewhat dubious. Werner (1, 140) acknowledges the reconstruction *bVʔĺ on the basis of the Ket form, but says: "wenn man aber dieses ket. Wort mit ar. birka, ber / berke 'groß' zusammenstellen könnte, wäre PJ <*boʔλ / *bəʔλ> 'dick' möglich'."
 239,"*bVsVĺ (~-č-)", 128,"face","","","pičal, pl. pičálaŋ "face, shape"; (Бол.) pičal "forehead"","upusɨr (Лоск.) "forehead"","","ССЕ 213. Werner 2, 53."
 240,"*bVsVr", 129,"thick (of paper, skin, cloth etc.)","bʌśĺ\H5\h","bʌsl\H5\h","pučar","","","ССЕ 213. Werner 1, 156 <*bəsəλ>."
 241,"*bVs (~w-)",   0,"to bring, come and bring","ig-biś\H6\h, South. iɣviś\H6\h","igbes\H6\h","","","","ССЕ 213. Werner 1, 351 *ikbes."
 242,"*cä-",   0,"thin (of tea, soup etc.)","","čaŋ / ča:ŋ","theūr","","","ССЕ 213. Kottish reflects a compound: *cä + *xur(a) 'wet' (q.v.); velar *-x- in the original form explains the transition *c- > th- (regular if followed by a velar stop or affricate; otherwise h- would be expected). Werner 1, 164 reconstructs <*t'aʔəŋə> and separates the Kottish form; however, its relation to *tiʔŋ 'frost' or *täχVr 'otter' is extremely dubious, and I still prefer the exact phonetic and semantic match between Yug and Kottish."
 243,"*cēse",1111,"(milled) boot, boot made of deer skin","tɛ:śi\H4\h // tɛʔś (North.); South. tɛś\H4\h; pl. tɛśiŋ\H5\h","čɛ:hs, pl. čɛsɨŋ\H5\h","hēči, pl. hēčaŋ "Schuh"; (Бол.) gečan "footwear"","qísɨŋ (М., Сл., Кл.,) "boots"; kɨzin (Лоск.) "footwear"","","ССЕ 213. Werner 2, 254 <*t'ɛgəsə>."
 244,"*cəŋe", 130,"hair","tъ̄ŋə","čъ̄ŋ","heŋai","q́agaŋ","xɨŋa","ССЕ 213-214. Werner 2, 304 makes an attempt to regard the word as a compound *cɨʔG- 'head' + iʔŋ 'skin' and reconstructs <*t'əŋə> (Kompositum). There is, however, a number of objections: 1) tonal characteristics of *cəŋe are strongly against a compound of *cɨʔG+iʔŋ (two glottal stops must have had disappeared!); 2) *iʔŋ 'skin' is probably an unexisting form: Werner himself analyzes iʔŋ as "plural of ī 'skin'" (see 1, 373); 3) this ī 'skin' goes back to PY *ʔik (q.v.) (which Werner himself - 1, 392 - reconstructs as  <*igə>. The "compound" etymology of *cəŋe is thus completely untenable. Werner also doubts that Kott. heŋai belongs to this root - but in fact it is a completely regular reflex, see КС 151 (analogously cf. PY *cēse 'boot' > Kott. hēči, PY *cV(n)t- 'husband' > Kott. hat-)."
 245,"*c[ī]k", 219,"snake, fish","tiɣ\H4 \h(South.), North. ti:ɣə\H4\h; pl. tiɣiń\H5\h / tīɣiń\H1\h 'snake' (cf. also South. u-tiɣ\H5,6\h 'worm' with an unclear first component).","či:\Hh\hk, pl. čigɨn\H5,1\h 'snake'","tēg, tēx, pl. tēgan "fish"; teg (Бол.) "fish"; Ass. tɨg (М., Сл., Срсл., Кл.), tɨk (Кл.) "fish"","íl-ti (М., Сл., Кл.) "fish"; ilti (Срсл.) id., ilta (Лоск.) id.","híte (Сл.), gíte (Срсл., Кл.) "fish"","ССЕ 214. Despite КС 151, Pump. cič 'meat' should be rather compared with Ket. kīt (see *kič). Werner 2, 267 <*t'iʔəgə>."
 246,"*c[ɨ]ʔG-", 131,"head","tɨʔ","čɨʔ","tagai, takai","ke-dake","","ССЕ 214. Werner 1, 167 <*t'Vg->. Werner doubts the relationship of Kott. tagai 'head' (comparing it instead with Ket dáɣai 'Kopf mit zerzaustem Haar', see Werner 1, 178) - although it displays absolutely the same correspondence as *cīk 'snake' q.v. (Kott. tēg, tēx) and *cä-xur 'thin (of fluid)' (Kott. theūr)."
 247,"*tu(ʔ) ( ~ *c-)",   0,"bow-string","qʌ́q-tut (Werner 2, 145)","tut́, pl. tuŋ (Кастр.)","gĳ-tu (Бол.)","kej-tu (Лоск.)","","ССЕ 214. Kott. and Arin reflect a compound with *χɨʔǯ "bow" (q.v.) as the first component. The Yug form was explained in КС 222 as a reduplication, with a regular dissimilation tut́ < *t́ut́, with a resulting reconstruction *cu(ʔ) / *cuc. Other explanations are, however, possible: a) Werner (2, 293) suggests a compound *t\Hh\hu-t'ə, with the second component = Ket. tiʔ 'rope'; this does not seem quite convincing, basically because Yug -t' is unexplained (the corresponding Yug form is tiʔ, see Werner 2, 267 and *tiʔ); b) if the Yug form is in reality tu:(\Hh\h)t́ (assuming Castren's recording is incorrect), we can think of a contracted compound *tu(ʔ)-χɨʔǯ, with the same χɨʔǯ, but as the second element of compound in Ket and Yug. qʌ́q- ( = qʌʔq-) in the Ket form recorded by Werner is interpreted by him as qʌʔq 'corner, angle'."
