NUMBER|PROTO|MEANING|PRNUM|KUR|MLT|NOTES|ADDITION|DEDNUM
201|*cotr|mud, mire|0|cotOr||||2843
202|*coṭ-ō|mouse|198|coṭṭō||||2661
203|*cō(n)d-|to turn and twist|257|coē̃daʔānā||||2698
204|*cōj-|to rise|216|coʔonā (cōcas) "to rise, get up, be built up or erected, rise in the air, in fame, in value, rebel, bulge out, be produced, appear"|coye "to get up, rise, start"||Also KUR \Icōdnā\i to lift up, raise, erect; MLT \Icoytre\i to raise up, awake, begin a song.|2867
205|*cōj-/*cūj-|to put on|0|coʔonā (cōcas) "to put on (cloth)"|cuye (cūc-) "to put on, dress"||Also MLT \Icuypo\i a woman's dress consisting of one piece of cloth; \Icuytre\i to clothe, dress another.|2827
206|*cubā|peacock|0|cubbā|cuwe|||2676
207|*cuḍ-kunǯ-u|the last-born of a family|685|cuṛkuńju, curxunjū||||1646
208|*cum-(j)ā|projecting point on a hill or mountain, peak, crag|262|cumʔā, cupʔā||||2544
209|*cumG-|to kiss|217|conkhnā (cunkhyas), cuŋknā|cumqe||Also MLT \Icumqrēse\i to sound with the lips in calling animals.|2621
210|*cundī|the hairtail as worn by men|0|cundī||||2670
211|*cunǯ|to clean rice|0|cuńjnā (refl.pass. cuńjrnā) "to pound rice, beat with repeated vertical knocks"|cunje "to clean rice by pounding"||Also KUR \Icuńjkā\i a clay-coated hole in the ground, used as a mortar for pounding rice in.|2653
212|*cur-ā|vegetal sugar; gum; birdlime|175|currā "vegetal sugar, sweet juice which drops from mango flowers or from the new leaves of sāl tree"|cure "birdlime, gum"|||2711
213|*cur-q-|to pour, drip|191|curxnā (caus. curxtaʔānā) "to pour, let fall in drops; let water in or out through a hole or crevice, leak, pass (as water, grains, etc.) through a crack, fissure or aperture in a vessel, ooze, fall in drops. trickle, fall in numbers"|curg̣e "to ooze out, fall in drops"||Also MLT \Icurg̣tre\i to tap a tree|2883
214|*cuṭ-ī|hair (of man or animals), bristles, mane|1854|cuṭṭī||||2655
215|*cūg|to harrow; to poke|0|cūgnā "to harrow"|cūge "to poke, stir"||Also MLT \Icūgure\i to poke, pick (as one's teeth or ear).|2719
216|*cūg-|forefinger|0|cūgul|cūgrēde, cūgrēye "to point out with the finger (\Iēde\i to show)"|||2720
217|*cūl|to sprout|0||cūle||Also MLT \Icūlo\i blade of grass or corn|3362
218|*cūr|to get obstructed, blocked up as a rathole, pipe, etc.|0|cūrnā|||Also KUR \Icūrtaʔānā\i to obstruct, block up.|3390
219|*cūṭ|to cast, throw|0||cūṭe||Also MLT \Icuṭare\i to spirt|3380
220|*daḍ-jā|thick; hard|272|daṛyā "stout, thick"|ḍaṭe "difficult, hard"|Начальное ḍ- в малто - по ассимиляции со срединным ретрофлексным. На основании нетривиального соответствия курух -ḍy- - малто -ṭ- мы условно постулируем ПСД *-ḍy-.||3020
221|*dag-|to shine|268|dagnā "to light, set fire to, burn (tr.)"|dagdagre "to glitter, shine"|||2998
222|*danǯ|to guess, grope for|0|dańjnā||||3100
223|*dop-(e)li|a small bunch|288||dopeli|||3322
224|*ḍad|the female of quadrupeds|0||ḍadi|||3044
225|*ḍeg|to leap, jump|0|ḍegnā||||2971
226|*eG|to pour out|0|elkhnā "to pour liquid out (by tilting a vessel standing on the ground)"|eqe "to pour out from a vessel"|Kurukh -lkh- should point to a PNDR *elG; however, the regular correspondence in Malto is -lq-, cf. the root below. Therefore, in Kurukh *ekhnā > elkhnā probably as a result of contamination with elkhrnā 'to go down'.|Also KUR \Ielkhrnā\i to be poured out.|840
227|*ebC|to lose|0|ebsnā "to lose, forfeit, wander from and not be able to find, cease to perceive (as from distance or darkness)"|ewje "to be lost, go astray"|Конечный согласный корня не устанавливается.|Also KUR \Iebsrnā\i to be lost, estranged, strayed, disappear from sight; MLT \Iewtre\i to lose.|847
228|*eḍr|parrot|0|ēḍer|eḍru|||885
229|*eǯ|to awake|0|ejnā (ejjas) "to rouse from sleep"|eje "to awake another"||Also KUR \Iejrnā\i to awake, cease from sleep; MLT \Iejre\i to be awake|851
230|*eǯ|bear|462||eju|||857
231|*ekā|tortoise|0|ekkā|eke "a kind of small tortoise"|||773
232|*ek-|which|0|ekā|ik|One of the three NDR interrogative bases, which seemingly served for adjective and adverbial forms like 'which' or 'how'; see also *endr-, *nē-|Also KUR \Iekdas\i, \Iekdā\i which man, which woman or thing; \Iekʔam\i any, every; \Iehō̃\i, \Iekhō\i, \Iohō̃\i, \Iokhō\i where precisely; \Iēkābīrī\i at what time of day; \Iekāge\i when; \Iekannē\i, \Iekāsē\i of what kind; \Iekannū\i, \Ieksan\i in what place; \Iekastik\i, \Ieksantī\i whence; \Iekātarā\i in what direction; \Iekayyā\i where, in what village; \Iekēkā\i very, exceedingly; \Ieō̃\i, \Ieō̃dā\i, \Ieōdā\i how many; MLT \Iikeh\i, \Iiker\i, \Iikīth\i, \Iikīr\i, \Iiku\i, \Iikuth\i which man, which men, which woman, which women, which thing; \Iikeno\i where; \Iiknān̲y\i, \Iikni\i how; \Iiko\i, \Iikṭi\i where; \Iikon\i how much; \Iikonno\i when.\I\i\I\i|5151
233|*elG-r-|to go down|1940|elkhrnā "to go down (sun, moon, stars), be well past the meridian"|elqre "to descend (as the sun)"|||841
234|*el-|to be night-blind, to be very dark|1068|ellnā||||235
235|*elc|to fear, have a reverential awe of, have misgivings|0|elcnā (ilcyas)|elce||Also KUR \IelEgtaʔānā\i to frighten, threaten; MLT \Ielttre\i to frighten.|858
236|*embā|sweet; taste|0|embā "a taste; pleasant to the taste"|embe "sweet, sweetness"||Also MLT \Iembembre\i to be sweetish; \Iembre\i to get a taste; \Iembtre\i to habituate to a taste. Brahui may not belong here.|531
237|*ems|to allow (oneself or one's food) to be defiled by someone of a different caste|0|emsnā|||Also KUR \Iemsrnā\i to touch, come in contact with, defile (by touch, unlawful relations, etc.).|171
238|*endq|to clear away; remove|0|endExnā, endxaʔānā "to remove the outer envelope from a fruit, clean and trim vegetables"|en̲g̣de "to clear away weeds"||Malto may not belong here.|801
239|*endr|interrog. base|0|endr "what (sg.)"|indru, indrth "who, what"|One of the three NDR interrogative bases, serving for the neuter pronoun 'what'; see also *ek-, *nē-.|Also KUR \Iendr endr\i what; \Iendrad\i, \Iendrā\i what thing; MLT \Iindran̲y\i, \Iindrik\i why|5151
240|*er-|to sweep|0|errnā (irryas)|ere||Also KUR \Ierrtaʔānā\i to make sweep; MLT \Ierpo\i a broom.|828
241|*erc-|to perspire|0|ercErnā||||811
242|*erq|to lose money, become poor|0|erxnā "to be (so much) out of pocket, be fined, lose money"|erg̣tre "to force another to pay his debts"||Also KUR \Ierxtaʔānā\i to make one (so much) the poorer, fine, extort, make disgorge.|521
243|*er-q-|to go to stool|336|erxnā (irxyas) "(small children, animals) have a motion, (adults) have \Idiarrhoea\i"|erg̣e, erg̣tre|||813
244|*eṛ|to call; to speak|0|eṛnā (eḍḍas) "to call, summon, invite or command to come or assemble, rouse from sleep"|eṛye "to speak with fluency"|||786
245|*eṛ|to fry, parch|0|iṛnā "to fry, roast, parch (as food grains), toast (as bread)"|eṛye "to parch grain"|||451
246|*eṛG|husband's younger brother|0|erkhos|eṛqo||Also KUR \Ierkhō\i husband's younger sister.|825
247|*eṛb|to sacrifice|0|eṛbnā (iṛbyas) "to cut the throat of, slaughter, sacrifice"|eṛwe "to sacrifice, propitiate, worship"|||790
248|*eṛ-|to keep aloof, get away|432||eṛare||Also MLT \Ieṛatre\i to separate, remove|446
249|*eṛgō|a small mouse or rat|0|eṛgō "a small mouse mostly found in fields"|eṛge "a small field-rat"|||787
250|*eṛq|prison; to imprison|0|eṛex-eṛpā "prison, gaol"|eṛge "to imprison, shut"||Also KUR \Ieṛxnā\i to imprison, shut up; \Ieṛx\i obstruction; \Ieṛx-aḍḍā\i, \Ieṛx-eṛpā\i prison; MLT \Ieṛg̣-aḍa\i prison; \Ieṛgo\i bar to fasten a mat-door with.|788
251|*eṛq|sour and acid, cross, acrimonious, nasty|0|eṛex||||433
252|*eṛt|a bow|0|eṛeth "long-bow"|eṛtu||Also MLT \Ieṛtyo\i an archer.|789
253|*es-|to weave, plait|1076|essnā (issyas) "to weave, entwine into a fabric, furnish or adorn any article with net-work or plait-work"|ese "to plait, do mat-work"|||3745
254|*es-|to transgress|2145|esnā (essas)||||515
255|*es|to break, divide by force (a stick, a tooth, etc.), quell, crush|0|esnā (essas)|||Also KUR \Iesrnā\i to get broken; \Iesrnā\i \ImurcUrnā\i to break short, snap, part asunder suddenly.|520
256|*esp-|to fan|0||eswe||Also MLT \Ieswre\i to fan oneself; \Iespro\i a fan|800
257|*et|to go down|0|ettnā (ittyas) "to come or go downward, descend, alight, run or flow down, cross (a river), be dispirited"|ete||Also KUR \Iettaʔānā\i to cause to descend, beat down (price), take down or off, let down; MLT \Ieto\i lower, smaller; \Iettre\i to bring or take down.|798
258|*eṭ|to tear, destroy|0|eṭnā (eṭṭas) "to tear to pieces, lacerate"|eṭe "to deface, destroy"||Also KUR refl.-pass. \Ieṭrnā\i; MLT \Ieṭg̣re\i to be broken, be defaced; \Ieṭg̣ro\i broken, defaced; \Ieṭro\i a broken winnowing fan.|785
259|*eṭ|to remain stuck at one place, be hindered from coming out or making further progress, be too tight (of articles of clothing)|0|eṭṭnā (iṭṭyā)||||524
260|*eŋ-|to remain over, be in excess, be passed over, escape|348|eŋgrnā (caus. eŋgrtaʔānā)|en̲ge, en̲gre||Also KUR \Ieŋgrkā\i what remains over and above, excess, surplus, remainder.|780
261|*ēGā|rainy season|0|ēxā-galī|ēqe|||876
262|*ēG-|good-looking|0|ēx-ērnā "to give complacent looks at one's own dress"|ēqto "fop, coxcomb"|||873
263|*ēd|to show; to appear|0|ēthrnā, etthrnā "to be visible, come into sight, seem"|ēde, ēte "to show; appear (new moon)"||Also KUR \Ietthr-nakhrnā\i to lie in sight of each other, associate, meet casually, have a bare glimpse of each other; \Iēdnā\i to show, point out, display, prove; become visible (of the sun and moon); MLT \Iētre\i to be seen, appear.|892
264|*ēk-|to walk, go|350|ēknā (īkyas) "to walk, direct or conduct affairs"|ēke "to go, move"|||871
265|*ēl-|to sing|351||ēle|||913
266|*ēm (obl. *em-)|we (excl.)|1032|ēm (obl. em-)|ēm (obl. em-)|||5154
267|*ēn (obl. *eŋ-)|I|1033|ēn (obl. eŋg-)|ēn (obl. en̲g-)|||5160
268|*ēnḍ-r- (*end-r-?)|to romp with each other|355||ēnḍr-naqe (\IGramm.\i endr-)|||895
269|*ēq-|to be dissatisfied, want more|359|ēxnā|ēg̣e|||878
270|*ēq-|to cool down|2101|ēxnā (īxyas) "to lose heat, cool down, lose the heat of excitement or passion"|ēg̣e "to become cool, be healed"||Also KUR \Iēxrnā\i (heat of day) abates; \Iēxtaʔānā\i to cool (tr.); MLT \Iēg̣tre\i to make cool.|875
271|*ēqā|gadfly, horsefly|0|ēxā||||533
272|*ēr-|to see|357|ērnā (īryas) "to see, look, look at, look after, look for, wait for, examine, try"|ēre "to see, behold, observe"||Also KUR \Iērtaʔānā\i to let see, show; \Iērānakhrnā\i to look at one another; MLT \Iērye\i to peep, spy.|903
273|*ēṛ-ā|she-goat|463|ēṛā|ēṛe|||5152
274|*ēṛ-|good, beautiful, in health|343||ēṛu|||848
275|*ēj-|to tie|455|hēʔenā (hēc-) "to tie, imprison, unite in one body"|eye (ēc-) "to tie, bond"|Начальное h- в курух неясно.|Also KUR \Ihērnā\i to be tied, be put in bonds, be united together; \Iēp\i string, cord, rope; MLT \Iēpu\i fibres of a wild plant of which cord is made.|5149
276|*-l-|negative morpheme|29||-l-|||234
277|*gadā|sediment, alluvium|2010|gaddā||||1355
278|*gaḍ|a wildcat|0||gaḍa-berg̣e, gaḍo|||1140
279|*gaḍur|heron; crane|0|gaṛūr "a sort of black heron"|gaḍure "the adjutant bird, a crane"|||1155
280|*gaṭ-|to churn|472||gaṭye|||1141
281|*gaṭ|rope, cord|0||gaṭa|||1147
282|*gec-ā|far|1834|gecchā "distant, far off"|gece, geci|||2807
283|*ged-|overripe; pulp|0|gedlā "(of fruits) overripe, having a soft and decaying appearance, falling to pieces; having lost all consistency (of over-cooked food)"|gidi "pulp of fruit"|||1952
284|*genḍ-|male|365||geṇḍa|If not a borrowing from SDR.||1173
285|*ginǯ|to mix|0|ginjnā|ginjye||Also MLT \Iginjg̣ro\i mixed (as food).|1522
286|*ginǯ|to beat or press into pulp|0|ginjnā||||1519
287|*goṭā|seed, berry|0|goṭā "any seed which forms inside a fruit or shell"|goṭa "a seed or berry"|||2069
288|*guḍ-rū|dwarfish (of persons and animals only)|398|guḍrū, guṛrū||||1670
289|*gunḍ|powder, dust|407|guṇḍnā "to reduce to powder"|gunḍi "dust"||Also KUR \Iguṇḍā\i powder, flour, fragments, flour made of rice (also \Iguṇḍī\i); MLT \Ikunḍo\i anything reduced to powder.|1692
290|*gun-ṛtā|pellet-bow|410|guṛthā, gunthā|gun̲ṛta|||1727
291|*guṇḍrī|quail|0|guṇḍrī||||1696
292|*gut-|to give a blow with the fist|397||gutye|||1850
293|*gut[u]|armpit|0|gutu||||1551
294|*gūṛ|to shut in, imprison|0|gūṛnā||||2262
295|*id-|to put in; plant, build|427|idnā (refl.-pass. idrnā) "to put in the ground and cover (as seed for growth), plant, transplant, introduce and establish (as a new religion)"|ide "to plant, erect, build"|||462
296|*iǯg|to grin|0|ijgaʔānā, ijIgnā "to show the teeth"|igje "to grin, reproach"||Also KUR \Iijgō\i characterised by protruding teeth; MLT \Iigjro\i wry-mouthed.|418
297|*iǯgV|true; straight|0|ijgo "straight from here, straight forward"|igjo "true"|||427
298|*ilar|the mouse deer|0||ilaru|||476
299|*il-|to stand up|1082|ilnā (ilcas/illas) "to get up, rise to one's feet"|ile (ij-) "to stand"|The protoform of the infinitive was \I*ilcnā\i (maybe \I*iljnā\i).|Also KUR \Iijnā\i (\Iijjas\i) to be stationary in an upright position, rise to one's feet, stand on end, stop, halt, pause, maintain a fixed or steady attitude, persist, persevere; \Iildnā\i, \Iildaʔānā\i, \Iiltaʔānā\i, \Iijtaʔānā\i to erect, set up, rest against; MLT \Iilde\i to make to stand.|3675
300|*ilkr|a wild plum|0||ilkru|||475
301|*in-G-|to cough|438|iū̃khnā|inqe||Also MLT \Iinqrēse\i to force phlegm from the throat, hawk; \Iinq-pūce\i hiccough.|419
302|*in-ā|today|434|innā|ine|||410
303|*inǯ|to shoot; to pelt|0|ińjnā "to shoot (arrows), cause a liquid to gush out upon; gush out"|in̲he (inj-) "to pelt, stone"||Also MLT \Iece\i to throw out; \Iēge\i to throw away, scatter.|805
304|*ir-b|two persons|441|irb|iwr||Also KUR \Iirbar\i, \Iirbarim\i both; \Iē̃ṛ\i, \Iēṇḍ\i two things; MLT \I-is\i two (things); \Iiwresti\i two by two (persons); \I-isti\i two by two (things)|474
305|*ir-c-|to scratch (the ground)|2099|ircnā "to scratch and turn over (as fowls in the ground), poke, dig into, scratch into and spread out, turn about and spread (as embers for extinguishing them)"|irce "to scratch the ground (as fowls do)"|||493
306|*ir-q-|to borrow, take a loan|333||irg̣re|||472
307|*iṛ-mb-|to tumble, be dashed against|429||iṛmbe, iṛpe|||437
308|*isg|to open up, split|0|isIgnā (isgyā) "to open in long slits, chap, crack"|isge "to be well parched (as grain), be cracked (as the skin)"||Also KUR \Iisigkā\i crack, slit, chink.|423
309|*isŋ|oil|0|isuŋg|isg̣nu|||422
310|*it|to divide|0|ittnā "in \Ixaṭṭnā\i \Iittnā\i to portion out, distribute; (Hahn) to dole out"|ite "to divide (as a share)"|||461
311|*ī|this|433|ī|ī||Also KUR \Iībīrī\i at this moment (previously mentioned); \Iidā\i, \Iisan\i, \Ihisan\i here; \Iistī\i from here; \Iidim\i just at present; \Iidnā\i this year; \Iīge\i therefore; \Iijgō\i in this direction; \Iinnū\i in this direction, by this means, \Iittrā\i, \Ihittrā\i id., hither; \Iiũndā\i, \Iiū̃rā\i, \Iiū̃rū\i, \Iiū̃\i as nuch or many as; \Iiū̃ŋgē\i so, therefore; \Iiyyā\i , \Ihiyyā\i over here, in this village or country; \Iennē\i such as this; MLT \Iīw\i, \Iīwe\i these objects or circumstances (previously mentioned); \Iithi\i, \Iihin̲\i, \Iinda\i, \Iin̲hi\i here!; \Iindeki\i, \Iīnki\i, \Iīnle\i, \Iīn̲y\i, \Iin̲yle\i thus; \Iīne\i to do thus; \Iino\i here; \Iinond\i so much; \Iinonno\i by this time; \Iinor\i now; \Iīṭi\i this place.|410
312|*īc-|to draw out, take off|451|īcnā (īcyas/iccyas) "to draw out, pull out"|ice "to take off (as cap or shoes)"||Also KUR \Iīcnā\i (\Iīcyas\i), \Iīsnā\i (\Iīsyas\i) to pluck (an ear of Indian corn); MLT \Iic-qoṭe\i to jerk, shake off; \Iicgre\i to come off, get loose; \Iīce\i to louse.|504
313|*id-r|to cease|0|idrnā "to cease, stop (of rain), come to a close (said of proceedings of some importance)"|idre "to cease (as rain), become sober from intoxication"||Also KUR \Iidhī\i cessation of rain, break in the rains.|463
314|*īm-ā|white ant|252|īmā|īme "white ants"||Also KUR \Iīmnā\i to be deteriorated or destroyed by white ants.|541
315|*īnǯ-|to blow the nose|187|ī̃jhrnā|īnje||Also KUR \Iī̃jnā\i to clean the nose; \Iī̃jrnā\i to clean one's own nose.|537
316|*īnǯ-r-|to receive|0|ińjrnā "to receive, accept, get"|īnjre "to receive, take into the hand"|||431
317|*īq|to grind, husk|0|īxnā "to rough-husk, half-husk"|īgre "to grind very fine"||Also KUR \Iīxrnā\i to be half-husked; grind, powder.|535
318|*īr|to lop off, hew|0||īre|||479
319|*īr-|a chirping insect found chiefly on mango trees|0||īro|||547
320|*īs, *īr, *īd|this|0|īs, īr/ibṛar, īd, ibṛā "this man, these persons, this woman or thing, these things"|īh, īr, īth "this man, these persons, this woman or thing/these things"|||410
321|*ǯal-k-|(of the rains) to percolate and soak the ground thoroughly, so that in low-lying spots water oozes out or opens new springs|1841|jalka'ānā|||Also KUR refl.-pass \Ijalkārnā\i|2373
322|*ǯar-|to move; to fall|1842|jarap- "to move to and fro, march (KR-486)"|jarqe "to be dropped, fall"||Also MLT \Ijarqtre\i to drop, let fall|2360
323|*ǯāṛ-|to shake down, beat down as fruits|1847||jāṛe|||2300
324|*ǯerV|gum, resin|0|jerrē||||2556
325|*ǯonV|wart|0|jonnē||||2659
326|*ǯō-(n)q-|lad, youth; servant|1990|jō̃xas||||2813
327|*kaṚ-|to congeal, freeze, be paralysed with fear|0|kaṛArnā (kaṛryas), kaḍrnā||||1148
328|*kab- (*q-)|to roar, shout|539|kauwār "tumult of angry voices, rowdy shoutings, uproar"|kawye "to use vile language"||Also MLT \Iqāwe\i to speak, whisper or sound (as the leaves of a tree); \Iqāwe-naqe\i to converse; \Iqawse\i to jingle, warble, sound (as rushing water).|1341
329|*Kaǯ|to cleanse|0|xajjnā "to cleanse the head of, with the soapy clay called \Ixajrnā\i \Ixajj\i (\Ixajj\i earth, clay)"|kaje "to wash as clothes"|Реконструкция анлаута неясна.||1369
330|*kaǯ|to press down, beat down|0|kajjnā "to press down under a weight (so as to prevent escape, straighten, etc.), throw one's weight upon, hammer"|kaje "to beat down (as earth), wash (as clothes), fall upon (as a trap)"|||1101
331|*kalā|leaf-cup|0||kale|||1301
332|*kal-g-|to bite, break off|487|kalAgnā (kalgas/kalgyas), kalAknā (kalkyas) "to bite so as to disable, open or unhusk with the teeth"|kalge "to break off a part with the teeth"||Also MLT \Ikalke\i to bite off.|1315
333|*kal-gā|plumes|573|kalgā||||1973
334|*kamb-r-|uncultivated ground|722||kambare|||1228
335|*kandr|a pit|0||kandri|||1214
336|*kanḍō|stool|0|kaṇḍō "a stool"|kanḍo "stool, seat"|||1179
337|*kanǯī|water made very sour by a prolonged stay over cooked rice; broth or vegetable soup (eaten with rice and considered as curry); acid in general|0|kańjī, kańjī-amm||||1107
338|*kanṭē|herbage in general, weeds|0|kaṇṭē||||1158
339|*kap-|to cover; to touch|723|kappnā "to cover or press gently with the hand, throw the hand or claws upon in order to catch, feel with the hand or feet for knowing"|kape "to touch, meddle"||Also KUR \Ikappar ērnā\i to feel, touch.|1225
340|*kap-l-|a pair of branches, horns or antlers|726||kapli|||1325
341|*Kar-|cartilage|2118|karrō xōcol|qaru "cartilage, the gums"|Anlaut reconstruction unclear.||1296
342|*kar-c-|to be tough; (Hahn) be hardened.|724|karcnā||||1265
343|*kaṛ-|young male buffalo|719|kaṛā|||Also KUR \Ikaṛī\i young female buffalo; \Ikaṛrū\i, \Ikaḍrū\i buffalo calf (male or female).|1123
344|*kaṛmā|waist|0|kaṛmā|kaṛme|||1143
345|*kas-ā|dirt on the body|725|kassā "layer of dirt on the body"|kase|||1088
346|*kaṭ-|to cross|718|kaṭṭnā "to cross, pass over or above, overtake and go beyond, out-distance, surpass, go to excess"|kaṭe "to exceed, pass, cross"||Also KUR \Ikaṛtaʔānā\i, \Ikaṭtaʔānā\i to take across; pass over, skip over; MLT \Ikaṭtre\i to pass, spend time; help across; \Ikaṭp\i exceedingly, much, very.|1109
347|*kaṭ-|to cut with the teeth, gnaw holes|473|kaṭṭnā||||1124
348|*kaŋk|wood, fuel, timber|507|kaŋk|kanku|||1165
349|*kāk-l-|to be distressed, be in trouble|550||kāklare||Also MLT \Ikākletre\i to trouble, tease; \Ikākli\i affliction, trouble|1424
350|*kār|to form as the stone or seed of a fruit|0||kāre|||1279
351|*kāṛ-sā|male of the bādō-deer|720|kā̃ṛsā, (Tiga) kãṛsā||||1114
352|*keb-|to scold, lecture|732|kebnā (keppas)||||1955
353|*kej-|to die, fall out of use (as a law)|728|khēʔenā (keccas)|keye (kec-)||Also KUR (Hahn) \Ikhīū\i, (Grignard) \Ikhiʔū\i mortal; MLT \Ikeype\i dead; \Ikeyu\i mortal; \Ikeytre\i to let die, suppose someone dead; \Ikagle\i to die.|2426
354|*kēb-ǯār-|to entreat|0||kēwejāre|||1939
355|*kēs-|to winnow|733|kē̃snā (kī̃syas) "to winnow with up-and-down jerks of the shovel-basket"|kēse "to sift"||Also KUR \Ikē̃tEr\i winnowing basket; MLT \Ikētnu\i winnowing basket.|2019
356|*kid-g-|to drizzle|590|kidgnā|||Also KUR (Hahn) \Ikidʔgnā\i to rain, spray.|1546
357|*kidk|to mince|0||kithke||Also MLT \Ikithre\i to split wood|1547
358|*ki-|beneath, under (postposition, adv.)|602|kiyyā|||Also KUR \Ikītā\i, \Ikiyyantā\i lower, lowermost, humble in rank; \Ikītantā\i low-born.|1619
359|*kindr-|to put into circular motion|0|kindraʔānā||||1554
360|*kinḍ-|to cut flesh or fruit|596||kinḍe|||1542
361|*kinḍ-ō|a species of fish|381|kiṇḍō|||Also KUR (Hahn) \Ikindō\i \Iinjō\i carp fish.|1947
362|*kir|to return|0|kirnā (kirryas) "to come back, return, face about, come round in turn"|kire||Also KUR \Ikirtaʔānā\i to send or take back, return (tr.), give in return; MLT \Ikirtre\i to give or take back, recover.|1566
363|*kiṛ-|a young plant|566||kiṛu|||1941
364|*kis-|to pull out|604|kiccnā "to break into very small pieces (soft things, esp. bread, greens) with the fingers"|kise "to dig out a thorn from the flesh"||Also KUR \Ikissnā\i to open and expand the flesh with a needle, etc., e.g. in order to extract a thorn; to goad. KUR \Ikiccnā\i may not belong here.|1513
365|*kis|pig|0|kiss|kisu|||1517
366|*kis-gō|yam|571|kisgō||||2004
367|*kislā|adze|0|kislā||||1612
368|*ki-t-|to rot|735|kittnā|kite||Also MLT \Ikitro\i rotten.|1606
369|*kiṭ-|near, nigh|605||kiṭe||Also MLT \Ikitre\i to approach (with \It\i!)|1538
370|*kijā|small wooden box for keeping red lead|0|kiyā|kiya|||1559
371|*kībā|frost; cold|0|kībā "frost, ice"|kīwe "cold, cool"||Also MLT \Ikīw-kīwre\i to feel cold or cold.|1618
372|*kī-d-|to lie down|583|kīdnā, kīdʔānā "to allow or invite one to lie down for rest or sleep, put to bed (a child, a sick person), lay in the grave"|kīde "to lay down"|||1990
373|*kīnd-ā|palm tree, date tree|736|kī̃ndā||||2617
374|*kīr|to be cold, feel cold|2012|kīrnā||||1568
375|*kīrō|a k. of bean|0|kīrō "Semecarpus anacardium"|kīro "the Malacca bean"|||2005
376|*kīṛā|hunger|0|kīṛā "hunger, poverty, desire"|kīṛe "hunger, thirst, appetite, famine"||Also KUR \Ikīṛwa\i hungry, thirsty.|1621
377|*koḍk-|woodpecker|0||koḍkare|||2064
378|*kogō|mango stone|0|kogō|||Also KUR \Ikuhū\i kernel of the mango stone.|2179
379|*kumb-|half-open as a bud|0|komboʔō, kombṛʔō, kumbṛuʔū||||1894
380|*konḍ-|heart|408||konḍa|||1693
381|*kotg|to peck at|0|kotgnā|qothke|Derivative (with suffix *-g-) from *qot-||2091
382|*koṭ-|hamlet|645||koṭa|||2058
383|*koṭō|fornication|0|koṭṭō||||2079
384|*kōḍ-|to lie down|1963||kōḍe (koḍya)||Also MLT \Ikoḍete\i to lay oneself down|1524
385|*kōm-|a k. of tree|0|kōmaṛxā mann "a tree, the leaves of which are edible, Bauhinia purpurea"|kōmo "a delicate vegetable obtained from the kachnar tree"||Also KUR (Hahn) \Ikōm aṛxā\i a vegetable, the leaves of the ko'enar tree.|2221
386|*kōnd-ā|dumb, deprived of the power of speech (fem. \Ikundī\i)|630|kōndā||||2097
387|*kōr-|to enter|737|kōrnā "to enter, go in, (fever) seizes, be readmitted among"|kore "to enter, go in, enlist"||Also MLT \Ikortre\i to let enter, thrust in.|2236
388|*kud-|to move about|664|kuddnā|||Also KUR \Ikudābaʔānā\i to make run; \Ikudākudi\i in hot haste; \Ikuduṛ-kuduṛ\i at a trot.|1705
389|*kudr|low-situated ricefields|0|kudar|||Also KUR (Hahn) \Ikudur nāl\i wet or low fields.|1700
390|*kuḍ|to thread, pierce|0|kuḍnā/kuṛnā (kuḍḍas) "to thread, string, fix on any pointed instrument (e.g. a spit), throw the woof-thread in weaving"|kuḍe "to pierce as with a needle"|||1677
391|*kuḍā|navel|0|kuḍḍā "umbilical cord"|kuḍe|||1678
392|*kuḍ|(Hahn) to plait, braid, twist|0|kuḍnā||||1653
393|*kuǯī|shadow, phantom|0|kujī|kuji|||1641
394|*kuk-|head, extremity; mother-tuber|952|kukk|kuku|||1630
395|*kuk-|boy, lad, young man, male child|620|kukkos|||Also KUR \Ikukoy\i girl, lass, young woman; \Ikoy\i abbreviative form of the vocative \Ikukoy\i.|2030
396|*kum-|to carry on head|739|kumʔnā "to take and carry on head, make oneself responsible for, confess, be pregnant as result of a fault"|kume "to take upon one's head, accept terms, take charge of"|||2677
397|*kumbā|log-hut|0|kumbā||||1732
398|*kun|to string (as beads)|0||kunye (kunc-)|||2176
399|*kund|to be born; to bud|0|kundnā "to germinate, bud, shoot out"|kunde "to be born, be created"||Also KUR \Ikundrnā\i to be born; \Ikundrkā\i birth; \Ikundrtaʔānā\i to generate, beget, produce.|1729
400|*kund-|block, log|681||kunda|||1723
401|*kurc-|(Hahn) to stammer, speak like a child|0|kurcaʔanā||||2043
402|*kur-|colt|698|kurū||||1791
403|*kur-k-|to write|418||kurke|||1847
404|*kuṛq|adj. Oraon|0|kũṛUx|||Also KUR \Ikũṛxas\i an Oraon man; fem. \IkũṛUxnī\i; (Hahn) \Ikurux\i Orāō̃.|1649
405|*kus|to strike by thrusting the head against, butt|0|kussnā||||1850
406|*kuṛ-|to grow warm; to burn|738|kuṛnā (kuṭṭas) "to grow warm, become hot, be heated; cook (tr.) on live embers, bake on an open fire"|kuṛe (kuṭ-) "to burn, roast, sear"||Also MLT \Ikuṛnare\i to be hot or warm; \Ikuṛni\i warm, hot.|2654
407|*kuṭā|(Hahn) chaff|0|kuṭṭā||||1665
