NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
191|*dānd̲-|belleric myrobalan|1508|tāṇḍi "(Wagh.) belleric myrobalan"|||||dēndi, dēni (stems dēnd-, dēn-)|||||||3198
192|*dāṭ-|to cross|273|dāṭ- (dāṭt-)||||||||||Also Kolami \Idāṭip-\i (\Idāṭipt-\i) to make to cross||3158
193|*ḍāŋ- (caus. *ḍāp-)|to hide|8|ḍāŋg- (ḍāŋkt-) "to hide (intr.)"|||ḍhāŋ- "to hide (intr.), be hidden"|||||||Also Kolami \Iḍāp-\i (\Iḍāpt-\i), \Iḍāŋgip-\i (\Iḍāŋgipt-\i) to hide (tr.); Naikri caus. \Iḍhāŋgip-\i; \Iḍhāp-\i to cover, hide|The forms with \I-ip-\i are probably Kolami-Naikri innovations.|63
194|*ḍek-|hoof|294||||ḍekka||||ḍekka|||||2970
195|*dem-|island|274||||||demma "elevated ground"|||||Also Parji \Inīr demma\i island||3239
196|*denḍ-|stalk|0|denḍe "(Pat.) stalk"||||||||||||3056
197|*ḍepl-|sod|0||ḍepla|||||||||||2974
198|*ḍēr-g-|a belch|295||ḍērg, ḍērk "belching"|ḍerkā "belching"|ḍēkur|||||||||3451
199|*ḍej- (*-g-)|hawk|384||||||ḍeya "(S) hawk"|||||||1527
200|*ḍib-|mound|296||||||ḍibba||||dibbe "hillock, mound"|||3229
201|*dinǯ-|pith|1014||||||diññi|||||||3736
202|*ḍip-|heap|0||||||ḍippa|||||||3229
203|*dīṛ-|castor-oil plant|0||||||dīṛa (pl. dīṛel)|diṛel "(pl.) castor-oil plants"||||Also Parji \Idīṛa ney\i castor oil||3281
204|*dīṭ-|to wipe, rub|1551|||dāsīna dīṭ- "to rub teeth"|dhīṭ- "to wipe"|||||||Also Kolami̲SR \Inūne dīṭ-\i to oil||3273
205|*ḍob-|to push|0||||ḍhobb-|||||||||3340
206|*doḍom-|handle|0||||||ḍoḍoma "(S) handle of a vessel"|||||||3487
207|*ḍogor|back|0||ḍogor (pl. ḍogoḍl)|ḍogor||||||||||2979
208|*ḍok-|lizard|298||ḍokke||||ḍokka||ḍokoḍe "a kind of lizard"||ḍokoḍe "a kind of lizard"|||2977
209|*ḍok-|bone|297|||||ḍokka||||||||2976
210|*ḍol-|to lie, fall|299|ḍol- (ḍolt-) "to lie down, be felled"||||||||||Also Kolami \Iḍolp-\i (\Iḍolopt-\i) to fell (trees), pull down (wall)||2988
211|*ḍōm-|a k. of insect|303|ḍōme "mosquito"||ḍome "blind bee"||||||||||2991
212|*ḍop-|leaf-cup|300||ḍompa|ḍompā|ḍoppa||ḍoppa||||||The nasal cluster is unconfirmed by external data; possibly due to contamination with \I*gamp-\i 'basket'.|2986
213|*donḍ-|water-snake|0|||ḍonḍyā||||||||||2985
214|*dorb-|lung|279||dobba||||dorba (pl. dorbel)||dobba (pl. -l)|||||3515
215|*doḍ-|big|277|doo "big, great, elder"||doḍānd|doṛa "big, elder"||ḍōṛa "big, stout"||toṭo vande "thumb, big toe"|||Also Kolami \Idood\i big thing; Naikri \Idohon\i big||3491
216|*ḍoŋ|way, road|0||||ḍoŋg|||||||||2981
217|*ḍoŋ-|to steal, thief|301|doŋgli "secret, a secret act"|||ḍoŋga "thief"|ḍoŋgak (pl. -er) "thief"|ḍoŋg- "to steal"||ḍoŋga "thief"|||Also Kolami \Idoŋgli goṭṭi\i a secret; \Iḍoŋga\i thief; \Iḍoŋgrip-\i (\Iḍoŋgript-\i) to steal; Naikri \Iḍoŋglip-\i to steal; Parji \Iḍoŋgal\i thief||2982
218|*ḍōk-|shell|302||||||ḍōki "(S) tortoise shell"|||||||2989
219|*dōm-|to wash|0||||||||dōm- "(S) to wash and clean by rubbing"|||||3552
220|*dub-|dust|286|dubba "small dust cloud"|dubba|||||||||||3332
221|*duḍm-|to swim|0|duḍm- (duḍumt-)||||||||||||3300
222|*duk-|obsequies|285||||||||dukke|||||3375
223|*dul-|itch|291||||||dulkaṛñid, duladāma "cow-itch"|||||||3392
224|*dumd-|beetle|1602||||||dumdi|||||||3328
225|*ḍump-|root, tuber|0|||||||||ḍumpa||||3326
226|*duṭ|hip|1563|duṭ (pl. duṭl)||||||||||||3302
227|*dut-|earthen pot|0|||duttā||||||||||3385
228|*ḍuv|panther, tiger|1670||ḍū "panther"|duva "panther"|||ḍū (pl. ḍuvul) "tiger"||ḍuccā "wolf"||||Salur \Iḍuccā\i probably < \I*ḍuv-cā\i.|692
229|*dunḍ-|bud|292||||||ḍū̃ḍi|||ḍunḍi|||Parji vowel length unclear. Cf. Halbi \Iḍhũḍī?\i|2963
230|*eḍ|bullock|331|eḍ (pl. eḍl)|||heḍḍ (pl. heḍl)|||||||||815
231|*ed-|good|1960||||||edo, (S) eda|||||Also Parji (S) \Iedka\i very||848
232|*edr-|chest|306||||||edram, edrom|||||||827
233|*ed̲-|to throw|310||||||||ey- (eṭṭ-)|||||859
234|*ed̲-p- (*a-)|to lift out|0||||||edp- (edt-)|||||||867
235|*e-c-|when, how|0|||||eccir "when, at what time"||esel "when"|eccēl "when"|||Also Naiki \Iesen\i how; Salur \Ieccē\i how much||5151
236|*e-t-|[interrogative base] (location)|0|ettan, ettar, ettad "man, men, woman of what place"|||ettaṭ "whence"|ette "how much"|ete, eten "how"|eṭeṭ "what sort of"||||Also Kolami \Iettin\i where; \Iettaṭ\i whence; \Iette\i how much; Naikri \Iettin\i where; \Iettek\i how much; \Iede\i where; \Iedelaṛ\i whence; Naiki \Ieddaṛ\i from which direction, wherefrom; Parji \Ietoḍ\i, \Iettel\i when; \Ietoḍ etoḍ\i repeatedly; \Ietoḍi\i always, (with neg.) never; \Ietni\i in what way; Ollari \Ieṭen\i how; Gadba̲S3 \Iēṭu\i which side||5151
237|*eǯ-|number|347||||||eja|||||Also Parji \Ieja cāj-\i to count||793
238|*elav-|wave|1910||elava "a wave"|||||||||||830
239|*el|both|318|ittar el||||||||||||844
240|*el-|rat|319|elka|||elka|elli (pl. -g)|el (pl. elkul)|sirel "mouse"||||||833
241|*elg-|to embrace|0|||elg-, yalg- (KR-164)|elg-||ol-, olv-, oli-|||||||842
242|*el-ŋ-|to peel off|0||||||elŋg- "to peel off (intr.)"||eluŋ- "to peel (as fruit)"|eliŋp- (eliŋt-) "to peel off (tr.)"||Also Parji \Ielkip-\i (\Ielkit-\i) to peel off (tr.)||843
243|*elub-|white ant|322||||||elub (pl. elbul)|elub (pl. elbul)|ellūb (pl. elbūl)||elb (pl. elub)|||837
244|*endr-|to bring|0||||||endr-, enderp- (endert-)|indr-||||||802
245|*enǯ-|to wake up|0||||||eñ-|||||Also Parji \Iecip-\i (\Iecit-\i) to arouse, waken up||851
246|*enm-|eight|0||enumdi|enumadī, enumidī||||||||Also Kolami̲SR \Ienmāter\i, \Ienmāṭar\i eight persons||784
247|*er- (*-r̲-)|to strain off water|0|||||erap- "to strain off water from boiled rice"||||||||522
248|*er- (*-r̲-, *-d̲-)|to sift|349|||ers-, yers- (KR-188)||||||||||915
249|*er-|to be|442|er- (e-, a-; edd-) "to become, happen, (story) is finished"|||er- "to become"|er-/en- (ed-/edd-)|er- (eñ-) "to become, happen, be"|er- (ed-, en-) "to be, become, happen, be born"|ēr- (edd-, enn-) "to become"|||||823
250|*er-|to light, burn|337|erk- (erekt-) "to light (fire)"|||erk- "to light (fire)"|erk- "to light (fire)"|erip- (erit-) "to burn the mouth"|||||||811
251|*erk-|to cut down|332||||||erk- "to cut down bushes, etc., in clearing land"|||||||824
252|*er-oḍi (*-r̲-)|red|339||eroṛi|erroḍī||||||||||865
253|*eris|wild dog|335|resn āte|||||iric netta||||rēs nete "hunting dog, hound"|||817
254|*erŋ-|to defecate|336|erŋg- (ereŋkt-)||yarg-, yarŋg- (KR-187)|erŋg-|eruŋ-||||erg-||Also Naiki \Ieruŋta\i excrement||813
255|*esar|hot water|344|esar "water boiled for cooking grain"|||esar "hot water in which meal, etc., is boiled or flour is kneaded"|esar var- "(water) to boil"||||esar "water in which rice is boiled"||||777
256|*et-|to lift|345|et- (ett-) "to lift up"||ettā "tall"|ett-||etip- (etit-)|||||||796
257|*evg-|leaf|346|ēg (Pat.), yēg (Haig)|eg|eg|eg|eg(u), evgu|ev|eg|egu||ēg|||775
258|*ej-|to arrive|315|end- (ent-)|||||ēd-, (S) ēy-|||ed-||Also Parji \Iepip-\i (\Iepit-\i), (S) \Ieypip-\i (\Ieypit-\i) to reach|As in most CDR languages, the word is used mostly with derivative suffixes (thus, \I-d-\i assuredly goes back to PDR). The original variant is preserved in South Parji.|809
259|*ej-|to shoot|0||||||ey- (eñ-), eyk- "to shoot (arrow)"|||||||805
260|*ē-|[interrogative base] (direction)|0|ē "where"||||ēl "which direction, where"|āre "where"|ereman, ēṭ "where"|ēlcōy, ēman "where"|||Also Naiki \Iēl bi\i in any direction; Parji \Iāt\i, \Iāroḍ\i whither; Gadba̲S3 \Ieman\i, \Iēl\i where||5151
261|*ē-|to take; to receive|353|||||ēk- "to take, lift"|ēp- (ēt-) "to get"||||ēp- "to receive, take"|||905
262|*ēgar||0|ēgar (pl. -sil) "watchman's raised platform"|||hegar (hegaḍḷ) "watchman's raised platform"|||||||||877
263|*ē-, *e-|[interrogative base]|457|em/emd/ēn/ēnd, ēr, ed, edav "who/which man, which men, which woman or thing, which women or things"|||ēn, ēr, ēd, ēv "who (masc., pl., fem., fem. pl.)"|ēn (obl. ēr-), ēd "who (masc.), which/who (fem./neut.)"|ēd (obl. ēr-) "who"|ēynḍ, ēyr "who (sg.), who (pl.)"|eyir "who (pl.)"|||Also Kolami adj. \Iē\i (rarely used); \Iēv\i which women; Parji adj. \Iāro\i which; Gadba̲S3 \Ieyiṇ\i which man; \Ieyir\i which men; \Iēdi\i which thing, animal, woman; pl. \Iēvi\i||5151
264|*ēd-|to drive away|0||edg-|edg-|edg-|||||||||893
265|*ēk-|to pick out|317||||||ēk- "to pick and throw away stones and weeds from field"|||||||765
266|*ēnd-|to dance|355|ēnd- (ēnt-) "to dance in rejoicing"|||ēnd- (ēnt-)|ēnd- (ēnt-)|ēnd-|ēnd-|ēnd-|||Also Naiki \Iēndup-/ēndp-\i, Parji \Iētip-\i (\Iētit-\i) to make to dance; Parji \Ienk-\i to play; \Ienkip-\i (\Ienkit-\i) to make to play; Ollari \Iēndiŋ\i, \Iēndonḍi\i a dance; \Iendk-\i to play; \Iendikp-\i (\Iendikt-\i) to make to play||895
267|*ēng-|elephant|465||ēngi|enāgī|ēnagī||ēnu (pl. -l)|ēnig|ēnig|||Also (from Glasfurd's: Papers Relating To The Dependency of Bustar, 1863) Parji \Iyanoo.\i||5161
268|*ēṛ|seven|461||ēṛ|eḍ||||||||Also Kolami̲SR \Iergur\i, \Ieḍgur\i seven persons|If not borrowed from Telugu?|910
269|*ēt|a k. of snake|0||||||ēt bām "cobra"||ēt bāmb "cobra"|||||891
270|*ēṭ-|old, stale|0||||||āṭa "old, stale, worn out (only of things)"|ēṭ "old"||||||350
271|*ēv-|jealous|359|ēva "(Pat.) jealous"||||||||||||878
272|*ē̆-n-|[interrogative base]|0|ēndi entena "someone"|||eŋgel "how much"|eŋgoṭel/eŋgoṭer, eŋgoṭe, eŋgon "how many (masc., fem., neut.)"|eŋgoṭ, eñot "how much"|enā, ēna "which one, what"|enācōy "what"|||Also Kolami \Iēri entena\i some people; \Ienaŋ\i how; \Iendar\i, \Iendav\i, \Ieniŋ\i how many males, females, things; \Ienṭon\i, \Ienṭor\i, \Ienṭod\i, \Ienṭov\i man, men, woman or thing, women or things like what; Naikri \Ienjep\i how long (time); \Ienṭa\i what sort of (3sg. masc. \Ienṭan\i what sort of man); \Ienaŋ\i how; \Iendhar\i, \Ienniŋg\i how many males, things; Naiki \Ienjo\i when, which day; Ollari \Ienādale\i something; \Ienādiŋ\i what for, why; \Ieŋger\i how many; \Iēnet\i how much; Salur \Iengurtul\i how many (personal pl.); \Iengil\i id. (non-personal pl.); \Ienētiŋ\i how much; \Ienādi\i why; Gadba̲S3 \Ienādun\i why||5151
273|*gaḍḍam|beard, moustache|361|gaḍḍam "chin"|gaḍḍam "chin, beard"||gaḍḍam "beard"||gaḍḍom (pl. gaḍḍocil)||geḍḍam "beard"|||Also Parji (S) \Igaḍḍal\i beard|Geminated \I-ḍḍ-\i! and irregular \I*-a-\i > Salur \I*-e-\i. (Borrowed from SDR?)|1156
274|*gaḍḍ-|tuber|0|gaḍḍa "(Wagh.) tuber"||||||||||||1171
275|*gaḍḍ-|grass|362|gaḍḍi|||ghaḍḍi|||||||||1158
276|*gad-|to reach|0|||gaddī-||||||||||1201
277|*gad-j-|granary|0||||||gadeya|||||||1192
278|*gaḍ-l-|neck|527|||||||gaḍli||||||1366
279|*gamp-|basket|364|gappal "(Pat.) a set of baskets"|||||gappa "bamboo basket"||gampa "large basket"|||||1243
280|*gaN|knot, joint|369||gana "knot in tree"||khan "joint in bamboo"|||||||||1160
281|*ganḍ-|to prick|0||sār ganḍeŋ "to lodge, of a thorn"|ganḍeŋ||||||||||1178
282|*garVm|fox|0||||||garum gōli|||||||1289
283|*gaṛd-|hornet|475||||||gaṛdid|||||||1117
284|*gar̲ (*-r)|feather|370|gar (pl. gaḍl)|||gar (pl. -śil)||||||||Alveolar \Ir̲\i confirmed by external data.|1394
285|*gaṭ-|hard, thick; spleen|373|gaṭṭi "thick (density)"|||kaṭṭ "spleen"||kay-gaṭṭa "(S) bile"||||gaṭṭin "hard"|Also Kolami \Ikeḍk\i hard|Contamination is certain here, although the exact meanings of both roots is hard to determine. While  on first sight it would be natural to assume the meaning 'spleen' for \I*kaṭ-\i and 'hard' for \I*gaṭ-\i, this hardly seems convenient considering that in some SDR and Gondwan languages it is just the opposite. There's also a possibility of devoicing in Naikri through assimilation.|1148
286|*gavḷ-|jaw|0||||||gavla, galva|||||||1337
287|*gāḷ|fish-hook|378||||gaḷ (pl. -śil)||gēlam "(S) fish-hook"|||||||1495
288|*gāḷ-|wind|377|gāli|||ghāḷi|ghāy||||||||1499
289|*gāṛd-|ass|561|gāḍdi|||gāṛdi||gade, (S) garad|||||||1364
290|*gāṭ-|hot, pungent|0||gāṭam|||||||||||1492
291|*gāṭ-|spoon|0||gāṭe|||||||||||1267
292|*gel-|to win|380||gel-|gell-|ghel-|||||||||1972
293|*genǯ-|water from boiled rice|382||||||||genji|||||1107
294|*geṭ-|foot, leg|383|geṭṭa "foot, leg, hoof"|||geṭṭa "foot"||gēṭa "leg from knee to ankle; claw of crab"|||||||1943
295|*gej-|simple|0||||||geyal "simple, simpleton"|||||||2021
296|*gilgil-|soft|0||||||gilgilaṭ|||||||1576
297|*gin-|metal pot|0|||||||||gina "metal pot, cup"||||1543
298|*giñc-|pith|0||||||giñji, giññi|||||||1519
299|*gir-(u)b|ear-wax|598||||||girub|||||Also Parji (?) \Ikorñ-\i to scrape wax out of ear||1855
300|*gir- (*-r̲-)|wrist|601||||||gira key "(S) wrist"|||||||1563
301|*girgir-|cold|2012||||||girgira|||girgira||||1568
302|*git-|to penetrate|0|||||git- "to penetrate, pierce"||||||Also Naiki \Igitup-\i to bury||1550
303|*gīr- (*-r̲-)|line, mark|388|kīra "stripe"||||khīr "line"|gīr|||gīri "line"||||1623
304|*-ǯar-|postfix of relations|0||||jaran "in: \Itāk-jaran\i father"|||||||||2357
305|*goḍ-|a k. of deer|0||||||guḍva "nilgai"|||guri goḍ "bison"||||1664
306|*goḍ-|wall|393|||goḍā||||||||||2207
307|*goḍv-|stone of fruit|0||goṛva||goṛage|||||||||2069
308|*gok-|to bend|392|gog- (gokt-) "to bend over"||koŋkḍī, kokḍī "crookedly"|ghogg-|koŋga, kohoŋga "elbow"|kokor- "to be bent, curved"|||||Also Kolami \Igogip-\i (\Igogipt-\i) to make to bend over, bend (tr.) at a sharp angle; Naikri \Ikoŋki\i curved hoe; Parji \Ikokoro\i a curl; \Ikokta\i crooked, zigzag; \Ikokṛ-\i, \Ikokṛayt-\i to contract (arm, etc.)||2032
309|*goḷ-|to strike, shoot|0|gōl- (goḍd-) "to beat, shoot with bow"|||goṛ- (goṭ-) "to strike, beat, kill"|||||||Also Kolami̲P \Igoḍ-\i to cut with axe||2152
310|*gonḍ-|man of Gond tribe|0|gonḍa (\Ifem.\i gonḍortad)||||gonḍ (\Ifem.\i gonḍia)||||||||2077
311|*gond-|to tattoo|0||||gondip-|||||||||2091
312|*gonǯ-|to winnow|0|gonjip- (gonjipt-) "to winnow with side-to-side motion"|||gonjip- "to winnow with side-to-side motion"|||||||||2144
313|*gorb-|a k. of tree|0||||||gorba "(S) salphi tree, Caryota urens"|||||||2131
314|*gor-j- (*-r̲-)|deer|391|goria|goria "antelope"|||||||||||2165
315|*gork-|spear|0||||||gorka|||||||2126
316|*gorp-|shell of tortoise|0||||||||gorpa|||||2129
317|*gor̲- (*-r-)|sheep|637||gorre|gorre||gorre||||||||2165
318|*gōl-|abuse|2052|||||||gōler- (gōlen-) "to abuse"|gōle|||||2251
319|*guḍ|egg|416|guḍ (pl. guḍl) "testicle"||||guḍ (pl. -l)||||||Also Naiki \Ikanta guḍḍa\i eyeball; (?) \Igaḍḍa\i stone, pestle made of stone||1680
320|*gudal|a k. of tree|663||||||gudal "a kind of tree"|||||||1701
321|*guḍḍ-|bear|401|guḍḍi "a bear"|||guḍḍi "a bear"||guḍḍi "(S) black"|||||||1679
322|*guḍḍ-|blind|695|guḍḍi|||guḍḍi|||||||||1787
323|*guḍ-|temple|400|||guḍī|||guḍi "temple, village resthouse"|guḍi||||||1655
324|*guḍ-|to cut, mow|0|||guḍīpeŋ "to cut crops or grass"||||||||||1656
325|*guḍ-|button|0||||||guḍam|||||||1713
326|*gud-|to beat|397||||||||||guddap- "to pound with fist, butt"|||1850
327|*guḍ-j-|field|402||||||||||guḍiya "a small field for cultivation of vegetables"|||1682
328|*guḍm-|to thunder|399||guṛmcad "it thunders"|guḍm- "to make noise"|||guṛl-, guḍr-|||||||1659
329|*gum|heap, assembly|404|gum "assembly"|||ghuma er- "to assemble"||kum- "to heap on to"|||||Also Kolami \Igum er-\i to assemble||1741
330|*gum-|bamboo basket|0||||ghummi "large bamboo receptacle for storing grain"|||||||||2117
331|*gum-|pit|403||||||||gummi|||||1818
332|*gunḍ-|stone|409|gunḍ||rubgunḍ "pounding stone"|ghunḍ||||||kuṇḍran "round"||Kondekor \Ikuṇḍran\i seems doubtful due to lack of voicing.|1695
333|*gunḍ-|to bend|0||||gunḍap- "to wind round (tr.)"||gunḍ- "to bend (intr.)"|||||Also Parji \Igunḍpip-\i (\Igunḍpit-\i) to make to bend||1691
334|*gunḍ-|heart|408||||gunḍur-kāya "kidney"||gunḍer-kāya|||||||1693
335|*gunḍ-|dust|407||||||gunḍa|||||||1692
336|*gunǯ-|owl|412||||||guññi|||||||1647
337|*gunṭ- (?)|deep; pool|411|gunḍi "(Pat.) deep"|||ghuṇḍik "deep"||guṭṭa "pool"|||||||1669
338|*gunt-|bow|410||gunti|||||||||||1727
339|*gup-|scrub|414||||||guppa "(S) scrub"|||||||1733
340|*gur-s-|to bend|0||||||gurcip- (gurcit-)|||||||1767
341|*gurǯ-|juice|0||||||||||gurju "juice, pulp"|||1880
342|*gurl-|shell, cowrie|415||gurgela "snail"||||gulli|||||Also Parji \Igula\i snail||1795
343|*gurm-|comb of white ant's nest|0||||||gurma|||||||1790
344|*gur̲- (*-r-)|to make sounds|417|gurgaḍil- (gurgaḍilt-) "(dog) growls, (pig) grunts"|||||gurr- "to hiss, hoot"|||||Also Parji \Igurj-\i (mice) to squeak||1852
345|*gur̲-|horse|665|gurram|||ghurram|kurmam/kurrmam|gurrol (pl. gurrocil)|||||||1711
346|*guṛŋ-|neck|743|||||guṛuŋga||||||||1645
347|*gūḍ-|nest|422||||||gūḍa "nest, wooden trap"|gūḍe|gūḍu|||||1883
348|*gūnǯ-|to smoke|0||||||gūñ-|||||Also Parji \Igūñi\i, \Igūñjkuḍ\i smoke||2226
349|*gūp-|owl|0|gūpa "(Br.) owl"||||||||||||1871
350|*gūs-|crowbar|0||||||kūci, kūcu (pl. kūckul)|||gusi||||1879
351|*iḍḍ-|to tell, show|0|iḍḍ- (iṭt-)|||iḍḍ- "to say"|iḍuk-/iṭk-, iḍ- "to show"||||||Also Naikri \Iiḍip-\i to show|! Voiced geminate?|786
352|*eḍ-|left|312|edamakei "(Hislop) left"||||ḍākiyan kī "left hand"||||||Kolami \Iedamakei\i borrowed from Telugu.||449
353|*iḍ-|to put|428|īḍ- (iṭṭ-)|||iṛ- (iṭṭ-) "to put, allow"|iṛ- (iṭṭ-)|iḍ- (iṭṭ-) "to put, put down, place, keep, lay (eggs), allow"|ir- "to put, fill, lay (eggs)"|ir- (iṭṭ-) "to put, place"|||||442
354|*iḍ-ik-|a few|1975||||||||||iḍigeda|||445
355|*i-|this|433|im/imd, ivr, id, idav "this man, these men, this woman or thing, these women or things"|||ivnd, id, idav "this man, this woman or thing, these women or things"|īn, īr, id "this man, these men, this woman or thing"|id, iv "this woman or thing, these women or things"|id "that woman or thing"||||Also Kolami adj. (rarely used) \Iī\i; Naikri, Parji, Ollari adj. \Iī\i|For inflected forms see \I*a-\i.|410
356|*i-l-|here; hence|0|||ilāḍ "hence"||||īl "here"||||Also Kolami̲SR \Iilāpasāḍ\i this side; Gadba̲S3 \Iil/l/u\i here||410
357|*in-ner̲|today|434|indeḍ|ineṛ|īneḍ, neḍī|indaṛ|inen|ine(n)|ine(n)||||||410
358|*i-n-|in this way, so; this much|0|inaŋ "in this way"||inthe "so"|inaŋ "in this manner, so"|indi, inḍi "now"|iŋgot, iñot "this much"|||||Also Kolami \Iindar\i, \Iindav\i, \Iiniŋ\i this many men, women, things; \Iinṭon\i, \Iinṭor\i, \Iinṭod\i, \Iinṭov\i man, men, woman or thing, women or things like this; \Iindaḍ\i from this place; \Iinḍi\i now; Naikri \Iinṭa\i like this; \Iindhar\i so many males; \Iinḍi\i now; Parji \Iini\i here; Ollari \Iinḍi\i now||410
359|*i-t-|here, in this place|0|ittan, ittar, ittad "man, men, woman of this place"|||ittin "here"|itak(an), itan "here"|it, ittu "in this direction"|iṭ "here"||||Also Kolami \Iittin\i here; \Iittaṭ\i from here; \Iitte\i this much; Naikri \Iittiŋ\i hither; \Iittaṭ\i from here; \Iittek\i so much; \Iidanḍi\i in this direction; \Iide\i hither; Naiki \Iitte\i this much; \Iidaṛ\i from here; Parji \Iittilec\i so big; \Iitur\i (S) this side; \Iitni\i so, in this way; \Iidoḍ\i in this direction; \Iīta\i like this (inflected: I sg. \Iīten\i, 3 sg. \Iīted\i, etc.), \Iīte\i, \Iīten\i in this way, so||410
360|*i-j-|hence, in this direction|0|||īyannā "hence"||iyel "this direction"|iyalti "in this fashion"|||||||410
361|*ik-|to grin|0||||||ikp- (ikt-)|||||||418
362|*il-|house|435|ella|||ella||il podi "roof"||||||Irregular \Ie-\i in Kolami and Naikri.|494
363|*iL-|young|436|lēŋga "calf"|||lēŋga "calf"||iled (pl. ilenkul) "young man, youth"|ile "bride"||||Also Naikri \Ilēta\i young (of infants); Parji \Iile\i (pl. \Iilecil\i) young woman, girl; Ollari \Iiled\i grown-up girl, woman; \Iilenḍ\i (pl. \Iiler\i) bridegroom|The root had the following derivatives: \I*il-eŋa\i 'calf'; \I*il-eT-\i 'young man/woman'.|513
364|*iliǯ|a bear|462||||||ili (pl. ilil)|ilij (pl. iljil)|illij (pl. iljīl)|||||857
365|*iluŋ|voice|323||||||iluŋg||||lēng "a tune"|||835
366|*in-, *in-k-|and|0|ini||iŋkā||||||||||410
367|*ir-|two|441|indiŋ "two things"|||indiŋg "two things"|ernḍi "two things"|irḍu "two things"|inḍi "two things"|iḍḍig "two (neut.)"|iḍḍig "two (neut.)"||Also Kolami \Iiddar\i two men; \Iīral\i two women; \Iin nal\i two days; (P) \Iirve\i twenty; Naikri \Iiddar\i two men; \Iiraḷ\i two women; \Ieṛ\i in \Ibalg-eṛ\i two seers; Naiki \Iiroṭel\i, \Iiroṭer\i two men; \Iira\i two women; \Iir nān\i two days; \Iernḍik\i two years; \Iernḍiḍa\i twice; Parji \Iirul\i two men; \Iiral\i two women; adj. \Iir\i; \Iiroṭ\i twice; Ollari \Iirul\i two men; \Iiral\i two women; adj. \Iir\i|The inflected forms are as follows: \I*ir-nḍi\i (neut., sometimes used with the plural ending -  \I*irnḍiŋ\i); \I*ir-oṭel\i (masc.), \I*ir-aḷ\i (fem.).|474
368|*iṛ- (*-ḍ-)|to strike|430||iṛ-|||||||||||443
369|*iṛi-k-|to descend|445|dig- (dikt-) "to descend, come down from a height"|ḍigg- "to descend, come down from a height"|ḍig-, dig- "to descend, come down from a height"|ḍigg-|ḍik-/ḍig-, ḍigul-/ḍigl-|iṛ-, iṛv-, (S) iṛi-|iṛg- "to descend, (sun, moon) sets"|iḍg- "to descend, dismount"|||Also Kolami \Idip-\i (\Idipt-\i), \Idigip-\i (\Idigipt-\i) to make to come down from a height; Naikri \Iḍipp-\i to make to descend; Naiki \Iḍigap-\i, \Iḍigup-/ḍigp-\i to make to descend; Parji \Iiṛkip-\i (\Iiṛkit-\i) to make to descend, put down (burden); Ollari \Iiṛigp-\i (\Iiṛigt-\i) to make to descend||502
370|*iri-|to tear, be torn|0|iri- (irit-) "to tear (intr.)"|||ir- "to be torn"|||||||Also Kolami \Iirk-\i (\Iirikt-\i) to tear (tr.); Naikri \Iirk-\i to tear||479
371|*iṛp|wall|0||iṛp|||||||||||452
372|*irp-|mahua|444||ippa "mahua tree"|ippā "mahua tree"||irpu|irup, irpa||irpa|||||485
373|*irs-u||0|īrcu "(Br.) axle"|||||||irsu "axle"|||||484
374|*is-|a little|446|isiuṭe "small; for a little while"||||||||||||410
375|*isr-|glow-worm|0|||isre||||||||||428
376|*īḍ-av-|distant|432|||davva, dautān|dhāv "distance"||||īḍ-ēr- "(S3) to get separated"|||||446
377|*īk- (*ń-)|to pierce|0|īkeng "(Pat.) to pierce, thrust in (knife)"||||||||||||3686
378|*īk-|to pound|0|||īk-|ī̆k- "to pound grain"|īk-||||||||535
379|*īl-|to fall off|0||||||īl- "to fall off (leaves, fruits, etc., from trees)"|īl- "to fall off, slip down"|īl- "to fall down as fruit, etc."|||Also Parji \Iīṭip-\i (\Iīṭit-\i) to cause (leaves, etc.) to fall off; (S) \Iīlip-\i (\Iīlit-\i) (hen) to shed its feathers; Ollari \Iīlup-\i (\Iīlut-\i) to make to fall||548
380|*īn-|to bear, produce|448||||||īn- "(grain) produces head"|||||||555
381|*īr-|to pull|0||||||īrp- (īrt-)||īr- "to pull, drag"|||||542
382|*īrs-|to rub|0||||||īrc-|||||||543
383|*ǯab-|shoulder|1835||||||jabba "(S) shoulder"|||||||2339
384|*ǯagǯag-|clean|0||||||jagjaga "clean (of clothes), bright"|||||||2280
385|*ǯalb-|cold|0||||||||||jalbu "a cold, catarrh, influenza"|||2409
386|*sal- (*c-)|to sprinkle, scatter|1454||||sall- "to sprinkle"||cal- "(rain) falls in a shower"|||||||2384
387|*ǯal-|to sow, scatter|1839||||||||jall- "to sow seed, scatter"|||||2373
388|*ǯal-v|gravel|1840||||||jalub "small stone chips"|||||||2381
389|*ǯarag-|to slip|1842|||jarāg-||||||||||2360
390|*ǯaŋ-|step, pace|1833|zaŋga "pace"|||||jaŋga "step, stride"|||||||2286
391|*ǯaŋ-|moon|1844|||||jaŋgo||||||||2287
392|*SeL- (*ǯ-)|branch|180||||||cella, jella "branch, bough"|||||||2587
393|*ǯenḍ-|ball|0|zenḍu "(Pat.) a ball"||||||||||||2766
