NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
421|*rēc-|a sort of ounce or lynx said to climb trees and to destroy tigers; (B) a hound or wild dog|335|rēcu|rēcu-kukka|||||||||817
422|*rē-|clay|0|rē-gaḍa|rē-gaḍi|||||||||820
423|*er̲-|earthworm|340|er̲a|er̲r̲a|||||||||822
424|*riv-|a twig|0|rivva|rivaṭa|||||||||826
425|*ed-|heart, mind, wish, breast, fear, alarm|306|eda||||||||Also [1] \Ieḍãda\i, [2] \Ieḍḍa\i the heart, mind, breast||827
426|*el-|to be shiny, splendid|2133||||||elamu|||||829
427|*el-|joy, pleasure, delight|0|elami||||||||Also \Ielayu\i to be pleased, rejoice; \Ielayincu\i to please, gratify; \Ielarucu\i to rejoice, delight; \Ielarupu\i joy, pleasure||832
428|*el-ik-|rat|319|eluka|elika (B)|||||||Also \Iciṭṭ-eluka\i mouse||833
429|*eluŋ-|voice|462|elũgu||||||||Also [1] \Ielĩgincu\i, [2] \Ielũgincu\i, [3] \Ielũgiccu\i to make a noise, cry, roar, sound, resound||835
430|*emm-|bone|324|emmu|emmuka|emuka||||||Also \Imakkelu\i bones||839
431|*ell-|all, whole|318|ella||||||||Also \Iellavā̃ḍu\i every man, everyone; \Iellaru\i all persons, all men||844
432|*ell-i|tomorrow|0|elli||||||||Also \Ielluṇḍi\i day after tomorrow||845
433|*ell-a|limit, boundary|320|ella||||||||||846
434|*eccar-|to remind, call attention to, caution|0|eccarincu|ecarincu|eccarikincu||||||Also [1] \Ieccarinta\i, [2] \Ieccarika\i, [3] \Ieccaramu\i attention, care, caution, a hint, warning; [1] \Iheccarincu\i, [2] \Iheccarika\i, [3] \Iheccarikincu\i = \Ieccarincu\i, etc.||851
435|*elli-dam-|scorn, contempt, disregard; contemptible|325|ellidamu||||||||||856
436|*eluŋ-|a bear|301|elũgu|eluvu|||||||||857
437|*ēṭ-|a blow, stroke|0|ēṭu||||||||||859
438|*r̲i-m-|to throw, fling, toss, spurt, squirt, thrust, butt; n. spurt, thrust, butt|310|r̲immu||||||||||859
439|*remm-|to snatch, pull out, pluck out (as hair)|0||||||remmu|||||860
440|*er̲-|redness, red, scarlet, crimson|339|er̲upa|er̲r̲a|er̲r̲ana|er̲r̲ani||Er̲r̲ana "n. pr. 14th cent. author (\Ier̲r̲a+anna\i elder brother)"|Er̲ama "n. pr. man (8th cent.)"||Also modern names \IErrayya\i, \IErramma\i||865
441|*an-|to say, utter, speak; adj. named, called|454|anu||||||envānr̲u "(7th cent.) he who is called"||Also \Ianipincu\i to seem, look, appear, be considered; pretend, cause to believe, cause to be said; \Ianukonu\i to think, believe, suppose, say to oneself|Note archaic \Ie-\i (< \I*ya-\i).|868
442|*enḍ-|sunshine, sun, heat of the sun|326|eṇḍa||||||||Also \Ieṇḍu\i to be heated by exposure to the sun, dry up, evaporate; \Ieṇḍugulu\i grain exposed to the sun for being dried||869
443|*ē-c-|to increase, grow|0|ēcu|||||ē̆saru "to increase, flourish, exceed"|||Also \Iēcina\i exceeding, great, extreme; \Iēpu\i bloom, increase, growth, prosperity; spirit, ardour; \Iēdu\i to bring up, nourish, cherish, protect; \Iedugu\i to grow, increase in stature; \Iesãgu\i to increase (intr.); \Iesakamu\i increase, rise; \Iesa\i excess, superiority; very, excessively; \Iesalāru\i to increase (see also number 402)||870
444|*ēg-|to go, proceed|350|ēgu|||||ē̃gu|ēgincu "to carry the deity in procession through the village streets"||||871
445|*ēŋ-|to long|359|ē̃karu|ē̃kāru|||||||Also \Iē̃kaṭa\i strong desire, longing; \Iē̃cu\i to harass, torment, annoy, trouble; \Iē̃pu\i torment||878
446|*ēg-|to sound|0||||||||ēgu|Also (Merolu) \Iēncu\i to make sound||879
447|*ēk-|to expose or publish the faults of, defame|0|ēku||||||||||880
448|*ēḍāgōḍa-m|contradicition, opposition|0|ēḍāgōḍamu|ēḍākōḍamu|||||||||883
449|*ēn-|(VPK) one edge of a blade of hoe or spade|356|ēnu||||||||||886
450|*ēnḍ-|the pole or shaft of a plough|0|ē̃ḍikōla||||||||||888
451|*ētar-|a villain, miscreant|0|ētari||||||||||889
452|*ēp-|Shorea robusta, the sal tree|0|ēpe (B)||||||||||896
453|*ēmar̲-|to be forgetful, be deceived, err|354|ēmar̲u|ēmār̲u|||||||Also [1] \Iēmar̲incu\i, [2] \Iēmar̲ucu\i, [3] \Iēmārcu\i to make one forget, deceive, take by surprise||898
454|*ēl̲-|to accept, admit, take|353|ēlu||||||||Also \Ielayu\i to arise, be produced, increase, (K. also) be suitable, become favourable; \Ielarāru\i to increase; \Ielaru\i increase; \Ielarucu\i to arise, be produced or manifested; \Iērcu\i to set in order; \Iērpaḍu\i to be arranged, established, determined, appointed; [1] \Iērpar̲acu\i, [2] \Iērparincu\i to arrange, settle, establish; \Iērpāṭu\i arrangement, system, settlement, decision, appointment||905
455|*ēl-|cardamom plant|352|ēla|ēlaki|||||||Also \Iēlakulu\i cardamom seeds||907
456|*ēv-|dislike, disgust, hate; disgusting, hateful|0|ēva|ēvamu|||||||Also \Iēvagincu\i to hate, dislike, be disgusted||908
457|*ēṛ-|seven|461|ēḍu||||||ēṛu "(7th cent.) seven"||Also \Iēḍuguru\i seven persons; \Iēṇ-nūr̲u\i 700; [1] \Iḍebbadi\i, [2] \Iḍebbhai\i, [3] \Iḍabbhai\i seventy; \Iḍebbaṇḍru\i seventy persons||910
458|*ēl-a (*-ḷ-?)|a kind of song, (B) a catch used by rowers of boats|351|ēla||||||||||913
459|*ēr̲-|to pick up, select, cull, glean, gather|0|ēr̲u||||||||Also \Iēr̲incu\i to cause to be gleaned; \Iērcu\i to choose, select, pick out; [1] \Iērparincu\i, [2] \Iērpar̲acu\i to select, choose; \Iērpu\i selection||914
460|*ēr̲-|to sift|349||||||ēr̲u|||||915
461|*ēṭ-|slope, slant|0|ēṭavālu||||||||Also \Iētamu\i, (VPK) [1] \Iētām\i, [2] \Iettam\i, [3] \Iātam\i picottah, water-lift; [1] \Iāṭakarra\i, [2] \Iāṭamānu\i picottah pole||916
462|*āv-|mustard|0|āva||||||||Also \Iāvalu\i mustard seeds||921
463|*opp-|to consent, agree, acquiesce, admit, acknowledge, be fit, suitable, proper, suit, be agreeable, elegant, beautiful; n. fitness, propriety, correctness, elegance, beauty, consent, assent|1117|oppu||||||||Also \Ioppamu\i beauty; \Ioppagincu\i to cause to consent or agree, cause to admit; \Ioppincu\i id., (B also) to assign or make over, commit, entrust; \Ioppandamu\i contract, agreement; \Ioppidamu\i agreeableness, beauty; agreeable, graceful; \Ioppudala\i consent, assent; \Iommu\i to suit, agree with one's health; \Iommika\i suitability, fitness; \Iovvu\i to agree, be friendly or on good terms; \Iōpu\i to be able, fit, worthy, can; n. (also \Iōpika\i) strength, ability||924
464|*ogg-|to lay a trap, net, lay a wager|1932||||||oggu|||||934
465|*os-ul-|to be loose (as joints), slip out|0||||||osulu|||||940
466|*occ-|disgrace, indignity, insult|0|occemu||||||||||942
467|*oḍ-am-|to be produced, arise|0|oḍamu||||||||||944
468|*oḍ-|to consent, agree|1097|oḍam-baḍu|oḍã-baḍu|||||||Also [1] \Ioḍam-baḍika\i, [2] \Ioḍã-baḍika\i agreement, consent, treaty; [1] \Ioḍam-bar̲acu\i, [2] \Ioḍã-bar̲acu\i to persuade; \Ioḍã-bāṭu\i consent, assent||945
469|*oḍ-|breach, opening|1126|oḍapi||||||||Also \Ioḍiyu\i to take by force, snatch; \Ioḍucu\i to defeat, overthrow, (K also) to take away by force; \Iōḍu\i to be defeated; n. defeat; crack, chink, hole; \Iōḍincu\i to defeat; \Iōṭu\i defeat, overthrow; \Iōṭi\i cracked, broken, leaky; [1] \Iōṭami\i, [2] \Iōṭamu\i defeat, failure; [1] \Iōṭar̲u\i, [2] \Iōṭār̲u\i to be split, broken, be ruined, defeated (or with 1041)||946
470|*oḍ-|lap (part of body and of the clothing), front loose part of a garment which can be held out for receiving anything, (B) lap, loins|1094|oḍi||||||||Also \Ioḍi-kaṭṭu\i girdle||947
471|*oḍisel-|sling|0|oḍisela||||||||||949
472|*oḍis-|bubo|1096|oḍise-gaḍḍa (B)|vaḍise-gaḍḍa (B)|||||||||950
473|*uḍ-ug-|to give up, quit, leave, stop, cease, desist from|1101|uḍugu|uḍuvu||||ḍuŋku "to be lowered, diminish, be subdued"|||Also \Iuḍupu\i to remove, efface, wipe away (or with 1009); \Iḍoŋku\i to dry up, sink, be absorbed, disappear, (K. also) diminish, shrink, hesitate; (K) \Idō̃ku\i water to sink down||954
474|*oṭṭ-|a total|1125|oṭṭu (B)|||||oṭṭu "to arise (as fear), accumulate, be put together; to put (as fire)"|||||958
475|*oṭṭ-/*oḍḍ-|an oath|1095|oṭṭu||||||||Also \Ioḍḍu\i to wager, stake, bet; n. a wager; [1] \Ioḍḍanamu\i, \Ioḍḍimi\i a stake, wager||959
476|*oḍḍāṇ-|belt of gold or silver worn by women|0|oḍḍāṇamu||||||||||961
477|*oḍḍ-|to stretch out, extend, present, offer, spread (as a net), throw, cast|0|oḍḍu||||||oḍuku "to give, deposit"||||962
478|*oḍḍ-|to interpose, prevent; n. an obstacle|1102|oḍḍu||||||||||963
479|*oḍḍāra-m|enmity, opposition|0|oḍḍāramu||||||||Also \Ioḍḍārincu\i to be hostile||963
480|*oḍḍ-|the multiplicand|0|oḍḍu||||||||||964
481|*oḍḍ-|bank, shore|1093|oḍḍu||||||||||965
482|*oḍ-|prettiness, beauty, elegance|1092|oḍikamu||||||||||967
483|*onṭ-|a sort of ear-ring worn by men|1115|oṇṭu||||||||||968
484|*onṭ-|to be agreeable, wholesome, or salubrious|0|oṇṭu|||||oṇṭu "to be friendly"|||Also \Ioṇṭami\i disagreement, enmity; \Ioṇṭaramu\i enmity; \Ioṇṭimpu\i convenience, aid, help||970
485|*onṭi-kānḍ-|wild boar|0|oṇṭikā̃ḍu|oṇṭigā̃ḍu|||||||||971
486|*ott-|to step aside, make way, move out of the way|1124|ottu|ottilu|ottillu|ottigillu|||||||973
487|*od-|to move or step aside, make room, sidle, shrink from, sneak, slink|0|odūgu||||||||||973
488|*ott-|to cut or break with nippers|0|ottu||||||||||975
489|*vant-|share, portion, a turn by rotation, a round|0|vantu||||||||||979
490|*obbiḍ-|threshing of corn|0|obbiḍi||||||||||982
491|*obbaṭṭ-|a kind of sweet cake|0|obbaṭṭu||||||||||983
492|*os-|to give; n. a gift|1104|osãgu|osavu|||||||Also \Iuccu\i to send||984
493|*ojj-|slowly, gently, softly|0|oyya|oyyana|||||||||985
494|*ollan-|slowly, gently, softly|0|ollana||||||||||985
495|*og-|order, a range or line|0|ogi||||||||Also \Iogin\i in order||986
496|*or-im-|friendship, unanimity, harmony|652|orima|orimika|||||||Also \Iorumu\i to be mixed or united||990
497|*ok(k)-|one (adj.), single|2159|oka||||||||Also \Iokãḍu\i, \Iokõḍu\i, \Iokarũḍu\i, \Iokaruvũḍu\i, \Iokorũḍu\i one man, one animal or thing; [1] \Iokata\i, [2] \Iokati\i, [3] \Iokatuka\i, [4] \Iokate\i, [5] \Iokarita\i, [6] \Iokariti\i, [7] \Iokarite\i, [8] \Iokartu\i, [9] \Iokartuka\i, [10] \Iokarte\i, [11] \Iokota\i, [12] \Iokorita\i, etc., one woman; \Iokaru\i some persons; [1] \Iokaṭi\i, [2] \Iokoṭi\i one thing; [1] \Iokaṭa\i, [2] \Iokoṭa\i at one and the same time, together; (nearly all Telugu forms also with \I-kk-\i)||990
498|*onṭ-|state of being alone, singleness, solitariness; single, only one, alone|0|oṇṭi||||||||Also \Ioṇṭari\i alone, one who is alone; \Ionṭarikamu\i solitariness; [1] \Ioṇṭikā̃ḍu\i, [2] \Ioṇṭarī̃ḍu\i, [3] \Ioṇṭarikā̃ḍu\i man who is alone; fem. \Ioṇṭarikatte\i||990
499|*onḍ-|one thing|1113|oṇḍu||||||||||990
500|*ogg-|to bend, turn towards, become submissive, yield|0|oggu||||||||||991
501|*ogg-|to be prepared or ready, undertake|0|oggu||||||||||992
502|*ul-ij-|to sound, resound|1109|uliyu||||||||Also \Iulivu\i sound, voice||996
503|*ol-aj-|to appear, arise, happen|0|olayu|||||olayu "to occur, increase, shine"|||||997
504|*ol-|to be spilled, run, flow, overflow, gush out|1108|oluku||||||||||999
505|*ol-ij-|to be peeled, flayed|1107|oliyu||||||||Also \Iolucu\i to peel, flay, strip; \Iolupu\i peeling, flaying||1000
506|*ol-|a funeral pile|1141|oliki||||||||||1001
507|*ul-ij-|to move, shake|1691|uliyu|||||uliyu, nuliyu|||Also \Iulucu\i to brandish, wave, shake; (K) \Iolayu\i to swing, shake, move||1003
508|*oll-|to faint, grow or turn pale, fade|1856|ollã-bōvu||||||||||1004
509|*oll-|an upper garment|0|olliya|olle|||||||Also [1] \Ivaluva\i, [2] \Ivaluvu\i a fine cloth, a cloth||1005
510|*val-/*ol-|to love, wish, desire|1110|valacu (\Ineg. gerund\i ollaka)||||||||Also \Iollami\i refusal, rejection, declining; [1] \Ivaladu\i, [2] \Ivaddu\i is not required or wanted; must not, ought not; \Ivalapu\i love, desire, wish; (B) \Iōlimika\i friendship||1006
511|*uḍ-|to cease, leave, quit|0|uḍi-vōvu||||||||Also [1] \Iuḍugu\i, [2] \Iuḍuvu\i to give up, quit, leave, stop, desist, cease from; \Iuḍupu\i to remove, efface, wipe away||1009
512|*oḍ-/*vaḍ-|to spin (tr.)|1100|oḍuku|vaḍuku|||||||||1012
513|*oḷ-|a secret|1111|oḷavu||||||||Also \Iōlamu\i a shelter, cover, screen||1015
514|*or̲V-|backbiting, tale-bearing|0|orudala||||||||Also \Irōyu\i, (K) \Ir̲ōyu\i to hate, dislike, be disgusted with, be wearied or tired, give up, abandon, leave, (K also) despise, rebuke; [1] \Irō̃ta\i, [2] \Irōta\i disgust, abhorrence; dirt, filth; [1] \Ir̲occu\i, [2] \Iroccu\i contempt, disregard; mud, mire; \Irompi\i mud, mire||1019
515|*ott-|to press, squeeze, foment, urge, produce a mark on a surface by pressure; n. pressure, denseness; close, thick, dense|1123|ottu||||||||Also \Iottaḍamu\i fomenting, pressing gently||1021
516|*ottul-|gold bracelets for children|0|ottulu||||||||||1023
517|*ōk-|retching|0|ōkara|ōkarinta|ōkili|ōkilinta|||||Also [1] \Iōkarincu\i, [2] \Iōkilincu\i to retch||1029
518|*ōgir-|food, boiled rice|0|ōgiramu|ōremu|||||ōviramu||||1030
519|*kōs-|for the sake of, on account of|0|kōsaramu|kōsamu|||||||||1034
520|*ōǯ-|a row, line, regularity, order, manner, way|0|ōja||||||||||1038
521|*ōḍ-|ship, vessel|1128|ōḍa||||||||||1039
522|*ōḍ-|to run, be defeated, fail, be afraid, flow, trickle; n. defeat, failure|1127|ōḍu||||||||Also [1] \Iōḍincu\i, [2] \Iōrcu\i to defeat; [1] \Iōṭar̲u\i, [2] \Iōṭār̲u\i to be defeated, fail; [1] \Iōṭami\i, [2] \Iōṭamu\i defeat, failure, fear; \Iōṭa\i fear; \Iōṭu\i defeat, failure; \Ioḍucu\i to defeat, overthrow (or with 946); \Iōḍika\i stream, current; \Iōḍigillu\i to flow, run||1041
523|*ōḍ-|a roofing tile|1129|ōḍu-billa||||||||||1042
524|*ōn-i|a dark alley, (B) a narrow pass between hills|1136|ōni-kaṭṭu||||||||||1046
525|*ōda-m|pitfall for catching elephants|0|ōdamu||||||||||1048
526|*ōm-am|the seed of bishop's weed, Sison ammi, Ptychotis ajowan|1135|ōmamu||||||||||1054
527|*ōm-|to preserve, cherish|1134|ōmu||||||||||1056
528|*ov-|to be spoiled, perish|0||||||ovvu|||||1057
529|*r̲ōj-|to seek, search, look for|0|rōyu|||||r̲ōyu|||Also (K) \Ivār(u)cu\i to look for, wait, expect, wish||1059
530|*ōr-|side, border, edge|1137|ōra||||||||||1060
531|*ōr-a|oblique, sidelong, bent|1140|ōra||||||||Also \Iōragincu\i to slant (tr.), incline; \Iōragilu\i to slant (intr.), lean; \Iōrasil(l)u\i to move aside||1062
532|*ōr-|to bear, endure, be patient, allow, pardon|1138|ōrcu|ōrucu|||||||Also [1] \Iōrpu\i, [2] \Iōrupu\i, (K also) \Iōrmi\i patience, tolerance; [1] \Iōrpari\i, [2] \Iōrupari\i one who is patient; \Iōpu\i to bear, endure, be patient; n. (also \Iōpika\i) patience||1063
533|*ōl-|to sport in water|0|ōl-āḍu|ōlal-āḍu|||||||||1068
534|*ōr-|decoration of red paint|0|ōru||||||||||1074
535|*kakkur̲-|greediness, avarice, miserliness|0|kakkū̆r̲iti||||||||||1075
536|*kakk-|to vomit, disgorge; n. vomiting|482|kakku|krakku|||||||Also \Ikakkũ-devulu\i bilious vomiting; \Ikakkuḍu\i vomit, vomiting||1079
537|*kaŋkaṇa-m|a large bustard with a red head|0|kaŋkaṇamu||||||||||1083
538|*kaŋk-i|an ear or head of corn|0|kaŋki||||||||||1084
539|*kas-|impurity, dirt, foulness, sin|725|kasaṭu||||||||Also \Ikasavu\i sweepings; ? \Igasi\i sediment of ghee or oil||1088
540|*kajj-/*kas-|quarrel, dispute, fight, battle|478|kayyamu|||||kasugu "to mutter in vexation (rhyme-word with \Ivisugu\i)"|||Also \Ikasaru\i to scold, rebuke; n. anger, a scolding; \Ikasi\i anger, spite, malice, grudge; [1] \Ikacce\i, [2] \Ikacciya\i a quarrel; \Ikisaru\i anger; [1] \Igayāḷi\i, [2] \Igayyāḷi\i a shrew, termagant; [1] \Igayāḷincu\i, [2] \Igayyāḷincu\i to behave as a termagant||1089
541|*gaǯ-|large, as in: \Igaja nimma\i the large hill orange, Citrus bergamia|542|gaja||||||||||1093
542|*kaccita-m|exact, accurate, precise, strict, rigorous|0|kaccitamu||||||||||1095
543|*gaǯǯ-/*kas-|itch, scab|541|gajji||||||||Also \Ikasi\i itching, desire; \Ikasimiri\i itching||1104
544|*ganǯ-|gruel|382|ganji||||||||||1107
545|*kaḍ-|to pass, elapse; pass over, cross, transgress, exceed|718|kaḍacu|gaḍacu|gaḍucu||||||Also [1] \Ikaḍapu\i, [2] \Igaḍupu\i to pass, cause to pass or elapse, put off, defer, drive, push; \Ikaḍa\i end, extremity, place, direction, vicinity; \Ikaḍagoṭṭu\i to die; adj. the youngest, last; \Ikaḍacanu\i to die, be destroyed or lost, be completed; cross, pass over; \Ikaḍategu\i to end, come to a close; \Ikaṭṭakaḍa\i the very end, the very last place or point; adj. the very last, farthest, hindmost; [1] \Ikaḍapa\i, [2] \Igaḍapa\i threshold; \Ikaḍapaṭa\i at last; \Ikaḍapaṭi\i last, final; \Ikaḍapala\i the end; \Ikaḍama\i remainder; remaining||1109
546|*gaḍ-|term, period, or limit of time, appointed time within which action is to be performed|363|gaḍuvu||||||||||1109
547|*kaḍ-|to endeavour, strive|0|kaḍãgu|kaḍaŋgu|kaṇãgu||||||Also [1] \Ikaḍãka\i, [2] \Ikaḍaŋka\i, [3] \Ikaṇãka\i striving, attempt||1111
548|*kaḍ-|musk deer|720|kaḍãti|kaṇãti|||||||Also [1] \Ikaḍãju\i, [2] \Ikaḍiti\i, [3] \Ikaṇãju\i, [4] \Ikaṇiti\i nilgao, a species of antelope; (B) \Ikaṇuju\i sambur deer||1114
549|*kaḍam-|Nauclea cadamba|0|kaḍāmi-ceṭṭu|kaḍimi|||||kaḍamu||||1116
550|*kaḍVnd-|hornet|475|kaḍũduru|kaṇũduru|kandirī̃ga|kandurī̃ga|kanduru||||Also (B) [1] \Ikaḍaju\i, [2] \Ikaṇaju\i wasp||1117
551|*kaḍal-|sea|470|kaḍali||||||||Also \Ikaḍalu\i a wave; \Ikaḍalu-konu\i to swell, rise, increase||1118
552|*kaḍ-|a dried skin used by ascetics as a bed|0|kaḍavasamu||||||||Also [1] \Ikaḷavasamu\i, [2] \Ikaḷāsamu\i a skin or hide||1122
553|*krē-p-|calf|0|krēpu||||||||||1123
554|*kāṭ- (?)|biting, a bite, cut, notch|473|kāṭu|||||||||Possibly borrowed from Kannada; vrddhisation in Telugu is a rare thing.|1124
555|*kaḍ-|a morsel, a mouthful|474|kaḍi||||||||Also \Ikaḍi-kaṇḍalu\i fragments, bits, pieces||1125
556|*kaḍ-|(SAN) good or bad odour|0|kaḍi||||||||||1129
557|*gaḍ-|wooden pin with which a bucket is fastened to the pole of a picottah|0|gaḍacīla||||||||||1130
558|*kaḍis-|Cluytia collina|0|kaḍise||||||||||1131
559|*kaḷḷ-ij-|bridle|0|kaḷḷiyamu|kaḷḷemu|||||||||1133
560|*kar-ak-|chebulic myrobalan, Terminalia chebula|526|karaka|karakkāya|||||||||1134
561|*kaḍ-|much, great, exceeding|471|kaḍu||||||||Also \Ikaḍīdi\i id., difficult, hard; \Ikaḍimi\i valour, bravery; increase; \Ikaṭṭīḍi\i a cruel, merciless, hard-hearted, or unfeeling man; \Ikaṭṭ-aluka\i great displeasure or anger||1135
562|*kuḍum-|a bun or cake boiled in steam (\Iu\i by contamination with 1680)|0|kuḍumu||||||||||1139
563|*gaṭṭ-|able, clever, expert|372|gaṭṭi||||||||Also \Igaṭṭitanamu\i ability, cleverness; \Igaṭṭivā̃ḍu\i an able, capable, or clever man; \Igaḍusu\i clever, shrewd; \Igaḍusari\i a clever or shrewd man||1144
564|*kaṭl-i|litter, dooly|537|kaṭli||||||||||1145
565|*kaṭṭ-|to tie, bind, wear (clothes), build, bewitch, obstruct; n. tie, bond, knot, band, wearing of a garment, restraint, rule or regulation|534|kaṭṭu||||||||Also \Ikaṭṭincu\i to get built, cause to be bound or tied; \Ikaṭṭa\i dam, embankment; bundle; [1] \Ikaṭṭaḍa\i, [2] \Ikaṭṭaḍi\i rule, law, fashion, manner; \Ikaṭṭaḍamu\i building; \Ikaṭṭanamu\i a tie||1147
566|*gaṭṭ-|dam, embankment|0|gaṭṭu||||||||||1147
567|*kaṭ-, *gaṭ-|to gather, collect, become hard|373|kaṭṭu||||||||Also [1] \Igaṭṭi\i, [2] \Igaḍusu\i hard, firm; \Igaḍḍu\i hard, difficult; \Igaḍḍa\i lump, mass, clod, clot; boil, ulcer; island||1148
568|*kaṭṭ-|to pay (as a tax)|535|kaṭṭu||||||||Also [1] \Ikaṭṭanamu\i, [2] \Ikaṭnamu\i a gift||1149
569|*kaṭṭ-|dal-soup, water in which any kind of pulse is boiled|536|kaṭṭu||||||||||1150
570|*kaṭakaṭ-|railing (as of a balcony)|0|kaṭakaṭālu|kaṭakaṭākammulu|||||||||1153
571|*gaḍḍam-|chin, beard|361|gaḍḍamu||||||||Also \Igadduva\i chin||1156
572|*kaḍḍāj-|force, compulsion, exaction|0|kaḍḍāyamu||||||||||1157
573|*gaḍḍ-|grass, straw, hay|362|gaḍḍi||||||||||1158
574|*kan-|eye, small hole, orifice, mesh of net, eye in peacock's feather|505|kanu|kannu|||||||Also \Ikan nīru\i tears||1159
575|*Kan-|joint in cane or reed|369|kanu|kannu|||||||Also [1] \Ikaṇupu\i, [2] \Igaṇupu\i joint, knot, node (of bamboo, sugar-cane, etc.); (VPK) \Iganupu\i (\Iganapu\i, \Igenapu\i, \Igenupu\i), \Ikanupu\i, \Ikannu\i, \Igani\i, \Iganike\i, \Igane\i, \Iganne\i, \Igunupu\i = \Igaṇupu\i||1160
576|*kanVm-|gap, opening, narrow pass between hills, defile|504|kanuma|kanama|kalama||||||||1163
577|*ganner-|fragrant oleander|0|ganneru|gannēru|||||||Also (B) \Igeṇṭena\i the oleander flower||1164
578|*kaṇik-|a stick|507|kaṇika||||||||||1165
579|*ganṭa-m|iron style for writing on palmyra leaves|0|gaṇṭamu||||||||||1170
580|*gaḍḍ-|a bulbous root, bulb|0|gaḍḍa|geḍḍa|||||||||1171
581|*ganḍ-|bravery, strength, the male of the lower animals|365|gaṇḍu||||||||Also [1] \Igaṇḍũḍu\i, [2] \Igaṇḍãḍu\i a brave, strong man; \Igaṇḍ-ãḍu\i to copulate||1173
582|*kanṭ-|bullock-load consisting of two bags filled with goods|0|kaṇṭalamu|kaṇṭlamu|||||||||1174
583|*kanḍ-|piece or lump of meat, flesh|500|kaṇḍa||||||||||1175
584|*ganḍ-|hole, orifice, breach, gap, lane|0|gaṇḍi|gaṇḍika|||||||Also \Igaṇṭu\i to cut, wound; n. cut, wound, notch; \Igaṇṭi\i wound; \Igaṇḍrincu\i to cut, divide; \Igaṇḍrikalu\i pieces, fragments||1176
585|*kanḍ-|ball or roll of thread|0|kaṇḍe|kaṇḍiya|||||||||1177
586|*kā(ṇ)ḍ-|to enter, penetrate, pierce|0|kā̃ḍu|||||kā̃ḍu "to pierce through (as arrows)"|||||1178
587|*kanḍ-|upper garment|524|kaṇḍuvā||||||||||1180
588|*krann-|quickly, rapidly, soon, at once|0|kranna|krannana|||||||Also ? \Ikraccur̲a\i quickly, soon||1181
589|*kann-|neck-rope (of calves, oxen)|506||||||kanne-tāḍu|||||1184
590|*kadal-|to move, stir, shake, totter|467|kadalu|kadalincu|kadalucu|kadalcu|||||Also [1] \Ikadalu\i, [2] \Ikadalika\i motion; \Ikadapu\i to move, stir, put in motion; \Ikadamu\i the trot of a horse, a step, stride||1188
591|*gad-|to rebuke, scold, check, browbeat|360|gadumu|gaddincu|||||||||1189
592|*gād-|a large high basket used for storing grain|0|gāde||||||||||1192
593|*kadur-|to be produced, increase, spread|0|kaduru||||||||||1193
594|*kadur|spinner's spindle|468|kaduru||||||||||1195
595|*kad-|a swelling, bump|0|kadumu||||||||Also \Ikanti\i excrescence, lump, wen, swelling||1196
596|*gat-uk-|to lap, lick up, (K also) eat food defiled by others|0|katuku|gatuku|gaduku||||||||1197
597|*kad-up-|a mass, multitude|0|kadupu||||||||||1198
598|*kad-um-|to seize|2124|kadumu||||||||||1200
599|*kad-ij-|to approach, meet, come together|0|kadiyu||||||||Also \Ikadiyincu\i to bring together||1201
600|*kattaḷ-|armour, mail|0|kattaḷamu||||||||Also \Ikattaḷī̃ḍu\i one who is clad in armour||1203
601|*katt-|knife, razor, sword|532|katti||||||||||1204
602|*kandāj-|space of four months|0|kandāyamu||||||||||1209
603|*gant-|to jump, bound, vault; n. a jump, etc.|367|gantu|||||gentu "to hop, jump"|||||1212
604|*kand-|pigeon pea, Cajanus indicus|0|kandi (\Ipl.\i kandulu)||||||||||1213
605|*kand-|ditch, trench|498|kandakamu||||||||||1214
606|*gabbil-|bat|510|gabbiḍāya|gabbilāyi|gabbilamu||||||||1216
607|*kapp-|tribute, tax, subsidy|1864|kappamu||||||||||1218
608|*kappal-i|ship|508|kappali||||||||||1219
609|*kapp-|to cover, overspread, envelope, conceal; spread, extend, collect or settle in a thick covering (as clouds); n. a cover, darkness, blackness|723|kappu||||||kapur̲ālu "the stone beams covering the sanctum"||Also \Ikappuḍu\i a cover or covering; \Ikappiri\i duskiness, partial darkness; \Ikaviyu\i to spread, approach, fall upon, rush against, attack; \Ikammu\i to cover, surround, overspread; (K) \Ikamiyu\i to overspread, cover completely; \Ikammirincu\i to cover; \Ikammudala\i covering, concealing||1221
610|*gavisen-a|a cloth case or cover|375|gausena|gavisena (B)|||||||||1221
611|*kam-|to nibble at, swallow|466|kamucu|||||kamiyu "to swallow, gulp down"|||Also \Ikami\i a lump of food; \Ikamikili\i a handful to eat; \Ikamikẽḍu\i a large handful; (K) \Ikavvu\i to seize by mouth||1222
612|*kāv-|pit, well|0|kāvu (B)||||||||||1223
613|*kapp-a|frog|509|kappa||||||||||1224
614|*kabōd-|a blind creature|0|kabōdi||||||||||1226
615|*kabbil-|toddy-drawer|0|kabbili||||||||Also ? \Igamaḷḷavā̃ḍu\i man of the toddy-drawer caste; \Igavuṇḍlavā̃ḍu\i a toddy-drawer||1227
