NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
253|*gāl-|to sprout|0|gāpa (gāt-) "to sprout, shoot forth, grow"|||gālh'nai||gā- (-t-) "to sprout, shoot forth, grow"||||gāl- "to sprout, bud"||The "furtive -l-" happens at least in one more case (2988). It is certainly original and results from PK \I*-lp-\i (but not from PK \I*-ḷp-\i, cf. \Isōṛpa\i < \I*sōḷpa\i) after long vowels. Unfortunately, the word has no good Dravidian parallels. It seems to be -p-/-t-type-conjugation in PK because of \I-p-\i in Kui and \I-t-\i in Kuwi̲P.|1453
254|*gāl-i|wind, air|179|||gāli|gāli|gāli|gāli||||gāli|||1499
255|*gām-|to increase|1270|gāmba (gāmbi-) "to exceed, increase, surpass, be much or many; n. increase, excess"|gāminanji "eldest (son)"||gaph'nai|||||||Also Kui \Igāme\i much, many, excessive; very; \Igāppa\i (\Igāpt-\i) to cause to increase, make more of, make larger; \Igāpsi\i much, more, excessively; Kuwi̲S \Iwenḍe gāph'nai\i to multiply; \Igaphihi hīnai\i to overpay|A good example of an m-auslaut root: Kui has regular \I-b-\i before resonant verbal roots, Kuwi has \I-ph-\i < \I*-mh-\i < \I*-mb-\i.|1457
256|*gār-a|mahua fruit|180|gāra||||||||||||1468
257|*gāṛd-|ass|181|||||gāṛde||||||||1364
258|*gāti (-ṭ-)|precipice|0||||gāti|||||||||1449
259|*gāṭ-|much|182|||||||||gāṭi|||Cf. \I*gaṭ-\i 'strong, hard' (1148).|1442
260|*gḍaj-|to be hard, stiff, difficult, troublesome; n. hardness, stiffness, difficulty, trouble|0|ḍṛahpa (ḍṛaht-)||||||||||Also Kui \Iḍrai\i hard, stiff, firm; \Iḍrai inba\i to be hard, etc.|Kui \Iḍṛahpa\i is irregular in the sense that *\Iḍṛaspa\i should be expected. The initial retroflex is also specific, for in most cases PK \I*gḍ-\i > Kui \I*gṛ-\i.|1148
261|*gḍāl-u|calf|183|ḍrāḍu (pl. ḍrāṭka) (W)|grāḍu|dālu|dālu|ḍālu||||||Also Kui̲W \Igāṛo\i a bullock or buffalo not trained to the plough; \Ikṛai\i young female buffalo or goat|Why in this case, one of the three, \I*gḍ-\i > \Iḍ-\i, not > \Igṛ-\i in Kuwi, is not quite clear.|1123
262|*ge(j)d-|a she-buffalo|184|||gedde|||||||||The inlaut \I-y-\i is confirmed by Konda \Igeyda\i. Here it can only be suspected, since \I-d-\i is never usually geminated in Kuwi̲F.|2000
263|*gel-|to save; to win|185|||gelpali "to save"|gelhinai "to win"||||||||Kuwi̲S represents the initial form (\I*gelh-\i < \I*gel-b-\i; the Kui form would look like \I*gelba\i); in Kuwi̲F we have the original causative.|1972
264|*genǯ- (caus. *gec-)|to be torn|186|genja (genji-) "to be separated from, divided from, depart from secede; n. separation, secession, schism"||genjali|gespinai "to laniate [i.e. to tear to pieces]"|genj- (-it-)||||||Also Kui pl. action \Igeska\i (\Igeski-\i); \Igespa\i (\Igest-\i) to separate, make a division between; n. act of separating; \Igeji\i frayed, split; \Igeji inba\i to be frayed, worn out, split; Kuwi̲Su \Igeh-\i (\Igest-\i), Kuwi̲F \Igessali\i (\Igest-\i) to tear||1940
265|*genǯ-i|water poured from boiled rice|187|||||genji||||||||1107
266|*Ker-ŋ-|to groan, moan; n. groaning, moaning|188|gernga (gerngi-), grenga (grengi-)||||||||||Also Kui \Igrēnja\i (\Igrēnji-\i) to groan, moan, gasp with pain; n. groaning, moaning|The initial consonant is \I*k-\i, as shown by external data, voiced before a combination of resonants.|1960
267|*gent-|to spring|188||||gentinai|get- (-it-) "to dance"|||||get- "to hop"|Also Kuwi̲S \Igettinai\i to jump, leap; \Igetkīnai\i to hop|A "weak" nasal cluster probably going back to \I*-nt-\i (although reflexes are different from those of \I*cīnt-\i).|1212
268|*gēnḍ- (caus. *gēṭ-)|to lean (intr.)|190|||||gēnḍ- (-it-)|||||gēnḍ- (-it-)|Also Kuwi̲Isr \Igēṭ-\i (\I-h-\i) to lean (tr.)|Burrow and Emeneau unite this word with \I*gēra\i ladder and \I*kēk-\i to lean; however, on the PK level this is absolutely impossible.|2012
269|*gēr-a|ladder|191|||gēra|gēra|||gēra|||||Uniting this root with \I*gēnḍ-\i and \I*kēk-\i is impossible.|2012
270|*giʔeri (*k-)|arrow|0|keeri||gī'erri "arrow shaft"|||||||||In Kui probably \I*g-\i > \Ik-\i because of the glottal stop, but it is unprovable (no external data and other examples).|1932
271|*gida (-ḍ-)|in: \Iulli gidda\i onion|0||||gidda|||||||||1171
272|*gin-enji|a k. of small fur animal|192||||genesi orli "squirrel"|ginesi orli "a kind of rat"||||||||1605
273|*gin- (?)|metal cup|0|||||||||ginā|||Although the word is common for many CDR languages, it still seems to be borrowed from Telugu, for it is hard to imagine a Proto-CDR word 'metal cup'.|1543
274|*girŋil-i|cricket|193|||||||girŋgili|||kriŋgeli||Reconstruction is based on external data, for without it it would be impossible to determine the original initial consonant.|1569
275|*giṛʔ- (-rl-)|knee-cap|0|giḍri||||gṛi'ma|||||||The only similar example is Kui \Imuḍrenji\i 'spine' - Kuwi̲Su \Imur'esi\i; we may suggest a development PK \I*-ṛʔ-\i > Kui \I-ḍr-\i. In Kuwi̲Su we have \Igiṛʔ-ma\i > \Igṛi'ma\i. An alternative reconstruction would be \I*girl-\i (like in \I*orli\i > Kui \Ioḍri\i), but in this case the Kuwi̲Su reflexes are unclear.|1536
276|*git-|to blink|0|||kannū gitali|kanka gitkinai "to sleer (\Isic\i)"|||||||||1625
277|*gīr-|line|194|gīra "line, mark, scrape"|||lōki garri grīnai "to underline"|||giri|||gīra "line on the palm of the hand"||Kuwi̲S \Igrīnai\i < \I*gīr-inai\i.|1623
278|*gījra|voice; word|0|gīra "voice"|||gīya, gīta, gīga (pl. gīanga) "word, syllable"||||||giyã "voice"||There are only two other examples on the correspondence \Iy/r\i, and the languages do not match exactly (here we have Kui \I-r-\i - Kuwi̲S, Kuwi̲Isr \I-y-\i; in 2417 we have Kuwi̲S, Kuwi̲Su \I-y-\i - Kuwi̲F, Kuwi̲P \I-r-\i); see also 4508. It is possible to reconstruct a cluster here, like \I*-yr-\i; however, since at least the forms \Igīra\i and \Igīta\i are remarkably similar to Sanskrit \Igir\i, \Igīta\i, we cannot exclude the possibility of borrowing from IA (although such a possibility does not exist in the case of 2417).|1615
279|*glas- (*glā-)|to mix by stirring, stir, confuse, perplex, confound, cause to be confused; n. act of stirring, confusing|195|glahpa (glaht-)||||||||||||1303
280|*Kul-nǯ-|a small pool, puddle|196|glūnju||||||||||||1828
281|*gṇā-|to pass, cross|197|gṛāsa (gṛāsi-) "to pass something over or through, pass a thing through the outstretched legs"||grāncali "to cross over"|gla'nai "to pass, cross (river)"||||||gṇaʔ- "to cross"|Also Kui \Igṛāpa\i (\Igṛāt-\i) to cross, cross over, ford, pass by; n. act of crossing, fording, passing by; \Iḍṛāpa\i (\Iḍṛāt-\i) to step over, overflow; n. step, still, threshold; Kuwi̲Isr \Igṇap-\i to take across; \Ikaṭu\i time (suitable period)|Most of the forms point to a vocalic auslaut of the base plus \I-p-\i. However, Kui \Igṛāsa\i and  Kuwi̲F \Igrāncali\i only can be traced back to \I*gṛāc-\i and \I*gṛānc-\i correspondingly; a reconstruction like \I*gṛānc-\i with loss of nasal in Kui would be possible, although it is hard to prove because of the uniqueness of the case. The initial combination is reconstructed as\I *gṇ-\i; however, in Kui \Igṛ-\i is the only example of such a combination which is, moreover, probably misspelled for \Igr-\i. But Kuwi data makes it clear the second consonant is retroflex, and external data confirm its exact character. The initial cluster \Iḍṛ-\i is extremely rare as well, occurring only in a single expressive lexeme (in a few others it's a variant of\I ḍr-\i); therefore, the semantical differentiation between \Igṛāpa\i and \Iḍṛāpa\i is either secondary or invented by Whinfield. As for differences between \Igr-\i and \Iḍr-\i, my observations are as follows: PK \I*gṛ-\i (where \I-ṛ-\i < PDR \I*-ṛ-\i) > Kui \Igr-\i, but PK \I*gḍ-\i (where\I -ḍ-\i < PDR \I*-ṭ-\i) > Kui \Iḍr-\i. Kuwi̲Isr \Igṇap\i- is probably a secondary causative (or the differentiation is secondary; remember the original causative \I-p-\i is often preserved in Kuwi̲Isr after vocalic auslauts of the base), and \Ikaṭu\i is borrowed from some SDR language.|1109
282|*goc(k)-|shrimp|0|||||goskori||||||||2036
283|*goh-|cashew nut tree|198||||||||||gohʔō|||2179
284|*gok-|to cough|199|||gōkhali|goghnai||||||gok-|Also Kuwi̲F \Igōki\i cough; Kuwi̲S \Igoghi\i cough; Kuwi̲Isr \Igoki\i cough||2127
285|*gond-|some|0|gonde, gondeka||||||||||||2101
286|*gor-i|goat|199|||gōri|gorri "goat, sheep"||gore||||gorri||Reconstruction based on external parallels.|2165
287|*gorp-|shell, skull|0|||||gorpo "shell of tortoise, shell of egg"|||||gorpa "shell of tortoise; skull"|||2129
288|*goṛ-/*gur-|to aim; to observe|0|goṛpa (goṛt-) "to aim at, hit the mark; n. an aim, hitting the mark"|||gurri kīnai "to observe, point"||||||gur- (-it-) "to aim at"||Both variants cannot be traced back to the same original. Maybe only one of them, probably the one in Kui, is the real PK form, and the other one is borrowed from Telugu.|1847
289|*gos-|to drink, swallow|0|gohpa (goht-) "(P) to swallow"|||ghoh'nai "to drink"|goh- (gost-) "to drink"|||||goh- (gost-) "to drink"||The temptation to unite this root with \I*gus-p-\i 'to swallow' is enormous, but since the meanings are clearly separate in such reliable sources as Kuwi̲Su and Kuwi̲Isr, and since there are no known phonetical processes that would lead to \I*-o-\i > \I*-u-\i or vice versa, we have to establish two different roots.|1853
290|*goṭr- (?)|dirty|0|goṭri "(P) muddy, dirty"||||||||groṭā' "turbid"||||2067
291|*goŋ-|prawn|0|gongo||||||||||||2036
292|*gōk-|to stretch forth|200|gōpka (< gōk-p-; gōkt-) "to stretch forth, stretch the neck in order to observe something, crane the head out, put forth the ear (corn)"||gōkhmū "look up!"|||||||gōk- "to look up, await"|||2180
293|*gōnḍ-|the Gond tribe|201|gōnḍa||||||||||Also Kui \Igōnḍenju\i (pl. \Igōnḍenga\i) a Gond man or boy; fem. \Igōnḍali\i (pl. \Igōnḍaliska\i, \Igōnḍasaka\i)||2077
294|*gōnǯ-/*gōs-|to stretch, string (a bow)|0|kōnja (kōnji-) "to stretch something from one point to another, string a bow; n. an arch"||gonjali "to string a bow"|gōh'nai "to outreach, spread (hand)"||||||gōnj- (-it-) "to string (bow), stretch (wire, etc.)"|Also Kui \Ikohpa\i (\Ikoht-\i) to stretch up the arm, hold out the hand; \Ikohponḍi\i the highest reach of the hand or arm; Kuwi̲F \Igōssali\i (\Igōst-\i) to offer; Kuwi̲Isr \Igōh-\i to hand over, pass|The situation with this root (or these two roots) is complicated not only because of irregular \I*g-\i > \Ik-\i in Kui (or vice versa?), but also because the regular p-conjugation form would be \Ikospa\i in Kui. There are, indeed, a few irregular exceptions, but the fact that the p-forms here are not regular causatives, makes it very much probable that in this case we deal with two different roots. This does not, however, eliminate the problem of irregular devoicening in Kui.|2193
295|*gōṇ-/*gṇōŋ- (caus. *gṇōk-)|muddy|201|glōnga (glōngi-) "to be muddy, turbid, impure; n. turbidity"||gōr̃r̃o/goṛṛo/gorro|gōna ēyu "muddy water"||||||gṇok- "to stir things in hot water"|Also Kui \Iglōpka\i (< \Iglōk-p-\i; \Iglōkt-\i) to make muddy or turbid, adulterate, use bad language against; n. act of making turbid, adulteration; Kuwi̲S \Igōno\i puddle|The forms in Kui and Kuwi̲Isr are verbal derivatives from the original \I*gōṇ-\i: \I*gōṇ-ng-\i is naturally metathesed in both languages. The development \I*gṇ-\i > Kui \I*gl-\i is possible, although this is almost the only known case. In Kuwi̲F development \I*-ṇ-\i > \I-r-\i, as in \I*kiṇ-\i.|1817
296|*gōp-|grasshopper|202|kopaṭoṛa "grasshopper, locust"|||gōperi|||gop'iri|||gōpʔeri|Also Kuwi̲Kasi \Igop'eri\i grasshopper|In Kui \I*g-\i > \Ik-\i probably because of assimilation to \I-p-\i.|2113
297|*gōr-|nail|203|gōra||gōrū|gōru|gōru (pl. gōrka)|gōru (pl. gōrka)|||||Also Kui \Igrōpa\i (\Igrōt-\i) to claw, scratch; n. act of clawing, scratching, a scratch|Extremely interesting is Kui \Iunguli\i, (K) \Iunjuli\i, which are most certainly borrowings, maybe from Telugu. What has Latin \Iungulus\i to do with that? Kui \Igrōpa\i < \I*gōr-pa\i; this qword should certainly belong here and not to DED 2257, as B&E think.|561
298|*gōṛ-|Adam's apple|204|gōṛenji||||||||gṛoklā "throat"||Also Kuwi̲Kasi \Igṛokla\i throat||2150
299|*gōṭ-|hooked, bent like a hook|0|gōṭoṛi, (P) gōṭoni|||||||||||Uniting this root with \I*konḍ-\i, like B & E do, is absolutely impossible. The root itself may be borrowed from SDR, but this is unprovable.|2054
300|*grӓ-|to scoop up|205|grāpa (grāt-) "to scoop up, shovel into with the hands, scrape together"||grecali (gret-) "to gather up, take handful"||||||||Also Kui̲P \Igrēpa\i (\Igrēt-\i) idem|For an identic \I*-ē-\i > Kui \I-ā-\i see \I*klē-\i (2017).|1959
301|*gred-|soft, pulpy, festering|0|gredi, greji||||||||||Also Kui \Igredi inba\i to be soft, pulpy; \Igredna\i in a manner determined by pulpiness or softness; \Igredna ḍuḍa\i to step into soft mud||1952
302|*grēc-|to mock, to imitate|0|grēspa (grēst-) "to mock, mimic, ridicule, deride; n. mockery, derision, ridicule"||grespali "to imitate"||||greh- (grest-) "to mock"||||||2010
303|*gri-k-|bitter, irritating|206|gripka (< grik-p-; grikt-) "to irritate the throat, as when something briny or pungent is eaten"||||grik- (-h-) "to be bitter"|||||||Kui \Igretenji\i 'sour, unpleasant to the taste' is probably not related.|2260
304|*grī-|to cremate the dead; n. cremation|0|grīpa (grīt-)||||||||||||1278
305|*grohu|phlegm|0||groho||||||krahu ki- "to spit out phlegm"|||||2249
306|*gronǯ-|to drink, guzzle|1391||||||||||gronj- (-it-)|||2233
307|*grū-|to surround|0|grūpa (grūt-) "to surround, encircle"|||gluh'nai||||||gruʔ- "to fence or surround"|Also Kui \Igrūsi grūsi\i, \Igrūsisi\i around, round about, encircling; \Igurba\i enclosure; Kuwi̲S \Iglū'nai\i to rampart (sic)||2262
308|*gṛis-|to slide|207|gris "clean, clear, shining, polished"||grīssali (grīst-) "to slide, slip"|glih'nai "to slide, slip"|gṛih- (gṛist-) "to slide, slip"||||glis- "to slide, slip"||Also Kui \Igris inba\i to be clean, clear, shining, polished; \Igris ispa\i to cleanse, make clear or shining, polish; \Igrisna\i cleanly; \Igrihu\i mucus, slime; Kui̲P \Igrihi\i smooth, polished, slippery; \Igrihpa\i (\Igriht-\i) to be smooth, polished, slippery; Kuwi̲F \Igrihini\i slippery||2261
309|*gṛoʔl-|scoop, handful|208|grōḍa "the scoop or receptacle made by holding both hands together"|||glo'oli, glo'oleka "a double handful"|gṛo'li, gṛo'leka "a double handful"||gorli "a double handful"|||groʔleka "a double handful"|Also Kuwi̲Isr \Igroʔli\i cupped hands||2046
310|*gRāmb- (caus. *gRāp-)|to learn|209|grāmba (grāmbi-) "to learn, study; n. act of learning, study"||japali|jāpinai|jāp- (-it-)||||||Also Kui \Igrāppa\i (\Igrāpt-\i) to teach, instruct, instigate; n. instruction, teaching, doctrine, instigation; Kuwi̲F \Ijāphali\i to teach; Kuwi̲Su \Ijāp-\i (\I-h-\i) to teach|In Kuwi the simple base was modified by analogy with the causative stem.|1297
311|*guʔna|heel|0|||||gu'na||||||||1862
312|*guc-|short hair at the nape of the neck|0|gusa||||||||||||1639
313|*gud-|to punch|210||||||||||gud- (-it-)||See also \I*kud-\i.|1850
314|*guduv-a|flame|211|||gūdūvwa|guduwa|||gudva||||||1715
315|*guḍ-ɣa|field, dry land|212|||kūdia "paddy field"|guḍīka "dry land"|guḍia "field of dry cultivation"|||||guḍiya "field, esp. a dry one suitable for ploughing"||Irregular voiceless \Ik\i- in Kuwi̲F (maybe contaminated with \Ikūdu\i rice, although the latter is not observed in Kuwi̲F).|1682
316|*guḍ-i|central room of house, living room|213|guḍi||||||||||||1655
317|*gḍū-|to thunder|214|ḍṛū "loud report, noise of explosion, thunder"||gūṛṛlū aiyali|glūnai|gṇu-||||||Also Kui \Iḍṛū inba\i to make a loud report, thunder; Kuwi̲S \Iglūpu\i thunder||1659
318|*gum-mb-(-r-)|swarm, heap|0||||gompu gompu hō'nai "to swarm"|kumbra "clump of trees"|gumomi "heap"||||gōmbu|Also Kuwi̲Su \Igumomi\i, \Igombu\i heap; Kuwi̲Isr \Igumbra\i clump of trees|The root here is \I*gum-\i. The suffix \I*-mbu\i, being joined to it, is modified in Kuwi̲S and  Kuwi̲Su: \Igum-mb-\i > \I*gum-o-m-\i. The variant \Igumomi\i is thus closer to the original than  \Igombu\i. The initial \Ik-\i in Kuwi̲Su is unclear, but it is not excluded that forms with the  suffix \I-r-\i are actually borrowings from SDR, especially since they are not confirmed by other CDR data.|1741
319|*gund-|to sprout; ground (?)|0|gunda (gundi-) "to sprout, bud, shoot forth into bud or ear; n. a sprouting, budding"|||||||||kunda "a very small plot of ground"||In Kuwi̲Isr \I*gunda\i would be expected; however, the doubtful semantics ('to sprout' - 'a plot of ground') makes the comparison itself less solid.|1729
320|*gundr- (?)|round|0|gunduri (pl. gunduraka) "a round thing, circle; round, circular, surrounding"||kūndrōmi grāyu "a round hole"||||||||Also Kui \Igunjeri\i round, circular, surrounding, all around|An extremely suspicious lexeme; why \I-j-\i in \Igunjeri\i, why the voiceless \Ik-\i in Kuwi, where are parallels in other languages?|1730
321|*gunḍ-|flour|215|||gūndū||gunḍa||||||||1692
322|*gunḍ-|to squat, sit on the heels (for \Ikopka\i see 1628)|0|gunḍis kopka||||||||||||1691
323|*gunǯ-|to be giddy, weak|216||||||||||gunjeri ā-|||1648
324|*gunǯ-i|owl|217|gunji|||gunji|||||||||1647
325|*gup-|a bush|218|guba||||||||||||1733
326|*gup-|to knock against|0||||||||||gup- (-it-)|Also Kuwi̲Isr \Igrup-\i (\I-h-\i) to bang against|The form \Igrup-\i is incomprehensible.|1850
327|*gur-|to coo|1065|||gūṛali|gurrinai "to wheeze"||||||||Burrow and Emeneau join this root with Kui \Iḍrōka\i, etc. 'to snore' (PK \I*ḍrVk-\i); however, both roots were  most certainly separate at least on the PK level.|1852
328|*gurom-i|horse|1070|||gūrumi|gurromi|||||||||1711
329|*guh-|to swallow|219|guhpa (guht-) "to swallow; n. act of swallowing"||gūssali (gūst-)|guh'nai "to devour, swallow, gulp"|guh- (gust-)|||||guh- (gust-)|||1853
330|*guṭ-|stump|220|gūṭa "stump of tree"|guṭa|||guṭṭu (pl. guṭka) "stump of tree, stubble of paddy"|||||kuḍuli "log"||Irregular vowel length in Kui. I strongly suspect that \Ikuḍuli\i in Kuwi̲Isr is a borrowing from SDR, not only because its semantics is specific among the other CDR languages (where the meaning is always 'stump'), but mostly because of an unexplained initial voiceless \Ik-\i (the regular form would be \I*guṭ-\i, cf. \Igaṭu\i 'boundary' < \I*gaṭ-\i).|1676
331|*guṭ-|fist|221|guṭa||||||||||||1671
332|*guŋ-|a k. of mosquito|222|gungu "a large wood-boring insect"||||goŋgara viha "a kind of mosquito"||||||||1634
333|*gūṭ-|short, dwarfish|223|gūṭa||||||||||Also Kui \Igūṭi\i stumpy, short, shortened||1670
334|*gū̆ti|mouth|0||guti|gūti|gūti|guti|guti||||gūti|||1708
335|*Rel-|to drag, pull|224|jelba (jes-) "to pull, draw; n. act of pulling, drawing"||rejali (rec-)|rennai|re'- (recc-) "to pull"||||||Also Kui pl. action \Ijelka\i (\Ijelki-\i); Kuwi̲S \Irejja-koḍḍinai\i to drag|The Kuwi forms are dubious. On one hand, the initial \Ir-\i is indeed comparable to forms like  Kuwi̲P \Irēmb-\i 'to rest' < \I*Rēmb-\i (although these are dialectal, it is possible to suppose a  total development \I*R-\i > \I*r-\i depending on the following vowel). On the other hand, the second  consonant in Kuwi is not \I*-l-\i, but \I-0-\i, and only the past tense (the forms with \I-c(c\i)-)  can point to an old \I-l-\i.|860
336|*Rōm-|to rest|225|jāmba (jāmbi-) "to rest, cease, subside"||jōmali|jōminai||rēmb- (-it-)|jōm-|||jōm- (-it-)||Only an anlaut \IR-\i can account for the development into \Ir-\i in Kuwi̲P and vowel shifts in Kui and Kuwi̲P.|5178
337|*ic-|this much|0|ise "this much, so much, this many"||iceka "so much"|icceka "so much"|||||||Also Kui \Iīsoli\i, \Iīsoni\i, \Iīsoṛi\i so many; Kuwi̲F \Iicura\i so much||410
338|*iR-|to throw|226|ibga (< ig-b-) "to throw down, let fall, drop"||iskali "to dump down (pl. action)"|irh'nai "to pelt"|ir- (-h-)||||||Also Kui \Iiska\i (\Iiski-\i) pl. action; Kuwi̲F \Iirhmū\i throw!||859
339|*il-|house|227|iḍu "house, dwelling, shed, hut"||illū (pl. ilka)|illu|il (pl. ilka)|il (pl. ilka)|||||||494
340|*imbaʔa|here|0|imba||imba, imba'a|imbaa|||||||||410
341|*in- (p.t. *ic-)|to say|227|inba (is-) "to say, to articulate"||injali|innai|in- (icc-)|||||inmbu "saying"|Also Kui \Iispa\i (\Iist-\i) to cause to say, make articulate||868
342|*irp-i|mahua|229|irpi|ripi|||irpi|irpi|||||||485
343|*irri|cricket|0|irri||||||||||||547
344|*ih-|to thrust in|230|ihpa (iht-) "to thrust into or through, spear, spit, impale"||ih- (ist-) "in daṛata sīle ihimū 'bolt the door!'"||||||||Also Kuwi̲F 3pl. masc. past \Iīsteri\i|In Kuwi the situation is somewhat strange, since \Iihimu\i is most certainly a simple stem, while \Iīsteri\i - a causative one.|425
345|*iṭ-|to place, put|231|iṭa (iṭi-) "to place, put down, set, fix, put by, keep, see a person off, take to wife"||ittali "to keep"|ittinai "to place, put, keep"|||||||||442
346|*ī|this|232|ī||ī|ī|||||||||410
347|*īdi|this woman or thing|232|īri|id-|īdi|īdi|||||||||410
348|*īṇ-|a sinew|0||||||||||īṇa||If not borrowed from Telugu.|556
349|*īra|a splinter|0|īra||||||||||||479
350|*īwanji|this man|232|ianju||īwasi|īvasi||||||||The \I-w-/-v-\i in Kuwi is obviously epenthetic; it is, however, strange that we do not find such a  \I-w-\i in the forms with deictic stem \I*a-\i (we have Kuwi̲F \Iāasi\i, etc.) This epenthese  prevents us from firmly reconstructing a glottal stop between the two morphemes, for the development  \I*-ʔ-\i  >  Kuwi \I-w-\i is not observed anywhere else. It may be that the original form  \I*īv-\i has been replaced in Kui by analogy with the forms of the pronoun \I*a-\i.|410
351|*īwari|these men|232|iaru||īwari|īvari|||||||||410
352|*īw-|these women or things|232|īwati||īwati|īvi/īvaska|||||||||410
353|*ǯal-a|spring (of water)|0||||jalla|||||||||2373
354|*ǯal-|to scatter|233||||jallinai||||||jal- (-it-) "to throw out liquids"|||2384
355|*ǯāc-u (*pR-)|gourd spoon|234|||jācū (pl. jāska)||jācu "gourd spoon; sp. gourd"|||||jācu (pl. jāska) "spoon; gourd, gourd spoon"||Because of lack of Kui form, the exact reconstruction of the initial cluster/consonant is uncertain.|4021
356|*Rӓ- (*-ā-)|to descend; n. descent|235|jāpa (jāt-)||||||||||Also Kui \Ijāppa\i (\Ijāpt-\i) to cause to descend||2456
357|*ǯā- (*R-; *-ӓ-)|to request a favour, beg, ask, borrow, pray; n. request, entreaty, act of begging|0|jāpa (jāt-)||||||||||||81
358|*ǯāna|crab|0|jāna|||||||jāna|jānā||||2487
359|*ǯāj-u|curry, sauce|236|jau "(P) dhal, gravy, soup"||jaiyū "curry"|jāyu "sauce, curry"|jāyu "cooked pulse"|||||jāyu kuca "vegetables"||In Kui \I*-y-\i probably was unchanged (not > \I-j-\i) because of dissimilation reasons. Or maybe it is a dialectal form.|2484
360|*ǯek-i|a leaf-hat|0|||jekki||||||||||821
361|*Rē-k- (*ǯ-)|honeycomb|237|jēka||||||||||||518
362|*ǯēn- (*pR-)|back|238||||jēnu (loc. jēco)|jēnu|jē̃o||||||The reconstruction is acceptable if we compare the word to SDR/CDR \I*pir̲-\i 'back' (4205).|2825
363|*ǯil-|cold|239|jili "cold, chill"|||julla innai "to be very cold"|||||||Also Kui \Ijili inba\i to be cold, cool; \Ijilna\i coldly, coolly|Kuwi̲S \I-u-\i is absolutely irregular (misspelled?)|2576
364|*ǯimbri|drizzle|0||||jimbri pīyu|||jimbri pīyu||||||2539
365|*ǯiṛŋa|cowbell|0|||jiringa|jiringa "bell"|jiṇiŋga||||||Also Kuwi̲S \Ijilinga\i clock|The development seemed to be \I*jiṛnga\i > \I*jṛinga\i > \I*jiṛinga\i. Kuwi̲S \Ijilinga\i is therefore the correct reflexation; \Ijiringa\i is either borrowed from Kuwi̲F or represents an intermediate form.|2515
366|*ǯī-|to shoot|240|||jīali "to shoot an arrow"||jī- "to shoot with bow"|||||jī-|||2602
367|*ǯīnǯ-|to blow, fan|241|jīnja (jīnji-) "to blow, fan; n. act of blowing, fanning"||jinjali "to fan, beckon"|jinjinai "to hurl"|jinj- (-it-) "to fan, wave, shake"||||jinjiri "a fan"||Also Kui \Ijīnjeṛi\i a fan; Kuwi̲S \Ijīnj-\i to swish; \Ijīnjiki\i a fan; Kuwi̲Su, Kuwi̲F \Ijinjiki\i a fan|I trust the Kui vowel length, although the differentiation in Kuwi̲S is probably either expressive or invented.|800
368|*ǯījru (?)|way, road|0|||jīru "way, path, road"|jīyu "way, path"|jīyu "way, path"|jīru "way, path, road"||||||See 1615 on the subject.|2417
369|*ǯōg-|to wash clothes; n. act of washing clothes|242|jōga (jōgi-)|joh-|||||||||||2872
370|*ǯōl-|to answer, speak|243|||jōlali "to answer"|jōlinai "to speak"|jōl- "to speak"||||jolpu "speech"||Also Kuwi̲F \Ijō̆lki aiyali\i to discuss, talk||2855
371|*ǯōmba|chair, stool|0|jōmba "stool, seat, pillow"|||jōmba "chair"|||jōmba "wooden seat"||jāmbā "low stool or platform"||||2880
372|*ǯōŋ-|to hatch|244|jōnga (jōngi-) "to take under the wings, hatch; n. hatching"||gūddū jongali "to sit on eggs"||jōŋg- (-it-) "(hen) to hatch eggs"||||||Also Kuwi̲F \Ijōngali\i to hold in the lap; Kuwi̲Su \Ijoŋga\i lap||2877
373|*ǯuk- (?)|slough of snake|0|||||||juka||||||652
374|*ǯurʔ-|aonla tree, emblic myrobalan|245||jura|||jur'o|jur'o|||||||574
375|*ǯuru|gruel|0||||||||||juru|||2712
376|*ǯū-|to imbibe, inhale, sip|0||||jū'nai||||||||The glottal stop undoubtedly reflects the old causative marker.|709
377|*ǯūg- (*R-)|to suffer, be afflicted; n. suffering, affliction|0|jūga (jūgi-)||||||||||Also Kui \Ijūpka\i (< \Ijūk-p-\i; \Ijūkt-\i) to afflict, persecute, cause to suffer; n. act of afflicting, persecution, ill-treatment||715
378|*ǯūmb-/*ǯūp-|to suck|246|jūmba (jūmbi-), jūpa (jūt-) "to suck, absorb; n. suction, abosrption"||jūpali "to suck, kiss"||||||||||2621
379|*kab-|to swallow, gulp|247|kappa (kapt-) "to swallow liquid hastily, gulp, drink"|||||||||kap- (-it-) "to eat fast like a dog"|Also Kui \Ikavali giva\i to chew the cud; Kuwi̲Isr \Igab-\i (\I-it-\i) to eat fast|In Kui \Ikappa\i < \I*kabpa\i. In Kuwi̲Isr \Igab-\i is the original form (< \I*kab-\i  with assimilation), and \Ikap-\i is the p-conjugation, although here \I-p-\i has become so closely  connected to the root that it has lost its morpheme status and became part of the root (this  explains the past tense \I-it-\i). The form \Ikap-\i can be also considered as a borrowing from SDR.|1222
