NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
412|*kor- (*-r̲-)|cold|1415|||kharrā "frost"||||||||karīng, koring|||||||||2168|995
413|*kar-ā|loan|0|||||karra|kara||||||||||||||1113|557
414|*kar-um|near|1407|karrum|karrum||||||garre|karum, karuŋ|||||karrum, karruŋ|karum (SR)|||||1293|534, 1055
415|*kar-[nḍ-]|hornet|343|gandhēl "the large yellow house hornet (< IA)"||||kānḍul|kānḍuli||kāṇḍrūm (Su.)||||||||||Also Gondi̲Mu \Ikaraṭi\i hornet|In Gondi̲Mu \Ikaraṭi\i we see the original \I-r-\i that has fallen out everywhere else in the cluster \I*-rnḍ-\i; this also led to vowel lengthening.|1117|527, 627, 1042
416|*kaṛ-|to be rotten, rot, decay|976|kaṛītānā|kaṛītānā|kaṛītānā|kaṛi-|kaṛi-|kaṛi-|kaṛi-|kaṛi-|||||||kaṛi-|||Also Gondi̲Tr \Ikaṛīstānā\i to rot, ret (hemp)||1360|573
417|*kari-ŋ-|to melt, dissolve|271||kaṛītānā||||kari-||karŋg-, (Su.) karŋ-||||||||||||1292|530
418|*kaṛij-al|tiger|345|||||||||||||||khaṛyal|||Also Gondi̲Haig \Ikariyāl\i panther||1132|999
419|*karkar-|sharp|0||||||karkara||||||||||||||1265|543
420|*kars- (*-R-)|to churn|1219|||karahtānā||karrih-||karah-|||||kèrtuna||||||||1141|559
421|*kars-|to play|250|garsānā|karsānā|karsānā||kars-, karrs-|kars-||kars- (Su.)||karsānā|||||kars-|||Also Gondi̲Mu caus. \Ikarsih-\i, Gondi̲Ko (Su.) caus \Ikarpis-\i||1392|565
422|*karv-|to burn (intr.)|1217|karw-|karw-|karv-|karv-|kar-, kaṛ-|karv-||karv-|||||||karv- (SR)|||Also Gondi̲Ph \Ikarsahtānā\i, Gondi̲Mu \Ikaṛih-\i to burn (tr.); Gondi̲Mu \Ikaṛha\i field for burning cultivation; Grigson \Ikare\i area set apart for penda cultivation when left fallow for a term||1278|536, 563
423|*kaṛv-|to envy|0||kaṛwītānā||||||||||||kaṛvitānā||||||1396|584
424|*karv-i|narrow-mouthed earthen vessel for oil or liquor|0||||||karvi||||||||||||||1273|564
425|*karjār-i|bridle|0||karīārī "bit of bridle"|kariyārī|||||||||||||||||1133|532
426|*kaṛeŋ- (caus. *kaṛ-s-)|to shake, swing; to open|348|kaṛēngānā "to be swung or shaken, as a coat on a peg"||||kaṛŋguṛ "movement of opening a door"|||||||||kaṛŋg- "to sway"|karengānā "(SR) to move"|||Also Gondi̲Tr \Ikaṛhūttānā\i to swing (tr.); Gondi̲A (SR) \Ikaḍusānā\i to shake (tr.)||1349|577
427|*kar-ŋ-|to call|1210||||||karingi "calling"||karŋg-||||||||||||1291|547
428|*kas-ā|pool, tank|0||||kasa|kasa|kassa||||||||||||||1251|603
429|*kas-ne|suddenly|0|||||||||||||||kasne (SR)|||||1086|610
430|*kasur|cart|0|||||||kasur||khasur||||||||kasur|||1092|607
431|*kasŋ-|to tremble|0|kasēngānā|kasang-, kasangitānā|kasang-, kasangitānā|kasŋg-|||||||||||kasang- (SR)|||||1349|605
432|*kaṭ-|to shut|291|kaṭṭānā "to be shut (of door), close or come to grips (of two men fighting)"||kaṭṭānā "to shut, close (door)"|||||||||||||||Also Gondi̲Ph \Ikaṭṭitānā\i to adhere, be attached to||1147|472, 476
433|*kaṭ-|spleen|275|kaṭ||||kaṭ|kaṭṭi "gall bladder"||kay-kaṭ "bile"||||||||||||1148|464, 523
434|*kaṭ-|severe (of pain)|275||||||||kaṭi||||||||||||1135|466
435|*kat-|to cut|273|||||kah-|kaʔt-||kaht- (B), katt- (T)||||||||||Also Gondi̲Ko (T) \Ikaht-\i to make to cut|The form \I*kah-\i is secondary. The original situation was \I*kat-\i 'to cut' and \I*kat-s-\i > \I*kah-t-\i 'to make to cut'; afterwards the forms became mixed.|1208|617
436|*kaṭ-ā|dam, bund, bank|0|kaṭṭā "a dam in the river for catching fish"|kaṭṭā "a dam in the river for catching fish"|kaṭṭā "a dam in the river for catching fish"||||||kaṭ "bank of river"||||||kaṭṭa "bund, embankment"|||||1147|465, 473
437|*kaṭ-|(fruits) to form|0||||||kaṭṭ-||||||||||||||1148|471
438|*kat-i|cock's spur|0||||||||||||||katti||||Also Gondi̲Elwin \Ikāti\i the knife attached to the cock's foot||1204|490
439|*kaṭul|bed, cot|276|kaṭṭul (obl. katṭud-, pl. katṭuhk)||||kaṭṭul (obl. katṭud-, pl. katṭuhk)|||||||||||||Also many dial. \Ikaṭṭul\i, \Ikaṭul\i bed, cot||1145|477
440|*kav-|to laugh, joke|0|kowwānā "to laugh"||||kavna, kavtik "joking relation"|||||||||||||Also Gondi (many dial.) \Ikav-\i to laugh||1256|595
441|*kav-|churning stick|0|||||||kava|||||||||||||1325|596
442|*kaj|hand|301|kai|kai||kay|kay||kay|kay|kay|||||kay|kai (SR)|||||2023|519
443|*kaj-|bitter|259|kaiṭṭānā, (Gramm. kaittānā) "to taste bitter, as quinine"|kaiyānā "to be bitter"|kaiyānā "to be bitter"||kay- "to be bitter"|kaymul|kaymul|kay- "to be bitter"||kaitā|kahita, kelā|||kay- "to be bitter"|kaiyānā "(SR) to be bitter"|||Also Gondi̲W, Gondi̲Ph \Ikaitāl\i bitter; Gondi̲Tr \Ikehke\i bitter; Gondi̲Mu \Ikayle\i bitter; \Ikaymul burka\i bitter gourd; Gondi̲Ko \Ikaymul\i bitter; Gondi̲L \Ikayār\i raw, unripe; Gondi̲Ko \Ikay-kaṭ\i bile; Gondi̲A (Su.) \Ikaymūl\i bitterness||1249|520, 521, 523
444|*kajser|water of boiled rice|0|kāsar "yellow water which comes out of strained rice"||||kāser|kaʔeri|kāser|||||||kāsar|kaisar "(SR) boiled rice gruel"|||||1107|662
445|*kāc-|to thread, string|0|kāc- "to thread needle"|kāc- "to thread needle"|||kāc- "to string (garland, beads)"|kāc- "to string (garland, beads)"||kās- "to string beads"||||||kāc- "to thread needle"|kāc- "(SR) to thread needle"|||||2176|622
446|*kā-|hot; to heat|969|kāsānā "to become hot, be heated"|kāsānā "to become hot, be heated"|kāsānā "to become hot, be heated"||kāsih- "to heat"|kāsih- "to heat"|kācah- "to heat"|kāp- "to heat or warm"||kāpānā "to heat or warm"||||||||Also Gondi̲Ko (Su.) \Ikāp-\i to boil; Gondi̲M \Ikāsta\i hot; Gondi̲Tr \Ikāsuhtānā\i, Gondi̲W \Ikāsahtānā\i, Gondi̲A (SR) \Ikāsusānā\i to heat||1458|637, 661
447|*kāhc-|to cough violently|0|kāhcānā|kāhcānā|kāhcānā|||||||||||||||||1477|666
448|*kāk-/*kāv-|crow|283||kāwāl|||kāval|kākaṛ(i) (pl. kākasku)|kākaṛ (pl. kākahku)|kākāḍ (T)|||||||kākaṛ||kāvāl|||1425|619, 659
449|*kākr-i|armpit|0|kākrī|kakrí||||||||||||||||Also Gondi̲Tr (Gramm.) \Ikākṛing\i (pl.) armpits||1234|
450|*kāl|leg, foot|285|kāl|||||||||||||||||Many dialects have \Ikāl\i.||1479|652
451|*kāl-|sweat; hot|0|kālum "sweat"||kahle māyānā "to be too hot"|||||kār- "(water) to leak"||||||||||Also Gondi̲Tr \Ikāhlē maiānā\i to be sweating||1478|618, 653
452|*kām-|stalk, handle|286|kāmē "stalk of a spoon"||||kāme "handle of ladle"|||||||||||||||1454|640
453|*kānḍ-e|short|0||||||kānḍe, kanḍe||||||kande "short, contracted"||||||||1151|628
454|*kānǯ-|to carry on the shoulders|287|kānjānā||kānjānā|kānj-|kānj-|kānj-||kānj-|||||||kānjānā (SR)|||||1417|624
455|*kār-|grass|0|||kaṛgī "a bit of dry grass, a straw"|||kar||||kār|||||garka jārī "(Su.) a kind of grass, Agrostis linearis"||||Burrow and Emeneau put Gondi̲Ph \Ikaṛgi\i together with \I*gaḍ-\i 'grass', but this is not very probable; I think it should belong here.|1397|580, 642
456|*kār-|to dig|288||kāt-||kāt-|kār-, kāṛ-, kāt-|kār-, kāt-|||kāc-|kār-||||kāt-|kāc-||||Forms with \I-t-\i are unclear; maybe they belong to a different root and should not be given in this entry.|1467|623, 629, 643
457|*kār-|plough|0||||||||||||kara|||nāngel kareng "(SR) plough's point"|||||1505|537
458|*kāṛ-|to hatch|0||kāṛā "a hatching hen"|kārāvallānā "to hatch, of an egg"||kavaral- "(hen) to hatch eggs"||kēr- "to hatch eggs"||||||||kārānā "(SR) to hatch, of an egg"|||||1416|597, 645, 857
459|*kāṛ-|young buffalo|183|||kāṛā|||||||||||||||||1123|648
460|*kār-j-|black|289||kaṛial|karial|kāryal||kāriyal||kari|kareyal|kāriyal|karkāl||||kārial|kāryal|karkāl|Also Gondi̲Ko \Ikarka\i rust||1073|545, 644, 542
461|*kāṭ-i|cliff, bank|0|kātī|khāṭī||||||||||||||||||1449|630
462|*kāvṛ-i|carrying yoke|0||||kāviṛ(i)||kāveṛi||kāveṛ|kāvṛi||||||kāhaṛi|||||1417|660
463|*kāj-|(unripe) fruit|281|kaiā "fruit"|||kaya "unripe fruit, green fruit"|kāya "unripe fruit, green fruit"|kāya "unripe fruit, green fruit"|kaya "unripe fruit, green fruit"|||kāyā "fruit"|kayār "raw, unripe"||||kaya "unripe fruit, green fruit"||||Gondi̲L see also under 1249.|1459|521, 641
464|*keL-|to tell|316||||||||kel-, (Su.) kell-||||||||||||2017|
465|*keh-|to shut|297|kehtānā||kahtānā|keh-|kah-, keh- "to shut, fasten up, secure (a bund)"|keʔ-mar̨ "mat-door"||keh- "to shut, dam (stream)"|keh-||||||keh-|||Also Gondi̲Ph caus. \Ikahcahtānā\i; Gondi̲Ko (T) \Igebb-\i to gag||1980|852
466|*keǯ-|paddy|0|||||keja|||||||||||||||1936|841
467|*kel|hair, feather|299|kel (pl. -k)|||||||||||||||||Many dialects have \Ikel\i||1973|847
468|*ken-|gentle, quiet|0||||||||kene kene "gently"|||kenek "silent"|||||||||1988|842
469|*ker- (*-R-)|to fall|1259|karrānā "to fall at one's feet"||||||||ker- (-t-) "to fall at the feet"||||||karrānā "(SR) to fall"|||||1524|558
470|*keskuḍ|steps|0|||||||||||||||keskuḍ|||Also Gondi̲A (Su.) \Ikēskūṛ\i ladder||2012|851
471|*kesṛ-|to ask, request|0||||||||kesuṛ-||||||||||||1939|849
472|*ket-i|mat|0|kaṭṭī "palmleaf mat"|kattī̆|kattī̆|||ketti|ketti|||ketti||||kattī̆||||||1205|494
473|*kev-i|ear|972|kawī (pl. kauk)|kawī|kavvī (pl. kauk/kavk)|kevi (pl. kevk)|kavi (pl. -ŋ)|kevi (pl. kevk)|kevvu (pl. kevku)|kev (pl. kevk)||kev|||||kevi (pl. kevk)|||||1977|848
474|*kē-p-|to watch, guard|280|kēpānā "to watch, guard, take care of"|kēpānā "to watch, guard, take care of"|kēpānā "to watch, guard, take care of"||kētul "hut in field for watching"|kētul "hut in field for watching"||kētul "machan"|kēp- "to guard, watch a field"|kēpānā "to lurk"|||||kēp- "to guard, watch a field"|||||1416|855
475|*kēnǯ-|to hear|0|kēnjānā|kēnjānā|kēnjānā||kēnj-|kēnj-||kēnj-|kēnj-|kēnjānā|||||kēnj-||kēncutānā "to inform"|Also Gondi̲W, Gondi̲Ph caus. \Ikencahtānā\i||2017|854
476|*kēsel-|Grewia tiliaefolia (dhāman tree)|298|kēslā maṛā||||kehla|kēʔla||||kehela|||||kesla marā (SR)|||||1997|863
477|*kēj-|to summon|0|kēīānā|||||||||||||||||Many dialects have \Ikēy-\i to call, (peacock) to cry, (owl) to hoot, (animal) to call||1992|856
478|*khānḍ-|flesh|262|khānḍum (pl. khānḍk)||khānḍk|||||||||||khānḍ, khānḍum|khānḍum "(SR) flesh, mutton"|||||1175|1001
479|*khokl-|a cough|199|||khokī||||||||||||khokla, (Su.) khōklā, khōklī||||Expressive \I*kh-\i.|2127|1012
480|*kiL-e|upper part of comb|309|||||kille|||||||||||||||1582|697
481|*kic-|to pinch|306|kiskānā||kicmānā "to pinch, scratch"||kisk-|kisk-|kisk-|||kicānā "to pluck"|||||kisk-|||Also Gondi̲Mu \Ikism-\i to pinch; Gondi̲Tr \Ikiccānā\i to pick bhājī, i.e. green leaves for salad||1513|700, 671, 672
482|*kiḍ-i|an axe-cut|0|kiḍḍī||kiḍḍī|||||||||||||||||1542|674
483|*kidi-|to shred chillies, etc. with fingernails|0|kidītānā|||||||||||||||||||1547|676
484|*kili-|to weep, cry|1211|kilītānā "to weep loudly"|killītānā "to chirp, cry out"|kilītānā "to cry out, scream"||kil-/kill- "to weep, (owl) to hoot, (animals) to cry"|kil(i)- "to scream, (child) to cry"||||kilānā "to weep"|||||kiliyānā "to shout"||kīlitānā "to roar (as a tiger)"|Also Gondi̲Mu caus. \Ikilh-/kilih-\i||1574|695
485|*kin-|cold|1416|||||||||||kīnd||||kinan|||Also Gondi̲A (Su.) \Ikinnān\i wet, cool; \Ikinnīta\i cold||1601|678
486|*kiṛ-nǯ|a kind of tuber|0|||||kiṛinj māṭi|||||||||||||||1578|691
487|*kir-ŋ-|to be cold|1414|||||kiriŋ-|||kirŋg-||kiḍāng-||||||||Also Gondi̲Ko (Su.) \Ikirŋ-\i to become cool||1568|681
488|*kiṛkaṛ|scorpion|0|||||kiṛkaṛ, ēṭe kiṛkaṛ, ēṭe kikkaṛ, ēṭe kihkaṛ, ēṭokaṛ|||||||||||||||2956|692
489|*kiṛk-|very thin (of man)|0|kiṛkwāl|||||||||||||||||||1594|693
490|*kirv-|scratch|0|kirwānj|||||||||||||||||||1623|690
491|*kis|fire|746|kis|||||||||||||||||All dialects have \Ikis\i||1514|699
492|*kī-|to do, make, prepare|307|kīānā (neg. kēw-)|kīyānā|kiyānā||kī-|kī-|kī-|||kiyānā|kiyānā||||kiyānā (SR)|kī-||Also caus. Gondi̲Ph \Ikīsahtānā\i, Gondi̲Mu \Ikīh-\i; Gondi̲S \Ikīmuṛ\i doing||1957|703
493|*kīk-e|a k. of fish|0|||||kīke "a small fish"|kīke "a small fish"||kīke "fish"||kīke "fish"||||||||||1252|706
494|*kīR (*-r)|wound; bit|1220||||kirr "a wound"|kirr "a wound"||||||kīr "a wound"|keerkè "a bit or piece"||||||||1624|689
495|*kīr-|derision|0||kīrī||||||||||||||||||2010|708
496|*kīrk-|a whirligig, water-beetle|0|kīrkand|||||||||||||||||||1595|710
497|*koR|fowl, hen|330|korr "fowl"|||kor|korr|kor̨||korr|kor||||||kor|||||2160|917
498|*koRi-|to cut hair, shave|0|kōrītānā "to cut the hair, shave"||koritānā, korritānā, koṛitānā "to shave"|kori- "to shave"|korī-, korrī- "to shave"|kor̨i- "to shave"|kori- "to shave"|kori- "to shave"||korānā "to shave"||||kori- "to shave"||||||2258|918
499|*koRk-|to gnaw|1079|kōrkānā|||||koh̲k- "to gnaw, bite, nibble"||||||||||||Many dialects have \Ikork-\i||2164|927
500|*koḍ-|deer, blue bull|0|||||koḍal (māv) "a kind of deer"||||||koḍā māv "blue bull"||||khoḍḍa māv "(SR) blue bull"|||||1664|890
501|*koḍ-i|end, tip|1187|koḍḍī "tender tip or shoot of a plant or tree"||||koḍḍi "tip of bow"||koḍḍi||||||||koḍi "point"|||||2049|891
502|*koh-k-|to crush; to butt, strike|319|kohkānā "to crush, pound, butt, gore"|kohkānā "to crush, pound, butt, gore"|kohkānā "to crush, pound, butt, gore"|kohk- "to thresh with flail"|koṭ- "to cut with axe"|koʔk- "to butt"||koṭ- "to strike with horn"|||||||kohkānā "to crush, pound, butt, gore"|||Also Gondi̲A \Ikoṭela\i mallet; Gondi̲Mu, Gondi̲Ma \Ikoṭela\i drumstick; Gondi̲Mu \Ikohk-\i to gore; Gondi̲A (Su.) \Ikohk-\i to grind into a paste, pound (in a mortar), beat stalks of millet, wheat, etc. on the ground so that the seeds fall down||2063|882, 959
503|*kohk-|to prick, peck|0|kohkānā "to prick, puncture, tattoo"|kohkānā "to prick, puncture, tattoo"|kohkānā "to prick, puncture, tattoo"||kohk- "to peck"|koʔk- "to peck"||kohk- "to peck"|||||||kohkānā "(SR) to prick, puncture, tattoo"||||See also 2063.|2064|959
504|*kohk-ā|marking-nut tree|0|kōhkā maṛā|kohkā|kohkā||kohka|koʔka|||kohka|kohoka||||kohka|kohkā marā (SR)|||||2217|960
505|*kohl-/*koR-|Panicum miliare|355|kōhalā|kohalā|kohalā|||koʔla|kohala|||||||||||||2163|957
506|*kok-|hoe; zigzag|320|kōkōcī "large wooden fork or hook used for hanging ploughs on"||||kikoṛ kokoṛ "zigzag"||||||||||kokki "hoe"|||||2032|871, 963
507|*kok-|child|320|||||||||||||||koko (SR)|||||2030|869
508|*kol|tank|196|||||kol|||||||||||||||1828|946
509|*kol-|to repair, mend|1080|kōlstānā "to repair (of ploughshares)"||kolstānā, kulsānā "to forge"||||||||||||kollusānā "(SR) to mend implements"|||Also Gondi̲A (SR) \Ikolmi\i smithy||2133|948
510|*kom-|branch of tree|321||||||||koma||||||||||||2115|912
511|*kond-|dumb|322||||||||||kondal|kāndāl|||||||||2097|905
512|*kop-ā|earthen pot|973|kōpā "small earthen pot"|||||||||||koppa "an earthen pot"|||kopa "(SR) small earthen vessel"|||Also Gondi̲A (Su.) \Ikōpā\i mud vessel||2102|906
513|*kopir|leveller (for breaking sods)|0|||||koppir (pl. koppihk)|||||||||||||||2109|911
514|*koṛ-|ditch, hole|347||||koṛi "ditch, hole, grave"|koṛpanj (pl. koṛpahk) "pit to trap animals"|koṛi "ditch, hole, grave"||||||||||||||1818|933, 941
515|*koṛ-e|horse gram|326|||||koṛē̃|koṛi||koṛe||||||||||||2153|937
516|*koṛ-j-|daughter-in-law|370|koriāṛ "son's wife"|koṛiāṛ|||koṛiyaṛ "daughter-in-law, sister's daughter, younger brother's wife"|||koḍiyāḍ "daughter-in-law, sister's daughter (of a male)"||||||||||Also Gondi̲Tr \Itammur-koriāṛ\i younger brother's wife||2149|936
517|*kor-ŋeḷ|ear-wax|310||korangeḍ|korangeḍ|||koṛŋguli|gūnju|kornjūl (Su.)|||||korveli|koṛŋgel|korekal|||||1855|924, 1170
518|*korup|buttermilk|0|korrop|kurrop|kurrop||korop||korrup||korop|||||korrop|korop|||||2162|926
519|*koṛv-|a double handful|208|koṛop||||koṛv ar- "to worship with folded hands"|koṛk menḍu "a full double handful"|||||||||karve kiyānā "(SR) to worship"|||Also Gondi̲Ma \Ikoṛov\i double handful; folded hands; Gondi̲Tr \Ikaṛwē kīānā\i to beseech, pray to a god||2046|938
520|*koṛv-|fat|328||kurwinj|||koṛvenj|koṛvonj||koṛvos|||koduvasaka, koselā||korū- "to become fat"||koṛvinj|||||2146|944, 951
521|*korv-i|cheek|0|kōrwī|koṛwī|||korvi||||korvi|||||korvi|korvi|korvi||||1989|929
522|*korŋ-, *kok-|crane; heron|342|||||kokoḍal "heron, duck"|koŋga "crane"||koŋga "crane"|||koruku "crane"|||||||||2125|870, 874
523|*kos-|to winnow, sift|327|kossānā (Voc. kōssānā) "to sift in a supa with a sideways motion"||kussitānā, kossānā "to winnow"||koss- "to sift with sideways motion"|koss- "to sift with sideways motion"||||||||koss- "to sift with sideways motion"||||||2144|953
524|*kus-o|soot|358|kossō "soot on bottom of cooking-pot"|kusso "smoke"|kusso "smoke"|kosoyi|kosso, kosoy|kosoy||||||||kosso|kosso "(SR) soot"|||||2226|954
525|*koṭēl-|sp. rat|0|||||koṭēl|koṭṭeli||koṭel uppe||||||||||||2068|883
526|*koṭ-|to peck, pierce|0|koṭṭānā "to peck, pierce leaves and sew them for platters"||koṭṭānā "to pierce, thrust"|||||||koṭāna "to sew"|||||koṭṭānā "(SR) to peck, pierce leaves and sew them for platters"|||Also Gondi̲A \Ikoṭṭ-\i to hoe; Gondi̲Tr \Igoṭṭānā\i to poke or thrust with a stick or finger; \Ikōṭstānā\i to have one's ears pierced||2064|888
527|*koṭ-|stick|0|||||||||||||||koṭṭēylā (Su.)|||||2071|
528|*koṭ-kā|cowshed|1291||koṛka|korka, kurka|koṛka|koṛka|koṛka||koṭam (pl. koṭak)|koṭa||||||koṭka "(SR) shed"|||Also Gondi̲Mu \Ikoṭorla\i, \Ikoṭorli\i shed for goats||2058|880, 886, 884
529|*kov-e|red-faced monkey|0|kowwē||kovve||kovve|kōve|kovve|kove|kovve|koye||||kōve|kove, (Su.) kōvē|kovve||||2142|950
530|*koj-|to gather; to reap|335|koīānā, kōīyānā "to gather berries, mangoes, etc., harvest wheat or crops"||||koy- "to reap, cut, pluck (fruit)"|koy- "to reap, cut, pluck (fruit)"||koy- "to reap, cut, pluck (fruit)"|koy- "to reap, cut, pluck (fruit)"|koidānā "to reap"|||||koy- "to reap, cut, pluck (fruit)"|||Also Gondi̲Ko \Ikoyal\i stubble||2119|914
531|*koj-|Gond; Koya|359|koitur (pl. kōītōṛk) "a Gond male"|||koy "Gond man"||||koytanḍ (pl. koytaṛ) "Koya man"|koy "Gond man"|||||koya "Gond man"|koya "(SR) Gond man"|||Also Gondi̲Tr fem. \Ikōītāṛ\i||2178|913
532|*koj-|quill of porcupine, thorn|1082||||||||koyye||||||||||||2120|916
533|*kōR|horn|341|kōr (obl. kōt-, pl. kōhk) "horn of cattle or wild animals, branch of a tree"|kōr (pl. kōhk)|kōr (pl. kōhk)|||kōr̨u (pl. kōh̲ku)|kōr (pl. kōhku)|||kohk "branch"||kogoo "a horn"||kōr (pl. kōhk)|kōr (pl. kōhk)|||||2200|980
534|*kōǯ-ā|bowl|0|||||||||||||||khōjā (Su.)|||||2191|
535|*kōl-|the ḍanḍar dance [i.e. stick dance]|0|||||kōla|||||||||||||Also Gondi̲Mu \Ikōla pāṭa\i kind of song associated with the ḍanḍar dance||2240|986
536|*kōl-ā|stick, rod, handle|337|kōlā "a thin twig or stick, esp. for kindling a fire"|kōlā "stick, rod, a blade of grass, straw"|kōlā "stick, rod, a blade of grass, straw"|kōla "handle of plough, sickle, knife, etc."|kōla "handle of plough, sickle, knife, etc."|kōla "handle of plough, sickle, knife, etc."||kōla "handle of plough, sickle, knife, etc."||||kola "the handle of an implement"|||kōla "shaft of arrow"|||Also Gondi̲A (Su.) \Ikōlā\i stick, arrow, slate-pencil||2237|988
537|*kōnd-ā|bullock, ox|1292|kōnḍā|||||||||||||||||Other dialects have \Ikōnda\i||2216|972
538|*kōnd-kaj|elbow|323||||kunamkay||kunaŋkay||kunagay||||koondakaiyoo|||||||The Gondi̲Lu̲S form is more archaic, as is shown by external data. The form itself literally means 'curved arm' (\I*kōnd-\i + \I*kāy-\i) and has undergone modifications in Gondi dialects, primarily in the direction \I*-ndk-\i > \I*-nadk-\i > \I*-naŋk-\i, although the reason of \I*-o-\i > \I-u-\i is not quite clear (probably due to surrounding back consonants).|2054|755
539|*kōn-aṛ|shed for hens|0|||||kōnaṛ (pl. kōnahk)|||||||||||||||2211|971
540|*kōp-|cowherd|339|kōpāl "term of abuse applied to Gaiki graziers"|kopāl|kopāl||kōpal|kōpal||||||||kōpal||kōpal||Also Gondi̲Ph, Gondi̲Mu \Ikōpe\i (pl. \I-hk\i) cowherdess; Gondi̲Mu, Gondi̲Chd \Ikoh-\i to tend cattle; Gondi̲Mu \Ikohval\i cowherd|The form \Ikoh-\i is an old causative (probably from \I*kop-s-\i).|2218|975, 955
541|*kōp-|a kind of insect|202|||||kōpe, marka kōpe|||||||||||||||2113|977
542|*kōṛ|a sheaf in the field|0|kōṛ|||||||||||||||||||2253|983
543|*kōṛ-|to sprout|340|kōṛsānā, kōrsānā "to sprout, grow (of trees, plants, etc.)"||||koṛs-|koṛs-|koṛs-|koṛi "leaf-shoot"|||||||koṛs-|||Also Gondi̲Mu \Ikoṛk-ila\i new leaf; Gondi̲Ma \Ikoṛta\i month of Bhadrā (Aug.-Sept.) when new paddy is worshipped; Gondi̲A (Su.) \Ikoṛkēlā\i tender, young|Original vowel length preserved in Gondi̲Tr \Ikōṛs-\i.|2149|945, 934, 940
544|*kōṛ-|grasshopper|0|||||||||||||||khōṛā|||||2113|
545|*kōr-|to cast net|0||||||kōr-||||||||||||||2231|981
546|*kōr-u|tusk|0||||||||kōru (T)||||||||||||2257|
547|*kōs-|Hindu man|336||koshur|kosur||kōsur "a government servant or paik"|||||||||||||Also Gondi̲Ph \Ikostār\i, Gondi̲W \Ikoshtār\i Hindu woman; Gondi̲Ph, Gondi̲W \Ikosh\i the Hindi language||2192|991
548|*kuRk-|thigh|357|kurkī||kurkī|kurku|kurki|koh̲ki|kurki|kurku||kurk, kurkī|||||kurki (SR)|||||1840|779
549|*kuc-|a k. of female relation|0|kūcō "mother's younger sister"||||kuci "mother's younger sister"|kuci "father's younger brother's wife"||kusi "father's younger brother's wife, mother's sister"||kuci "father's younger brother's wife"||||kūco "mother's younger sister"||||||1873|821
550|*kuc-ā|large basket|0||||||||kucca||kūca||||||||||1644|719
551|*kuc-|bunch|0|||||||||||||||kucc(y)a (SR)|||||1639|718
552|*kudal|a tree the bark of which is used for making rope|353|||||kudal|||||||||||||||1701|750
553|*Kudaṛ|spade; axe|1293||||kudaṛ "spade, axe"|kudaṛ "spade, axe"|guddaṛ "spade, hoe"||guddaṛ "spade, hoe"||guddaṛ "spade, hoe"||goodar "hoe"||||||||1722|749
554|*kud-|to sit|1276||||||||kud-||||||||||Also Gondi̲Ko caus. (T.) \Ikup-\i, (Su.) \Ikuppis-\i; many dialects \Ikuttul\i a stool to sit on||1728|745
555|*kudur|lizard|0|||||kudur ḍekke "garden lizard"|||kudur ḍokke "a kind of lizard"||||||kidri ḍokke "house lizard"|kudur ḍokke "a kind of lizard"|||||1712|753
556|*kudur|sand|0|||||kudur|||||||||||||||1700|752
557|*kuhkār-|fog; sky|0|kuhkār "fog, mist"||||guhra "sky, cloud"|||||||||||||||1765|817, 1169
558|*kuhs-|to bark, growl, groan (as in lifting a heavy weight)|0|kuhascānā|||||||||||||||||||1796|815
559|*kuǯ-i|noose|360|khujjī "a noose for snaring quails"||kujji "noose, snare"|||||||||||||||||1642|720
560|*kukāl|leopard|0||||||||kukkāl (Su.)||||||||||||1626|
561|*kuk-|to rot|0|kukkānā "to go rotten, useless, as san fibre after heavy rain"||kukkānā||||||||||||kukkānā "(SR) to rot, of hemp"|||Also Gondi̲Ph caus. \Ikuksahtānā\i||1822|713
562|*kukuṛ|cock's comb|1084||||||kukur(i)||kukuṛ, (Su.) kūkōḍ||||kookooree "crest on a bird's head"|||kokkōr|||||1634|712
563|*kuls-ā|stool|0|||kulsā|||||||||||||||||1835|805
564|*kul-um|pus in a boil|1086|kullum|||||||||||||||||Other dialects have \Ikulum\i||1814|804
565|*kum-|smoke|1315||||||||kumpōḍ (Su.)||||||||||Also Gondi̲Hislop \Ikum\i smoke||1752|763
566|*kum-i|stomach|377||||||kummi||||||||||||||1757|770
567|*kunǯ-|hair-knot|0|kunjā "the knob in the bun of hair tied on the top of the head"||||kunjaṛ|||kunja kelk "plaited hair"||||||kunjar||||||1639|718, 723
568|*kunǯ-|hump of bullock|0||||||kunjāṛi||||||koonjaree|||||||See also 1639.|1643|723
569|*kunǯ-i|large owl|217||||||kunji||kunji||||||||||||1647|724
570|*kunṭ-|pool|362|||||||||||||||kunṭa|||||1669|737
571|*kunṭ-|lame|1221|kūṭānā "to go lame, usually of animals, rarely of men"||||kūṭ- "to hop on one leg, limp"|kūṭal|kunṭi|kūṭal "a lame man"||kūṭā|||||kuṭal "(SR) lame"|||Also Gondi̲M \Ikuṭahānā\i to limp||1688|736, 824
