NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
1095|||0||kamm-en̲al|being calm, still, silent|\Ikamukkam\i reticence, taciturnity|kamukkam|reticence, taciturnity|||||||||||*gam-ǝn|1289|||||||||1248|N
1096|*kas-|bitter|477||kaya (-pp-, -nt-)|to be bitter; abhor, loathe, detest|\Ikai\i (\I-pp-, -tt-\i) to be bitter, astringent, unpleasant; dislike, be angry with, hate; \Ikayappu\i, \Ikacappu\i, \Ikaccal\i bitterness; \Ikaippu\i bitterness, dislike, aversion; \Ikayar\i, \Ikacar\i astringency, astringent manner; \Ikaca\i (\I-pp-, -nt-\i) to taste bitter, be embittered, disgusted; \Ikacaṭṭai\i astringency, as of an unripe fruit|kaikka, kaśakka|to be bitter, be disliked|\Ikaippu\i bitterness, grudge, disrelish, disagreeable, sourish; \Ikappu\i id., bile; \Ikaśakaśa\i imit. sound of sour astringent tastes|kay, kaṃyi, kayi, kayyi, kaypu, kaype|bitterness|\Ikasar\i to scratch the throat, be astringent; \Ikasa\i, \Ikasaku\i, \Ikasaru\i, \Ikasi\i, \Ikasu\i, \Ikasuru\i astringency, unripeness; (Hav.) \Ikayku\i to be bitter; \Ikaykaṭe\i, \Ikayke\i bitter|kay- (kayp-, kayc-)|to be bitter|\Ikaype\i gall-bladder|kaipè, kayipe, kaipelụ|bitterness; bitter, envious|\Ikasa\i brackish; \Ikaskāyi\i half-ripe|*kaj\L1\l- (\Ipast\i *kaj\L1\l-t-)|249|||||||KOR (M) \Ikãy\i, (T) \Ikayye\i bitter||1249|N
1097|*kaj-|baseness, low, tricksy|0||kayam, kayamai|baseness, meanness|\Ikayavan̲\i base, unworthy, cruel man; fem. \Ikayatti\i; \Ikayavu\i baseness, meanness, theft, pillage; \Ikaimmai\i meanness, lie; \Ikaiyar\i mean, despicable persons, thieves, deceivers, cheats|kayam|low condition|\Ikayavan\i a mean, low fellow; \Ikayyan\i man of low caste, slave, good-for-nothing, rascal; \Ikaśavan\i a wicked person|keyta|trickery, deceit, fraud|\Ikeydāḷu\i crooked, dishonest behaviour, fraud; \Ikeyme\i cleverness, deceit||||kainè|a nasty woman|(B-K.) \Igayyāḷi\i a bad-charactered woman||0|||||||||1250|N
1098|*kaj-|depth, deep|0||kayam|depth, tank, water, sea||kayam|depth|\Ikaṛam\i id., body of water, tank|kaya|(Hav.) deep place in a river|||||kaya|depth (as of water), swamp; deep|||0|||||||||1251|N
1099|*kajal|a k. of fish (carp)|480||kayal, cēl|carp||kayal|a fish, Cyprinus|\Ikayyan\i a river fish|||||||||||0|||||||||1252|N
1100|||0||kayil|nape of the neck|||||||||||kekki, kekkilụ|neck, throat|||0|||||||KOR (T) \Ikekki\i, (O) \Igekkili\i neck||1253|N
1101|*kajir̲-|rope|481||kayir̲u|rope, cord, string||kayal|string|\Ikayar̲u\i rope, cord, coir; \Icakari\i, \Icekari\i, \Icēri\i coconut husk and fibres||||kērɨ|rope|\Icēri\i coconut fibre, coir|cēri|(BRR) fibre||*kīr- (*-r̲-)|1364|||||||||1254|N
1102|||0|||||kayar̲uka|to increase, rise, ascend, climb up, embark|\Ikayar̲r̲uka\i to increase (tr.), raise, put on ship; \Ikayar̲r̲am\i increase, steep ascent, attack|||||||||||0|||||||||1255|N
1103|*kajil-|ladle|2022|||||kayyil|ladle, spoon||||||||kailụ|ladle, spoon|||0|||||||KURU (LSB) \Ikīlɨ\i ladle||1257|N
1104|*kar-|to hide; to steal|520||kara (-pp-, -nt-)|to conceal, steal; hide (intr.), lie hidden, keep oneself out of sight|\Ikarappu\i, \Ikaravu\i concealing, theft, fraud, deceit; \Ikaravar\i thieves; \Ikaraval\i concealment; \Ikaravaṭam\i act or practice of stealing, deceit; \Ikaravaṭar\i thieves, deceivers|karappu|covering, hiding, concealing; theft||kare|to hide (intr., tr.)||||||||*kar-ǝv-|597|||||||||1258|N
1105|||0||||||||garagarike|pleasantness, neatness, beauty|||||garakena|clean, clear|||0|||||||||1259|N
1106|||0||||||||garasu, garusu|gravel|||||karŋkallu|gravel, hard sand|||0|||||||||1260|N
1107|||0||karacai, karicai|a measure of capacity = 400 marakkāl (? < Te.)|||||garase, gerase|a measure of capacity|||||||||0|||||||||1261|N
1108|||0||karaṭi, karuṭi, keruṭi|fencing, school or gymnasium where wrestling and fencing are taught|||||garaḍi, garuḍi|fencing school|||||garaḍi, garoḍi|fencing school|||0|||||||||1262|N
1109|*karaḍ-i|black bear|511||karaṭi|Indian black bear, sloth bear||karaṭi|bear||karaḍi, kaḍḍi|bear||karaḍi|bear||karaḍi|bear||*karǝḍĭ|279|||||||||1263|N
1110|||0||karaṭi, karaṭi-ppar̲ai, karaṭikai|a kind of drum (said to sound like a bear, \Ikaraṭi\i)|||||karaḍi, karaḍe|an oblong drum beaten on both sides, a sort of double drum|||||||||0|||||||||1264|N
1111|*kar-|rough; sharp|724||karaṭu|roughness, unevenness, churlish temper|\Ikaraṭṭu\i rugged, uneven, unpolished; \Ikaraṇ\i uneven surface in vegetables and fruits, scar; \Ikaru\i prong, barb, spike; \Ikarumai\i, \Ikaril\i severity, cruelty; \Ikarukku\i teeth of a saw or sickle, jagged edge of palmyra leaf-stalk, sharpness|karaṭu|what is rough or uneven|\Ikar̲u\i rough; \Ikar̲uppu\i roughness; \Ikaruma\i sharpness of sword; \Ikarukku\i teeth of a saw or file, thorns of a palmyra branch, irregular surface; \Ikarukarukka\i to be harsh, sharp, rough, irritating; \Ikarikku\i edge of teeth; \Ikari-muḷ\i hard thorn; projecting parts of the skin of custard-apples, jack-fruits, etc.; \Ikari-maṭal\i rind of jack-fruits|karaḍu|that is rough, uneven, unpolished, hard, or waste, useless, or wicked|\Ikar̲aku\i, \Ikarku\i, \Ikakku\i, \Igar̲aku\i, \Igaraku\i, \Igarku\i, \Igarasu\i a jag, notch, dent, toothed part of a file or saw, rough part of a millstone, irregular surface, sharpness||||karaḍụ, karaḍu|rough, coarse, worn out; wastage, loss, wear|\Ikargōṭa\i hardness, hard-heartedness; hard, hard-hearted; \Igaru\i rough; \Igarime\i severity, strictness; \Igargāsụ\i a saw|*kar-|1328|||||||||1265|N
1112|||0||karaṭu|ankle, knot in wood||karaṇa|knot of sugar-cane|\Ikuraṭṭa\i knuckle of hand or foot|karaṇe, kaṇṇe|clot, lump|||||||||0|||||||||1266|N
1113|||0||karaṇṭi|spoon or ladle||karaṇṭi|spoon||||||||||||0|||||||||1267|N
1114|||0||karaṇṭu (karaṇṭi-)|to paw (as a dog), gnaw (as a rat), scrape||karaṇṭuka|to scrape the inside of metal vessels with a grating noise||||||||||||0|||||||||1268|N
1115|||0|||||karaṇṭa|Carissa carandas||karaṇḍe|(Lush.) Carissa carandas|||||karaṇḍè (\IBRR\i), karṇḍe-puḷi-mara (\IMӓnner\i)|Carissa carandas|||0|||||||||1269|N
1116|||0||kara-tāḷam|palmyra palm|||||kara-tāḷa|fan-palm, Corypha umbraculifera Lin.|||||karatāḷa|cadjan|||0|||||||||1270|N
1117|||0||karantai|Indian globe-thistle, Sphaeranthus indicus|||||karaṇḍe|Indian globe-thistle, Sphaeranthus indicus|||||karaṇḍè, karṇḍe, karaṇḍelụ|the shrub S. hirtus|||0|||||||||1271|N
1118|||0||karappan̲|eruption in children|\Ikarappān̲\i eruption, any cutaneous disease, rash, eczema, erysipelas, etc.|karappan|eruptions, scurf (esp. on children's heads)||||||||||||0|||||||||1272|N
1119|||0||||||||kar̲ame|(K2) an ulcer|||||karampè|wound|\Ikarampelụ\i scar of wound||0|||||||||1273|N
1120|||0|||||||||||karava|clay pot with narrow neck||||||0|||||||||1273|N
1121|*karVḷ|entrails, intestines|512|||||karaḷ, karuḷ|lungs and heart, liver, bowels; heart, mind|\Ikariḷ\i heart|karuḷ, karaḷu, karḷu, kaḷḷu|an entrail, the bowels; love||karɨ|intestines||karaḷụ, karlụ|the bowels, the liver||*karǝl|282|||||||||1274|N
1122|||0|||||karaḷa|dried fruit||karaḍa, karaḍu, kaḍḍa|dried foddergrass|||||||||0|||||||||1275|N
1123|||0||kari|witness; testimony, proof|||||||||||||||0|||||||||1276|N
1124|*kar-mb-|miser|0||karumi|miser (coll.; TATD)|||||karba|miser (Tipt., LSB 17.18)|||||karmbelu|stingy woman||*kar-|891|||||||||1277|N
1125|*kar-|black|517||karu|black|\Ikarukkal\i darkness, twilight, cloudiness, sunburnt paddy crop; \Ikarukku\i (\Ikarukki-\i) to darken by heat, burn, scorch, toast, fry; \Ikaruku\i (\Ikaruki-\i) to be scorched, blackened by fire or sun, become dark in evening; \Ikarukal\i charred rice; \Ikarumai\i blackness; \Ikarum pon̲\i iron; \Ikari\i (\I-v-, -nt-\i) to be charred, scorched, become black; (\I-pp-, -tt-\i) to char; n. charcoal, charred wood, lampblack; \Ikariccān̲\i king crow; \Ikaŋkul\i darkness, night|kari, karu|black; charcoal, coal|\Ikarikkal\i, \Ikarukkal\i twilight, dusk, frying; \Ikarikka\i to char, burn black, fire (a jungle), scorch; \Ikarippu\i jungle cultivation; \Ikarima\i, \Ikaruma\i blackness; \Ikarukkuka\i to be dusk; \Ikariuka\i to be scorched, singed; vb. n. \Ikarivu\i; \Ikarimpu\i dark colour, grey; \Ikariśal\i that which is singed, scorched; \Ikaŋŋal\i darkness; \Ikaŋŋuka\i to be singed, burn in cooking|kari|to be scorched, singed, charred; fry, roast; n. state of being scorched, frying, blackness, charcoal|\Ikaraku\i, \Ikariku\i state of being scorched; \Ikaridu\i black; \Ikar-, ka-\i id.; \Ikargu\i to turn black (or with DEDR 1494); \Ikare\i blackness; \Ikabbiṇa\i iron; (PBh.) \Ikaripu\i blackness; (Hav.) \Ikarañcu\i to be scorched; \Ikarañcaṭe\i scorched; (Gowda) \Ikǝrṇṭɨ\i to become charred|kari- (kariv-, kariñj-)|to be singed|(\Ikarip-\i, \Ikaric-\i) to singe; \Ikari\i black|kari|soot, charcoal|\Ikariya\i black; \Ikarŋka\i state of being burnt or singed; \Ikarŋkāḍuni\i to burn (tr.); \Ikarñcuni\i to be burned to cinders; \Ikarñcāvuni\i to cause to burn to cinders; \Ikardụ\i black; \Ikarba\i iron; \Ikarvāvuni\i to burn the down of a fowl by holding it over the fire; \Ikarṇṭuni\i to be scorched; \Ikarguḍe\i a very black man; fem. \Ikarguḍi\i, \Ikargi\i|*kar-|252|||||||KOR (T) \Ikardɨ\i black||1278|N
1126|||0||||||||kartale, kaṛtale, kattale, kattala, kattal, (\IHav.\i) kastale|darkness|\Ikattalisu\i to become or be dark||||kattale, (\IB-K.\i) kartale|darkness|\Ikattal(i)yuni\i to get dark, set (as the sun), droop (as one's spirits)|*kartal|253|||||||KOR (T) \Ikartale\i darkness||1278|N
1127|*kār-|black, dark|0||kār|blackness, darkness, cloud, rainy season|(\I-pp-, -tt-\i) to darken, grow black; \Ikāri\i blackness, crow, black bull|kār|darkness, black, cloud||kār|blackness, rainy season|\Ikāri\i rainy season; \Ikāra-hullu\i any grass that grows in the rainy season||||kārụ, kāri|black, dark|\Ikārkāla\i cloudy or rainy weather; \Ikār mugalụ\i dark cloud|*kār|254|||||||||1278|N
1128|*karu-|foetus|513||karu|foetus, embryo, egg, germ, young of animal|\Ikaruppai\i womb; \Ikaruvam\i foetus, embryo|karu|embryo, yolk|\Ikaruntala\i generation|kandu|foetus of beasts||||||||*karv|284|||||||||1279|N
1129|*kar-|mould|519||karu|mould, matrix|\Ikarukku\i engraving, carving, embossed work|karu|figure, mould|\Ikarukku-paṇi\i embossed work; \Ikaraṭu\i the original of a copy|karu|embossed work, bas-relief|\Ikaruv-iḍu\i to put bosses or raised figures, mould, model||||karu, garu, karavi|a mould|||0|||||||||1280|N
1130|*kar-|young (of fruit)|0||karukkāy|young and immature fruit||karikku|an unripe coconut||kǝrkɨ|(Gowda) tender, unripe fruit|||||gargayi|half-ripe, half-grown, as an areca-nut, etc.|\Ikarkụ\i a very tender coconut, its tender shell; (BRR) \Ikar-mukkè\i young flower bud||0|||||||||1281|N
1131|*kar-ŋ-āl-, *kar-V-mar-|blackwood|0||karuŋkāli|Coromandel ebony of Mysore, Diospyros tupru||kariŋŋāli|blackwood, Mimosa catechu|\Ikarumaram\i Shorea robusta; ebony, Diospyros|karimara|Diospyros melanoxylon Roxb.|(DCV) \Ikaggali\i blackwood||||kari-mara|blackwood|\Ikarmarụ\i a superior kind of firewood, Vatica laccifera||0|||||||||1282|N
1132|*kar-und-|to conceive, intend, recollect|2006||karutu (karuti-)|to intend, recollect, suppose, consider, regard, desire, ponder|\Ikaruttu\i design, purpose, opinion, attention, desire, judgement, mind, will|karutuka|to conceive, think, meditate, aim at, attend to, prepare|\Ikarutal\i care, regard; \Ikaruttu\i id., courage; \Ikaruttan\i resolute|karu|to point, aim at||||||||*kar-ǝnd-|1342|||||||||1283|N
1133|*kar-nāḍ-|Kanarese|0||kar(u)nāṭakam, kan̲n̲aṭam|the Kanarese country; language of the Kanarese|\Ikan̲n̲aṭan̲\i, \Ikan̲n̲aṭikan̲\i, \Ikan̲n̲aṭiyan̲\i native of the Kanarese country|kannaṭam|the Canarese country||karṇāṭa, kannaḍa|the Kannaḍa country and its language|\Ikannaḍiga\i a man of the Kannaḍa country; \Ikarṇāṭaka\i the Kannaḍa language; a Kannaḍa man||||kannaḍa, karnāṭaka|the Canarese language; of or belonging to Canarese or Canara||*kanaḍ-|893|||||||||1284|N
1134|||0||karu-nilam|barren soil, waste land|\Ikarampu\i, \Ikarampai\i waste land; (inscr.) \Ikari\i failure of crops; (inscr.) \Ikaruñ-cey\i dry land, uncultivated waste|kari, karivi, karuvi|waste land, long grass in rice-fields||||||||||||0|||||||||1285|N
1135|*kar-|hunger|525||karuppu|famine|||||||||||||||0|||||||||1286|N
1136|*kar-|great, strong|0||karumai|strength, greatness||karu, kar̲u|stout, hard|\Ikaruma\i hardness, strength of a man; \Ikaruman\i one who is strong and able; \Ikarumana\i valour, etc.; \Ikaruttu\i strength, vigour, power; fortitude, courage; \Ikaruttan\i a strong man, powerful person|kara, karu|greatness, abundance, power||||||||*kar-|896|||||||||1287|N
1137|*kar-umb-|sugar-cane|0||karumpu (\Iin cpds.\i karuppu-)|sugar-cane|\Ikarupp-aṭṭi\i jaggery made from palmyra juice, jaggery|karimpu|sugar-cane|\Ikaripp-aṭṭi\i coarse palmyra-sugar|karvu, karbu, kabbu|sugar-cane||kaybɨ|sugar-cane||karmbu|sugar-cane||*karb|248|||||||||1288|N
1138|||0||karuvi|instrument, tool||kari, karivi, karuvi, karu|tool, plough, weapon||||||||||||0|||||||||1290|N
1139|*kar-|to sound|516||karai (-v-, -nt-)|to sound, roar, weep, lament, call, invite|(\I-pp-, -tt-\i) to call, summon|karayuka|to cry, lament, neigh, caw, caterwaul|\Ikaraccil\i weeping, crying, lamentation; cry of certain animals or birds; \Ikaraḷuka\i to mumble; \Ikaraḷca\i mumbling|kare, kari|to emit a sound, sound, call, invite|\Ikarasu\i, \Ikarisu\i, \Ikaresu\i, \Ikareyisu\i to cause to call, have called, cause to sound, shout together; \Ikaraha\i, \Ikareyuvike\i calling, etc.||||kareyuni, karevuni|to crow|\Ikarmbuni\i to mutter; \Igaggelyuni\i to roar, cry|*karV-|192|||||||||1291|N
1140|*kar-|to melt, dissolve|515||karai (-v-, -nt-)|to dissolve in water, be reduced from solid to liquid form, wear away (as soil by the action of water), become emaciated, become gradually attenuated|(\I-pp-, -tt-\i) to dissolve in water (tr.), melt, liquefy, extirpate; \Ikaraiyal\i dissolving, melting, that which is dissolved; \Ikaraivu\i dissolving, tenderness of mind|karakkuka|to melt, dissolve||karagu, karaŋgu, kargu|to be dissolved, melt away, decrease in bulk, become softened to pity or love, pine away|\Ikaragisu\i, \Ikarigisu\i, \Ikargisu\i to cause to be dissolved, melt; (Hav.) \Ikaraḍu\i to melt|kar- (kari-)|to be digested|\Ikarak-\i (\Ikaraki-\i) to digest; (Shanmugam) to dissolve; (Shanmugam) \Ikarak\i dissolving|karaguni|to melt (intr.), dissolve, liquefy, become thin, become affected, softened, melt with pity|\Ikaragāvuni\i, \Ikargāvuni\i to melt (tr.), liquefy, affect the mind, afflict; \Ikaravuni\i to be dissolved, melted, digested; \Ikarapuni\i to digest|*karV-|281|||||||||1292|N
1141|*kar-ai|shore|518||karai|shore, bank, ridge of a field, border of a cloth||kara|shore, riverside, land (opp. to sea), coloured border of a cloth|\Ikarayan\i striped cloth; \Ikaral\i border, margin, edge|kare|bank, shore, boundary, border of a cloth||kare|bank||karè|seashore, bank of a river, border, coloured border of a cloth||*kar(ӓ)|277|||||||||1293|N
1142|||0|||||kara|parish||||||||karè|parish, a social or caste jurisdictional division|||0|||||||||1294|N
1143|*kal̲-|to learn|489||kal (kar̲p-, kar̲r̲-)|to learn, study, practise (as arts), acquire skill in the use of arms|\Ikalai\i arts and sciences, learning, erudition; \Ikallāmai\i state of being unlearned, illiteracy, ignorance; \Ikallān̲\i unlearned, illiterate person; \Ikalli\i precocity, precocious child; \Ikalvi\i studying, learning, erudition, science, practice, scientific work; \Ikar̲kai\i learning; \Ikar̲pan̲\i, \Ikar̲r̲avan̲\i learned person, scholar; \Ikar̲pan̲ai\i learning, study, teaching, instruction; \Ikar̲pōn̲\i scholar, pupil; \Ikar̲pi\i (\I-pp-, -tt-\i) to teach, instruct; \Ikar̲pu\i learning, study, knowledge, chastity; \Ikar̲r̲ar\i learned men|kalkka (kar̲r̲-)|to learn|\Ikala\i art, science; \Ikar̲r̲avar\i the learned|kal (kalt-), kali (kalit-)|to learn|\Ikalisu\i, \Ikalusu\i to teach; \Ikal\i learning; \Ikali\i a learned man; \Ikalike\i learning, skill; \Ikalita\i, \Ikalpi\i learning, erudition; \Ikaliyuvike\i act of learning, learning; \Ikale\i an art||||kalpuni|to learn, study|\Ikalpāvuni\i to teach, instigate; (B-K.) \Ikalpādi\i a learned man, sophist; hypocrite|*kaɫ-|261|||||||||1297|N
1144|*kal|stone|488||kal (kar̲-, kan̲-)|stone, pebble, boulder, precious stone, milestone|\Ikallan̲\i hard-hearted fellow|kal, kallu|stone, rock, precious stone|\Ikalla\i glass beads; \Ikallan\i mason; hard-hearted|kal, kalu, kallu|stone; hard, stiff state of mind||kallɨ|stone||kallụ|stone||*kal|260|||||||||1298|N
1145|*kalǝ-|to mix|721||kala (-pp-, -nt-)|to mix (intr., tr.), unite in friendship, form friendly or matrimonial alliance with, copulate|\Ikalakku\i joint; \Ikalacu\i (\Ikalaci-\i) to mingle (intr.); \Ikalappu\i cordiality, fraternity, friendship, copulation; \Ikalampakam\i mixture, combination; \Ikalavu\i (\Ikalavi-\i) to mix (intr., tr.); n. joint of the body; \Ikalaval\i mixing, combining; \Ikalavan̲\i mixture of various things, medley; \Ikalavi\i union, combination, sexual union; \Ikalavin̲ār\i friends, relations; \Ikalavai\i mixture, compound; \Ikalāvu\i (\Ikalāvi-\i) to mix, join together, unite|kalaruka|to be mixed, united; mix (tr.), mingle (esp. what is dry)|\Ikalarcca\i mixture; \Ikalarppu\i act of mixing, mixture, adulteration; \Ikalaval\i mixing, intermingling; \Ikalappu\i the whole, sum|kali, kale|to join (intr.), be mixed, come together, meet|\Ikala\i state of being joined or mixed, of being promiscuous or various; \Ikalaka\i, \Ikalka\i mixture; \Ikalapu\i a joined or mixed state, a miscellaneous mass; \Ikalasu\i to mix, mingle; n. mixed or mingled state; \Ikalpisu\i to join, mix|kala- (kalap-, kaland-)|to knead|(Shanmugam) \Ikalap\i kneading|kalaḍuni|to be mixed, kneaded|\Ikalaḍāvuni\i to mix, knead; \Ikalapuni\i to mingle, knead; \Ikalappu\i mixed, kneaded; \Ikalaberakè\i admixture, compound; \Ikalamụ\i grafting; \Ikalka\i decoction, infusion of any drug|*kal-ǝv-|193|||||||||1299|N
1146|*kal-|to appear; to grow|483||kala (-pp-, -nt-)|to appear, come into being, spread (as news)|\Ikali\i (\I-pp-, -tt-\i) to grow luxuriantly, sprout, come into being, appear, increase; n. flourishing, prospering||||||||||||||0|||||||||1300|N
1147|||0||kallai|plate made of leaves sewn together|||||||||||||||0|||||||||1301|N
1148|*kal-|a k. of sound|485||kalakala (-pp-, -tt-)|to reiterate in sound, rustle, tinkle, chink, clink, rattle|\Ikalakalappu\i rustling; \Ikalakalam\i chirping of birds, confused noise of a crowd; \Ikalakal-en̲al\i onom. expr. signifying tinkling, chinking; \Ikali\i (\I-pp-, -tt-\i) to sound, clamour, roar; n. sound; \Ikalippu\i sounding, murmuring; \Ikallu\i (\Ikalli-\i) to cause to sound, as a drum; \Ikallal\i disturbance, confusion, tumult, noise due to many people speaking at the same time; \Ikall-en̲al\i onom. expr. signifying excitement; \Ikaḷakaḷa\i (\I-pp-, -tt-\i) to rattle, chatter, gurgle; \Ikaḷakaḷappu\i, \Ikaḷakaḷam\i loud and confused noise (as the din of the bazaar or the roar of waters); \Ikaḷakaḷ-en̲al\i onom. expr. signifying tinkling, flowing with a gentle sound, chattering; \Ikaḷan̲\i sound, noise|kaḷakaḷa|confused noise, buzz, din||kalakala|confused noise, the murmuring or buzz of a crowd|\Ikalakalisi nagu\i to laugh aloud; \Igalagala\i, \Igaḷagaḷa\i clanking, clinking, tinkling, rattling; \Ikaḷakaḷa\i noise, clamour, tumult, chattering of birds; the noise of rice when nearly boiled; imit. sound accompanying weeping||||kalakala|a confused noise, hum|\Igalagala\i a noise caused by bracelets; \Igalụgalụ\i a rumbling in the stomach; \Ikalkuni\i, (B-K. also) \Ikaḷku\i, \Ikālku\i to cry as a demon or one possessed by an evil spirit; \Ikaḷakaḷa\i, \Ikaḷapaḷa\i a confused sort of noise (as when wading through water or shaking a whole coco-nut); \Igaḷagaḷa\i a noise (as in drinking fast or by shaking a coco-nut)||0|||||||||1302|N
1149|*kal-|to stir, mix up|484||kalaŋku (kalaŋki-)|to be stirred up, agitated, ruffled (as water), be confused, abashed|\Ikalakku\i (\Ikalakki-\i) to confuse, nonplus; \Ikalakkam\i, \Ikalakku\i being agitated (as surface of water), discomposure, distress, perplexity; \Ikalaŋkal\i turbidity, muddiness, muddy water, perturbation; \Ikalāvu\i (\Ikalāvi-\i) to be perturbed, confused, be displeased, angry; \Ikalāy\i (\I-pp-, -tt-\i) to get angry, quarrel; \Ikalāpam\i disturbance, uproar, raid; \Ikalām\i war, battle, rivalry, rage; \Ikali\i perturbation, discomposure, uneasiness, war, dissension, strife; \Ikaluṛ\i (\I-v-, -nt-\i) to become turbid (as water), be disturbed in mind, weep; n. weeping, muddiness; \Ikaluṛcci\i, \Ikaluṛvu\i sorrow, weeping; \Ikaluṛi\i disturbed water, puddle, flood, tears, confusion; \Ikaliṛ\i (\I-v-, -nt-\i) to weep, be troubled in mind; n. muddy water|kalaŋŋuka|to be mixed, agitated, turbid (as water), embarrassed|\Ikalaŋŋal\i turbidity; \Ikalakkuka\i to mix (tr.), confound; \Ikalakkam\i turbidness, confusion, quarrel; \Ikalakku\i muddy water; \Ikalacuka\i to be disturbed; \Ikalaśal\i, \Ikalāpam\i confusion, quarrel; \Ikalakku\i muddy water; \Ikalacuka\i to be disturbed; \Ikalaśal\i, \Ikalāpam\i confusion, quarrel; \Ikalampuka\i to get confused, quarrel, anoint the body with perfumes; \Ikalampal\i, \Ikalampu\i uproar, quarrel|kalaku, kalaŋku|to agitate, shake, perturb, make turbid, stir up, disturb|\Ikalakisu\i to perturb, stir; \Ikalaku\i turbidness; \Ikalaḍu\i to be shaken or perturbed, become turbid, muddy, unclean; \Ikalumbu\i to perturbate, make turbid; n. turbidness, contamination, defilement; \Ikaluhe\i turbidness, impurity|kalaŋg- (kalaŋgi-)|to be stirred up|\Ikalak-\i (\Ikalaki-\i) to stir up, churn; (Shanmugam) \Ikalak\i stirring up|kalaŋkụ, kaḷaŋkụ|turbidness, muddiness|\Ikalaŋkuni\i, \Ikaḷaŋkuni\i to be turbid; \Ikaḷaŋkāvuni\i to render turbid; \Ikalambuni\i to quarrel, fight; \Igaljuni\i to confuse, disturb|*kalǝ-|194|||||||||1303|N
1150|||0||kalappai|plough, ploughshare||kalappa|plough and what belongs to it||kalapu|materials for a house, for a plough, etc.|||||||||0|||||||||1304|N
1151|*kal-|vessel, pot; ship|486||kalam|vessel, plate, utensil, earthenware, ship|\Ikalavar\i navigators|kalam|pot, vessel, ship||kala|pot, vessel||kala|big pot||kara|an earthen vessel||*kal-|1173|||||||||1305|N
1152|||0||kalavaram|confusion of mind, perturbation|\Ikalavari\i (\I-pp-, -tt-\i) to be confused, perturbed||||kaḷakaḷa, kaḷavaḷike|agitation of the mind, distress, confusion|\Ikaḷavaḷisu\i to be agitated, grieve, be perplexed|kaḷavaḷa|(Shanmugam) confusion||kaḷavaḷa|anixety, alarm, sorrow|||0|||||||||1306|N
1153|||0||kaṛunīr, ceŋ-kaṛunīr|? water-lily||ceŋ-kaṛinīr|? water-lily||kalave, kaluve|water-lily|\Icaŋgalave\i, \Iceŋgalave\i red water-lily||||||||0|||||||||1307|N
1154|||0||kali|strength, force|\Ikaliyan̲\i warrior||||kali|man noted for valour and prowess, warrior, hero|\Ikalitana\i valour, heroism||||||||0|||||||||1308|N
1155|||0||kaliŋku, kaliñcu, kaluŋku|sluice or water-weirs for surplus vents|(Tinn.) \Ikaliŋkilu\i sluice-weirs|kaluŋku|culvert||||||||||||0|||||||||1309|N
1156|||0||kalipali, kalipili|uproar, disturbance, quarrel, wrangle|||||galabali, galabili, galibili|disorder, confusion|\Igalabe\i hubbub, clamour||||galibili|disorder, tumult, anarchy|\Igalabu\i tumult, confusion, noise||0|||||||||1310|N
1157|||0||kalai (-v-, -nt-)|to disperse (as an assembly, a defeated army), be scattered (as clouds), be ruined, wander in thought, be blurred (as writing on slate)|(\I-pp-, -tt-\i) to disperse (tr.), break up, scatter, detach, exile, frustrate, erase (as writing on slate)|kalayuka|to disperse (as a mob)|\Ikalayikka\i to drive away birds|||||||||||0|||||||KOR (O) \Ikali\i to open||1311|N
1158|||0||kalai|stag, buck, male black monkey|\Ikalaŋ-kompu\i stag's horn|kala|stag, buck|\Ikalaŋ-kompu\i stag's horn||||||||||*kal-|1330|||||||||1312|N
1159|*kàl-|mark, scar|2057|||||kala|mark as of small-pox, scar, mole||kale, kali|scar of an old wound, mark of small-pox, stain of mud, oil, etc.||kale|scar, white spot on nail||kalè|scar, mark, blemish, stain|||0|||||||||1313|N
1160|||0||||||||||||||kalkorè|a kind of fish|||0|||||||||1314|N
1161|||0||||||||kalli|a kind of coarse net-work; a bag made of it|||||kalli|a bag of net-work, a wicker-work|||0|||||||||1317|N
1162|||0||kallu (kalli-)|to dig out (as a hole), hollow (as a rat), excavate, scoop out (as a nut), erode|\Ikellu\i (\Ikelli-\i) to dig|kalluka|(Kauṭ.) to dig out, excavate|||||||||||*kel-ǝv-|1352|||||||||1319|N
1163|||0||||||||gappane|suddenly, all at once||||||||*Kav-|1282|||||||||1320|N
1164|||0||kavaṭi|game of leap-frog||kavaṭi|jumping play of children||||||||||||0|||||||||1321|N
1165|*kavaṇ-|sling|0||kavaṇ, kavaṇai, kavaṇṭi, kavaṇṭu|sling||kavaṇa, kaviṇa|sling, bow to throw stones|\Ikavaṇ\i sling, catapult|kavaṇe|sling|||||kavaṇe, kappanda|sling||*giviṇĭ|206||||||||The Nilgiri forms are strange.|1322|N
1166|||0||kavaṇi|muslin||kavaṇi, kaviṇi, kauṇi|muslin, fine cloth to cover the head||||||||||||0|||||||||1323|N
