NUMBER|PROTO|MEANING|PRNUM|PENGO|MANDA|ADDITION|NOTES|DEDNUM
273|*kū-|to be unwilling|374||kū-|||1869
274|*kūk-|to call, summon|375|kūk- (-t-)||||1868
275|*kūl-i|paddy|376|kūli|kūli|||1906
276|*kūṛ|gruel|0||kūṛ|||1911
277|*kūṛ-|to assemble|383|kūṛā- (kūṛa ā-)||||1882
278|*lab-|to fit into (intr.)|980|lab- (lapt-)||Also Pengo \Ilap-\i (\I-t-\i) to insert, fit into (tr.)||296
279|*laj|boiled rice|388|lay|lay|||5186
280|*lǟc-|to measure|387|lāc- (-c-)|lēc-|||295
281|*lekor|dew|399|lekor|lekur|||5191
282|*lem-|to shake, tremble|0|lem- (-t-)||||240
283|*lēk-|(pl.) strips of bamboo|924|lēkiŋ||||5557
284|*lēnǯ|moon, month|389|lēnj (obl. lēc-, pl. lēcku)|lēnj|||3754
285|*lit-|(pl.) leavings of food|394|litaŋ||||5188
286|*līm|white ant|164|līm dār|līm|||837
287|*lu-|to beat game|395|lu- (lut-)||Also Pengo \Ilup\i, \Ilup gaṭ\i part of the forest where the beaters are stationed||5190
288|*mac|spot made on forehead with turmeric|981|mac||||4632
289|*mag-|to lie, sleep|982|mag- (makt-)||Also Pengo \Imak-\i (\I-t-\i) to cause to lie, fell (tree)||4735
290|*maz-|son|442|mazi|tāmji "his son"|Also Pengo \Imeyhi\i son (referring to 3rd person)||4764
291|*maz-|to turn (intr.), turn round, return; turn into, be transformed into|405|maz- (mast-)||Also Pengo \Imah-\i (\Imast-\i) to turn round, turn over (tr.); turn into, transform||4761
292|*mӓl-k- (*-a-)|to lighten|983|malkā-||||5079
293|*mand-|people belonging to the same side or party|409|mandanakar, madanakar||||4700
294|*man- (p.t. *mac-)|to be|411|man- (mac-)|man- (mac-)|||4778
295|*manǯ-i|husked rice|412|manji||||4639
296|*mar|tree|456|mar (pl. -ku)|mar (pl. -ke)|||4711
297|*mard-i|sāj tree|413|mardi mar|mardi|||4718
298|*marŋ-aṛ|side|984|marŋgaṛ||Also Pengo \Imarŋgaṛ pṛēku\i ribs||4717
299|*maṛg-|next year|0|maṛgaliŋ|maṛgetiŋ|||4755
300|*mas-|to learn, become accustomed|458|mah- (mast-)||||4722
301|*mask-ā|mango|406|maska "mango (esp. ripe mango)"|mahke|||4772
302|*maṭ-|eyelash|414|maṭa "eyelashes"|kan-maṭaŋ "eyebrows"|||4650
303|*maj|breast, teat|1253|may (pl. -ku)|may (pl. -ke)|||4704
304|*maj-siŋ|day after tomorrow|404|mayhiŋ|maʔhiŋ|||4615
305|*mƆc- (*-ā-)|to carry on the head|985||māc-|||5126
306|*māc-|dirt|416||māci|||4792
307|*māz-|(pl.) sesamum|415|māzoŋ|māyuŋ|||4835
308|*māc-k-|darkness|417|mācka, mājga||||4781
309|*mām-|maternal uncle|420|māma||||4813
310|*mānǯ-|to be stale, become stale|0||mānj-|||4795
311|*māṇ-|to heal (intr.)|425||māṇ- (māṇt-)|||4804
312|*mār-ā|wing, upper arm|422|māra|māre|||4820
313|*māṛ-|creeper|424|māṛa||||4833
314|*māŋ-/*māk- (*-ǟ-)|to bake (bread)|419|māk- (-t-), māŋ(g)- (māŋt-)||||4788
315|*māŋ-es|sambar|428|māŋges|māŋgeh|||4780
316|*mӓl|peacock|431|mal (pl. -ku)|mel (pl. -ke)|||4642
317|*med-|to wear (shirt)|429||med-|||5061
318|*menḍ-ā|knee|432|menḍa|menḍe|||4677
319|*me-s-|to open the eyes|434|meh- (mest-) "to open the eyes, see"|meh- (meht-) "to open eyes"|||5084
320|*met-|to plant, put in|435|met- (-t-) "to cast (e.g. fishing net), put in (e.g. rice into a pot)"|met- "to plant"|||5067
321|*mēṛ|storied house, mansion|986|mēṛ||||4796
322|*mēs-ku|moustache|445|mēsku||||4879
323|*min|fish|447|min (pl. -ku)|min (pl. -ke)|||4885
324|*miṇij-|Anogeissus latifolia|466|miṇiya|miṇiya|||4855
325|*miṭ-|to blink the eyes|444|miṭmiṭ ki-||||4845
326|*mī-go|upper part, summit|441|mīgo||Also Pengo \Imīgṇi\i upper, higher||4841
327|*mīt-|to rub on, smear, plaster|0||mīt-|||5066
328|*mok-|shoot, sprout|987|moka||||4997
329|*mrāṇ-ĭ|a kind of rat|0|mrāṇi|mrāṇe|||5145
330|*mreṭ-|to chew|457||mreṭ-|||5077
331|*mṛā-|to steal|461|mṛā- (-t-)|mṛākhi urli "mouse"|Also Pengo \Imṛākha\i thief||5146
332|*mṛeŋ|waist|0|mṛeŋ, mṇeŋ|mṛeŋg|Also Pengo \Imṛey\i waist-pocket||5148
333|*mṛi-|evening|440|mṛi- (-t-) "to become evening"|mṛika "twilight, evening"|Also Pengo \Imṛika\i dusk, twilight; \Imṛikaliŋ\i in the evening||4869
334|*mṛik-|to be sweet|988||mṛik-|||4865
335|*mṛis-|shin|0|mṛis-kāl, mṛis-danḍa|mṛih-kāl|||5147
336|*mṛīnǯ-|to punch, press|989|mṛīnj- (mṛīnc-), mṇīnj-|mṛīc-|||4881
337|*mṛu-k-|to ladle out|452|mṛuk- (-t-)|mṛuk-|||5124
338|*mṛūg- (*mūṛg-)|to put on (hat, dancing mask), cover oneself with (e.g. umbrella)|450|mṛūg- (mṛūkt-)||Also Pengo \Imūg-\i (\Imūkt-\i), (Kal.) \Imūŋ(g\i)- id., close up, be closed (mouth, lotus); \Imūk-\i (\I-t-\i) to surround, enclose, close (mouth), obstruct one's way||5002
339|*muc-|to cover|469|muc- (mucc-) "to cover, bury"|muc- "to bury"|Also Pengo \Imuci\i lid||4915
340|*muk-|to shut (mouth)|990||muk-|||4893
341|*munḍ-|tank, bund|474|munḍa||||4945
342|*munḍ-|pillar|473|munḍa||||4948
343|*mun-el|a species of rat|0||munel urli|||5022
344|*munǯ- (caus. *muc-)|to sink|476|munj- (munc-) "to be immersed"|munj- "to sink (intr.)"|Also Pengo \Imuc-\i (\Imucc-\i) to immerse; Manda \Imuc-\i to make to sink||4993
345|*muṇk-|wife|0|muṇkāṇi, mulkāṇi||||4944
346|*mur-|to cut (horizontally)|459|mur-||||4975
347|*mur-en|spine|479|muren|ḍuḍ-muren|||4955
348|*murg-|to bark|484||murg-|||5013
349|*muṛ-k-|altogether|991|muṛke||||4992
350|*mus-|to smile|1180|mus mus in-||||4904
351|*mus-|to chew|483|muh- (must-)||||4901
352|*mut-|metal vessel|499|muta||||4965
353|*mut-la|snout of pig|500|mutla|mutli|||5031
354|*muṭ-la|hammer|486|muṭla|muṭla|||4932
355|*muŋel|nose|487|muŋgel|muŋgel|||5024
356|*mūc-i|mucus of nose|489|mūci|mūci|||4909
357|*mūmb|face|497|mūm|mūmb|||4889
358|*mūnǯ-|to sniff, smell|496|mūnj- (mūnc-)|mūnj-|||4886
359|*mūṇ-ku|(pl.) urine|495|mūṇku|mūṇke|||644
360|*mōp-a|shoulder|454||mūpa|||5122
361|*mūṭ-i|brain|0|mūṭi|mūṭi "brain, marrow"|Also Pengo \Ipṛēn mūṭi\i marrow; Manda \Imūṛa\i brain; \Ibūṭi\i marrow||5051
362|*naḍ- (caus. *naṭ-)|to tear|0|naḍ- (naṭt-) "to be torn, severed"|naḍ- "to be broken, snapped"|Also Pengo \Inaṭ-\i (\I-t-\i) to tear, sever||3586
363|*naṇk- (*-ṛk-)|bug|507|naṇka, naṛka||||3621
364|*nāguṛ-ĭ|river|509|nāguṛi|nāguṛ|||3636
365|*nāz (obl. *nāṭ-)|village|515|nāz/nās (obl. nāṭ-, pl. nāsku)|nāy (obl. nāṭ-)|Also Pengo \Ināṭakan\i villager||3638
366|*nāl-aŋ|night|512|nāṇa|nālaŋ "darkness, night"|Also Pengo \Ināṇaŋge\i, \Ināṛihiŋ\i early in the morning; Manda \Inālihiŋ\i early in the morning||3621
367|*nānǯ-aṛ|wife's younger sister|513||nānjaṛ|||3644
368|*nāṇ-i|fire|992|nāṇi||||3640
369|*nār-|to scoop out|0|nār- (-t-) "to scoop out (e.g. pulp of gourd for making vessel)"|nār- "(rat, etc.) to excavate, scratch out earth"|||3652
370|*nǟk-|to lick|510|nāk- (-t-)|nēk-|Also Pengo (B.) \Ināŋ(g\i)- (\Ināŋt-\i) to lick; Manda intens. \Inēbga-\i||3570
371|*nǟŋ-el|plough|516|nāŋgel|nēŋgel|||2907
372|*neikuṛ|dog|514|nekuṛ, nikuṛ|||The variant \I*neikuṛ\i is possible if we suggest an earlier facultative development \I*-eik-\i > \I*-ek-\i, since in Pengo \Inikuṛ\i is the correct variant.|3650
373|*neiŋ-uṇ|tail|391|niŋguṇ|neŋguṇ|||5201
374|*nek-r-|good|520|nekri|nekran (masc.), nekdel (fem.), nekde (neut.)|Also Pengo \Inekrakan\i a good man||3735
375|*nenǯ- (caus. *nec-)|to fill|518|nenj- (nenc-) "to be filled"|neh- "to fill, put in"|Also Pengo \Inec-\i (\I-c-\i) to fill; put in, insert||3682
376|*nenǯ-|chest|526|nenjom, nenja ḍaki|nenjaḍaki|Also Pengo \Inenja\i pith (of a coconut)||3736
377|*nep-ĭ|shoulder|527|nipi|nepe|||3671
378|*neter|blood|521|neter "blood; red"|neter|||3748
379|*nej (*-z)|oil|530||ney|||3746
380|*neŋ-|to enter|993||neŋg-|||3764
381|*nēb-es|ground|0|nēbes|nēbeh|||3768
382|*nē-|direction|0|nēn, nēpo, nēponḍ||||3772
383|*nēz-|to sprout|524|nēz- (nēst-)|nēy-|||2919
384|*nēl|hill-field|522|nēl|nēl|Also Pengo \Inēla\i ground||2913
385|*nēnǯ-|to breathe|523|nēnj- (nēnc-)|nēnj-|Also Pengo, Manda intens. \Inēcka\i-||3765
386|*nēnǯ-/*nānǯ|today|542|nēnjeŋ, nēci bār|nēnj(e)|Also Pengo \Inēcaŋ\i from today; \Inānj\i day||2920
387|*nir-|to pull|0|nir- (-t-)||||542
388|*niŋ- (caus. *nik-)|to rise|528|niŋ(g)- (niŋt-) "to rise, get up"|niŋ(g)-|Also Pengo \Inik-\i (\I-t-\i) to raise; Manda \Inik-\i to raise||3665
389|*nīz|ashes|994|nīz/nīs|nīy-darambu|||3693
390|*nīk-|(water) to sink into the ground, be absorbed|702|nīk- (-t-)||||430
391|*nli-|to stand|525|nil- (-t-)|li- (-t-)|||3675
392|*noz-|to wash|532|noz- (nost-), nuz- (nust-)|nuy-|||3783
393|*nonḍ-|to kiss, caress|534|nonḍ- (-t-) "to kiss"|nuṭka- "to caress (intens.)"|Also Pengo \Inoṭkaha\i \Iā-\i to kiss one another||3787
394|*nō-|to hurt|535|nō- (-t-) "to hurt, be painful"|nū- "to hurt, pain"|Also Pengo \Inōc-\i (\Inōcc-\i) to be ill, have fever; \Inōca vaca\i illness and emaciation; \Inōmer\i fever; Manda \Inūmer\i disease, fever||3793
395|*nōk-|to go first, precede|536|nōk- (-t-)||||3799
396|*nōm|flea, tick|995|nōm (pl. nōmku/nōpku)||||3796
397|*nūz-|to grind|539|nūz- (nūst-)|nūy-|||3728
398|*nūl|thread|538|nūl|nūl|||3726
399|*ok-|to carry harvest from field|551|ok- (-t-)||||931
400|*on-i|elder brother's wife|996|oni||||5251
401|*orl-i|rat|553|orli|urli|||994
402|*ōḍ-ā|goat|555|ōḍa|ūḍe|||5152
403|*ō-|to take|556|ō- (-t-)|ū- (-t-)|||984
404|*ōs-|to strike with hammer, smash (clods)|560|ōh- (ōst-)||||946
405|*pac-|to scratch|564|pac- (pacc-)|pac- "to scratch, comb hair"|Also Manda \Ipecer\i a comb||4023
406|*pac-|to divide, distribute|582|paspa- (-t-)||||3936
407|*paḍ- (caus. *paṭ-)|to break (intr.)|566|paḍ- (paṭt-)|paḍ-|Also Pengo \Ipaṭ-\i (\I-t-\i) to break (trans.)||3854
408|*pag- (caus. *pak-)|to split|587|pag- (pakt-) "to split (intr.)"|pak- "to split (firewood)"|Also Pengo \Ipak-\i (\I-t-\i) to split (trans.); \Ipaka\i piece, slice||3808
409|*paz-|to be caught (bird or animal, in snare)|0|paz- (past-)||||3852
410|*paz-i|fresh, green (leaf); unripe (fruit); cold (water)|997|pazi||Also Pengo 3 sg. neut. \Ipazet\i, 3 pl. \Ipazeŋ\i||3821
411|*pal|tooth|570||pal (pl. -ke)|||3986
412|*panḍr-a|to fear|0|panḍrā- (i.e. panḍra ā-)|panḍrā-|||3901
413|*pan-|to grow, grow up, grow big or tall|0|pan- (-t-)||||3894
414|*panǯ-|replete, satisfied|576|panj- (panc-) "to be replete, satisfied after eating"|panj- "(belly) to be satisfied"|||3837
415|*panǯ-i|pig|568|panji|panji|||4039
416|*paṇ-|frog|572|paṇa||||3955
417|*paṇt-ĭ|bowstring|998|paṇti|paṇte|||3923
418|*paṛ|fruit|575|paṛ (pl. -ku)|paṛ (pl. -ke)|||4004
419|*paṛk-a|side (as of river)|581|paṛka||||4005
420|*patek|as long as, until|0|petek, patek||||4402
421|*paṭ|top of the head|1232|paṭ kapṛa|paṭ kapṛa|||3878
422|*paṭ-a|palm of hand|584|paṭa key|paṭa kiy|Also Manda \Ipaṭa kāl\i sole of foot||3843
423|*paṭ-|to unstring (bow), close (umbrella)|585|paṭ- (-t-)||||3862
424|*paṭ-|to fall on the face|583|paṭa mṛag-||||3863
425|*pāg-|to kill|591|pāg- (pākt-) "to strike, kill"|pāg-|||4044
426|*pāl|milk|594|pāl||||4096
427|*pām-ĭ|grasshopper|0|pāmi|pāme|||4084
428|*pāṛ-|seedling|592|pāṛa||||3996
429|*pās-|to spread|590|pāh- (pāst-) "to spread out (mat, etc.)"|pāh- "to spread (mat)"|||4088
430|*pӓl-ā|bark|571|pala "bark of tree, rind"|pele "bark of tree, rind, skin"|||4010
431|*pdɔr|name|598|tōr|dar|||4410
432|*pez-|to pick up|599|pez- (pest-) "to pick up, lift"|piy-|||4446
433|*pez-|to meet|999|pez- (pest-)||||4424
434|*pein-i|cold|586|pīni|peni|||4035
435|*pen|louse|606|pen (pl. -ku)|pen (pl. -ke)|||4449
436|*pen|god|605|pen (pl. -ku)||||4438
437|*pӓṇm- (*-e-)|song|1000||peṇmi|||4068
438|*peṭ-|female young of pig|601|peṭa panji||Also Pengo \Ipeṭi\i female young of goat||4395
439|*pej-ar|siyār tree|562|peyar mar||||3801
440|*pēz-|to drive, chase|602|pēz- (pēst-) "to drive, drive away, chase"|pēy- "to chase"|||4447
441|*pē-mb-|father's elder brother|607||pēmba|||4411
442|*pēnǯ-|to strain water from boiled rice|603|pēnj- (pēnc-)|pēnj-|||4433
443|*pēnǯ-|to split|604|pēnj- (pēnc-)||||4432
444|*pik-|to be heavy|611|pik- (-t-)|pik-|||4127
445|*pil-k-|young shoot of tree|1001|pilka||||4198
446|*pinḍ-|to carry on shoulder|1002|pinḍ- (-t-)||||4161
447|*piṛ-|to peel|1003|piṛ- (-t-)|piṛ- "(snake) to slough skin"|||4182
448|*pis-|to leave, abandon|620|pih- (pist-)|pih- (-t-)|||4138
449|*piz (*-j)|rain|621||piy|||4199
450|*pij-al|straw|0|piyal|||To PGN \I*pīc-\i?|4216
451|*pīc-|to milk|622|pīc- (pīcc-) "to squeeze, milk"|pīc-|||4135
452|*pīḍ-|penis|627||pīḍa|||4220
453|*pī-ŋ|excrement|612|pīŋ|pīŋ|||4210
454|*pīṇ-|potsherd|625|pīṇa||||4385
455|*pīr-i|straw|626|pīri "straw, thatching grass"|pīri|||4225
456|*pīt-|to break wind|628|pīt- (-t-)|pīt-|||4167
457|*pocl-|lungs|633|pocla (pl. -ŋ) "lung(s)"|būlaŋ "(pl.) lung(s)"||Manda \Ibūlaŋ\i < \I*bujl-\i < \I*pujl-\i < \I*pucl-\i.|4569
458|*poḍ-|to hit (not to miss), (rain) to fall|0|poḍ- (poṭt-/poṛt-)||||4252
459|*pok-a|blister|1360|poka|puka "boil"|||4455
460|*pokl-|hen|636|pokla||||4465
461|*pol|chaff, empty grain, husk|638|pol||||4562
462|*pol-ka|hole in tree|637|polka||||4560
463|*por-|to put on an upper garment|643|por- (-t-) "to put on an upper garment, wear round the shoulders"|pur- (-t-)|||4590
464|*porl-i|a kind of insect|642|porli||||4568
465|*pot-|to bore, perforate|640|pot- (-t-)||||4452
466|*potl-en|father-in-law|646|potlen (pl. potku)|putlen|||4508
467|*poṭ-i|bird|648|poṭi|puṭi|||4489
468|*poṭk-|blister, protuberance on tree|649|poṭka||||4496
469|*pōc-|to attach|0|pōc- (-c-) "to string (bow), open (umbrella)"|pūc- "to yoke"|Also Pengo \Ipōcpa-\i to fix, attach (load on kavṛi)||4578
470|*pōc-|to forget|1004|pōc- (-c-)||||4475
471|*pōd-|mother-in-law|647|pōda|pūdaṛ|||4508
472|*pōk-|to send|1005|pōk- (-t-)|pūk- (-t-)|||4572
473|*pōṭ-|belly|563|pōṭo|pūṭa|||4494
474|*pɔdn-/*padn-|time|1006|padna/podna||||4559
475|*pɔm-|to embrace|639|pom- (-t-)|pam-|Also Pengo intens. \Ipopka-\i||4527
476|*pɔt-a|calf of leg|645|pota|pata|||4513
477|*prāl|ringworm|659|prāl||||4609
478|*prānǯ|mosquito|662|prānj (pl. prāsku)||||4607
479|*prek- (*perk-)|to seek|579|prek- (-t-)||||3956
480|*prej-i|husked rice|661|preyi|preyi|||3982
481|*prēmb-|to smear|0||prēmba-|||4608
482|*prog- (*porg-)|to swell|644|prog- (prokt-)||||4543
483|*prɔ-|to sell|660|pro- (-t-)|pre-|||4536
484|*pṛak-|to cover|630|pṛak- (-t-)|pṛak- "to cover, close (eyes)"|||4008
485|*pṛān|old|632|pṛān "old (of things)"|pṛān(ca)|||3999
486|*pṛānǯ-|to hunt, wander about in search of game|0|pṛānj- (pṛānc-)||||4612
487|*pṛēn (pl. *pṛē-ku)|bone|666|pṛēn (pl. pṛēku) "a bone, stone of fruit"|pṛēn (pl. pṛēke)|||4418
488|*pṛis-/*pṛisk-|spark|668|pṛiski|pṛihe, pṛihki|||4191
489|*pṛī|worm, insect|617|pṛī (pl. pṛiku)||||4312
490|*pṛī- (caus. *pṛī-p-)|to break|631|pṛī- (-t-) "to be split open, (egg) to hatch"|pṛip- "to break (tr.), hatch out"|Also Pengo \Ipṛip-\i (\I-t-\i) to hatch eggs||4194
491|*pṛīl-a|green mango|667|pṛīla|pṛīla|||4184
492|*pṛuk|to be silent|669|pṛuk in-|pṛuk in-|||4613
493|*puc-i|anthill|670|puci||||4335
494|*pumbel|foam|671|pumel|pumbel|||4280
495|*pun- (p.t. *puc-)|to know|672|pun- (puc-)|pun- (puc-)|||4344
496|*pusk-|gourd|1007|puska||||4332
497|*pusk-i|to swill out the mouth|0|puski ki-||||4241
498|*put-|(pl.) eyebrows (\Ikaṇku\i...)|1008|putehiŋ, puteliŋ, butuhiŋ||||4278
499|*puṭ-|chaff|1009|puṭa||||4491
500|*puṭ-i|a measure of capacity|1010|puṭi||||4262
501|*puṭk-i|a kind of rat|650|puṭki|ṭepra puṭki|||4257
502|*puj|flower|677|puy (pl. -ku)|puy|||4345
503|*pūk-i|bee|0|pūki vīza|pūki vīje|||4345
504|*pūn|new|675|pūn|pūn|||4275
505|*pūṇel|navel|679|pūṇel|pūṇel|||4460
506|*pūṭ-|to yoke|680|pūṭ- (-t-)||||4361
507|*raz-|to cut (e.g. with saw)|681|raz- (rast-)||||212
508|*rec-|to scrape (tongue with toothstick), sharpen (pencil)|682|rec- (-c-)||||228
509|*rēk-a|Buchanania latifolia|780|rēka mar|rēko|||2628
510|*ri|two|688|ri|ri|Also Pengo \Irikar\i two men; \Irinḍek\i two women; \Irinḍaŋ\i two (neut.); Manda \Irikar\i two men; \Irikehiŋ\i two women||474
511|*riŋ- (caus. *rik-)|to untie|782|riŋ(g)- (riŋt-) "to be unloosened"|rik-|Also Pengo \Irik-\i (\I-t-\i) to loosen, untie||2557
512|*rīk-/*rīŋ-|charcoal|781|rīka, rīŋga|rīŋgaŋ "(pl.) charcoal"|||2552
513|*ro|one|691|ro, ronje|ru, runḍi|Also Pengo \Irokan\i one man; \Ironjel\i one woman; \Iroki lōk\i one person; \Iroce\i at one time; \Irobe\i at one place; Manda \Irukan\i one man; \Irunḍel\i one woman||990
514|*rōnḍ-a|egg|0|rōnḍa|runḍa|||664
515|*rōs-|to build; make up|692|rōh- (rōst-) "to make, construct, build"|rūh- "to build (house), make (bread)"|||5177
516|*rōs-iŋ|day before yesterday|0|rōhiŋ||||5175
517|*ruz-|to plant|859|ruz- (rust-)||||763
518|*rū-|hot; to ignite; sweat|693|rūc- "to sweat"|rund- "to ignite, set alight"|Also Pengo \Irūmi\i sweat||656
519|*ṛVj|wind|917|ṛoy|ṛiy|||5312
520|*ṛa-z-|(earth) to crack|925|ṛazba-||||5432
521|*ṛak-|to boil|929|ṛakhi-||||5302
522|*ṛanǯ-|to bail out (water) by sprinkling|10||ṛanj-|||305
523|*ṛas-|to be sharp|884|ṛah- (ṛast-)|ṛah-|||5306
524|*ṛav-|to excavate|700|ṛav- (-t-), ṛov- (-t-) "to excavate earth, scoop out (pulp from gourd)"|ṛav-|Also Pengo \Iṛava\i, \Iṛova\i heap of excavated earth; Manda \Iṛava\i heap of excavated earth||3122
525|*ṛāk-|to offer worship, sacrifice|397|ṛāk- (-t-)|ṛāk-|Also Pengo intens. \Iṛābga-\i; \Iṛākel jāni\i priest who offers sacrifice||297
526|*ṛāp-i|cowdung|699|ṛāpi|ṛāpi|||2402
527|*ṛāṭ-is-iŋ|last year|0|ṛāṭihiŋ|ṛāṭihiŋ|||5153
528|*ṛetos-|eaves|1011|ṛetohiŋ||||5183
529|*ṛēŋ- (caus. *ṛēk-)|to lie on the back|398|ṛēŋ(g)- (ṛēŋt-)|ṛēŋ(g)- "to fall backward"|Also Pengo \Iṛēk-\i (\I-t-\i) to lay on the back||5499
530|*ṛinǯ-|to be white|703|ṛinj- "to be white, bright"|ṛinj-|Also Manda \Iṛuŋgini\i white||5496
531|*ṛīg-ā|shadow|704|ṛīga|ṛīge|||3679
532|*ṛīz-|to draw a line|0|ṛīz- (ṛīst-)||||505
533|*ṛīl-|cucumber|1012|ṛīla||||2583
534|*ṛo-c-|to plait, sew|1013|ṛoc- (-c-) "to sew; plait, weave"|ṛuc- "to plait"|||1012
535|*ṛo-|to hang up|1014|ṛo- (-t-)||||5184
536|*ṛonǯ-|to scatter, sow broadcast, bail out (by sprinkling)|533|ṛonj- (ṛonc-)||||3790
537|*ṛug- (caus. *ṛuk-)|to hide (intr.)|705|ṛug- (ṛukt-)|ṛug-|Also Pengo \Iṛuk-\i (\I-t-\i) to hide (tr.); Manda \Iṛuk-\i to hide (tr.)||3714
538|*ṛuk-ā|snare for birds|0|ṛuka|ṛuke|||5182
539|*ṛūc-/*ṛūz-|to smear, plaster|707|ṛūc- (-c-), ṛūcpa- "to smear with cowdung"|ṛūhpa- "to plaster"|Also Pengo \Iṛoh-\i (\Iṛost-\i) to rub, scrape (e.g. strings of violin); \Iṛūz-\i (\Iṛūst-\i) to scrape, plane||686
540|*ṛū-|to plough|709|ṛū- (-t-)|ṛū-|||688
541|*ṛū-|to fall off (hair, leaves)|91||ṛū- (-t-)|||2900
542|*ṛūm-|tick|861||ṛūme|||591
543|*sab-|to decay|710|hab- (hapt-) "to go bad"|hab-|||2341
544|*saz-i|way, path|1015|hazi||||2417
545|*sak|neck|1364|hak|||Also Pengo \Ihak-naṛa\i throat|2282
546|*sak-i|hunger|711|haki|haki|||2429
547|*sal- (p.t. *sac-)|to go|712|hal- (hac-)|hal- (hac-)|||2781
548|*saṇ-k-|straight|0|haṇku||||2316
549|*sap-aṛ|a slap|1016||hapaṛ|||2335
550|*sar-|bridge|0|hara||||2463
551|*saṛ- (caus. *sraṭ-)|to fall off|1017|haṛ- (-t-) "(leaves) to fall, (hair) to fall out"|haṛ- (-t-) "(leaves) to fall off"|Also Pengo \Iṛat-\i (\I-t-\i) to cause (leaves) to fall, knock out (sesamum seeds)||2404
552|*sas-|to beat|717|hah- (hast-)||||2421
553|*saṭv-|ladle; oar|718|haṭva||||2309
554|*saŋ-oṇ|a kind of basket|719|haŋgoṇ|haŋguṇ|||2288
555|*sāc|necklace, beads|0|hās (pl. -ku)|hāc (pl. -ke)|||2434
556|*sā-|to die, (fire) to go out|720|hā- (-t-)|hā-|Also Pengo \Ihātpa-\i to extinguish (fire); Manda \Ihāt-\i to extinguish (fire)||2426
557|*sām-aṇ|a kind of large tortoise|740|hāmaṇ||||5155
558|*sāṇ-el|sieve|723|hāṇel||||2370
559|*sār-|to be left over|725|hār- (-t-)||||2461
560|*sār-i|bread, cake|738|hāri|hāri|||2465
561|*se-|to be sweet|1156||he-|||3268
562|*sez-|to be caught, entangled (e.g. in snare)|731|hez- (hest-)||||2793
563|*sendr-a|cloth|732|hendra|handra, hendra|||2771
564|*sen-|to ripen, become ripe, be ripe|736|hen- (-t-)|hen- (-t-)|||2765
565|*sen-k-|mortar|728|henki|heni|||2799
566|*sen-|to shave|749|hen- (-t-)||||2522
567|*serg-|sāl tree|714|hergi mar||||2420
568|*sēc-i|winnowing fan|739|hēci|hēci|||2019
569|*sēg-|to whisper|1411|hēbga (?< hēg-b-)||||2804
570|*sēǯ-un|wife's younger brother|737||hējun|||2819
571|*sēk-|to itch|745|hēk- (-t-)|hēk- "to itch; to scratch"|Also Pengo \Ihēpkor\i cow itch, Mucuna pruriens||2800
572|*sēn-i|many|1018|hēni||||2824
573|*sēip-|to sweep|741|hīp- (-t-)|hēp-|||2599
574|*sēr|set of plough and bullocks|743|hēr||||2815
575|*sic-|to threaten|0|hic- (hicc-)||||2639
576|*sig-|to lower head|747|hig- (hikt-)||||2493
577|*sik- (*c-)|to laugh|81||hik- (-t-)|||2492
578|*sil-|not to be|748|hil, (in songs) sil-|lā-|||2559
579|*simṇ-a|child, young of animal|1019|himṇa|himṇa|Also Manda \Ihipṛa\i son||2543
580|*siner|to boil, come to the boil|755|hiner/hener vā-||||2593
581|*sip-ṛi|leaf-cup|88|hipṛi||||2619
582|*sī-|to give|752|hī- (-t-), in songs sī-|hī-|||2598
583|*sīgṇ-|mosquito|0||hīgṇe|Also Manda \Iheŋṇe\i a fly||2506
584|*sīr|nit|760|hīr (pl. -ku)|hīr (pl. -ke)|||2625
585|*sīr-|to call (intensive base only)|1020|hīrba-||||2631
586|*sīrel|bandicoot|758|hīrel orli||||2630
587|*sīv-en|pus|762||hīven|||1606
588|*sol|fireplace|767|hol (pl. -ku)|huli|||2857
589|*som|Arum colocasia|776|hom kūṇi|hūpu|||2881
590|*sonḍ-|to cut up (meat)|769|honḍ- (-t-)||Also Pengo intens. \Ihoṭka-\i||2841
591|*son-|to run, flee|771|hon- (-t-)|hun-|||2861
592|*soj|porcupine|773|hoy|huy|||2852
593|*sojd-|ant|772|hoyda||||2682
594|*soj-|to be sour, become sour|1021|hoy- (-t-)||||2860
595|*sōc-|to get drunk|774|hōc- (hōcc-)|hūc-|||2853
596|*sōk-|to wash, rub, rub on (oil)|242|hōk- (-t-)||Also Pengo intens. \Ihōbga-\i||2872
597|*sōl-|fine, beautiful|0|hōl- (-t-) "to be beautiful, fine, good, excellent"|hūlpa- "to be fine, beautiful"|||2890
598|*sōṇ-|to enter|775|hōṇ- (hōṭ-)||Also Pengo \Ihōṇga-\i to enter (with motion particle); caus. \Ihōṭpa-\i||2876
599|*sōṛ-|to drip|0|hōṛ- (-t-)||||2893
600|*sɔm-a|bison|768|homa|hama|||2849
601|*sṛƆ-|to come out|785|hō- (-t-)|ja- (-t-) "to come out, (sun) to rise"|Also Pengo \Ihop-\i (\I-t-\i) to bring out, take out||2867
602|*suz-|to roast|787|huz- (hust-), huzba-||||2654
603|*suz-|whirlwind|694|huza-vaṇi||||2743
