NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
214|*guṭur-seṭ-ĭ|pigeon cooing|2347||gugrceṭy "pigeon (lit. the bird that says \Igugr\i)"|kuṭur siṭi̇̇̇ "cooing of pigeons (lit. bird that says \Ikuṭur\i)"||Assimilation in Kota.|2763
215|*gūk-|owl|1633||gumn|kӯx||Kota \Igumn\i < \I*gūk-mǝn\i. Toda \Ikӯx\i < \I*gūk-ӓ\i.|1871
216|*gur̲ǐ|aim|1608|*gur̲-ǐ, *gur̲-ǐ-v|guryv "good aim"|kur̲y "aim"|Also Toda \Ikur̲p\i a mark (made by a person to show he was there)|Kota \Ikur\i 'strip of embroidery' hardly belongs here.|1847
217|*guḍǝk|noise of drinking|1449||guṛakn "noise of drinking so that water plops inside"|kuṛk "one swallow of water"|||1658
218|*kuḍ-|shed|1446||kuṛjl "shed, bathroom of Kota house"|kwɨṣ "shed for small calves"|Also Kota \Ikuṛm\i family; \Ikuḍḷ\i front room of house; \Ikuṛḷ\i hut; Toda \Ikuṣ\i room (in dairy or house); \Ikuḍṣ\i outer room of dairy, in: \Ikuḍṣ was̲\i fireplace in outer room of lowest grade of dairies, \Ikuḍṣ moṇy\i bell(s) in outer section of tī dairy, used on non-sacred buffaloes; ? \Ikwɨd̲y\i a family of children|Kota \Ikuṛjl\i = Malayalam \Ikuṭiññil\i (< \Ikuḍ-inǯil\i?). Toda forms unclear; it is not excluded they actually go back to the same prototype, because final \I-ṣ\i is extremely rare and most probably reflects a complex cluster.|1655
219|*guḍĭ|temple|1447||guṛy|kuṛy "Hindu temple"|||1655
220|*guṭ-|stake, stump|1464|*guṭ-ǝl [\I"stake"\i]; *guṭ-ǐ [\I"stump"\i]|guṭḷ "stake to which animal is tied, any large wooden peg"|kuṭy "a stump"|||1676
221|*gūs-|to lie in a heap|1637|*gūs- (\Ip.\i *gūs-ǐ-); *gūs-ǝl [\I"heap"\i]|gūc- (gūc-) "to lie or fall in a mass, (rain) pours down; put down in a mass"|kūs- (kūsy-) "to be heaped up"|Also Kota \Igūcl\i heap of fuel; Toda \Ikūsɨl\i a heap||1877
222|*gūḷĭ (?)|bull|1674||gūḷy "bull belonging to a dead man, that is released from work until its death"|kūḷy "stud bull"||Possible borrowing from SDR - in Toda, \I*kūɫ̣y\i would have been expected.|1917
223|*gūḍ|nest|1642|*gūḍ (\Iobl.\i *gūṭ-)|gūṛ (\Iobl.\i gūṭ-) "nest, large hollow, belly (of man or animal), cupboard, shelf"|kūḍ|Also Kota \Igūṛārm\i body cavity; ? Toda \Ikwāṭ-ās̲\i calf-shed; cowshed of Badaga village||1883
224|*i-|near the speaker|371||i- "near the speaker (in \Iivḷ\i, \Iivr\i, \Iid\i this man, woman, etc.)"|i- "same meaning as in Kota"|Also Kota adj. \Ii\i; \Iī\i this place; \Iīk\i to this place; \Iītr\i from this place; \Iiōn\i, \Iiōḷ\i, \Iiōr\i, \Iīd\i this man, woman, etc.; \Iijn\i hence; \Iit̲\i this direction; \Iit̲āk\i a little this way; \Iit̲ltr\i from this direction; \Iitervī\i in this neighbourhood; \Iiḷy\i now; \Iiḷyōn\i, \Iiḷyōḷ\i, \Iiḷyōr\i, \Iiḷyd\i this man, woman, etc., now; \Iilā\i lo here!; \Iinm\i (obl. \Iint-\i) like this, this fashion, this amount; \Iintk\i to this extent; \Iinān/inōn\i, \Iinōḷ\i, \Iinōr\i, \Iind\i such an important man, woman, etc., as this; \Iinā\i, \Iininā\i adj. such and such (as this); \Iintā\i so great, such and such; \Iīpāṭy\i so big as this; \Iintal\i so many as this; \Iinmūṛ\i like this; \Iidejn\i from this time on; \Iināk\i by now; \Iindēl\i this last night, yesterday night; this coming night (cf. \Iandēl\i evening); Toda \Iiϑ\i (obl. \Iin-\i) this person or thing; pl. \Iiϑām\i; adj. \Ii\i; \Iiϑɨd\i because of this; \Iiϑī\i like this; \Iit̲\i in this direction; \Iit̲ɨk\i a little in this direction; \Iil\i in this place, here; \Iit̲s̲n\i, \Iis̲n\i from this direction; \Iɨtfok\i now; \Iɨt\i this many; \Iɨtk\i this much; \Iɨtks̲\i at this distance; \Iɨtɨtk\i only so much as this; \Iɨtōf\i such as this; \Iɨ(g) gɨs\i in this manner; \Iɨs̲ ɨn-\i (\Iɨd̲-\i) to say like this; ? to have a refreshing feeling; \Iɨs̲ym\i exactly; \Iīnk\i to this place; \Iīnār̲\i towards here, by this road; ? \Iɨty\i few, small in quantity; \Iīṇy\i now; \Iītoṭ\i this bank (for possible analysis, cf. 1); \Ii mun\i \Inōṛ\i this world, the world of the living (cf. 1)|For PN derivatives see PN \I*a-\i.|410
225|*irb|iron|436||ib|ɨb "needle"||See PN \I*karb\i for further explanations.|486
226|*iḍ-|to put|398|*iḍ- (\Ip.\i *iṭ-)|iḍ- (iṭ-) "to put, fix"|ɨḍ- (ɨṭ-) "to put, place, give, throw, (sun) shines, (wind) blows, wear (jewelry anywhere except around neck); auxiliary of perseverative aspect"|Also Kota \Iīṛ\i shot; equal, equality; Toda \Iiḍc-\i (\Iiḍč-\i) to set fire to, smoke (tobacco)||442
227|*iḍ-|to beat|399|*iḍ- (\Ip.\i *iṭ-)|iḍ- (iṭ-)|ɨḍ- (ɨṭ-) "to hit against"|Also Kota \Iīṛ\i a blow; \Iiṛyl\i act of striking a blow||443
228|*ind̲ĭ|today|372||ind̲y|ɨd̲|Also Kota \Iind̲ōṛ\i from today||410
229|*in|other; hereafter|373||in|ɨn|Also Toda \Iɨnm\i yet (with neg. vb.)||410
230|*ig-|to separate|375|\Iintrans. \i*ig-ǝ-v- (\Ip.\i *ig-ǝ-d-), \Itrans.\i *ig-ǝ-p- (\Ip.\i *ig-ǝ-t-)|ig- (igy-) "to separate (intr.) from others leaving a space between"|ɨx- (ɨxϑ-) "to separate oneself from others"|Also Kota \Iigc-\i (\Iigc-\i) id. (tr.); Toda \Iɨxf-\i (\Iɨxt-\i) to make people separate, make people make room, open loop or bangle|Past stem \Iigy-\i in Kota is secondary (the stem was probably remodelled after the development \I*igǝv-\i > \I*igv-\i > \I*ig-\i had already taken place).|411
231|*ir-|to exist; to sit|430||ig- (ir- \Iin one form\i; it-) "to exist, be in a place"|ɨr- (ɨϑ-) "to sit, remain, live; perfective-continuative auxiliary"|Also Kota \Iirp\i collection of property; \Iirpgārn\i rich man; ? \Iigc-\i (\Iigc-\i) to ignite (\Itic\i fire); Toda \Iɨṣt-\i (\Iɨṣty-\i) to seat, keep in a place; \Iɨṣk\i lifetime; \Iīṣk\i dwelling, act of dwelling|Kota \Iig-\i < \I*ir-ǝ-K-\i, although the development is irregular. Toda \Iɨṣt-\i < \I*ir-ǝ-t-\i (= Tam. \Iiruttu\i).|480
232|*ir- (*-r̲-)|tight, difficult|474|*ir-ǝ-g- (\Ip.\i *ir-ǝ-g-ǐ-)|irg- (irgy-) "to become tight, be compressed, be tightly wedged in"|ikoṭ "difficulty, narrowness of path"|Also Kota \Iirk-\i (\Iirky-\i) to tighten (clothes), pinch, press tightly in crowd; \Iikaṭ\i obstruction, esp. on narrow path so that one cannot pass|Kota \Iikaṭ\i, Toda \Iikoṭ\i < PN \I*i-kaṭ\i < \I*ir-kaṭ\i. More probable, however, is that both forms are borrowed from Tamil \Iikkaṭṭu\i, because the loss of -r- in Toda is irregular (PN \I*-rk-\i > Toda \I-šk-\i, PN \I*-rǝk-\i > Toda \I-ṣk-\i).|524
233|*il-|not to exist, not to be in a place (complete negative paradigm)|2180||il-|il-|Also Toda \Iiloϑ\i not being; \Iid̲y\i which is not (in song)|Irregular \Ii-\i in Toda.|2559
234|*irǝl|night|2178||irl|īɫ̣|Also Kota \Iiḷmārm\i night, the whole night; Toda \Iiṣϑās̲\i night-time; \Ierl\i Irula; fem. \Ierč\i (Sak. \Ierɫ̣\i, \Ierɫ̣č\i); ? \Iermoḷn\i sand (obl. \Iermoḷt-\i)||2552
235|*irm|female buffalo|725||im|ɨr|Also Toda \Iɨ\i female buffalo (followed by buffalo name in vocative; in songs)||816
236|*in-|to say|767|*in- (\Ip.\i *id̲-)|in- (id̲-), -n- (-d̲-) "to say (so-and-so), be said to be (so-and-so)"|ɨn- (ɨd̲-) "to say (so-and-so)"|||868
237|*inḍ-|to twist (something wet), oppress by uninterrupted action upon|3513||iṇḍ- (iṇḍy-), iṇḍc- (iṇḍc-)||||4183
238|*nūr̲|100|3128||nūr|nūr̲|||3729
239|*ir̲b|ant|764||irb|ɨrb||Final \I*-r̲b\i is reconstructed (a) based on external data and (b) since \I*-rb\i regularly > Kota, Toda \I-b\i (see \I*irb\i, \I*karb\i).|864
240|*urǐ-|to blow|675|*ur-ǐ-p- (\Ip.\i *ur-ǐ-p-ǐ-)|irp- (irpy-) "to blow through (tube, wind instrument)"|ürp- (ürpy-) "to play (flute)"|||751
241|*iḍĭ-|to crash, fall|388|\Iintrans.\i *iḍ-ǐ- (\Ip.\i *iḍ-ǐ-d-), \Itrans.\i *iḍ-ǐ- (\Ip.\i *iḍ-ǐ-t-)|iṛy- (iṛc-) "to crush in a mortar, break, destroy in one movement (e. g. wall), be broken"|ɨṛy- (ɨṛs-) "to fall down (as a house)"|Also Kota \Iiṛyv\i large ditch caused by erosion; Toda \Iɨṛy-\i (\Iɨṛc-\i) to pull down (a ruined house)||432
242|*iḍĭ-|to thunder|394|*iḍ-ǐ- (\Ip.\i *iḍ-ǐ-t-); iḍ-ǐ [\I"thunder"\i]|iṛy- (iṛc-) "(heart) beats fast, thunder"|ɨṛy- (ɨṛc-)|Also Toda \Iɨṛy\i thunder||438
243|*īn-|to bear young|501|*īn- (\Ip.\i *īnd̲-); *īt̲ (n. der.)|īn- (īnd̲-) "(animal) bears young"|īn- (īd̲-) "to bear (calf)"|Also Kota \Iīt̲ may\i (woman or buffalo) which having borne once or twice is barren (\Imay\i) thereafter; Toda \Iīt̲-\i (\Iīt̲y-\i) (goddess) brings forth child, (god) makes to bear (calf); \Iīt̲ ōy-\i to be about to calve; \Iīt̲ ēp ɨr\i buffalo within a month of calving; \Iīt̲\i slime passed in dysentery or by buffalo during calving|The verbal stem \Iīt̲-\i in Toda is most probably secondary (a backformation from the nominal derivate \I*īt̲\i).|555
244|*īp-|fly|483||īp|īpy|||533
245|*oṛǝk|a k. of measure|613||oḷk "a small measure of capacity"|wak "small bamboo vessel"|Also Kota \Iīr ōk\i two oḷk||681
246|*īruv|liver|493||īruv|ǖruf|||546
247|*īj-|to subside|387|*īj- (\Ip.\i *īc- < *īj-t-)|īy- (īc-) "(flood) subsides"|? eӡ "in song-unit: \Ieӡe xen\i thick mass of buttermilk (= \Imoӡe xen\i, \Imoӡ\i buttermilk, ken, cf. 1987; cf. esp. Tamil \Iiñcu\i to be curdled, as milk)"|||430
248|*karb|sugar-cane|1137||kab|kab|Also Toda \Ikapoṭy\i jaggery|External data shows that the PSDR form for the root was \I*kar(u)mb\i; that \I*-r-\i was still present on the PN level is evident from the Toda form (PN \I*kab\i would have yielded Toda \Ikob\i).|1288
249|*kaj-|to be bitter|1096|*kaj- (\Ip.\i *kaj[ǐ]t-)|kac- (kac-)|koy- (koc-)|Also Kota \Ikac vāy\i mouth when it has bitter taste from beer, etc.|Kota \Ikac-\i is irregular; final \I*-j-\i of the root is in most cases preserved in this language. Influence of the past stem?|1249
250|*kas-ǝmb-|to break rules|946||kacp- (kacpy-) "to be exposed to pollution (funeral, disease), have forbidden sexual intercourse"|kasp- (kaspy-) "to break rules of the sacred dairies"|Also Kota \Ikacpl\i pollution caused by having sexual intercourse on day of god-ceremony; Toda \Ikaspɨl\i transgression of dairy rules|Although there is no reliable external data to confirm the suffixal \I-mb-\i, it seems to be the only possibility to account for \I-p-\i in both languages.|1088
251|*kāṇ-|to see|1273|*kāṇ- (\Ip.\i *kanḍ-), \Icaus.\i *kāṭ- (\Ip.\i *kāṭ-ǐ-)|kaṇ-/kāṇ- (kaḍ-)|kōṇ- (koḍ-)|Also Kota \Ikāṭ-\i (\Ikāc-\i) to show; \Ikaḍ at̲-\i (\Iac-\i), \Ikaḍ ayr-\i (\Iarc-\i) to find out; \Ikāṇky\i payment of vow to god; \Ikaŋgāc\i wonderful sight such as never seen before; Toda \Ikōṭ-\i (\Ikōṭy-\i) to show; \Ikōṇky\i offering to Hindu temple or to Kurumba; \Ikoṇy\i act of foretelling or of telling the past|Past stem \I*kaḍ-\i in Kota (instead of \I*kaṇḍ-\i) probably due to some kind of internal samdhi.|1443
252|*kar-|black|1125||kayr "charcoal, soot"|kary- (kars-) "to be singed, scorched, fried too much"|Also Kota \Ikar\i black (or with 1395); \Ikagutm\i darkness, dark place; Toda \Ikary-\i (\Ikarc-\i) to heat (new pot, etc., to purify it); \Ikary\i charcoal; \Ika\i, \Ikax\i, \Ikaxt\i black; \Ikabɨn\i iron; \Ikagār̲f\i darkness; \Ika-pic\i Jasminum bignoniaceum; ? \Ikoš fɨṛ-\i (\Ifɨṭ-\i) to dawn (lit. the darkness goes away); ? \Ikāy maḍ\i, \Ikāye maḍ\i the black-headed one (i. e. the Toda; in song; \Imaḍ\i head)|Toda \Ika-\i, etc., all result from sandhi (in cases like \Ikabɨn\i 'iron' < \I*kar-ǝm-pon\i, etc.)|1278
253|*kartal|darkness (in songs)|1126||katal, katalg|kaštal, katal||Most probably derivative of \I*kar-\i 'black'.|1278
254|*kār|black|1127||kār|kōr "young grass at first rain after winter frosts"|Also Kota \Ikār may\i rain of SW. monsoon; \Ikārŋgal\i n. pr. rock at Mēnāṛ village||1278
255|*kaǯ|barley|958||kaj|koj|||1106
256|*kaǯ|rice-porridge|959||kaj nīr "water poured off rice"|koj|||1107
257|*kak-|to cough; to vomit|938|*kak- (\Ip.\i *kak-ǐ-), \Icaus.\i *kak-ǝc- (\Ip.\i *kak-ǝc-ǐ-)|kak- (kaky-) "to cough, regurgitate"|kak- (kaky-) "to vomit"|Also Kota \Ikakc-\i (\Ikakc-\i) to make to cough; Toda \Ikakc-\i (\Ikakč-\i) to make to vomit||1079
258|*kak-|to rip off|0|*kak-ǝc- (\Ip.\i *kak-ǝc-ǐ-)|kakc- (kakc-) "to snatch or pull hastily"|kakc- (kakč-) "to take off (hinges of box)"|||1349
259|*kakadǝg|a k. of plant|937||kakadg, peṇ gakadg "Pogostemon speciosum (the latter 'female k.')"|kakaϑx "Pogostemon speciosum"|Also Kota \Iam gakadg\i Plectranthus macraei ('our k.'); \Ikāṛ gakadg\i Pl. nepetaefolius ('jungle k.')||1077
260|*kal|stone|1144||kal "stone, milestone"|kas̲|Also Toda \Ikal\i milestone, bead; \Ikalɨr\i round river stone|Toda \Ikal\i is most probably borrowed from Tamil and should be deemed secondary anyway.|1298
261|*kaɫ-|to learn|1143|*kaɫ- (\Ip.\i *kat̲-), \Icaus.\i *kal-ǝc- (\Ip.\i *kal-ǝc-ǐ-)|kal- (kat̲-)|kaɫ- (kat̲-)|Also Kota \Ikalc-\i (\Ikalc-\i) to teach; \Ikalyv\i (? \Ikaḷyv\i) education; \Ikaḷyv\i skill, ability to do things without being taught; Toda \Ikalc-\i (\Ikalč-\i) to teach; \Ikalfy\i education||1297
262|*kaḷ-|to take out; to strip|1212|*kaḷ-ǝ-p- (\Ip.\i *kaḷ-ǝ-t-) [\I"to take out"\i]; *kaḷ [\I"weeds; leafless"\i]|kaḷv- (kaḷt-) "to take out or scoop out (with finger, stick, beak), flick away dirt from liquid or semi-liquid (e. g. clay)"|koɫ̣ "without leaves (of tree in winter), half dry, half green (when tree is being killed by stripping bark)"|Also Kota \Ikaḷ\i weeds||1373
263|*kaḷ-|to steal|1211|*kaḷ-ǝ-v- (\Ip.\i *kaḷ-ǝ-d-); *kaḷ-ǝṇ [\I"thief"\i]|kaḷv- (kaḷd-) "to steal; n. state of being habitually a thief, trickiness"|koḷ- (koḷd-)|Also Kota \Ikaḷṇ\i thief; fem. \Ikayḷ\i; \Ikaḷ cinm\i adulterated gold; \Ikaḷga(ṇ) ṇōṭ-\i to peep; Toda \Ikoḷṇ\i thief; \Ikoḷy\i petty thief||1372
264|*kaṛtĭ|ass|1204||kaṛt|katy|Also Kota \Ikaḷd\i a term of abuse|Kota \Ikaḷd\i probably secondary (borrowed?)|1364
265|*kaḷ-ǝm|threshing floor|1215||kaḷm "place for threshing, dancing"|koɫ̣ṇ (\Iobl.\i koɫ̣t-)|Also Kota ? \Ikavāl\i ground in front of house (i. e. \Ika+vāl\i; for the latter see 5354)|Toda \Ikoɫ̣ṇ\i is unclear - it corresponds better to the Tamil variant \Ikaḷan̲\i than to the more frequent \Ikaḷam\i, but in that case it could simply be a borrowing from Tamil.|1376
266|*kaṛ-|to purify|1209|*kaṛ-t- (\Ip.\i *kaṛ-t-ǐ-)|kaṛt- (kayt-/kaṛty-) "to wash (tr.; hands, face, child)"|koṛ "a purifier, in: \Ikoṛ oṭ-\i to purify (dairy) with dried buffalo dung (lit. to pour purifier; for \Ioṭ-\i, see 97)"|Also Kota \Ikaḷv āl\i bathroom||1369
267|*kaṛ-ĭ-|distant; to disappear|1197|*kaṛ-ǐ- (\Ip.\i *kaṛ-ǐ-d-)|kanāṛ- (\Iobl.\i kanāṭ-) "distant place where no one lives (i. e. \Ika-\i + \Ināṛ\i)"|koḍy- (koḍs-) "(period of time) passes, disappear from sight, pass successfully over all the difficulties of life"|Also Kota \Ikavc-\i (\Ikavc-\i) to finish (ceremony); Toda \Ikoḍy-\i (\Ikoḍc-\i) to disappear from sight, die; \Ikoḍc-\i (\Ikoḍč-\i) to make dispppear, chase out of sight, drive (buffalo) over hill, finish funeral|Kota \Ikavc-\i is somewhat dubious.|1356
268|*kan-|dream|1245|*kan-ǝs-ǝn; *kan-av|kancn|konof (\Iobl.\i konot-)|||1407
269|*kanӓ-|to roar, bellow|1247|*kan-ӓ-v- (\Ip.\i *kan-ӓ-d-?)|kanv- (kand-) "(cow or buffalo) bellows for calf"|kenf- (kent-) "to roar (wild animal, child), make roaring sound in throat when one has a cold; \Ikenp ӧṛt-\i (buffalo) coughs"||Some irregularities here: very much unclear is the \I-d-\i in the Kota past stem (both Toda and external data point to the transitive type of conjugation), as well as the vocalism \I-e-\i in Toda; normally, \I*a\i > \Ie\i only under the influence of a following \I*-ǐ-\i, never \I*-ӓ-\i. Note, however, that the same irregularity is also met in Kodagu and Kannada, so we might be dealing with an old dialectal variation.|1409
270|*kaṇ|eye, loop in string|1011||kaṇ|koṇ|||1159
271|*kaṇ-nīr|tears|1012||ka(ṇ) ṇīr|keṇīr||Note the regular change \I*a\i > \Ie\i in Toda (before an \I-i-\i in the 2nd syl.).|1159
272|*kaṇ|joint of bamboo or cane|1013||kaṇ|koṇ|||1160
273|*nāṇ-|modest, shy|3056|*nāṇ- (\Ip.\i *nāṇ-ǐ-)|nāṇḍ- (nāṇḍy-) "to feel modesty before elder person"|nōṇ- (nōṇy-) "to be ashamed, be shy"|Also Kota \Ikaṇāṇ(ḍ)-\i (\Ikaṇāṇḍy-\i) to be modest, abashed, feel self-effacing (\Ikaṇ\i eye + \Ināṇḍ-\i); \Ikaṇāṇm\i (< \Ikaṇ\i + \Ināṇm\i; obl. \Ikaṇāṇt-\i) sense of shame; \Ināckm\i (obl. \Ināckt-\i) shame; Toda \Inōṇ\i, \Inōšky\i shame|Kota \Ināṇḍ-\i by analogy with the past stem (where \I-ṇḍy-\i regularly < \I*-ṇĭ-\i).|3639
274|*kaṇӓ|knife|1019||kaṇkeyt, kaṇkīt "sickle (i. e. handle + \Ikaty\i knife)"|kaṇ koty "dagger-shaped knife burned with corpse (cf. 1204)"|Also Toda \Ikaṇ ob\i knife used in child's hair-cutting ceremony (cf. 178)||1166
275|*katĭ|knife|1055||katy "billhook knife"|kaṇ koty "dagger-shaped knife burned with corpse (cf. 1166)"|Also Kota \Ikatīr-\i (\Ikatrc-\i; < \Ikaty-tayr\i-, \Ikaty-tarc-\i) to cut; \Ikaṇkeyt\i, \Ikaṇkīt\i sickle (see 1166)||1204
276|*kap-|butterfly|1063|*kap-ǝṭ; *kap-aṇ|kapṭ "butterfly, moth"|kopaṇ|||1216
277|*kar(ӓ)|bank; stripes|1141||kar "coloured woven stripes on end of cloth; pair-word with \Ikāṛ\i field"|kar "coloured woven stripes on end of cloth; bank of river, horizon line, direction"|||1293
278|*kar̲-|dirt; black|1234|*kar̲ [\I"black; dirt"\i]; *kar̲-ǝp- (\Ip.\i *kar̲-ǝt-) [\I"to become black"\i]|karp "blackness, a demon"|kar̲ "dirt, spot, rust"|Also Kota \Ikarpn\i name of a man; fem. \Ikaryp\i; \Ikarpṭy\i black person (male or female); \Ikar\i black; Toda \Ikar̲f-\i (\Ikar̲t-\i) to become black, dark; \Ikap\i black dot (soot between eyes or on temples, or tattooed on woman's chin); \Ikagār̲f\i darkness (\I-gār̲f\i belongs here; \Ika-\i in 1278); \Ikār\i̲ id. (in song unit \Inɨn gār̲ fɨṭ\i leaving off your darkness)||1395
279|*karǝḍĭ|bear|1109||karḍy|kāṛ|Also Toda \Ikāṛɨk wɨḍ\i black (lit. which is like a bear)|For Toda \Ikāṛ\i cf. also Toda \Ipāḍy\i "barren woman" < \I*var̲ǝḍǐ\i.|1263
280|*kar̲ǝg|a k. of grass|1236||karg "sp. grass"|kar̲x "sp. short grass (for grazing)"|Also Kota \Itikarg\i, \Inakarg\i Andropogon foulkesii; Toda \Ikakar̲x\i Eragrostis nigra, Nees. (so Rivers, p. 738, with misspelling Eragrostica; TGT, commentary on text 56)||1397
281|*karV-|to melt|1140|\Iintrans.\i *kar-V-g- (\Ip.\i *kar-V-g-ǐ-), \Itrans.\i *kar-V-k- (\Ip.\i *kar-V-k-ǐ-)|karg- (kargy-) "to dissolve, melt (intr.), be affected in the heart (by fear)"|karx- (karxy-) "to dissolve, melt (intr.)"|Also Kota \Ikark-\i (\Ikarky-\i) to dissolve, melt (tr.); Toda \Ikark-\i (\Ikarky-\i) id. (tr.)||1292
282|*karǝl|heart; friendship|1121||karl "heart, mind, desire"|kōɫ̣ "friend (\Ie gōɫ̣\i my friend, \Itan gōɫ̣\i his friend)"|Also Kota ? \Ikavīr\i stomach (internal organ; for \I-vīr\i see 5259)||1274
283|*kar̲-|to milk, give milk|1224|*kar̲-ǝ-v- (\Ip.\i *kar̲-ǝ-d-)|karv- (kard-)|kar̲- (kar̲ϑ-)|Also Kota \Ikarpōy\i pen and cowshed attached (i. e. 'milking place' or the like; is the second member \Ipōy\i or \Iōy\i, for which see 4112?); Toda \Ikar̲\i milk (in songs); juice of fruit; fine imposed by council; \Ikar̲f ɨr\i milch buffalo (TS, concordance, s. v. \Ipe xar̲f ɨr\i big milch buffalo)||1385
284|*karv|pregnant; foetus|1128||karv "foetus of animal, larva of bees; pregnant (of animals)"|kef "pregnant, in: \Ikef ɨr\i pregnant buffalo, \Ikef nɨl-\i to become pregnant, of animals"||Toda \I-e-\i probably by umlaut before the following \I-ɨ-\i.|1279
285|*kar̲ǝ-|tight (of rope)|1238|\Iintrans.\i *kar̲-ǝ-v- (\Ip.\i *kar̲-ǝ-d-), \Itrans.\i *kar̲-ǝ-p- (\Ip.\i *kar̲-ǝ-t-)|karv- (kard-) "(rope) becomes tight"|kar̲- (kar̲ϑ-) "to become tight"|Also Kota \Ikarv-\i (\Ikart-\i) to tighten (knot); Toda \Ikar̲f-\i (\Ikar̲t-\i) to tighten (tr.)||1399
286|*kaḍ-|buffalo calf|977||kaṛc nāg "buffalo calf between two and three years"|? kaṛ "pen for calves from 6 months to 1-2 years"|Also Kota \Ikaṛc kurl\i cow calf between two and three years; ? \Ikēv\i calf of buffalo or cow, under one year (? * < \Ikṛēv\i); ? \Ikēn im\i, \Ikēnōṛ im\i buffalo with its calf; \Ikēn āv\i, \Ikēnōṛ āv\i cow with its calf||1123
287|*kaḍӓ-|to churn|994|*kaḍ-ӓ-v- (\Ip.\i *kaḍ-ӓ-d-)|kaṛv- (kaṛd-)|kaṛ- (kaṛϑ-)|Also Kota \Ikaṛc uḷy\i lathe||1141
288|*kaḍǝg|mustard seed|990||kaṛg|koṛx|||1137
289|*kaḍǝvaḷ-|reins|986|*kaḍǝvaḷ-ǝm|kaṛvāḷm|kaḍoṇm (\Iobl.\i kaḍoṇt-)||The vocalism \I-a-\i in Toda is not quite clear, but certain irregularities can be expected in such a complex structure.|1133
290|*kat-|to burn|1057|*kat- (\Ip.\i *kat-ǐ-)|kat- (katy-) "to burn (intr.)"|kot- (koty-) "(fire) burns with flame, glitter, flash; light (lamp)"|Also Kota \Ikatc-\i (\Ikatc-\i) to set fire to||1207
291|*kaṭ-|to tie|999|*kaṭ- (\Ip.\i *kaṭ-ǐ-); *kaṭ [\I"knot"\i]|kaṭ- (kac-) "to tie, build, manage (house), be equal"|koṭ- (koṭy-) "to tie, build, kill by witchcraft, obstruct, hug, manage (a house)"|Also Kota \Ikaṭ\i knot, caste custom, case of which decision has been given; \Ikaṭaṛm\i (obl. \Ikaṭaṛt-\i) wall of brick or stone; \Ikaṭaṇ\i caste custom, individual's habit; \Ikaṭmānm\i caste custom, order given; Toda \Ikoṭ\i knot, bundle, amulet; \Ikoṭas̲\i noose (in song unit: \Imɨṛ xoṭas̲\i [to tie] a noose on the neck); \Ikoṭy\i a tie, in: \Itǖl goṭy\i and \Ipōl goṭy\i (for which see 2698))||1147
292|*kaṭӓ|Strobilanthes flower|1008||kaṭ|kaṭ|||1154
293|*kaṭ-|to pay|1003|*kaṭ- (\Ip.\i *kaṭ-ǐ-)|kaṭ- (kac-) "to pay, pay off"|koṭ- (koṭy-) "to pay (revenue tax, fine, offering to temple)"|||1149
294|*kavӓ|branch; fork|1168|*kav-ӓ [\I"forked stick"\i]; *kav-ǝḍ [\I"forked branch"\i]|kav "forked stick, fork of branch"|kafy "forked stick, double peak of a hill, hair of a god or of priest of tī dairy"|Also Kota \Ikavc gōl\i forked stick used as potholder; \Ikavṛ\i forked branch|Unclear \I-y\i in Toda (normally just \I*kaf\i would be expected). The form is either dialectal or has undergone Kannada influence.|1325
295|*vāl|entrance|4467||vāl "entrance door"|pōs̲|Also Kota \Ivāgl\i entrance; \Ikavāl\i ground in front of house (for \Ika-\i ? see 1376); Toda \Ipōs̲-ār̲\i (obl. \Ipōs̲-āt̲-\i) entrance, doorway; \Ipoxol\i entrance, in song unit: \Io kwāṭ foxol\i entrance of one bungalow|Kota \Ivāgl\i, Toda \Ipoxol\i all borrowed from Kannada (Badaga?)|5354
296|*kav-|to cover|1068|*kav-ǝc- (\Ip.\i *kav-ǝc-ǐ-)|kavc- (kavc-) "to cover with a garment"|kofc- (kofč-) "to cover; to be in great numbers, (crowd) comes in great numbers"|Also Toda \Ikofy-\i (\Ikofs-\i) to surround in great numbers or on all sides (e. g. people, fire)||1221
297|*kav-|to break off|1176|*kav-ǝc- (\Ip.\i *kav-ǝc-ǐ-)|kavc- (kavc-) "to unfasten, knock off (something fixed in place)"|? kӧfy- (kӧfs-) "to have piece broken off"|Also Toda \Ikӧfy-\i (\Ikӧfc-\i) to break piece off|Since the vowel in Toda is absolutely irregular, the form may not belong here.|1333
298|*vīr̲|belly, pregnancy, womb|4378|*vīr̲ (\Iobl.\i *vīt̲-)|vīr (\Iobl.\i vīt̲-)|pīr̲ (\Iobl.\i pīt̲-)|Also Kota \Ivīt̲āc\i pregnant woman; \Ikavīr\i stomach (internal organ; for \Ika-\i see 1274)||5259
299|*kavĭḷ|bulb of Ceropegia pusilla|1185||kavḷ|kafɨɫ̣||Toda \I*kefɨḷ\i would be expected; the word may be a borrowing (but from what source?).|1343
300|*kaj|hand, arm|1753||kay|koy|||2023
