NUMBER|PROTO|PRNUM|MEANING|STPRO|CHU|KOR|PAL|ALU|CHFUNC|KOFUNC|ALFUNC|IM|BOG|RKS|NRS|YFA|PAK|COMMENTS|NIOD|NIODNUM|EXT
508|*ʒъcqaR (~ *e, *-ɫˊq-)|0|селезенка||jǝsqarǝˊ=lɣǝn (jǝsqaˊr-ɣǝpǝ abl.)||||||||62|||||||0|
509|*ʒǝ̣lˊŋ̣ǝ-|786|внук 1, правнук 2, прадед 3|*jǝlˊŋǝ-|jǝlɣ-ʔǝtluˊɛ 2, jǝlɣ-appaˊjŋǝ-n, jǝlɣǝ-miˊrɣǝ-n 3|jǝlˊŋǝ-kminǝŋ (I) 1|jǝlˊŋǝˊ- (I) (jǝlˊŋ-ekǝk, -ŋev-ekǝk, -ŋav-akǝk* (III), -unˊunˊu) 1|jǝlˊŋ-unˊunˊu 1||jǝlˊŋǝ-kminǝŋ|jǝlˊŋ-unˊunˊu||61||87|329|199, 251|Ср. *ʒǝɫŋǝ- 'связь, соединение' (507).||0|
510|*ʒạɣǝ̣= < *ʒạ[ʒГ]ǝ̣-|340|ступня 1, ласт 2, копыто 3, обувь (композоит), лыжи-лапки (= вороньи лапки) 4, сухожилия ног у оленей 5, царапать, скрести копытом землю 6, след, потек (в комплексах) 7|*jāɣ=|jɛˊɣǝ=, jɛˊɣǝt pl.  1, 3, -jɛˊɣǝt 4, jɛˊɣ-ilɣǝ-n 5, jɛɣǝ-tkuˊ- 6, (mere-, motlǝ-) -jaˊǝrɣǝ-n 7|jaɣǝ= (III) 2, walvǝ-jaɣǝ-t du. 3|jeɣǝ=|jaɣǝ=, jo-ti du., jaɣ-uwwi pl. 2, jaɣ-ilŋǝ-n 5|||jaɣǝ-cvi- 'порезать ступню, ласт'|968|59, 57|||325|251, 216|В прачук. запрещены основы типа *ʒVʒǝ, трудно также отделить от данной основы *ʒạʒpǝ̣=, *ʒạʒtǝ̣- 'копыто' (524). Внешнее камч. соответствие указывает на сочетание типа *-ʒɣ- ~ *-ʒʁ- в данной основе.||0|
511|*-ǝk|0|местный падеж (локатив)||V-k/ ŋ-kǝ/ T-ǝk (I)|V-k/ ŋ-kǝ/ T-ǝk (I)|V-k/ ŋ-kǝ/ T-ǝk (I)|V-k(i)/ ŋ-kǝ/ T-ǝk||||||||438|48|||0|
512|*ʒiɣǝcɣǝ-|785|ощущать зуд, чесаться 1, щекотный 2|*jǝɣǝcɣǝ-|jiɣǝcɣ-ɛˊt- 1|jǝɣǝˊcɣ-et-, -jǝɣǝcɣet-* (I) 1, e-jǝɣǝcɣǝ-ke adv. 2||jiɣǝcɣǝ- 2, jiɣǝcɣ-at- 1||||1002|64|627, 636|82|328||В кор. невыпадающий первый гласный, т.е. ведущий себя как гласный полного образования *-i-. Здесь явно нейтрализация -ǝ- и -i- после начального j-.||0|
513|*ʒiɣʒi #|441|кишка 1, кишечник 2|*jiɣji #|jʔiˊʔi (jiˊɣɣi-t pl., jeɣɣeˊ-jpǝ abl.) 1|jiɣǝj, jiwjiw 1, jiwji-wwi pl. 2|jiɣji-wwi pl. 2|jiwji/ jiw-jiw ", jiwji-t/ jiw-ti du. 1, jiwji-wwi/ jiɣ-u pl. 2, jiɣ-||||1000|64|||328|211, 250|В чук. Богораз уточняет 'кишки тонкие, белые, без кала'.||647|
514|*ʒịɣǝ̣rtạ-n (~ a)|787|бурундук|*jiɣǝrta-n||jǝjǝjta-n||jiɣǝrta-ŋ||||1007||||328||||0|
515|*ǝʒɣu-|0|кусать, укусить|*jǝɣu-|juˊu-, -jɣu-|j(ǝ)ɣu-, ~ ciˊcɣu-*||jǝɣuˋ-kki, -eɣu-||||997|65||220|328||||0|
516|*ʒoʁъ-|447|настигнуть, догнать, встретить|*johъ-|jʔoˊ-|johǝ-|johǝ-k|juʔǝ-k|(АБ) joo- 'догнать, дойти'||juʔǝ-vǝlŋǝ- recipr., juʔǝ-lqiv- (326)|1069|64|252|63|332|251|||0|
517|*ʒoʁъ- " > *ʒof-ʒoʁъ|970|ветер 1, непогода 2, восток 3, дуть о ветре, быть плохой погоде 4, поперек ветра 5|*joh " > *jow-johǝ|joˊo (jooˊ-jpǝ abl., joˊ-a ins.), joˊo- 1, jo-at- 4, rɛ-juˊucɣɛ 5|jojoˊhǝ-n 2, 1, jojoˊhǝ- 4||jujuhǝ 3, 2, jujuh-at- 4|joo-cɣǝn|||1062|64, 65, 128|372|62|332||||868|
518|*ǝʒʁǝ-, *š-ъʒʁ-at-|943|падать, срываться, свалиться 1, валить на землю 2|*jǝhǝ-, *š-jǝh-at-|r-j(ʔ)ǝtaˊt-, -nj(ʔ)ǝtaˊt- 2|j(ǝ)hǝ- (I), jǝˊhǝ-*, -jǝhǝ-*  1|j(ǝ)hǝˋ-kke 1, t-jhat- 2|||||320, 1107|132||101||251, 272, 82|У Богораза в чук. отмечается невыпадающий -ǝ- первого слога, возможный только перед сочетанием или после сочетания согласных.||0|
519|*ǝ̣ʒʁ-ịɫɣǝ̣-n|0|луна, месяц|*jǝhiLɣǝ-n|jʔiˊlɣǝ-n|jǝhilɣǝ-n, jahǝlɣǝ-n* (III)|jihǝlɣǝ-n, jǝhǝlɣǝ-n|jǝhilɣǝ-n, nǝ-jaˊhicɣǝ- adj.|jʔicɣǝˊ-ŋit 'месячный промежуток'|jǝhilɣǝ-kin, jǝhilɣ-in poss.|jǝhicɣǝ-n 'лунный свет', jǝhicɣ-at- 'светить (о луне)', nǝ-jaˊhicɣǝ-kin adj.|991|63, 64|215, 223|254|333|213, 251|В алют. втоpичный пеpеход удаpного (в прилагательных почти всегда присутствует префикс) -ǝ- > -a- рядом с -h-, аналогичный моpфонологическим чеpедованиям в сослагательном наклонении, ср. также глагол lǝʔu-/laʔu- 'видеть'. Данная трехсложная (что нетипично) основа членима. Суффикса типа "-ǝɫɣǝ- не существует. Это сложение, где первая часть *ǝ.ʒʁǝ̣- 'облако, пасмурный' (274), а вторая *ilɣǝ- 'белый, светлый', т.е. 'облачная белизна' или 'белизна в тучах'.||0|
520|*ʒar "|0|бубен|*jar "|jaˊrar|jajaj||jajar|||jajar|924||||325||С неpегуляpным pазвитием получавшегося сочетания -rj- в pезультате дистантной ассимиляции с дpугими согласными.||216|
521|*ʒiʒɫǝ "|443|язык 1, похожий на язык (утес) 2, сплетничать 3|*jijɫǝ "|jiˊliil, jiˊlǝjil " 1|jiɫǝ " 1|jiɫǝ=, jilˊǝ= 1, jic-vǝrrǝ-n 2|jīlǝ-jil ", jīlǝ-t du., jīl-uwwi pl., jīlˊǝ-pilˊ, qa-jīcǝ-n dim. 1, jīlˊǝ-tku-, jīlˊǝ-cʔat- 3|jiˊlǝ-lʔǝ-n||jīlˊǝ-pilˊ, nǝ-jīlǝ-, jīlˊǝ-l/cʔat-, jīlˊǝ-cacvǝŋ-cit- 'спорить друг с другом', jīlˊǝ-tkǝn 'кончик ~', jīlˊǝ-tku-|1011|63|||328|25, 15, 251|Алют. jīlˊǝ-cacvǝŋ-cit- 'спорить друг с другом' из jīlǝ-ta-tvǝ-ŋ-cit-.||0|
522|*ʒeʒfeɫ|378|сирота 1, жалость, жалкий, жалостливый 2, к сожалению 3, жалеть, чуствовать сострадание 4|*jejweɫ|jɛˊjwɛɫ 1, jajvac-ɣǝrɣǝ-n 1, 2, jɛjvɛ-cʔɛˊt-, jɛjvɛˊc-u lǝŋǝ- 4|jejweɫ (I) 1, jejwec- 2|jejweɫ 1, jejwec- 2, a-jajva-q adv. 3|jewal 1, jewac- 2|jajvac-ɣǝrɣǝ-n, jɛjvɛ-cʔɛˊt-, jɛjvɛˊc-u lǝŋǝ-|jejwec-, j-jejwec-ev- '(рас)трогать' (582)|jewac-|974|59|||327|251, 221, 242|||243|
523|*ʒịʒɣǝ̣-|0|плесень 1, плесневеть 2|*jījɣǝ̄-|jiɣǝ-lɣǝ-n 1|jiɣ-at- (III) 2||jīɣǝ- 1, jiɣ-at- 2||||1001||||328||Ср. чук. jiˊɣǝ-lɣǝ-n 'олень белой масти с сероватым оттенком' (= с плесенью ?) (Богораз 64, Иненликей 48).||0|
524|*ʒạʒpǝ̣=, *ʒạʒtǝ̣-|453|копыто 1, жесткошерстная кожа оленьей ступни между копытами - оленья щетка 2|*jājpǝ̄-|jɛˊjpǝ=, jɛˊjpǝ-t pl. 1, jɛˊɣtǝ-rɣǝ-n 2|jajpǝˊ=, jaˊjp-u pl. (III) 1||jepǝ= 1||||972|59||249|327||В слове 'оленья щетка' вторая часть -rɣǝ- значит 'шерсть'. По всей видимости эти основы являются образованиями от *ʒạɣǝ̣- 'ступня, копыто' (510), где вторая часть *-(ǝ̣)pǝ̣- значит 'втыкать; колышек' (312).||0|
525|*ʒeʒteL (~ ạ)|0|жизнь 1, жить 2, благопожелание, надежда 3|*jejteL (~ ā)|jɛˊɣtɛɫ, jaɣtaˊc-ɣǝrɣǝ-n, jaɣcac-ɣǝrɣǝ-n 1, jɛɣtɛˊl- 2|||jetal 2|jaɣt/cac-ɣǝrɣǝ-n, (АБ) jaɣtal/c-ɣǝrɣǝ-n|||973|59|||327||||0|
526|*ʒaʒna-|1008|встречать, выйти навстречу 1, напротив 2, в присутствии 3|*jajna-|jaɣnaˊ- 1, jaˊɣna 3, rǝ-jaɣnaˊw-kǝ loc. 2|jajna- 1, jajna-ŋ 2|jaɣna- 1, jaɣna-ŋ 2|jena- 1, am-jena-ŋ 2|(t)ɣǝt-laɣnaˊ- 'нагреваться, накаляться, получать жар' (44)|||927|57, 132|||327|250, 221, 53|В чук. наречии префиксальная часть такая же, что и в rǝ-maˊɣtǝ 'по ту сторону' (*ъr-maʒtъ-, 1159). Ср. *ʒaʒlat-, (ɨ)na-ʒlat- 'быть похожим' (499).||0|
527|*ʒạk[ạ]-|0|горбиться, гнуться 1, сесть на корточки 2, ручка бубна 3|*jāk[ā]-|jɛku-lqiˊw- 2, jɛk-uˊjɣǝ-n 3|jaka- (III) 1||jaka(t)- 1|||jaka-lʔǝ-n, jaka-tˊku-|929|59|||325||||0|
528|*ʒikRǝ- (~ ị)|462|жаждать 1, жажда 2|*jikRǝ-|jiɣrǝ- 1, jiɣrǝ-jir " (АБ) 2|||||||1005|64|||||||0|
529|*ʒạq-ʒạq ", *lˊạqlˊụ|452|чайка|*jaq " (~ lˊ-)|j(ʔ)aˊjaq " (jajʔaˊ-ɣǝpǝ abl.), (АБ) jʔajaq|jaq-jaq " (III)|lˊaqǝlˊ, lˊaqlˊu-wwi pl., lˊaqlˊo-|jaq-jaq "||||944|57|||326|26, 282, 208|В пал. переразложение редуплицированной основы *lˊaqlˊaq.||0|
530|*ʒaq-ʒaq-at-|0|накалиться докрасна|*jaq-jaq-at-|j(ʔ)ajaq-aˊt-|jaqjaq-at-||jaqjaq-at-||||946|57|||326||Ср. *ʒaq- 'пестрый, с белыми пятнами' (1979).||0|Алт.
531|*ʒaqa " ~ *ʒɨqa "|0|нос 1, мордочка зверька 2, ноздря 3, стержень, срединное течение (= по носу лодки) 4|*jaqa "|jʔǝqaˊ-aq ", jeqa-aq " (+АБ) 1|jakǝŋǝ-pil (III) 2|jaka=, jaqa= 1, jaka-ɣeŋ 3|jaq-imlˊǝ-ɣǝrŋǝ-n 4||||963|976|||326|209, 250|В чук. может быть втоpичное pазвитие гласного pядом с увуляpным.||249|
532|*ʒoqa|469|красная краска ольховой коры|*joqa||joqa||juqa-juq "||||1067||||332, 327||||0|
533|*'ǝq "|0|стужа 1, остыть 2, остудить, охладить, морозить 3, холодный 4, быть осени 5, настать стуже 6|*ǝq ", *qǝ-(tvi-)|ǝˊq-ǝq " (I) 1, qǝ-twi- 2, ǝq-ɛˊt-, (АБ) ʔǝq-ɛt- 3|qǝ-tvi- 2, j-(ǝ)qi-tv-et- (I) 3|n-aqqaˊ-kin, t-aˊqqa-m adv. 4, -ǝqi- 2|qǝ-ruʔǝ- 5||||674, 1077, 1971|37|||, 377|48, 136, 261|В пал. обычный вторичный переход "ǝ" (< *ǝ) в "a" рядом с увулярными -h- и -q- под ударением, на передний ряд указывает также показатель -kin, а не -ken.||0|
534|*ǝʒquʒɣǝ-n|994|ручка, черенок|*jǝq-ujɣǝ-n|jɛquˊjɣǝ-n, jǝqujɣǝ-n|jǝqujɣǝ-n|jǝqujɣǝ-n|||||1078|61||||251|Ср. *poʒɣъ-n 'копье' (1048).||0|
535|*ʒemǝ-ɫqǝ-n, -ʒem|0|болото, мокрая тундра 1, река 2|*jemǝ-ɫqǝ-n|vɛˊɛm 2|jemǝˊ-lqǝ-n (I) 1, weˊjem (I) 2|jemǝ-lqǝ-k loc. (I) 1, wejem (I) 2|jamǝ-cqǝ-n 1, wajam 2||||978, 2734|157|33, 583, 502|59, 41|326, 422|59, 211, 25|&    'Болото' - это буквально 'поверхность, место где ʒemǝ-'. Первая часть в слове 'река' имеет внешнюю этимологию и связана с глаголом *fef-eb- 'плыть' (1553).||0|     Эск. ima- 'море'
536|*ʒomša-n (~ lˊ-)|403|кора ивы 1, ива 2, красить краской из коры 3, съедобный корень осоки 4|*jomša-n (~ lˊ-)|joˊmǝr (jomraˊ-jpǝ abl.) 1, palq-omra=lɣǝn, pɛlkumrɛˊ= 4|jomjat- 3|lˊomta-n, lˊemta-n 2|||||1063|64, 117||||257, 230|В чук. также и 'кора тополя', прежде употреблявшаяся в пищу. Для 'осоки' - 'старая кора'. Инэнликэй 93.||0|
537|*ъʒmɨ-|0|вешать, навешивать 1, сунуть, засунуть 2|*jъmɨ-|jǝmeˊ- (II) 1|jǝme-, -jǝme- (II) 2|||ena-jme=cɣǝn 'настенный'|||1037, 1038|61||90|||||0|
538|*ʒimɣǝmɣǝ-|0|бояться, чувствовать суеверный страх|*jǝmɣǝmɣǝ-|jimɣumɣ-ɛˊt-, jimɣǝmɣɛt-|jimɣǝmɣǝ-, (-)jǝmɣǝˊmɣet-*||jǝmɣǝmɣ-at-||||1040|64||89|329||Hерегулярный редупликат основы *ʒǝmŋǝ- 'трусливый' (539).||0|
539|*ʒǝmŋǝ-|437|трусливый 1, бояться 2, пугать 3|*jǝmŋǝ-||jǝmŋǝ- (I) 1, tǝ-nˊ-nˊimnǝ-ŋ-ki 3|jǝmŋǝ-lhat- 2, ta-nˊ-nˊimnǝ-ŋ- 3|jǝmŋǝ- 1, jǝmŋǝ-chat-* 2, ta-nˊ-nˊimnǝ-ŋ-* 3|||nǝ-jǝmŋǝ-, jǝmŋǝ-chat-*|1041||463|||242, 239|||0|
540|*ʒanoš|0|раньше, прежде 1, впереди 2, сегодня 3|*janoš|janor, jaˊnot 1, 2|janot, janoc 1, 2|janot, janot-ǝŋ-qal 1|janut(ʔa) 1, janut 3||janoc, janot-ǝŋ-qal|malˊ-janut, janutǝ-lʔǝ-n, janˊuc-cǝʔǝ-n 'предок', janutǝ-lqiv-|938|57|||326|29, 250, 118|Пал. janotǝ-l/chǝn part. Ср. *ʒạŋbǝ̣-n (548). Чук. Janot-laˊut 'звезда Арктур' (Богораз 57).||0|
541|*ʒun-et-|449|жить 1, разгореться об огне 2, жизнь 3, делать плохую жизнь 4, зажечь, затопить 5|*junet-|junɛˊt- 2, r-jun-ɛw- (АБ) 5|junet- 1, junet 3|junet- 1, junet 3|junat- 1, t-jun-av- 4|||junatǝ-lqiv- (314)|1094|65|||332|25|Пал. junetǝ-c/c̨hǝ-n part. (ЯПК 251). В чук. контаминация двух корней *ʒъn " 'огонь' (542) и данного.||146|
542|*ʒъn "|425|огонь 1, жар 2, разгораться об огне 3, разжигать огонь 4, искра 5|*jъn "|jǝˊn-jǝn " (jǝnjǝˊn-ɣǝpǝ abl.) (II), dial. (олен.) dindin (II) 1, jǝn-raˊw-, (АБ) jǝn-ǝp- 4, junɛˊt- 3, jǝnǝ-nto- (АБ) 3|jǝnoklan, jǝnoˊklaŋ-o* pl. 5||jǝn-jǝn " (jǝnuwwi pl.) 2|jǝˊnǝ-cʔǝ-n 'пистон', (АБ) jǝnǝ-cʔǝ=lɣǝn 'пистон'|||1042|61, 65|176|92|329||В чук. junɛt- под влиянием прачук. *ʒunet- 'жить'. См. *ъkla-n 'искра' (2223).||0|
543|*-ʒanbъ #|0|снабженный тем-то, имеющий то-то, изобилующий предметами, собирательность, обычно, часто делающий или подвергаемый действию|*-janvъ #|-jan, -janvǝ-|-jan, -janvǝ-|-jana, -janvǝ-|-janǝ, -janvǝ-||||58|44|||437||ГКЯ 83 и др.||0|
544|*ʒuŋʒu # "|467|кит|*juŋju #||juŋǝj, juŋju-|juŋi, juni|juŋ-juŋ ", juŋi, juŋǝj, juŋju-|||juŋjul-lˊqǝ-ŋ dat. (404)|1096||187||332|205|||0|
545|*ǝ̣ʒŋạ "|460|туман 1, облако 2, северное сияние 3, быть туману 4|*jǝ̄ŋā "|jǝŋɛˊ-jǝŋ ", -ǝjŋɛ 1, jǝŋǝˊttɛt 3|j(ǝ)ŋa " (III) 1, jǝŋǝˊthat* 3|jǝŋe-jǝŋ " 1, 2, jiŋe-jiŋ " 1, jǝne " 2|jǝŋa-jǝŋ " 1, jǝŋat-, -eŋat- 4|jǝŋa-pǝˊlmǝ-pǝl 'густой туман' (120)|||1053, 1054|62||, 93|329|212, 251, 43, 39|||0|
546|*ǝʒŋe-|0|нагружать нарту 1, посадить на нарту 2|*jǝŋe-|jǝŋɛˊ-, -jŋɛ- 1|j(ǝ)ŋe- (I) 1|jǝŋe- 1, 2|jǝŋaˋ-kki, -eŋa- 2||||1052|62|||330|251|См. 'груз, нарта' *ineŋe.||0|
547|*ʒъŋrъ # "|0|яр, обрыв, косогор|*jъŋrъ #|jǝˊŋǝr (jǝnr-eˊpǝ abl.) (II)|jǝŋjǝŋ ", jǝŋi, jǝŋjǝ-(n)|jǝnrǝ-n|jǝŋǝˋrrǝ (sic!), jǝŋrǝ-|jǝnr-eˊlɣǝ-n 'сухожилие шеи "лён"', jǝnr-oˊjɣǝ-n 'слияние двух рек, устье речного притока'|jǝŋjǝ-lqǝ-n 'косогор'||1059, 1115|62|290|93|330|211|Кор. jǝŋjǝŋ с гаплологией из "jǝŋjǝ-jǝŋ.||0|
548|*ʒạŋbǝ̣-n|789|северо-восточный (залив, бухта, ветер)|*jāŋvǝ̄-n|jamwaˊ-|jaŋvǝ-n, (janvǝ-n)|jenvǝ-n|jaŋvǝ-n, jaŋvu-t du. (sic!), jaŋv-uwwi pl.||||935, 942|57|||326|212|Ср. *ʒanoš (540).||0|
549|*ʒaŋšaʁ-|0|отдельно, врозь 1, отделяться, разделяться 2, делить 3|*jaŋša-|jaˊnra 1, janrʔaˊt- 2, r-janrʔaw- (+АБ) 3|jaŋja 1, jaŋjǝhat- 2|janta- (pref.) 1|jaŋta- 1, janta-lʔat- 2|||jaŋta-lʔat-|940, 941|57|||326|250|Пал. janta-qrvo-chǝ-n part. 'редкий кедровник' (ЯПК 250). В кор. и чук. сохранился *-ʁ- в глагольной основе, в пал. данная основа функционирует как префикс, где *-ʁ- и должен был бы выпасть, т.к. трехсложных префиксов не бывает.||0|
550|*ʒuŋRǝ-|0|выбирать, выделять 1, добывать 2|*juŋRǝ-|juˊnrǝ- (+ АБ), juˊmrǝ- 1|juŋjǝ- 1||||||1097|65|||||||0|
551|*ʒạŋqị "|0|петля (застегивать) 1, ремень для привязи оленя 2|*jāŋqī "|jɛˊŋqi-jɛq ", jʔǝˊŋqi-jʔǝq " 1|jaŋqi= (III) 2|||||||60|||||||0|
552|*ʒep|454|до сих пор, хотя, еще|*jep|jɛp|jeppǝ (I)|jeplˊu (I)|jaˋppǝ, jaˋppǝlu, japlu dim.|||jappǝ-cam|982|61|||, 294|136|||0|
553|*ǝ̣ʒpǝ̣-, *(š)-ǝ̣ʒp-ạt-|0|наставить, надставить 1, приставить, приделать, предоставить, снабдить 2, вставлять клинья 3, самый умелый 4|*jǝp-; *(š-)jъp-at-|jiˊp- 3, j(ǝ)paˊt- (+ АБ) 2|j(ǝ)p-ǝjvǝ- 1, jǝpǝ-, j-jǝˊpat- 2|-jǝp-cenǝ-c̨hǝ-n (I) 4||r-pɛt- 'прикрепить' (АБ), jǝpatʔekwe- 'прикрепить' (АБ)|||1020, 1072, 1074|64, 62|239, 427|84||64|Молл 46. В пал. 'сверх делатель'.||0|
554|*ʒop-|0|висеть высоко 1, высокое место (для наблюдения за морем) 2, развесить 3|*jop-|joˊpǝn 2|jop- 1, ena-jop-at- intr. 3||jup- 1, t-jup-at- 3||||1066|65|||332||||0|
555|*ʒụp-|0|натыкать, наколоть на|*jūp-|juˊp- (I)|jup- (III)|jup-ǝk (I)|||||1098|65||||251|||0|
556|*ǝʒpe-|931|вынимать, снимать|*jǝpe-, *š-pe-|j(ǝ)pɛˊ-|j(ǝ)pe-, j-pe- (I)|ɣe-jpe-lin part.|jǝpa-, -epa-|ɛrɛˊ-mpɛ- 'вынимать сварившуюся рыбу' (30)|||1073||||330||В пал. 'вытаскивать, поймать' о рыбе в неводе (ЯПК 195).||0|
557|*ʒarab|0|мясо со спины оленя|*jarav|jaˊraw (jaraˊk-wǝpǝ, jaraˊw-ɣǝpǝ abl.)|jajavǝ-chǝn||jarav||||948|58|||326||||0|
558|*ʒiš-: *š-ʒiš-|647|посылать 1, устраивать поминки по покойнику 2, посылка 3|*š-jiš-|r-jiˊr- 2|j-jij- 1|-nˊ-nˊin-(n...) < t/n-jit-n 1|t-jit-, -nˊ-nˊit- 1, tǝjiˋttǝ, tǝjit- 3||||317, 316|132|||412|75|||1146|
559|*ʒɨšoɫ-|0|понять, выучиться 1, понятливый 2, выучиваться, научаться (комплексно) 3|*jɨšoɫ-|jeroˊl- 1, nǝ-rol-qen (АБ) 2, -roˊl- 3|jejol- 1|jecocav- 1|jicuc- 1||||959|59, 137||||25|||0|
560|*rešɣǝ "|0|долина, поле 1, ровное открытое место 2, тундра 3|*jeRɣǝ "|jɛˊrɣǝ-ɛr ", (АБ) jɛrɣǝ-n 1, erɣǝˊ-lqǝn 2|jecɣǝ- (I) 1|retɣǝ, retɣǝ-n 3||jɛˊrɣǝ " 1, erɣǝˊ-lqǝn 2|||988|61, 21||||12, 21, 48, 269, 68|||0|
561|*ʒurɣǝ-|0|сумасшедший, несмышленый 1, обмануть, одурачить 2|*jurɣǝ-|juˊr(ɣ)ǝ- 1|jucɣǝ- 1, ce-nˊ-nˊuˊcɣǝ-ŋ-* 2||jurɣǝ- 1||ce-nˊ-nˊuˊcɣǝ-ŋ-*|nǝ-jurɣǝ-, jurɣǝ-cʔat-|1103|65|||332||||0|
562|*ʒǝrʁǝ-|1089|наполняться 1, полный 2, содержимое, совокупность 3|*jǝrh-et-; *-jǝrhǝ-n|jǝrʔ-ɛˊt- 1, ɣɛ-jǝˊrʔǝ-lin, jǝˊrʔǝ-lin, jǝrʔǝ- 2, jǝˊr(ʔ)ǝ-jǝr ", -jǝˊrʔǝ-n " (I) 3|jǝch-eˊt- 1, jǝchǝˊ-jǝc ", -jǝchǝ-n (I) 3|jǝrh-et- (tr.) 1, -jǝrhǝ-n 3|jǝrʔ-at adv., jǝrh-at- 1 (tr.), jǝrʔǝ- 2, -jǝrʔǝ-n 3|||nǝ-jǝrʔǝ-, ta-nˊ-nˊǝrʔǝ-ŋ-, jǝrʔǝ-jucɣǝ-n 'карман, мешок, и т.д.', ja-jǝrʔǝ-n 'семья' (21)|1081, 69|62|247|100|331, 438|251|&    В чук. и коp. данная основа ведет себя как суффикс, палатализиpующий согласные основы. В алют. в глаголе представлено закономерное сочетание -rh-, но из-за того, что данный корень активно используется в качестве аффикса и является удаленным от начала слова, а в таких позициях *-rʁ- > "-rʔ-, появляются варианты с ослабленным рефлексом (смычкой) в полнозначной основе.||0|
563|*ʒǝškǝ-|0|мягкий 1, уступчивый, ласковый 2|*jǝškǝ-|jǝˊrkǝ- (I) 1, 2|jǝjkǝ- 1, jiˊjkǝ-(*) (I) 1, 2||jǝtkǝ-, jitkǝ- 1|||nǝ-jitkǝ-|958|62|231|148|331, 329||||0|
564|*ʒъrrъ-|434|красный, крашенный 1, мазаться, пачкаться 2, обряд помазанья кровью 3, медь 4, алый 5|*jъrrъ-|jǝrr-aˊt- 2, jǝrraˊt-ɣǝrɣǝ-n 3|jǝccǝˊ- (II) 1, jǝccǝˊ-lˊlˊu-n 4, l(ǝ)ɣiˊ-jǝccǝ-* (I) 5|jǝrrǝ- (II) 1|jǝrrǝ- 1, jǝrrǝ-lˊu 4||jǝccǝˊ-lˊlˊu-n, jǝccǝˊ-lqev-|nǝ-jǝrrǝ-, jǝrrǝ-lqiv-, jǝrrǝlˊu|1079, 1080|62||100, 150|331|262|Ср. чук. (АБ) cetljo-n 'медь'.||0|
565|*ʒet-|0|приходить, приезжать|*jet-|jɛˊt-|jet- (I)|jet-ǝk, jeˋtt-i aor. (I)|jat-, jaˋtt-i aor.|jɛˊtɣǝr 'на полпути'||jatǝ-lʔǝ-n, jatǝ-lʔat-, jatǝ-lqiv- (24)|989|61|||327|251, 195|Чук. jɛtti! 'здравствуй!' (АБ).||0|
566|*ʒịt-|1038|капать 1, капля 2, лужа 3|*jet-|jiˊt- 1, (АБ) jit-jit " (jitjit-ti, jit-ti pl.) 2|jit- (III) 1||jitǝ- 1, jit-jit " 2, 3||||1021|64|||328, 317, 411||||0|
567|*ъʒtab/t-|750|гнать, погонять 1, испугать 2|*jъtav/t-, *Rъtav-||j(ǝ)tav- 1|jǝtav-ǝk 2|j(ǝ)tat-, -etat- 1|||jǝtatǝ-l/cʔǝ-n, etatǝ-lʔǝn|2291, 1085||||331||Глагол путается с *š-ta-b- 'отогнать, испугать' (1588), но имеет отдельную этимологию.||0|
568|*ǝʒteb-|0|вытирать, протирать 1, полотенце 2, трава для вытирания, салфетка, тряпка 3|*jǝtev-|ɣ(ǝ)tɛˊw- 1, ɣǝtɛˊw, ɣǝtɛˊw-icɣǝ-n  3|j(ǝ)tev- (I) 1|jǝtev- 1, jitev-ineŋ 2|jǝtav-, -etav- 1|ɣǝtɛˊw-icɣǝ-n|||1084|44|||331|40, 25|В чук. основа имеет вид, выравненный по сопряженным формам: "jǝtɛw- ~ -ǝɣtɛw-, T-ɣǝtɛw-.||0|
569|*ъʒtъ-, *-ъʒtъ-|457|приносить, доставать 1, ездить за чем-либо, двигаться к кому-л. 2, направительный падеж 3, приводить, приносить 4|*jъtъ-, *-ъjtъ-|jǝˊt-, -ɣtǝ- (II) 1, -ɣtǝ- 2, T-etǝ/ TT-etǝ/ V-ɣtǝ (II) 3, ena-ɣt-at- 4|jǝtǝ- 1, -jtǝ- 2, T(T)-etǝŋ/ V-jtǝŋ (II) 3||jǝtǝ-, -eˊtǝ- 1, -jtǝ- 2|||jǝtǝ-lʔǝ-n|1083, 70|62, 20|||331||||0|
570|*arъtɣъr|0|ручей, овражек 1, падь 2, ущелье 3|*arǝtɣъr|aaˊtɣǝr, aaˊtir 1||arǝtɣǝr 2, qv-arǝtɣǝr 3||aaˊtɣǝr||||1||||243, 256|Возможно, производное от *ạrạt- 'падать, упасть' (100), т.е. 'падь'. Присутствующее здесь -tɣǝr является составной частью слов 'промежуток' и др.||0|
571|*ъʒtъffat-|433|мерзнуть (о ногах) 1, заморозить 2|*jъtъwwat-|jǝtǝkwaˊt-, -ɣtǝkwaˊt- 1, r-ǝɣtǝkwaw- (АБ) 2|j(ǝ)tǝ-lˊqǝpat- 1||j(ǝ)tǝwwat-, etuwwat- 1||||1086||||332, 321||||0|
572|*ʒitʁe-b-|450|стать готовым (о шкуре), размягчиться|*jithev-|jitʔɛ-|j-jithev- (tr.)||||||1023||||||||0|
573|*ʒǝtʁet-|0|встретить 1, заставать 2|*jǝthet-|jǝtʔɛˊt-, (АБ) jǝttɛt- 2|jǝthet- (I) 1||||||1090|62|64||||||0|
