NUMBER|PROTO|PRNUM|MEANING|CHUK|CHUKNUM|ITEL|ITELNUM|COMMENTS|NIOD|NIODNUM
241|*kəĺve-|0|обвитый|*kəlbet-|1477|*kiź'a-|245|Ср. *kəĺtə= (240).||0
242|*kə-, *kəmə-|0|ребенок; внук 1|*ə̣k-mịŋ-, *kə.-|641|*kămlo-n 1|246|||0
243|*kəmɣət-|0|сморщить, щипать|*kəmɣət-|648|*kimat-|247|||0
244|*nɣẹm (~ *lɣ-)|2047|червь|*ənɣem (~ -lɣ-)|297|*xim "|248|||0
245|*kъrɣъ-|1316|сухой|*kъrɣъ- (~ ə)|684|*k'izɣi-|249|||0
246|*kərɣə-|0|дерн, волокнистые корни травы|*kərɣəl-|685|*k'isx "|250|||0
247|*kəsɣʷəme|0|соболь|*kətɣəme|697|*łxim "|251|||316
248|*kətheme|0|приманка|*kətʁeme|1533|*(k)tam|252|||0
249|*kəve-č|0|ветвь, сук|*ə̣kbạR|707|*kawa-č|253|||0
250|*ək-jołɣъ-|0|матка, зародыш|*ъk-ʒołɣъ-n|2019|*kĳu-łh|254|Буквально 'вместилище ребенка'. Развитие семантики в ПК вторично.||0
251|*kəvlə-|35|кружиться, оборачиваться|*kə̣fLə̣-|711|*k'ile-|255|    Ср. этимологически связанный вариант *kŭvlə- 'месяц (временной), круглый' (998).||0
252|*kʷăła-|0|тонуть|*baca-|1694|*kła-|256|||0
253|*qujmə-|0|шмель, комар|*quʒmə-|2069|*kzŭmx|257|||0
254|*kinŭ|1383|шрам, пуп|*kinu-|653|*k'in "|258|||0
255|*kojlŏ-|0|высокий, огромный|*koʒlo-|624|*kələŋ-|259|||0
256|*qŭłte|0|пятка|*kulte "|1534|*qăłhtə-|260|В кор. контексты ku= и qu= фонетически практически неразличимы, с другой стороны влияет *kulte= 'шкура морского зверя' (610).||0
257|*kuke-|0|варить; котел|*kuke-ŋe|632|*kuke-|261|||0
258|*kučkə-|1707|Ворон-Бог|*kuškə-|712|*kutx|262|||0
259|*qăłə|0|один из пары|*-qał|1657|*qoləŋ|263|||0
260|*qamŋ̣ъ|1728|камбала|*qamŋъ " (~ k-)|1575|*[q]amx|264|||0
261|*qek'uk[e]|0|кукушка|*qekkuk|748|*qequq|265|||0
262|*qĕłẹ-|0|живот, желудок|*qạłạ-|716|*qʷełi-tq|266|||0
263|*qŭĺɣi-|0|жалеть|*qəlɣilu-|1802|*[q]uźɣə-|1307|||0
264|*qelɣə-|0|кричать|*qạlɣV-|728|*kel-|268|||0
265|*qĕlŋi-|0|разветвление|*qelŋi "|734|*qəlŋ-|269|||0
266|*qeme-|0|блюдо|*qạmạ-ŋạ|752|*qama-|270|||0
267|*qĕmi-|0|наедаться|*qemi-|756|*qumi-|271|||0
268|*qẹmĭ-|1795|макушка; волос головы|*qemi-|755|*k'ʷimi "|273|||0
269|*qevi- (~ *rq-)|0|взять, приобретать|*qebi-|796|*qeź-k-|274|||0
270|*qъr'mъ|0|отмель|*qъRRъ " (< *-rb-?)|1489|*k'əzŏ-m, *k'ĭźwe-|275|||0
271|*'əkłə̆-|265|остыть|*kəc-, *qəc- (~ *əkcə-)|799|*ksenə-|276|||0
272|*'ъqlaɣʷol (< 'ъqla-hʷola)|0|муж|*ъqLaboL|725|*kilɣŭl|800|Первая часть сложения 'əqłi-̆k (620), а вторая, по-видимому, - *hojla 'парень'. Ср. ител. *qleč 'вождь' (277).||0
273|*qə̆łt́i-|0|лениться|*qəLLi- (~ ị)|1471|*kłči(l)-|888|||0
274|*qĕłɣʷ-|0|губа, нёбо|*qelbə-n (~ -lf-)|1482|*k'ʷəłxʷ-č|279|||0
275|*qə̆mle|0|костный мозг|*qə̣mLạ #|758|*qŏmla "|280|||0
276|*qəčmə|0|не, нет (категорическое отрицание)|*əqšəm|781|*qa'm|281|||0
277|*'əqtep|0|рыболовный закол|*əqtep|790|*t'qap-əz|282|||0
278|*kʷin- ~ *'əkʷjin-|0|узкий, тесный; тонкий|*fin-|1589|*kčoń-|283|||0
279|*qɨŋʷъ-|0|обижаться|*qɨŋbъ-|1480|*qa'm-|284|||0
280|*qɨ̆nhə-|0|злобный|*qɨnʁa-|1492|*[q]no-|285|||0
281|*qĳtə-|0|замерзнуть|*qiʒtə-|744|*qite-|286|||0
282|*qiɣʷe-|0|паршивый|*qịffạ-|798|*qiwe-|287|||0
283|*qop'kъ-lhъ|0|позвонок|*qopkъ-cʁъ-n|773|*k'aɣapk'ol|288|     Здесь развитие слога *qVp как в слове *qap't́ъ-  'спина' (980).||0
284|*qorə-|0|олень домашний|*qora-ŋa|778|*qoź|289|||0
285|*ɣʷĕmtə-|0|беременная|*femtə-|1604|*-ɣumtu-m: *xaj-ɣumtu-m|1359|||0
286|*qŭqu-|0|дыра|*ququ-|1611|*q'iq'|291|      Ср. *kuk=le= (213).||0
287|*quł|0|другой, часть|*quł, *quttə-|723|*qula|292|||0
288|*qułi-|542|голос, песнь|*quLi "|722|*kuł-|293|||0
289|*qułɣə-|0|шкура, кожа|*qulɣə-n "|730|*kułx|294|||0
290|*kemĺil- (~ *q-)|0|одеться, нарядиться|*kemlilu-|1576|*qămza(l)-: *łin-qamzan-'ł-|1592|||0
291|*qun|0|раз|*qun|760|*qun|296|||0
292|*qun-'pъl|0|вечно|*qonpъ-ŋ|762|*quni-, *qŏńčpa-ł|297|||0
293|*qup(k)ə-|0|задыхаться; устать 1|*qupkə- 1|775|*qop-|298|||0
294|*lqełe-|0|качаться, колыхаться; колыбель 1|*lqeLe-|1593|*[q]elew- (~ *-ł-)|301|||0
295|*hiŋə|863|нос|*ʁiŋ "|458|*qŏŋ[a] "|300|||0
296|*ɣʷa(ɣ)ə-|0|нижняя челюсть|*fạ-Lqə̣l|1324|*faɣʷə-ŋ|302|||1022
297|*ɣʷał́'a-|0|время, пора|*fa(ʒ)ca-|1327|*fałč|299|||0
298|*kʷasqъ (~ *-ł́q-)|1725|два, другой|*bacqъ-|1348|*kash|303|||0
299|*ɣʷală|0|нож|*fala|1326|*fal-, *fan-sx|304|В прачук. слово 'ножны' аналогичное ительменскому имеет вид *wala=joł́ɣə=n.||0
300|*joł́ɣъ-|0|вместилище|*-ʒołɣъ-n|501|*-sx|305|||0
301|*ɣʷaĺhă-|601|червь|*falaʒʁъ-n|1577|*fačh(a)|306|Ср. кор. vančə́lqa=n 'черви (масть)' (НРС 29) из камч.||1028
302|*ɣʷat(h)əp|0|мох|*fat(t)ap|1421|*fatəp-|307|||0
303|*kʷĕɣʷə-|870|ноготь, коготь|*beɣ=|1353|*k'ŭf "|308|||0
304|*kʷɨla-|0|рвать, щипать|*-fɨlla-: *š-fɨlla-|1491|*k'ule-|309|В ительменском происходит контаминация с коpнем *k'ŭf 'ноготь'.||0
305|*kʷĕji-|0|щипать|*fạʒ-pə̣- (~ b-)|1374|*k'uźi-|310|||0
306|*kʷẹ-(j)|0|река|*fe-ʒem|1359|*kiɣ(ʷ)ə|311|     См. 'плыть', явно то же, но в глаголе медиальная форма. А здесь в камч. м.б. и редупликат *kʷẹ=ɣʷẹ. В прачук. или 'текущее болото', или 'река=болото', если первое предположение верно то чук.=камч. 'река' = 'поток'.||0
307|*ɣʷekə-|0|сорока|*fekə-tɣə-n|1552|*fekə- (~ *xʷ-)|312|||1171
308|*qʷĕlhʷə-|704|ворон|*felbə #|1334|*qłh "|313|||0
309|*ɣajkъɣʷъ|0|лососевая рыба|*ɣaʒkъb|1590|*ke'k'f|314|||0
310|*ɣʷeq(et)-|0|шаг|*feq-(et-) "|1377|*faqt|315|||136
311|*qʷĕli|0|жир морского зверя|*bạlị "|1329|*qəl-k'|316|||0
312|*kʷẹməłkə-|0|нижняя губа, подбородок|*feməlke-|1384|*kimk'-|317|||0
313|*kʷĕnu-|0|темный|*ben[u]-|1441|*kun-|318|||143
314|*ɣʷẹvə-|0|плыть|*fifi-b- ~ *fɨfɨ-b-|1553|*fi-|319|||0
315|*'ъɣʷjał|0|пурга, вьюга|*ъfʒał "|1361|*fjal|321|||0
316|*'ъɣʷjŏpła-|0|свистеть|*ъfʒ[o]pca-|1367|*xʷjepśa-|322|||0
317|*ɣʷъlhaj-|0|смородина, боярышник|*fъlʁaʒ- "|1343|*kəl'as-|323|     Ср. разнотравье.||0
318|*'ъɣʷsъ|0|желтый, зеленый, голубой|*ъftъ- "|1428|*fł-|324|||0
319|*'əɣʷ'ji-|0|дыхание|*ə̣fʒị-|1364|*xʷči "|325|||134
320|*kʷəlɣə-|0|белая береза|*fəlɣili, *uʒilɣə-|1341|*kilɣə|326|||0
321|*ɣʷət'mə|0|гнида|*ɣəttə "|405|*xʷutəm|327|||0
322|*ɣʷɨjlъ|0|наперсток|*bɨʒlъ "|1371|*wol "|328|||0
323|*ɣʷɨj-tălə-|0|шкура|*fɨʒ-tala-|1551|*xi-t'il|329|||1038
324|*ɣʷĳsə|0|голец (рыба)|*fiʒtə ", *fitʒə "|1376|*fĭłi-|330|||0
325|*ɣʷił- (~ 'ə-)|0|кислый|*fił- "|1336|*xʷił ", *ɣʷil, *ɣ(ʷ)iź-|331|||748
326|*kʷĕlt́ə-|0|невкусный, кислый|*feltə-|1591|*kst'-|1022|||0
327|*ɣʷinɣʷə|0|лопата, заступ|*finbə|1592|*xnəf|333|||0
328|*kʷirə|0|ольха|*fir "|1409|*kĭź " (~ *-ă-)|334|||0
329|*ɣʷitə|0|нерпа|*fit "|1422|*fit "|335|||0
330|*ɣʷitə-|0|вздрогнуть от испуга|*fit-|1423|*fte-|336|||0
331|*ɣʷit-kəl-|0|поскользнуться|*fittə- (~ -tʁ-)|1521|*fetkəl- (~ *-a-)|337|||0
332|*ɣʷiɣʷ-|0|дрожать, шевелиться|*fif-, *fifir|1438|*fiwi-|338|||0
333|*ɣʷumišis|0|сват|*(f)umiRit|1502|*x(ʷ)umiśit/s (~ -ł-)|339|||440
334|*kʷune|0|кедровая шишка|*fune "|1389|*kun "|340|||0
335|*ɣʷuč-|1294|этот, здесь|*fuš|1426|̣*xʷŏt-|341|||0
336|*văt́vъ-|0|можжевельник; каменная береза (куст)|*facbъ-qъrbo-n|1338|*'ič'|342|||0
337|*vojpъ-|0|игла для вязки сетей|*oʒpъ-, *faʒpъ-|973|*'oxp|343|||0
338|*văjša-|0|тихий (о звуке); глухой|*faʒš[a]-|1442|*'iśə(n)-|344|||0
339|*hejŋe(v)-|0|думать, называть|*ʁeʒŋeb-|1436|*k'ene-(zi-), *łin-k'eŋi-|1057|||0
340|*jejhə-|0|ступня, подошва|*ʒạɣə̣= < *ʒạ[ʒГ]ə̣-|510|*'eč'ə-n "|346|     Ср. *jejpə= 'копыто' (453).||0
341|*t́i'ĺъ-|0|согнутый в сторону (о суставчатом)|*cɨllъq(a) (~ -lʒ-)|1844|*łičaŋ- (ś-, h-)|1000|||0
342|*veŋqŭ-|0|открыть(ся) (с коннотациями с ртом)|*feŋqu-|1403|*'ĭ(n)qe-|348|||247
343|*'ъŋšŏ-|0|широкий|*ъŋro-|1594|*'aŋł-|349|||0
344|*vĕriɣʷ-|0|кислый|*beRib-|1520|*čĭ-|350|||0
345|*vъlɣ(ʷ)ъ-|0|тонкий (о шкурке), голый|*bъłɣъ-|1342|*'oĺɣʷe-|904|Слово контаминирует с *ɣъlɣъ= 'кожа' и *vъllъ= 'мягкий (о шкуре)'.||29
346|*kʷъł́'pa-|0|лопата, ложка|*fъlpa (~ *ъflъpa)|1346|*kčpəč ~ *čkpəč|352|Сюда же прачук. *kułi= 'ложка', предполагающая прачук.=камч. альтернат *kuł́'ə=.||0
347|*'əvləhiŋ|0|сопли|*bə̣L-ʁịŋ ~ *ə̣bLə̣-ʁịŋ|1344|*le'an (~ -ɣ-)|353|||0
348|*'əm'rə|0|ячея сети|*əfRə "|1414|*mčə-n|354|||0
349|*vərhet-|0|спеть, зреть, расти (о растениях)|*bəRʁet-|1416|*'izhti-|355|||0
350|*vĳhə-|0|умирать|*biʒʁə-|1354|*'iź(h)-|357|||209
351|*vĳhej|0|трава|*bịʁạʒ|1355|*śis|358|||993
352|*vilə-(t́ku-)|0|цена; торговать|*biL "|1335|*'iltel (~ -ł-)|360|Камч. *'in-ł-, *'in-sxi- < *'il-ł-/ *'il-sxi- 'платить, покупать' (359) с регулярным переходом "-ł- в -n- перед -ł-, -s-.||1026
353|*vilvə-|833|ухо|*biłu=|1337|*'elɣʷă-, *'il(u)-|361|||0
354|*vĕlu-m-|0|слушать|*balo-m- (~ p-)|1330|*'ilwś(ə)-|362|||0
355|*qʷorvъ (~ -r'm- ?)|0|ложка, ковш|*foRbъ-, *fonbъ|1388|*qŏz "|1575|||952
356|*sẹŋə- (~ *-mŋ-)|1552|смеяться|*teŋŋə- (~ ạ)|1287|*łiŋ ", *łŋi-|364|||1077
357|*šəmẹ-|1760|окунать, мыть|*šəme ~ *š-me-|801|*ləmi-|365|||0
358|*ъt́mъs-|0|мыть|*ъtmъt- (~ *-šm-)|1267|*čimł-|366|||0
359|*(t)ə̆lvə-|0|гореть|*(t)əlbə-, *-əlbə-|1218|*lu-|367|||1052
360|*łɣъĺu- (~ *sɣʷ-)|0|пот; потеть|*cɣъlʒo-n|1532|*łxəz- "|368|||641
361|*skʷiv-|1751|ночевать; ночное время 1|*tkib- ; *kib "|705|*łx(w)i-, *łx(w)i-ŋ|369|||369
362|*skʷŭ-|828|кончаться, прекращаться|*tku-|584|*łx(w)i-|370|||591
363|*pəl-skʷu-|0|кончать|*əplə-(tku-)|1015|*-pl-, *pĭń-łxwi-|371|||0
364|*shʷъłvъ|0|день|*tʁъłfъ-šɨ (~ *cʁ-)|255|*qłhăl   (~ -ŏ-)|372|*ĺhъłhʷъ-šɨ (~ *h-) ?||67
365|*sva-|0|сидеть, жить|*tba-|1320|*ła-|373|||592
366|*sva-ɣal-|0|садиться|*tba-ɣal-|1321|*ła-wŭl-|374|||0
367|*sop-|0|закрыть|*top- ~ *tup-|1290|*śop-|385|||0
368|*svat-|0|установить (оружие)|*-tbat-: *š-ъtbat-|1322|*łot- 1|376|Каузативное образование от *sva= 'сидеть' (365). В камч. побеждает вторичное значение, но оттенок 'выстрела один раз' предполагает 'установку самострела или пищали', а не 'стрельбы из лука'.||0
369|*sĳu- ~ *siɣʷu-|0|жила, тетива|*ъtʒo=|1237|*siwə|377|||0
370|*ъskɨ-|0|пахнуть, запах|*ъtkɨ-|1246|*'ĭsk'ĭ-k-|378|||0
371|*š(H)əLme-|1698|узел|*šə̣(m)lạt-|1116|*sxolwa-|379|||0
372|*səmkə|0|кочка|*tə̣mkə̣ "|1269|*śĭmk'|380|||823
373|*sən-|0|сопка, лес|*ə̣tn-ụp|1271|*śĭn|381|||0
374|*sĭɣə-|0|сани, лыжи|*tịɣə̣= "|1226|*sxe-(le-)|382|||0
375|*silmə-|0|орел|*tilmə "|1223|*sle-č|383|||595
376|*si-si-|0|игла|*ti-ti-ŋe|1300|*śis|384|||0
377|*svъ-|0|говорить; обещать 1|*ъtbъ-, *ɨna-tb-at-|1315|*ło-, *'an-ło- 1|375|||831
378|*jejvelə ~ *l-|0|несчастный, жалкий|*ʒeʒfeł|522|*le'ĕlu-/ *se'elu-|386|     В юж. камч. отражен вариант с *j-, а в зап. камч. с *l- в результате ассимляции.||243
379|*laŋɨ(j)|0|девушка|*laŋɨʒ|211|*'ĺaŋe|387|Ср. 'младший брат'.||947
380|*lɨɣ(ʷ)ə|0|глист, гусеница|*lɨɣ "|1535|*'lɣʷə "|388|||949
381|*-əłhu-|0|показать|*ine-n-łʁu-|175|*na-n-ło-|389|||0
382|*'əł-łqʷu-|0|смотреть, высматривать|*əłʁu-, *ə(łə)łʁu-|174|*'əłčku-|590|     Точным соответствием камч. форме является прачук. образование *ł́i=ł́h=et= < *łi=łhu=et= 'рассматривать' (1578). Прачук. =hu= возникло вторично из =vu= в этом употребительном глаголе. Необходимо отметить, что в этом глаголе безударное =e= нерегулярно чередуется с нулем звука.||0
383|*lel'mə|0|роса|*lạl "|139|*'le'lŭm|391|||0
384|*vъrɣъ|1623|вяз, каменная береза|*bъrɣъ " (~ *f-)|1595|*'eźɣə|356|||1175
385|*ŋə̆l  ~ *lə̆ŋ|0|рыбья икра|*lelŋə-n|155|*ŋil "|392|     В прачук. *lelŋə= < l=elŋə= с начальным повторением первого согласного сочетания, аналогично словам *m=imlə 'вода', *m=ɨmlə 'тюлень', m=əmlə 'вошь'.||0
386|*lelvə-  ~ *luvlə|0|усы, борода|*lelu-|142|*'lu'ʷəl|393|||939
387|*ləmɣə "|0|шапка, опушка шапки, мох|*Ləmɣə "|203|*'ləm "|394|||449
388|*'ъłmał-|0|верить|*ъłmał-|202|*łmał-|395|||0
389|*'ъłvъ-|0|победить, одолеть|*ъłbъ-|238|*luj-kət-|396|||28
390|*'əlɣʷi|0|знать, правда, действительно|*əłɣi, *əĺɣi|163|*'lɣ(ʷ)i|397|||0
391|*'əłqə-|0|холодный|*əłqə-, *łəq-łeŋ|192|*łqă-|398|||1009
392|*'əlq-əl(ə)q-|0|рыбьи молоки|*ĺəq-ĺuke-|193|*lqi-lqi-|399|     Редупликат от слова *luqĕj (421) 'молоко'. По семантическому развитию в прачук. и камч. слово оформлено показателем множественного числа. Ср. также практически тоже самое и в рус. 'молоко' ~ 'молоки' и лат. 'lac' ~ 'lactes piscium'.||0
393|*'əłłĕ-|837|глаз|*ə̣łłạ-|148|*'loŋ, *'lŭl-|400|||0
394|*lŏł́'ə|0|penis, пуп|*lolo-|1790|*'əłč|401|||0
395|*ъłła-š(ɣʷ)ъ-|0|ресница|*ъłła-šɣъ-n|1597|*lałčə|402|     Старое сложение 'волос глаза'.||0
396|*lepɣə|0|мешок, корзина|*lepəɣ|203|*'lep(s)xe|403|Не исключено заимствование в ПЧ.||950
397|*'ĕləpə-|0|сустав|*(e)ləp- "|223|*lop "|404|||0
398|*lɣiłiɣʷə-|0|шутить, насмехаться|*cɣicib-|339|*xiłiwaj-|406|||0
399|*lɣiŋ|0|сеть|*nɣiŋ "|373|*xilɣĭŋ, *-ilɣiŋ|407|||0
400|*lhiɣ(ʷ)ŋə|364|волк|*lʁiɣ-nə|432|*xiɣŋə|408|||372
401|*lhiše-|0|торопиться, мчаться|*lʁiše-|469|*hise-|409|||0
402|*lhitə-|0|шея|*lʁitnə ",#|479|*hejte-|410|||0
403|*łɨjomča (~ *l-)|1194|ива, тополь|*ʒomša-n (~ ĺ-)|536|*łiwŭmč|411|||0
404|*lkeju-|546|размышлять|*əckeʒ-u- (~ -ł́k-)|186|*kojo-s(e)-|1320|||0
405|*qəĺqəĺ "|0|стыдиться, отказываться|*qəLqəL-|1789|*kśkozo-|413|||0
406|*hĕv-es-|0|отделяться, отходить|*(ʁ)effet/b-|138|*kźeł-|414|||0
407|*'əlqŭsv-|1364|встать|*Lqut-|788|*'əlqăru-|918|||692
408|*lŭlhẹ-|1759|лодыжка, щиколотка|*lụl(l)ạ=|158|*ləlHi-łč|724|||0
409|*łɨłka- (~ *l-)|0|мышь, лемминг|*cɨłka-|1523|*lełk'-|417|||0
410|*lĭɣ(ʷ)ə|0|яйцо|*Liɣ ", *Lif "|160|*'lɣ(ʷ)i "|418|||699
411|*łĳɣʷə-|0|беспокоить, вредить|*ciʒbə-|248|*łiwe-|419|||0
412|*lil "|0|жёлчь, шикша|*lil "|143|*'lil|424|Ср. *liŋlə 'желчь, голубика' (416).||940
413|*lilĭ-|0|рукавицы|*LiLi-|144|*lel-eŋ, *lil-|421|||941
414|*'ĭlŋ̣ə|0|ремень|*ŋiLŋə-n, *-iLŋə-n|912|*'ĕləɣ-(əl-)|1413|||0
415|*liŋu-|1804|сердце|*Lịŋ "|213|*'liŋ(u) "|423|||2250
416|*liŋlə|0|жёлчь, голубика|*liŋlə #|215|*'liŋil(-č)|420|Ср. *lil 'желчь, шикша' (412).||509
417|*lpələ-|0|кусать, грызть|*lpəLV-|1018|*pəl-k-|425|||0
418|*'ъpaɣʷ-|728|пить, глотать|*ъp(ʁ)ab-|1598|*p(')aw-|426|||0
419|*lpəhe-(s-)|0|рваться, дырявиться|*ləpʁ-et-|225|*pha-lpha(l), *'ən-phe-(ł-)|427|||537
420|*lołohə (~ *ł-)|0|сосок|*loloʁъ-, *łoʁъ-|237|*lŏlhu-, *loh-|429|В ед. числе неполная редупликация первого слога. Этот корень имеет вариант *lohʷ= 'сосать' (422).||202
421|*luqej (~-l)|0|молоко|*luqeʒe|239|*ĺuk'əl ~ *luk'əĺ|430|     Связано со словом 'молоки' *ləq=ləq= (392), а также *lohʷ= 'сосать' (422) и *łoh (~ *l=) 'грудь (женская)' (420).||0
422|*lohʷ-|0|сосать|*lofbъ-|245|*'əlh(w)ə-|735|     Вариант корня *łoh (~ *l=) 'сосок' (420).||0
423|*'əł́ɣʷe-rV|0|обувь, торбаз|*əcferi|240|*śfĭ-, *śfa-zo-|432|Ср. *ĺaɣŏ= 'голенище' (432).||944
424|*śăkъvɨ-('n)|0|старшая сестра, женщина|*cakɨʒtъ-, *cakъɣɨt|184|*skwa-n, *-sx|434|     См. камч. *-śx (1629).||0
425|*jъn|302|огонь, искра|*ʒъn "|542|*śun-|441|||0
426|*ł́ъɣɨ-|0|краска коры ольхи|*ъcɣɨ-|167|*sxən-|435|||62
427|*ł́ot́|0|затылок|*cot "|234|*suč|436|||0
428|*vəłqə|0|уголь (каменный)|*bə̣lqə̣ "|1350|*śitłx|437|||0
429|*javal (~ *-ł)|0|сзади, назад|*ʒabał|575|*śal|438|||0
430|*jeqnə-|0|внизу|*ʒeʁənə- ~ *əʒʁenə-|1468|*skn-|439|||0
431|*jenə-|0|ранить|*ʒ[e]n-|1469|*śen-|440|||0
432|*ĺaɣŏ-|0|голенище|*laɣu=|159|*śxa-|433|     Ср. *əł́ɣʷe-rV 'торбаз' (423).||0
433|*jъtъɣʷ-at-|0|топтать|*ъʒtъffat-|571|*śt'w-at-|442|||0
434|*jъrrъ-|0|красный, железный|*ʒъrrъ-|564|*č'a-|443|медь?||0
435|*'əjilə-|0|давать|*əʒələ-|498|*źil-|444|||0
436|*'ərɣʷə-|0|щекотать, щипать, царапать|*ə̣Rɣə̣-, *ъRɣo-|1134|*č'oɣʷ-|445|||0
437|*jəmŋə-|0|прятаться|*ʒəmŋə-|539|*suŋ-|446|||0
438|*šiĺĭ- (~ *r-)|0|прилив|*Rili-|1596|*sẹz-|447|||0
439|*'ẹrə-|0|морской берег, отлив|*er- ~ *ɨr-|107|*'iz-|448|||0
440|*jiłhe-|0|брат, сестра (двоюродные)|*ʒɨłʁa=|502|*śilla-|449|||0
441|*jiɣəji|0|кишка|*ʒiɣʒi #|513|*śiɣ(ʷ)əź|450|||647
442|*tumɣə|0|друг, брат|*tumək, *tumɣə-|1260|*tumx|451|||124
443|*'ĳłə (~ *j-, -ł́'-)|1144|язык|*ʒiʒłə "|521|*łčil, *'ičil|452|||0
444|*'jilĭ-|0|выбирать, собирать|*ʒiłi-|496|*čil-k-|453|||0
445|*'jiḿə-|0|густой|*ịʒmə̣-, *-ə̣mʒ-ạt-|1529|*č'ims-|454|||0
446|*jə̆kə-|0|делать|*te-ʒkə-|1241|*sk-|455|||0
447|*'johʷə-|0|встречать|*ʒoʁъ-|516|*čawa-k-|456|||0
448|*'ĭł́uɣʷ|0|дождь|*ił́uf-(-ʒi-, -ri-) ~ *i(m)ł́uf-|448|*čŭf "|457|||0
449|*junĕs-|0|жить|*ʒunet-|541|*śunł-|458|||146
450|*jĭthẹ-v-|0|мять кожу|*ʒitʁe-b-|572|*st'is-|459|||0
451|*čăššo "|0|место под локтем, пазуха|*raššo-n|1184|*(t)'lot'il|1101|||374
452|*ĺeq-ju|1735|чайка|*ʒạq-ʒạq ", *ĺạqĺụ|529|*jeq-jeq "|460|||0
453|*jejpə-|0|копыто|*ʒạʒpə̣-, *ʒạʒtə̣-|524|*jejpə-|461|     Образование от *jejhə= 'ступня, подошва' (340).||0
454|*jephə|0|до сих пор, хотя|*ʒep|552|*jepx|462|||0
455|*jẹɣʷši|0|цикл, год|*ʒafšɨ-|579|*'ixłtu|463|||245
456|*jъmŋъl|186|сказка|*ĺъmŋъĺ < *ʒъmŋъl|209|*'amŋəl|464|||1094
457|*'ъjtъ-|0|доставать, приносить, вносить|*-ъʒtъ-|569|*ti-k-|465|||0
458|*šĕɣeł-|0|связать, сшить, нить|*Reɣeł-|1131|*shit-ł|512|||642
459|*čъlɣʷъt-|0|палец|*šəLɣət= " (ъ)|1121|*t'il'at-, *tʷəlq|1261|Ср. пракам. *'lʷəfłi-č (~ -fči-) 'палец' (467).||638
460|*'əjŋe|0|туман, облако|*ə̣ʒŋạ "|545|*'ĭŋej-(əm/ŋ)|468|||0
461|*'iɣʷjəqə-|0|ужасный, страшный|*ifʒəq-|1465|*'iʷjaqi-|469|||0
462|*jikrə-|0|жаждать|*ʒikRə-|528|*'ĭk's-|470|||0
463|*'ŭlvə-|0|держать|*uLbə-|2239|*'ən-lu-|471|||0
464|*jəł́qə-|0|спать, быть сонливым|*ʒəłqə- "|506|*sqa-|472|||0
465|*'ivu-|98|говорить, рассказывать|*ib-, *š-ʒib-|482|*'ən-'izu-|473|||0
466|*'ənju-|0|стеречь|*(šə)ʒu-, ? *ʒu-t-|495|*'ənju-|474|||1069
467|*juŋju|0|кит|*ʒuŋʒu # "|544|*juŋju-ŋ "?|475|||0
468|*juɣʷe|0|гагара|*ʒụbbạ " ~ *ʒobba "|581|*jowa "|476|||0
469|*joqa-|1296|красный, ясный|*ʒoqa|532|*suka- ЮК|1490|||0
470|*šałɨ-|0|скользить, кататься|*šałɨ-|1112|*săĺa-|478|М.б. лучше *txle= (141). а впрочем см. носить, возить.||383
471|*'nə-qə|1476|вопр. местоимение что|*šeq, *šən-|1152|*'ăŋqa|891|Ср. камч. *sa-q 'что за, какой' (479).||480
472|*šъlъ-|0|лежать|*ъšlъ-, *šъl-ɣal- (~ -ł-)|1117|*śŏl(o)-|480|||0
473|*t́e'nə|0|грязь, выделения|*ceRi "|1120|*čĕre-m, čĕne-|761|||980
474|*'əšpe-|0|каменный пест, молот|*əšpe-ŋe|1173|*spe|482|||400
475|*'ilɣə-|0|утираться, вытираться; мыться|*ilɣət-eb-|1997|*łxa-|483|||630
476|*ši[pq]u-ke|0|песец|*šiquke|1153|*śipuq|484|||0
477|*śiŋ̣- "|0|крыло|*tiŋə=|1278|*śisi-|485|В камч. редупликат - < *śiŋ̣-śiŋ̣.||615
478|*šilqə|0|толченная еда|*šilqə "|1126|*silq "|486|||70
479|*lirpə-|0|плечо, рукав|*lirpə(l)- > *r/šilpə|1122|*śpĭl|487|||648
480|*šiŋĕ-|0|летать|*šiŋe-|1169|*śiŋ-|488|||97
481|*('e)ĺjĕɣʷ-|0|сладкий|*(ạ)lʒạɣ- (-f)|22|*č'iwiz-|489|||0
482|*-t́ivə-|0|насыщаться|*ine-tibet-|1600|*či'i-|490|||390
483|*t́eɣ(ʷ)ra|0|муравей|*tạɣạrạ|1225|*č'ozaq|491|||0
484|*raḿə- (~ *š-)|0|резать, сжинать|*-Ram-ab-: *š-Ram-ab-|1515|*sams-|492|||636
485|*'əre-|0|входить|*re-|1108|*č'e-|493|||650
486|*rĕtĕ'm|0|ровдуга|*retem|1189|*śtwi-m|1493|||0
487|*rəł́ɣʷe- (~ *š-)|0|личинка, червь|*Rъcfa-|1119|*śeśxel|495|||0
488|*šhašqъ|0|алык, шлея|*ъšʁašqa|1139|*śasq-|496|||0
489|*rъčъš|0|жила, нить|*rъššъ(-t) "|1187|*śitł; *shitł|497|||0
490|*rəqi-|0|гнить|*ərqi- "|1601|*śuq-|498|См. 'гной'.||0
491|*rъqɨ-jol|0|гной|*ъrqɨʒol|1155|*śq'al|499|     Основа с аффиксом собирательности.||0
