NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
372|*qłhăl   (~ -ŏ-)|364|день|KLXăL, KLXë̆L-e|KĹXë/öL|qłhăl (qłhăl' pl.) 1, 2|qłhăl (qłhə̆'l, qłhe'l pl.) 1, qłhle adv. 3||день 1, сутки 2, днем 3|kĺxel, kĺxol, kĺxul [kuĺxaĺĺa*] (kĺxil-in poss., kĺxen-ɨnk, kš̲xĺen-ɨnk loc.)|dies|dzień||||154, 150, 166|42, 23, 118|||123, 126, 95, 98||В подаче зап. камч. материалов Дыбовского вместо рус. рукописного "ш" = [š] издателем прочитано "т" = [t].||67|
373|*ła-|365|сидеть, жить|La̲=|Śa=|ła-kes 1|ła-kas (t-ła-skičen 1sg. pres., q-ła-sxč 2sg. imper., q-ła-ssx 2pl. imper., ła-zen 3sg. pres., ła-sč 3sg. pres.)|la- (la-zc 2sg. pres.) 2|сидеть 1, жить 2|ša-kaz|sedere|siedzieć|k-i-tva-x kax 2sg.3sg. imper.|praepara kach|nastawiaj samowar|30, 200|50, 109, 76||93|146|112|См. образования *łano-m (910), *ławŭl- (374), *łot- (376)||592|
374|*ła-wŭl-|366|садиться|LạFu̲̣L=|SaXoL=|ławŭl- 1, ławŭl-no-m 2|ławul-kas (q-ławul-xč 2sg. imper., q-ławul-sx 2pl. imper., k-ławul-knen 3sg. perf.) 1||садиться 1, птичья отмель, птичий базар 2|saɣol-kaz|sedere|siedzieć||||29|50|||149||||0|
375|*ło-, *'an-ło-|377|говорить, обещать|Lo̲=, a̲N-Lo̲=|Ĺo=, aN-Ĺo(-N)=|ło-|ło-s (t-ło-sčen 1sg.3sg. pres., ło-zen 2sg.3sg. pres., ło-znen 3sg.3sg. pres.) 1, 4, 'ań-ło-s ('ań-łoz-e'n pl.) 2, 'ań-ło-'ł-kas ('ań-ło-'ł-qzo-zen 3sg. pres. dur.) 3||говорить 1, обещание 2, обещать 3, отвечать 4|'ań-ĺo̲-z, 'an-šo-z 1, lan-šoń-'an 2, kazən ĺo-kaz 3|promittere 1, promissus 2, loqui 3|obiecywać 1, obiecany 2, mówić 3|nu-kaz 1, nu-zəĺč 3pl. pres. 2|dicitur 1, (homines) dicunt dicitur 2|mówić 1, (ludzie) mówią|40|52, 15|||85, 86, 129, 116|116|В передаче зап. камч. материалов Дыбовского пропущено двоеточие над рус. "ё" = [T́o] и  ошибочно читается как "е" = [T́e].||831|
376|*łot-|368|выстрелить (один раз), застрелить|Lo̲T=|ŚoT-So=|łot-kes 1|łot-kas (t-łot-kičen 1sg. pres., q-łot-xč 2sg. imper., k-łot-knen 3sg. perf.) 1, łot-es (t-łot-čen 1sg.3sg. perf., q-łot-x 2sg.3sg. imper., k-łot-'an 3sg.3sg. perf.), łot-zo-kas dur. (t-łotzo-kičen 1sg. perf.) 3||выстрелить, стрелять (один раз) 1, выстрелить, застрелить 2, стрелять много раз 3|šot-zo-z 1, šot-zo-kaz 2|glande sagitta interficere 1, jaluari 2|zastrzelić 1, strzelać, postrzeliwać, ranić 2||||208|52|||153||||0|
377|*śiwə|369|тетива|SiF|SiF|siw**|||тетива|siv|nervus, chorda|cięciwa||||||336||148||||0|Интересно, как сюда прачук. *ъtbɨt- 'тянуть, растягивать, стягивать с, пялить, дергать' (1314).
378|*'ĭsk'ĭ-k-|370|пахнуть|SKặ(S)=, N-ïSK'ï-K=, N-ïSK'ï-HL=|iSK=, N-ɨ̈SKï=|skăs- 1, skăz-no-m 2|sq-kas (sqaz-zɨn 3sg. pres.) 1, ne-sk'e-k-as SO (nɨsk'ɨ-sčiŋne'n 3sg.3pl. pres.), n-esk'e-'ł-kas S (n-ɨsk'ɨ-'zɨn 3sg.) 3|~ t-evsxə-žk (хайрюз.), t-evsxi-s 1sg. pres. 3|пахнуть 1, запах 2, нюхать, обнюхивать 3|'is̲k-kaz 1, n-əske-kaz 2, n-ɨčk 3|foetere 1, odorem rei trahere, naribus vestigare 2, nicotiana tabaccum 3|śmierdzieć 1, wąchać, węszyć 2, tabak 3|(nakoj) ski-zɨ-zkik dur. 3sg. pres. 1, ski-buzax 2|quid olet 1, allium sp. 2|co czuć, co pachnie 1, gat. czosnku 2|120|78, 64||86|104, 138, 140|118|В публикации зап. камч. матеpиалов Дыбовского непpавильное пpочтение рус. pукописного  "с" = [s] как "г" = [ɣ].||0|
379|*sxolwa-|371|узелок|SXo̲LFa̲=||sxolwa- 1, sxolwa-no-m/ŋ 2|||быть об узелках на нитке 1, узелок на нитке 2||||sxoĺau̯-d pl.|nodi in retibus|węzły w sieci|119, 125|||||117|||0|
380|*śĭmk'|372|кочка|SịMK'-a, SʷïMK'-e|ŚụmX(a)|simk' (simk'a-'n pl.)| ̊sə̆mk' ( ̊sə̆mk'e-'n pl.)||кочка|šumx (šumxa-'al coll.)|lutum concretum truncus contectus|stwardniałe grudy ziemi, pień obrosły, pokryty||||129|82|||154||||823|
381|*śĭn|373|лес|SïN, Se̲N ?|ŚïN|sin (se'n pl.)|sin- (sin-k loc., sen-ke adr., sen-x'al abl.)|sün (sön-k, šon-k (хайрюз.), zön-k (седанк.) adr.)|лес|šin-in, sin-in poss.|silvester|leśny||||53, 30, 149|77, 60, 82||89, 86, 87|152, 148||||0|
382|*sxe-(le-)|374|сани, полозья, нижняя часть саней|S̈XLï-N, S̈XL-e|SXëN ", S̈XL-e|sx-lĭŋ|sx-lə̆ŋ (sxle-'n pl.)||полоз нарты|sxen-sxen 1, sxle-n pl. 2|trahea, praesertim 1|sanie 1, połozy u sani 2||||31, 40, 143|81|||146, 147||В ител. -lĭŋ - суффикс единичности.||0|
383|*sle-č|375|орел|SLe-C|SLe-C|sle-č (sle-čh dim., sle-ɣaj magn.)|sle-č (sle-'n pl.)||орел|sle-č (sle-n pl.)|aquila|orzeł|sĳa-č, sĺa-č|aquila|orzeł|72, 25, 67, 39|78|||143|117, 118|||595|
384|*śis|376|игла, иголка|SïS-e|Śị̈S|sis (sis-e'n pl.)|sɨs (sɨs-e'n pl.)||иголка|šis (šis-in pl.) 1, šis-'ańə-lex-in 2|acus 1, abietinus 2|igła 1, iglisty, szpikowy 2|šisa|acus||121, 165|82|||152|118|||993|
385|*śop-|367|закрывать|So̲P=|ŚoP-aT=|sop-es|sop-es (q-sop-x 2sg.3sg. imper., q-sop-xe'n 2pl.3pl.)||закрывать что-либо|šopat-ɨz|contegere, obvelare, obscondere|zakrywać, zasłaniać||||200|79, 63|||153||||0|
386|*'le'ĕlu-/ *se'elu-|378|несчастный, жалкий|LëHLüN- "|LëĹü=|le'luŋ-lah 1|le'luŋ-lah 1, le'luŋ-le'luŋ " (le'lu-'n pl.) 2||несчастный, жалкий 1, несчастье 2|leĺu-tinxen|pauper, miser|biedak, nędzarz|sa'adus-ki|miser|biedak|319|49|||130|117|||243|
387|*'ĺaŋe|379|девушка|La̲Ne̲ -CX||ĺaŋe (ĺaŋe-'n pl.) 1, ĺaŋe-čh dim. 2|ĺaŋe (ĺaŋe-'n pl.) 1, ĺaŋe-čh dim. (ĺaŋe-'ń-č pl.) 2||девушка 1, девочка 2|||||||30, 395, 132|50|||||||0|
388|*'lɣʷə "|380|гусеница, червь, кузнечик|LFə-LF|əĹĹə-N-C|lwə̆-lf|||гусеница|'əĺĺə-n-č dim. pl.|oniscus asellus|czerw, gat. ośliczki||||42||||100||||949|
389|*n-an-ło-|381|показывать|a̲NLo̲=, N-a̲NLo̲=||nanło-qzo-mi'ŋ 3sg.1sg. (adr.) 3sg. past SO 1|'ańło-ł-knen ('ańłoł-kne'n pl.) 2||показывать 1, указательный палец 2|||||||244|15|||||Гpамматическое членение возможно благодаpя внешнему сpавнению.||0|
390|*(ł)inłə-|822|искать (вшей)|LïNLë-Cï=||łińłe-či-sč 3sg. pres.||k-inl-kzu-in 3sg. perf.|искать (вшей)|||||||413|||104|||||0|
391|*'le'lŭm|383|роса|LëHLü-M|LeLe-M|le'lum|le'lŭm||роса|lelem|ros|rosa||||35|49|||130||||0|
392|*ŋil "|385|икра (рыбья)|NiL "|NaL̃-NaL, NəL-NəL|ŋil-ŋil "|ŋɨl-ŋɨl (ŋɨ'l pl.)||икра (рыбья)|gangal, nəńgal, nəlgləl 1, kẹ-ńgəl-an 2|ova piscium 1, piscis femma plena 2|ikra 1, ryba mająca ikrę 2||||108|65|||137, 103, 138, 119||Столкнувшись с трудностью передачи велярного -ŋ- в данном слове в анлауте и после -l-, Дыбовский использует несколько вариантов записи: gangal (*ŋa(l)ŋal), nəńgal (*ŋəŋal), nəlgləl (*ŋəlŋl-əl), последняя форма или instr. или pl.||943|
393|*'lu'ʷəl|386|борода, усы|LuHFL|ĹüHi̲Ĺ, LüFə̈L||lu'wə̆l||борода, усы|ĺu'il 1, luvəl 2, lo'iĺ-čəxsi-kaz 3|barbula in labro superiore 1, barba 2, se radere 3|wąsy 1, broda 2, golić się 3|'ujxuĺ-n pl.|barbula in labro superiore|wąsy||48|||132|120|Похоже, что lu'wəl представляет из себя множественное число основы *lul, но вторично как неразложимая чистая основа форма pl. начинает использоваться в сложениях.||939|
394|*'ləm "|387|мох|LəM ", LMə-|LɨM "|lə̆m-lə̆m " (lmə̆-'n pl.)|lə̆m-lə̆m " (lmə̆-'n pl.)||мох|lɨm-lɨm "|musas|mech||||126|49|||132||||449|
395|*łmał-|388|верить|Lmạ̲L=, aN-LMa-No-M|aN-ĹḾaL=, aN-ĹḾaĹa-XəT=|łmał-u (supin.) 'ełes SO 1, łmał-u 2|łmał-es 2, 'anłma-no-m ('anłmano-'n pl.) 3||верить 1, вера 2, спор 3|'ań-ĺḿaĺa-ɣət-əz 1, 'ań-ĺḿal-kaz 2|affirmare, pro certo aliquid dicere 1, punire 2|upewniać 1, karać 2||||102, 216|51, 14|||85||Ср. *č'măl- 'ругать' (913).||0|
396|*'luj-kət-|389|сила|LuJKəT-Nə-M||lujkət-nə-m**|||сила|||||||||337||||Вторая часть -kət- 'твердый, крепкий' < *ktă- (613).||28|
397|*'lɣ(ʷ)i|390|настоящий, действительный, очень|LXi-|ĹXə̈-|ĺɣi 2|ĺwi- 1, ĺwi(-) 2|lhi-, lii- 3|действительно, истинно, настоящий 1, очень 2|xi-ĺɣəɣ, xi-ĺɣənx superl.|vix, aegre|prawie, ledwie|vi'u-čam|sic, revera|zaiste, w rzeczy samej|25|50||102|91|121|||0|
398|*łqă-|391|холодный|L̈K-|Ĺ̈K-|lq-lah (łq-aq adv.)|lq-lah (xi-, lq-aq adv.)||холодный|ĺk-leɣ, ĺk-lex-in|frigidus, fontanalis|zimny, chłodny, zdrojowy, źródlany|səki-s/zix 3sg. pres. 1, si'i-nik 3sg. past 2|frigidus est 1, frigore corruptus est, frigore peremptus est 2|zimno 1, zamarzł, zmarzł 2|319, 27|47|||131|117, 118|||1009|
399|*'lqi-lqi-m|392|рыбьи молоки; плавательный пузырь|LKïLKï̆-M -e|ĹKï-ĹKə̈-|lqi-lqi-m|lqi-lq-e'n pl.||рыбьи молоки|ĺki-ĺkə-n pl.|lactes piscium|mlecz rybi|['əlku̯ai̯*]|vesica|pęcherz|108|172|||131|113|||0|
400|*'loŋ, *'lŭl-|393|глаз|Lo̲N, LuL|ĹĹo, ĹoHəĹ, Lü/ɨ̈L|loŋ sg. (lŏŋ-a-'ń-č dim. pl.), lŭl' pl.|lŏŋ sg., lu'l pl.|lul (lu'l pl., lul-el instr.)|глаз|ĺĺo, [leĺĺa*] sg., ĺo'əĺ pl. (lul-k, lɨl-k loc.) 2, kam-iĺ-kin, kam-lul-kin, kam-lɨl-kin 3|oculus; ocularis; coecus 3|oko 1, oczny 2, ślepy 3|nana sg., nani-d, [nanni-n*] pl. 1, 'a-nini-k 2|oculus 1, caecus 2|oko 1, ślepy 2|51, 155, 124, 167|48||89, 90|131, 132, 113, 114|115, 104|В юж. камч. отрицание образовано с помощью каритивного конфикса *'e-...-kV.||0|нив. ńaꭓ
401|*'əłč|394|пупок|ë̆LC-e|iĹC|'ə̆łč, 'ełč ('ə̆łč-e'n pl.)|||пупок|'iĺč|umbiculus|||||127||||105||||0|
402|*'lałčə|395|ресница|LäLC-e||lałč (lałč-e'n pl.)|lałčə̆-ŋ (lałč-e'n pl.)||ресница||||čo̯anu|cilium|rzęsy|67, 127|46||||106|В юж. камч. čo̯anu < *član < *lčan.||0|
403|*'lep(s)xe|396|травяной, мешок, корзина|LePXe|Le̲PSXo-S, CiPSXe-L|ĺepxe 1|ĺepxe (ĺepxe-'n pl.)||мешок из травы 1, травяная корзина (для ягод, корнеплодов) 2|lepsxos, čipsx-el instr.?||kobierzec pleciony z sitowia, rogoża||||30|50|||97||||950|
404|*'lop "|397|сустав|Lo̲P-Lo̲P-a, Lo̲P-aCX|LoP ", ĹoP-|lop-lop (lop-lop-a'n pl.)|lop-lop (lop-a'n pl.), ĺopa-čh (ĺopa-ń-č pl.)||сустав|lop-lop 1, ĺop-səmza-'an 2|articulus 1, luxatura 2|staw w ciele 1, wywichnięcie 2|nun-nup (nup-ad pl.)|artus|staw (w cilele)|26, 38|47, 50|||132|116|||0|
405|*t'łxe-, *č'łxe-|838|драться|Lü-TLXë=, Lü-TLXï= ~ Lü-TLXë̲=|Ĺü-TĹXë=, Ĺü-CĹXë=|lu-tłxe-kes recipr. 1|lo-t'łxe-kas recipr. (lu-t'łxɨ-zɨ'n 3pl. pres., zaq łu-t'łxe-kaq 2sg. neg. imper.) 1, 2, lo-t'łxe-no-m (lo-t'łxe-no-'n pl.) 3, k-'lu-tłxe-'in part. 4, k-'lut'łhe-wal 5||драться 1, воевать 2, битва, война 3, драчун 4, армия 5|ĺ(')o-tĺxa-kaz recipr. 1, k-lu-tĺxe-'in 2, ĺu-čĺxe-'in 3|concitare, sollicitare 1, lascivire 2, militaris 3|buntować 1, swawolić 2, wojskowy 3||||210|48, 38, 134|||132, 123||||1064|
406|*xiłiwaj-|398|издеваться|XịLịFaJ-||xiłiwaj-u (supin.) 'ełes SO|||издеваться над кем-либо|||||||216||||||||0|
407|*xilɣĭŋ, *-ilɣiŋ|399|сеть, невод|XiL(X)iN|XïĹXïN|xilɣin, xilɣə̆n, ɣilwən** 1, 'u-'əlɣiŋ** 2|xilɨ-ŋ (xilɨ-'n pl.)|xiləɣəŋ|сеть, невод 1, морда (рыболовная) = деревянная сеть 2|xiĺɣɨn, xiĺɣin (xiĺɣi-'in poss.) 1, 'u-ilɣin 2, xĺxin-tĺ-kez 3|rete 1, nectere 3|więcierz pleciony z łoziny 2, wiązać, splatać 3|ɣida|rete|sieć na ryby, niewód|95, 157|97|346, 348|88|91, 93, 162|107|||0|
408|*xiɣŋə|400|волк|XeJNë ?, XïXNë|XịXNạ|xejŋe|xɨwne (xɨwne-'n pl., xɨwne-'in poss.)|xeihinə|волк|xiɣna|lupus|||||155|98||88|91||Этот корень контаминирует с *kejŋə- 'медведь' (216), именно из-за этого в ител. xejŋe 'волк' вм. *xiɣne, у Стеблинского xeihinə вм. *xihinə. Диалект ИРС и Дыбовского отражают регулярную рефлексацию праформы. В юж. камч. iu̯ĺma-d из ранней формы типа *'liɣʷŋə- с последующей метатезой -l- в середину.||372|
409|*hise-|401|мчаться|XïSë=, XïSï=|ŚəSəN=, XaSəT=|hise-kes|hese-kas (hisɨ-zɨn 3sg. pres.)||мчаться, скакать галопом|šəsən-kaz 1, ~ k/ɣasət-kaz 2|celeriter 1, succurare, invadere 2|szybko 1, podbiegać, nabiegać 2||||151|100|||151, 103||В зап. камч. в первом случае вторичное фонетическое развитие или передача Дыбовским h́i- как śi- (šə-), но с другой стороны (-)š- часто используется для передачи (-)ł-, а развитие прачук.-камч. *-łh- > -ł- происходит в интервокале. Запись второго слова с колебанием начальных ɣ- и k- бывает у Дыбовского при передаче увулярного спиранта, кстати, в поствокальной позиции в ауслауте -h довольно часто им записывается как -ɣ (как бы без оглушения).||0|
410|*hejte-|402|шея|XëJTë-N|Xa̲JTe̲Ĺ|hejte-ŋ (hejte-'in poss.)|xejten (xejte'n pl.)|xeitɛn|шея|xajteĺ|collum|szyja|xitəĺ|collum|szyja|165|99||88|89|106|В ител. записях Володина h- начальный является ожидаемым рефлексом, вторична ситуация в ИРС, к тому же зап. камч. отражение первого гласного как -a-, а не как -e- или -ə- скорее типично для случаев после увулярных. Явно производным от этой основы является ител. xi'tən-i'n pl. 'длинные колья закола' (Володин, Жукова 350).||0|
411|*łiɣʷŭmč|403|тополь|LïFümC-e|XïHüMT, ŚïXïMC|łiwumč (łiwumč-e'n pl.)| ̊łiwumč ( ̊łiwumč-e'n pl.)||тополь|xi'umt, siɣimč 1, 'atx-šiɣimč 2|populus 1, populus tremula 2|topola 1, osika 2|kumunut|populus nigra|topola czarna, sokora|127|51|||92, 147, 87|114|В зап. камч. 'atx-šiɣimč буквально 'белый тополь'. Для юж. камч. может быть лучше зап. камч. šumnət 'жимолость, wiciokrzew (gat.), lonicera sp.' (Дыбовский 1, 154).||0|
412|*qizu- (~ *k'-)|0|медлить|KïSü=, KëSü=|KeSo=|qa'm k'ezu-kaq ger. neg. 2|qezo-kas (qizu-zen 3sg. pres., zaq qizukaq 3sg. neg. imper.) 1||медлить 1, без размышлений 2|kezo-kaz|expectere|czekać||||418|44|||119||Ср. *kozɣət- 'задерживать' (1321).||0|
413|*kśkozo-|405|стыдиться|KSKo̲So̲=|ŚKo̲So̲=, SKo̲Sa̲=|kskozo-, kskozo-'ł-kes 1|kskozo-'ł-kas (kskozo-'sɨn 3sg. pres., zaq kskozo-'ł-kaq 2sg. neg. imper.) 1, kskozo 2||стыдиться 1, стыдно 2|s/škozo-'ajn  1, s/škozo-ĺan, skozo-lel-kan part. 2, skoza-lax adj. 3, 'ań-ksozo-'az 4|affectus esse, pudore 1, pudicus, recti, pravus 2, conscientia 3, confundere, pudore afficere 4|zawstydzić się 1, wstydliwy 2, sumienie 3, wstydzić 4||||62|33|||153, 148, 85||||0|
414|*kźeł-|406|отходить, отставать|KSe̲L-|KŚə̲L(-a̲T)=|kzeł-|kzeł-kas (zaq kzeł-kaq 2sg. neg. imper., x-kzeł-knan 3sg. perf.)||отставать|kžəĺ-kaz 1, kžəĺat-kaz 2|abscedere, abire, profisci 1, manere 2|odłączać się, odchodzić 1, pozostawać 2||||244|29|||128||||0|
415|*łkza-no-m, *łkzi-|841|след|LKSï=, LïN-LKSï=, LKSa-No̲-M|ĹKSa-No̲-M, ɨ̈KSü=|łqza-no-m (łqzano-'n pl.) 1|łkza-no-m (łkza-no-'n pl.) 1, łkze-kas (zaq łkzi-kaq 2sg. neg. imper.), łen-łkze-s (t-łin-łkze-sčen 1sg.3sg. pres.) 3||след (человека, животного) 1, оставлять следы 2, следить 3|kza-nɨ-m, ĺkza-no-m 1, ĺkza-no-'al coll. 2, t-ɨkzu-al 1sg. fut. 3|vestigum 1, trames 2, ibo profiscicar 3|ślad 1, ścieżka 2, pójdę 3|~ sis-kazix  2sg. pres.|~ stas|~ stoisz|164, 166|51, 54|||129, 131, 161|118|||0|
416|*t(')xun-|708|темный|TXüN-, TXüN=|Tɨ̆XüN ", TïXüN=|txun-lah (txun-q adv.) 1, txun-txun 2|txun-lah (xi-, txun-q adv.) 1, txun-txun (txun-txun-enk loc.) 2, txon-kas (txun-ɨzɨn 3sg. pres., k-txun-knen 3sg. perf.) 3|txun-lax 1, txun-txun 2|темный 1, темнота 2, темнеть 3|t(ɨ)xun-txun 1, txun-k adv. 2, tɨxun-si-zin 3, təxon-kaz 4|tenebrae, iferi 1, tarde 2, extingui 3, obscurare 4|ciemność, piekło 1, późno 2, gasnąć 3, gasić 4||||31, 46, 27|88|160, 155, 156|86|||Использование Дыбовским "ы" = [ɨ] после t- указывает на абруптивность согласного.||0|
417|*'lełk'-|409|мышь|Le̲LK'o̲-C, LeLK'-e ?|LeLKə-C|lełk'e-'n pl.|ĺełk'o-č (ĺełk'-e'n pl.), ĺełk'-aj magn.|lelk'e-'n pl.|мышь|lelkə-č|mus|mysz||||180|50||104|130||||0|
418|*'lɣ(ʷ)i "|410|яйцо|LXi-LX ", Le̲Xe̲-CX, ?ïLXï-T-L=|ĹXi-LX "|lɣi-lx (lxi-'n pl.), leɣe-čh dim. 1, 'elɣet-ł-kes 2|lwi-lx (lxi-'n pl.)||яйцо 1, собирать яйца 2|ĺɣi-lx (ĺxi-n pl.) 1, ĺɣiĺ-sx-k loc. 2|ova 1, putamen, testa 2|jaje 1, skorupa jajka 2|niɣa-'it pl.|ova avium|jaja ptasie|33, 165, 29, 212|47|||130, 131|115|||699|
419|*łiwe-|411|подлый, вредоносный|LïFëK-|ĹFa=|łiwek-lin|||вредить|ĺva-ĺan|humilis, vilis, turpis|podły, niski||||414||||132||||0|
420|*'liŋil(-č)|416|жёлчь 1, голубика (ягода) 2|LiNiL|LeXNɨĹ-C, LɨNɨL|liŋil|lɨŋɨl (lɨŋɨ'l pl.)||голубика|leɣnɨĺč 1, lɨnɨl 2|fel 1, vaccinum myrtillus 2|żółć 1, borówka, czernica 2|ni'au̯-č|fel|żółć|42, 414|48|||130, 132|115|В зап. камч. запись -nɨ- отражает -ŋi-, к тому же часто -ŋ- записывается через -ng-, в данном случае для слова 'жёлчь' немного странна метатеза -gn-, но вполне допустима и может отражать -ŋŋ-.||509|
421|*'lel-eŋ, *'lil|413|рукавицы|Le̲Le̲N, LïL|LiĹ, LɨL|leleŋ (lil' pl.)|leleŋ (lɨ'l pl.)|ləl pl.|рукавицы|liĺ, lɨl|tegumen manum|rękawice||||124, 38, 164|48||102|131, 132||||941|
422|*kʷič|952|палец|TüMKC-e||tum-kč (tumkč-e'n pl.)|||большой палец||||p-kojču-m, p-kojda pl. ? 1, kxida [ku̯ida*] pl. 2, tam-k 3|digitus 1, digiti 2, pollex 3|palec 1, palce 2, wielki palec 3|127||||132|116, 111, 119|Форма единственного числа в юж. камч. была образована вторично от множественного числа путем сочетания с pk- косвенной основы слова 'зуб' или аффикса торчащего предмета -p-.||0|
423|*'liŋ(u) "|415|сердце|LïNC-e|LiN-LNɨ-C,  LɨN-ĹHɨ-C|liŋč (liŋč-e'n pl.)|liŋ-č (liŋ-e'n pl.)|luŋu-luŋu-lc (luŋ-)|сердце|lin-lgɨ-č, lɨn-lĺ'ɨ-č|cor|serce|nuju [nujuɣu*]|cor|serce|51, 127|47||86|131, 132|116|Зап. камч. формы Дыбовского lin-lg-ɨč, lɨn-lĺ'ɨč отражают liŋ-lŋ-ič.||948|
424|*'lil|412|шикша (ягода) (вид тутовых)|LiL|Lɨ̲L|lil' pl.|lɨl (lɨ'l pl.)||шикша|lɨl pl. 1, lɨĺ-no-'al coll. 2|empetrum nigrum (baccae) 1, empetrum nigrum (frutex) 2|bażyna (jagody) 1, bażyna (krzak) 2||||414|48, 122|||132||||940|
425|*pəl-k-|417|кусаться, укусить|Pə̲L=, ?Pə̲L-SXe̲N=|PoL-ŚKoN=, aN-PaL=|pə̆l-kes 1, pə̆l-es, pə̆l-sxen-es mult. 2, pə̆l-sxen-kes mult., 'am-pə̆l-sxen-a'łk-es med. mult. 3|pə̆l-k-as SO (n-pə̆l-x-kmiŋ 3sg.1sg. perf.), pə̆l-sxen-k-as mult. SO (k-pə̆lsxen-knen 3sg.3sg. perf.) 1, 2, 'am-pə̆l-sxen-a'ł-kas ('ampə̆lsxena'-skinen 3sg. pres.) 3, pə̆l-no-m (pə̆lno-'n pl.) 4|pal-x-nu- 2|кусать 1, укусить 2, кусаться 3, рана от укуса 4|poĺ-škon-z 1, 'an-pal-kaz 2|edere 1, mordere 2|jeść 1, kąsać, ukąsić 2|ki-pu-skik 3sg. pres.|mordet|kąsa|206, 207, 29, 66|73, 13||103|145, 86|112|||0|
426|*p(')aw-|418|глотать, пить||PaF=|||||рav-kaz|haurire, bibere|chłonąć, łykać, pić||||||||143||||0|
427|*p'ha-lpha(l), *p'he-|419|резать, рубить, дыра|PXe̲=, M-PXë=, M-PK'a=, M-PXë̲=, PXa̲L " -aCX|iN-PXa=, ïN-PXë-SXïN=, aN-PXa-T=, PXaĹĹa-N-C|'ə̆m-pha-s ('ə̆mphe-, 'ə̆mpk'a-), 'ə̆m-pha-sxen-es mult., na-pha-łk-es** med. mult. 1, phal-phal " (phaĺĺ-ačh dim.) 3|'ə̆m-phe-s (t-ə̆mphe-sčen 1sg.3sg. pres., q-ə̆mphe-x, q-ə̆mphə̆-x 2sg.3sg. imper., k-ə̆mphe-'in 3sg.3sg. perf., t-ə̆mphe-čen 1sg.3sg. perf.) 1, 'ə̆m-phe-łh ('ə̆mphe-la'n pl.) part. act. 2, pxe-kas (pxe-zɨn 3sg. pres., k-pxe-knen 3sg. perf.) 3, pxal-pxal (pxa'l pl.) 4, k-pxal-'an adj. 5||резать, отрезать, рубить, срубить 1, меч 2, рваться, обрываться (о веревке, сети) 3, дыра, трещина, расселина 4, дырявый 5|'in-pxa-z, 'in-ṕ'a-z, 'in-pk-az 1, 'in-ṕxe-sxin (k-in-pxe-sxin-in part.) 2, 'an-pxa-t-əz 3, pxaĺ'ak 4, pxaĺĺa-n-č pl. dim. 5|rapere, rumpere, caedere, vulnerare 1, discindere (parvulus) 2, mactare 3, forare 4, foratus 5|porwać, rwać, rznąć, kaleczyć 1, rozrzynać, rznać na części (drobny) 2, zarzynać 3, dziurawić 4, dziurawy 5||||29, 324, 36, 206, 419, 60, 132|110, 94, 32, 73|335||108, 121, 86, 143||||537|
428|*p'ăk'a-(lha-?)|1016|лопаться с шумом, распускаться|P'K'ạ= ?, PoK'o-K'a=|PaKaĹLə-C, PaKaĹHa-C|p'q'a-kes 1|p'k'a-kas (p'k'a-zɨ'n 3pl. pres.) 1, pok'ok'a-kas (t-pok'ok'a-kičen 1sg. pf., q-pok'ok'a-xč 2sg. imper.) 2||расцветать, распускаться о цветах 1, стучать 2|~ pakaĺlə-n-č pl. dim. 1, pakaĺĺa-č dim., pakaĺ'a-'al coll. 2|~ pustulosus 1, pustulae, coni arboris 2|~ krostawy, spryszczony 1, krostki na ciele, szyszki na drzewie 2||||27|75|||143||Ср. *pek'ŭl- 'шишка (древесная), прыщ, мяч, шар' (1609).||1163|
429|*'lŏlhu-, *'loh-|420|грудь (женская)|LuLu-CX|La̲LX-a|ĺuĺ(ĺ)-učh dim.|||сосок|lalx-an pl.|uber, mamilla|pierś niewieścia, brodawki na piersi|naxanal (na'-ad pl.) 1, nax-pɨz dim. 2|uber, mamma 1, mamilla, uber 2|cyce, wymię, pierś 1, brodawka cyckowa 2|30, 132||||129|115|Может быть, в юж. камч. при подаче материала Дыбовского неправильно проинтерпретировано рус. рукописное "х" = [x] как "л" = [l] ? В таком случае sg. получится полным редупликатом naxa-nax.||202|
430|*'ĺuk'əl ~ *'luk'əĺ|421|молоко|LuK'əL|ĹüKə̈L||luk'ə̆l||молоко|ĺukəl|lac|mleko|nuko'əĺ|lac|mleko||48|||132|115|||0|
431|*'ĭpłh|0|друг, другой|ị̈PLX, PḶX-a|iPXL, iPĹX, iPiĹa-, PL̈-, aN-PŚa=|'ipłx (płx-a'n pl.) 1|'ipłh (płh-a'n pl., k-'ipłh-eł commit., k-'epłh-čom commit.) 1, płh-'in poss. 2, 'epłx-no-m 3||друг 1, незнакомый, чужой, посторонний, другой 2, дружба 3|'ipxl, 'ipĺx/ɣ 1, 'ipiĺa-sx/k 2, pl-in 3, 'an-pša-z 4|socius 1, comes 2, aliens, externus 3, vetare 4|towarzysz 1, towarzysz drogi 2, obcy, cudzy 3, odrzucać, zabraniać 4||||25, 37|25, 71, 121|||109, 145, 86||||0|
