NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
122|*cxweḳ-|0|хворост|firewood||||cxweḳ-|||cxeḳ-|лес|wood|cxiḳ-|||ЭСКЯ 226, EWK 454.
123|*ć-|845|бить, давать|to beat, to give|c-, c-em-|||č-, č-am-||||||č-, č-am-|||ЭСКЯ 227-228, EWK 454-455.
124|*ć-|0|больше его, старше его|more, older|xuces-|старец, старший|elder, older|u(n)čaš-|старший|older|xoša-|большой|big|unčaš-|||ЭСКЯ 262-263, EWK 455-456.
125|*ćad-|0|иметь досуг, ждать|to be at leisure, to wait|cad-|||čod-||||||čod-|||ЭСКЯ 227, EWK 456.
126|*ćal-|407|опоражнивать; иметь досуг|to empty; to be at leisure|cal-, cl-|||čol-|||||||||ЭСКЯ 227, EWK 457.
127|*ćal-|0|похожий|similar|cal-||||||šāl|как|as, like||||EWK 458.
128|*ćan- / *ćn-|181|знать, узнавать|to know, recognize|can-, cn-, c-; mc(e)n- 'to bequeth, to consign'|||čin-||||||čin-; mčin- 'to bequeath, to consign'|||ЭСКЯ 141, 229, EWK 249-250, 458-459. Ср. урал. *sana- 'думать, слово', алт. *sānu 'думать, знать', ПИЕ *senHə- "стремиться, подготавливать'.
129|*ćar-|902|крутить, наворачивать|to roll, wind|car-||||||nčr-, čr-||||||EWK 459. Ср. алт. *sare- 'б. кривым, извиваться".
130|*ćaw- / *ćw-|559|охранять, беречь|to guard, take care of|cav-, cev-, cv-|||ču-, čv-|||č-|||čv-, č-|||ЭСКЯ 229, EWK 456-457. Иллич-Свитыч (ОСНЯ 1, 202) сравнивает с ПИЕ *(s)kewə- 'смотреть', драв. *cū(ṟ)- 'смотреть' и восстанавливает ностр. *ćuHV 'смотреть'.
131|*ćeḳ-|1273|танцевать|to dance|ceḳ-|||čaḳ-|топать, бежать, притопывая|to stamp, to run stamping the feet|||||||EWK 459. Ср. ПИЕ *skek-.
132|*ćeḳa|0|кузов (остродонный)|boat/carriage carcass (with a sharp bottom)|ceḳa|||čaḳa|||||||||EWK 459. Ср. ПСК *ć̲ä̆q̇wă 'черпак, сосуд' (NCED 332). Ср. также *ć̣uḳ-.
133|*ćel- / ćil- / ćl-|0|ошибаться|to make an error|ce-, c-, cil-|||čil-, čir-||||||čul-, šul-|||EWK 460-461.
134|*ćen-|0|расти|to grow|cen-|||čan-|||šen-, šän-, šn-|приносить плоды|to bear fruit|(n)čan-|||ЭСКЯ 228, EWK 461.
135|*ćer-|1246|большой палец|thumb|cer-|||čanǯ-i-ḳit-|||čer-šd-ōl, čer-šṭ-ōł|вид груши|a k. of pear||||ЭСКЯ 228, EWK 461-462.
136|*ćex(w)|0|взбалтывать, толочь|to churn, pestle||||čax(w)-||||||čax(w)- 'to churn', čxwar- 'to grind'|||ЭСКЯ 228.
137|*ćić-|0|светлячок, моль|firefly, moth|cic-i-natela|светлячок|firefly|||||||čič-|моль|moth|EWK 464.
138|*ćikw-|0|посылать|to send|cik(w)- (Old Georg.)|||čk(w)-||||||čk(w)-, šk(w)-|||ЭСКЯ 230, EWK 463.
139|*ćkip|0|веточка (отломанная)|broken twig|ckip-|веточка (отломанная)|broken twig|čkip-|вилка|fork|||||||EWK 467-468. Ср. (шип), алт. *siup`u 'колючка'.
140|*ćoć-|1244|лезть, ползти|to climb, creep|coc-|||čoč-|||||||||ЭСКЯ 230, EWK 465-466.
141|*ćoćx-|1239|веник|besom|cocx-|||*čorčx- (attested in West Georgian dialects)|||čečx, čäčx||||||ЭСКЯ 230, EWK 466.
142|*ćoṭa|0|немного, мало|a little|coṭa|мало, маленький|a little, small|č̣ič̣a, č̣ič̣e||||||(m)č̣uṭa, č̣iṭa|||Кл
143|*ćox-|904|жевать (жвачку)|to masticate|cox-|жевать (жвачку)|to masticate|čix-|есть с аппетитом|to eat greedily|čexw- / čxw-|пастись|to graze||||EWK 466. ?Ср. алт. *ǯVwV 'кусать, стискивать зубы' (или ПТМ *sia- 'кусать').
144|*ćoź-|331|жена|wife|col-|||čil-/čir-|||čoš-|coire|coire|čil-|||ЭСКЯ 230, EWK 465. Климов (ibid.) сравнивает с ПЗК *sʷə(mə)c̣a 'женщина', что сомнительно (также привлекается авар. č̣užu, не имеющее сюда отношения).
145|*ćur-|190|плавать|to swim|cur-|||(n)čur-||||||nčur-, nč(v)ir-, mčvir-|||ЭСКЯ 230, EWK 466-467. В МССHЯ 369 сравнивается с урал. *ć[u]rV 'течь', драв. *curV id.
146|*ćur-|0|вымя|udder|cur-|||čur-|vulva|vulva||||čur-|vulva|vulva|EWK 467.
147|*ćweć-|0|крошить, крошка|to crumble, crumb|cec- (Old Georgian nam-cwec-, Mod. na-m-cec- 'crumb')|||čač-|молотить|to grind|||||||ЭСКЯ 228, EWK 462-463.
48|*ćwet-|564|холостить, изнашиваться|to wear away; to make sterile|cwet-/cwit-/cwt-|||čut-|импотент|impotent|čut- ( < мегр.?)|импотент|impotent|čit-|резать, раскалывать|to cut, split|ЭСКЯ 229, EWK 462. Лазская форма в МССHЯ 360 сравнивается с ПИЕ *skeid- 'расщеплять', драв. *citV- 'повреждать, ломать'.
149|*ćwil- (?-d-)|0|воск|wax|cvil-|||čir-|||ǯwid- (?)|||(m)čir-|||ЭСКЯ 229, EWK 463. Сближение с ЗК формой, предложенное Климовым (1969, 291), проблематично: в ПЗК  восстанавливается *ƛʷa 'воск'.
150|*ćx-|0|мазать|to smear|cx-|||||||||čx-|||Кл
151|*ćx-|0|жар, жара|heat|cx-|||(n)čx-|||šix-, šx-|жечь|to burn|(n)čx-|||ЭСКЯ 1964, 231-233; EWK 468.
152|*ćxar- / *ćxr-|0|девять|nine|cxra|||čxoro|||čxar-, čxr-|||čxoro, čxovro|||ЭСКЯ 232, EWK 469.
153|*ćxim-|370|жир|fat (n.)|čxim-||||||čxim-||||||ЭСКЯ 232, EWK 470.
154|*ćxi(n)ḳ-|0|чихать|to sneeze|cxiḳv|чихать|to sneeze|čxinḳ-ol|разбивать вдребезги (о посуде)|to break in pieces (of table-ware)||||čxinḳ-ol|чихать|to sneeze|Экспрессивная основа.
155|*ćxow-|1339|жить; животное|to live; animal|cxov- 'to live'; cxovar-, cxvar-, cxor- 'sheep'|||čxo-(n) 'to save', čxo-u, čxu 'cow', šxur- 'sheep'|||(?) šxär|бык с пятном на лбу|ox with a spot on his head|(m)čxu(r)-, mškur-|овца|sheep|ЭСКЯ 231, 232, EWK 470.
156|*ćxr-|0|холод|cold (n.)|cxr-|озноб|chill|čxur-||||||čečxur-|озноб|chill|ЭСКЯ 232-233, EWK 471.
157|*ćxwir-|0|нос|nose|cxvir-|||čxvind-, čxind-||||||čxvind-, čxind-|||ЭСКЯ 232, EWK 469-470. Ср. ф.-уг. *sērV (фин. sierain 'ноздря', SKES 1010).
158|*c̣-|1302|макать|to dip|c̣-|||c̣-, c̣u-||||||nc̣-|||ЭСКЯ 241; EWK 494.
159|*c̣a-|0|вниз|down|c̣a-, c̣a-re|||c̣o-, c̣a-le||||||c̣o-, c̣a-le|||ЭСКЯ 241-242.
160|*c̣al-|0|козел|he-goat|c̣al-|козел|he-goat||||c̣el|осел|donkey||||EWK 495-496.
161|*c̣am-|0|сообщать|to report|c̣am-|||||||||c̣um-|||EWK 496. ? Ср. алт. *sēmi 'внимание'.
162|*c̣am-|834|миг, мгновение (*моргание); ресница|moment, wink; eye-lash|c̣am- 'moment', c̣amc̣am- 'eye-lash'|||c̣um-, c̣un-|минута, секунда|minute, second|c̣äm- 'moment', c̣amc̣am 'swift'|||c̣un- 'moment', ḳamc̣am 'eye-lash'|||ЭСКЯ 242, EWK 496-497. Корень имеет несомненные СК параллели (ПВК *c̣ɦwĕme   'бровь', см. NCED 364), и возможно старое заимствование. С другой стороны,   налицо интересные (хотя фонетически нерегулярные) ностратические параллели:   алт. *sar(u)mV 'бровь, ресница'; драв. *sime- 'мигать; веко'; урал. *ŝilmä  'глаз'.
163|*c̣ap-|0|учить|to teach|c̣ap-|||||||||(n)c̣op-|||EWK 497-498. ? Ср. алт. *sip`i 'подсматривать'.
164|*c̣ar- / *c̣r-|603|упреждать, успевать|to be in time, to be first|(s)c̣ar-, (s)c̣r-|||c̣or-|||||||||ЭСКЯ 242, EWK 497. [Ср. *skorъ]. [Картв. *c̣ar- 'через', Schmidt 154, в МССHЯ 372 сравнивается с ПИЕ *sker(t)- 'через, сквозь'].
165|*c̣atx-|901|гной|pus|c̣atx- (Old Georg. c̣utx- < Megr.?)|||c̣utx-e|соленый, горький|salty, bitter|c̣ätx|кислый, горький|sour, bitter|m-c̣utx-e|соленый, горький (c̣atx- 'солить' < груз.)|salty, bitter (c̣atx- 'to make salty' < Georg.)|ЭСКЯ 246, EWK 495. Ср. алт. *čȫta 'сладкий'.
166|*c̣aw-|621|говорить, сообщать|to say, report|c̣av-|||c̣o-, c̣u-, c̣i-, c̣-||||||c̣-, c̣u-, c̣v-|||EWK 494-495. ?Ср. алт. *sābo "слово, замечать".
167|*c̣d-|0|пить, поить|to drink, give to drink|c̣d-||||||c̣ədäj|Mundschenk ( = груз. mc̣de)|Mundschenk ( = Georg. mc̣de)||||EWK 498.
168|*c̣ec̣-|0|трогать; погружать|to touch; to submerge|c̣ec̣-|трогать|to touch|c̣ac̣-|погружать|to submerge|||||||EWK 499.
169|*c̣ec̣ḳ-|0|грызть, жевать|to gnaw, chew|c̣ec̣ḳ-|скрипеть зубами|to gnash the teeth|c̣ḳa(n)c̣ḳ-|жевать|to chew|||||||EWK 500. Ср. *c̣ic̣ḳ-.
170|*c̣el-|0|год|year|c̣el-|||c̣i / c̣ə|в этом году (go-c̣o-s 'в прошлом году')|this year (go-c̣o-s 'last year')||||ham c̣o|'в этом году' (go-c̣o(-s) 'в прошлом году')|'this year' (go-c̣o(-s) 'last year')|ЭСКЯ 242-243, EWK 498-499. Интересно сопоставить картв. *c̣el- с ПСК *c̲ōjwɨ̄lɦV  'осень, зима' (NCED 327); заметим, что хуррито-урартская параллель для данного  корня - хурр. šawalə, урарт. šālə 'год' (в Дьяконов-Старостин 1986  сопоставленное с ПСК *swĕrho 'год', что вряд ли приемлемо фонетически).  Вероятно, поэтому, что здесь, как и в ряде других случаев, мы имеем дело со  старым ХУ заимствованием в картвельском (*c̣el- < *c̲Vwl-).
171|*c̣es-|0|звать, приглашать|to call, invite|c̣es-||||||c̣s-, c̣h-||||||EWK 499. [?ПИЕ *ḱe(n)s-].
172|*c̣ic̣- / *c̣ec̣-|0|натягивать(ся)|to stretch|c̣ec̣-, c̣ic̣-|трепать|to wear out|c̣(w)ic̣(w)-|вырывать (потянув)|to tear out by stretching|c̣i(n)c̣-|тянуть (медленно)|to pull (slowly)||||ЭСКЯ 244, EWK 499-500.
173|*c̣ic̣il-|0|змея|snake|c̣ic̣il-|детеныш змеи|young of snake|||||||c̣ic̣ila|||EWK 503. Сходная редуплицированная основа налицо в ПСК *čVrčV(-lV) / *č̣Vrč̣V(-lV) 'змея, ящерица', см. NCED 348-349.
174|*c̣ic̣ḳ-|0|щипать (мелко)|to nibble|c̣ic̣ḳ-n-|||c̣ḳəc̣ḳon-, c̣ḳic̣ḳon-|есть (брезгливо)|to eat (squeamishly)|||||||ЭСКЯ 244, EWK 504. Ср. *c̣ec̣ḳ-.
175|*c̣ida|0|грязь (на теле)|dirt (on the body)|c̣ida|||c̣ida|||c̣id|грязь, кал|dirt, excrement||||Кл; EWK 501-502.
176|*c̣il|0|срывать (плоды, цветы)|to pluck (fruit, flowers)|c̣il|собирать (плоды)|to gather fruit|c̣il|срывать (плоды, цветы)|to pluck (fruit, flowers)||||c̣il|срывать (плоды, цветы)|to pluck (fruit, flowers)|Кл, EWK 502-503.
177|*c̣ip-|0|бук|beech|c̣ipel-|||c̣ipur-|||c̣ipra-|||c̣ip(u)r-|||ЭСКЯ 244, EWK 503-504.
178|*c̣ir-|0|деревянный молот|wooden hammer|(Gur.) c̣ir-is-tavi, (E.-Adzhar.) c̣ir-i-tavi||||||c̣ir||||||EWK 503.
179|*c̣iw-|0|пищать|to squeak|c̣iv-|||c̣i-||||||c̣i-|||ЭСКЯ 243, EWK 502. Ономатопоэтическая основа.
180|*c̣ḳa|1693|||c̣ḳa|необработанные рисовые зерна|rice grains in husk|c̣ḳa|зерно|grain|c̣ḳa|семена тыквы, арбуза ( < мегр.)|pumpkin/watermelon seeds (< Megr.)||||EWK 504. Возможно ЗК происхождение корня: ср. убых. ć̣əḳ́ 'косточка (плода)',  каб. ṣāč̣a 'мякина' < ПЗК *ć̣Vḳ́(w)V 'отходы (от фруктов, зерновых)' < ПСК  *c̣HweḳĔ 'солома, мякина' (см. NCED 364).
181|*c̣ḳand-|0|очищаться (от мути)|to clean (of dregs)|c̣ḳnd-|||c̣ḳond-|||li-sḳind-|сочиться, выделяться (в-бал.)|to ooze (E.-Bal.)||||ЭСКЯ 244, EWK 504. Климов (1994, 157-158) выводит основу из ПИЕ *skendh- 'погружаться', что несколько сомнительно как по семантическим причинам, так и ввиду весьма малой распространенности корня в индоевропейском.
182|*c̣ḳar- / *c̣ḳr-|0|звенеть, шуметь|to ring, make noise|c̣ḳr-, c̣ḳar-|||c̣ḳir-|||||||||EWK 504-505.
183|*c̣ḳenṭ- / *c̣ḳinṭl-|0|сочиться; помет (птичий)|to ooze; bird faeces|c̣ḳenṭ-; c̣ḳinṭl-, sḳinṭ(l)-|||c̣ḳinṭil-|помет|faeces||||c̣ḳinṭil-|помет|faeces|ЭСКЯ 245.
184|*c̣ḳeṗ-|503|расщеплять, разрезать (мелко)|to cut in little pieces|c̣ḳeṗ|||c̣ḳeṗ|||||||||IE *skep-  Кл
185|*c̣ḳeṗl-|751|розга, прут|rod, twig|c̣ḳeṗla-|||c̣ḳaṗul-|||||||||ЭСКЯ 244, EWK 505. Ср. алт. *sapa 'палка, шест', *sap`i id.
186|*c̣ḳir-|0|палочка, щепка|little stick|c̣ḳir-|||c̣ḳir-|||c̣ḳir-|||mc̣ḳil-|острый, заостренный|sharp, pointed|EWK 506.
187|*c̣ḳu-, *c̣ḳu-m-|0|скулить|to whine|c̣ḳu-, c̣ḳmu-|||c̣ḳum-|||c̣ḳū-, c̣ḳw-|||c̣ḳum-|||ЭСКЯ 245, EWK 506-507. Звукоизобразительная основа.
188|*c̣ḳwar- / c̣ḳur-|0|жмуриться, закрывать глаза|to close the eyes|c̣ḳur|щуриться, моргать|to close the eyes, wink|c̣ḳur|жмуриться|to close the eyes|c̣ḳur-|щель для подсматривания|small crack for peeping||||Кл, EWK 507. Ср. еще  c̣ḳur-in `вырывать, выкалывать глаза'; сюда же *c̣ḳwar-am `тьма, пучина' (с  полной ступенью). Если исходное значение - "щель", ср. алт. *sǟk`u 'щель'.
189|*c̣ḳwaram-|0|тьма, пучина|darkness, abyss|c̣ḳvaram-|||c̣ḳurum-|||||||||EWK 505. Ср. *c̣ḳwar-
190|*c̣ḳwerṭ-|0|закручивать|to roll up|c̣ḳverṭ-|||c̣ḳəmonṭ- (cf. also c̣ḳvenṭ-er-e 'straight, sharp'?)|||||||||ЭСКЯ 244-245, EWK 505-506.
191|*c̣mart-|823|икра (часть ноги)|calf (of leg)|sa-c̣mart-ul-|штаны|trousers|c̣imort-, c̣əmort-|||||||||ЭСКЯ 245, EWK 507. Ср., может быть, алт. *sumV 'ластовица, рукав' (или *šiūŋe 'кость, голень').
192|*c̣ob-|905|сосать|to suck|||||||c̣ōb-|||c̣up-|||EWK 507-508. Основу следует отделять от *c̣ow- q.v., хотя не исключены контаминации. Имеются довольно явные СК (ПВК *c̣uṗV 'сосание', NCED 367) и ностр. параллели (алт. *šiup`u 'сосать', и.-е. *seup- id.).
193|*c̣on-|0|взвешивать|to weigh|c̣on-|||c̣on-|||c̣on-, c̣wn-|||c̣on-, c̣in-|||ЭСКЯ 245-246, EWK 508-509. Интересно сравнить с ПСК *=ălcŬm- ( ~ *=ălcwV̆n)  "мерить, взвешивать' (хотя глоттализация в корне отсутствует, она налицо в ПН  *=usṭ- < *=ălcwV̆n), и какая-то форма, близкая к ПН, могла послужить основой  для заимствования в ПК.
194|*c̣ow-|0|сосать|to suck|c̣ov-|||c̣u(v)-, c̣-||||||c̣v-, c̣-|||ЭСКЯ 245, EWK 507-508. Сравнение с СК материалом в ЭСКЯ вряд ли оправдано (в NCED 667 восстанавливается ПВК *=iʒ̲wVn).
195|*c̣q̇-|0|досаждать, болеть|to annoy, to ache|c̣q̇-in-, c̣q̇-en-|||c̣q̇-in-, c̣q̇-un-||||||c̣ḳ(-un-)|||ЭСКЯ 247, EWK 514.
196|*c̣q̇|0|отмеривать|to measure|c̣q̇-|||rc̣q̇-|||||||||G sa-c̣q̇a-o, M o-rc̣q̇-e `мера' Кл; EWK 514.
197|*c̣q̇ec̣q̇-|906|давить, зажимать|to press|c̣q̇ec̣q̇-|||c̣q̇ac̣q̇-|||||||||EWK 515. Ср. алт. *č`eč`i 'давить, выжимать'. Ср. также *č̣eč̣q̇-.
198|*c̣q̇(w)-|907|складывать, устраивать|to pile up, arrange|c̣q̇(v)-|||nc̣q̇(v)-|||c̣q̇-|||c̣q̇-, c̣ḳ-|||ЭСКЯ 247, EWK 513-514. Ср. алт. *sekV 'стелить'.
199|*c̣q̇w-|826|уничтожать|to destroy|c̣q̇v-|||(n)c̣q̇(v)-|||nc̣q̇w-||||||EWK 516. Ср. алт. *č`ok`i 'погружаться; умирать'.
200|*c̣q̇wil-|0|пара, testiculi|pair; testicles|c̣q̇vil-||||||||||||Сопоставление с урал. *śōδ́a 'спариваться' см. Долгопольский 1972, 362.
201|*c̣red- / *c̣rid- / *c̣rd-|0|цедить|to draft|c̣red-, c̣rid-, c̣rd-|||c̣irid-, c̣ərid-, c̣ird-||||||c̣rod-, c̣urd-|||ЭСКЯ 246, EWK 509-510. Климов считает основу производной от *c̣ur- 'цедить' q.v.
202|*c̣rex-|0|скручивать|to twine|c̣rex-, c̣rix-|||c̣irax-, c̣irix-|||||||||EWK 510.
203|*c̣uc̣-|0|сосать|to suck|c̣uc̣-|||c̣u(r)c̣-|||c̣usd-, c̣wsd-|||c̣uc̣-|||ЭСКЯ 246-247, VEWT 512.
204|*c̣uc̣ḳ-|0|скулить|to whine|c̣uc̣ḳ-||||||c̣urc̣ḳ-, c̣ərc̣ḳ-||||||EWK 512-513. Экспрессивная основа.
205|*c̣umṗ-|0|промокнуть, забрызгаться грязью|to get wet, to get dirty|c̣umṗ-|промокнуть|to get wet|c̣umṗ-|промокнуть, забрызгаться грязью|to get wet, to get dirty||||c̣umṗ-, c̣omṗ-|промокнуть|to get wet|Климов (1994, 158-162) сопоставляет с ПИЕ *swomb(h)o- 'губчатый, пористый'.
206|*c̣un-|0|недостаток, недочет|blemish||||||||||c̣una|яд|poison|Фенрих 1980, 181.
207|*c̣ur-|190|цедить; вытекать, протекать|to draft; to ooze|c̣ur-|||c̣ir-, c̣ər-|||c̣ur-, c̣wr-|||(n)c̣or-, (n)c̣ir-|||ЭСКЯ 246, EWK 511, 512. Корень имеет соответствия как в СК (ПСК *ʔīʒ̲ur- 'цедить', NCED 213-214), так и в ностр. языках (ср. алт. *siŕo 'цедить, протекать').
208|*c̣urbel-|908|пиявка|blood-sucker, leech|c̣urbel-|||c̣urvel-|||c̣urbeläj ( < Georg.)|||c̣urvel-|||Климов (1994, 202-204) выводит основу из ПИЕ *s(w)erbh- 'сосать', что не объясняет картв. аффрикаты. Не исключено, что налицо исконно родственные лексемы.
209|*c̣ur-|0|гнуть(ся), опускать(ся)|to bend, to descend|c̣ur-|||c̣ur-|||||||||EWK 511. Ср. алт. *sare 'б. изогнутым' (?)
210|*c̣ux-|0|горевать|to grieve|c̣ux-||||||c̣xw-|belästigen|to grieve||||EWK 513.
211|*c̣wel-|909|солома|straw|c̣vel-|||c̣u|||c̣uw, c̣wi|||c̣u (o-c̣val-e 'мякинник')|||ЭСКЯ 243, EWK 500. Ср. алт. *sule 'растения (зеленые), травы'.
212|*c̣w-en|97|видеть, показывать|to see, show|c̣on|нравиться|to like|c̣on|нравиться, казаться|to like, to seem|c̣wen|||c̣on|нравиться, казаться|to like, to seem|ЭСКЯ 245, EWK 508; xo-c̣w-a без суфф.
213|*c̣wer-|0|борода|beard|c̣ver-|||c̣vanǯ-, c̣vand-|||(?) wer-e, wär-e||||||ЭСКЯ 243, EWK 501. Климов (ibid.) сравнивает с различными ВК формами, для  которых в NCED восстанавливаются праформы *mēć̣̲uri и *bilʒ́V, так что скорее  всего связи здесь нет. Интересно, однако, отметить ПВК *ć̣ħwə̄rə 'волос'.
214|*c̣wl-|910|маленький, мелкий|small|c̣vril-, c̣vlil-; si-c̣l-o 'trifle'|мелкий|small|||||||c̣ulu|маленький|small|Кл, ... Дополнения; EWK 510. Ср. алт. *č`ole "уменьшаться".
215|*ć̣-|351|достигать, приходить|to reach, arrive|c̣- (c̣ev-, c̣ip-)|||(n)č̣- ((n)č̣ap-, (n)č̣u-)|||(m)h-|||nč̣- (nč̣-, nč̣ap-)|||ЭСКЯ 248, EWK 516-517.
216|*ć̣Rap|0|стремиться|to rush|sc̣rap|стремиться, спешить|to rush, hurry|č̣orop|половодье, период дождей|freshet, rain season|||||||Кл
217|*ć̣ab-|0|каштан|chestnut|c̣ab-l-|||č̣ub-ur-|||heb-ra, jeb-ra|черешня|merry tree|č̣ub(u)r-|||ЭСКЯ 247, EWK 517. Климов 1971, 225 сближает основу с ВК материалом (ав. c̣:ibil 'виноград' < ПВК  *c̣̲ɨbV 'вид ягоды'; отметим, что рут. ṭɨmɨl 'виноград' и др. формы, приводимые Климовым, согласно  NCED 367, сюда не относятся).
218|*ć̣ad-|1248|желать|to wish|c̣ad-||||||hadw- / hdw-||||||ЭСКЯ 242, EWK 517-518.
219|*ć̣am-|0|утро|morning||||č̣ume|завтра|tomorrow|ham|утро|morning|č̣uman- 'morning', č̣umen- 'tomorrow'|||ЭСКЯ 247-248, EWK 519.
220|*ć̣an- / ć̣n-|0|плести|to plait|c̣(a)n-, c̣na-; c̣nel- 'twig'|||č̣in(u)-, č̣ənə-|прут|twig||||č̣inu-, č̣ino-, č̣unu-|прут|twig|ЭСКЯ 252, EWK 519.
221|*ć̣ap-|31|брать, набираться|to take, gather|c̣ap-|||č̣op-||||||č̣op-|||ЭСКЯ 248. Ср. алт. *šabo (?*č-) 'хватать' (или *ǯabV ~ č- 'брать, хватать'), ПИЕ *sep- 'держать в руках' (см. МССНЯ с реконструкцией *zaṗV и без картв. формы).
222|*ć̣ar-|662|горький|bitter|m-c̣ar-e|||č̣or- (in gito-č̣or-ap- "to eliminate bitterness", ḳolo-č̣ura 'bitter gourd')|||||||||Кл, EWK 519-520. Ср. ностр.: ПИЕ *sūr- 'кислый', драв. *suvar 'соль, соленый', алт. *čawVŕV 'соль, горький'.
223|*ć̣arb-|1565|бровь|eyebrow|c̣arb-|||č̣ob-|||||||||ЭСКЯ 248, EWK 520. Близкие формы налицо в некоторых лезгинских языках (лезг.  диал. č̣eṗč̣eṗaj, агул. диал. c̣iṗc̣iṗ, крыз. c̣äṗ "ресница" - см. NCED 365, где они  с некоторым сомнением объясняются как искаженные рефлексы сложения  *c̣ĭlV-c̣ɦwĕme и сравниваются с чеч. c̣oc̣q̇am, дарг. č̣imič̣ali etc.).
224|*ć̣at-|0|палка|stick|c̣at-|||č̣ort-|||||||||EWK 518.
225|*ć̣eb-|199|клеить|to glue|c̣eb-|||č̣ab-||||||č̣ab-|||ЭСКЯ 248, EWK 520-521. Ср. алт. *čabV, драв. *cavV- < ностр. *ć̣abV, см. МССНЯ 344.
226|*ć̣eć̣-|0|||c̣ec̣|спутываться, трепать шерсть|to get entangled, to comb the wool|č̣ač̣|нанизывать|to string|||||||Кл
227|*ć̣el-|195|кишки|entrails|c̣el-|||č̣i, č̣ə|||č̣inč̣il|||(m)č̣u|||ЭСКЯ 249, EWK 521. Ср. алт. *siaĺwi "мясо, мускул, кишки', урал. *siwĺV id.
228|*ć̣em-|1243|трава, тростник|grass, reeds|lel-c̣am-, ler-c̣am-|тростник; c̣am-al- 'лекарство'|reeds; c̣am-al- 'medicine'|(r)č̣em-|pubes; larč̣am-, larč̣em- 'тростник'|pubes; larč̣am-, larč̣em- 'reed'|č̣ēm|сено|hay|(n)č̣am-|лекарство|medicine|ЭСКЯ 121, 249, EWK 518-519.  Ср. ПВК *c̣̲wə̄nHē (/*Hnə̄c̣̲wē) 'тростник' (NCED 595-596).
229|*ć̣en-|1684|приглашать|to invite|Old Georg. c̣ana|званый пир|feast, banquet|č̣an-||||||č̣and-|||ЭСКЯ 249.
230|*ć̣eng-|0|вид растения|a k. of plant|(Mtiul.) c̣eng-|||||||||č̣ang-|||EWK 521.
231|*ć̣er-|0|писать|to write|c̣er-|||(n)č̣ar-|||jr-, r-, ēr-|||(n)č̣ar-|||ЭСКЯ 249, EWK 522. Ср. алт. *čiuru 'царапать, скрести'.
232|*ć̣ero-|0|журавль|crane|c̣ero, mc̣ero|||[č̣aro] (in Orbeliani's dictionary)|||||||||Климов 1994, 162. Сопоставление с ПИЕ *ǵerəw- 'журавль', предложенное ibid., весьма сомнительно по фонетическим причинам.
233|*ć̣ić̣il-|0|цыпленок|chicken|c̣ic̣ila|||||||||č̣uč̣ul-|||Кл
234|*ć̣iḳ-|1001|маленький|small|c̣iḳ- (dial.)|маленький, крошка|small, crumb|č̣iḳ-u|||||||||EWK 527. Ср., с одной стороны, ПСК *č̣ä̆kŭ / *č̣ä̆ḳŭ 'детеныш'; с другой стороны, алт. *sik`u 'маленький, мало'.
235|*ć̣irṗl-|0|гной (глаза)|pus (in eye)|c̣irṗl|||c̣irṗ (č̣?)|||||||||Кл. Корень напоминает (при условии вторичной метатезы < *ṗilć̣r-) ПСК *ṗɦilc̣̲wə̆ 'грязь' (в том числе "глазной гной", ср. лак. ṗaIlc̣u; см. NCED 878-879).
236|*ć̣it-|0|красный, краснеть|red, to redden|c̣it-, c̣itel-|||č̣it-||||||mč̣it-|||ЭСКЯ 251, EWK 526.
237|*ć̣maś-|0|сплетать, скручивать|to twist, plait|c̣mas-|||č̣imoš-, č̣umoš-||||||č̣imoš-|||EWK 527.
238|*ć̣nex-|0|давить, сжимать|to press|c̣nex-, c̣nix-|||č̣inax-||||||č̣inax-|||ЭСКЯ 252, EWK 527-528.
239|*ć̣od-|0|звать, спрашивать|to call, ask|c̣od-|звать, называть|to call, name||||č̣wd-|спрашивать|to ask||||EWK 528.
240|*ć̣q̇al- / ć̣q̇l-|1249|ранить(ся)|to wound|c̣q̇(a)l-|||č̣q̇ol-|||||||||ЭСКЯ 254, EWK 532.
241|*ć̣q̇al-|0|жалеть, щадить|to pity, spare|c̣q̇al-|||c̣q̇olop-|||||||||ЭСКЯ 252, EWK 531-532.
242|*ć̣q̇an-|0|дуб|oak|c̣q̇n-et-|топоним|a toponym|č̣q̇on-||||||(m)č̣ḳon-, mč̣on-|||ЭСКЯ 252, EWK 532.
243|*ć̣q̇ar-|825|обижаться, сердиться|to get annoyed, angry|c̣q̇er-, c̣q̇r-|||č̣q̇or-, nč̣q̇or-|||č̣q̇r-||||||ЭСКЯ 253, EWK 533.
244|*ć̣q̇ar-|0|перепелка|quail|(m)c̣q̇er-|||č̣q̇or-|||šq̇äžw- ( < Megr. *čq̇oǯ-?)||||||ЭСКЯ 252-253, EWK 533-534. Повидимому, ВК заимствование: ср. ПА *č̣iq̇ʷa(-ra) 'перепелка, птичка' < ПВК *ǯăq̇wV, см. NCED 1105.
