"NUMBER","PROTO","PRNUM","MEANING","LAK","COMMENT"
243,"murč:ʷi",261,"lip; brim (of a dish)","murč:i",
244,"xurx",156,"spittle; slime","xurx","    Cf. gen. \Ixurxu-l.\i"
245,"k:ark",938,"edge; top of a round or oval object","k:ark","    Lak. \Ik:ark\i < \I*k:ʷark:,\i cf. gen. \Ik:urk:a-l.\i"
246,"zuma",263,"edge, end; mouth","zuma","    Cf. also the derived \Izumu-r\i '(horse-)bit', Khosr. \Izumur\i id."
247,"ḳac̣u",941,"chin","ḳac̣u (Bartkh.)",
248,"č̣iri",943,"beard","č̣iri",
249,"ꭓ:inču",947,"cheek; jaw","ꭓ:inču","    Cf. also Khosr. \Iꭓ:inču\i 'jaw'."
250,"uInq̇u-",948,"nasopharynx","uInq̇u-s:urs:u","    A compound with \Is:urs:u\i 'neck'."
251,"ꭓ:ini",951,"palate","ꭓ:ini",
252,"sina",952,"gum (in mouth)","sina","    Cf. also Khosr. \Isina.\i Lak. \Isina\i > Arch. \Isana\i id."
253,"ꭓ:uṭi",953,"fang","ꭓ:uṭi","    Note also the meaning in the Vikhl. dialect: 'a sharpened stick for separating threads'."
254,"ṭuIj",180,"molar tooth","ṭuIj (Khosr.)",
255,"ḳurma-ṭi",480,"cantle; pommel","ḳurmaṭi",
256,"iIč:u",650,"cock's comb","iIč:u","    Cf. also Khosr. \IhiIč:u\i id."
257,"ḳʷiz",957,"long hair","ḳiz","    Cf. Khosr. \Iḳʷiz.\i"
258,"kuk-lu-",209,"light (of weight)","kuklu-s:a",
259,"dač̣u",101,"sting","dač̣u",
260,"čurꭓ:",958,"body","čurꭓ","    Cf. gen. \Ičurꭓ:a-l;\i Khosr. \Ičurꭓ,\i \Ičurꭓ:a-l.\i"
261,"q̇arq̇ala",959,"corpse","q̇arq̇ala",
262,"ꭓ:anꭓ:a",961,"body, carcass","ꭓ:anꭓ:a","    Cf. Khosr. \Iꭓ:anꭓ:a\i id."
263,"t:iliḳ",962,"back","t:iliḳ",
264,"s:an",963,"foreleg, paw, pad","s:an","    Cf. also Khosr. \Is:an.\i A related stem is Khosr. \Is:ana\i 'wedge' (for the semantics cf. Cham. \Is:unč̣a\i 'foot, hoof; wedge'."
265,"quru",304,"brisket","quru","    The old meaning 'breast, chest' is preserved in the compound \Iqara-žip\i 'breast pocket'. \Iqara-\i is probably the old obl. stem, preserved also in some adverbs: \Iqara-lu\i 'under one's arm' (cf. Khosr. \Iqara-lalu\i 'armpit'), \Iqara-j\i 'on the shoulder'."
266,"k:uk:u",791,"teat, nipple","k:uk:u",
267,"mazu",967,"nipple (by animals)","mazu",
268,"maṭi",226,"bough, twig, knot","maṭi","    Cf. Khosr. \Imiṭi\i id. (perhaps, also Khosr. \Imaṭa\i 'penis (of a boy)')."
269,"ninu",272,"mother","ninu",
270,"q:ʷar",969,"udder","q:ar","\I   q:ar\i is orthographic (Khaidakov writes: \Iq:ʷar\i). Cf. Khosr. \Iq:ʷal\i 'udder' indicating that -r in literary Lak. is secondary (either under influence of words like \Iquru\i 'brisket', \Iqara-lu\i 'on the shoulder' or under Avar influence)."
271,"qač̣",970,"shoulder","qač̣","    Cf. Khosr. \Iqač̣\i id."
272,"c̣un",972,"navel","c̣un",
273,"q:iṭi",988,"uvula","q:iṭi","    Initial q:- is probably secondary (expressive?)."
274,"uꭓ",484,"lower part, base of smth.; stump","uꭓ","    Cf. also \Ibuꭓ-\i in \Ibuꭓ-lič:a\i ""pelvic bone"", \Ibuꭓ-č̣ins:a\i 'buttock'."
275,"čux",501,"crop, craw","čux","    Historically *x: would be expected, thus in the gen. pl. \Ičux-irdal\i we have a late adequation to the direct base."
276,"ꭓ:uIt:u",505,"intestine","ꭓ:uIt:u",
277,"qaIrqala",979,"third stomach","qaIrqala",
278,"mač̣",228,"patch; coarse calico","mač̣",
279,"q̇anslu",985,"cartilage, gristle","q̇anslu","    Gen. \Iq̇ansul-lul\i points to a weak s; however, this is  secondary (a levelling after neutralisation in Nom.) - cf. Khosr. \Iq̇ans:i\i 'cartilage'."
280,"q̇aq̇ari",986,"throat","q̇aq̇ari",
281,"duIdu",987,"speaking-tube, megaphone","duIdu",
282,"qʷiIṭ",973,"Adam's apple; beak","qiIṭ","    Lak. \IqʷiIṭ\i (Khaidakov); cf. also Khosr. \IqIuṭ.\i"
283,"č:arlu",990,"kidney","č:arlu",
284,"č̣uw",991,"colostrum, beestings","č̣uw","    Cf. Khosr. \Ič̣ū\i id."
285,"q̇uč̣",994,"spleen","q̇uč̣",
286,"hutru",996,"lung","hutru","    Cf. Khosr. \Ihutru,\i gen. \Ihut:ur-dul\i (pointing to *-t:- - in nom. neutralized before another consonant)."
287,"*qʷata",998,"large intestine","qata","    Cf. Khosr. \Iqʷata\i id."
288,"qa",51,"wing","qa","    Cf. Khosr. \Iqa\i id. An old derivate from the same root is probably Lak. \Iquk\i ( < \I*qul-k\i) 'mitten' ( = Rut. \Iꭓuluk,\i Tsakh. \Iꭓuk\i 'sleeve')."
289,"qat",1004,"palm of hand","qat","    Cf. Khosr. \Iqat\i 'hand' (gen. pl. \Iqat-urdil\i)."
290,"č̣aIṗa",1005,"palm of hand","č̣aIṗa",
291,"q̇an",1006,"meadow; plain (in a valley)","q̇an",
292,"za-k:ana",259,"fist","za-k:ana","    Cf. also Khosr. \Izak:ana,\i dial. (Khaid.) \Izaknu,\i \Izač:ana.\i"
293,"ḳama",1009,"handful; handle","ḳama","    Cf. Khosr. \Iḳama\i id."
294,"ḳʷi-jama",718,"handful","ḳi-jama","    A compound with \Iḳi-\i (\Iḳʷi-\i) 'two' ('two cupped hands'); cf. Khosr. \Iḳʷi-jāma\i 'handful (two cupped hands)'."
295,"ḳis:a",1012,"finger","ḳis:a","    Cf. Khosr. \Iḳis:a.\i"
296,"š:iḳ",1016,"hoof (of a sheep or goat)","š:iḳ","    Originally labialised -ḳʷ, cf. the Arch. loan \Iš:iḳʷ\i 'heel'."
297,"x:i-mič̣",213,"hoof","x:i-mič̣","    The Lak. form is a compound with some obscure first component."
298,"=ač̣=a-",1020,"empty","=ač̣=a-","    Cf. also Khosr. \I=ač̣=ā-\i 'empty'."
299,"xu",1021,"bosom, cut (of dress), collar","xu",
300,"ka-ꭓ:a",1023,"sleeve","kaꭓ:a","    An old compound with \Ikʷa-\i 'hand'; cf. Khosr. \Ikʷaꭓ:ʷa\i 'sleeve' (with assimilation < \Ikʷa-ꭓ:a\i)."
301,"bač̣i",57,"small paw","bač̣i","    Khaidakov cites also Ag. \Ibač̣\i 'paw', which - if it exists - may be a Lak. loanword."
302,"niq:a ( < *ʔinq:a)",1024,"heel","niq:a",
303,"č̣amaralu",1025,"groin; perineum","č̣amaralu",
304,"wi-",2285,"thou (obl. stem)","wi-",
305,"ḳa",2,"soot","ḳa",
306,"ḳunu",1026,"lot","ḳunu",
307,"ꭓ:aIča-ra",452,"raw hide","ꭓ:aIčara",
308,"q:aču",353,"sheepskin coat","q:aču",
309,"ḳalaš",12,"charcoal","ḳalaš","    Gen. \Iḳulš:u-l\i (indicating strong š:)."
310,"čannu",1030,"dandruff","čannu (Bartkh.)",
311,"lu",206,"skin, sheepskin; book","lu",
312,"č̣ulū",599,"leather strip","č̣ulū","    Cf. Khosr. \Ič̣ulu\i id."
313,"iIn",1033,"lace, thong","iIn","    Cf. Khosr. \IiIn\i id."
314,"kac̣a",25,"puppy","kac̣a","    Cf. Khosr. \Ikac̣a\i id."
315,"čuru",340,"fringe","čuru",
316,"t:-iqi-",28,"to suck","t:-iqi-n",
317,"ʁal",1034,"goat's wool","ʁal","    Cf. Khosr. \Iʁal\i id."
318,"q:unču",707,"lock, tuft (of hair)","q:unču","    Cf. also Khosr. \Iq:unču\i 'forelock, fringe'."
319,"huru",1040,"fleece, wool (from one sheep)","huru",
320,"q:aṭa",495,"bush, shrub","q:aṭa","    Cf. Khosr. \Iq:ʷaṭa\i id. Lak. (or old Av.) > Arch. \Iqʷaṭi\i 'tree'. In Lak. the word probably meant also ""log, wooden block"", whence another modern meaning ""stool, bench""."
321,"ħawa",39,"fish","ħawa","    Cf. Khosr. \IhaIwa\i id."
322,"zulū",341,"nap, pile","zulū",
323,"x:ʷa",1044,"sinew, tendon; string","x:a","    Cf. Khosr. \Ix:ʷa.\i"
324,"ꭓ:al",1046,"thread, wire","ꭓ:al",
325,"tunnu",1048,"vein, blood vessel","tunnu","    Cf. Khosr. \Itundu.\i The Proto-Lak. form must be reconstructed as \I*ten-dV\i ( < \I*tem-dV\i), cf. the Khosr. form and the Arch. loanword \Itenne.\i"
326,"uIru-",1794,"brown","uIru-","    Cf. Khosr. \IuIru-\i 'grey'."
327,"č̣anaḳ",1051,"perspiration","č̣anaḳ",
328,"huq",153,"sweat","huq","    Cf. Khosr. \Ihuq,\i gen. \Ihuqa-l\i id."
329,"lal",1055,"pus","lal",
330,"=u=qa-",1056,"to cut off, break off","=uqa-n","    G. pr. \I=u=qu-n.\i Cf. perhaps also (with expressive pharyngealization) \IqaI učin\i, \IqaI ṭun\i (Khosr. \IqIa ṭun\i) 'to burst, break, split' (intrans.)."
331,"uInc̣u",1059,"snot, mucus from the nose","uInc̣u",
332,"ṗaIlc̣u",1060,"eye secretion","ṗaIlc̣u","    Cf. Khosr. \IṗaIlc̣a\i id."
333,"s:i",1065,"gall; anger","s:i","    Cf. Khosr. \Is:i\i id. The Lak. word also means 'rust', which is probably a secondary semantic development (but cf. Av. Andal. /cited from Mikailov 1959/ \Isuʔi\i 'rust' - perhaps a historically different root?)."
334,"ḳu-š:i-",1066,"to urinate","ḳu-š:i-n","    Ger. praet. \Iḳu-x:u-nu.\i Cf. also the derivate: \Iḳuš:a-lu,\i Khosr. \Iḳuš:a-lu\i 'urine'."
335,"uI-t",1070,"faeces","uIt","    Gen. \IuIt:a-l;\i cf. Khosr. \IuIt,\i \IuIt:a-l\i id."
336,"c:iꭓ",1072,"diarrhea","c:iꭓ","    Cf. also Khosr. \Ic:iꭓ,\i gen. \Ic:iꭓ:-ildaral.\i"
337,"š:ulū",1076,"dung of sheep","š:ulū","    Cf. Khosr. \Iš:ulu\i id."
338,"qut",1755,"dung","qut","    Gen. \Iqut:a-l.\i Cf. also Khosr. \Iqut,\i \Iqut:a-l\i ""horse's dung""."
339,"q̇aIrq̇i",1085,"dirt","q̇aIrq̇i","    Cf. Khosr. \Iq̇Iarq̇Ii\i id."
340,"č:anṭu",1089,"haycock","č:anṭu",
341,"maq̇",1091,"tear","maq̇","    Cf. Khosr. \Imaq̇\i id."
342,"šaIra",1093,"running nose","šaIra",
343,"qanqa",76,"dried snivel in nose","qanqa (Khosr.)",
344,"-riḳ",371,"women, female sex","c:u-riḳ","    The root is preserved only within a compound with \Ic:u-\i 'female'."
345,"q̇unča",1102,"calf (1 y. old)","q̇unča","    Gen. \Iq̇unk-lul.\i"
346,"uIl",1105,"cow","uIl",
347,"nic",1106,"ox","nic","    Gen. \Inica-l.\i Cf. also Khosr. \Inic,\i \Inica-l.\i"
348,"gada",1107,"kid","gada","    May be a loanword from Darg."
349,"baIrč",1109,"calf","baIrč","    Cf. gen. \IbuIrču-lil,\i Khosr. \IbaIrč,\i \IbuIrču-ril.\i"
350,"quIrč̣u",1111,"heifer","quIrč̣u (Arak.)",
351,"q:aIča",1112,"bull-calf","q:aIča","    Gen. \Iq:aIč-lul;\i cf. also Khosr. \Iq:aIča,\i \Iq:Iač-lul.\i"
352,"ars",532,"son","ars",
353,"c̣uku",1115,"goat","c̣uku",
354,"=i=hi-",83,"to roll, glide; to soar","=i=hi-n","    Ger. pr. \I-i-hu-nu.\i The durative stem is \Iha-na-n\i (Khosr. \Iha-na-n\i)."
355,"buꭓca",1122,"he-goat (1 y. old)","buꭓca",
356,"čʷu",211,"horse","čʷu","    Cf. also Khosr. \Ičʷu\i id. Gen. \Ičʷa-l,\i pl. \Iduč-ri\i ( < \I*ruč-\i < \I*ʔurč-,\i cf. the Darg. form)."
357,"k:ʷa=k:ʷa-",86,"to see, meet, experience","k:a=k:a-","    A reduplicated stem (pr. praet. \Ik:a=k:-un\i). In a non-reduplicated form the root can be discovered in \I=ur-ugʷa-\i 'to look' (with \I*ʡwerV\i 'look' in the first part), \Ilug-la-n\i (Khosr. \Iluga-n\i) 'to search'. Lak. \I=ur-ugʷa-\i ( < \I*=ur-igʷa-\i) was probably borrowed in Arch. \Irig a=a-s\i 'to find'."
358,"=uru-gʷa-",1126,"to look","=uru-ga-n","    Ger. pr. \I=uru=gu-n.\i Etymology of the second part (-gʷa-) see under \Ik:ʷak:ʷa-\i (PEC \I*=agwV\i)."
359,"t:uk:u",1129,"ass, donkey","t:uk:u",
360,"uIrč̣",1130,"child","uIrč̣",
361,"wilc̣un",672,"mule","wilc̣un","    Cf. also Khosr. \Iwirc̣un\i id."
362,"kuča",1133,"bitch","kuča","    This is the genuine Lak. word for 'bitch' (more widely used is \Iguža\i id. which is borrowed from Darg., see \I*gwăǯē\i)."
363,"kanc̣a",1135,"puppy","kanc̣a",
364,"karč̣",1136,"puppy","karč̣","    Cf. also Arak., Bartkh. \Ičarč̣\i id."
365,"č:itu",1137,"cat","č:itu","    Cf. Khosr. \Ič:itu\i id."
366,"q:urmaw",1138,"tom-cat","q:urmaw (Khosr.)","    The word q:uIrmaw in literary Lak. is used only in a euphemistic sense as ""dirty creature, slut"" (colloq.), although it is obviously the same word as Khosr. \Iq:urmaw\i 'tom-cat'."
367,"aInaḳi",1139,"hen","aInaḳi","    Cf. Khosr. \IaInaḳi\i id."
368,"=aha-",91,"to fall","=aha-n","    G. pr. \I=ah-nu.\i Cf. Khosr. \I=aha-n,\i \I=a=hun-di.\i"
369,"cuša",1146,"bear","cuša","    Gen. \Icux-lul;\i cf. also Khosr. \Icuša,\i \Icux-lul.\i"
370,"barc̣",1147,"wolf","barc̣",
371,"culč̣a",1149,"fox","culč̣a","    Gen. \Iculḳ-lul.\i Cf. also Khosr. \Isulč̣a,\i \Isulḳ-lul\i id."
372,"=iza-n",95,"to stand up; to plant (smth.)","=iza-n","    G. pr. \I=i=zu-n.\i With Ablaut cf. also \Ihaz-s:a\i 'high, tall', \Ihaz dan\i 'to lift'."
373,"aInḳlu",1150,"hedgehog","aInḳlu",
374,"barꭓ:u",1154,"the leader in the herd of mountain goats","barꭓ:u",
375,"q̇un",98,"big stone, boulder","q̇un",
376,"hinta",1196,"chamois, gazelle","hinta","    Cf. Khosr. hinta id."
377,"burḳ",1159,"boar, pig","burḳ","    Gen. \Iburč̣a-l;\i Khosr. \Iburḳ,\i \Iburč̣a-l\i id."
378,"x:u-wajs:a",894,"badger","x:u-wajs:a","    Cf. also Khosr. \Ix:ubajs:a\i id. The word is folk-etymologically analysed as ""nightly"" (cf. \Ix:uwaj-s:a\i 'nightly' from \Ix:u\i 'night', \Ix:uwa-j\i 'at night'). This is an irregular transformation of the compound \I*x:u\i 'night' + \I*bars:a\i 'badger' which itself is obviously a translation loan from Darg., where the word for 'badger' is \IdugaIq̇,\i \Idugelibug\i (accidentally similar to \Idugi\i 'night')."
379,"t:ar",105,"needles of a conifer","t:ar",
380,"t:arq̇a",1163,"weasel, ermine","t:arq̇a","    Cf. Khosr. \It:arq̇ʷa\i id."
381,"t:alak",1166,"marten","t:alak","    Cf. Khosr. \Idalak\i id. The same root (with some distortions) is present in the compound \IbuIrꭓ-t:uk:u\i 'squirrel' (which is folk-etymologically analysed as 'hare'+'donkey')."
382,"uIḳu-lu",1170,"field mouse","uIḳu-lu","    The word is a partial contamination with \Iḳulu\i 'mouse' q.v. Regularly we should expect \I*nuIḳu\i or \I*nuIḳu-lu\i here; the initial n- was dropped (for not quite clear reasons, but exactly in the same way as in \IaIḳ\i < \I*naIḳ\i 'gadfly' q.v.)."
383,"ḳulu",1171,"mouse","ḳulu","    Cf. Khosr. \Iḳulu\i id. The two roots - \I*ɦnə̄q̲̇wə̄\i and \I*q̇welʕə\i have influenced one another in Lak.: one of them obtained a lateral ""suffix"" (\IuIḳulu\i), the other one - a velar initial (\Iḳulu;\i regularly from \I*q̇welʕə\i \Iq̇ulu\i or \Iulu\i would be expected)."
384,"k:urc̣u",246,"snipe","k:urc̣u",
385,"čiṭu",178,"swallow","čiṭu",
386,"ša-nu",1175,"bed","ša-nu","    -nu is a suffix, cf. a form from the same root \Iša-wa\i 'at home' (the old meaning of the root is simply 'place'). Thus the similarity with \Išanu\i 'sleep' is purely accidental."
387,"š:ar",1176,"village","š:ar",
388,"kuIru",1177,"nest","kuIru",
389,"ḳa-nu",1178,"place; chair","ḳa-nu","    Cf. Khosr. \Iḳʷanu\i 'place'."
390,"itargu",1182,"kite","itargu",
391,"q:aIda",1185,"crow","q:aIda (dial.)","    Lak. \Iq:aIda\i is a dialectal form mentioned in Khaidakov 1973. Both literary Lak and the Khosr. dialect have an irregular reflex \Iqaṭu.\i"
392,"q:aIʁu",118,"jackdaw","q:aIʁu",
393,"waIrq:u",1191,"magpie","waIrq:u","    Cf. Khosr. \Iwarq:Iu\i id. Cf. also, without final -u, \IwaIrq\i 'cry of a magpie'."
394,"š:i-",2296,"who","š:i-","    The stem is used only in oblique cases (gen./erg. \Iš:i-l,\i dat. \Iš:i-n\i)."
395,"č:ik:u",1193,"cuckoo","č:ik:u",
396,"x:i",1194,"pigeon","x:i","    Cf. Khosr. \Ix:ʷi\i id."
397,"s:uli",1240,"wild turkey","s:uli",
398,"q̇uruq̇",1203,"crane","q̇uruq̇",
399,"baIrčalu",343,"snail","baIrčalu (dial)","    The word is recorded by Khaidakov in the Vikhl. dialect in a compound: \IlaIꭓča-baIrčalu\i ""a petrified snail"" (\IlaIꭓča-\i = lit. Lak \Iluꭓč:i\i ""earth"")."
400,"ꭓ:aIlcu",176,"spider","ꭓ:aIlcu","    Cf. also dial. (Khaid.) \Iqarcu\i 'spider'; Khosr. \Iꭓ:Iʷarcu\i id."
401,"uIrwaṭi",1204,"frog","uIrwaṭi","    Cf. also Khosr. \IuIrbaṭi.\i Lak. > Arch. \IuIrbəṭi\i 'frog'."
402,"isu",1200,"owl","isu",
403,"q̇Iunuq̇Iaj-šat:a",624,"worm","q̇Iunuq̇Iaj-šat:a","    In lit. Lak the stem is only present within a compound; cf., however, Khosr. \Iq̇Iunuq̇Ii\i 'worm'."
404,"š:ira",1209,"ascarid","š:ira",
405,"jaIṭi",1211,"worm, larva","jaIṭi",
406,"nuwca",1216,"moth","nuwca","    Cf. Khosr. \Inuc\i id. An old Lak. loanword is Arch. \Inibsu\i 'moth'."
407,"suṭ",1217,"tick","suṭ (dial.)","    The form is quoted from Khaidakov 1973; the literary Lak. form could be \I*suṭ\i or \I*šuṭ\i (the real lit. form is \Iš:uc̣,\i belonging to another root)."
408,"suc̣",326,"tick","suc̣","    The Lak. form is a result of assimilation < \I*šuc̣;\i cf. Khosr. \Iš:uc̣\i (strong š:- not quite clear - inaccurate recording?)."
409,"=i=či-",128,"to pour, strew; to throw","=i=či-","    G. pr. \I=i=ču-nu.\i Cf. also \Il-i=či-\i (\Il-i=ču-nu\i) 'to throw; to jump out, to leap out'; Khosr. \I=iči-n\i 'to pour, strew', \Il-i=či-n\i 'to throw'."
410,"zimiz",1219,"fly","zimiz","    Cf. Khosr. \Izimiz\i id."
411,"q̇ač̣i",1222,"fly maggot; worm","q̇ač̣i",
412,"naj",1228,"bee","naj","    Cf. Khosr. \Inaj\i id. An old derivate is Lak. \Inaħu-\i 'tasty' ( < 'sweet'). Lak. \Inaj\i > Av. \Inaj\i / \Ina\i 'bee'."
413,"naIḳu",1230,"dragonfly","naIḳu","    Lak. naIḳu is an exact match for PA \I*niḳ:ʷV\i etc. However, the Laki for ""gadfly"" is \IaIḳ\i (Khosr. \IaIḳʷ\i), which seems also to be related, but with a strange loss of initial n- (some old dialectal interference?). Note also Lak. Bartkh. \IlaIḳu\i ""dragonfly"", where initial l- is probably a reminiscence of the former lateral nature of the Inlaut affricate."
414,"=u=A:K-",135,"to go out, exit; walk around","=u=A:K-","    G. pr. \I=u=k:u-n.\i Lak. also has an imperative \Iulu\i ""let's go!"", which is a variant of the same root with a reflex -l- (a typical variation for PEC *Ł); Lak. \Iulu\i = Tind., Cham. \Iƛ:e.\i"
415,"č̣imuč̣ali",1233,"butterfly","č̣imuč̣ali",
416,"qac̣",1236,"locust","qac̣","    Cf. Khosr. \Iqʷac̣\i id. The Khosr. dialect has also \Iqʷarč\i 'grasshopper'; its relationship to this root is unclear (it could be a contamination of \Iqʷac̣\i with the reflex of PEC \I*ꭓwĕrćV\i q.v. - which should have been \I*ꭓ:ʷarč\i or \I*harč\i)."
417,"ꭓ:alaꭓ:i",347,"thorn, prick; needle; (dial.) bush","ꭓ:alaꭓ:i","    Cf. Khosr. \Iꭓ:alaꭓ:i\i 'needle'."
418,"c̣alc̣i",1239,"shaving, chip","c̣alc̣i",
419,"la=qa-",142,"to rise; to increase","la=qa-","    G. pr. \Ila=qun.\i Cf. also \Ilaq-s:a\i 'high, tall', \Ilaq-nu\i 'high above (adv.)'."
420,"laḳi-ja",351,"fuel (straw, dried stalks etc.)","laḳi-ja",
421,"wac̣a",1241,"forest","wac̣a",
422,"jaq",1243,"mountain slope","jaq","    Gen. pl. \Ijaq-urdil.\i Cf. also Khosr. \Ijaq\i 'heap, mound'. Lak. > Darg. Chir. \Ijaqʷ\i 'heap'."
423,"c:ac",1244,"sweetbrier, eglantine","c:ac","    Obl. base \Ic:uc:u-.\i Cf. Khosr. \Ic:ac,\i \Ic:uc:u-\i 'thorn, prick'."
424,"buIrū",1247,"thistle","buIrū",
425,"=ĳ=a-",162,"to reach, come to","=ĳ=a-n","    G. pr. \I=i=nu.\i Cf. Khosr. \I=ĳ=a-n\i id. A derivate with the preverb l- is \Ilaj=a-n\i (G. pr. \Ila=nu\i), Khosr. \Ilaj=a-n\i 'to touch'."
426,"u-t:a-",165,"wide","u-t:a-",
427,"c̣u=c̣i-",1251,"to plane, hew","c̣u=c̣i-","    G. pr. \Ic̣u=c̣unu.\i Cf. Khosr. \Ic̣a=c̣i-.\i Derived words are Lak. \Ic̣uc̣alu,\i Khosr. \Ic̣uc̣alu\i 'chip, sliver, shaving'; Lak. \Ic̣alc̣i\i 'chip, shaving, splinter'."
428,"ḳurꭓ",542,"sprout","ḳurꭓ",
429,"buq",1255,"sloe","buq",
430,"hi",1256,"birch","ḳaIla-hi","    Cf. also Khosr. \IḳaIla-hi\i (lit. ""white \Ihi""\i), dial. (cited from Khaidakov 1966) \Ihi\i 'birch'."
431,"x:iri",1261,"lime-tree","x:iri","    Cf. Khosr. \Ixiri\i id. (probably, a faulty recording instead of \I*x:iri\i)."
432,"hiwx",1265,"nut","hiwx","    Cf. gen. \Ihiwx:u-l.\i The initial h- is a result of dissimilation: \Ihiwx\i < \I*qiwx:,\i cf. the dialectal form: Khosr. \Iquhā\i (with an opposite dissimilation) ""fruit-stone"". The Lak. dial. form > Ag. Burk. \Iquwa\i 'fruit-stone'."
433,"laI=uk:a-",175,"to grow","laI=uk:a-n","    G. pr. \IlaI=u=k:un.\i"
434,"hiwč",1267,"apple","hiwč","    Obl. base \Ihiwču-;\i cf. also Khosr. \Ihičʷ,\i obl. \Ihiču-.\i"
435,"ħuꭓ-ču",191,"shepherd","ħuꭓ-ču","    Cf. Khosr. \IhuꭓI-ču\i id. (-ču is a component with the meaning of Nomen agentis)."
436,"quIrt",1269,"pear","quIrt","    Obl. \IquIrtu-;\i cf. Khosr. \IqIurt,\i \IqIurtu-\i id."
437,"k:urk:ul",1271,"a sort of pears","k:urk:ul","    Cf. also Lak. \Ik:uruk:i\i 'fruit, -s' - obviously a variant of the same root."
438,"č̣aIj-",196,"reddish, red-haired","č̣aIj-s:a","    Lak. \Ič̣aIj-\i > Arch. \Ič̣eIj\i 'light yellow (of hair, crops)'."
439,"aq",1274,"garden","aq","    Cf. gen. pl. \Iaq-urdil.\i"
440,"ṭuṭi",1276,"grape","ṭuṭi","    The Lak. form was probably borrowed in Darg.: cf. Ak., Ur. \Iṭuṭi,\i Chir. \Iṭuṭe\i etc. It is also probable that the Av. dialectal form \Iṭuṭí\i 'gooseberry' is borrowed from Lak. or Darg."
441,"k:urmuz",1277,"a k. of fruit (мирабель)","k:urmuz","    Cf. also Khosr. \Ik:urmuz\i 'damson'. Old Lak. is probably the source of Av. (dial., cited in Khaidakov 1973) \Igermez\i and Arch. \Igerbec\i 'quince'."
442,"ḳa",2234,"that (above the speaker)","ḳa","    Cf. also Khosr. \Iḳʷa\i id. (labialisation is probably secondary, \Iḳʷa\i < \I*ḳV-wa\i)."
443,"sunū",1278,"pome-granate","sunū","    Lak. \Isus\i 'barberry' is probably a reduplication of the same root (\Isus\i < \I*suns\i)."
444,"nur",1279,"a k. of weed with edible root","nur",
445,"žunaw",1281,"cornel","žunaw","    Cf. also Khosr. \Ič:unaw\i id."
446,"šʷaj",557,"guelder rose, snowball-tree","šʷaj",
447,"q̇uI-nuq̇i",1282,"strawberry","q̇uInuq̇i","    Cf. Khosr. \Iq̇Iunuq̇Ii\i 'strawberry, raspberry'. Initial q̇Iu- is most probably assimilated from *qV- (cf. other cases like \Iqa-naḳ\i 'sweetbrier', \Iq-asa\i 'ashberry' etc.)."
448,"mamari",1283,"blackberry","mamari",
449,"qa-naḳ",1286,"sweetbrier","qanaḳ","    Cf. also Khosr. \Iqanaḳ\i id. The form contains a prefix *qa-, also discoverable in some other berry names."
450,"č:at:i",504,"food made of butter, flax seeds and sugar","č:at:i",
451,"u",1289,"a sp. of barley (голозерный ячмень)","u","    Gen. \Iuwa-l;\i cf. also Khosr. \Iu,\i gen. \Iuʔa-l\i / \Iuwa-l\i id. A derivate from the same root is Lak. \Iini\i ( < \I*ʔu-ni\i) 'oat flour' (cf. the same type of structure in Darg. \Inuq̇-un\i 'flour, oat flour')."
452,"wiṭ",1291,"a k. of cereal (вид злака, напоминающего типчак)","wiṭ",
453,"niIqa",1292,"oats","niIqa","    Cf. Khosr. \IniqIʷa\i id."
454,"sus",1298,"rye","sus","    Gen. \Isusu-l;\i cf. also Khosr. \Isus,\i \Isusu-l.\i"
455,"ši",1300,"millet","ši","    Cf. Khosr. \Iši\i id."
456,"qa",1301,"barley","qa","    Cf. Khosr. \Iqa\i id."
457,"č̣ali",220,"ear (of corn)","č̣ali","    Cf. Khosr. \Ič̣ali\i id."
458,"q:ama",1306,"grain, corn","q:ama","    Cf. Khosr. \Iq:ama\i id. Lak. > Darg. Ak. \Iq:ama\i 'hemp', Chir. \Iq:ama\i 'seed'."
459,"k:uk:u",1307,"fruit-stone, grain","k:uk:u","    Cf. Khosr. \Ik:uk:u\i id."
460,"zu-",254,"to work","zu-n","    Cf. Khosr. \Izu-n\i id."
461,"-ku-",2300,"which","cu-ku-n-s:a","    Used only in combination with the interrogative stem \Icu-/ci-\i (cf. also \Ici-k-s:a\i 'how many')."
462,"ṭuṭi",1313,"flower","ṭuṭi",
463,"ꭓ:ara",1314,"thick stalk of herbaceous plants","ꭓ:ara",
464,"urt:u",1316,"grass","urt:u",
465,"=u=č̣i-",1318,"to weed","=u=č̣i-","    G. pr. \I=u=č̣unu.\i Cf. also dur. \Ič̣u-n\i and the old deverbative \Ič̣alū\i 'weed'."
466,"huḳū",1319,"panicled wormwood, absinth","huḳū",
467,"*-iIṭa-",241,"small","*-iIṭa-","    This hypothetical Lak. root is extracted from \IbiIṭa-ḳis:a\i 'small finger' (cited from Khaid.)."
468,"miIč̣",1320,"nettle","miIč̣",
469,"ulč:a",1321,"burdock","ulč:a","    Cf. also Khosr. \Iulč:a,\i gen. \Iulk-lul.\i"
470,"miIʁa",1323,"burdock's root","miIʁa",
471,"duš",243,"daughter","duš",
472,"salsi",1325,"cockle","salsi",
