NUMBER|PROTO|PRNUM|MEANING|CHE|ING|BCB|COMMENT
109|*ħō|2286|thou (2d p.pr.)|ħo|ħo|ħo|    PN paradigm: nom. \I*ħō\i (shortened already in PN; length is preserved in forms like Chech. dat. \Iħū-na\i < \I*ħō-nu\i), obl. \I*ħa-\i (Chech., Ing., Bacb. \Iħa-\i), erg. \I*ʔaħ\i (Chech. \Iaħ,\i Ing. \Iʕa\i < \I*aʕ\i with secondary voicing, Bacb. aħ).
110|*moṭṭ|102|tongue|mott|mott|moṭṭ|    Obl. base \I*maṭṭi-\i (cf. Chech. \Imetta-,\i Ing. \Imetto\i). 6th class in all languages.
111|*ca|104|tooth|cerg|carg|carḳ|    The simple form \I*ca\i is preserved in Ing. \Ica\i "tooth" (besides the more common \Icerg\i) and Chech. \Ice\i "horse's tooth" (vocalism levelled by analogy with the obl. base \Icena-\i). More widely spread is the original diminutive \I*car-iḳ\i (4th class in all languages). Cf. also Cheb. \Icarig,\i Shar. \Icerig\i etc.
112|*ditt ( ~ -ī-,-ṭṭ)|460|1 mulberry tree 2 tree|ditt 1,2|ditt 2||    Obl. base \I*ditte-\i (~-ṭṭ-), cf. Chech. \Iditta-,\i Ing. \Iditto.\i 3d class in both languages.
113|*gag|461|1 branch 2 tree 3 bunch (of grapes)|ga 1|ga 1,2|gag 3|    3d class in Chech., 4th class in Ing., 6th class in Bacb. Cf. also Akk. \Igav\i "branch".
114|*ꭓēn|462|1 tree 2 wood, piece of wood|ꭓen 2|ꭓi 2|ꭓẽ 1|    Obl. base \I*ꭓēna-\i (Chech. \Iꭓēna-,\i Ing. \Iꭓeno\i). 6th class in all languages (but in Chech. 4th class with meaning "butt-stock").
115|*ši(n)|2316|two|šiʔ|šiʔ|ši|    The final glottal stop in Chech. and Ing. is secondary (as also in other numerals). The original base \Išin-\i is preserved as oblique (Chech., Ing. \Išina-\i).     Cf. also PN \I*šina-ra\i 'heifer (about 2 years old)' (Chech., Ing. šinara) which is, on one hand, an obvious derivate of \I*ši(n\i) 'two' (just like \I*qaʔar-ḳ\i 'a 3-years-old heifer' from the oblique base \I*qaʔa-\i 'three') and on the other hand - a perfect match for Lak., PL and PWC forms.
116|*=aꭓ-|108|walk, go|=aꭓ-|=aꭓ-|iꭓ-|    This stem reveals 3 Ablaut grades in PN: a) \I*ʔiꭓ-\i > Bacb. \Iiꭓ-\i walk; flow; b) \I*ʔeꭓ-\i > Chech. \Iʔeꭓ-\i id.; c) \I*=aꭓ-\i > Chech. \I=aꭓ-,\i Ing. \I=aꭓ-\i id., Bacb. \I=aꭓ-\i go away.
117|*mɦal-i(n)|111|warm; weak, loose|mela|mela|malĩ|    The laryngeal in the initial cluster is preserved only in the Shar. dialect (\Imʕalĩ\i); cf. also Cheb. \Imalĩ,\i Khild. \Imelĭ,\i Ved. \Imene,\i Kharach. \Imene\i etc. The pure base is seen in Chech. \Imal-dan\i "to weaken, loosen".
118|*ꭓi|112|water|ꭓi|ꭓĳ|ꭓi|    Cf. Chech. dat. \Iꭓi-na.\i 3d class in all languages.
119|*ꭓa|2294|an interrogative stem|(mū-)ꭓa||(wu-)ꭓ|    In Nakh this stem is used only as the second part of interrogative compounds (Chech. \Imū-ꭓa\i "which", Bacb. \Iwu-ꭓ\i "what").
120|*tꭓō|2288|we (excl.)|tꭓo|tꭓo|tꭓo|    PN paradigm: nom. \I*tꭓō\i (length preserved in forms like dat. \I*tꭓō-nu\i > Chech. \Itꭓū-na\i), obl. \I*tꭓa-\i (gen. Chech. \Itꭓa-n,\i Bacb. \Itꭓa-jĩ\i etc.), erg. \I*ʔāꭓu\i (Chech. \Iōꭓa,\i Ing. \Ioaꭓa,\i Bacb. \Iatꭓŏ\i - probably with secondary -tꭓ-).
121|*waj|2285|we (incl.)|vaj|vaj|vaj|
122|*fu-(n)|464|what (interrogative pronoun)|hun|fu|wu-ꭓ|    Cf. also Bacb. wũ "why", wu-naꭓ "something". A derived noun is PN *fu-ma 'thing' (Chech. huma, Ing. hama, Bacb. wum).
123|*ḳVj-|465|white|ḳajn|ḳaj|ḳujĩ|    Vocalism not clear (old Ablaut?) The pure stem is represented in Chech. \Iḳaj\i "wall-eye", Bacb. \Iḳuj-dar/ḳuv-dar\i "to whiten".
124|*mV|2301|interrogative stem|mila|mala|mẽ|    Widely used in PN, cf. Chech. \Imi-la\i who, \Imü-lꭓa\i which, \Imi-ča\i where, \Ima-ca\i when etc.; Ing. \Ima-la\i who, \Imi-ča\i where, \Ima-ca\i when etc.; Bacb. \Imẽ\i who, \Ime-lꭓu\i which, \Imič(a\i) where, \Imacã\i when etc.
125|*ʒɦuṭ|466|1 bitch  2 woman|zud 1, zuda 2|zud 1||    PN \I*ʒɦuṭ,\i \I*ʒɦuṭe-\i (3d class) "bitch" (for the obl. base cf. Chech. \Izüda-,\i Ing. \Izudo;\i cf. also Pharch., Akk. \Izud,\i Lev. \Iʒʕud\i id.). The derivate \I*ʒʕuṭan\i "woman" exists only in Chech. (cf. Usl. \Izudaŋ,\i Akk. \Izudã;\i note that the Lev. dialect in Imnaishvili's notation has no laryngeal here: \Iʒuda\i - perhaps a faulty transcription?).
126|*qadela ~ *qadale|467|mare|qēla|qal|qadal|    4th class in Chech. and Ing., bd in Bacb. The Ing. word for "woman" (qal-sag) is formed from this root.
127|*psṭuw|468|1 wife 2 princess|stū 2|suw 2|psṭu 1|    Obl. base \I*psṭuw-nV-,\i cf. Chech. \Istūna-,\i Ing. \Isuwno,\i Bacb. \Ipstujnĩ;\i cf. also Bacb. \Ipsṭujnŏ\i "woman". An interesting compound is Chech. \Istun-da\i "father-in-law" ("wife's father") = Ing. \Iust-da,\i where Ing. has a prothetic vowel and preserves the -st- combination. Cf. also Cheb. \Istu,\i Shar., Khild. \Isu.\i
128|*māč̣-u(n) (~ -ǯ-)|300|1 yellow 2 orange|mōža 1|mɔža 2||    The pure root is preserved in Chech. \Imaž-dan\i "paint yellow".
129|*ʡāč̣V- (~ -ǯ-)|196|1 light-bay, cream-coloured 2 yellow|ʕōža 1|ʕažaʁa 2||
130|*ḳaṗ- ?|470|yellow|||ḳaṗraš|    Isolated in Bacb.; perhaps a loanword (but the source isas yet unknown).
131|*sēn-i(n)|626|blue|sīna|sīna|sejnĭ, sīnĭ|    Cf. also Cheb. \Isjēni\i 'blue'. The pure root is preserved in Chech. \Isen-dan\i 'to make blue', Bacb. \Isen-dalar\i 'to become blue'.
132|*garge|396|near|gerga|garga|garg(eħ)|
133|*tuꭓe|356|salt|tüꭓa|tuꭓ|tujꭓĭ|    3d class in all languages.
134|*=ācu-n|380|short|=ōca|lɔca|=acũ|    Ing. has a prefixed l-; cf. also Cheb. \I=ācũ,\i Shar. \I=ōcũ\i etc. For the pure root cf. Chech. \I=ac-dan,\i Bacb. \I=ac-d-ar\i "to shorten".
135|*laħi|145|snake|läħa|leħa|laħ|    6th class in all languages.
136|*-uṭq̇-i(n)|472|thin|-uṭq̇a|-iṭq̇a|d-uṭq̇ĩ|    The Chech. form goes back to *-uṭq̇-a(n) (but cf. dialectal forms: Cheb. -uṭq̇ĩ, Shar. -ujṭq̇ĩ, Akk. -üṭq̇a etc. which are regular). Cf. also Bacb. -uṭq̇-dar "make thin".
137|*m(ɦ)oꭓ|94|wind|moꭓ|muꭓ|moꭓ|    6th class in all languages. Obl. base \I*maꭓi-\i (Chech. \Imeꭓa-,\i Ing. \Imiꭓo,\i Bacb. \Imaꭓi-\i).
138|*nʡana|473|worm|nʕäna|nʕana|nʕan|    6th class in Chech., Ing., bd in Bacb. Cf. also Pharch. nʕana.
139|*qōṗe|474|1 trichina 2 worm|qȫba 1|qop 1|qawṗŭ 2|    4th class in all languages. The Bacb. form probably reflects a former obl. stem \I*qāṗu-\i (which was lost in Chech. and Ing.).
140|*šo|122|year|šo|šo|šo|    Obl. base \I*šari-,\i cf. Chech. \Išera-,\i Ing. \Išero,\i Bacb. \Išari-.\i 3d class in all languages.     The same root (with Ablaut and old morphonological changes) is present in two PN derivates:     1) \I*šir-i(n)\i "old (of age)" > Chech., Ing. \Išira,\i Bacb. \Iširĩ;\i     2) \I*t-iš-i(n)\i "old (inanim.)" > Chech., Ing. \Itiša,\i Bacb. \Itišĩ.\i
141|*gāni|475|far|gēna|gäna||
142|*min-|476|occipital bone, cervical vertebra|min-däʕaꭓk|||    (\Idäʕaꭓk\i "bone").
143|*laḳ|469|1 front part of neck  2 throat|lag 1|lak 2||    Obl. base \I*laḳu-\i (cf. Chech. \Iloga-\i). Cf. also Cheb. \Ilaḳ\i (with exceptional preserving of glottalisation), Lev. \Ilag.\i 3d class both in Chech. and Ing.
144|*=uꭓ|484|bottom, lower part|=uꭓ|=uꭓ|=uꭓ|    Obl. base \I*=uꭓe\i (Chech. \I=üꭓa-,\i Ing. \I=uꭓo\i). The root is used only with class prefixes.
145|*č̣alḳo|485|hoof|||č̣alḳŏ|    Isolated in Bacb., but with rather probable Andian parallels.
146|*kān|490|wool (shorn in spring)|kan|ka||    Obl. base \I*kāne-\i (Chech. \Ikēna-,\i Ing. \Ikano\i). 3d class in both languages.
147|*kur|338|tuft of hair, forelock|kur|||    Obl. base \Iküra-.\i The word is isolated in Chech., but has reliable external parallels.
148|*bʕēꭓul-|343|snake|bȫꭓal-la|bʕeꭓal||    4th class in Chech., 6th class in Ing.
149|*ʁaṭ|495|stem, stalk|ʁad|ʁad||    Obl. base \I*ʁaṭ[u]-\i (cf. Chech. \Iʁoda-,\i Ing. \Iʁado-\i); 3d class in both languages. Cf. also PN \I*ʁaṭ[u]-m\i > Chech. \Iʁodam\i 'maize stalk', Ing. \Iʁadam\i 'stalk'.
150|*dos|496|1 wood, firewood  2 place for chopping wood|dos-buꭓ 2|dos 1|dos 1|    Obl. base \I*dasi-\i (cf. Ing. \Ideso\i). 3d class in Ing. and Bacb.
151|*jalata (~-λ-)|504|corn|jalta|jalat||    3d class in both languages.
152|*ḳiḳel|507|fruit|||ḳiḳel (Desh.)|    The Bacb. word is isolated within Nakh, but has rather reliable external parallels.
153|*ħān-i(n)|510|fat, greasy|ħēna|ħäna||    The pure stem is preserved in Chech. \Iħan-dan\i 'to fatten, fertilize'.
154|*moꭓḳ|514|1 earth, country  2 country|moꭓk 1|moꭓk 2|moꭓḳ 1|    Obl. base \I*maꭓḳi-\i (Chech. \Imeꭓka-,\i Ing. \Imeꭓko\i). 6th class in all languages.
155|*mHāquc̣|520|flint|mōqaz|mɔqaz|maqac̣|    6th class in all languages. Cf. also Shar. \Imʕoqoz,\i Khild. \Imōqoʒ\i etc.
156|*derc̣|522|1 drizzling rain 2 bad weather|derz 1|darz 1|dārc̣ol 2|    Obl. base \I*darc̣e-\i (Chech. \Iderza-,\i Ing. \Idarzo\i). Differences in vocalism between Chech. and Ing. are explained by vowel levelling of direct/oblique bases. Length of the vowel in Bacbi (Kadagidze gives variants: \Idārc̣ol,\i \Idārc̣ola,\i \Idārc̣ina\i) is unclear (Bacbi does not normally distinguish between short and long vowels, and, anyway, in this case Chechen obviously points to a short vowel in PN). Cf. also dialectal forms with assimilation: Khild. \Iʒarʒ,\i Shar. \Iʒjerʒ,\i Akk. \Icjerc.\i Imnaishvili has a notation for Ing.: \Idjerc:\i - which points to PN *c̣. The word belongs to the 3d class both in Chech. and in Ing.
157|*fow ( ~ -ō-)|529|fresh wind, breeze|hō|fo||    Obl. base \I*fow-nV-\i (Chech. \Ihō-na-,\i Ing. \Ifo-no\i). 3d class in both languages.
158|*psarV|530|1 evening 2 yesterday 3 in the evening|süjrē 1,sara-ħ3|sajra1,sara-ħa3|psara 1, psare2|    The Nakh forms reflect different locatives and derivates from the root \I*psar(V)-\i (not attested without suffixes). The root is also used in Bacb. \Isi-psre(ħ)\i 'the day before yesterday' = Chech. \Isīsara,\i Ing. \Isĳsara\i id. (etymology of the first part, PN \I*si-,\i is not quite clear - perhaps a dissimilation < \I*ši-\i 'two', lit. 'two evenings (ago)').
159|*ḳurḳḳ- ( ~ -ū-)|540|whirlpool|ḳurḳ-mani|||    Obviously an expressive word, but with some possible external parallels.
160|*=ʕābꭓ-V(n)|334|hot|=owꭓa|=ʕajꭓa|=apꭓẽ|    This adjective is a derivate from a verbal root \I*=ʕōbꭓ-/*=ʕēbꭓ-,\i reflected in Bacb. \I=epꭓ-dar\i 'to warm up' (dur.), \I=opꭓ-dar\i id. (term. = Chech. \I=oꭓ-dan\i).  Cf. also other Bacb. derivates: \Ijopꭓ\i "heat", \Idopꭓ\i "sweat", \Idapꭓ-na\i "heat", \Ijapꭓol\i "warmth".
161|*ʡo-|561|go|||ʕo- (pres.)|    An isolated Bacb. root (used only in the present tense), but probably archaic.
162|*-iʔ-|162|to be in time, to have time|q-iʔ-|q-e-||    The root also means 'to ripen, grow up' which reflects a contamination  with another PEC root \I*ʔirq̇ʷV\i q.v.
163|*ʔāt-|404|to crush, pound|āt-|āt-|at-|    With Ablaut and the preverb *l- cf. also PN \I*l-ēt-\i 'to fight' (Chech. \Ilēt-,\i Ing. \Ilet-,\i Bacb. \Ilet-\i).
164|*=ēḳ-|570|to fall down; crumble|l-ēg-, ēg-||=eḳ-|
165|*=ēbc-|409|to tell|=īc-|=uwc-|=epc-|    The Ing. form \I=uwc-\i reflects PN \I*=ēbc-u-\i (cf. Chech. pres. \I=ǖcu\i).
166|*=aq-|28|to suck (breast)|=aq-|=aq-|=aq-|
167|*=ač̣- (~ -ā-)|945|to gnaw|||=ač̣-|    Isolated in Bacb., but having good external parallels.
168|*ṭā|576|1 front leg (of animal) 2 bottom chuck (of animal)|ṭa 1|ṭa 1|ṭa 1,2|    Obl. base \I*ṭā-ni-,\i cf. Chech. \Iṭǟna-,\i Ing. \Iṭäno.\i 3d class in all languages.
169|*mač̣|228|1 beard 2 moustache|maž 1|mož (moǯ) 1|mač̣ 2|    Obl. stem \I*mač̣u-,\i cf. Chech. \Imoža-\i (Usl. \Imažu-\i), Ing. \Imožo\i (hence, with vowel levelling, the direct base vocalism: \Imož\i). 4th class in all languages. Cf. also Chech. Lev., Pharch. \Imaž,\i Khild. \Imoǯ,\i Cheb. \Imač̣,\i Ing. (Imnaishvili) \Imwoč:.\i
170|*ǯaq̇|8|a k. of small bird|maž-žaq̇|||    The 1st component of Chech. \Imažžaq̇\i "жулан" is \Imaž-\i 'yellow' q.v. The word is isolated in Nakh, but has good external parallels.
171|*čālu(n)|170|1 grey 2 roan|čōla 1|čɔla 2||    Cf. also Cheb. \Ičōlõ,\i Ved. \Ičālã\i etc. The word resembles Turk. \I*čāl\i 'grey', but cannot be a loanword (because of its morphological structure); however, the Turk. word could have influenced the meaning of Nakh \I*čālu(n\i) - since the original meaning of the root in Dagestan languages is 'blue, green'.
172|*ʁōr|21|1 cold (n.) 2 freeze|ʁōr-ō 2||ʁor 1|   4th class in Bacb. Cf. also Bacb. \Iʁor-ĩ\i 'cold as ice', \Iʁor-dar\i 'freeze'. Historically this is a verbal root with a suffixed -r. A trace of the vocalized stem \I*-aʁ-\i is probably present in the compound Chech. \Iʕin-daʁ,\i Ing. \Iʕin-darʁa\i 'shadow'.
173|*ṭʕām|592|wing|ṭam|ṭq̇am||    6th class in Chech. and Ing. Obl. stem \I*ṭʕāmu-\i (Chech. \Iṭōma-,\i Ing. - with vowel levelling - \Iṭq̇amo\i). Cf. also Shar. \Iṭʕām,\i Akk. \Iṭq̇am.\i
174|*ħēꭓ-|595|teach|ħēꭓ-|ħeꭓ-||
175|*č(ɦ)il (~ -ī-)|31|ashes, dust||čil||    Isolated in Ing., but with rather probable external parallels.
176|*ɦārcu|207|1 anxiety, alarm 2 help in danger 3 raid, foray|orca 1,2|ɔrc 2|ʕarcŏ 3|    3d class in all languages. Cf. also Cheb. \Iārcu,\i Ved. \Iōrcu\i etc.
177|*kaḳ-|143|small, minute|keg-ī (pl.)|kegĳ (pl.)|kaḳẽ|    The root is also present in Chech. \Ikag-dan/keg-dan\i 'break, destroy' ('make minute'), Ing. kag-de, Bacb. keḳ-dar id. Cf. also Chech. Cheb. \Ikagĩ\i 'small, minute', pl. \Ikagĳ.\i
178|*l-abc̣-|603|lean upon a staff while stepping|l-owz-|||    Isolated in Chech., but obviously archaic. Length of vowel is determined by forms like \Ilewz-ira,\i \Ilewz-ina.\i There exists also a durative stem \Ilīz-\i < \I*l-ēbc̣-.\i
179|*mVꭓV|607|1 asp 2 poplar, willow|maꭓ 1|miꭓa 2||    The Chech. word is quoted from the Russian-Chechen Dictionary. Vocalism is not quite clear. 4th class in Ing.
180|*=att-|611|to bake, roast|=att-|=att-|=att-|    Short vowel: cf. Chech. \I=ott-u,\i \I=ett-ira,\i Ing. \I=ott,\i \I=etta-.\i
181|*l(ɦ)ēq̇|587|quail|leq̇|leq̇||    Cf. Chech. obl. \Ilēq̇a-.\i 3d class in Chech., but 4th in Ing.
182|*mām-aḳ|15|female breast|māmag|||    An isolated Chech. word (with a diminutive suffix); although it is a "children's word", it has direct parallels in other EC languages.
183|*qēs|627|mane|qes|qes||    Cf. Chech. obl. stem \Iqēsara-;\i Lev. \Iqjes,\i Pharch. \Iqes.\i 4th class in Chech. and Ing.
184|*ʔoHV-la ( ~ -ō-)|630|thought|ojla|ujla||    Reconstruction of Inlaut uncertain because of the absence of Bacbi parallels (*-g- also possible). The word is an exact parallel to Av. \Iúrʁe-l\i 'thought'.
185|*m(ɦ)arʁV|643|1 shoot, offspring 2 twig, rod 3 a single straw|marʁa-l 1,2|merʁa 1,3||    3d class in Chech. and Ing.
186|*-abs- (~-ā-)|283|fall asleep|tħ-ows-|tħ-ajs-||    For the first part of the compound see PN \I*tōħ-.\i
187|*ʁorʁ|648|1 coarse sand 2 rough, coarse|ʁorʁ 1, ʁorʁa 2|ʁorʁa 2||    The Chech. and Ing. adjectives go back to PN \I*ʁorʁ-a(n\i).
188|*tāl|651|1 poplar 2 chock|tal 1|täl-g 2||    Obl. base \I*tālu-,\i cf. Chech. \Itōla-.\i The original meaning had been probably 'stick, tree' (in general), whence the Ing. diminutive \I*tāl-iḳ\i > \Itälg.\i 3d class in Chech. and Ing.
189|*l-ēlꭓ-|652|to jump|lelꭓ-||letꭓ-|    With Ablaut and reduplication cf. also \I*ꭓalꭓV-:\i Chech. \Iꭓalꭓa-dāla,\i Ing. \Iꭓalꭓa-dala\i 'to dance'.
190|*sṭē-n-|2298|what (interrogative pronoun)|stē(n)-|se|sṭen-|    The basic form is ergative: Chech. \Isten,\i Ing. \Ise,\i Bacb. \Isṭẽ\i (cf. also Cheb. \Istjē̃,\i Shar., Khild. \Isjẽ\i etc.). For the vowel length cf. also Chech. gen. \Istēna-n;\i \Isten-ga\i 'where' etc.
191|*mʕēlq̇u|654|lizard|mölq̇a|melʕa||    Cf. also Cheb. \Imjelq̇u,\i Shar. \Imjolq̇o,\i Khild. \Imjolq̇ŭ\i etc. 6th class in Chech., 4th class in Ing. The shift -lq̇- > -lʕ- in Ing. points to an original cluster: \I*mʕēlq̇u\i > \I*mēlʕu\i > \Imelʕa.\i
192|*ʔārc̣iw|658|eagle|ärzū|ärzi|arc̣iw|    Cf. also Lev. \Iārzu,\i It. \Iērʒa.\i 4th class in Chech., Ing., 3d class in Bacb.
193|*-law|35|a suffix denoting profession|-lo|-lo|-law|    Cf. derivates like Chech. \Iṭema-lō\i 'warrior', \Ibelꭓa-lō\i 'worker' (Ing. \Ibolꭓ-lo\i), Bacb. \Iḳomsomol-low\i 'member of Komsomol' etc. The morpheme originally meant simply "man" (cf. the analogous use of -vi in Lezg., -ž̌i in Tab. < \I*ćʷĳo\i "man" etc.).
194|*ħēꭓ|679|lime-tree, linden|ħeꭓ|ħeꭓ||    Obl. base \I*ħēꭓa-,\i cf. Chech. \Iħēꭓa-,\i Ing. \Iħeꭓo\i (but also \I*ħēꭓu-,\i which is reflected in Chech. \Iħȫꭓa-n\i 'made of lime-tree'). 3d class in Chech., 4th class in Ing.
195|*l-āl- (~-λ-)|168|to melt (intr.)|lāl-|lal-||    The l- is an historical preverb.
196|*ʔas-ar|292|inspiration|asar|||    Isolated within Nakh, but with reliable external parallels.
197|*ʁunṭV- (~-o-,-d-)|689|bug|ʁundalʁi|||    The word is homonymous with \Iʁundalʁi\i 'black elder' (Ing. \Iʁuldam\i), but this is probably fortuitous, since it has probable external parallels (or else a development "bug" > "black elder" had taken place - since black elder berries look like small insects?).
198|*juq̇|691|waist; middle|juq̇|juq̇|juq̇|    Obl. base \I*juq̇a-\i (cf. Chech. \Ijuq̇a-,\i Ing. \Ijuq̇o;\i in Bacb. there is a separate noun \Ijuq̇a\i 'middle, center', differentiated from \Ijuq̇\i 'waist'). 4th class in all languages.
199|*ʔaq̇Vr-|692|on one's back|arq̇a-l|arq̇a-l|aq̇rĕ|    A locative form from an archaic noun.
200|*m-arc-|694|to singe|marc-|marc-|marc-|    For vowel length cf. Chech. \Imerc-ira,\i Ing. \Imerc-ad\i etc.; cf. also Bacb. dur. \Imerc-ar\i ( < \I*mērc-\i with long vowel Ablaut grade).
201|*sa|700|soul|sa|sa|sa|    Obl. base \I*si-\i (Chech. \Isi-na-,\i Ing. \Isi-no,\i Bacb. pl. \Isĳ-š\i). 3d class in all languages.
202|*=ētt-|702|to milk|=ētt-|=ett-|=ett-|    Cf. also a derivate preserved in Bacb. and very archaic: \Ib-ettar\i (pl. \Id-ettri\i) 'a milch cow, sheep'. This root also influenced (semantically) PN \I*jētt\i 'cow' (q.v.) - which originally meant 'bull, ox'.
203|*laḳ|703|fruit stone|lag|||    Obl. base \I*laḳi-,\i cf. Chech. \Ilega-.\i Cf. also Lev. \Ilag,\i Cheb. \Ilaḳ.\i
204|*lar|229|track, footprint|lar|ler||    4th class in both languages. The root has a variation in the obl. stem: \I*laru-\i (Chech. \Ilora-\i) \I/*lari-\i (Ing. \Ilero,\i whence with vowel levelling the direct base \Iler\i).
205|*c̣ani(-n)|299|clean, pure|c̣ena|c̣ena|c̣ajn|
206|*pħō|719|sleeve|pħo-š|pħo-š|pħo|    Chech. and Ing. reflect a suffixed form \I*pħō-š\i (obl. base \I*pħōši-,\i cf. Chech. \Ipħǖša-\i); 3d class in Chech. and Ing., 6th class in Bacb. The Ablaut variant \I*pħā-\i is reflected in the compound \I*pħā-ʁat\i 'distance between stretched hands' (Chech. \Ipħā-ʁat,\i Ing. \Ipħa-ʁat\i), where \I*ʁat\i goes back to PEC \X<1>*q̲ĕmtV\x\i q.v.
207|*=is-|89|stay|=is-|=is-|=is-|
208|*ħun|282|forest|ħun|ħu|ħũ|    Obl. base \I*ħune-\i (cf. Chech. \Iħüna-,\i Ing. \Iħuno\i). 4th class in all languages.
209|*duq̇|737|mountain ridge|duq̇|||    Obl. base \Iduq̇a-.\i A homonym with \Iduq̇\i 'yoke' q.v., but most probably should be separated from it historically.
210|*bēr(λ)|738|ravine, gorge, hollow|bȫra|ber||   The PN paradigm should be probably reconstructed as \I*bēr(λ\i), \I*bēr(λ)u-\i; the Chech. direct base goes back to oblique. 6th class in Chech.
211|*čVꭓ-ar|748|rubble, quarry-stone|čꭓar|čꭓar||    The combination čꭓ- in Chech. and Ing. can only be explained as a result of vowel elision; unfortunately there is no Bacb. parallel, so the vowel quality is impossible to establish.
212|*marš (~-ā-)|751|hose; sausage|marš|||    Attested only in Chech., but having reliable external parallels.
213|*=it-|762|to leave|=it-|=it-|=it-|
214|*ħeṭṭ (~-ē-)|765|avalanche|ħätt||ħeṭṭ|    The Bacb. word is quoted from Мациев 1932 where it is spelled \Iħeṭ,\i pl. \Iħaṭṭ-iš.\i 4th class in both languages.
215|*=ōtt-/*=ētt-|767|to pour|=ott-|=ott-|=ott-|    \I*=ōtt-\i is terminative, \I*=ētt-\i - durative; in Bacb. there exists also a stem \I=att-\i ( < \I*=ātt-\i) 'to be poured (out)'.
216|*ʁānV|346|elm-tree||ʁän||    PN length can be established by the Ing. -ä- (which in this position can only go back to *ā).
217|*q-āč-|770|to arrive|qāč-|qač-|qač-|    q- is an old preverb.
218|*qin|115|1 wife of brother-in-law 2 daughter-in-law|qin 1|qɨ 2||    Obl. base \I*qina-\i (Chech. \Iqina-,\i Ing. \Iqɨno-\i).
219|*ʔibčV (~ɦ-)|463|1 corridor, gallery 2 veranda|ūčē 1|ujče 2||    Chech. -ē, Ing. -e is a suffix.
220|*kā|673|1 ram 2 male (of animals)|ka 1|ka 1|komõ 2|    Obl. base \I*kōme-\i (cf. Chech. \Ikȫma-,\i Ing. \Ikomo\i); the Bacb. adjective reflects directly this oblique base.
221|*ʡāꭓV-r|799|lamb|ʕāꭓar|ʕäꭓar|ʕaꭓr-ob|    PN -r is probably a former plural suffix (cf. the second plural affix added in the Bacb. form). 6th class in all languages.
222|*qāqu|800|ram (from 2 up to 3 years old)|qōqa|||    In Chech. cf. also the derivate \Iqēqorg\i 'lamb which has lost his mother'. The root is attested only in Chech., but has good EC parallels.
223|*ꭓabꭓV-r|802|a little lamb|ꭓowꭓar|ꭓowꭓar||    *-r is a former plural suffix.
224|*ta-bu|805|ram (1 year old or more)|tō|tɔ|tawbŭ|    -bu in PN is probably a former plural suffix.
225|*baq̇e|806|foal|beq̇a|baq̇|baq̇ŏ|    Cf. also Cheb. \Ibaq̇i,\i Shar., Ved. \Ibeq̇i\i etc. Obl. base with variations: \I*baq̇u-\i (Chech. \Iboq̇a-\i) / \I*baq̇i-\i (Ing. \Ibeq̇o\i). Nakh > Osset. \Ibäx\i 'horse' (see Abayev 1958, 255-256).
226|*boħ|807|kid|büħig|bʕĳg|boħ|    Chech. and Ing. reflect a diminutive form \I*boħ-iḳ\i (Ing. \Ibʕĳg\i is a contraction < \I*biħiḳ\i < \I*boħiḳ\i). Cf. also Shar. \Ibiħig,\i Khild., Itumk. \Ibʕĳg\i etc.
227|*bɦoḳ́|809|he-goat|bož|bož, boǯ|bʕoḳ|    Cf. also Shar., Khild. \Ibwog,\i Lev. \Ibwož.\i The old obl. stem must have been \I*bɦaḳ́i-\i (cf. Ing. \Ibežo\i); Chech. \Iboža-\i is a more recent analogical building.
228|*čuꭓV|812|lamb|čuꭓa||čujꭓĭ|    Final vowel not quite clear: Chech. points to \I*čuꭓa,\i while Bacb. - to \I*čuꭓe.\i
229|*psiḳ|820|flea|saga-l|saga-l|psiḳ|    The Chech.-Ing. form goes back to the PN obl. stem \I*psaḳa-\i with a suffixed -l.
230|*qo(w)e ~ *qe(w)u|822|haricot|qȫ|qe||    \I*qo(w)e\i or \I*qe(w)u\i are possible reconstructions, correlating with external evidence; without the Bacb. reflex it is impossible to make the reconstruction more precise.
231|*dāli|824|god|dēla|däla|dal, dalĕ|
232|*c̣ēbV|825|1 idol, god 2 heathen deity 3 priest|c̣ū 2|c̣uw 3|c̣ĳb 1|    The final vowel is not quite clear; however, Bacb. -ĳ- can only go back to *-ē-, thus the Inlaut vowel is clear.
233|*ʔant|827|shortcoming, defect|ant|||    Isolated in Nakh., but having an Av. parallel.
234|*ꭓattV (~ -ṭṭ-)|829|dirt, mire|ꭓatt|ꭓotta||    Obl. base \I*ꭓattu-\i (Chech. \Iꭓotta-\i); it is most probable that the Ing. direct base here reflects the original oblique one.
235|*ṭʡarš|830|slush, mire|ṭq̇arš|ṭarš||    There's not enough information to establish the PN vowel length in this root.
236|*b(ɦ)arš|831|1 watery clay mortar with sand 2 slush, puddle|borša-m|barš||    Chech. has a suffixed form (with a frequent nominal suffix *-(u)m). Vowel length, unfortunately, can not be established.
237|*huma (~f-)|835|sore, abscess, boil|huma|||    Attested only in Chech., but having good external parallels.
238|*ḳāṭi|836|1 birth-mark, mole 2 spot|ḳēda 1|ḳäd 2||    Initial *ḳɦ- also possible.
239|*qarta|837|rash, measles|qarta|qarta||    Vowel length can not be established.
240|*čint|838|wart|čint|||    Isolated in Chech. (thus PN *čɦ- or *čʕ- are also possible), but with some external parallels.
