NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
324|*ʔǝ̆mkV|52|a k. of insect, worm||0|*ʔunka(~ʔinkʷa,-o,m)|840||0||0||0|*kamk|343||0||0|    An Aand-Lezg. isogloss. The PL form is reduplicated (because of the root's expressive nature).
325|*mHilaGwV / *GHwimalV (~ -ɫ-)|574|worm||0||0|*ʁʷimilV (~ *ʁ:ʷ-,r)|43||0|*milaq:Iʷ|141|*mulaqIʷ|344|mok|90|*χIˊamǝlǝ-|214|    An interesting trisyllabic root with metatheses (rather usual in this case). Not quite clear is the reason for devoicing in PWC (regularly *ʁˊI(ʷ) would be expected); otherwise the correspondences are regular, and the etymology seems quite plausible.
326|*š̲wĕʒV|1314|a k. of biting insect||0||0||0|suc̣|408||0|*š:ʷäc̣:|476||0||0|    A Lak.-Lezg. isogloss (in both subgroups the root tends to contaminate with the reflexes of PEC \I*cˊ̲wVṭV\i q.v., which makes the reconstruction not very secure).
327|*χwĕrcˊV|0|a k. of worm or insect||0||0|*χ:ʷVrš:- ( ~ *ʁʷ-)|509||0||0|*χʷärčVj|346||0||0|    A Tsez.-Lezgh. isogloss; within Tsezian attested only in one language, thus not very reliable. Problematic also is the retention of -r- in Bezht. (normally all resonants in clusters are dropped in PTs); this could suggest an old structure like \I*χwĕcˊVrV\i with later reduction.
328|*wĕršē|0|bull-calf, male|*borš|65|*bišʷa|593||0||0||0|*wV(r)š-|347||0||0|    Reconstructed for the PEC level. Since the root means 'male, man' in Nakh and Arch., it is natural to compare also the HU material: Ur. \Iwāšǝ\i 'men, people' (see Diakonoff-Starostin 1986, 20).     The labialisation in PA is secondary (Av. and all other languages clearly reflect *-š-), probably under the labialising influence of *w-. The word is ultimately of Indo-European (Indo-Iranian) origin, cf. IE \I*u̲ers-\i 'male, male animal' ( > Old Ind. \Ivṛṣa-\i 'bull' etc.), see Старостин 1988, 113.
329|*cˊ̲akwV-|378|white, yellow||0|*č:ak:u-|123||0||0||0|*č:ak:ʷarV-|348||0||0|    An And-Lezg. isogloss. As usual, in a root with two stops there occurred assimilations: in PA \I*cˊ̲akwV-\i > \I*č:akʷV-\i > \I*č:ak:ʷV-;\i in PL \I*cˊ̲akwV-\i > \I*č̲akʷV-\i > \I*č:ak:ʷV-.\i
330|*miḳwV|1301|small, young one||0|*miḳi / *moḳi|142|*m[i]ḳV-|116||0|*niḳV-|104|*miḳʷV- (~-e-)|349||0||0|    Reconstructed for the PEC level. There is some variation of m-/n- before a front vowel; otherwise the correspondences are regular.
331|*č̣wErHV (/*rHEč̣wV)|370|cold|*pšā|21||0|*=ɔč̣V A|129||0||0|*ruč̣(a)|350||0|*č̣ˊʷǝ (/*čˊʷǝ)|29|    A common NC adjectival and nominal stem. It is not quite clear whether r- in PL \I*ruč̣(a\i) ( = Gunz. \Irɔč̣u\i) should be treated as a former class prefix or as part of the root. The latter hypothesis seems preferable, because in Nakh languages the word has no class prefixes. See Abdokov 1983, 104 (Tsez. : WC).
332|*=ǝc̣̲ŏr-|382|to freeze, turn to ice|*c̣Vr-ḳāḳi|548|*c̣:VrV|149|*=oc̣V A (~-u-)|130||0||0|*ʔac̣Vr-|351||0|*c̣ǝ-|432|    The verbal (or adjectival) nature of the root is preserved only in PTS and Tsakh.; all other languages reflect the derived noun \I*c̣ŏrV.\i
333|*mēʁV̆|276|tail|*muʁ (~-ū-)|106|*miʁa (~-o)|16|*miχ(e) A|12|maʁ|79|*buq-mu[ʁ]|852||0||0||0|    Reconstructed for the PEC level. The u(ū) vowel in PN is probably due to progressive labialisation of the initial m-. On a possible trace in Lezgian (Udi) see under \I*wǝrqV\i "sheep's tail".
334|*=HēwχV(n)|50|to become warm, hot, catch fire|*=ʕābχ-V(n)|160|*=iχVn-|147|*=ɨχ:V- A|128||0|*=uχ:(Vn)-|500|*ʔeχVn- (~-l-)|354||0||0|    Reconstructed for the PEC level. "Lax" phonation (hence *-χ-) is suggested by PN, PA and PL reflexes; however, the PTs and Darg. forms point rather to *=Hēwχ̲V(n). Reasons for this variation are not quite clear.
335|*ǯăwV|419|kidney; gall|*ǯim|312|*žV(bV)|481|*žebu B|17||0||0||0||0|*žǝ|201|    The PN form has been transformed under influence of \I*stim\i 'gall' q.v. Otherwise the correspondences are regular.          For phonetic reasons, as well as because of another quite satisfactory etymology, one must give up the comparison of PWC \I*žǝ\i with Av. \Ic:in,\i PN \I*stim\i etc. 'gall', proposed by Trubetzkoy (1930, 278; see also Шагиров 1, 205).
336|*=ilqwV- (/*=ilχwV-)|319|to die (plur. subject), die out||0|*=iqʷ-|216|*=iχʷ-|163||0|*=ilχʷ-/*=ulχ-|42|*ʔilχʷe|356||0||0|    Reconstructed for the PEC level. As well as its transitive counterpart (\I*=ilq̲wV\i / \I*=ilχ̲wV\i 'to slaughter' q.v.), the root demonstrates a non-standard variation of *q/*χ (the latter is reflected in Darg. and PTs, the former - in PA; the PL form may reflect either variant).
337|*=HVwƛ̣̲Ān|0|to sleep|*nɦāṗ|92|*ƛ̣:in-|215|*=ɨ˜ƛ- / *ƛV-|183|maḳ|146|*muɣer|167|*näwƛ̣|357||0|*ƛ:ʷA|149|    The verbal stem as such is reflected only in Av.-And.-Tsezian and WC languages. In most EC languages much more widely spread is the nominal derivate \I*nhewƛ̣̲ŭ\i 'sleep' (a rather unique case of *n-prefix; perhaps it is actually *mhewƛ̣̲ŭ with early dissimilation?), with either long or short first vowel (long *ē is reflected in PN, short *e - in other languages). Note a unique reflex *-wƛ̣- > *-ṗ- in PN, and the irregular development of *ƛ̣ in a tense word > *ƛ̣ in PL. The latter phenomenon is explained obviously by the influence of another NC root, \I*ɦemƛ̣V\i 'dream' q.v.     See Trubetzkoy 1922, 241.
338|*kɨ̆wrV|575|hair|*kur|147|*karHV (~ -o-)|37|*ke˜ B|29||0|*kur|302||0||0||0|    Reconstructed for the PEC level. The combination with -w- is reconstructed to account for the labialised vowel in PN and PD; it also explains a specific behaviour of -r- (as if it were in a cluster with a laryngeal).         Abdokov (1983, 75) tries to connect the root with PAK \I*sakʷǝ\i 'mane'  (q.v.), which is hardly justified.
339|*kwĕnVdV̆ (~-ǝ̆-)|0|bush, crown of a tree|*kondV-r (~-a-)|341||0|*kɔdV A|30||0||0||0||0|*kʷanǝda (~*kˊʷ-)|285|    The root is not widely spread, but both phonetic and semantic correspondences are quite plausible. See Abdokov 1983, 105.
340|*čŭrɦV (~-ʔ-)|0|hair, plait, mane|*čo|47||0|*čo A|31|čuru|315|*čuri|304||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
341|*ʒˊăɫhɨ̄ (~-ō)|1024|mane; nap, pile||0|*žali (~ -o-)|532|*ž:a˜|32|zulū|322||0||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
342||0|||0||0|*mihnV|37||0||0||0||0||0|
343|*wHōrƛwVɫV (~ *b-)|85|snake|*bʕēχul-|148|*birka (*bilka)|46|*bekV(lV) A|40|baIrčalu|399||0||0||0||0|    Reconstructed for the PEC level; one of the original trisyllabic roots. In PN we would rather expect \I*bʡōχVl-;\i the irregularity may be explained by a secondary contamination in Chech. with another root (\Ibȫχa\i 'dirty', \Ibȫχalla\i 'dirt'). Otherwise the correspondences are regular. Cf. also Hurr. fali 'worm' (read /fālǝ/ < HU *wāl-), see Diakonoff-Starostin 1986, 50.     Abdokov (1983, 119)  compares the root with PAK \I*markʷaˊ\i 'helminth', which is hardly possible  phonetically.
344|*bV̄s̲wA|0|fish||0||0|*bɨs:ʷǝ A|41||0||0||0||0|*p:ǝšA|51|    Correspondences are regular (although there is not enough evidence for vocalic reconstruction); the reconstruction seems reliable despite the fact that the root is not widely spread in EC. See Shagirov 1, 82, Abdokov 1983,  113-114.
345|*Hă(r)ǯwī (~ -ē)|1209|a k. of tree||0|*ʔažʷV-lV (~ -o-)|313|*ʔažʷǝ (~ħ-,-ž:ʷ-)|46||0||0||0||0|*č:ˊʷǝ|179|    Originally it was probably a name of some coniferous tree, cf. also Hurr. \Iažu(-ɣǝ)\i 'fir-tree' ( > Akkad. \Iašūχu,\i see Diakonoff-Starostin 1986, 41); the meaning 'birch-tree' in some And. languagesis secondary. The medial resonant is not reflected directly, but it must be postulated to explain spirantisation in PTs.
346|*ʁwōnV|0|tree|*ʁānV|216||0|*ʁ:ʷǝn|47||0||0||0||0|*ʁʷǝnǝ|180|    The comparison seems plausible both phonetically and semantically (although the root is not very widely represented). See Abdokov 1983, 106 (Tsez. : Ub.;  other EC forms cited by Abdokov, do not belong here).
347|*q̲ĕleqĭ|432|a k. of tree or bush|*ʁarʁa (~ -ā-)|446|*q:VrVq:V|696|*χ:o˜χ:ǝ (~ʁ)|48|χ:alaχ:i|417||0||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
348|*q̇wăɫV|1104|bark, crust||0|*q̇ʷVli|703|*q̇ʷel A|50||0||0||0||0||0|    An And.-Tsez. isogloss. We could perhaps relate here the isolated (within Lezghian) Agul (Burk.) \Iq̇ʷali\i 'bush', but the semantic difference is still to be explained.
349||0|||0||0|*ƛ̣eq̇a|51||0||0||0||0||0|
350||0|||0||0|*rič̣V ?|52||0||0||0||0||0|
351|*lĕḳwV|0|(dried) stalk, fuel||0||0|*rɔḳV|53|laḳi-ja|420||0|*leḳʷV-n|775||0||0|    Phonetically the correspondence between PC \I*rɔḳV,\i Lak. \Ilaḳija\i and Tsakh. \Iluḳon\i is exact; semantically these words can be united, if we assume the original meaning 'stalk' ( > 'dried stalk and other materials used as fuel' (birch bark is very good for firing).
352|*G̲ŏŁV|0|skin, wineskin; sheath||0||0|*qɔƛu|54||0||0|*q:aƛ:|376||0||0|    A Tsez-Lezg. isogloss; in PL we would rather expect *q̇:-, but this is probably an assimilative loss of glottalisation (\I*q:aƛ:\i < \I*q̇:aƛ:\i).
353|*GĕlcˊwV|0|skin||0|*ʁʷiča (~*ʁičʷa)|61|*χɔ˜š:e B|55|q:aču|308||0||0||0||0|    Reconstructed for the PEC level (this root should be distinguished from \I*q̲Hǟcˊwa\i q.v.). Correspondences are regular (medial -l- reconstructed to account for PTs nasalisation).
354|*kVrkV|0|bread, cake||0|*karaki|877|*kikV|669||0||0|*ku(r)ka (~kV(r)kʷa)|947||0||0|    The root is obviously expressive (like most words for "bread" in NC languages) and attested only in three languages, thus the reconstruction is somewhat uncertain (cf. also PNC \I*ḳu[r]ḳV\i).
355||0|||0||0|*ḳVmVč̣|61||0||0||0||0||0|
356|*c̣̲wĕnhV ( ~ *c̣̲ĕmhV)|576|salt|*tuχe|133|*c̣:onʔi|76|*cɔ˜|64|c̣ʷu|98|*c:e|136||0||0|*c̣ˊǝ|435|    The original form is probably \I*c̣̲ĕmhV\i (the WC form shows no trace of labialisation), but most EC languages reflect a form with shifted labialisation. The PN form \I*tuχe\i is interesting: it may be related here only if we assume the suffixed nature of *-χe (which is semantically not clear); but in any case the development \I*tuχe\i < \I*cwVn-χV\i within PN is proved by an early Ossetian loan: \Icäχχ\i / \Icänχä\i 'salt'.         The EC forms had been compared by several authors with PWC \I*ǯˊǝ\i (\I/*čˊǝ\i)  'salt' (see Meˊszaˊros 1934, 287, Klimov 1969, 292, Abdokov 1983, 104); this  is, however, not plausible for phonetic reasons, and the comparison with PWC  \I*c̣ˊǝ\i 'salty' seems preferable.
357|*ʒ̲whărī / *ʒ̲wăhrī (~ -ē)|1235|star|*ṭɦari (~-ā-,-ē-,-e)|100|*c̣:ʷarhi|86|*cʷa˜|70|c̣u-ku|76|*zuri|108||0||0|*c̣ʷa (/*cʷa)|157|    One of the most widely spread common NC roots. Despite some variation of the place of the laryngeal, correspondences are basically regular.         See Trubetzkoy 1930, 275, Abdokov 1983, 103.
358|*č̣HādwV|1093|earth, clay||0|*č̣adV ( ~ -o-)|1064|*č̣üdV|71||0|*č̣aIt(:)|623||0||0||0|   Reconstructed for the PEC level.
359|*kwōṗɨ ( ~ -u)|0|sand, dirt, dust||0||0|*kebu A|74||0|*kub|685|*kuṗ|240||0||0|    Reconstructed for the PEC level. Correspondences are regular.
360|*GwērV|577|stone|*qēra|102||0|*ʁ:ur (~ʁ-,-o-,-l)|75||0||0||0||0||0|    A Nakh-Tsez. isogloss.
361|*GwămV (~-ǟ-)|0|big stone||0|*ʁʷVmV|860|*χemu A|76||0|*ʁuma ( ~ *ʁʷama)|505||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
362|*ƛ̣ăɫŭ|1184|stone||0|*ƛ̣alV|838|*ƛ̣ɔlu|77||0||0|*ƛ̣Vl- ( ~ ḳ-)|910||0||0|    Reconstructed for the PEC level. Although not widely represented, the etymology seems secure enough.
363||0|||0||0|*guṭ(V)|84||0||0||0||0||0|
364|*jǝmg̲e ( ~ -i)|972|ashes|*jobq̇|3|*ƛ̣:iʔi|106|*jɔ˜ƛu A|86||0||0||0||0|*jaɣˊa|4|    PN *-q̇ in this case reflects a secondarily labialised *-Ł̲w- < *-g̲w- (the original velar nature of the root stop is suggested by the WC reflex), where labialisation was induced by medial *-m-. PA \I*ƛ̣:iʔi\i ( = \I*ƛ̣:iji\i) is obviously a metathesis < \I*jiƛ̣:i.\i With the exception of these secondary processes (quite common in NC languages), correspondences are regular, and the etymology seems quite plausible. See Abdokov 1983, 93.
365|*tĕmtV|0|dirt, dust||0|*toto|868|*tɔtu (*tɨtV-)|87|tanta|530||0||0||0||0|    Reconstructed for the PEC level. Lack of nasalisation in PTs and PA, corresponding to a nasal -n- in Lak., points to PEC *-m-.
366||0|||0||0|*č̣ič̣a ?|88||0||0||0||0||0|
367|*ƛ[a]rc̣ˊ̲V ( ~ -ʒˊ̲-)|1041|movement of air||0|*ƛorč̣:u|869|*λ:acV|89||0||0||0||0||0|    An Aand-Tsez. isogloss. The semantic correlation 'wind' <> 'voice, shout' recurs in several cases and is explained by the common semantic component 'movement of air'.
368||0|||0||0|*z:aƛV|90||0||0||0||0||0|
369|*Hƛ̣wĭnV̄|1043|winter; year|*ʔaχḳV|562|*ƛ̣:inV|1085|*ƛɨ|91|ḳʷi|672|*ɣa(ni)|638||0|ḳina-ž|238|*ƛ̣ˊʷǝ|534|    Correspondences are regular, and the etymology seems quite reliable. The original meaning is certainly 'winter'; the meaning 'summer' in PN comes from the intermediate stage 'year' (cf. the meanings in Tsezian languages).         See Trubetzkoy 1922,241 (for EC). Abdokov (1983, 91) proposes a different  comparison for EC: PWC \I*bžˊV\i 'winter, autumn', which seems impossible for  phonetic reasons.
370|*HĭrḳwĔ|1107|man, person|*sṭ-aḳ|101|*hiḳʷa|116|*hiḳʷǝ A/ *riḳʷǝ A|94|-arḳ|533||0||0||0|*ḳˊʷa|441|    This root (originally meaning 'person, man') is seldom used independently (only in PA and some Tsezian languages). In EC languages it is most frequently used in a compound with \I*cˊwijo\i 'man' ('man-person'); in PWC it became a morpheme of Nomina Agentis ("person doing smth."). The etymology seems phonetically and semantically quite plausible.
371|*ɦrVḳ̲wV̄|0|woman, female||0|*horḳ:ʷa-|118|*ʔaqV|97|-riḳ|344||0||0||0||0|    The root is best of all represented in the Av.-And.-Tsez. area, with a relic reflex also in Lak (we would have expected Lak. \I*t:VrVḳ,\i but the prothetic t:- probably did not appear in the word-medial position - since the root is present in Lak. only in a compound word). The etymology is certainly sound, although the vowels are hard to reconstruct.
372||0|||0||0|*ħal(u)-|98||0||0||0||0||0|
373||0|||0||0|*haḳV- ?|100||0||0||0||0||0|
374|*Hmič̣̲wV̄|0|green, unripe|*nošV / *mošV (~-ō-)|566|*=irc̣:Vn-|875|*ʔi˜čV- / *ničV-|101||0||0||0||0||0|    Reconstructed for the PEC level. The Andian form can be explained as a metathesis \I*=irc̣:Vn-\i < \I*-inc̣:-Vr-\i (where \I-inc̣:-\i = PTs \I*ʔi˜č-\i).
375|*wɨ̄nƛ̣̲V|0|oat flour, malt||0|*miƛ̣:a ( ~ -o)|879|*bɔƛ̣V (~-a-,-V˜-)|670|-ḳma|537||0|*wɨnƛ̣ / *wɨnƛ̣ɨj|949||0||0|    Reconstructed for the PEC level. The root is not widely represented outside the Lezg. area, but is certainly archaic.
376||0|||0||0|*c̣udV-|104||0||0||0||0||0|
377||0|||0||0|*kaba|106||0||0||0||0||0|
378|*c̣ˊVndV ( ~ -m-)|579|black, dark||0|*č̣andi ( ~ -o-)|740|*c̣ǝdV-lu|107||0|*c̣ut:ar-|13||0||0||0|    Reconstructed for the PEC level. Although the vocalism is hard to reconstruct (probably because of old Ablaut),  other correspondences are regular and the etymology seems satisfactory.
379|*gwērV|580|circle, round, to roll|*gorV-mV (~-u-,-V̄-)|567|*gʷirV ( ~ gu-)|876|*gVr-|108|k:ur|535|*gʷer ( ~ *k:ʷ-)|514||0||0|*k:ˊʷǝrǝ (~ k:)|443|    An expressive (and rather universal) root; but there is no doubt in its PNC antiquity. Reduplicated forms like Lak. \Ik:urk:ur\i or PAA \I*gʷǝrǝgʷǝrǝ\i may provide a link between this stem and the reduplicated \I*gīrgwV\i q.v. See Абдоков 1983, 146.
380|*=V̄lcˊV|1171|short, narrow|*=ācu-n|134|*=ičo- / *=očo-|137|*=V˜š:V|111||0||0||0||0||0|    Reconstructed for the PEC level. The vocalism is hard to reconstruct (because of variation within PC and PA); otherwise correspondences are regular. Medial *-l- must be reconstructed to account for the PTs nasalisation (but *-n- or *-m- would have given other reflexes).
381|*=iršV ( ~ -ä-)|0|big, large, thick||0|*=išV-|140|*=iIžV (~-ž:-) B|112||0|*=uršu-|675||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
382|*Hnäq̇wV̄|0|big; old|*q̇āni-|911|*hinḳa- (~-o)|138|*=[u]q̇V|113||0||0|*naq̇ʷV- (~-ä-)|256||0|*q:ʷV (~q̇ʷ-)|717|   See Абдоков 1983, 162 (with some confusion of this root and \I*=ǝ̆q̇wVn\i q.v.).
383|*=HimGwV|311|small||0||0|*=iʁ(:)V|114||0|*=ibʁIan-|670|*muq:IV- (*miq:IʷV-)|1181||0||0|    Reconstructed for the PEC level. Not very widely spread, but the comparison seems phonetically and semantically reliable.
384|*HāgwV|581|small; bad||0||0|*=igʷV (~-ɨ-,-ǝ-)|115|uIk:ʷi-|148||0|*k:ak:ʷV-lV-|1182||0|*(a)gʷǝ|152|    The PL form is probably an assimilated compound of \I*kʷil\i 'hand' + \I*-ak:ʷV-\i 'small, bad' (cf. an analogous compound in Laki).         [There seems to exist a different EC root, which may be tentatively reconstructed as \I*k̲HwaGV\i with the same semantic scope: cf. PTs \I*gʷVqV-\i / \I*qʷVqV-\i > Gin. \Igaqi\i 'bad', Gunz. \Iqoq-dās\i 'left', Arch. \IqIok:u,\i \IqIok-du-\i id., perhaps also Lak. \Ikuja\i ( < \I*kuq̇Ia\i) id., which could be early borrowed in Av. \Ikʷeʕa-\i 'left'. The relationship of \I*k̲HwaGV\i to \I*HāgwV\i is not quite clear. It may well be that we deal with one and the same root or its compound with \I*kwi(l\i)- 'hand', subject to various irregular changes because of dissimilations and taboos.]
385|*=āhV|631|small, little|*=awi-n ( ~ -ā-)|886|*daha- ( ~ o)|141|*=ihV|118||0||0||0||0||0|    Reconstructed for the PEC level. In Av.-And. d- is a historical prefix. Cf. also Hurr. \Iχai-annǝ\i 'little' (see Diakonoff-Starostin 1986, 62).
386|*q̇wVHmV|0|roasted grain||0|*q̇ʷam(H)a (~q̇,ʔ-,o)|888||0||0|*q̇Iʷa|521||0||0||0|    An And-Darg. isogloss. The reconstruction is rather insecure, because within Andian the root is present only in Cham.
387||0|||0||0|*dada-|120||0||0||0||0||0|
388||0|||0||0|*zɨzV- ?|122||0||0||0||0||0|
389||0|||0||0|*-ɨṭV ?|124||0||0||0||0||0|
390|*ʔĕmtŭ (~ -n-)|0|soft; liquid, wet||0|*tantV- ( ~ -o-)|887|*to˜tV- A|127|ati-l-|543||0||0||0|*tʷa|726|   Several languages reflect also the reduplicated form \I*tĕmtV.\i
391|*χɨ̄nḳ̲ī|582|dumpling (khinkal)||0|*χ:inḳV|889|*χ:ɔ( ˜)ḳa /*χ:a( ˜)ḳɔ|119|hawk:u-ri|542||0|*χɨnḳ|961||0||0|    Reconstructed for the PEC level. In PA we should expect \I*χ:inḳ:V\i with a tense -ḳ:-, but there occurred a usual dissimilation in tenseness.
392|*mHädwV|0|a k. of beverage, liquor||0|*midV|890||0|maId|544||0|*mäIt:|962||0||0|    Reconstructed for the PEC level. The word is ultimately of Indo-Iranian origin (cf. Old Ind. \Imadhu-\i etc.); however, it must have penetrated into East Caucasian rather early - late Iranian forms (like Osset. \Imyd\i) can not be accepted as the source of borrowing.
393||0|||0||0|*ʔaš- ?|142||0||0||0||0||0|
394||0|||0||0|*teli|144||0||0||0||0||0|
395|*=inḳ̲wV (~ -ä-,-q̲̇-)|0|far||0|*-inḳ:V-|166|*miqV|145||0||0||0||0||0|    An Aand-Tsez. isogloss. PTsKh < \I*b-i˜qV\i (where b- is a former class prefix).
396|*ɦĭgVrV|583|near|*garge|132|*HVgVr-|317|*ʔǝgV (~-ɨ-)|147|l-ag-ma|767||0||0||0|*gʷa (~*gˊʷ-,*k:ʷ-)|88|    The PN form is reduplicated. PTs \I*ʔǝgV-\i reflects \I*ʔVrgV\i < \I*ɦĭgVrV-\i with a typical adjectival reduction and metathesis of -r-. The second vowel is unclear (labialisation in PWC may reflect a labialised vowel or a former class affix).
397||0|||0||0|*[h]i˜č-|148||0||0||0||0||0|
398||0|||0||0|*gul- ?|149||0||0||0||0||0|
399||0|||0||0|*ʔɨ˜q- ?|151||0||0||0||0||0|
400|*gwĭrdwV ( ~ -ɨ̆-)|985|a k. of clothes|*kati-r / -b|578|*gʷirdV|892|*gʷid|241|k:urt:u|546|*k:urt:i|522|*gurd|964||0||0|    Reconstructed for the PEC level; the common meaning can be formulated as "some clothes for the upper part of body". A cultural root; similar forms can be found in many languages, and PEC may have borrowed it from some neighbours. Cf. Indoeuropean forms: in Slavic - Russ. \Iкуpт(к)a\i, Ukr. \Iкуpт(к)a\i, Pol. \Ikurt(k)a\i (despite Vasmer 2, 429-430 etc., it is hardly borrowed from Lat. \Icurtus\i 'short'); in Indo-Iranian - Osset. \Ikʷǝrät\i / \Ikurät\i 'shirt, jacket', Sogd. \Iqwrty\i 'shirt', Avest. \Ikǝrǝti-\i 'a k. of clothes', Old Ind. (late) \Ikuratu-\i 'shirt' etc. (see Abayev 1, 609); in Kartvelian - Georg. \Iḳwarti\i 'shirt', Megr., Chan. \Iḳurta\i 'drawers, pants'; in Turkic - Turk. \Ikürtä\i 'short dress' etc. (Radlov 2 1265, 1461). A direct Iranian source should be suggested for Arm. \Igrat\i 'war cloak', whence Ud. \Igurat:\i 'shirt'.
401|*=iχ̲wV ( ~ -q̲-)|0|to go, to come, to enter||0||0|*=uχ:ʷ- B|161|=u=χ:a-|548||0|*ʔiχ(:)e ( ~ -ɨ)|966|=χi|200||0|    Reconstructed for the PEC level. In the Lezg.-Khin. area the root is used only as a part of suppletive paradigms of other motion verbs.
402||0||*maλ-|26||0||0||0||0||0||0||0|
403||0|||0||0|*ga- ?|165||0||0||0||0||0|
404|*=ǟtwV|585|to beat, to hit|*ʔāt-|163|*=itʷ-|192|*=etʷ- A|169|=u=ta-|551|*=it-|526|*ʔätʷa- / *ʔatʷa-|400|it-|202||0|    Reconstructed for the PEC level. The root is preserved in most languages, but sometimes with a modified meaning (notably in Aand-Tsez.: 'to throw (oneself upon) > to fly'). Cf. also Urart. \Iat-\i 'to destroy' (see Diakonoff-Starostin 1986, 24).
405|*=ărḳĔw|586|to drive, urge; (be driven=) to go|*=iḳ-|580|*ḳVb-|895|*=eḳ- A|170||0|*=irḳ-|527|*ʔa(r)ḳɨ|970||0|*ḳˊʷa|31|    Cf. also HU: Hurr., Urart. \Iag-\i 'to lead, to bring; to lead away' (see Diakonoff-Starostin 1986, 57).     Correspondences are regular, and the etymology seems quite satisfactory. The PN, PD (and probably PA) forms reflect the Ablaut grade *-ĭ-. See Абдоков 1983, 176.
406||0|||0||0|*tuqʷ- B|172||0||0||0||0||0|
407||0|||0||0|*nɨd- ?|173||0||0||0||0||0|
408|*=ĭq̇Ē|1056|to know; to hear|*χ-aʔ-|57|*=iq̇-|221|*=iq̇-|174|=aja-|37|*=aq̇- / =iq̇-|55||0||0|*q:ˊIʷA|72|    A common NC verb; correspondences are regular. Labialisation in PWC (as in a number of other verbal stems) probably reflects an original class prefix. See Абдоков 1983, 179.
409|*=[ī]mcŪ|22|to speak, to tell, to talk|*=ēbc-|165|*=ocVn-|204|*=i˜s:- / *=ɨ˜s:- A|176||0||0||0||0|*c:ʷa|450|    A common NC verb with good correspondences (except for the first vowel, which is somewhat unclear, probably because of Ablaut correlations).
410||0|||0||0|*kic- ?|182||0||0||0||0||0|
411|*=VṭwV|0|to lie, to sleep|*=aṭ- ( ~ -ā-)|891||0|*=iṭʷ-|184||0||0||0||0||0|    A Nakh-Tsez. isogloss.
412|*=Vmƛ̣V|657|to go, to come||0|*=Vƛ̣Vn-|185|*=[e˜]ƛ̣-|186|=u=č̣a-|16|*=aḳ-|26||0||0||0|    Reconstructed for the PEC level. Both Lak. and Darg. forms can theoretically be derived also from PNC \I*-ărḳĔw\i 'to go; to drive' (q.v.), because of the merger of *ƛ̣ and *ḳ in these languages.
413|*ḳǝ̄mṭV|0|soft|*ḳāṭi-n|585||0|*ḳoṭV|191||0|*ḳanṭi-|532||0||0||0|    Basically a PN-Darg. isogloss. The isolated Gunz. \Iḳoṭu\i 'good' is phonetically satisfactory, but raises semantic problems.
414||0||*-arr-iḳ|1||0||0||0||0||0||0||0|
415|*ƛ̲wājc̣ā (~ -ǝ̄)|0|skin, bark|*kābst (~-ṭ)|4|*xʷVc̣:V|908||0||0|*kabc:|533||0||0||0|   Reconstructed for the PEC level.
416|*čĂrHV (~-l-)|1064|stomach, abomasum|*čVwV|5|*rVčV-l|489||0||0||0||0||0|*ča|211|   The comparison seems quite plausible both phonetically and semantically; however, since the root is known only in a few EC languages, (PN and And. with metathesis), the reconstruction remains somewhat uncertain.
417|*rīhV|587|time, day|*dē|910|*rVHV|1444||0||0||0||0||0||0|    A Nakh-Avar isogloss (the comparison was suggested by Dumeˊzil 1933, 15).  The author also compared Lak. \IdaIχt:a\i 'in the day-time', which is hardly  acceptable for phonetic reasons.
418|*=HŭqVn ( ~ -ŏ-)|89|long, big|*=aqqu-n|7||0||0|qun-|5|*=uqIVn-|70||0||0||0|    Reconstructed for the PEC level. Gemination in PN is expressive.
419||0||*ʔālχVʒur|8||0||0||0||0||0||0||0|
420|*c̣ˊāŁwV|363|blood; life|*c̣ēgi|13|*č̣agV-|909||0||0||0|*č̣Vƛ:ʷV-|980||0||0|    Reconstructed for the PEC level. Although the root is not widely spread outside Nakh, it is no doubt archaic: cf. Hurr. \Izur-gi\i 'blood' (see Diakonoff-Starostin 1986, 44).
421|*ṭwǝ̄rʔi|588|nipple; pimple|*ṭāra|16||0|*co˜/B/-ṭɔ˜/A/|154||0|*ṭe ( < *ṭaʔi)|257|*ṭur|359|ṭä|114||0|    Reconstructed for the PEC level. Correspondences are fully regular.
422|*=īḳwV|0|to burn, set on fire|*=āḳ-|17|*-iḳʷVn- / *ḳʷVn-|912|*=eḳʷ- B|160|ḳi=a-|556|*=iḳʷ-|534|*ʔiḳʷa-|355||0||0|    Reconstructed for the PEC level. Nasal conjugation in Av.-And. is probably secondary (although one should, perhaps, note some traces of it also in Lezghian).
