NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
230|*HVrč:in-|170|green|ʕurč:ína-b|ʕurčína-b|||||||||    Isolated in Av., but with possible external correspondences.
231|*ṭVnV- (*ṭVHʷV-n-)|241|small|hiṭína-b|ṭiħínč̣a-b|||ṭanna-b (Gig.)||||||    Cf. also PA \I*ṭunHV-\i 'bad', reflected in Cham. Gig. \Iṭuw\i 'bad', God. \Iṭũji\i 'very' ( < *'badly'), \Iṭũji-λi\i 'evil'. In PAnd.-Av. the form must have been \I*H(ʷ)VṭV-n-\i or \I*ṭVHʷV-n-\i (cf. the variants in Av. dialects).     Av. > Bezht. \Iiṭino\i 'small'.
232|*ʔiƛ:i|2288|we (incl.)|niƛ:|niƛ|iƛ:il|iƛ:i|iƛ:i|iƛ:a|iƛ:i|iƛ:i|iλ:i|iƛ:e|
233|*dV-|2304|that (demonstr. pronoun)|do-b||hu-du-, he-de-|hu-du-|u-da-|o-ja-|wu-du-|do-b||ho-do-,hu-do-|    In most Avaro-Andian languages the demonstrative stem \I*dV-\i is used for denoting objects situated on the same level with the speaker (usually - but not necessarily - far from him).
234|*ʁV-|2305|1 that 2 this, he|ʁo-b 1|ʁa, ʁa-b 2|||||||||    The Av. root has no parallels in Andian languages, but seems to have external parallels.
235|*=ax- (~ -o-)|579|1 to see 2 to look|=ix- 1|=ex- 1||||=ahĩ- 2|||||    Not clear is the -n-conjugation in Tind.
236|*haq̇(Vn)- (~ħ-)|580|to see|||haG-||hãʔ-|hã-|haʔã-|haʁ-|haʔã-|haʔ-|    The stem belongs to -n-conjugation in Cham., Tind., Kar. and Bagv., but to the normal -0-conjugation elsewhere. Since it has no separate etymology, it may ultimately be an Ablaut variant of the stem *-iq̇- 'to know, hear' q.v.
237|*-Vg-|86|see||||hari-gu-|||||||    An important Akhv. archaism (not preserved in other languages). The word is probably a compound of \Ihari-\i (see under \I*ʡwerV\i) 'look' + \I*-Vg-\i 'to see'.
238|*ṭimiṭara|592|butterfly||||ṭimiṭara (Ratl.)|||||||    An isolated Akhv. word, but with probable external parallels.
239|*c̣in- / *=ac̣Vn-(~o-)|160|1 to know 2 to look|||c̣in- 1||=ac̣n- 2||||||    The Cham. form reflects stem 1, the And. - stem 2.
240|*=iλʷ(Vn)- (~-ƛʷ-)|595|1 to understand 2 to know|λa- 2|ta- 2|||=uλVn- 1|=uλĩ- 1|||||    Avaro-Andian languages reveal (as in many other cases) a vacillation between -n- and -r-conjugations.
241|*λ:VḳV- ?|581|good|λ:iḳa-b||||||||||    An isolated Av. word with obscure etymology.
242|*-č̣i|2273|not (negative particle)|-č̣o||-č̣i||||-č̣e|-č̣-|-č̣e|-č̣i, -ič̣a|    One of PA negative particles. In Av. it is used in the past tense (and as a general negative in the compound \I-he-č̣o\i); in Andian it is rather rare, but it is the most common negative particle in Botl., God., Bagv. and Kar.
243|*=iλ-|596|1 to put|λe- 1|te- 1|=iλ- 1|=iλ- 1||=iλ- 1|=iλ- 1||=ih- 1||    Cf. also Bagv. Tlond. \I-ilh-.\i Av. reflects stem II \I(*λV-\i).
244|*š:VlV|31|silt, slime|š:aláj||||||||||    Paradigm B (gen. \Iš:aláj-dul\i). The word is also attested in God. (\Iš:ale\i), but here it is most probably a loanword from Avar.
245|*ʔi(r)či|207|1 anger 2 worry, anxiety|ačú 1||||eši 2||||||    Cf. also Cham. Gig. \Iiči.\i Data are not enough to determine whether the Inlaut resonant had been there or not.
246|*ħirc̣-|603|1 stand up 2 raise 3 high|||hirc̣i 3, hirc̣- 1|heč̣- 1,2, heč̣eda 3|hec̣u-b 3, hec̣- 2|hec̣u-b 3|herc̣o-b 3|hirc̣i 3|hec̣u-b 3|hic̣i 3|    Cf. also Cham. Gig. \Ihinz-\i 'to stand up', \Ihinzi\i 'high'. Tind. \Ihec:-\i 'to stand up (from a sitting position)' is modified from \I*hec̣-\i under the influence of \Iheč:-\i 'to stand up'.
247|*gʷi(r)žV~ *gi(r)žʷV|606|1 fang, canine tooth 2 molar 3 pestle|gožó 1||guži 2|goržo 1 (Tseg.)|gožu 3 (Gig.)|kožu|goža / gʷaža (Tok.)||||    Av. paradigm B (pl. \Igažá-l\i). An Av. loanword is And. \Igožo\i 'fang' (a doublet with \Iguži\i) and perhaps also Akhv. North. \Igožo,\i Kar. \Igožo.\i Since *g- is obviously the original Anlaut (cf. the external evidence), we must admit that in Tind. and Cham. (U.-Gakv.) \Ikoža\i there occurred a rather unusual dissimilation *g- > k-. Quite strange is Av. Chad. \Igánža\i (paradigm A: \Igánži-l,\i \Igánža-l\i) - a Darg. loanword?
248|*=iž-|611|to bake, roast|=ež-|=ež-|=ež-|=iž-|=ez-|=ež-|=ež-|=ež-|=ež-|=ež-|
249|*bVxʷVn|4|abomasum|maxá||||||||||    Isolated in Av., but with reliable external parallels.
250|*ligV|43|1 body organ; body, stature 2 shins, shanks|lagá 1||||gele (pl.t.) 2||||||    The Cham. form is metathesised. Av. paradigm B (\Ilogó-l,\i \Ilug-bí\i). The Av. word is borrowed in many languages: And., Cham., Tind., Inkh., Tsez., Gin. \Ilaga\i 'body'.
251|*=Vq̇:-|138|get cold, cool|||||=aq̇:-||||||    Isolated in Cham., but having probable external parallels.
252|*=uꭓ(Vn)-|621|get cold, freeze|=úh-ine||zar-ꭓu-|=uꭓ-uru-||zar-uꭓ-|||||    The And. and Tind. word has \Izar-\i 'ice' as the 1st component. Like in some other cases, there's a vacillation between -n and -r-conjugations.
253|*š:ʷV-|622|to come, reach|š:ʷe-|sʷe(l)-|||||||||    Isolated in Av., but having some probable external parallels.
254|*ʁʷisV|627|1 forelock 2 hair (on head)||||ʁoso 2|ʁusu (Gig.) 1||||||
255|*ʔurʁV-|630|think|urʁ-|||||urʁ-ĳi-|urʁ-|||urʁĩ-|    Andian forms may be loaned from Av.; certainly an Av. loanword is Cham. \Iurʁī-la\i 'think'. Av. \Iúrʁel\i 'thought, anxiety' > Lak. \Iurʁil\i id.
256|*=iq:ʷ-|633|to slaughter|q:ʷé-|qʷ(el)-|=iq:-|=iq:-ur-|=uq:-|=uq:-|=iq:ʷ-|=eq:-|=iq:-|=eq:-|    Cf. also Kar. Tok. \I=eq:ʷ-,\i Akhv. Tlan., Ratl. \I=uq:-\i etc.
257|*=iꭓʷ-/*ʔiꭓʷVn-(~qʷ)|60|1 to know 2 to be able 3 to be possible|=eh- 3|=eh- 3|||eꭓʷn-2,3,=eꭓʷ-1|eꭓʷĩ- 2|||||    Cf. also Cham. \Ibeh-id-,\i Tind. \I=eh-\i 'to be possible' - obviously borrowed from Avar and coexisting with genuine reflexes \IeꭓʷVn-,\i \Ieꭓʷĩ-.\i
258|*mizV|313|big stone, rock||||miži|mizʷ||||||    Cf. also Cham. Gig. \Imizu.\i The Akhv. form is cited from Abdokov (1983, 96);  we were unable to identify its source.
259|*ħVmV(r)|637|face|humér|humér||hama-ʔal (Tseg.)|||||||    Av. paradigm C (\Ihurmá-l,\i \Ihúrma-l;\i Chad. id.) Cf. also Akhv. Tlan. \Ihaq̇:al,\i Ratl. \Ihama-q̇al.\i The Akhv. form reflects a compound where the second part is PA \I*q̇ili\i 'mouth' q.v.
260|*qʷilu (~ꭓʷ-)|638|back of the head||||||ꭓolu|||||   Isolated in Tind., but with probable external parallels.
261|*čʷirs:V|639|gullet||||||||||čors:a|    Isolated in God., but obviously archaic (cf. the external evidence).
262|*moq̇V|643|1 nail, peg 2 stem, stalk|maʕ 1||moq̇ 2|miq̇e 1|||maʔa 1||||    Av. paradigm A (\Imáʕi-l,\i \Imáʕa-l\i). Cf. also Akhv. Tseg. \Imeʔe\i 'nail'. Av. > Gunz. \Imaʕ\i id.
263|*=aƛ̣- (~-o-,-l-)|594|call, cry|||||=al-|=al-|||||
264|*ƛ̣:iri|306|colour|ƛ̣:er|||ƛ̣:eri|||ƛ̣:ere|||ƛ̣:eri|
265|*s:ʷV-|283|doze, slumber|s:ʷá-d-|se-n-ƛ̣:é-|||||||||    Isolated in Av. (stem 2), but having reliable external parallels. For the 2d part -ƛ̣e- in Chad. see PA \I*ƛ̣:in-.\i
266|*ʁarʁV (~-o-)|648|gravel|||||||ʁarʁa||||    Isolated in Kar., but with reliable external parallels.
267|*gVrVgV|461|block (a piece of cloven log)|gerégi||||||||||    Isolated in Av., but with good external parallels.
268|*ƛ̣:i-r-/*ƛ̣:V-b-|652|1 to run 2 leap 3 to dance 4 dance (n.) 5 to roll|ƛ̣:ú-r-d- 3|aƛ̣ 4|ƛ̣:ib-d- 3|ƛ̣:er- 1,ƛ̣:ur-3|ƛ̣:ur-id- 5|ƛ̣:a-b-d- 1|ƛ̣:e-b- 3||||    Most languages reflect stem 2 (\I*ƛ̣:V-\i) with different suffixes (cf. also Akhv. \Iƛ̣:ibe\i 'dance (n.)', Tlan. \Iƛ̣:e-r-,\i Ratl. \Iƛ̣:i-b-\i 'to dance', Tind. \Iƛ̣:ar\i 'dance (n.)', \Iƛ̣:ē-\i 'to dance', \Iƛ̣:ur-ĳ-\i 'to spin'). Stem 1 (\I*-Vƛ̣:-\i) is reflected only in the Av. (Chad.) derived noun \Iaƛ̣\i 'dance'.
269|*s:u-n-|2298|1 what (obl. base) 2 who, what (obl. base)|s:un- 1|sun- 1||s:un- 1,2|||||||
270|*λ:VdV|123|wife|λ:ádi||||||||||    Irregular accent paradigm in Av.: gen. \Iλ:ádu-l,\i pl. \Iλ:ud-bí.\i
271|*-asara- (~ -o-)|122|old, worn out|-asrá-ja-b|||-aša-da-|||||||    Akhv. \I-aša-da-\i < \I*-asar-da-,\i cf. Akhv. Tseg., Tlan. \I-ašara-λa-b\i id.
272|*q̇:VndV|655|1 dock-tailed 2 narrow, small|q:andá 1||q̇:inṭi 2||||||||    Different phonetic interaction: deglottalisation (q̇:- > q:-) in Av., and assimilative glottalisation (-d- > -ṭ-) in Andian. Av. > Tsez. \Iqanda\i 'dock-tailed', Darg. dialectal (Tsud.) \Iqanda-se\i 'short'.
273|*c̣:umʔi (~*c̣:ʷi-)|658|eagle|c̣:um / c̣:un|c̣um|c̣:un|c̣:ʷĩ|ṣũj|c:ū̃|c̣:ũji|c̣:ũʔi|c̣:ũʔi|c:ũʔi|    Av. paradigm C (\Ic̣:u-dú-l,\i \Ic̣:úna-l;\i but Chad. \Ic̣umí-l,\i \Ic̣umá-l\i). Cf. also Akhv. Tseg. \Ic̣:ũj,\i Tlan. \Ic̣:umi,\i And. Mun., Zil. \Ic̣:ũj,\i Rikv. \Ic̣:uni,\i Kv. \Ic̣:umi,\i Cham. Gig. \Ic̣:ũj,\i Gad. \Ic̣:uj.\i
274|*moλ:-|665|1 to teach 2 teaching|maλ:- 1|maλ- 1|moλ:i 2||maλ:i-d- 1|maλ:- 1|maλ:- 1||||    Cf. also the Av. noun \Imaλ:\i 'teaching, study' ( = And. \Imoλ:i\i). Av. > Bezht. \Imaλzi =ow-\i 'to teach'.
275|*lV|35|address to a man|le||||||||||    Originally must have meant simply "man", confer derivates like \Ilé-bal-λi\i "manhood, courage" (\Ilébal\i is an original plural form). Preserved only in Av., but has reliable external parallels.
276|*suni|668|yesterday|son|šún-q̇ad|sun|šuni|sun|suni|suni|suni|suni|suni|
277|*ḳʷiṭi|669|lip|ḳʷeṭ|ḳʷeṭ||||||||ḳoṭi|    Av. paradigm B (\Iḳʷeṭá-lzul,\i \Iḳuṭ-bí;\i Chad. \Iḳuṭá-ldul,\i \Iḳuṭ-bí\i).
278|*q̇:inu|670|summer|||q̇:inu|q̇:inu / q̇:ino|q̇:inʷ|q̇:inu|q̇:ino|||q̇:inu|    Cf. also Cham. \Iq̇:ina\i 'in summer' ( = And. \Iq̇:ina\i 'summer'), Gig. \Iq̇:enu\i 'summer'.
279|*=iꭓ:ʷ-|676|to stay||||=iꭓ:u-|=eꭓ:ʷ-n-|=uꭓ:-|=iꭓ:ʷ-||||    Cf. also Akhv. Tseg., Tl., Ratl. \I-uꭓ:-,\i Kar. Tok. \I-eꭓ:ʷ-,\i Anch. \I-uꭓ:-.\i Reasons for -n-conjugation in Cham. are not clear (note that this verb in Cham. is both intransitive and transitive: 'to leave'). Not quite clear is the relationship of Av. \Iꭓ:u-ṭ-\i 'to stay' (stem II with an expressive suffix?).
280|*=Vx-|168|1 be warm, hot 2 hot|=ax-|b-áx-ra-b 2|||||||||    Isolated in Avar, but having good external parallels.
281|*baḳʷoli|684|1 stomach 2 belly 3 spleen|baḳʷáli 1||baḳʷolu-las:i 3|baḳʷali 1|||baḳʷal 2||baḳʷal 2|baḳʷali 1|    Av. paradigm B/C (\Ibaḳʷáli-dul,\i \Ibaḳʷála-bi\i). The God. and Akhv. words may be loaned from Av., but it is less probable for Kar. and Bagv. In And. the pure root is not recorded, but is witnessed in the derivate \Ibaḳʷolu-las:i\i 'spleen'.
282|*ʔas:V (~-o-)|292|1 breath 2 prestige, dignity|as: 2|||as:i 1|||||||    In Av. a secondary meaning development (*spirit > moral, dignity); note that this root has moral/religious connotations also in other languages.
283|*q̇:(ʷ)anṭV-nV|689|butterfly|||q̇:aṭi-pa||||||||    Cf. also in Khaidakov's notation: And. \Iq̇:anṭina.\i Isolated in And., but with probable external parallels.
284|*b-Vc̣V-|690|dark|béc̣a-||||||||||    Isolated in Av., but with reliable external parallels. Av. > Tsez. \Ibec̣aw\i id.
285|*=iq̇:ʷV|692|back||||r-aq̇:ʷa-ƛ:i|b-eq̇:u-ƛ:||||r-eq̇:e-λ:||    r- and b- are old class prefixes. The word is normally attested in a locative form ("on the back"). A prefixless form is possibly Cham. Gig. \Iq̇:oj\i 'back'.
286|*s:uh-|700|to get tired|||||||s:uh-an-||||    Attested only in Kar., but having probable external parallels.
287|*=ixʷ-|191|1 graze 2 feed, raise, educate 3 herdsman,shepherd|xix- 2, wex 3|wex 3|ꭓoro-ša 3|išʷa 3|=ehʷihʷ-1,ihʷa3|ihʷa 3,ihʷa-λ-2|ixʷa 3,ixʷa-č-2||ihʷa 3||    Cf. also Akhv. Tseg., Tlan. \Iʕišow,\i Ratl. \Iišo-daw\i 'herdsman', Kar. Tok., Arch. etc. \Iixʷa,\i Cham. Gig. \Iiha,\i Bagv. Tlis. \Iixʷa,\i Kvan. \Iiꭓʷa\i id. The Andian form is a compound \Iꭓoro-\i 'sheep' + \I*ʔiš(ʷ\i)a 'herdsman'. Av. paradigm B (pl. \Iʕux-bí\i). Initial w- in Av. is most probably a class prefix (but the nature of ʕ- appearing in the plural form is yet to be determined). The verb stem is reduplicated in Av. and Cham. Some Andian languages have borrowed the Av. verb (in this way we must explain Akhv. \I=ixix-,\i And. Mun. \Ikix-,\i Bagv. \Ixix-,\i see Gudava 1964, 152). Av. \Iwex\i > Bezht. (Tlad., Khosh.) \Iwekä,\i Gunz. \Iwexa.\i
288|*q̇:amha, *q̇:am-čV|707|1 hairdo 2 cock's comb 3 mane|q̇:ama 2||q̇:ãw 1|q̇:ama 2|q̇:ama 2|q̇:ama 2|||q̇:amča 3||     Cf. also And. dial. \Iq̇amu\i 'cock's comb; beak'. Av. accent paradigm is unknown (the word is attested only in the Russian-Avar dictionary). All Andian forms (except And. itself and Bagv.) may be borrowed from Av. An obvious Av. loan is Inkh. \Iq̇ama\i 'plait; cock's comb'. The Bagv. form \Iq̇:amča\i reflects an old derivate.
289|*λoli|229|1 track, footprint 2 horseshoe 3 hoof|λa-ḳ 1||λol 1,2,3|λali 1,2|λal 2,3|λali 1,3|λal-da 1|hali 1,2|hal 1,2|λali 1,2|    In Av. \Iλa-ḳ\i < \I*λar-ḳ\i < \I*λal-ḳ\i (with an archaic diminutive suffix), cf. by Uslar: \Iλarḳ\i (paradigm A: \Iλárḳi-l,\i \Iλárḳa-l\i). Cf. also Kar. Tok. \Iλali,\i Anch. \Iλale\i 'track', Cham. Gig. \Iλali\i id.; Av. \Iλél-go\i 'by foot', \Iλéla-b\i 'id.  (adj.)', Akhv. \Iλalo-da-be\i id.
290|*=ac̣:Vn- (~-o-)|299|1 to clean 2 clean, pure|=ac̣:n- 1||=erc̣:om 2|=ac̣:onu= 1|=aṣa-da= 2|=ac:a-hi= 1|=ac̣:a-do= 2|c̣:in-ḳir 2|=ac̣:a-ra= 2|c̣in-ḳi 2|    Cf. also Av. \I=ac̣:a-da=\i 'clean', Akhv. \I=ac̣:a-da=,\i Tseg., Tl., Ratl. \I=ac̣:an-da=\i id., Tind. \I=ac:a-ja=\i id. etc. The adjective in all languages is a derivate of the verbal stem. Av. > Inkh. \Ibac̣c̣ada-b,\i Gin. \Ibac̣adaw.\i     The Botl. and God. forms go back to a suffixed \I*c̣:in-ḳV;\i cf. also Kar. Anch., Tok. \Ic̣:inḳu=\i 'clean, pure'.
291|*miħV (/*n-)|718|1 leg; shin-bone, tibia 2 heel|máħu 1|máħu 1|||mah 2||nihe 2||||    Av. paradigm C (\Imaħá-lzul,\i \Imáħa-bi;\i Chad. \Imaħá-ldul,\i \Imáħa-l\i). Cf. also Kar. L.-Enkh. \Iniha,\i Cham. Gig. \Imahi.\i In Kar. there occurred a common change of *m- > n- before a front vowel. If we assume a *ʔi- prefix (used in Akhv. with some body parts), we could also link (\I*ʔi-miħV\i > \I*ʔimHV\i) Akhv. \Iʕĩja\i 'foot, leg' (Magomedbekova: 'foot-kick'), Tseg. \Iʕĩju\i 'foot-kick', Ratl. \Iʕĩjo,\i Tlan. \Iaʔima\i id.
292|*q̇:ʷalV|719|1 arm; sleeve 2 armpit 3 armful|q̇:ʷal 1|q̇:ʷal 3|q̇:ʷa-ƛ̣:u 2|q̇:ʷa-ƛ̣:i 2|q̇:ʷaj-ƛ̣:|q̇:ʷar-ƛ̣:i 2|ʁʷa-ƛ̣:e 2|||q̇:ʷa-zu-ƛ̣:i 2|    Av. paradigm C (loc. \Iq̇:ʷalá-ƛ̣:\i 'under the arm, in the arm-pit'; Chad. \Iq̇ʷalí-l,\i \Iq̇ʷála-l\i). Andian forms reflect a subessive \I*q̇:ʷar-ƛ̣:i\i < \I*q̇:ʷal-ƛ̣:i\i (with dissimilation) = Av. \Iq̇:ʷaláƛ̣:,\i Chad. \Iq̇ʷa-ƛ̣\i ("armpit"). The suffixless form, besides Avar, is preserved only in Akhv. \Iq̇:ʷari\i 'sleeve of a fur-coat; armful" - but the -r- here raises some problems (it has, perhaps, developped analogically with the dissimilated form \I*q̇:ʷar-ƛ̣:i\i). The Kar. form demonstrates a dissimilative voicing of the initial affricate; Cham. (Gig. \Iq̇:o-du-ƛ̣:i\i) and God. forms also reflect a former subessive case, but from different oblique bases (\I*q̇:ʷa(l)-dV-\i and \I*q̇:ʷa(l)-zV-\i). From Andian languages is borrowed Inkh. \Iq̇ʷaƛ̣i\i 'armpit'.
293|*ḳ:ʷa- (~-o-)|721|1 to kill 2 to hammer in, kill (with a gun)|||ḳ:ʷab-d- 1|||k:ʷē- 2|ḳ:ʷab- 1|||k:ʷan- 1|    All languages reflect "stem II" with different suffixes (\I*ḳ:ʷa-d-,\i \I*ḳ:ʷa-b-\i or \I*ḳ:ʷa-m-;\i cf. also Kar. Tok. \Iḳ:um-\i). The suffixless (but reduplicated) root is probably present in Tind. \Ik:ʷak:ʷa-λa\i 'to knock'. In And. the root is used only by women (as opposed to \Iǯab-\i q.v.).
294|*kʷač̣V|722|paw|kʷač̣|kʷač̣|kʷač̣a|kʷač̣i|||kʷač̣a||||    Av. paradigm C (\Ikʷač̣í-l,\i \Ikʷáč̣a-l\i). Cf. also Kar. Tok. \Ikʷač̣i,\i \Ikoč̣i\i id. Av. \Ikʷač̣\i > Arch. \Ikʷač̣\i id.
295|*HabuḳV|724|burdock|ʕabúḳ||||||||||    Av. paradigm C (\Iʕabḳí-l,\i \Iʕábḳa-l\i).
296|*=VH-|194|1 to hang; stay; be in some place 2 put on (hat)|=a- 1|=a- 2|||||||||    A frequent verb with a rather general meaning; since it is not attested in Andian languages, the precise nature of the root laryngeal in PA is hard to establish.
297|*ḳ-us-|89|1 to sit 2 to sit down|ḳ-us- 2||||||ḳ-us- 1||||    Cf. also Kar. Tok. (with another preverb) \Iq̇:-us-\i 'to sit'. From Av. the verb had been borrowed in Akhv. (\Iḳus-\i 'sit down, land').
298|*mVc̣V|725|liver||mac̣|||||||||    A dialectal Av. word, but with good external parallels.
299|*ṭanʔa|727|nit|ṭihá|ṭihí|ṭa|ṭani|ṭana|ṭana|ṭane|ṭana|ṭana||    Av. paradigm B (gen. \Iṭihá-dul;\i Chad. \Iṭohó-l,\i \Iṭahá-l\i). For And. Khaidakov notes two forms: \Iṭa\i 'nit', but \Iṭana\i 'larva, grub' - these are probably dialectal variants; the MSU recording is \Iṭana\i 'nit').
300|*=[i]q̇:ʷV(n)-|1913|1 be closed,shut;compress 2 to close 3 close eyes|q̇:á- 1|q̇á- 1|joq̇:an- 2|eq̇:- 2||=aq̇:ʷĩ- 1,2|q̇:ĳã- 3||||    Stem I, besides the cited forms, is reflected in Av. \I=uq̇:-\i 'to shrink, be compressed', \Ireq̇:é-\i 'to be adjusted, fit' ( = Av. Chad. \Ireq̇é(l)-\i 'to be closed, close'), And. \I=uq̇:-\i (*'to compel' >) 'to drive, urge, expel'; with the nasal conjugation - in Akhv. \I=uq̇:un-\i 'to close eyes', Kar. \Iruq̇:an-\i 'to close, compress'. Stem II \I*q̇:(ʷ)in-,\i besides, the Kar. form \Iq̇:ĳã-,\i is reflected in And. \Iq̇:in-\i 'to be stuck; to press, compress', Akhv. \Iq̇:in-\i 'to press, squeeze' (also reduplicated: \Iq̇:iq̇:in-\i). We should also mention a nasalless stem II \I*q̇:ʷa-b-\i ( ~ -o-) 'to wink, blink' (*'close eyes') > Cham. \Iq̇:ab-,\i Kar. \Iq̇:ʷab-,\i and a reduplicated stem > Av. \Iq̇:aq̇:á-\i 'to exert pressure; to rumple", Akhv. Tseg. \Im-aq̇:ajq̇:ʷ-,\i Tlan. \Im-aq̇:oq̇:eji-\i 'to drive, expel'. Av. \Iq̇:aq̇:á-\i > Bezht. Khosh. \Iq̇aq̇azi =owal\i 'to press, compress'.     The phonetic and semantic range of Av.-And. forms here is extremely wide, and one can suspect that we deal here not with one, but with two or several original roots; they are, however, so intertwined that it seems almost impossible to distinguish them at this point.
301|*c̣:iḳ:ʷa (~-o)|734|small intestine|||||ṣiq̇:ʷa|c:ik:ʷa|||||    Reason for the appearance of uvular -q̇:ʷ- in Cham. (cf. also Gig. \Ic̣iq̇:a\i) is contamination with another PA root, \I*č̣iq̇:(ʷ)i\i / \I*q̇:(ʷ)ič̣:i\i q.v.     An old loan from Tind. is Inkh. \Ic̣iḳʷa\i 'intestine'.
302|*xan-dV (~-o-)|282|1 shady side, slope 2 hill 3 meadow 4 haying place|xon-λí 1|xuná-q 1|||hanna 4|handa 2|handa 2|||šandir 3|    Cf. also Kar. Tok. \Ihandu\i 'hill'. Andian forms contain a dental suffix (original plural?).
303|*riḳ:i-n|737|1 gorge, ravine 2 valley||||||reḱ:a 1|riḳ:e 1|||rek:in 2|    Cf. also Kar. Tok. \Ireḳ:in\i 'ravine'.
304|*ris:V|742|1 throat 2 gullet|rís:-ḳi 2||res:(i) 1||||||||    Av. has a suffixed -ḳi (a former diminutive?).
305|*ma(r)š:u (~-o-)|751|1 pipe 2 flue|maš:ú 1||||mas:u 2 (Gig.)||maš:u 1||||    In Cham. (U.-Gakv.) the word is reflected as \Imaršʷ\i 'flue'. This is irregular (normally *š: > Cham. s:, cf. the regular reflex in Gig. \Imas:u,\i existing together with a variant \Imaš:u\i - the latter obviously borrowed from Avar) and suggests the existence of an Av. dialectal form \I*marš:u\i > Cham. \Imaršʷ.\i
306|*ric̣:i|426|pus|rec̣:|réc̣i||rec̣:i|||rec̣:i (Anch.)|||rec:i|    Av. paradigm B~C (gen. \Iroc̣:ó-l\i).
307|*=it-|762|1 to leave, let 2 to stay,be there|te- 1, =at- 2|=Vtá- 1|=et- 1|ot- 1|=et- 1|=et- 1|=it- 1||||    Av. \I=at-\i reflects "stem 1", \Ite-\i - "stem 2". The back vowel in Akhv. (cf. also Tseg., Tl. \Iut-\i) is not clear; perhaps it reflects an old Ablaut grade \I*ut-,\i attested also in Cham. \I=ut-\i 'to sit (down)', Tind. \I=ut-\i 'to release, untie'.     The vowels *-i- and *-e- are not usually distinguished in PA; but in this verbal root they seem to distinguish the transitive stem ("to leave") from the intransitive ("to stay; to get lost, disappear"). Cf. Akhv. \Iot-\i 'to leave' : \I=it-\i 'to lose (in a game)'; Kar. \I=it-\i 'to leave' : \I=et-\i 'to get lost'; Cham., Tind. \I=et-\i 'to leave' : \I=it-\i 'to get lost; (in Tind. also) to lose (in a game)'. We must probably reconstruct a single stem \I*=it-\i with later differentiation in individual languages.
308|*zibu|134|1 sky 2 day|zob 1|žob 1|zubu 2|žō 2||zebu 2|zebu 2|ziwu 2|zeb 2|zibu 2|    Av. paradigm C (\Izo-dí-l,\i \Izóba-l;\i but Chad. A: gen. \Ižóbi-l\i). Cf. also Akhv. Tseg. \Ižobo,\i Kar. Tok. \Izobi\i (with vowel metathesis). Tind. > Inkh. \Izebu\i 'day'.
309|*Huc̣:V|765|stone|ʕuc̣: (South.)||||||||||    Cited from Микаилов 1959: Keg. \Iʕuc̣:,\i Unt. \Iʕuc:.\i There are no Andian parallels, but some probable correlates in Nakh and WC.
310|*=VzVn-|767|to soak, become wet|=izn-||||||||||    Isolated in Av., but with good external parallels.
311|*-nV-|2312|a deictic particle|||-n(o)-,-n(e)-||hã-|ã-|||||    Used only in conjunction with other deictic stems. Cf. And. \Iho-no-w,\i \Ihe-ne-w\i 'this', \Ihi-n(i)-di-w\i, \Ihi-n(i)-gi-w\i etc. 'that'. In Tind. and Cham. the stem is preserved only as vowel nasalisation (Tind. \Iã-b,\i Cham. \Ihã-w\i 'this').
312|*c̣:ilV|769|1 rod 2 whip|c̣:al 2|c̣al 2||||c:ela 1||||c:eli 1|    Av. paradigm C (\Ic̣:alá-l,\i \Ic̣:ála-l;\i Chad. \Ic̣oló-l,\i \Ic̣ál-dal\i - but also \Ic̣alá-l\i). In Av. one would rather expect \I*c̣:el\i - perhaps we deal with vowel levelling by analogy with the obl. stem.
313|*ʔažʷV-lV|345|1 bush, shrub  2 pine-tree 3 birch-tree|||žala (< *ažala) 1|aža 1||žʷala 3|ežela 2||||    Cf. also Kar. Tok. \Iʕižilu-l ruxa\i 'pine-tree', Akhv. Ratl. \Iažali\i 'bush. shrub'.
314|*=ičVn- / =ačVn-|770|to lead|=áč-ine||||=ačī-|||||=ečĩ-|
315|*=iλVn-|771|boil|=éλ-ine|=et(n)-|=iλVn-|=iλun-|=iλn-|=iλĩ-|=eλan-|=ĩh-|=ihṼ- (Kvan.)|=iλĩ-|    Cf. also Bagv. Tlond. \I=ilhṼ-,\i Akhv. Tseg. \I=eλan-\i etc.
316|*λ:i-|2294|who (obl. stem)|λ:i-|λi-|λ:e-|λ:o-|λ:e-|λ:o-(b)-|λ:o-la-|λ:e-|λ:o-|λ:e-|    Some forms (Akhv., Tind., Kar., Botl.) reflect the labialized variant  \I*λ:ʷi-\i (having probably incorporated the class marker of the 1st class). The same stem (with a suffixed -n-) is used in some languages for the unanimate interrogative (obl. stem): Akhv., Botl. ,Cham., God. \Iλ:un-.\i This is obviously a secondary replacement of the original \I*s:u-n-\i (q.v.) under influence of the animate \Iλ:i-.\i
317|*HVgVr-|396|near|ʕagára-b||||||||||    Kar. Tok. \Iʕagaru-b\i 'near' is probably borrowed from Av.
