"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
260,"*dɨbV- (~-i-)",471,"drum",,,,,"dibiṭo",,"    -ṭo is a frequent nominal suffix (commonly used with expressive roots)."
261,"*kʷehi (~ *kʷej) ?",673,"ram (from 6 months up to 1 year old)",,"kʷĳ",,,,,"    Since the form is isolated in Gin., it may be an Av. loan (there exist dialectal forms \Ikʷi,\i \Ikʷĳ\i in Av.)."
262,"*ƛile A",803,"lamb (less than 1 year old)","ƛeli","ƛeli","ƛili","ƛile","ƛile","ƛile","    PTsKh \I*ƛiRe,\i PGB \I*ƛile.\i"
263,"*buhV B",807,"bull-calf","moħo-di","boju",,,,"buhi-do","    PTsKh \I*bohV-\i (or rather \I*bu̲hV-,\i if Tsez. \Imoħo-di\i is an assimilation < \Imeħo-di;\i this would better correspond to Gunz. \Ibuhido\i). One can also note Bezht. \Ibüʁüdä\i 'bull-calf' - obviously < \I*bühüdä\i under the influence of the Turkic loanword \Ibuʁa\i 'bull'. The Tsez. languages reflect suffixed forms \I*buhV-dV\i and \I*buhV-ju.\i Nasalisation and pharyngealisation in Tsez. are probably expressive and secondary."
264,"*biƛ̣ B",809,"1 sheep 2 sheep (coll.) 3 small cattle","beƛ̣ 2","beƛ̣ 1","beƛ̣ 2","bɨƛ̣ 3","biƛ̣ 1","biƛ̣ 1","    PGB \I*biƛ̣,\i PTsKh \I*bɨƛ̣.\i In PTsKh the word has normally a collective meaning (only in Gin. it is used (in genitive) to denote a single sheep. For a single sheep there existed in PTsKh a derivate \I*bɨƛ̣-ʁu\i (Tsez. \Ibeƛ̣ʁu,\i Gin. \Ibeƛ̣ʁu,\i Inkh. \Ibɨƛ̣ʁu,\i Khv. \Ibeƛ̣q̇u\i), where -ʁu goes back to PTs \I*ʁo(r\i) 'ram, sheep' q.v. There exists in PTs another stem, which is probably an old Ablaut variant of the same: PTs \I*bɔƛ̣e\i B > PTsKh \I*böƛ̣e\i (Tsez. \Imiƛ̣i\i /with secondary nasalisation/, Inkh. \Ibeƛ̣e\i 'a gelt ram'); Gunz. \Ibɔƛ̣e\i 'sheep-flock'."
265,"*s:uṭV (~-o-)",811,"short-eared ram","suṭu",,"suṭe (Radzhibov)","suṭe",,,"    PTsKh \I*suṭV.\i"
266,"*žižu (~ž:,-ɨ-,-Ṽ-)",815,"plait","žežu","žežu",,,,,"    PTsKh \I*žižu\i (~-ɨ-,-Ṽ-)."
267,"*cɨLe",816,"tower","cili",,,,,,"    Attested only in Tsez., but obviously archaic."
268,"*ʔĩz(:)",817,"tower","ez (Radzhibov)",,,,,"ĩz",
269,"*ṭɨma / *č̣ɨma",819,"nit",,,,,"c̣ima","ṭɨma","    Cf. also Bezht. Tlad. \Ič̣ime.\i Variation between ṭ- and č̣- probably reflects old variation in labialisation (\I*č̣ɨma\i < \I*č̣ɨma,\i but \I*ṭɨma\i < \I*č̣ʷɨma\i). There exists also a word \Ic̣ima\i 'nit' in Gin. (MSU recording: \Ič̣ima\i), but here it is most probably borrowed from one of the GB dialects."
270,"*č̣ike A",820,"flea","č̣iki","č̣iki","č̣ike","č̣eke","c̣ike","č̣ige","    PTsKh \I*č̣ike/*č̣eke,\i PGB \I*č̣ike.\i"
271,"*hel(u) A",821,"1 pea(s) 2 haricot","hil 1","hilu 1","ħel 2","hel 1",,"helu 1","    PTsKh \I*heR(u\i). Bezht. \Iholo\i < Avar."
272,"*tac̣",830,"bog",,,,,,"tac̣","    Isolated in Gunz., but having secure external parallels (first of all, in Andian languages)."
273,"*muzo B",831,"bog","mez / mezo","mozo",,"muzo-n",,,"    PTsKh \I*mu̲zo\i (~ -ü-)."
274,"*biša-l- A (~-ĩ-)",832,"1 beard 2 moustache",,,"bišan-de (Radzhibov)","bišan-du 1","bizal-ba 2","bilaž-ba 1","    The Inlaut nasalisation is probable because of the -n-reflex of *-l- in Inkh.; the final -du is not clear (cf. -tu in some Andian languages). PGB \I*bižal-ba\i (cf. also Bezht. Tlad. \Ibižal-ba\i 'moustache'); in Gunz. a metathesis has occurred. The element -ba in PGB is probably a former plural suffix."
275,"*bü-šɔ̃ḳ-la",833,"beard, moustache","mešogla","bošolḳa",,,,,"   Tsez. dialects have different variants: (Imnaishvili) \Imešogla/mešolga,\i Sh., Kid. \Imešolga,\i Kh. \Imešoḳla.\i -g- instead of -ḳ- in these dialectal forms is probably a result of old assimilation (even before the unvoicing of *ʒ́ > š). Initial *bü- (< *bi-) in this stem is obviously a result of contamination with another PTs root, \I*bišal-\i 'beard' q.v."
276,"*bab",260,"1 beard (with whiskers) 2 big beard",,"bab 1",,,"bab 2",,"    The original meaning was 'soft' (cf. the external evidence). Since in Caucasian languages the meanings 'soft' and 'warm' are often interrelated (cf., e.g., *tVntV ), we may think that another old derivate of the same root is PTsKh \I*bobo-RV\i 'hot' (Tsez. \Iboboru,\i Gin. \Ibobore,\i Inkh. \Ibobolu\i), which otherwise has no etymology."
277,"*cVḳʷV(~ -Ṽ-)",834,"1 abscess 2 pimple","caḳʷa 1","ceḳʷa 1","ceḳʷa (Radzhibov)","ceḳʷa 2",,,"    PTsKh \I*cVḳʷa\i (vowel correspondences are irregular)."
278,"*himV (~ *ꭓ-)",835,"abscess",,,,"himon",,,"    Inkh. \Ihimon\i presupposes PTs \I*himV-R\i or \I*ꭓimV-R\i (the -R is obviously a suffix). Isolated in Tsez., but having good Andian and Nakh parallels."
279,"*qaṭ",837,"freckle","qaṭ",,,,,,"    Isolated in Tsez., but with probable external parallels."
280,"*ṭəṭV (~-o-,-Ṽ-)",839,"pimple",,,,,"ṭoṭilo",,"    Isolated in Bezht., but having reliable external parallels. The Bezht. word contains a frequent -lo suffix (cf. also the Av. form)."
281,"*papa-ṭu",849,"butterfly",,"papaṭu",,,"papaṭo","papaṭu","    PGB \I*papaṭu.\i The root has a frequent expressive suffix *-ṭu."
282,"*pop",850,"foam",,,,,"pöp","pob","    PGB \I*pop.\i"
283,"*pɨr A",852,"lightning 1 thunder","per 1",,,,"pir (Tlad.)","pɨr","   PGB \I*pɨr.\i"
284,"*peṭi",854,"honeycomb",,,,,"peṭi",,"    Isolated in Bezht., but with probable external parallels."
285,"*pɨ A",857,"1 blood vessel 2 pipe, reed-pipe","pelu 2",,"pili (Radzhibov)",,"pi 1","pə 1","    PTsKh \I*pilV;\i PGB \I*pɨ,\i obl. \I*pɨlV-\i (cf. Bezht. \Ipili-\i). For PTs \I*pɨlV\i must be reconstructed as the oblique base (which became direct in Tsez.). The variation in meaning is probably archaic (reflected also in other EC languages)."
286,"*pipe B",860,"plane-tree 1 beech-tree 2 cudgel",,"pepi 1","pepe 2",,"pipe 1","pibe-s","     PTsKh \I*pɨpe;\i PGB \I*pipe.\i"
287,"*pɨꭓ:ʷV",861,"diarrhea",,,,,"puꭓi",,"    Attested only in Bezht. (thus in PTs it is also possible to reconstruct -u- and -ʁʷ-), but having reliable external parallels."
288,"*pɨ-ƛʷ- (~ -i-)",862,"to blow 1 to swell, blow up 2 to whistle","peƛʷa 1","peƛ- 2",,,"püƛe-","puƛa","    PTsKh \I*piƛʷ-\i (~-ɨ-); PGB \I*puƛ-\i."
289,"*per B (~-ɨ-,-ə-)",863,"bee",,,"par","por",,,"   PTsKh \I*pər.\i"
290,"*pɔꭓ: (~-ʁ)",864,"1 dust 2 steam",,,,,"paꭓ 1","pɔꭓ 1,2","    PGB \I*pɔꭓ.\i"
291,"*ʁebV- (~-o-,-ɔ-)",869,"hat, cap",,,"ʁobola (Radzhibov)","ʁeIbila",,,"    PTsKh \I*ʁ[e]bV-\i; -la is a frequent nominal suffix."
292,"*š(:)idV ( ~ ž-)",870,"wineskin, leather sack",,,,,"šede","bišid","    PGB \I*š[i]dV\i (cf. also Bezht. Khosh. \Išeda,\i Tlad. \Išedä\i). The Gunz. form is actually a compound \Ibeš\i 'leather' + \I*šid\i 'sack'."
293,"*ƛapV (~ -ɔ-)",871,"youngling, nestling",,,,,"ƛapan (Khosh.)",,"    Isolated in Bezht., but having possible external parallels."
294,"*pɔsu (~-ɔ̃-,-s:-)",872,"cattle","posu","posu","posu (Radzhibov)","posu",,,"     PTsKh \I*posu.\i"
295,"*bada",873,"(wine)skin",,,,"baIda",,,"    The Inkh. form is isolated within Tsez., but having probable external parallels (the meaning ""wineskin"" < *""sack"" < *""cloth"")."
296,"*bɨle (~-i-)",875,"1 poplar 2 ash-tree 3 asp","beIli 1,2","bele 1","bel (Radzhibov)","buIle 3",,,"PTsKh \I*bɨIRe.\i"
297,"*ʔeme A",882,"spring","im",,"ime","eme","eme-da","eme-d","    PTsKh \I*ʔem(e\i), PGB \I*ʔeme-d(a\i) (with an original locative suffix)."
298,"*buƛu A (~-ə)",886,"1 cattle-shed 2 pub",,"buƛe 1","buƛu 1","buƛu 1","buƛo 2 (Tlad.)",,"    PTsKh \I*buƛu\i /-ə(-i) (cf. also the old Ablaut in Khvarsh. loc. \Ibɨƛe\i)."
299,"*baba",887,"bread",,,,,"baba","baba","    PGB \I*baba.\i"
300,"*kõbɔ A",888,"kidney",,"kubo",,,"koma","koma","    PGB \I*koma.\i"
301,"*ʔɔbu A (/*ʔɔbĳu)",889,"father","obĳu","obu","obu","obu","abo","ɔbu","PTsKh \I*ʔobu\i / \I*ʔobĳu,\i PGB \I*ʔɔbu\i."
302,"*ꭓob (~*ʁ:-)",893,"haystack",,,,,,"ʁob","    Isolated within Tsezian, but having probable external parallels. Cf. also (with a suffix) Gunz. \Iʁobej\i 'small stack'."
303,"*berũš:V",894,"badger","birušo","birušo",,,"beruse","miruš","    PTsKh \I*berušo;\i PGB \I*berũš(e)\i (cf. also Bezht. Tlad. \Imiröš,\i Khosh. \Imeruse\i). Nasalisation of the second vowel is witnessed by the variation *b- ~ *m- in GB (the first vowel could not be nasalised before a resonant). Gunz. has an irregular -i- (-e- would be expected)."
304,"*bɨ(r)žʷV-lV (~ž:,š)",895,"gadfly",,,,,"birzola (Khosh.)","bužilo","    PGB \I*bɨ(r)žVlV\i / \I*bu(r)žVlV\i (-r- in Bezht. is most probably secondary). Cf. also Bezht. Tlad. \Ibiržölä.\i"
305,"*büλ:V",258,"1 mountain goat, game 2 deer 3 roe","beλi 1,2","boλi 1,3","beλa (Radzhibov)","biλo 1","biλo 1,2","bɨλə 1","    PTsKh \I*b[ü]λə;\i PGB \I*bɨλə.\i"
306,"*maq",897,"1 short stick,rod 2 stake 3 vertical stick (in fence)","maIq 1",,,,"maq 2","maq 3","    PGB \I*maq.\i The oblique base was probably \I*mɨqu-\i (with a regular *a/*ɨ Ablaut): it is preserved now as a separate stem in Bezht. \Imiqo,\i Gunz. \Imɨqu\i ""pole"" (also from this source comes Gin. \Inuqo\i id. with labialisation shift)."
307,"*niqe",899,"pine-tree",,,,,"niqe (Khosh.)","niqe-s","    PGB \I*niqe.\i"
308,"*buƛi A",901,"1 house 2 (at) home",,"buƛe 1",,,"biƛo 1","buƛi 2","    PGB \I*buƛi\i / \I*biƛu\i (with vowel metathesis)."
309,"*müqɔ-r(ə) A",902,"back",,"moqoli",,,"miqā","mɨqər","    PGB \I*mɨqɔr(ə\i) (cf. also Bezht. Tlad., Khosh. \Imiqaro\i). In Gunz. the final *-ə disappeared, having turned the previous ɔ into ə."
310,"*muš: B / *mus: B",898,"1 panicled millet 2 corn panicle 3 broom, besom","meš 3","mos 3","miš 3",,"mušo 3","mus 2","    PTsKh \I*müš;\i PGB \I*muš/*mus\i (cf. also Bezht. Khosh. \Imüš\i 'besom, broom', \Imüša-raq\i 'panicle millet'). This is the name for a sort of wild millet used for making brooms."
311,"*beƛ-(nɔ) B",2323,"eight","biƛ-no","beƛ-no","baƛa","baƛ","beƛ-na","beƛ-no","    PTsKh \I*bəƛ-\i (irregular: Inkh. \Ibaƛ\i instead of \I*boƛ\i ); PGB \I*beƛ-.\i"
312,"*bɨsV A",905,"fist","besi","beši","besa","buso","biza","bɨza","    PTsKh \I*bɨsə;\i PGB \I*bɨza.\i"
313,"*bula (~-o-,-r-)",906,"hoof","bula","bula",,,,,"    PTsKh \I*buRa.\i"
314,"*ꭓ:ɨbV",910,"dew","ꭓebi","ꭓebi","ꭓeba (Radzhibov)","ꭓɨbo",,,"    PTsKh \I*ꭓɨbə.\i"
315,"*g̥1̇ʷem A",911,"1 raspberry 2 strawberry 3 a k. of berry",,,"kim 1","kem 1","gemalo 3","gomi 2","    PTsKh \I*k[e]m;\i PGB \I*göm(V\i). For the suffixed form in Bezht. cf. the Nakh forms."
316,"*qʷV(bV)",912,"ploughshare","qIu","qu","qu (Radzhibov)","qIu","qö (Khosh.)","qe","    PTsKh \I*quI\i (source of pharyngealization unclear); PGB \I*qʷe\i (cf. also Tlad. \Iqö\i). The root \I*qʷe\i is a result of reanalysing the final *-bV as a plural suffix (cf. plural forms like Gunz. \Iqebur;\i note that in Gunz. the oblique stem is also \Iqebo-\i).          The vocalism is hard to reconstruct (probably some Ablaut type is reflected)."
317,"*λ:ɔI- A",2317,"three","λoIno","λono","λona","ħono","λana","λɔno","    PTsKh \I*λoI-na,\i PGB \I*λɔ-na\i (-na is a numeral suffix)."
318,"*ʁ:ɔʁ:ba",914,"partridge",,"ʁoʁmo","ʁoʁba","ʁoʁba","ʁaʁba (Tlad.)",,"    PTsKh *ʁoʁba (-mo in Gin. is not quite clear)."
319,"*ħam(u)",916,"coal","ʕam","amu","am","aIm","hamo","hĩjamu","    PTsKh \I*ʕam(u\i); PGB \I*hamu\i (and \I*ham-ĳu,\i with metathesis > Gunz. \Ihĩjamu;\i cf. also Bezht. Khosh. \Ihämö,\i Tlad. \Iħämö\i). The correspondence of laryngeals is not quite regular (one would expect ʔ-, not ʕ-, in Tsez.)."
320,"*babVju",917,"father","babju",,,,,,"    Isolated in Tsez., but with parallels in other EC languages."
321,"*bɔrbɔ-r-",919,"bumble-bee",,,,,,"bɔrbɔri","    Isolated in Gunz., but with probable external parallels."
322,"*kɨṭʷa / *kʷɨṭa",256,"buttock",,"keṭa",,,"koṭa (Khosh)","koṭɔ (Nakh.)","    PGB \I*koṭa\i (Gunz. -ɔ is secondary or badly recorded instead of -a; note also the Gunz. dialectal form \Ikõṭa,\i suggesting a possibility of nasalisation in PTs)."
323,"*ʔãd̥1̇a",922,"brain","ata","ata","ãta","ãta","ãda","ãda","    PTsKh \I*ʔãta,\i PGB \I*ʔãda.\i"
324,"*ƛ̣ɔq̇ɔ A",926,"1 forehead 2 cap","ƛ̣oq̇Io 1","ƛ̣oq̇o 1","ƛ̣oq̇o (Radzhibov)","ƛ̣oq̇Io 1","ƛ̣aq̇alo 2","ƛ̣oq̇ol 2","    PTsKh \I*ƛ̣oq̇o\i 'forehead', \I*ƛ̣oq̇o-l\i 'cap' (cf. Tsez. \Iƛ̣oq̇ol,\i Gin. \Iƛ̣oq̇on\i); PGB \I*ƛ̣ɔq̇ɔ-l(u)\i 'cap'."
325,"*maṭa",927,"forehead",,,,,"maṭa","maṭa","    PGB \I*maṭa.\i"
326,"*bil",257,"lip",,,,,,"bil","    Isolated in Gunz., but having probable external parallels."
327,"*r-ɨʔV (~-i-)",929,"blade (of axe, knife)",,,,,"jiʔo",,"    Attested only in Bezht. (cf. also Tlad. \I=iʔo-ro\i ""sharp""), but having good external parallels."
328,"*moṭo",930,"face",,,,,"moṭo","moṭo","    PGB \I*moṭo.\i"
329,"*haq̇ʷa (~ ħ-,ɔ)",932,"eyebrow",,,,,"häq̇ʷä (Khosh.)",,"    Isolated in Bezht., with some probable external parallels."
330,"*c̣ɨc̣ A",933,"eyebrow, eyelash","c̣ec̣","c̣ec̣","c̣ec̣ (Radzhibov)",,,"c̣ɨc̣","    PTsKh \I*c̣ɨc̣.\i"
331,"*gʷɨg(ʷ)V- (~-o-)",938,"cheek",,,,,"gogā","gogor","    PGB \I*gogɔr(u\i) (cf. also Bezht. Tlad. \Igugaro,\i Khosh. \Igogaro\i)."
332,"*rɔꭓ: A",939,"1 furrow 2 boundary","roꭓ 2","laꭓ 1, laꭓ-da 2","loꭓ (Radzhibov)","laꭓ 1",,"raꭓ 1,2","    PTsKh \I*R[o]ꭓ.\i Gunz. \Iraꭓ\i is probably incorrect instead of \Irɔꭓ,\i cf. Gunz. Nakh. \Irɔꭓ.\i"
333,"*kocV-r (~kʷɨ-)",941,"chin",,,,,,"kocor","    Attested only in Gunz., but with probable external parallels."
334,"*č̣eč̣en /*č̣ič̣in(a)",942,"chin","č̣ič̣in","č̣ič̣inu","č̣eč̣en","č̣eč̣en","c̣ic̣ina",,"    PTsKh \I*č̣eč̣en;\i -i- in Bezht. is irregular - perhaps indicating that one should reconstruct a sequence like \I*č̣eč̣in\i in PTs. Cf. also Bezht. Tlad. \Ič̣ič̣ina.\i"
335,"*ƛ̣aqa",946,"jaw",,"ƛ̣aqa",,,"ƛ̣aqa","ƛ̣aqa","    PGB \I*ƛ̣aqa.\i The Gin. form may be genuine or borrowed from Bezht."
336,"*haqu (~-ã-)",948,"mouth (inside)","haqu","haqu",,,,,"    PTsKh \I*haqu\i (~-ã-)."
337,"*poro",744,"part of face under the nose",,,,,"poro","poro","    PGB \I*poro.\i"
338,"*ƛ̣ipu (~-ɨ-)",949,"lip","ƛ̣epu","ƛ̣epu",,,,,"    PTsKh \I*ƛ̣ipu\i (~-ɨ-); nasalisation also possible."
339,"*ZɨmV- (~-i-)",952,"gum (in mouth)",,"somore",,"zɨmor",,,"    PTsKh \I*[zɨ]mor-.\i The unvoicing *z- > s- in Gin. is unclear. Even stranger are parallels in other languages: Tsez. \Icemori,\i Bezht. \Ic̣imac̣\i (Khosh.), \Ič̣imäṭö\i (Tlad.), Gunz. \Ic̣emaṭ.\i We probably deal with a result of some secondary contaminations."
340,"*ZiZV (~-ɨ-)",639,"inner side of mouth",,,,"zɨze",,,"    Isolated in Inkh., but with probable external parallels."
341,"*ꭓ:ɔg- (~ʁ-,-g1-)",954,"molar tooth",,,,,"ꭓäg (Khosh.)","ꭓɔʁin","    PGB \I*ꭓɔg-.\i Gunz. has a suffixed form (cf. also Bezht. (Madieva) \Ihagna\i). -ʁ- in Bezht. is irregular (due to assimilation)."
342,"*ʔiš:V (~h-,-ɨ-,-š-)",650,"mane;cock's comb","ešu","ešu",,,,,"    PTsKh \I*ʔišu\i (~-ɨ-,- ̃-)."
343,"*kʷic (~-ɨ-,-u-)",957,"cock's comb",,,,,"kuckuci (Tlad.)","kuc","    PGB \I*kuc\i (the Bezht. form is reduplicated)."
344,"*kik-ĳu A (/-e-)",209,"light (of weight)","kikju","kekku","kajku (Radzhibov)","kekku","kikĳo (Khosh.)","kikku","    PTsKh \I*kikju\i / \I*kekju;\i PGB \I*kikĳu\i (cf. with another suffix Gunz. \Ikiki-ru\i 'small'). As a noun stem \I*kik\i the root meant *'feather' (cf. the meaning in PL) > 'cock's comb' (Bezht. \Ikik\i ""cock's comb')."
345,"*mɔʁ:u (~-ꭓ-)",960,"body",,,,,"maʁo","mɔʁu","    PGB \I*mɔʁu.\i With Ablaut cf. PGB \I*muʁa-\i 'behind' (Bezht. Tlad., Khosh. \Imüʁä-ttǟ,\i Gunz. \Imuʁa-ƛdo\i)."
346,"*gugu (~o)",438,"back","gugu",,"gugu","gugu",,,"    PTsKh \I*gugu.\i"
347,"*Haƛ̣V (~ -ɔ-)",962,"waist",,,,,"coṭar-aƛ̣a-s",,"    The Bezht. word is a compound with \Icoṭaro\i 'navel'. In the Tlad. dialect the same word sounds \Iciṭiraƛ̣as\i / \Itic̣iraƛ̣as\i which is a contamination with tic̣iro 'belt'. The second component (\I-aƛ̣a-s\i) is an archaic noun meaning 'back, waist' (although synchronously the word may be analysed as ""situated above the navel"" - which is probably a folk etymology)."
348,"*hĩc̣V",966,"waist",,,"hic̣il (Radzhibov)","hĩc̣c̣e",,,"    PTsKh \I*hĩc̣V-.\i The Inkh. form presupposes a PTs suffixed form \I*hĩc̣V-jV.\i"
349,"*rɨku (~l-)",269,"entrails","aꭓʷa-reku",,"aꭓa-reke-se (Radzhibov)",,,,"    PTsKh \I*ʔaꭓʷa-rɨku.\i A compound with \Iaꭓʷa-\i 'belly, stomach'."
350,"*ꭓɨmV(rV) (~-i-)",304,"breast","ħemori","ꭓema",,,,,"    PTsKh \I*ꭓ̥1̇ɨmo(RV\i) (~-i-) (in Tsez. there is a variation \Iħemori/ħamori\i). The word is also used in a compound with PTs \I*rɔḳʷə\i 'heart' (Tsez. \Iħamo-roḳu,\i Gin. \Iꭓemo-roḳe,\i /Lomtadze/ \Iꭓema-roḳʷe\i).         In Gin. there also exists a word \Iʁomoro\i 'part of beef brisket' (Lomtadze) which must be borrowed from some Bezht.-Gunz. dialect (in PGB a regular correspondence for PTsKh \I*ꭓ̥1̇ɨmoRV\i would be \I*ʁɨmVrV\i /~-i-)."
351,"*mocu (~-u-)",967,"rib",,,,"mucu",,,"    Isolated in Inkh., but having probable external parallels."
352,"*ꭓeru A",969,"1 breast 2 udder 3 shoulder","ħiro 3",,"ħel-loḳʷa 1",,"ʁejo 1,2","ʁeru 1,2","    PTsKh \I*ꭓ̥1̇eRV\i (in Khv. - within a compound with \Iloḳʷa\i 'heart'); PGB \I*ʁeru\i (cf. also Bezht. Tlad., Khosh. \Iʁero\i)."
353,"*c̣aʁ:a (~-ʁ-)",970,"shoulder",,,,"c̣aʁa",,,"    Isolated in Inkh., but having probable external parallels."
354,"*gɔš:a (~-e-,-š-)",971,"arm; foreleg",,,"geša (Radzhibov)","geša",,,"   PTsKh \I*geša\i (~-ö-)."
355,"*rɔs: (~*l-,-s)",975,"foundation","ros","ros",,,,,"    PTsKh \I*Ros.\i"
356,"*ž:ɨʁ:ʷ (~-ꭓʷ)",976,"window",,,,,"žuʁ","žoʁ","    PGB \I*žuʁ\i / \I*žoʁ\i (the variation u/o probably pointing out a former \I*žɨʁʷ\i)."
357,"*ʔə̃ꭓ: (~ ʁ)",249,"belly",,,,,"õꭓ",,"    Preserved only in Bezht. (where it contrasts with \Iãꭓ\i 'stomach' < \I*ʔãꭓ:\i q.v.), but having probable external parallels."
358,"*mul(V) A",981,"1 besom 2 (twig, rod) > needle, knitting-needle","muri 2",,,,,"mul 1","    The Tsez. form corresponds well phonetically to Gunz. mul; there is, however, a possibility that Tsez. \Imuri\i / \Imura\i < \I*miq̇ʷVra\i ( = Gin. \Imaq̇ʷare\i 'needle') < PTs \I*biq̇ʷVna\i q.v."
359,"*qʷɨq (~-i-,- ̃-)",982,"1 throat 2 crop, craw","qeIq 1","qʷaq 1,2","qeqʷa (Radzhibov)",,,,"    PTsKh \I*qʷɨIq\i (~- ̃-). We probably should relate here (supposing irregular changes in an expressive stem) PGB \I*ʁɔʁ\i 'crop, craw' (Gunz. \Iʁɔʁ,\i Bezht. \Iʁaʁ\i)."
360,"*muq̇",983,"throat",,,,,"ris-muq̇ (Khosh.)",,"    A compound with *rɨs: 'throat' q.v. Cf. also Bezht. Tl. ris-muq̇ id. Isolated in Bezht., but with probable external parallels."
361,"*q̇ʷVr",984,"1 crop, craw 2 throat",,"q̇ʷar-bašu 2","q̇ur-na (Radzhibov)","q̇ur 1",,,"    PTsKh \I*q̇ʷVr\i (the vocalism is not clear). Cf. also Inkh. \Iq̇ir-baji\i 'throat' (\Iq̇ir\i possibly as a result of contamination with another PTs root, cf. Tsez. \Iq̇en\i 'craw')."
362,"*baIjV",154,"throat, gullet","baIja",,,"q̇ir-baji",,,"    PTsKh \I*baIjV.\i Inkh. has a compound with \I*q̇ʷVr-\i 'craw, crop' q.v. (cf. also Bokaryov's notation: Inkh. \IbaIji\i 'throat')."
363,"*q̇ɔs:-q̇ɔs:u",985,"1 cartilage, gristle 2 throat, trachea",,,,,"q̇asq̇aṭo 2","q̇ɔsq̇ɔsu 1","    PGB \I*q̇ɔsq̇ɔsu.\i In Bezht. the reduplication was irregularly changed (the final syllable -su was replaced by a frequent expressive suffix *-ṭu > -ṭo)."
364,"*q̇əq̇ (~-i-,-ɨ-)",986,"throat, larynx",,"q̇eIq̇",,,,,"    An expressive root, attested only in Gin. (but cf. also PTs \I*qʷɨq\i and also Gunz. \Iqarqaču\i 'throat' - it is often difficult to cut a clear line between reflexes of expressive roots)."
365,"*-iš:-",1702,"to ripen",,,,,"iš-el-dal (Khaidakov)",,"   Attested only in Bezht., but having probable external parallels."
366,"*q̇in (~ -u-,-ɨ-,-ə-)",989,"crop, craw","q̇en",,,,,,"    Attested only in Tsez., but having possible external parallels."
367,"*beƛ A",990,"rennet, abomasum","biƛ","biƛ","beƛ (Radzhibov)","beƛ","beƛ (Khosh.)","beƛ","    PTsKh \I*beƛ,\i PGB \I*beƛ.\i"
368,"*cɔ̃ B",992,"colostrum, beestings","co (Kid.)","či","ce (Radzhibov)","cẽ","cã","caj","    PTsKh \I*cö̃;\i PGB \I*cã(j\i) (cf. also Bezht. Tlad., Khosh. \Ica\i). In PGB we would regularly expect \I*cɔ̃;\i -a- in Gunz. is probably a joint effect of nasalisation and the position before -j. The -j itself is taken from the oblique stem (Gunz. \Icĳa-,\i reflecting PTs \I*cɨ̃jV-\i)."
369,"*č̣iʁV",994,"small intestine","č̣eʁerĳo",,,,"č̣ič̣iꭓ","č̣ič̣iꭓ","    PGB \I*č̣ič̣iꭓ\i (with reduplication)."
370,"*ꭓɔṭVr B",996,"lung","ꭓoṭori","hiṭore","heṭona (Radzhibov)","heṭon",,,"    PTsKh \I*ꭓ̥1̇öṭor.\i"
371,"*bɔƛɔ",270,"large intestine",,,,,"baƛa","bɔƛɔ","    PGB \I*bɔƛɔ.\i"
372,"*ʔõc (~-ə̃-)",999,"knucklebone",,,,,"õc",,"    Attested only in Bezht., but having probable external parallels."
373,"*č̣[o]č̣Vr B",0,"cartilage, gristle","č̣oč̣ol-ba (Radzhibov)","c̣ec̣er-ba",,,,,"    The Gin. word has a plural suffix -ba. An expressive reduplicated form (with the same meaning we also have in Gin. \Iḳeḳel-ba\i and \Iḳeḳer-ba\i), thus not very reliable."
374,"*bɨ̃cu A",1003,"arm","mecu","mecu",,,"bico","bɨcu","    PTsKh \I*mɨcu\i (~-i-), PGB \I*bɨcu.\i"
375,"*ꭓ:[a]rV",51,"elbow",,,,,"ꭓaro (Tlad.)",,"    Although Bezht. Tlad. \Iꭓaro\i 'elbow' is hard to separate from Khosh. \Iharo,\i Gunz. \Ihɔru\i etc. (PTs \I*hɔru\i q.v.), it has to be done - because the consonantal correspondence ""Tlad. ꭓ- : h- in other languages"" is absolutely irregular."
376,"*mɔꭓV (~-ʁ:-)",215,"handful",,,,,"mäʁö","mɔʁu","    PGB \I*mɔʁu.\i"
377,"*q̇ej(V) A",1006,"1 palm of hand 2 handful (two cupped hands)","q̇Iĳu 1","q̇ĳu 1",,,"q̇i 2 (Tlad.)","q̇i 2","    PTsKh \I*q̇eju;\i PGB \I*q̇i.\i"
378,"*hɔru A",1007,"elbow","horu","horu","hal (Radzhibov)","hol","hajo","hɔru","    PTsKh \I*hoRu\i (with an unclear vocalic reflex in Khvarshi), PGB \I*hɔru\i (cf. also Bezht. Khosh. \Iharo\i)."
379,"*miḳVr",1009,"bundle",,,,,,"miḳar","    Attested only in Gunz., but having probable external parallels."
380,"*mɔqV (~-o-)",1010,"handful","moqIu",,,,,,"   Attested only in Tsez., but having probable external parallels."
381,"*mi[ƛ]u (~-ɨ-)",1011,"handful","meru","meƛu",,,,,"    A strange case of a -r-:-ƛ- correspondence between Tsez. and Gin."
382,"*ṭu A",181,"finger",,,"ṭu","ṭu",,,"    PTsKh \I*ṭu,\i obl. base \I*ṭuRa-\i (Inkh., Khvarsh. \Iṭula-\i) - preserving the old resonant."
383,"*baš:a (~-š-)",1015,"finger","baša",,,,,,"    Isolated in Tsez. (with only a possible Chech. cognate)."
