NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
369|*mahI|476|1 brain 2 marrow||maʔ||majä|mahI|||maj|maI|    For the obl. base cf. Tsakh. \ImahIɨ-.\i 3d class in Rut., Tsakh., 4th class in Arch. A similar root exists in Turkic languages, but the possibility of borrowing is excluded (first, because the root has secure correspondences in other Dagestanian languages; second, because in Turkish and Azeri - the possible source of borrowing - the word sounds \Ibejin\i).
370|*ꭓIɨ(m)ꭓI-|477|buttock|||||ꭓIɨdɨꭓI|||||    An isolated Tsakhur word. If it is regarded as a metathesis < \I*ꭓIɨꭓIɨ-d\i (with a suffixed -d), it can be derived from PD \I*ꭓɦwɨ̆mꭓV\i.
371|*läḳʷ-|469|palate|||leḳ-men|läḳʷa|||||| 3d class in Rut.
372|*neλ:ʷ-|441|placenta|gen|||nixrä||||||    For labialisation cf. Lezg. Akht. gʷen. Since evidence is rather scanty, the root is difficult to reconstruct. The original form must have been something like *neƛʷ; the Rutul form probably reflects an original plural (cf. Lezg. gener), while in Lezg. there occurred a metathesis.
373|*λ:aj|490|wool (of sheep)||xa|xej||xa|||oλ|ꭓa|    Obl. base \I*λ:ajɨ-\i (cf. Tab. \Ixaji-,\i Ag. \Ixeji-,\i Tsakh. \Ixajɨ-,\i Ud. \Iꭓaje\i "woolen"). Cf. also Ag. Fit., Burk. \Ixej\i (\Ixeju-\i), Bursh., Khud. \Iš:i,\i Tab. Düb. \Ixaj,\i Khür. \Ix:aj.\i 3d class in Tsakh.,but 4th class in Arch.     See Лексика 1971, 216.
374|*š:Vḳ- (~ š-)|492|1 sparrow 2 swallow|||bišiḳ 2|išḳi-l (Shin.) 1||||||    In Ag. the form is probably a contamination of \I*š:Vḳ-\i and \I*p:ič-\i 'swallow' (q.v.).
375|*q:ur|439|1 stalk 2 k. of grass 3 carrot (plant)|q:ur 1|ʁur / q:ur 1|ʁur 2|ʁur (Shin.) 1|ʁur 1|||qur 3||    Obl. base \I*q:ura-\i (cf. Tsakh. \Iʁuro-\i). 4th class in Arch. and Tsakh.
376|*q:aƛ:|352|scabbard, sheath|q:aʁ|ʁaš-ar|q:aj|q:aʁ|ʁag|q:ov||||    Cf. Lezg. erg. \Iq:aq:u-ni,\i Khl. \Iq:ak,\i Ag. Bursh. \Iʕaj-ar,\i Rut. Shin. \Iq:ag,\i Ikhr. \Iq:äj,\i Tsakh. (Tsakh.) \Iq:aʁ.\i The second consonant is undoubtedly *ƛ:, with uvular assimilation in some languages (Lezg., Rut., Tsakh.). 4th class in all class-distinguishing languages.
377|*qʷeša (~ *qešʷa)|452|strip of leather|||||qošä|||||    Isolated in Tsakh.,but with probable external parallels.
378|*š(ʷ)iλ:|501|large intestine; stomach (of a man)|||šix|||||||    Cf. also Ag. Bursh. \Išax:,\i Fit. \Išix.\i The world is isolated in Agul, but has reliable external parallels.
379|*maʔ(ʷ)|503|1 a sort of barley (голозерный ячмень) 2 wheat||meʔ-er 1 (Khaidakov)|meʔ-er 1|müʔür 3 (Ikhr.)||||||    Reconstruction somewhat dubious - the Tab. forms quoted only from Khaidakov 1973.
380|*ƛ:at:|504|corn|gad|gad||||||||    Obl. base \I*ƛ:at:ɨ-\i ~ \I*ƛ:at:e-\i (cf. Lezg. \Igat:u-\i). In Tab. the word is used only in \Igad aṗuz\i "to thresh, to winnow" (lit. "to make corn").
381|*ꭓor (~ -u-)|506|testicle|||ꭓur (Tp.)|||||||    The root is attested only in Ag., but has reliable external parallels.
382|*ḳäḳäl (~ -l:)|507|1 small stone, gravel 2 sheep's dung 3 dry clay|kḳal 1|ḳeḳel 1 (Düb.)||ḳäḳäl 2|ḳaḳalaj 1|ḳɨḳäl 1|ḳɨḳəl 3|||    Cf. also Rut. Khn. \Iḳɨḳal\i 'small stone' (the meaning "sheep's dung" in Luch. is obviously a result of contamination with PL \I*ḳälḳäṭ\i q.v.).     See Лексика 1971, 187; Хайдаков 1973, 72; Талибов 1980, 289.
383|*jimꭓ:|508|1 butter 2 milk 3 fat (on meat) 4 boiled fat|||jaꭓ 3||jɨꭓI 4|juꭓ 2|juꭓ 2|inꭓ 1||    Cf. also Ag. Burk. \Ijaꭓʷ\i 'fat (on meat)'. For PL *ꭓ: cf. Arch. erg. \Iinꭓ:i.\i 4th class in all languages. -n- in Arch. is the regular reflex of *-m- (in this position -n- lacks in Arch.). Pharyngealization in Tsakh. is not clear (probably secondary, since none of other languages reflects it).
384|*λVnV (~ λ:-)|511|butter|||||xɨńāĺ|||||    The form contains a suffix *-wal, cf. Tsakh. Gelm. \Ixɨńa-waĺ.The\i root is isolated within Lezgian, but has rather probable external correspondences.
385|*neIƛ̣:ʷ|514|field, cornfield|nik||||nek|nik|nik|||    Obl. base \I*neIƛ̣:ʷɨ-\i (cf. Lezg. \Iniḳi-,\i Tsakh. \Inek:ɨ-\i); cf. also Tsakh. Gelm. \InoIk\i (\InoIki-\i) which points to labialisation of *ƛ̣:ʷ and pharyngealisation in PL. 4th class in all class-distingushing languages.     See Trubetzkoy 1922, 241 (suggesting also a relationship with And. \I=eƛ̣:-\i  'to plough' - which is probably wrong, see PEC \I*=ērƛ̣̲V\i).
386|*sära (~ s:-)|516|1 soot 2 ashes||sirin 1||ser (Shin.) 1|sera 2 (Tsakh.)|||||    The Tab. form contains a frequent suffix -(i)n.
387|*c̣ʷar(a)|521|road metal, small stone||||c̣ʷar||||||    Cf. also Rut. Khnov. \Ic̣ar\i 'a long flat stone'. The root is isolated within Lezgian, but has probable external parallels.
388|*c̣at:(a), *c̣at:a-l|522|1 drop 2 dew 3 liquid|sṭal 1|c̣adal 1|c̣ar 2 (Tsirkh.)|||c̣adi 3||||    Lezg. \Isṭal\i is a reduced form from \I*c̣(a)t:al\i. Cf. also Tab. Düb. \Ic̣awul\i 'drizzle, drizzling rain', Ag. Bursh. \Ic̣aral\i 'dew'.
389|*hIemƛ̣(a) (~-ä-)|525|1 dream, sleep 2 in dream, while sleeping|||emḳ́ 1|||||miḳí-r 2||    Cf. also Ag. Tp. \Iʕemḳ\i 'dream'. This root should be kept strictly apart from PL \I*näwƛ̣\i 'dream' q.v.
390|*laꭓ: (~-ä-)|527|grain peelings||||||||laꭓ||    Cf. erg. leꭓ:i. An isolated Arch. word, but with good parallels in Lak. and Avar.
391|*λul|529|1 shivering, chill  2 prayer 3 hope|ful 1|||xul 2 (Shin.)||||λul 3||    The original meaning of the root had been 'wind' (cf. the external evidence), hence the divergent meanings ( > a/ 'cold, chill', b/ 'hope, prayer'). However, for the Arch. word borrowing from Av. or Darg. is not excluded.
392|*ʔeλ:a|531|1 evening 2 late||||ɨxə 2 (Khniukh.)|ex:a 1|||λ:e-t:u-t 2||
393|*=uš:|532|1 daughter 2 newborn daughter 3 newborn son|ruš 1|riš 1|ruš 1|rɨš 1|jɨš 1|riš 1|riž 1|diš-du-r 2||    Most Lezgian languages reflect only the feminine form \I*r-uš:\i (obl. base \Ir-uš:a-,\i cf. Lezg. \Iruša-,\i Ag. \Iruša-,\i Rut. \Irɨšä-\i); cf. also Tab. Düb. \Iriš:i,\i Ag. Bursh. \Iruš:.\i The only language that has preserved the old opposition between \I*r-uš:\i 'daughter' and \I*u̲-uš:\i 'son' is Archi (cf. Arch. \Iwiš-du\i 'newborn son'). Some languages have preserved, however, the archaic prefixless plural form \I*š:i-p:V\i (cf. Tab. pl. šu-bar, Ag. pl. ši-bar, Kryz. pl. ši-bi). [Not quite clear morphologically is Tab. \Išiw\i 'woman', perhaps corresponding to \I-š:e\i in Tsakh. \Ixuna-š:e\i id. It seems to contain a masculine class marker *-u, but has a feminine meaning.]     See Trubetzkoy 1922, 194; Лексика 1971, 109, 129; Гигинейшвили 1977, 120; Талибов 1960а, 294.
394|*c̣Vꭓ(:)V-|535|grey||c̣iꭓi||||||||    Cf. also Tab. Düb. \Ic̣uꭓi.\i The word is isolated in Tab., but has reliable external parallels.
395|*ḳVrḳVr (/*ḳVmḳVr)|540|1 bundle,bunch  2 skein,clew  3 lump 4 humming-top|kuḳ-ruꭓ 1|||||ḳɨrḳɨr 2||ḳemeḳəla 4|k:aInk:aIl 3|    An expressive root with somewhat irregular correspondences. In Ud. there exists also a variant \Ik:aInk:ul;\i cf. also \Ik:anak:\i 'skein, clew' ?
396|*s:(ʷ)V-rV|546|cold (n.)|||||||||sori|    The expedition materials on Rutul contain a word Rut. Luch. \Ijis-dɨ,\i Ikhr. \Ijiseji-d,\i Shin. \Ijis-dɨ\i 'cold' which could be related to the Udi word (cf. an  analogous relation between \I*jis:V-\i and \I*jis:V-rV-\i > \I*s:VrV-\i 'old, year' q.v.). But I strongly suspect that the meaning 'cold' here is a misspelling for 'old' and thus has nothing to do with the Udi form. This must be checked once more.    Nevertheless, the Udi word seems to have reliable external parallels and thus must be considered an archaism.
397|*c:or|547|glazed frost|c:ur|||||||||      An isolated Lezg. word, but having good external parallels.
398|*=iž|2293|(one)self|žuw (1-2 pers.)|ž̌uw (1-2pers.)||=iǯ|=iǯ|iǯ (2d cl.)||inž||    The stem originally referred only to the 1st/2d classes (the 3d and 4th had a separate reflexive pronoun), and this situation persists in Tsakh., although other languages have modified it in different ways.         The obl. base of this pronoun must be reconstructed as \I*žʷi-\i (1st cl.), \I*že-\i (2d cl.), cf. the Lezg. and Tab. forms (going back to the original oblique base) and Rut. \Iǯu-\i (1), \Iǯi-\i (2), Tsakh. \Iǯu-\i (1), \Iǯe-\i (2), Arch. \Ižu-\i (1), \Iže-\i (2).         See Гигинейшвили 1977, 114; Aлексеев 1985, 73-74.
399|*ʔič̣ʷä-|562|1 to come in, enter 2 to come out 3 to come down|eq:-eč̣- 2|u=č̣̌- 1|uč̣- 1|ä=č̣ʷa- 1|iḳ-e=č̣e- 1|q:ä=č̣- 2|ʕ-a=č̣- 1,3|č̣u- 1|b-aj- 1|    PL Ablaut \I*ʔič̣ʷä-\i / \I*ʔäč̣ʷä-.\i The first variant is reflected in Tab., Ag., Arch. (\Ič̣u-\i < \I*ič̣u-\i), cf. also Rut. \Ik-u=č̣-es/k-u=č̣ʷa-s\i 'to begin'; the second variant - in Lezg., Rut. (\Iä=č̣ʷa-s\i), Tsakh., Kryz., Bud. and Ud. (with regular loss of -č̣-), cf. also Arch. \Ia=č̣a-s\i (dur. \I=arč̣u-r\i) 'to hide'. The verb belongs to the strong conjugation and is used in all languages mostly in conjunction with locative preverbs.     See Гигинейшвили 1977, 82.
400|*ʔätʷa- / *ʔatʷa-|404|1 to beat 2 to smear 3 to crush|g-ata- 1|k-at- 2|uta- 1 (Bursh.)|=äta- 1|g-e=ta- 1|=ät- 1|at- 1|=āta- 3||    Cf. also Lezg. pret. \Ig-ata-na,\i Tab. Düb. \Ij-at-\i 'beat', \Ik-at-\i 'touch' ( > 'smear' in literary Tab.), Ag. Tp. \Iata-s\i 'beat', Bud. \Iq:-ut-\i 'to hit (repeatedly)', Rut. \Ik-ä=ta-\i 'to touch' ( = Tab. \Ik-at-\i), \Is-ä=ta=\i 'to throw'. Labialisation of PL *-tʷ- is suggested by the Arch. durative form \I =artu-r.\i Not clear are the reasons for *a/ä vowel alternation. The verb belongs to the weak conjugation in PL.     See Лексика 1971, 244.
401|*λäl(:)|1601|arrow|xel|||||||||    Obl. base \Ixile-;\i cf. also Khl. \Ixel\i (\Ixila-\i) id. Attested only in Lezg., but having probable external parallels.
402|*ʁu-|2305|demonstr. pronoun ('that (above)')||ʁu-mu||||||ʁu-du||    See Aлексеев 1985, 75.
403|*č:V|2273|not (negative particle)|-č|||ǯ-||||-ču-gu||    This particle forms the negative past in Lezg., general negative in Rut. and dubitative (in conjunction with another particle \I-gu\i) in Arch.    See Aлексеев 1985, 101.
404|*k:ar(a)|585|1 shell 2 sore, scab|k:ar 2|gar 1|gar 2 (Burk.)|||||||    Cf. also Ag. Bursh. \Iguru\i (with a *-j-suffix) 'scab; pimple' and, with reduplication, Kryz. \Igɨrgɨr\i 'boil, furuncle' (probably reflecting the Ablaut grade \I*k:or\i).
405|*liq̇Iʷ|587|eagle|leq̇|luq̇I|liq̇I|lɨq̇I||||liq̇I||    Cf. also Lezg. Khl. \IläIq̇,\i Tab. Düb. \Iluq̇Iu,\i Ag. Bursh. \Ilaq̇I,\i Fit. \Ilürq̇I\i (with a secondary -r-), Burk. \Ilaʡ,\i Tp. \Ileʡ,\i Arch. pl. \Iloq̇I-or.\i 3d class in Rut. and Arch.    See Талибов 1980, 307.
406|*k:ʷač:a|589|bitch|||||gože|||||    Cf. also Tsakh. Gelm. \Igʷaǯä.\i Isolated in Tsakh., but having good external parallels.
407|*ʡoč̣:an- (~-l-)|590|to wash||u=č:-|ʕuč:-|||||||    Cf. also Ag. Bursh. \Iʡülč:an-as\i 'wash', Tp. (Shaum. with a faulty notation) \Iʕüč̣anas\i id.
408|*ṭäIm:- (~ *ṭäIp:-)|592|butterfly||baIṭli (Düb.)||ṭäbäbäl||||||    The Düb. form is metathesized (\IbaIṭli\i < \I*ṭaIbli\i). Both *m: and *p: can be reconstructedon basis of Tab. and Rut. data; external evidence suggests *m:.
409|*ʔeƛ̣wV|594|1 to sing 2 to say, speak 3 to be silent||ḳ- 2|||e=ḳʷa-s 1|||ḳel-kes 3||    Archi reflects a derivate \I*ʔeƛ̣ʷV-l\i / \I*ƛ̣ʷV-l,\i attested also in Lezg. \Iḳel\i 'study, learning' ( > Ud. \Ik:al\i id.), Rut. Mishl. \Iq̇ɨla\i id.     In Arch. there occurred a secondary semantic development: 'be silent' < '*hear, understand'.
410|*ʔiλ:a-|595|learn, study||||||||λ:a-||    Isolated in Arch., but with good external parallels.
411|*ʔeλe|596|1 to put 2 put on (clothes) 3 write 4 bury; steal|k-xi- 3||ix- 1|l-i=xe- 1|g-ixe- 1|q:-ix- 2|q:-ɨx- 2|e=λa- 4|l-aꭓ- 1|    Cf. also Ag. Bursh. \Iiši-,\i \Iala-ši-\i 'to put'. All the diverse meanings in modern languages (cf. also Rut. \Il-i=xe-,\i \Iʁi-xe-\i 'to hit' = Ag. \Iʁa-jx-\i 'to throw, to winnow'; Ag. \Ik-ix-,\i Rut. \Ik-i=xe-\i 'to write' = Lezg. \Ik-xi-\i) are easily explained from the original meaning '*put'. Some languages (Lezg., Rut., Tsakh., Shakh-Dagh, Ud.) have preserved the root only with preverbs. The Auslaut *-e is reconstructed on basis of Lezg. (cf. also pret. \Ik-xe-na\i), Rut. and Tsakh. forms. Archi seems to point to a labialised Auslaut, cf. Arch. dur. \I=erλu-r\i - but this is obviously due to contamination with a similar root: Arch. \Ie=λ:a-,\i dur. \I=erλ:u-r\i 'put, lie' (see PL \I*ʔeλ:ʷɨ-\i).
412|*č̣ol:a|599|leather strip|č̣ul|č̣ul|č̣il|č̣il|č̣uwa|č̣il|č̣il|č̣ot||    Cf. also Lezg. Khl. \Ič̣ɨl,\i Tsakh. Gelm. \Ič̣iwa.\i Obl. base \I*č̣ol:ä-\i (cf. Tab., Ag. \Ič̣ili-\i and the Tsakh. Auslaut in -a). 3d class in Rut. and Tsakh., but 4th class in Arch. and Kryz. Not clear is Ud. \Ič:ōri\i id.     See Лексика 1971,215; Гигинейшвили 1977,69; Талибов 1980,301.
413|*k:ʷalč: (~-r-)|606|prong (of a rake)|||gʷarž|||||||    Isolated within Lezghian, but having good external parallels.
414|*moλ (~-u-,-λ:)|607|hornbeam||mux||||||||    In the Kand. dialect (field notes) the word \Imux\i means 'asp'. Apparently isolated within Lezghian, but having reliable external parallels.
415|*šat:-|610|worm||šad||||||||    Not very reliable: the Tab. form is quoted only in Лексика 1971, and there is no trace of the word in other languages.
416|*ʔič:ar-|611|1 to bake, roast 2 to boil|č:ra- 1|u=ǯ- 1|už- 1|ǯirǯe- 1|k-e=že- 1|ǯir- 2||čar- 1||    Cf. also Ag. Bursh. \Iuǯa-,\i Kryz. pres. \Iǯiǯri,\i imp. \Is-äǯir.\i Some of the forms are reduplicated (cf. Rut., Kryz. pres., Arch. imp. \Ičarača\i).     See Trubetzkoy 1930, 89; Лексика 1971, 247; Гигинейшвили 1977, 85.
417|*k:ʷɨrṭ- (~-l-?)|616|kidney|durḳun|gurdum|guṭul|ḳuṭun|ḳuṭun|ḳʷaṭin|ḳuṭun|gʷat||    Cf. also Lezg. Kur. \It:urḳun,\i Khl. \Ituḳun,\i Akht. \Iṭuḳun,\i Yark. \Idurgun,\i Tab. Kand. \Igurǯim\i ( < \I*gurdim\i), Ag. Bursh. \Iḳulṭum,\i Burk. \Iguṭaj,\i Arch. pl. \Igʷat:-ur.\i 3d class in all class-distinguishing languages.     The languages reveal suffixed forms with *-n (Lezg., Rut., Tsakh., Kryz., Bud.), *-m (Tab., Ag.), *-l,*-j (Ag.). The primary structure of laryngeal features (\I*k:ʷɨrṭ-\i) is probably retained in Ag. (\Iguṭ-ul,\i \Iguṭ-aj\i) and Lezg. Kur. (with metathesis \It:urḳ-un\i). Forms in other languages and dialects have underwent a progressive or regressive assimilation (rather typical for roots of this structure). The vocalism is quite regular (Arch. and Kryz. -a- and -u- in other languages unambiguously point to *-ɨ- aftera labiovelar).     The resemblance to Pers. \Igurde\i 'kidney' (see Horn 1893, 202 for its Indo-Iranian etymology) is quite fortuitous (although Ud. \Igurdak:\i 'kidney' is obviously borrowed from Middle Persian and not related to other Lezghian forms): the loan is improbable both for phonetic reasons and because of the root's reliable EC etymology.     See Хайдаков 1973, 41.
418|*ʔors(:)V|617|jump (from above)||urs-||||||||    Isolated in Tab. (cf. also Düb. \Iu=s-\i id.), but with probable external parallels.
419|*q̇Iʷaš/*šaq̇Iʷ|625|heel||š̌aq̇I|q̇Iʷaš|||||||    In Tab. \Iš̌aq̇I\i < \Išaq̇Iʷ\i with metathesis of labialisation; cf. also Tab. Khiv. \Išaq̇Iʷ,\i Ag. Bursh. \Iq̇Iuš,\i Burk. \Iʡašʷ\i etc. There is not enough information to establish the PL obl. stem.
420|*q:Iun|629|shoulder|q:ün|ʁIun|R̀un|ʁIun||qunä||qIun||    Unclear is q- in Kryz. (q:- should be expected). Cf. also Ag. Bursh. \IR̀un,\i Fit. \IʁIun,\i Burk. \IR̀an,\i Tp. \Iʕun.\i Obl. stem unclear (but not *-a, judging by Lezg. erg. \Iq:ünü,\i loc. \Iq:üne,\i Tab. \IʁIuni-,\i Ag. Bursh. \IR̀uni-\i); 4th class in Rut., Arch., 3d class in Kryz.     See Лексика 1971,122; Гигинейшвили 1977, 73, 85; Талибов 1980, 304.
421|*ʔalʁV-|630|1 to think 2 to understand||ʁawri š- 2|ʁaʔur-di arx- 2|||||arha-s||    The Tab. and Ag. compound verbs contain the old deverbal noun from the stem \I*ʔilʁV-\i > \I*ʁV-\i (with contraction). Cf. also Ag. Bursh. \Iʁawur-di arki-s\i 'to understand'.
422|*t:am[a]|636|1 wood, forest 2 river|t:am 1|||dam 1|dama 2|||||    Obl. base not quite clear (Lezg. \It:amu-\i and Rut. \Idamɨ-\i seem to contradict to Tsakh. \Idama\i). 4th class in Rut., but 3d in Tsakh. The original meaning was probably 'forest near the river-bank' (whence, on one hand, 'forest', on the other - 'river'); cf. the meaning of related forms in Darg. [It is not excluded that the old meaning 'edge' is preserved in Ud. \Idömbä\i 'corner, edge' - which otherwise has an obscure etymology. Cf. also Ag. Fit. \Idamb\i 'tomb-stone' which may preserve a rather archaic phonetic and semantic shape].
423|*ꭓIaw|638|collar|ꭓew|ꭓIaw|X̀aw|ꭓIɨw|ꭓIow (Mishl.)|||||    Cf. also Tab. Düb. \IꭓIaw,\i Lezg. Khl. \IꭓIäw,\i Ag. Bursh., Burk. \IX̀aw,\i Tp. \Iħaw.\i Obl. base \I*ꭓIowa-\i (cf. Lezg. \Iꭓiwe-,\i Rut. \IꭓIɨwɨ-\i - whence also the direct base \IꭓIɨw,\i Tsakh. \IꭓIowa-\i). 3d class in Rut. and Tsakh.     See Хайдаков 1973, 90.
424|*malq̇Iʷ|643|1 root 2 shoot, offspring; nail|||maIrʡ (Bursh.) 1|||||marq̇Iʷ 2||    Cf.also Ag. Burk., Tp. \ImaIrʡ,\i Fit. \ImarʔI,\i Ag. pl. \Imarq̇Ium.\i Arch. -r- before a back consonant points to PL *-l-. 3d class in Arch.
425|*p:ɨꭓ: ( ~ -o-,-ꭓ)|644|hoe, mattock|||||bɨꭓ, biꭓ|||||    The Tsakh. forms are quoted from Khaidakov 1973; the dialect is unclear.
426|*t:al|651|1 branch 2 long stick, pole 3 staff||||dal 1|dal 2,3|||dali 2||    Obl. base \I*t:alɨ-,\i cf. Rut. \Idalɨ-,\i Tsakh. \Idalɨ-.\i The root means also 'stalk', 'stick' or 'thick log' in different Rut. dialects. 3d class in Rut. and Arch., but 4th class in Tsakh.     See Лексика 1971, 196,162-163.
427|*mV[l]q̇IV|654|lizard||||maq̇Iawaq̇I||||||    An isolated and expressive Rut. form (possibly partially reduplicated), but with possible external parallels.
428|*q̇anṭa-j|655|dock-tailed|q̇anṭa|q̇anṭa||||||q̇anṭa||    The forms with q̇- are confined to Lezghian languages, thus the word can not possibly be a recent loanword from Av., Darg. or Lak.
429|*čirč-|656|1 lizard 2 worm|čurčul 1|čurčul 1||||čič 2|čič 2|||    Tab. and Lezg. have a frequent -Vl-suffix.
430|*t:iH-|657|odour, scent||||||||di||    4th class. The root is isolated in Arch., but has a possible Darg. parallel.
431|*marc̣|658|eagle|||marc̣|||||||    Isolated in Ag., but with probable external parallels.
432|*s:an|668|1 yesterday 2 yesterday night|sen-fiz 2||||san-xa 1|||s:an-ʁi 1||    The root is used only in compounds (with \I*ʡiš:ʷ\i 'night' > Lezg. \Ijif\i \I/sen-fiz\i < \I*sen-jifi-z/\i or \I*jiq:\i 'day' in Arch. /with exceptional development -q:- > -ʁ- in cluster/; with \I*ʔeλ:a\i 'evening, late' in Tsakh., cf. also Gelm. \Isan-ixa,\i Tsakh. prop. \Isanɨxa\i 'yesterday'.     See Лексика 1971, 194.
433|*ḳʷenṭ|669|lip||ḳʷanṭ|ḳenṭʷ (Bursh.)|||||ḳʷenṭ||    Cf. also Tab. Düb. \Iḳanṭa.\i See Бокарев 1961,62; Лексика 1971, 108; Гигинейшвили 1977, 81.
434|*q:Iol:|670|summer|||R̀ul|ʁIɨl-d|ʁIɨl|||qIit:-iq||    The Arch. form is originally locative ("in summer"); the primary noun has been also preserved, but vice versa - in locative function (\IqIit\i "in summer").      See Trubetzkoy 1930, 83; Лексика 1971, 190; Гигинейшвили 1977, 115.
435|*ʔe(r)ꭓ:ʷa|676|1 to stay 2 to drop behind, lose||||qiʁ-i=ꭓʷ- 2|a=ꭓ:ʷa- 1|||e=ꭓ:a- 1||    Cf. also Arch. dur. \I=erꭓ:u-r\i (preserving old labialisation). There are no Tab. or Ag. data (these languages preserve well the old Inlaut resonants), thus reconstruction of Inlaut *-r- is also possible. See Лексика 1971, 258.
436|*ʔʷerλ (~w-)|679|1 asp 2 maple|werx 1|werš 2||||||||    Cf. also Tab. Düb. \Iurš\i 'poplar'. Obl. base \I*ʔʷerλe-\i (\I*werλe-\i), cf. Lezg. \Iwerxi-,\i Tab. Düb. \Iurši-.\i
437|*ʔVc̣Vn-|690|dark, darkness|||||||||b-eIinq:|    Cf. also Ud. Vart. \Ib-ajinq:\i id. The PL reconstruction is highly hypothetical (since Ud. intervocal zero can reflect many PL consonants): it just means that the Ud. form can correspond to the other EC reflexes of \I*c̣VwnV-.\i
438|*jiq̇Iʷ|691|1 back 2 waist 3 middle 4 in the middle|juq̇ 2,3|juq̇I 2|iq̇I 3|jɨq̇I 1|jɨq̇I 1|jiq̇ 1,2|jiq̇-iǯ 1|iʁI-da 4|biʁI / bɨʁI 3|    Cf. also  Tab. Kand. \Ijiq̇,\i Düb. \Ijiq̇i,\i Ag. Bursh. \Ijiq̇I,\i Tp., Burk. \Ijaʡ,\i Fit. \Ijiq̇.\i Obl. base \I*jiq̇Iʷa-,\i cf. Lezg. \Ijuq̇ʷa-,\i Tab. \Ijuq̇Iʷa-,\i Tsakh. \Ijɨq̇Ia-.\i Ud. \IbiʁI\i < \I*wiq̇I\i < \I*jiq̇Iʷ.\i 4th class in all class-distinguishing languages. Cf. also derived adverbs: Tsakh. \Ijiq̇Ia-l,\i Tab. (with reduction) \Iq̇Ia-la-qI\i 'behind' (lit. 'on the back'); Arch. \Iq̇Ia-na-k\i ( < \I*jiq̇Iʷa-na-k\i) 'inside', Kryz. \Ijiq̇-iče\i id. (perhaps also Ud. \Ibo-š\i < \I*bɨʁIo-š\i 'inside').     See Лексика 1971, 126; Талибов 1980, 307.
439|*ʔeca|694|roast (grain)||u=c-|uc-|=isa-|q-e=c-|ʕa-js-|q:-as-|sesa-||    In Arch. the root is reduplicated; the Tsakh., Kryz. and Bud. forms contain preverbs. The original meaning was probably broader, cf. the derived adjective: Tab. \Iurc-ru\i (Kand. \Ije-cru,\i Düb. \Ire-cüri\i), Tsakh. Gelm. \Ihicca-ꭓa-ń\i (with expressive gemination) 'hot'.
440|*ʔac:a-|702|to milk|ac:a-|az-|uz-|=äz-|ǵ-a=z-|=äz-|s-oz-|=ac:a-||    Cf. also Lezg. pret. \Iac:a-na,\i Ag. Bursh. \Iuza-s.\i The verb belongs to the weak class.     An old derivate of this root is PL (\I*ʔac:är\i >) \I*c:är\i 'cow', reflected in Rut. \Izär\i (\Izírɨ-\i), Tsakh. \Izer\i (\Izera-\i), Kryz. \Iʒar\i (\Iʒɨr-\i), Al. \Izar\i (\Izɨr-\i), Bud. \Izar,\i which is identic to Bacb. \I-ettar\i 'milch cow'.     Another deverbal noun is (\I*ʔac:al\i) > Ag. \Iazal\i "enclosure for milking sheep" ( = Av. Chad. \Iʕenžer\i).     See Бокарев 1961, 69; Лексика 1971, 246; Гигинейшвили 1977, 84.
441|*ṭi-leḳ (?)|703|fruit stone|||||ṭiliḳ|||||    Probably an old compound; but although the second part (\I-liḳ\i) has a fairly good external etymology, the first part is not quite clear (cf., perhaps, PL \I*ṭi-\i 'small' ?).
442|*q̇am, *q̇am-č̣al|707|1 plait 2 forelock, mane 3 cap 4 parting (of hair)|q̇eč̣em 4|||q̇amč̣äl 1|q̇amč̣ele 1||q̇emelči 3|q̇am 2||    The Lezg. form is a metathesis. The pure root is preserved only in Arch. (which also has an etymological doublet: \Iq̇ama-t:u\i 'women's hair' - probably borrowed from Lak. or Darg.); all other languages reflect a suffixed form. The word belongs to the 3d class in all class-distinguishing languages.
443|*š:aꭓ:ʷ-|714|rusty, be rusty||||||||š:aꭓʷ- (-ꭓ:ʷ-)||    Isolated in Arch., but having probable external parallels.
444|*ħem(a)|718|arm, wing|||||||||aIm|    An isolated Ud. word (the PL reconstruction is therefore only tentative), but with possible external parallels.
445|*q̇ʷVl(:)-|719|in one's bosom|q̇ula-k|||||||||    Isolated in Lezg., but obviously archaic. Cf. also the derivate of the same root: \Iq̇ulaš\i 'compass (of both arms)'.
446|*kʷanč̣(a)|722|paw||||kʷanč̣||||||    Obl. base \Ikʷanč̣ä-.\i Isolated within Lezghian, but having reliable external parallels.
447|*palq̇Iʷ|724|burdock|penq̇ʷ|parq̇Iʷ|parq̇Iʷ|paq̇Iʷal (Khnov.)|panq̇Iale (Gelm.)||peq̇|||    Cf. also Tab. Kand. \Ipalq̇Iʷ\i 'young burdock', Düb. \Ipilq̇i\i - these forms clearly demonstrate the original quality of the Inlaut resonant. The Rut. and Tsakh. forms reveal a partial contamination with PL \I*parq̇:ul:\i q.v. 3d class in Rut., Tsakh. and Bud.
