NUMBER|PROTO|PRNUM|MEANING|ABK|ABA|ADG|KAB|UBK|COMMENT
145|*(pǝ)λˊA|579|look|a-pš-raˊ|pš-raˊ|pλa-n|pλa-n|pλa-|    PAT \I*pǝšǝ-\i (goes back to a form \I*pǝλˊʷǝ-\i with original labialisation, see below). PAK \I*pλa-;\i there exists also an intransitive (objectless) stem \I*pλǝ-\i in Ad., Kab. \Ija-pλǝ-n.\i Ub. 1 p. \Isǝ-pλaˊ-n.\i     It is most probable that the same root is present in PAK \I*λa-ʁʷǝ-\i 'to see' (Ad. \Iλa-ʁʷǝ-n,\i Kab. \Iλā-ʁʷǝ-n\i), although the second component is not quite clear. This would be an additional argument in favour of the historical prefixed nature of *p-.
146|*ƛ:ˊʷǝlA|82|1 seed 2 kin, clan 3 village, people, society|aˊ-žˇla 1,2|žʷla 1|čˊǝLa 3|žǝLa 1,3|ǯˊǝjǝ 1|    PAT \I*žʷǝla\i (cf. also Bz. \Iaˊ-žˇla\i). The root means both 'seed' and 'clan, kin' in Abkh.; in Abaz. cf. \Ižʷla-ra\i 'people, village, society'. PAK \I*č:ˊǝLaˊ.\i The root also means both 'seed' and 'people, village' in Kab., but in Ad. it preserved only the more abstract meaning. In the natural sense ('seed') the root is preserved in Ad. within the compound \IčˊǝLā-pχ\i 'seeds, seed stock' (etymology of the second component see under \I*pǝ˜χʷǝ\i).
147|*tˀʷV|757|1 sit 2 sit down|a-tˀʷa-raˊ 1|čˀʷa-ra 1|tˀǝ-sǝ-n 2|tˀǝ-sǝ-n 2|tˀʷa-s- 2|    PAT \I*tˀʷa-;\i PAK \I*tˀǝ-sǝ-;\i Ub. 1 p. \Isǝ-tˀʷaˊ-sǝ-n.\i In AK and Ub. - a compound with the second component \I*sǝ\i q.v. (in Ub. cf. also the plural form \Itˀʷa-žʷa-\i with another second component).
148|*baqˀIʷǝ|691|place between hips; interval|||baq:ʷ|baq:ʷ||    PAK \I*baˊq:ʷǝ.\i Since only the PAK form is available (parallels from other WC languages are not reliable), the reconstruction is rather tentative (an intensive or non-pharyngealised uvular may be reconstructed as well) and based mostly on external evidence.
149|*ƛ:ʷA|337|sleep|aˊ-čˇa|čʷa|čǝja|žej|cʷa|    PAT \I*cʷa\i (also a verb: Abkh. \Iaˊ-cˇa-ra,\i Abaz. \Ičʷa-ra\i). PAK \I*č:ǝ-jaˊ\i (etymology of \I-ja\i see under \I*ja;\i also a verb: Ad. \Ičǝja-n,\i Kab. \Ižejǝ-n\i). Ub. def. \Ia-cʷaˊ\i (also a verb: 1 p. \Isǝ-cʷaˊ-n\i).
150|*xʷǝčˀˊǝ ?|759|small|a-χwčˀˊǝˊ|||||    Isolated in Abkh. (cf. also Bz. a-xʷčˀˊǝˊ); etymology obscure.
151|*čˀˊǝkˀʷǝ|760|1 young boy, youngster 2 small|aˊ-čˀˊkˀʷǝn 1|čˀˊkˀwǝn 1,2||||    PAT \I*čˀˊǝkˀʷǝ-nǝ\i (with a rather frequent suffixed -nǝ). In Abaz. variations: \Ičˀˊkˀʷǝn\i in the Russian-Abaza dictionary, but \Ičˊkˀʷǝ-n\i in Abaza-Russian (both forms are probably now in free variation). Despite Rogava and Shagirov (see Shagirov 2, 125) can not be related to PAK \I*cˀǝkˀʷǝ\i 'small' (PAT *čˀˊ never corresponds to PAK *cˀ).
152|*(a)gʷǝ|384|small|||||agʷǝˊ|    In Ub. two roots are usually confused: (a)gʷǝˊ 'small' and gʷǝ- 'to grind' (q.v.); see Vogt 129 about this distinction. The root 'small' seems to have no correlates in WC languages, but has possible parallels in EC.
153|*ʁʷV|294|smoke|aˊ-l-ʕʷa|lʕʷa|ʡʷǝ-ʁʷ|ʡʷǝ-ʁʷa|ʁʷa|    PAT \I*lǝ-ʕʷa\i (for the etymology of *lǝ- see \I*Ła\i). PAK \I*ʡʷǝˊ-ʁʷa\i - a compound with an unclear first component. Resemblance to PWC \I*ʁʷa\i 'yellow' is of course quite coincidental (despite Шагиров 2, 161).
154|*gǝ|761|1 to stand 2 to stand up 3 upon smth. (preverb)|a-gǝˊ-la-ra 1|gǝ-la-za-ra 1|ta-ǯˊǝ-n 2|ta-ǯǝ-n 2|gˊǝ-|    PAT \I*gǝ-la-\i (*-la- is a locative verbal root indicating direction of action). PAK \I*ta-gˊǝ-\i (the meaning of the first component is not quite clear - see Шагиров 2, 69 on its possible etymology).     In Ub. the preverb \Igˊǝ-\i is used to indicate that the action is taking place on surface of smth. (\Igˊǝ-s-\i 'sit upon smth.', \Igˊǝ-tʷ-\i 'be upon smth.' etc.). There are reasons to think that the root \I*gǝ\i had had this function already in PWC (cf. the common WC compound \I*gA-LA-\i 'to fall (from above, from the surface) q.v.).
155|*tV|762|1 to be inside 2 to stand 3 to be|-ta-/-t(ǝ)- 1|-ta-/-t(ǝ)- 1|wǝ-šˊǝ-tǝ-n 2|sˊǝ-tǝ-n 2|t(ǝ)- 3|    PAT \I*tV-\i 'to be inside' (also used as a preverb), cf. Abkh. \Ia-taˊ-la-ra\i 'enter', Abaz. \Ita-l-ra\i id., \Ita-pa-ra\i 'jump inside' etc. The root is used also as a noun stem in \I*tV-ra\i 'place where' (Abkh. \Ia-t-raˊ,\i Abaz. \Ita-ra\i ).         PAK \I*tǝ-\i (usually with preverbs) 'be, stay, stand'; also used as a preverb "upon the surface of smth.".     In Ub. the root \I-t(ǝ)-\i is used as a variant of \Itʷǝ-\i 'to be' in some forms (see Vogt 16, 194); historically these are two quite different roots (see PWC \I*pˊǝ-\i).
156|*pˊǝ|763|be|-pˀ|-pˀ|||-tʷ(ǝ)-|    PAT \I*-pˀǝ\i is used as a common suffixed root denoting present tense of static verbs and future tense of dynamic verbs. Glottalisation is here probably secondary - because of standard reduction of final -ǝ and neutralisation of laryngeal features in final position.     Ub. \I-tʷ(ǝ)-\i is a general verbal root ('to be, to be there') used with all kinds of preverbs.     In AK we would expect *-t- to correspond to Ub. tʷ; it seems probable that the two general PWC verbal roots, \I*tV\i and \I*pˊǝ,\i merged in PAK \I*tǝ-\i (see \I*tV\i).
157|*cˀʷa (/*cʷa)|357|1 star 2 sky|aˊ-ječˀˇa 1|jačˀʷa 1|wā-sˇa 2|wā-fa 2|cˀwa(n)kˀˊ 1|    PAT \I*ja-cˀʷa;\i Ub. \Icˀʷa(n\i)-kˀˊ with the old singulative suffix *-kˀǝ (q.v.). Vogt lists also the variant \Ijacʷa\i (with secondary loss of glottalisation). In PAK the roots 'star' and 'sky' (\I*zʷA\i q.v.) had "changed places": \I*-sʷa\i (going back to \I*cʷa\i with loss of glottalization like in Ub.) meant originally 'star', but lost this meaning in the compound \I*wa-sʷaˊ\i (where \I*wa-\i means 'sky' by itself, see \I*wa\i).
158|*zʷV|134|1 sky 2 star|aˊ-žˇ-ʕʷan 1|žʷ-ʕʷand 1|zˇā-ʁʷa 2|vā-ʁʷa 2|zʷa 1|    PAT \I*zʷǝ-ʕʷa-nǝ\i (the final -d in Abaz. is secondary). -nǝ here is a common nominal suffix, and \I*zʷǝ-ʕʷa\i corresponds exactly to PAK \I*zʷa-ʁʷaˊ.\i Ub. def. \Iaˊ-zʷa.\i     The meaning 'star' of PAK \I*zʷa-ʁʷaˊ\i is obviously secondary (it was acquired after the original 'star' morpheme, \I*-cʷa,\i shifted to 'sky' in the compound \I*wa-cʷa\i - see \I*cˀʷA;\i the two roots have thus "changed places" in PAK). Abdokov  (1983, 93) compares the AT and AK forms with PAK \I*žˊǝ\i 'wind, air', which is  improbable for phonetic reasons (see PWC \I*ɣˊǝ\i).
159|*χˊaq:ʷǝ|764|stone|χaħw|ħaqwǝ||||    PAT \I*ħaqʷǝ\i (Abaz. \Iħaqʷǝ\i) / \I*qaħʷǝ\i (Abkh. \Ia-χaˊħʷ,\i cf. also Bz. \Ia-χaˊħʷ\i). Since there are no AK and Ub. data, the PWC reconstruction is only tentative.
160|*mǝzʷa|765|stone|||mǝzˇa|mǝva||    PAK \I*mǝzʷaˊ.\i See Шагиров 1, 271 with criticism of "folk etymologies" of this root.
161|*Łˊaq:ˊa ?|766|stone|||||Laqˊaˊ|    An isolated Ub. word with obscure etymology.
162|*(mV)-rǝʁa|99|sun|aˊ-mra|mara|tǝʁa|dǝʁa|ndʁa|    PAT \I*mAra;\i PAK \I*t:ǝʁaˊ;\i Ub. def. \Iaˊ-ndʁa.\i     PAT and Ub. show traces of a nasal prefix (cf. 'fire' etc.). In PAT \I*mArAʕa\i would be expected: we may suppose that the final *-ʕa was reinterpreted as the beginning of the following verb in frequent phrases like Abaz. \Iamara ʕacˀcˀitˀ\i 'sun goes up', \Imaraʕačkˀarǝcˀra\i 'sunrise', \Imaraʕašǝrta\i 'blazing sun' etc. Other ways of relating AT forms to AK (see Шагиров 1, 153 with literature) are probably faulty.     The relationship of PAK \I*t:ǝʁaˊ\i 'sun' and \I*t:ǝʁʷaˊ-sa\i 'yesterday' (Ad.  \Itǝʁʷās,\i Kab. \Idǝʁʷāsa\i) may be considered, but still remains questionable (see  the discussion in Shagirov 1, 154, Abdokov 1983, 100-101).
163|*mVqˊ:a|304|1 arm 2 bosom||maqa 1|||mǝqˊaˊ 2|    Somewhat problematic (semantically) is the position of Abkh. \Iaˊ-maχa\i 'hip, thigh' (which phonetically is a perfect match for Abaz. \Imaqa\i).
164|*ʒˊV-|767|swim|aˊ-ʒ-sa-ra|ʒ-ca-ra|||ʒˊa-sˊaˊ-|    PAT \I*ʒˊǝ-sˊa-\i (cf. also Bz. \Iaˊ-ʒˊ-sˊa-ra\i). The morpheme is present only within a compound (see \I*sˊV-\i). It must be kept separate from \I*p-ʒǝ\i 'water' q.v.
165|*cˀǝq:ʷa|678|tail|a-cˀǝˊχwa|cˀǝqwa||||    PAT \I*cˀǝqʷa\i (cf. also Bz. \Ia-cˀǝˊχʷ\i).
166|*kˀa (~ *kˀˊ-)|480|tail|||čˀˊa|čˀa||    PAK \I*kˀa.\i No reliable parallels within WC, but some possible external correlates.
167|*kˀʷačˊa|459|tail|||||kˀʷačˊaˊ|    Isolated in Ub., but with possible external parallels.
168|*kˀˊʷakˀˊǝ|968|corner|a-kˀʷaˊkˀˊ|||||    The root is attested only in Abkh., but has probable external parallels.
169|*nV|2312|a demonstrative stem|(a)-ni|(a)-ni|na-|na-|n-|    A demonstrative stem, primarily adverbial with far deixis, but also used in some other functions. In AA cf. Abkh. \Ia-naˊ\i 'there', \Ia-ni\i (\I*a-nǝ-jǝ\i) 'that' etc.; also used as a preverb \Ina-\i 'there' (directive). It is possible that the 3d person pronominal prefix \In(a)-\i (in some verbal forms) in Abkh. and Abaz. also goes back to the same root.     In AK the stem has survived only as a preverb \I*na-\i (Ad., Kab. \Ina-\i) with exactly the same functions as in AA.     Finally, in Ubykh the only traces of this morpheme are the pronominal prefixes of the 3d person \In-\i (sing.), \Inā-\i (plur.), obviously related to the corresponding AA prefix \I*n(a)-\i.
170|*bǝ|2308|a demonstrative stem|a-b-|a-b-||(ā)-bǝ||    PAT \I*(a)bǝ-\i - an approximating deictic particle (Abkh. \Iab-ni\i "that (nearer than \Iani\i)", Abaz. \Iabani\i id. etc.). In AK the particle has survived only in Kab. within the pronoun \Iā-bǝ\i 'that'.
171|*da|2304|a demonstrative stem|-da|-da|-da|-da|(aj)-da|    Dumeˊzil (1932, 120) relates Ub. -da in \Iaj-da\i 'that, another' (cf. also -da- in \Imā-da-kˀˊa\i 'where') to Abkh. -da in \Iaˊ-la-da\i 'down', \Iaˊ-ʕʷa-da\i 'above' ( < PAT \I*-da,\i cf. Abaz. \Iʕʷa-da\i 'ascent, climbing'). While this may be true, we would also adduce the AT pronominal (agentive) prefixes of the 3d person singular and plural (\I*dǝ-\i > Abkh., Abaz. \Id(ǝ)-\i) and probably also the 3d person plural pronoun \I*da-ra\i 'they' (Abkh. \Ida-raˊ,\i Abaz. \Ida-ra\i).     In AK the stem is preserved in \I*a-daˊ\i  'there' (Ad., Kab. \Iāda\i); cf. also Ad. \Itǝ-da\i 'where' and the PAK locative preverb \I*da-\i (Ad., Kab. \Ida-\i). See Шагиров 1, 57.
172|*mǝ-|2311|demonstrative pronoun|||mǝ|mǝ||    PAK \I*mǝ-\i 'this', \I*mǝ-wǝ-\i 'that'. Although Ub. and AT have lost this morpheme, it is obviously archaic and has good parallels in EC.
173|*jA|2309|a demonstrative stem|ja-raˊ|ja-ra|jǝj|jǝ, jej|jǝ-|    In PAT used as the 3d p. pronoun \I*ja-ra\i 'he'; cf. also \I*jǝ\i (Abkh. \Ij(ǝ)-,\i Abaz. \Ij(ǝ)-\i the verbal prefix of the 3d person) and *-jǝ within complex demonstrative stems (\I*a-nǝ-jǝ\i 'that', \I*a-rǝ-jǝ\i 'this' > Abkh., Abaz. \Iani,\i \Iari\i etc.).     In AK the root functions as the 3d p. possessive prefix (\Ijǝ-\i 'his'), see Шагиров 1, 180.     In Ubykh \Ijǝ-\i is the demonstrative pronoun expressing near deixis ('this'); the same morpheme is probably used as a personal prefix of the 3d p. pl.
174|*nanV|272|1 mother, mummy (tend.) 2 old woman,granny (tend.)|nan 1||nān 1|nāna 2|naˊn(a) 1|    PAK \I*naˊna.\i
175|*wA|2285|thou (2d p. pr.)|wa-raˊ|wa-ra|wa|wa|wǝ-ʁʷaˊ|    PAT \I*wa-,\i PAK \I*wa.\i
176|*bǝzˊA|102|1 tongue 2 language|aˊ-bz 1|bzǝ 1|bza 2|bza 2|bzˊa 1|    PAT \I*bǝzǝ\i (cf. also Bz. \Iaˊ-bz\i). PAK \I*bza\i 'language'; in the meaning 'tongue' PAK employed a compound \I*bza-gʷǝˊ\i (lit. 'tongue's center') > Ad. \Ibzagʷǝ,\i Kab. \Ibzagʷ.\i In Ub. the variants \Ibzˊa\i and \Ibza\i coexist, the latter being obviously loaned from AK.
177|*c:A|104|1 tooth 2 fang, canine tooth|aˊ-c 2|pǝ-c 1|ca 1|ʒa 1|ca-kˀˊǝˊ 1|    PAT \I*cǝ\i (the pure root is preserved in Abkh. \Iaˊ-c,\i Bz. \Iaˊ-c\i 'fang'; the meaning 'tooth' is being rendered by the compound \I*pǝ-cǝ\i lit. "front tooth" > Abaz. \Ipǝ-c\i or \I*qA-pǝ-cǝ\i lit. "head's front tooth" > Abkh. \Ia-χa-pǝˊ-c\i (Bz. with secondary voicing \Ia-χa-bǝˊ-c\i).     PAK \I*c:a.\i In Ub. the element -kˀˊǝ is an original singularity marker.
178|*cˀǝla|769|tree|aˊ-cˀla|cˀla||||    PAT \I*cˀǝla\i (cf. also Bz. \Iaˊ-cˀla\i). Abdokov (1983, 133) proposes a connection with \Ia-cˀiˊā\i 'vegetation', thus suggesting a root \I*cˀǝ-;\i however, accentology speaks against this analysis.
179|*č:ˊʷǝ|345|tree|||čǝ-ɣǝ|žǝ-ɣ||    PAK *č:ǝˊ-ɣǝ 'tree'. Shagirov (1, 196) is certainly right in treating the component -ɣǝ as 'seed' (see *ŁˊA) and establishing the original meaning of the compound as "acorn". Cf. also PAK *č:ǝ-ɣa-jǝ "oak-tree" (Ad. čǝɣāj, Kab. žǝɣej). However, the root *č:ǝ can not be related to Abkh. a-ǯˊ 'oak-tree' for phonetic reasons; the latter is rather connected with PAK *pč:ˊV 'plane-tree' q.v.
180|*ʁʷǝnǝ|346|tree|||||ʁʷǝnǝˊ|    Isolated in Ub. with the only possible parallels in EC (despite Dumeˊzil 1932,124 the root has nothing to do with PAK \I*wǝna,\i PAT \I*ʕʷǝnǝ\i 'house').
181|*tqI:ˊʷA|2315|two|ʕʷ-baˊ|ʕʷ-ba|tˀʷǝ|tˀʷǝ|tˀqˀʷa|    PAT \I*ʕʷǝ;\i PAK \I*tˀʡʷǝ\i (for the initial cluster cf. Ad. Khakuch. \Itˀqˀʷǝ\i).
182|*cˊa (~*č-)|770|to go, walk|a-ca-raˊ|ca-ra||||    PAT \I*cˊa\i (cf. also Bz. \Ia-cˊa-raˊ\i). The verb can also be used with a causative meaning (Abkh. \Ia-t-ca-raˊ,\i Bzyb. \Ia-t-cˊa-raˊ\i 'to drive out, expel' etc.). It is somewhat suspicious that the causative form does not have the usual causative prefix -r(ǝ)- in Abkh.: this could mean that we deal here in fact with a different verbal root, which could be compared to PEC \I*=VcˀV\i 'to drive' (q.v.).
183|*bǝčˀˊǝ|974|1 measles 2 scarlet fever 3 navel|a-bčˀˊǝˊ 1|bčˀˊǝ 1|nǝbǝǯˊ 3|bǝnža 3|bǝčˀˊǝˊ 2|    The original meaning is clearly 'spot(s)', whence a) 'measles' or 'scarlet fever', b) *'spot of the belly' > 'navel'. PAT \I*bǝčˀˊǝ;\i PAK compound \I*nǝba-bǝǯˊa\i (*ǯˊ instead of *čˀˊ as a result of assimilation) "belly-spot" > \I*nǝbǝˊǯˊa\i / \I*bǝˊnǝǯˊa.\i Despite Shagirov 1977, 103-104, we can not reconstruct in PAK \I*nǝba-gˊa\i "belly+bad" - primarily because Ad. ǯˊ : Kab. ž point only to PAK *ǯˊ (not *gˊ).         The Adygh words were borrowed in Abaz. (\Ibǝnǯˊa\i "navel") and Ub. (\Inǝbǝˊǯˊ\i "navel").
184|*pǝλV|771|1 warm 2 to boil|aˊ-pχa 1|pχa 1|pšˊ-ta-n 2|psˊ-tǝ-n 2|psˊǝ 1|    PAT \I*pǝxa\i (cf. also Bz. \Iaˊ-pxa\i). The AK form raises some problems: it may be treated on Adygh ground as a contraction of \I*pš:ˊǝ-ta-\i (cf. \I*pš:ˊǝ-\i 'to swell up'), see Kuipers 1975, 92, Shagirov 2,34. In this case it does not belong here. Cf., however, Kab. \Ipsˊtǝ-r\i 'hot' and AK \I*pšˊa-\i 'to cook' which could also serve as basis for \I*pšˊ(ǝ)-tA-\i. We prefer (for the time being) the second hypothesis, although it is rather probable that a contamination occurred in the PAK derivate.         PAK \I*pšˊa-\i 'cook' is reflected in Kab. \Ipsˊa-f˔a-\i 'cook (v.)', \Ipsˊā-f˔a\i 'cook (n.)', Ad. \Ipšˊa-rǝħ\i (Bzhed. \Ipšˊarāħǝ\i) 'cook; young man serving elder', \Ipsˊa-rǝħa-\i 'cook (v.)' (suffixes are not quite clear both in Ad. and Kab.).
185|*λˊʷV|168|1 to boil 2 warm|a-š-raˊ 1|š-ra 1|fā-ba 2|xʷā-ba 2|šʷa-daˊ- 1|    PAT \I*šǝ;\i PAK \I*xʷa-baˊ.\i Shagirov (2,106) takes from Ubykh another root: \Išˊa-\i 'to be hot'. However, Ub. šˊ can not correspond to PAK *xʷ, while Ub. \Išʷa-daˊ-\i is a perfect match for both AA and AK forms.     It is probable that Ub. \Išˊa-\i 'be hot' goes back to another PWC root, \I*šˊV\i (\I*š:ˊV\i) which is not reflected in PAK, but in PAT merged with \I*šǝ\i < \I*λˊʷA.\i This seems probable because the Abkh. root means both 'boil' and 'become hot'.
186|*bzǝ|858|1 water 2 juice|a-ʒǝˊ 1,2|ʒǝ 1,2|psǝ 1|psǝ 1|bzǝ 1|    PAT \I*ʒǝ\i (cf. also Bz. \Ia-ʒǝˊ\i); PAK \I*psǝ;\i Ub. def. \Ia-bzǝˊ.\i Shagirov (2, 16) suggests that PAT \I*ʒǝ\i should be separated from the AK and Ub. forms and prefers to compare them with PAT \I*p(ǝ)sǝ\i '*water,*river' (reconstructed on hydronymic evidence). There exists indeed a PAT root \I*pǝsa\i 'to become wet, soak' (e.g. Abaz. \Ipsa-ra\i id., Abkh. (a-ʒǝˊ) \Ia-psaˊ-la-ra,\i Bz. (a-ʒǝˊ) \Ia-psǝˊ-la-ra\i 'throw into water') which could be compared with PAK \I*psǝ\i ( - but not with voiced bz- in Ub.!). Still it is very hard to separate the AA root \I*ʒǝ\i from Ubykh (with which it correlates even in what concerns accent), and the Ubykh one from AK. We think that in PAK there could have occurred a contamination of two original roots: \I*bzǝ\i 'water' and \I*pǝsǝ\i 'river; liquid' - this would be the best explanation of the whole situation.     Abdokov (1983, 185) compares PAT \I*ʒǝ\i with PAK \I*p:c:a-\i in \I*p:c:a-n-tħaˊ\i "glue" (Ad. \Ipcāntħa,\i Kab. \Ibʒāntħa\i). This would be fine in view of the EC data, but Shagirov (1, 81) is probably right in treating \I*p:c:a-n-tħaˊ\i as "fish glue" (with \I*p:c:a\i "fish").
187|*χa|773|we|ħa-raˊ|ħa-ra||||    PAT *ħa. Despite Dumeˊzil 1932 there can be no connection with PAK *t:a or Ub. šˊǝ- 'we'.
188|*t:a (~*r-)|774|we|||ta|da||    PAK *t:a. Despite Dumeˊzil, no connection can exist between PAK *t:a and PAT *ħa or Ub. šˊǝ- 'we'. Etymology unclear.
189|*šˊǝ|2287|we|||||šˊǝ-ʁwaˊ|    The Ub. 1st p. pl. pr. is the only one which has reliable EC parallels (the EC exclusive 1st p. pl. pr.); despite Dumeˊzil 1932, PAT \I*ħa\i and PAK \I*t:a\i have no connection with it.
190|*-a|2295|what, who (interrogative stem)|-a(-)|-a(-)||||    In Abkh. the meaning of interrogative pronouns is normally expressed by verbal suffixes -da ('who'), -j ('what'). Since d- and j- are class markers  (animate/unanimate respectively), the only morpheme to which we can ascribe the interrogative meaning is -a (probably reduced in *-ja > -j). The same morpheme can be seen in \I-a-ba-\i 'where' and independent pronouns \Id-a-rban\i 'who', \Ij-a-rban\i 'what' (the -rban suffix is not very clear etymologically - perhaps it contains the root \I*-ba-\i 'to see' q.v.?). In Abaz. the situation is analoguous - only in the function of independent pronouns we have \Id-začˀʷǝ-j-a\i 'who' and \Ij-začˀʷǝ-j-a\i (or \Iačˀʷǝja\i) 'what'. These are derived (by suffixing the same hypothetic interrogative morpheme *-a) from \Id-začˀʷ,\i \Ij-začˀʷ\i 'each'  (\Iačˀʷ\i probably had also existed) where \I-začˀʷ\i = Abkh. \I-zacˀˇǝ\i 'single' (from \I*zA\i 'one').
191|*χa|484|bottom, lower part|||||χa|    Isolated in Ub., but with probable EC cognates.
192|*sA (~ *š-)|2298|what|||sǝd(ā)|sǝt|sa|    PAK \I*sǝ-\i (the Bzhed. and Shaps. variant \Isˊǝ-d\i is still unexplained). The second part of the stem (Ad. -d, Kab. -t) raises some problems. In Kab. -t could have been obtained under influence of \Ixa-t\i 'who' (q.v.); thus we should probably reconstruct *-dA for PAK. The precise nature of this *-dA is not clear (perhaps it reflects the PWC demonstrative *da).
193|*λʷV|775|white|aˊ-š-kˀʷakˀʷa|š-kˀʷakˀʷa|fǝ-žˊǝ|xʷǝ-zˊ|sʷa|    PAT \I*šǝ\i (used independently as "wall-eye": Abkh. \Iaˊ-š,\i Abaz. \Išǝ;\i the meaning of the element \I*-kˀʷakˀʷa\i is not clear); PAK \I*xʷǝ-žˊǝˊ\i (with a suffix *-žˊǝ common for names of colours).         A similar root is used in WC with the meaning 'dawn, light': PAT \I*ša-\i 'to come (of dawn)' (Abkh. \Ia-ša-raˊ,\i Abaz. \Iša-ra\i), PAK \I*naˊ-xʷǝ\i 'light' (Ad. \Inaf,\i Kab. \Inaxʷ\i), Ub. \Isʷǝ\i 'dawn', \Ia-sʷǝˊ-n\i 'dawn is coming'. However, it differs from \I*λʷV\i 'white' accentologically and may have a different origin.
194|*(bǝ)ʁˊʷV|980|side|||bʁʷǝ|bʁʷǝ|ʁˊa-kˀˊaˊ|    PAK \I*bʁʷǝ;\i the Ub. form contains a frequent singular suffix -kˀˊ(a). Shagirov (1977) compares the AK form to PAT \I*ɣʷǝ\i 'board', Ub. \Iʁʷǝ\i 'post' (PWC \I*Gʷǝ\i), which seems much less trustworthy. The initial *b- of the PAK form is a historical prefix.
195|*qˀǝrǝqˀǝ /*[qˀʷ]ǝrǝqˀʷǝ|986|1 throat, gullet 2 cervical vertebrae|a-qˀǝrqˀǝˊ 1|qˀǝrqˀǝ|psˊa-gʷǝrq: 2|psˊa-kʷǝq:ʷ||    PAT \I*qˀǝrǝqˀǝ;\i PAK \I*kʷǝˊrq:ʷǝ\i / \I*gʷǝˊrq:ʷǝ\i (in compound with \I*psˊa\i 'neck'). The Kab. word has a specific meaning "part of neck between the first cervical vertebra and the skull".         Despite some phonetic irregularities (expectable in expressive stems of this type) it is hard to separate the PAT and PAK forms.
196|*xA|2294|who|||xat|xat|šˊǝ|    PAK \I*xaˊ-tǝ.\i Abdokov (1973, 23, 72) and Shagirov (2, 104) are quite right in comparing this morpheme with Ub. \Išˊǝ\i and rejecting Trubetzkoy's (1930, 80) comparison of Ub. \Išˊǝ\i with Bzhed., Shaps. \Isˊǝ-d\i 'what'. Semantically and phonetically the comparison \Išˊǝ\i = AK \I*xa-\i is blameless.
197|*pǝχˊʷA|115|daughter|a-pħaˊ|pħa|pχʷǝ|pχʷǝ|pχˊa|    PAT \I*pǝħa\i (with a secondary dissimilative delabialisation); PAK \I*pχʷǝ.\i The root must have originally meant 'woman' in general and has preserved this meaning in PWC \I*pǝχˊʷA-sˊʷǝ:\i PAT \I*pǝħʷǝsˊǝ\i 'woman' (Abkh. \Ia-pħʷǝˊs,\i Bz. \Ia-pħʷǝˊsˊ,\i Abaz. \Ipħʷǝs\i) = Ub. \Ipχˊašʷ\i 'wife'. Cf. also Ub. \Ipχˊa-ʒaˊ\i 'wife, woman'.
198|*sʷǝ(mǝ)cˀV|776|woman|||sˇǝz|fǝz|sʷǝˊmcˀa|    PAK \I*sʷǝˊzǝ.\i It seems possible to compare the PAK and Ub. forms as a whole (if PAK -z- < *-cˀ- as a result of secondary deglottalisation; perhaps under influence of PAK \I*bzǝ\i 'female' q.v.), and not only PAK \I*sʷǝ-\i with Ub. \Isʷǝ-.\i
199|*ʁʷa|117|yellow|a-ʕʷa-ˊžˊ|ʕʷa-žˊ|ʁʷa-žˊǝ|ʁʷa-zˊ|ʁʷa|    PAT \I*ʕʷa-žˊǝ.\i Shagirov 1, 133 considers it as borrowed from AK; we would rather follow Dumeˊzil 1932, 124 and regard it as a genuine cognate - but possibly influenced by PAK \I*ʁʷa-žˊǝˊ.\i In PAK there exists an independent form \I*ʁʷa\i (Ad., Kab. \Iʁʷa\i 'yellow, reddish').
200|*č:ˊǝɣˊa (?)|777|far|||čˊǝžˊa|žǝzˊa||    PAK \I*č:ˊǝžˊaˊ.\i Further etymology obscure (Shagirov's explanation /1, 196/ is not persuasive).
201|*žǝ|335|gall|aˊ-z|az|zazǝ|zaz|-ca (?)|    PAT \I*(a)zˊǝ\i (cf. Bzyb. - in Marr's notation - \Iaˊ-zˊ\i); PAK (reduplicated) \I*zazǝ.\i Ub. \I-ca\i may be observed in \Icˀʷa-caˊ\i 'gall' - assimilation from \I*cˀʷa-zaˊ\i (?); note that Ub. \Izaza\i 'gall' (recorded by Dirr), as well as Abaz. \Izaz\i (coexisting with the genuine \Iaz\i), is an Adygh loanword.          The correspondence PAK, Ub. z : PAT *zˊ points to PWC *ž.          See Trubetzkoy 1930, 86; Шакрыл 1968, 25; Aбдоков 1973, 52; Шагиров 1977, 205.
202|*-anǝTa|778|heavy|aˊ-χˊanta|χˊanta|wantaʁʷ|wandaʁʷ|gˊǝˊntˀqˀʷa|    PAT \I*χˊanǝta\i (in Abkh. there also exists a variant \Iaˊ-χˊamta\i). PAK \I*want:aˊʁʷǝ\i (also borrowed in Abkh. \Ia-wadaʕw\i).         A very difficult case. PAT *χˊ- can not in any way correspond to PAK *w-, and Ub. gˊ- to either, so we must assume that in all subgroups we have compounds with different initial components (but the nature of these components is not clear). The situation is aggravated by irregularity of correspondence between PAT *-t- , PAK *-t:- and Ub. -tˀ- and by the existence in Abaz. of a synonymous adjective \Iħat-la\i 'heavy' (does it have any connection with \I*χˊanǝta\i ?).
