NUMBER|PROTO|PRNUM|MEANING|DRG|CHR|COMMENT
160|*meħ|718|hollow of hand, handful|meħ||    Cf. also Ur. \Imiħ,\i Sirg. \Ime,\i Kait. \Imeʕ,\i Kub. \Imaj.\i
161|*kʷač̣a|722|paw|kač̣a||    Cf. also Ur. \Ikʷač̣,\i Kait. \Ikʷač̣a\i etc.
162|*neṭ|727|nit||neṭ|    Cf. also Kait. pl. \Iniṭ-bi.\i
163|*ḳac̣|734|spleen|ḳac̣||    Cf. also Kub., Tsud. \Iḳac̣.\i
164|*x:Vna|282|northern slope||x:ana|    Cf. also Kub. \Ixina waIh\i (\IwaIh\i 'slope,side'). The PD vocalism is not clear.
165|*daIq̇|80|path|daIq̇||    Cf. also Ur., Tsud. \IdaIq̇.\i
166|*laImzi|426|dirt, mud||laImze|    Cf. also Kub. \IlaImde.\i
167|*muɣer|337|dream|muʔer|majar|    Cf. also Ur. \Imuʔeri\i id.
168|*č̣iḳa|760|chicken|||    Cf. Kad., Ur. \Ič̣iḳa.\i
169|*=atVr-|762|leave|=at-|=at- / =art-|    Cf. also Ur. \I=at(r)-/=alt-.\i There exists also an old compound with a not quite clear second component: Chir. \I=it-aq-\i 'to get lost, disappear (*'stay behind')'.
170|*c:ab|134|1 sky 2 rain|zab 2|c:ab 1|    PD \I*c:ab\i 'sky; rain' (cf. also Kub. \Ic:ab\i 'sky', Ur. \Iʒav\i 'rain' etc.). The  plural form \I*c:ub-ri\i is used generally with the meaning 'heaven' (Ak. \Izub-ri,\i Ur. \Iʒuv-ri\i etc.). There exists also a derivate \I*c:ubar(i)\i meaning 'star': Ak. \Izubar,\i Mek. \Izubari\i etc. (this is probably also a former plural building).
171|*=ac:-/=ic:-|767|to bathe|=iz-es||    Cf. Ur. \I=aʒ-/=iʒ-\i id.
172|*=elx:Vn-|771|boil|lux-|=elx:-/lux:-|    Cf. also Ur. \I=ilx(n)-/=ulx-\i.
173|*=aɣ|779|middle|b-aj|d-aɣ|    Cf. also Ur. \I=ajʔ,\i Kub. \I=ag\i (with changing class prefixes).
174|*x:ul|529|hope|xul||    Darg. > Av., Lak. \Ixul\i id.
175|*ʔarkʷ|793|1 axle 2 carriage; cradle|ark 1 urkura 2|urkura 2|    PD \I*ʔurku-ra\i is a petrified plural form of \I*ʔarkʷ.\i Cf. also Ur. \Iurkura,\i Kub. \Iūkā\i 'cradle'.
176|*t:am|471|drum|dam||    Cf. also Ur. \IdaIm\i (with expressive pharyngealization), Kait. \It:am.\i
177|*kʷiha|673|ram|kiha||    Cf. also Chir. pl. \Ikume,\i Ur. \Ikiwa,\i Kub. \Ikʷā\i (pl. \Ikume\i), Kharb. \Ikʷihʷa,\i Kad. \Ikuja\i etc.
178|*muq̇ara|806|lamb|muq̇ara|maq̇ara|    Cf. also Ur. \Imuq̇ara,\i Kub. \Imuq̇are\i (the latter form probably borrowed from some other dialect).
179|*maħV- (?)|807|sheep (pl.)|||    Attested only in Kait. \ImaI-ni\i (-ni - a plural suffix); obviously expressive.
180|*mac:a|808|sheep (general term)|maza|mac:a|    Cf. also Ur. \Imaza,\i Kub. \Imac:a.\i
181|*mas:|810|ram|mas||
182|*ħuṭa|811|short-eared ram||uIṭa|    Attested only in Chir., but having probable external parallels.
183|*čaq:a|812|sheep|||    Attested only in Kharb. \Ičaq:a,\i thus the PD antiquity is dubious.
184|*c̣elt:a|816|tombstone|c̣elda||    Cf. also Tsud. \Ic̣elt:a\i id.
185|*c̣ikʷa / *c̣ekʷa|820|flea|c̣ika / c̣eka|c̣eka|    Cf. also Mek., Ur., Muir. \Ic̣ikʷa,\i Kait., Sirg. \Ic̣eka,\i Kub., Tsud. \Ic̣ika.\i The root reveals some variation between reflexes of *-e- and *-i-, and also of *-kʷ- and *-k-.
186|*qara|822|pea(s), bean(s)|qara|qara|    Cf. also Ur. \Iqara,\i Kub. \Iqā\i etc.
187|*c̣um|825|pity|c̣um||    Cf. also Tsud. \Ic̣um\i id.
188|*š:ali|71|side|šali|š:ile|    Cf. also Ur. \Išali,\i Kub. \Iš:ale.\i
189|*ḳunṭ|836|1 freckles 2 drop||ḳuṭ 2|    Cf. Kub. \Iḳunṭ-ri,\i Kait. \Iḳinṭ-ri\i (with vowel assimilation) 'freckles' (-ri is a plural affix).
190|*činṭ|838|a nipple (as on the tongue etc.)|činṭ||
191|*ɣara|844|furrow||jara|    Attested only in Chir., but having probable external parallels.
192|*ʔabʔa|848|hen|abʔa (Ur.)||Cf. also Sirg. \Iabʔa\i id.
193|*ṗaIlṗa|850|soap foam|ṗaIrṗaI (Kub.)||    Kub. -r- presupposes PD *-l- (in cluster; *-r- would have disappeared).
194|*paIr|852|lightning|paIr (Tsud.)||
195|*lap|857|sinew|lap-ni||    \Ilap-ni\i is originally a plural form. Cf. also Tsud. \Ilap\i (pl. \Ilapni\i) id.
196|*penc̣|858|resin|penc̣||
197|*purpi|860|beech-tree|purpi||    Cf. also Ur. \Ipurpi,\i Kub. \Ipūpe.\i
198|*paꭓI:ʷ|861|diarrhea|puꭓ-ne (Kharb.)||    Cf. also Kad. \IpuIꭓ,\i Ur. \Ipoꭓ\i 'excrements'.
199|*paꭓI|864|dust|paIh (Kait.)||    Cf. also Gapsh., Tsud. \Ipüħ\i (with secondary vowel labialisation) id.
200|*puš(a)|865|1 bellows 2 bubble, bladder|puš 1, pušaʕ 2||    Cf. also Chir. \Ipuš-buḳan\i 'bellows', Ur. \Ipuša\i id., Kait. \Ipuš-liḳ\i 'bladder', Kharb. \Ipuš-larq̇\i id., Tsud. \Ipušüʕ\i id. (the second component of compounds is not clear etymologically).
201|*č̣ip|867|basket; cradle|č̣ip (Tsud.)||    Cf. also Kub. \Ič̣ip.\i Other dialectal forms with -a-vocalism (Chir. \Ič̣aIp(a\i), Ak. \Ič̣ap\i) are probably borrowed or influenced by Lak. \Ič̣apa.\i
202|*c̣a-li[p]|868|lightning|c̣a-lip: (Kait.)||    Cf. also Kub. \Ic̣a-liṗan\i id. The final labial of the root is hard to reconstruct (probably because of the influence of the initial glottalised c̣-).
203|*q̇apa|869|hat, cap|q̇apa|q̇apa|    Cf. also Ur., Kub. \Iq̇aṗa\i (with secondary assimilative glottalisation of ṗ).
204|*pat:a|873|trousers ("мотня")|pada||    Not quite clear is the relationship of this root (attested only in Ak.) to common Darg. \I*t:ap:-ri\i 'socks, footwear' (Chir. \It:ap:re,\i Ak. \Idabri\i etc.) which seems to reflect the plural (and metathesized) form of the same root. Cf. also Lezg. \Itiṗri\i 'shoes' - a form quite isolated in Lezghian and possibly borrowed from Darg.
205|*pat:a|874|excrements||pat:a|    Darg. > Ag. Burk. \IpaIt:\i "cow's dung" (with expressive pharyngealization).
206|*paIl|875|asp|paIlpaIlag||    The Ak. stem is reduplicated and has a velar suffix (cf. the Nakh form). The simple form is preserved in Tsud. \IpaIl\i id.
207|*paqi-|878|crow|paqi-GaIna||    Cf. also Darg. (in Khaidakov 1973) \Ipiqi-GaIna.\i A compound with \I*q:Iana\i 'crow' q.v.
208|*ħĳab|882|spring|ħeb|ʕĳab|    Cf. also Kad. \Iħüjeb,\i Ur. \Iħeb.\i
209|*p:ala|883|sheep's wool|bala|p:ala|    Cf. also Kait., Kub., Tsud. \Ip:ala,\i Ur. \Ibala.\i
210|*p:artken (~ b-)|884|deer|bartken||
211|*ʔaba|889|father|aba (Ur.)|father|Cf. also Kub., Kharb. \Iaba,\i Kait. \Iuba.\i
212|*=irp:-|890|to sew|ib-es||    Cf. Ur. \I=irb-\i id. There are also two PD derivates from this root: PD \I*durup:\i 'awl' (Ak. \Idurub,\i Chir. \Idurup:\i); PD \I*birep:a\i 'needle' (Ak. \Ibureba,\i Chir. \Ibirap:a\i).
213|*ʁIep:V|893|haystack|ʕeba||    Cf. Kait. \Iʁep:i,\i Kharb. \Iʕep:a,\i perhaps also Chir. \IbaʁIa\i (with metathesis and assimilation).
214|*buk (~-k:)|258|mountain goat|buk (Kait.)||    Since the form is known only from the Kaitag dialect, it is impossible (without knowing the Kait. paradigm) to choose between PD *-k and *-k:.
215|*murs:|898|besom|mūs: (Kub.)||    Although isolated in Kub., the word has good external parallels. We must note also a rather strange Chir. form: \Imuš:ukal\i 'broom' (perhaps reflecting a variation *š: / s: in PD?).
216|*barɣʷi|900|sledge hammer||bargu|    Cf. also Tsud. \Ibur\i (\I<*burɣ\i) id.
217|*muq̇|902|back|muq̇ (Kait.)||    Attested only in the Kaitagh dialect, but having reliable external parallels.
218|*k:aħ-|2323|eight|geħel|k:aIʕal|
219|*mucari|903|wall|mucari||    Cf. also Ur., Muir. \Imucari\i id.
220|*mik:eri|907|ladder||mič:ire|    Cf. also Kait. \Imik:eri\i id.
221|*ħab-|2317|three|ħaIb-al|ʕaIb-al|    Cf. also Ur. \IħaIb,\i Kub. \IʕaIb.\i
222|*q:aq:ba|914|partridge|ʁaʁba|q:aq:ba|    Cf. also Ur. \Iʁaʁba,\i Kub. \Iq:aqba.\i
223|*ṗarq̇|921|fur-coat|ṗarq̇ (Kub.)||
224|*meħa|476|brain|meħe|maʕ|    Cf. also Ur. \Imaħa,\i Kait. \Imaʕ,\i Kub. \Imā\i (\Imaʔa\i), Kharb. \Imeħa.\i
225|*ʔant:a|923|forehead|anda||    Cf. also Ur. \Ianda,\i Kub. \Inat:a,\i Tsud. \Iant:a.\i
226|*net:(a)|924|eyebrow|ned|net:a|    Cf. also Ur. \Inid,\i Kub. \Init.\i
227|*laIži|928|cheek|laIži||    Cf. Ur. \IlaIži\i id.
228|*=aħ|929|face|=aIħ|daI|    Cf. also Ur. \I=aIħ,\i Kub. \I=aIj,\i Tsud. \I=aIħ\i 'face'. It is hard to separate from this root several other words (probably we deal with not very accurate recordings or old interdialectal borrowings): Ak. \Ibeħ\i 'edge', \IbaIħ\i 'edge, blade; slope', Ur. \Ibaħ\i 'sharp edge', Chir. \Ibaʕ\i id., \Ibaʔ\i 'summit'.
229|*ꭓIʷaꭓI|477|buttock||ꭓIuꭓI|    Cf. also Kait. \IꭓIoꭓI,\i Kub. \Iꭓuꭓ.\i
230|*č̣imič̣ali|933|eyelash|č̣imič̣ali||    A quite irregular form is Chir. \Imuzara\i 'eyelash'.
231|*maħul|75|1 nose 2 beak|maIʕul 1 (Kait)|muʕul 2|    Should be distinguished from PD \I*muħuli\i 'mouth' q.v.
232|*xir(i)x|156|snot|irh-ne (Kait.)|xirix|    Kait. \Iirh-\i < \Ihirh-\i (\I*xirx-\i).
233|*ʔelq:i|1127|cheek||alq:e|    Cf. also Kub. \Iēq:e,\i Kharb. \Iirq:i\i id.
234|*buruḳ|184|foreleg||buruḳ|
235|*ʕʷan-c̣(a)|30|deaf|ʕaInc̣a||    Cf. also Ur. \Iʕʷanc̣,\i Kub. \Iħunc̣.\i
236|*muc̣ur|943|1 beard 2 chin|muc̣ur 1|muc̣ur 1,2|    Cf. also Ur. \Imuc̣ur,\i Kub. \Imuc̣uj\i 'beard' etc.
237|*xamxam|944|lip||xamxam|
238|*č̣aIm-|945|to chew|č̣aImi-ḳes||
239|*ꭓ:inča|947|jaw||ꭓ:inča|
240|*ḳaw|469|palate|ḳaw||    Cf. also Kharb., Tsud. \Iḳaw\i etc.
241|*kek|950|gum (in mouth)|kek||
242|*ꭓunuꭓ (~ x,h)|951|crop, goitre|hunuh||
243|*ḳinč̣|225|gum (in mouth)|ḳinč̣||
244|*k:anži|606|1 fang, canine tooth 2 gum|ganži (cula) 1|ɣanže 2|    The Chir. form goes back to a variant \I*ganži.\i Cf. also Ur. \Iganǯi,\i Kub. \Ik:anže,\i Tsud. \Ik:anč:i\i (from a variant \I*k:anč:i\i).
245|*ɣʷa|955|ankle||wa|
246|*ṭal|180|stem, trunk, post|ṭal||    Cf. also Ur., Kait., Tsud. \Iṭal\i id.
247|*kʷVnc̣|957|a bundle of ramson|kʷenc̣ (Ur.)||    Cf. Kub. \Ikʷic̣\i id.
248|*kumk-|209|light (of weight)|kunk-si|kuk-ze|    Cf. also Ur., Kharb. kumk-, Tsud. kunk-, Kait. kuk-.
249|*čarꭓ:|958|body|čarꭓ|čarꭓ:|    Cf. also Ur., Kad. \Ičarꭓ\i etc.
250|*q̇arq̇ala|959|body|q̇arq̇ala|q̇arq̇ala|    Cf. also Kub., Kharb., Tsud. \Iq̇arq̇ala.\i
251|*dac:i|1068|urine|dac:i (Kait.)||
252|*q:aq:|964|back|ʁaʁ||    Cf. also Ur. \Iʁaʁ,\i Tsud. \Iq:aq,\i Kub. \Iq:aq\i (pl. \Iq:uq:e\i).
253|*dul(V)ɣ|965|elbow||duluɣ|    Cf. also Kharb. \Idulaj-naqI\i 'elbow' (\InaqI\i 'arm, hand').
254|*miqiri|304|breast, chest|miqir|miqire|    Cf. also Ur. \Imiqiri,\i Kub. \Imuqaj\i
255|*muc:i|967|sting||muc:e|    Ak. \Imuza\i 'corner, angle' is probably a contamination of this root (PD \I*muc:i\i) with PD \I*muza\i 'angle, corner' q.v. (the latter should be reflected in Ak. as \Imurʔa\i).
256|*ʔuṭi|794|nipple|uṭi||    Cf. also Kad. \Iuṭi\i 'udder, udder nipple'.
257|*ṭe ( < *ṭaʔi)|421|1 udder 2 nipple (of udder)|ṭe 1 (Kub.)|ṭe 2|
258|*burħa|303|udder|burħe|burʕa|    Cf. also Ur. \Iburħa,\i Tsud. \Iburħi.\i
259|*qarc̣(ʷ)al(a)|970|shoulder|quc̣ar|qac̣ara|    Cf. also Ur. \Iquc̣ar,\i Muir. \Iqarč̣ala,\i Sirg. \Iqarč̣al,\i Kub. \Iq̇ač̣al.\i The variation between c̣ and č̣ in this root is typical for reflexes of *ć̣w.
260|*zu|972|navel||zu|
261|*puṭi|879|1 chibouque 2 anus|puṭi 1|puṭe 2|    The common meaning is "hollow tube" (cf. the Lak. form).
262|*č:aq:ʷa|976|pit||č:aq:ʷa|
263|*barš:|977|groin|barš||    Cf. also Tsud. \Ibarš:.\i
264|*čiwxʷ (~-x:ʷ)|501|crop, craw|čiwx||
265|*q:iq:I(ʷ)a|979|stomach|q:iq:aI||
266|*muɣul|981|besom|muʔul||    Cf. also Ur. \Imuʔul,\i Kait. \Imugul.\i
267|*q:umq:um|982|crop, craw||q:umq:um|
268|*muq̇luq̇|983|chute, gutter|muq̇luq̇ (Tsud.)||    Cf. also Kharb., Kait. \Imuq̇luq̇,\i Kub. \Imūq̇uq̇\i id.
269|*q̇ams:|985|cartilage, gristle|q̇amsiḳ|q̇ams:|    The Ak. form has an expressive suffix -iḳ.
270|*q̇aq̇a(ri)|986|throat|sus-q̇aq̇a|q̇aq̇are|    Cf. also Ur. q̇aq̇ari id. [Kub. \Iq̇aꭓ:a\i 'throat', although similar, is perhaps a result of contamination with another root, reflected in PL as \I*q:uꭓ\i (cf. Lezg. Akht. \Iq:uꭓ\i 'top (of boot)', Tab. Düb. \Iq:uꭓ\i 'throat', Ag. Bursh. \Iʁuꭓ\i 'Adam's apple', \Iʁuꭓ-ar\i 'throat' - if only all these forms are not assimilated from \I*k:uꭓ,\i cf. variants with an initial velar: Lezg. lit. \Ik:uꭓ\i 'top (of boot)', Ag. Fit. \Iguꭓ\i 'throat'.]
271|*t:aIt: (~d)|987|pipe|daId||
272|*q:ut:-q:ut:i|988|beak|q:udq:udi||
273|*q̇un|989|Adam's apple||q̇un|
274|*=ark:|990|1 stomach 2 inside|=arg|bark:ʷ-la-ne 2|    A noun with changing class prefixes (\Id-arg,\i \Ib-arg\i). Cf. also Ur. \I=arɣ\i (\Id-arɣ,\i \Ib-arɣ\i) id.
275|*za|992|colostrum, beestings|a|za|
276|*ʔur-cec|993|kidney|urcec||    Cf. also Kait., Tsud. \Iurcec.\i Kharb. \Iurclerc\i is irregular - under the influence of the name for 'spleen' q.v.
277|*ʒilerʒ|995|spleen||zilaz|    Cf. also Kharb. \Iur-clerc\i 'kidney' - which is a contamination of this root with PD \I*ʔurcec\i 'kidney' q.v.
278|*qursali / *ꭓ:ursali|996|lung|ꭓurhala,ꭓurhari|qusara|    With *q- cf. also Sirg. \Iqusar,\i Kait. \Iqusal,\i \Iqusri,\i Tsud. \Iqusre;\i with *ꭓ: - Ur. \Iꭓurhri,\i Muir. \Iꭓurhri,\i Kub. \Iꭓ:uda.\i
279|*h(I)and (~-t:)|1002|knee|ʕaInd||
280|*ḳinḳ(a)|267|shin|ḳinḳ|č̣aḳa|
281|*beḳ|1005|hand|beḳ-naIq:|beḳ-naIq:|    The word became homonymous with PD \I*beḳ\i 'head', thus the compound \Ibeḳ-naIq:\i is presently understood as "head-arm", which is obviously a folk etymology.
282|*ꭓ:unḳ|1008|fist|ꭓunḳ||    Cf. also Ur. \Iꭓunḳ,\i Kharb. \Iꭓ:unḳ\i etc.
283|*ṭul|181|finger|ṭul|ṭul|    Cf. also Ur., Tsud. etc. \Iṭul\i 'finger' and the derivate \I*ṭuleka\i (Ak. \Iṭuleka\i) "finger-ring" (another derivate is Chir. \Iṭule\i "finger-ring").
284|*k:amul|1013|toe|gumul|k:amul|    Cf. also Kait., Kharb. \Ik:amul,\i Tsud. \Ik:umul\i id.
285|*ṭuṗ|1014|finger|ṭuṗ (Kait.)||    Cf. also Kub. \Iṭuṗ\i id.
286|*q:ʷVc:|1017|hoof||q:uc:|    The probable PD form is \I*q:ʷac:\i : cf. a Darg. load in Agul - Ag. \Iq:ʷac:\i 'hoof'.
287|*kʷaš|1018|handful, hollow of hand|kaš||    Cf. also Kub. \Ikʷaš\i (pl. \Ikʷašūbe\i).
288|*q̇(ʷ)ač̣a|1019|holster|q̇ač̣a||
289|*=ac̣-|1020|empty|=ac̣-|=ac̣-|    Cf. also Kait., Kharb. \I=ac̣-.\i
290|*x:a- (?)|1021|bosom||x:a-n-cara|    The form is obscure morphologically (meaning of the second component not clear), and attested only in the Chir. dialect; thus not very reliable.
291|*dux:ala|491|wing|duxala (Ur.)||    Ur. \Iduxala\i should be kept apart (for phonetic reasons) from PD *dukala q.v.
292|*kusala|1022|wing||kusala|    Cf. also Sirg. \Ikusala,\i Kub. \Ikuṭala\i (Magomedov's notation; regularly \I*kutala\i would be expected).
293|*dulk:ʷa|40|sleeve||durk:ʷa|    Cf. also Gapsh. \Idulga,\i Kait. \Idurk:a,\i Kub. \Idak:ʷa\i (pl. \Idulk-me\i). Some dialects have strange forms with -ʁ- (Ak., Mek., Kharb. \Idulʁa\i) which are as yet unexplained.
294|*nikʷa|487|knee|nika (dial.)||    The source dialect is unknown; quoted from Khaidakov 1973.
295|*murč̣|1025|rod, stick; vine|murč̣||    Cf. also Kub. \Imurč̣\i id.
296|*ʔart:ur / *ʔurt:ur|266|thigh, hip|urdur|urt:ur|    Cf. also Kait. \Iart:ul\i (the form pointing to *a; in other dialects probably *a > u by assimilation with the following vowel), Kub. \Iūt:uj,\i Kharb., Tsud. \Iurt:ur\i etc.
297|*kʷaIš (~-š:)|486|foot, leg|kuIš (Tsud.)||    Quoted from Khaidakov 1973. Perhaps we should relate here also Chir. \Ikʷarš:\i 'armful' and reconstruct PD \I*kʷarš:\i? (For the semantics cf. another similar root, PD \I*kʷaš\i 'handful' < *'paw').
298|*čaqʷ-|5|high||čaqʷ-ze|    Cf. also Kait. \IčaIq-il\i (with unclear pharyngealization), Muir. \Ičiq-il\i id.
299|*hunuc̣|7|eagle (poet.)|hunuc̣||
300|*der(e)k:a|236|bow|(urgi) derga|arɣi-dik:a|    Cf. also Ur. \Idirga,\i Kait. \Iderek:a\i etc. In most dialects the root is used in a compound with \I*ʔurg\i 'bow' (historically - "arc of a bow").
301|*kam|1030|skin, hide, bark|kam||    Cf. also Ur. \Ikam\i 'skin (of vegetables)', Kub., Tsud. \Ikam\i 'skin, bark', Kharb. \Ikam\i 'skin, bark, sour cream' etc.
302|*kur|338|horse's mane||kur|
303|*kec̣a|25|puppy|kec̣a|kac̣a|    Cf. also Ur. \Ikac̣a,\i Kub. \Ikac̣e\i etc.
304|*čuri|340|plait; single hair|čuri||    Cf. also Kad. \Ičuri,\i Kub. (an original plural form) \Ičū-me\i 'fringe, tassel'.
305|*=elq- / *=uq-|28|to suck (breast)|=erq-es|=elq-/=uq-|
306|*ʁal|1034|mane|ʁal (Sirg.)||    Cf. also a compound in Kub., Tsud. \Iʁal-q̇ama\i 'main'.
307|*q̇at:a|1035|bush, shrub|q̇ada||    Cf. also Ur. \Iq̇ada\i id. The root should be distinguished from \I*ʁʷaṭa\i q.v.
308|*ʁʷaṭa|495|bush, shrub||ʁʷaṭa|    Cf. also Tsud. \Iʁʷaṭa\i id.
309|*ʕems:|1045|muscle|ʕems||    Cf. also Tsud. \Iʕims,\i Kait. pl. \Iʕims-ni.\i
310|*čibar-|49|variegated|čibara||
311|*tum|1048|vein, blood vessel|tum|tum|    Cf. also Ur., Kub. \Itum\i etc. Perhaps we should also relate here (with old Ablaut?) Chir. \Itima\i 'brook, stream'.
312|*maɣa|1051|sweat|majʔa|maɣa|    Cf. also Ur. \Imajʔa,\i Kub. \Imiɣä,\i Tsud. \Imaga.\i
313|*duli|1055|pus|dule (Kub.)|dile|
314|*=aIq- / *=iq-|1056|to cut off, separate|=aIq-/=iq- (Ur.) 1|=āq-/=iq- 2|    Zero conjugation in Ur. The vowel length in Chir. is rather strange.
315|*ʔurʁ-|1058|1 to scold 2 to shoot|urʁ-es 1|urʁ- 2|    With a prefixed ča- cf. also Chir. \Ičarʁʷ-\i 'to shoot'.
316|*ṗaI(l)c̣a|1060|1 faeces 2 eye secretion|ṗaIc̣a 1 (Ur.)|ṗaIlc̣-ne 2|    Cf. also Tsud. \IṗaIc̣a\i "ordure (of small animals)".
317|*ʔaꭓtu-ri|1061|phlegm|aꭓturi||
318|*sumi|1065|gall, anger|himi|sume|    Cf. also Ur., Muir. \Ihimi,\i Sirg. \Isimi,\i Kub. \Itime\i id.
319|*marga|68|male|marga|marɣa|    Cf. also Ur. \Imarɣa\i id.
320|*baIṭ-|107|diarrhea||baIṭbaIṭe|    An expressive reduplication.
321|*s:uri|516|soot|suri||
322|*dekʷ|1082|1 manure, faeces 2 dry dung|dek 1,2|dekʷ 1|    Cf. also Kait. \Idek\i 'dung'.
323|*qIʷat-ni|1083|snot, snivel|qut-ni||    Cf. also Kad. \Iqut-ne,\i Gapsh. \IqIat-ni,\i Kharb. \IqIʷat-ne,\i Tsud. \IqIut-ne\i id.
324|*q:ulq:i|1085|faeces|q:iIlq:i (Kait)||    Cf. also Kub. \Iq:ulq:e\i id. Pharyngealisation in Kait. is secondary (before a new front vowel).
325|*raq̇I-|1086|sheep's dung||raq̇Iraq̇I-an|
326|*duʁu|1090|sheep's dung (collect.)||duʁu|
327|*nerʁʷ|1091|tear|nerʁ|nerʁ|    Cf. also Ur. \Inirʁ,\i Kait. \Inerʁ\i / \Imerʁ,\i Tsud. \Inerʁ,\i Kub. \Imēʁʷ.\i Labialisation is lost almost everywhere, because the word is mostly used in plural where ʁʷ > ʁ before the labial suffix *-bi (Chir. \Inerʁ-be,\i Kait. \Imerʁ-bi,\i Kub. \Imūʁ-be\i etc.); however, it can be reconstructed on basis of the Kub. form and the Kait. variant (with regressive labialisation n- > m-).
328|*tu|1092|to spit|tu-iḳes|tu-ʔī|    The stem \Itu\i is nominal ('spit, spittle') and used as the first component of a compound verb.
329|*čʷeja|1100|ram|čʷe (Muir.)|čuja|    Cf. also Kharb., Gapsh., Kait. \Ičuja\i id. All these forms can not go back to PD \I*kʷiha\i 'ram', because labialised velars can not get palatalised in Darg.
330|*šam|1101|young sheep (less than 2 y. old)||šam|    Cf. also Ur., Mek. \Išam\i id., Tsud. \Išam-čuje\i 'lamb'.
331|*q̇a(m)qa|1102|calf||q̇aqa|
332|*q̇Iʷal|1105|cow|q̇Ial|q̇Iʷal|    Cf. also Ur. \Iq̇Iʷal,\i Kub. \Iq̇Iul.\i
333|*ʔunc|1106|1 ox 2 bull|unc 1,2|unc 1|    Cf. also Ur., Tsud. \Iunc,\i Kub. \Ius\i id.
334|*gada|1107|kid (less than 1 y. old)||ɣada|
335|*q:ača|1112|calf|q:ača||    Cf. also Mek., Sirg., Ur. \Iq:ača;\i in some dialects there occurred an assimilation \Iq:ača\i > \Iq:ač:a,\i cf. Kub., Kharb., Tsud. \Iq:ač:a.\i
336|*ʔurši (~-š:-)|532|boy, son|urši||    Cf. also Ur. \Iurši\i 'son'.
337|*ʕeč:a|1116|goat|ʕeža|ʕač:a|    Cf. also Kub. \Iič:a,\i Tsud. \Iʕäč:a,\i Kharb., Sirg. \Iʕeč:a,\i Muir. \Iič:a.\i
338|*q̇Iaca|1118|he-goat|q̇Iaca|q̇aca|    Cf. also Ur., Tsud. \Iq̇Iaca\i etc. A probable Darg. loanword is Lak. \Iq̇aIca\i (Khosr. \Iq̇Iaca\i) 'he-goat' (if the Lak. word were genuine, we would rather expect an -u- vowel).
339|*ʔiʁ(ʷ)-|83|to spin round, turn round||iʁ-|
340|*ʔurči|211|horse|urči|urče|    Cf. also Ur. \Iurči,\i Kub. \Iūče\i etc.
341|*k:ʷac:a|1124|mare|gaza|k:ʷac:a|    Cf. also Ur. \Igʷaza,\i Kub. \Ik:ʷac:a.\i Darg. > Lak. \Ik:ac:a\i (Khosr. \Ik:ʷac:a\i) 'mare', Arch. \Igʷac:i\i id.
342|*ħer|1126|look, sight|ħer||
343|*gʷ- / *=irg(ʷ)-|86|to look||ʕul=irg-|    In Chir. a compound with \Iʕul-\i 'eye'. Cf. also Ur. \Igʷ-\i 'to see'.
344|*Hemꭓa|1128|ass|emħe|amꭓa|    The initial laryngeal gives not quite regular reflexes, and is hard to reconstruct precisely; but it must have conditioned the pharyngealization (*ꭓ > ħ) of the uvular fricative in most dialects, cf. also Ur. \Iħamħa,\i Kad. \Iʕemħa,\i Kharb. \Iħemħe\i etc.
345|*t:aIk:ʷa|1129|young donkey|daga||    Cf. also Ur. \IdaIgʷa,\i Kub. \It:aIk:u,\i Kharb. \It:ak:u\i etc.
346|*ḳamš:a|1131|bull-calf||ḳamš:a|
347|*k:ʷač:a|589|bitch|gaža||    Cf. also Ur. \Igʷaǯa,\i Kharb. \Ik:ʷač:a,\i Tsud. \Ik:uč:a.\i Kub. \Ik:ʷač:e,\i because of final -e, is irregular and may be a Lak. loanword. On the other hand, the Darg. word (forms like Ur. \Igʷaǯa\i) was borrowed in Lak. \Iguža\i 'bitch' (thus creating an etymologic doublet \Ik:ʷač:i\i 'dog' : \Iguža\i 'bitch'), whence Arch. \Iguža\i id.
348|*kuč|1133|bitch||kuč|    The word is attested only in Chir. and hence suspicious; but no immediate source of loan for this word can be discovered (in Lak. and in Avar dialects we have \Ikuča,\i and in Agul - \Ikač;\i phonetically they could not result in Chir. \Ikuč\i).
349|*k:ata|1137|cat|gata|k:ata|    Cf. also Ur., Sirg. \Igata,\i Kharb., Tsud. \Ik:ata.\i Kub. \Ič:itu\i < Lak.
350|*ʕarq̇Iʷa|1139|hen|ʕaIrʕaI|ʕaIrʕʷaI|    The archaic form (with *q̇ʷ) is preserved in Kait. \Iarq̇ʷa;\i all other dialects reflect a form with the shift -q̇Iʷ- > -ʕ(ʷ)-, cf. also Ur. \Iurʕʷa,\i Kub. \IʕāIʕaI,\i Sirg. \IʕaIrʕʷaI.\i
351|*t:at:a|1142|cock||t:at:a|    Cf. also Kait. \It:at:aʁ,\i Kharb. \It:at:aq:ʷa\i id. (in both dialects - a compound with PD \I*t:aʁʷa\i 'cock' q.v.).
352|*t:aʁʷa|1143|cock|daʁa|t:aʁu|    Cf. also Ur. \Idaʁʷa,\i Kub. \It:aʁʷa\i etc.
353|*durꭓIʷa|1145|child|durħaI|darꭓIa|    Cf. also Ur. \IdurħʷaI,\i Kub. \Idūħu.\i
