"NUMBER","PROTO","PRNUM","MEANING","ABK","ABA","ADG","KAB","UBK","COMMENT"
 171,"*da",2304,"a demonstrative stem","-da","-da","-da","-da","(aj)-da","    Dumézil (1932, 120) relates Ub. -da in \Iaj-da\i 'that, another' (cf. also -da- in \Imā-da-ḳ́a\i 'where') to Abkh. -da in \Iá-la-da\i 'down', \Iá-ʕʷa-da\i 'above' ( < PAT \I*-da,\i cf. Abaz. \Iʕʷa-da\i 'ascent, climbing'). While this may be true, we would also adduce the AT pronominal (agentive) prefixes of the 3d person singular and plural (\I*də-\i > Abkh., Abaz. \Id(ə)-\i) and probably also the 3d person plural pronoun \I*da-ra\i 'they' (Abkh. \Ida-rá,\i Abaz. \Ida-ra\i). §    In AK the stem is preserved in \I*a-dá\i  'there' (Ad., Kab. \Iāda\i); cf. also Ad. \Itə-da\i 'where' and the PAK locative preverb \I*da-\i (Ad., Kab. \Ida-\i). See Шагиров 1, 57."
 172,"*mə-",2311,"demonstrative pronoun","","","mə","mə","","    PAK \I*mə-\i 'this', \I*mə-wə-\i 'that'. Although Ub. and AT have lost this morpheme, it is obviously archaic and has good parallels in EC."
 173,"*jA",2309,"a demonstrative stem","ja-rá","ja-ra","jəj","jə, jej","jə-","    In PAT used as the 3d p. pronoun \I*ja-ra\i 'he'; cf. also \I*jə\i (Abkh. \Ij(ə)-,\i Abaz. \Ij(ə)-\i the verbal prefix of the 3d person) and *-jə within complex demonstrative stems (\I*a-nə-jə\i 'that', \I*a-rə-jə\i 'this' > Abkh., Abaz. \Iani,\i \Iari\i etc.). §    In AK the root functions as the 3d p. possessive prefix (\Ijə-\i 'his'), see Шагиров 1, 180. §    In Ubykh \Ijə-\i is the demonstrative pronoun expressing near deixis ('this'); the same morpheme is probably used as a personal prefix of the 3d p. pl."
 174,"*nanV", 272,"1 mother, mummy (tend.) 2 old woman,granny (tend.)","nan 1","","nān 1","nāna 2","nán(a) 1","    PAK \I*nána.\i"
 175,"*wA",2285,"thou (2d p. pr.)","wa-rá","wa-ra","wa","wa","wə-ʁʷá","    PAT \I*wa-,\i PAK \I*wa.\i"
 176,"*bəźA", 102,"1 tongue 2 language","á-bz 1","bzə 1","bza 2","bza 2","bźa 1","    PAT \I*bəzə\i (cf. also Bz. \Iá-bz\i). PAK \I*bza\i 'language'; in the meaning 'tongue' PAK employed a compound \I*bza-gʷə́\i (lit. 'tongue's center') > Ad. \Ibzagʷə,\i Kab. \Ibzagʷ.\i In Ub. the variants \Ibźa\i and \Ibza\i coexist, the latter being obviously loaned from AK."
 177,"*c:A", 104,"1 tooth 2 fang, canine tooth","á-c 2","pə-c 1","ca 1","ʒa 1","ca-ḳ́ə́ 1","    PAT \I*cə\i (the pure root is preserved in Abkh. \Iá-c,\i Bz. \Iá-c\i 'fang'; the meaning 'tooth' is being rendered by the compound \I*pə-cə\i lit. "front tooth" > Abaz. \Ipə-c\i or \I*qA-pə-cə\i lit. "head's front tooth" > Abkh. \Ia-χa-pə́-c\i (Bz. with secondary voicing \Ia-χa-bə́-c\i). §    PAK \I*c:a.\i In Ub. the element -ḳ́ə is an original singularity marker."
 178,"*c̣əla", 769,"tree","á-c̣la","c̣la","","","","    PAT \I*c̣əla\i (cf. also Bz. \Iá-c̣la\i). Abdokov (1983, 133) proposes a connection with \Ia-c̣íā\i 'vegetation', thus suggesting a root \I*c̣ə-;\i however, accentology speaks against this analysis."
 179,"*č:́ʷə", 345,"tree","","","čə-ɣə","žə-ɣ","","    PAK *č:ə́-ɣə 'tree'. Shagirov (1, 196) is certainly right in treating the component -ɣə as 'seed' (see *Ł́A) and establishing the original meaning of the compound as "acorn". Cf. also PAK *č:ə-ɣa-jə "oak-tree" (Ad. čəɣāj, Kab. žəɣej). However, the root *č:ə can not be related to Abkh. a-ǯ́ 'oak-tree' for phonetic reasons; the latter is rather connected with PAK *pč:́V 'plane-tree' q.v."
 180,"*ʁʷənə", 346,"tree","","","","","ʁʷənə́","    Isolated in Ub. with the only possible parallels in EC (despite Dumézil 1932,124 the root has nothing to do with PAK \I*wəna,\i PAT \I*ʕʷənə\i 'house')."
 181,"*tqI:́ʷA",2315,"two","ʕʷ-bá","ʕʷ-ba","ṭʷə","ṭʷə","ṭq̇ʷa","    PAT \I*ʕʷə;\i PAK \I*ṭʡʷə\i (for the initial cluster cf. Ad. Khakuch. \Iṭq̇ʷə\i)."
 182,"*ća (~*č-)", 770,"to go, walk","a-ca-rá","ca-ra","","","","    PAT \I*ća\i (cf. also Bz. \Ia-ća-rá\i). The verb can also be used with a causative meaning (Abkh. \Ia-t-ca-rá,\i Bzyb. \Ia-t-ća-rá\i 'to drive out, expel' etc.). It is somewhat suspicious that the causative form does not have the usual causative prefix -r(ə)- in Abkh.: this could mean that we deal here in fact with a different verbal root, which could be compared to PEC \I*=Vc̣V\i 'to drive' (q.v.)."
 183,"*bəč̣́ə", 974,"1 measles 2 scarlet fever 3 navel","a-bč̣́ə́ 1","bč̣́ə 1","nəbəǯ́ 3","bənža 3","bəč̣́ə́ 2","    The original meaning is clearly 'spot(s)', whence a) 'measles' or 'scarlet fever', b) *'spot of the belly' > 'navel'. PAT \I*bəč̣́ə;\i PAK compound \I*nəba-bəǯ́a\i (*ǯ́ instead of *č̣́ as a result of assimilation) "belly-spot" > \I*nəbə́ǯ́a\i / \I*bə́nəǯ́a.\i Despite Shagirov 1977, 103-104, we can not reconstruct in PAK \I*nəba-ǵa\i "belly+bad" - primarily because Ad. ǯ́ : Kab. ž point only to PAK *ǯ́ (not *ǵ).     §    The Adygh words were borrowed in Abaz. (\Ibənǯ́a\i "navel") and Ub. (\Inəbə́ǯ́\i "navel")."
 184,"*pəλV", 771,"1 warm 2 to boil","á-pχa 1","pχa 1","pš́-ta-n 2","pś-tə-n 2","pśə 1","    PAT \I*pəxa\i (cf. also Bz. \Iá-pxa\i). The AK form raises some problems: it may be treated on Adygh ground as a contraction of \I*pš:́ə-ta-\i (cf. \I*pš:́ə-\i 'to swell up'), see Kuipers 1975, 92, Shagirov 2,34. In this case it does not belong here. Cf., however, Kab. \Ipśtə-r\i 'hot' and AK \I*pš́a-\i 'to cook' which could also serve as basis for \I*pš́(ə)-tA-\i. We prefer (for the time being) the second hypothesis, although it is rather probable that a contamination occurred in the PAK derivate.     §    PAK \I*pš́a-\i 'cook' is reflected in Kab. \Ipśa-f̣a-\i 'cook (v.)', \Ipśā-f̣a\i 'cook (n.)', Ad. \Ipš́a-rəħ\i (Bzhed. \Ipš́arāħə\i) 'cook; young man serving elder', \Ipśa-rəħa-\i 'cook (v.)' (suffixes are not quite clear both in Ad. and Kab.)."
 185,"*λ́ʷV", 168,"1 to boil 2 warm","a-š-rá 1","š-ra 1","fā-ba 2","xʷā-ba 2","šʷa-dá- 1","    PAT \I*šə;\i PAK \I*xʷa-bá.\i Shagirov (2,106) takes from Ubykh another root: \Iš́a-\i 'to be hot'. However, Ub. š́ can not correspond to PAK *xʷ, while Ub. \Išʷa-dá-\i is a perfect match for both AA and AK forms. §    It is probable that Ub. \Iš́a-\i 'be hot' goes back to another PWC root, \I*š́V\i (\I*š:́V\i) which is not reflected in PAK, but in PAT merged with \I*šə\i < \I*λ́ʷA.\i This seems probable because the Abkh. root means both 'boil' and 'become hot'."
 186,"*bzə", 858,"1 water 2 juice","a-ʒə́ 1,2","ʒə 1,2","psə 1","psə 1","bzə 1","    PAT \I*ʒə\i (cf. also Bz. \Ia-ʒə́\i); PAK \I*psə;\i Ub. def. \Ia-bzə́.\i Shagirov (2, 16) suggests that PAT \I*ʒə\i should be separated from the AK and Ub. forms and prefers to compare them with PAT \I*p(ə)sə\i '*water,*river' (reconstructed on hydronymic evidence). There exists indeed a PAT root \I*pəsa\i 'to become wet, soak' (e.g. Abaz. \Ipsa-ra\i id., Abkh. (a-ʒə́) \Ia-psá-la-ra,\i Bz. (a-ʒə́) \Ia-psə́-la-ra\i 'throw into water') which could be compared with PAK \I*psə\i ( - but not with voiced bz- in Ub.!). Still it is very hard to separate the AA root \I*ʒə\i from Ubykh (with which it correlates even in what concerns accent), and the Ubykh one from AK. We think that in PAK there could have occurred a contamination of two original roots: \I*bzə\i 'water' and \I*pəsə\i 'river; liquid' - this would be the best explanation of the whole situation. §    Abdokov (1983, 185) compares PAT \I*ʒə\i with PAK \I*p:c:a-\i in \I*p:c:a-n-tħá\i "glue" (Ad. \Ipcāntħa,\i Kab. \Ibʒāntħa\i). This would be fine in view of the EC data, but Shagirov (1, 81) is probably right in treating \I*p:c:a-n-tħá\i as "fish glue" (with \I*p:c:a\i "fish")."
 187,"*χa", 773,"we","ħa-rá","ħa-ra","","","","    PAT *ħa. Despite Dumézil 1932 there can be no connection with PAK *t:a or Ub. š́ə- 'we'."
 188,"*t:a (~*r-)", 774,"we","","","ta","da","","    PAK *t:a. Despite Dumézil, no connection can exist between PAK *t:a and PAT *ħa or Ub. š́ə- 'we'. Etymology unclear."
 189,"*š́ə",2287,"we","","","","","š́ə-ʁwá","    The Ub. 1st p. pl. pr. is the only one which has reliable EC parallels (the EC exclusive 1st p. pl. pr.); despite Dumézil 1932, PAT \I*ħa\i and PAK \I*t:a\i have no connection with it."
 190,"*-a",2295,"what, who (interrogative stem)","-a(-)","-a(-)","","","","    In Abkh. the meaning of interrogative pronouns is normally expressed by verbal suffixes -da ('who'), -j ('what'). Since d- and j- are class markers  (animate/unanimate respectively), the only morpheme to which we can ascribe the interrogative meaning is -a (probably reduced in *-ja > -j). The same morpheme can be seen in \I-a-ba-\i 'where' and independent pronouns \Id-a-rban\i 'who', \Ij-a-rban\i 'what' (the -rban suffix is not very clear etymologically - perhaps it contains the root \I*-ba-\i 'to see' q.v.?). In Abaz. the situation is analoguous - only in the function of independent pronouns we have \Id-z��̣ʷə-j-a\i 'who' and \Ij-z��̣ʷə-j-a\i (or \I��̣ʷəja\i) 'what'. These are derived (by suffixing the same hypothetic interrogative morpheme *-a) from \Id-z��̣ʷ,\i \Ij-z��̣ʷ\i 'each'  (\I��̣ʷ\i probably had also existed) where \I-z��̣ʷ\i = Abkh. \I-zač̣ə\i 'single' (from \I*zA\i 'one')."
 191,"*χa", 484,"bottom, lower part","","","","","χa","    Isolated in Ub., but with probable EC cognates."
 192,"*sA (~ *š-)",2298,"what","","","səd(ā)","sət","sa","    PAK \I*sə-\i (the Bzhed. and Shaps. variant \Iśə-d\i is still unexplained). The second part of the stem (Ad. -d, Kab. -t) raises some problems. In Kab. -t could have been obtained under influence of \Ixa-t\i 'who' (q.v.); thus we should probably reconstruct *-dA for PAK. The precise nature of this *-dA is not clear (perhaps it reflects the PWC demonstrative *da)."
 193,"*λʷV", 775,"white","á-š-ḳʷaḳʷa","š-ḳʷaḳʷa","fə-ž́ə","xʷə-ź","sʷa","    PAT \I*šə\i (used independently as "wall-eye": Abkh. \Iá-š,\i Abaz. \Išə;\i the meaning of the element \I*-ḳʷaḳʷa\i is not clear); PAK \I*xʷə-ž́ə́\i (with a suffix *-ž́ə common for names of colours).     §    A similar root is used in WC with the meaning 'dawn, light': PAT \I*ša-\i 'to come (of dawn)' (Abkh. \Ia-ša-rá,\i Abaz. \Iša-ra\i), PAK \I*ná-xʷə\i 'light' (Ad. \Inaf,\i Kab. \Inaxʷ\i), Ub. \Isʷə\i 'dawn', \Ia-sʷə́-n\i 'dawn is coming'. However, it differs from \I*λʷV\i 'white' accentologically and may have a different origin."
 194,"*(bə)ʁ́ʷV", 980,"side","","","bʁʷə","bʁʷə","ʁ́a-ḳ́á","    PAK \I*bʁʷə;\i the Ub. form contains a frequent singular suffix -ḳ́(a). Shagirov (1977) compares the AK form to PAT \I*ɣʷə\i 'board', Ub. \Iʁʷə\i 'post' (PWC \I*Gʷə\i), which seems much less trustworthy. The initial *b- of the PAK form is a historical prefix."
 195,"*q̇ərəq̇ə /*[q̇ʷ]ərəq̇ʷə", 986,"1 throat, gullet 2 cervical vertebrae","a-q̇ərq̇ə́ 1","q̇ərq̇ə","pśa-gʷərq: 2","pśa-kʷəq:ʷ","","    PAT \I*q̇ərəq̇ə;\i PAK \I*kʷə́rq:ʷə\i / \I*gʷə́rq:ʷə\i (in compound with \I*pśa\i 'neck'). The Kab. word has a specific meaning "part of neck between the first cervical vertebra and the skull".     §    Despite some phonetic irregularities (expectable in expressive stems of this type) it is hard to separate the PAT and PAK forms."
 196,"*xA",2294,"who","","","xat","xat","š́ə","    PAK \I*xá-tə.\i Abdokov (1973, 23, 72) and Shagirov (2, 104) are quite right in comparing this morpheme with Ub. \Iš́ə\i and rejecting Trubetzkoy's (1930, 80) comparison of Ub. \Iš́ə\i with Bzhed., Shaps. \Iśə-d\i 'what'. Semantically and phonetically the comparison \Iš́ə\i = AK \I*xa-\i is blameless."
 197,"*pəχ́ʷA", 115,"daughter","a-pħá","pħa","pχʷə","pχʷə","pχ́a","    PAT \I*pəħa\i (with a secondary dissimilative delabialisation); PAK \I*pχʷə.\i The root must have originally meant 'woman' in general and has preserved this meaning in PWC \I*pəχ́ʷA-śʷə:\i PAT \I*pəħʷəśə\i 'woman' (Abkh. \Ia-pħʷə́s,\i Bz. \Ia-pħʷə́ś,\i Abaz. \Ipħʷəs\i) = Ub. \Ipχ́ašʷ\i 'wife'. Cf. also Ub. \Ipχ́a-ʒá\i 'wife, woman'."
 198,"*sʷə(mə)c̣V", 776,"woman","","","šəz","fəz","sʷə́mc̣a","    PAK \I*sʷə́zə.\i It seems possible to compare the PAK and Ub. forms as a whole (if PAK -z- < *-c̣- as a result of secondary deglottalisation; perhaps under influence of PAK \I*bzə\i 'female' q.v.), and not only PAK \I*sʷə-\i with Ub. \Isʷə-.\i"
 199,"*ʁʷa", 117,"yellow","a-ʕʷa-́ž́","ʕʷa-ž́","ʁʷa-ž́ə","ʁʷa-ź","ʁʷa","    PAT \I*ʕʷa-ž́ə.\i Shagirov 1, 133 considers it as borrowed from AK; we would rather follow Dumézil 1932, 124 and regard it as a genuine cognate - but possibly influenced by PAK \I*ʁʷa-ž́ə́.\i In PAK there exists an independent form \I*ʁʷa\i (Ad., Kab. \Iʁʷa\i 'yellow, reddish')."
 200,"*č:́əɣ́a (?)", 777,"far","","","č́əž́a","žəźa","","    PAK \I*č:́əž́á.\i Further etymology obscure (Shagirov's explanation /1, 196/ is not persuasive)."
 201,"*žə", 335,"gall","á-z","az","zazə","zaz","-ca (?)","    PAT \I*(a)źə\i (cf. Bzyb. - in Marr's notation - \Iá-ź\i); PAK (reduplicated) \I*zazə.\i Ub. \I-ca\i may be observed in \Ic̣ʷa-cá\i 'gall' - assimilation from \I*c̣ʷa-zá\i (?); note that Ub. \Izaza\i 'gall' (recorded by Dirr), as well as Abaz. \Izaz\i (coexisting with the genuine \Iaz\i), is an Adygh loanword.      §    The correspondence PAK, Ub. z : PAT *ź points to PWC *ž.      §    See Trubetzkoy 1930, 86; Шакрыл 1968, 25; Aбдоков 1973, 52; Шагиров 1977, 205."
 202,"*-anəTa", 778,"heavy","á-χ́anta","χ́anta","wantaʁʷ","wandaʁʷ","ǵə́nṭq̇ʷa","    PAT \I*χ́anəta\i (in Abkh. there also exists a variant \Iá-χ́amta\i). PAK \I*want:áʁʷə\i (also borrowed in Abkh. \Ia-wadaʕw\i).     §    A very difficult case. PAT *χ́- can not in any way correspond to PAK *w-, and Ub. ǵ- to either, so we must assume that in all subgroups we have compounds with different initial components (but the nature of these components is not clear). The situation is aggravated by irregularity of correspondence between PAT *-t- , PAK *-t:- and Ub. -ṭ- and by the existence in Abaz. of a synonymous adjective \Iħat-la\i 'heavy' (does it have any connection with \I*χ́anəta\i ?)."
 203,"*bəĹa", 779,"1 between, inside 2 near","a-bž́á-ra 1","bž́a-ra 1","bLā-ʁa 2","bLā-ʁa 2","bLa- 1","    PAT \I*bəž́a-\i (also used as a preverb 'between, inside' = Ub. \IbLa-\i). In PAK the preverb \I*bLa-\i means 'past (smth.)'. Its original meaning must have been 'near', cf. \I*bLa-ʁá\i 'near', and it has hardly any connection with PAK \I*bLa\i 'arm' q.v. In spite of some semantic difficulties we think that it is possible to relate PAK \I*bLa-\i 'near, past' to the Ub. and PAT forms (a semantic shift of 'inside' to 'environs')."
 204,"*č̣́��̣́a", 993,"kidney","a-č̣́áč̣́a","č̣́��̣́a","źaźəj","źaźaj","č̣́ā́č̣́a","    PAT \I*č̣́��̣́a\i (cf. also Abkh. Bzyb. \Ia-č̣́áč̣́\i); PAK \I*źaźə́jə.\i The Abkh. and Ub. form correspond very well to each other and can only go back to PWC \I*č̣́��̣́a\i (note that Ub. also has \Iźaźə́ja\i 'kidney', borrowed from Ad.). However, the phonetic explanation of the PAK form is more difficult (we should also expect \I*č̣́��̣́a\i). Shagirov (1977, 200) divides the AK form into the root *źa- and a diminutive suffix *-źəjə; but we should rather think of a contraction and assimilation \I*č̣́��̣́a-źəjə\i > \I*č̣́a-źəjə\i > \I*źaźəjə.\i In any case, it is impossible to separate the PAK form from other WC forms."
 205,"*ʒV", 780,"1 reach 2 approach, come near","á-na-ʒa-ra 1","ana-ʒa-ra 1","","","q̇a-ʒə- 2","    PAT \I*na-ʒa-,\i \I*ʕa-ʒa-\i (with different locative preverbs; the second form is reflected in Abkh. \Iā́-ʒa-ra,\i Abaz. \Iʕa-ʒa-ra;\i cf. also Bz. \Iá-naʒa-ra,\i \Iā́ʒa-ra\i).  §    The Ub. forms \Iq̇a-ʒə-\i 'approach', \Iq̇a-ʒ-\i 'near' contain the same root; it is also present in the postposition \I-ō-n-ʒa\i 'to, up to, towards' ( = Abkh. (n)ʒa, Abaz. -ʒa id.; see Dumézil 1932, 75, 250-251). However, the element q̇a- is the Ub. preverb \Iq̇a-\i 'in hand(s), at hand' (so \Iq̇a-ʒə-\i means something like 'near at hand') and does not correspond directly to PAT \I*ʕa-,\i PAK \I*q:a-.\i      §    See also under PWC \I*šə\i ( ~ *ś-) about possible AK parallels."
 206,"*ǯ́ə (/*č́ə)", 781,"salt","a-ǯ́ə́ḳa","ǯ́ḳa","š́əʁw","šəʁw","ǯ́ə","    PAT \I*ǯ́ə-ḳa\i (with a not quite clear second component: is it the singulative marker *-ḳə - \I*ǯ́ə-ḳa\i < \I*ǯ́ə-ḳə\i 'a grain of salt' ?). PAK \I*č́ə-ʁʷə́\i (Shagirov 2, 142 must be right in equating the second component with \I*ʁʷə-\i 'dry, get dry'). It is not quite clear why the affricate in PAK had become unvoiced (perhaps a secondary dissimilation)."
 207,"*ḳ́��̣ʷə", 312,"short","a-ḳ́áč̣","","č̣́��̣́ə","č̣aṣ́","","    PAK \I*ḳ��̣́ə́.\i Identifying \I*ḳa\i as 'tail' and treating the PAK form as 'empty-tailed' (thus in Shagirov 2, 134) is obviously a folk etymology. The Abkh. word may be, but not necessarily is, an AK loanword (phonetic correspondences are quite regular here)."
 208,"*b(ə)Ĺa", 145,"snake","","","bLa","bLa","","    PAK \I*bLa.\i"
 209,"*ʒ́ʷanVzʷV (~-źʷV)", 995,"1 spleen 2 rennet, abomasum","a-vanə́za 1","ʒanəza 1","ǯ́anaź 2","","","    PAT \I*ǯʷanəza\i (~ -ź- - because the Bzyb. form is not known); cf. also Abaz. Ashkh. \Ivanəza.\i The Ad. form \Iǯ́anaź\i points to PAK \I*ʒ́anaźə.\i It is possible that we should compare also Kab. \Iźanfa-n\i 'intestines (of animal); entrails'. This will support the reconstruction *ʒ́ (Ad. ǯ́ : Kab. ź), but we will have to reconstruct PAK variants \I*ʒ́anaźə\i / \I*ʒ́anəsʷa\i ( < \I*ʒ́anəzʷa\i with different dissimilational processes). §    A regular correspondence for PAK *ʒ́ would be PAT *ǯ (*ž) < PWC *ʒ́ʷ. Therefore for PAT we must suppose a metathesis of labialisation: \I*ǯʷanəza\i < \I*ǯanəzʷa.\i The correlation PAT \I*ǯanəzʷa\i : PAK \I*ʒ́anəzʷa\i would unequivocally point to PWC \I*ʒ́ʷanVzʷV.\i However, the Ad. form \Iǯ́anaź\i allows for still another possibility of reconstruction: PWC \I*ʒ́ʷanVźʷV\i (regularly > PAK \I*ʒ́anaźə\i > Ad. \Iǯ́anaź;\i > PAT \I*ǯʷanəźa\i - since /see above/ *-ź- is also possible in PAT). §    Pace Shagirov (1977, 277), it is absolutely impossible to analyze the PAT form as \I*ǯʷa\i + \I*nəza.\i"
 210,"*ƛ̣́ʷa", 121,"thin","a-ṗá","c̣a","ṗʷāč̣́a","ṗās.́a","ṗc̣a","    PAT \I*č̣ʷa\i (cf. also Abaz. Ashkh. \If̣a\i). PAK \I*ṗʡʷa-č̣́á.\i Only the second part of the PAK word corresponds to PAT \I*č̣ʷa\i and Ub. \Iṗc̣a\i (this peculiar correspondence - note that this is the only word with it, and likewise the only word in PAT with *č̣ʷ and in Abaz. with f̣!- points unambiguously to the PWC  lateral *ƛ̣́ʷ). The first component is not quite clear (perhaps it's PAK \I*ṗʡʷa\i 'place' - 'having thin places'?). §    PAK \I*-č̣́a\i is contained also in \I*psə-n-č̣́á\i 'light', \I*za-n-č̣́á\i 'straight' (originally *'light and thin', 'straight and thin')."
 211,"*ča", 416,"abomasum, rennet","á-ca","cara","","","","    PAT \I*ća,\i \I*ća-ra\i (cf. also Bzyb. \Iá-ćar,\i \Iá-ćər\i id.); PAT *ć may go back to *č or *ć."
 212,"*ɣ́ə", 785,"1 swift 2 wind 3 air","a-ʁ́ə́ 1","","ž́ə 3","źə 2","","    PAK \I*ž́ə.\i Shagirov (1, 201) compares the Abkh. word (presupposing PAT \I*ɣ́ə\i) with \I-bʁa\i in Ad. \Iž́ə-bʁa\i 'wind', Kab. \Iźə-bʁa\i 'strong wind'. However, PAK *ʁ can not correspond to PAT *ɣ́, while on the other hand PAK *ž́ corresponds well to PAT *ɣ́. Therefore (despite some semantic difficulties) we prefer to compare the first part of the Ad. compound with Abkh."
 213,"*pəλ:ʷa", 529,"1 wind 2 blow","a-pšá 1","pša 1","ja-pš́a-n 2","ja-pśa-n 2","ṭa-psa 1","    PAT \I*pəša.\i PAK \I*pš:́a-\i (Bzhed. \I-pš:́a-\i) with different preverbs means both 'blow (in gen.)' and 'blow (of wind)'. The component \Iṭa-\i in Ub. is unclear; \I-psa\i < \I*-psʷa\i ( < \I*pəλʷa\i) with secondary dissimilatory delabialisation. See Шагиров 1, 175-176)."
 214,"*χÍamələ-", 325,"worm","","","ħāmləw","ħambələw","","    PAK \I*ħaməLə-wə.\i"
 215,"*xʷa", 786,"worm","á-χʷa","χʷa","","","xa(nḳ́ə́)","    PAT \I*xʷa\i (cf. also Bz. \Iá-xʷa\i). In Ub. -ḳ́ə is an archaic singulative suffix; the morpheme xa- by itself is used in compounds. In Adygh cf. perhaps  Kab. \Ixʷə-ps\i 'larva, grub'."
 216,"*λ́V", 787,"1 year 2 day","š́ə- 2","š́ə- 2","jə-λa-s 1","jə-λa-s 1","","    PAT \I*š́ə-\i in compounds: Abkh. \Iá-š́ə-bž́,\i Abaz. \Iš́ə-bž́a-n\i 'noon' ( < \I*š́ə-bəža,\i see \I*bəža\i 'half'); Abkh. \Iá-š́ə-ž́\i 'morning', Abaz. \Iš́až́ə\i 'early in the morning'.     §    In the AK word (\I*jə-λá-sə\i) jə- is a pronominal prefix; meaning of the final component (-sə) is not quite clear (cf. *-sa in \I*pá-sa\i 'early'?). Shagirov's (1, 185) hypothesis of a Turk. origin seems, anyway, very improbable. §    The original meaning of the root is not clear ('time' in general?). Note that the corresponding root in Avaro-Andian languages has the same range of  meanings."
 217,"*š́ʷA", 146,"year","á-škʷs","skʷšə","","","šʷa","    Ub. def. \Iá-šʷa.\i PAT \I*šə-kʷəśə\i : probably from earlier \I*šʷə-kʷəśə\i with dissimilation (cf. also different dissimilations and metatheses in modern languages: Bz. \Iá-śkʷś,\i Abaz. \Iskʷšə\i). The meaning of the component -kʷəśə is not clear. Abdokov (1973, 54) compared the Abkh. word with AK \I*jəλasə\i 'year' which is improbable."
 218,"*k:ʷə (~*k:́ʷ-)", 793,"carriage, vehicle","","","kʷə","gʷə","","    PAK \I*k:ʷə.\i"
 219,"*tʷanə", 471,"any musical instrument","","","","","tʷanə́","    Ub. tʷ- may go back to *t:ʷ- or *tʷ-."
 220,"*χʷə", 799,"sheep","","","χʷə-","χʷə-","","    Attested only within compounds: PAK \I*χʷə-bŁa\i 'sheep' (q.v.), \I*χʷə-rə́-sʷa\i 'sheepskin' (Ad. \Iχʷərəś̌,\i Kab. \Iχʷərəfa\i). Cf. also Kab. \Iχʷəreṭ\i 'an exclamation for urging sheep'. The verbal root \I*χʷə\i 'to graze, breed' (despite Shagirov 2) is to be kept apart. §    Since only the PAK form is attested, for PWC *χʷ, *χ́ʷ or *χIʷ can be reconstructed."
 221,"*tə / *ṭə", 805,"ram","a-tə́","tə","ṭə","ṭə","ṭə","    PAT \I*tə,\i PAK \I*ṭə.\i Glottalisation in PAK and Ub. is obviously secondary, although its source is not quite clear (perhaps it reflects the original laryngeal -ʔ- which had been lost in Inlaut). Another solution would be  comparing the PAK and Ub. root with a different EC stem (cf. PA \I*riṭana\i [~-o-]  'lamb' > Botl. \Ireṭana,\i Cham. \Ijeṭana\i etc.) - which, however, seems rather  dubious (it is difficult to separate WC forms from each other)."
 222,"*bəŁ́ʷa", 809,"a flock of sheep or goats","","","-bɣa","-bža","","    PAK \I*-bŁa\i present only in the compound \I*χʷə-bŁá\i (see *χʷə). PAK -Ł- can only go back to PWC *-Ł́ʷ-."
 223,"*nəč́ə",2316,"a ram slaughtered in honor of the guest","","","nəš́ə","nəš","nəč́ə́","    The Ub. form corresponds to PAK quite regularly, and there are no reasons to suppose a loan (despite Shagirov 1977). Judging from the external evidence, the root must have originally meant "a two-year-old ram, a grown-up ram"."
 224,"*śʷə(na)", 810,"lamb","a-sə́-s","sə-s","śəna","śəna","","    PAT \I*śə-śə\i (cf. also Bz. \Ia-śə́ś\i), pl. \I*śa-ra\i (Abkh. \Ia-sá-ra,\i Bz. \Ia-śá-ra,\i Abaz. \Isa-ra\i); -śə is the common suffix for names of young animals. PAK \I*śəná.\i     §    External evidence suggests that -na is part of the root; reason for its loss in PAT is not quite clear. The correspondence PAT *ś : PAK *ś points unambiguously to PWC *śʷ."
 225,"*k:ət:ə (~g-,-d-)", 314,"hornless (of horned domestic animals)","a-gdə́","gdi","","","","    PAT \I*gədə\i (or \I*gədə-jə\i > Abaz. \Igdi\i)."
 226,"*ć̣aḳa / *ḳać̣a", 820,"1 bug 2 nit","a-ḳac̣á 1","ḳac̣a 1","c̣āč̣́a 2","c̣��̣a 2","","    PAT \I*ḳać̣a\i (cf. also Bz. \Ia-ḳać̣á\i); PAK \I*c̣aḳá.\i The meaning of the PAK form could have been influenced by its folk-etymological analysis as 'louse' (\I*c̣a\i) + 'egg' (\I*ḳa\i), but external parallels leave no doubt that the bisyllabic structure is here original."
 227,"*bəɣA", 307,"waist","á-bʁa","bʁa","bɣə","bɣə","","    PAT \I*bəɣa;\i PAK \I*bɣə.\i See Shagirov 1962, 1977."
 228,"*k:ap:a", 119,"1 side 2 mountain slope","","","č́āpa 2","ǯāba 1","","    PAK \I*k:ap:á.\i"
