"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
 110,"*gírok",   0,"catch","\I'gjajk-ca\i (instead of \I*'gjak-~*gjek-\i)  catch, hold, catch (trap)","","","\Iĳukmā\i (\Iĳuktu\i)  to entrap",   0,"",   0,"",   0,"",   0,"Cf. also K \I'ghrunä\i (\I'ghraktu\i)  hold ?"
 111,"*gèlVŋ",   0,"charcoal","","\Igeloŋ,\i \Igeluŋ\i","\Igela-bwɔm\i (EKg; \I-bwɔm\i "lichen"?)","",   0,"",   0,"\Igelɔbɔm\i", 349,"",   0,""
 112,"*gä̀m (~-ə̀m)",2403,"cool","\Igam-ca\i to cool","","","\Ihāmā̆mā\i cold",   0,"",   0,"",   0,"\Ijemma\i",1875,""
 113,"*gá(k)",2100,"crow","","\Igāpu,\i \Igɔ̄pu\i (AS \Igagakpu\i)","\I'gɔkpö\i","\Iākwā\i (but also \Ikākwā\i)", 504,"\Igogo\i", 263,"\Icas-kuwa;\i \Igagappa\i", 101,"\Iaraʔwa\i (?)",  48,"Toba 88 *gakpö."
 114,"*gù(n)nek (?)",   0,"women's  lower garment","\Igune\i","","\Igünnä\i (CSDP \Igünne\i)","",   0,"",   0,"",   0,"",   0,"? Borrowed, cf. M \Iguńā\i, J \I'gunek\i"
 115,"*gró(k)", 631,"goat","","\Igro\i wild goat","\Igrodü\i","",   0,"",   0,"",   0,"",   0,"Toba 90 *grodü."
 116,"*gù[t]",2248,"hand; joint","\Iguj\i hand","","","\Ihuk\i hand, arm", 415,"\Igutna\i joint, knee (cf. also \Ikɨtna\i 'elbow')", 273,"\Ihu\i", 455,"\Ihuk\i", 369,"Toba 91 *kha (?) (comparing Kul. hu and Kal. kha̲)."
 117,"*ghlùm",1839,"hatch","","\Ighlöm-\i hatch, \Ighlomi\i  hen","\Iglamnä\i (\Iglamdu\i) sit on eggs, hatch","",   0,"gɨmnɨ", 256,"\Ikumma\i 'breed eggs', \Ikuppu\i 'bred egg'", 572,"\Ikupma\i", 543,"In Yamphu - perhaps a merger with *qəp q.v."
 118,"*g-",   0,"deictic prefix in personal pronouns","\Ig-\i","\Ig-\i","\Igu \ihe, she, it","\Ih-\i in \Ihen\i he,that, \Ihune\i he, she (see *ʔu-), \Ihene\i you, thee",   0,"",   0,"\Ik-\i (\Ikɔŋ\i 'I' etc.)",   0,"\Ik-\i",   0,"Cf. *ko(n)."
 119,"*gräŋ (//*räŋ)",2560,"horn","\Igrō\i","\Irəŋ\i","\Igraŋ\i horn","\Ikudāŋ\i horn, \Itāŋliŋbā\i having horn",1690,"go", 262,"",   0,"\Isa-ǯaŋ\i",1296,"Toba 91 *graŋ. ? Kulung \Ipittɔ\i ( < *bìn 'cow' + *gräŋ with assimilation)."
 120,"*go(ŋ)",2118,"in, inside","","\Igonu\i  within","\I-gobi\i in, inside, \Igoju\i  within","\Io,\i \Ijo\i in",1091,"\Iho-\i (?)", 321,"\Igɔ̄\i", 373,"\Ihoŋsiʔ\i 'inside'", 357,""
 121,"*gòlVŋmV",   0,"pocket","","\Igolmu\i, \Igolmo\i fold in clothing fore carrying things, pocket","\Iguluŋme\i","",   0,"",   0,"",   0,"",   0,"For the 1st part cf. *go(n) 'clothing'."
 122,"*gèn",   0,"raise","","\Igē(t\i)- look after (plants), cultivate","\Igejnä\i (\Igendu\i) raise (animals)","",   0,"",   0,"",   0,"",   0,""
 123,"*grä̀ŋ",   0,"thorn","","","\Igraŋ\i","",   0,"\Igɨrɨ\i", 259,"",   0,"\Ičiǯeŋ\i", 152,""
 124,"*gak-",   0,"give","\Ige-ca\i","\Igɔk-\i","","",   0,"",   0,"",   0,"",   0,""
 125,"*khə̀l-eŋ, -Vm",2246,"all; twenty","","\Ikhole\i, \Ikhotle\i  all","\Ikhöleŋ\i all, everything, \Ikhölede\i everywhere; \I'tu-khäl\i twenty","\Ikhyām\i all (?); (VD) \Ikɛrɛk\i", 547,"\Ikhələ\i", 478,"\Ikhal\i 'score', \Ikhɔ̄lɔ\i 'all, every'", 586,"",   0,"Toba *kholeŋ; 98 *khäl '20'."
 126,"*khälem (~x-)",   0,"ant","","\Ikhalem\i ant","\Ikhelem\i flying ant","",   0,"",   0,"\Ikhalem\i 'black ant'", 588,"",   0,""
 127,"*[gh]ə̀ŋ (//-k)",2197,"ascend","","\Ihuŋ\i","\Ikhonä\i (\Ikhöŋɔ\i) ascend, come up, (\Ikhondu\i)  bring up","",   0,"",   0,"\Igɔ̄ma\i 'carry by hand'", 377,"\Ikakma\i", 462,""
 128,"*khäp (~x-)",   0,"begin","","\Ikhap\i- begin, \Idiummu\i \Ikhap-\i have almost finished","\I'khämnä\i (\I'khäbu\i) near completion","",   0,"",   0,"",   0,"",   0,""
 129,"*khìŋ",2188,"bile","","\Ikhiŋ\i","\Ikhaŋ\i; \Ikhi\i gall bladder","khīŋ",2174,"",   0,"\Ikhiŋ\i", 649,"\Ikhiʔwäŋ\i", 638,"Some interaction with *khä 'bitter' was possible. Toba *kha̲ŋ."
 130,"*khú",   0,"k. of bird","","\Ikhu\i bird assosiated with death","\I'khu\i a small grey bird","khuʔwaʔ",2175,"",   0,"",   0,"",   0,""
 131,"*khä(-s)",2039,"bitter","\I'ka-só\i (k- is unclear)","\Ikhes\i- taste bitter, feel bitter;","\Ikhäpä\i","\Ikhik\i",2156,"\Ikhānɨ,\i \Ikhākpɨ\i", 469,"\Ikhikpa\i adj., \Ikhīma\i v.", 637,"\Ikhikma\i", 618,"Cf. *khìŋ 'bile' (which could have influenced the L, Yam and Kul vocalism). Toba 88 *khäpä."
 132,"*khòrbä",   0,"bowl","","\Ikhorba\i, \Ikhakharba\i  wooden or earthenware vessel","\Ikhwɔrbe\i wooden bowl","\Ikhurwā\i wooden cup",   0,"",   0,"",   0,"",   0,""
 133,"*khek",   0,"burn","\Ikhi-ca\i  (why not \I*khēk-ca\i ?)","\Ikhɛk-\i  be scorched, burn","\I'khe-nä\i scorch (EKg)","khɛkmaʔ",2226,"",   0,"\Ikhima\i", 641,"",   0,"Sunwar and Kulung reflect perhaps a separate root *khi."
 134,"*khrát",   0,"count","","","\I'khrannä\i (\I'khrattu\i)","\Ikhā-nipmā\i (\I-nipmā\i) to read, \Ikhānin\i figure, account",   0,"",   0,"",   0,"",   0,""
 135,"*khrə́p",2545,"cover","","\Ikhrep-\i cover, \I'khrem\i  covering","\I'khrwɔmnä\i (\I'khrwɔptu\i) cover, close (a book), \I'khrwɔn\i lid","khōpmaʔ",2266,"",   0,"\Ikhəm\i 'lid of a pot', \Ikhəmma\i 'cover, put the lid on a pot'", 627,"",   0,""
 136,"*khók",2449,"cut, shear, chop","","","\I'khonä\i (\I'khogu\i) cut, shear, shave","\Ikhɔkmā\i (\Ikhɔktu\i) chop",2163,"",   0,"\Ikhɔ̄ma\i", 671,"\Ikhoŋma\i 'fragment, chop up', \Ikho:kma\i 'scrape off, shave'", 664,"Cf. *kok. Toba 95 *khVC- (confused with *khur)."
 137,"*khlè",2591,"dog","","\Ikhlewa,\i \Ikhleja\i (AS \Ikhleba\i)","\Ikhlep\i","\Ikhjābā\i dog, \Ikhjāmā\i bitch, \Ikhjāsā\i puppy",   0,"\Ikhībɨ,\i \Ikhību;\i dial. \Ikhlebu\i", 495,"\Ikheba\i 'dog', \Ikhepme\i 'bitch'", 608,"",   0,"Toba 89 *khlepa."
 138,"*kheculi ( ~ x-)",   0,"elbow","","\Ikhicüli\i","\Ikhecülü\i","",   0,"",   0,"\Ikhacalu\i", 580,"\Ikhänsrukma\i (?)", 588,"Cf. Chepang kuculi. Toba 89 *kheculü."
 139,"*kham(-s)",2383,"embrace","","\Ikham-\i","","\Ikhummā\i (\Ikhumsu\i) wrap up (body)",   0,"",   0,"",   0,"",   0,""
 140,"*khòr ( ~ x-)",2459,"fence","","\Ikhor\i  barrier","\Ikhwɔr\i fence, trap","",   0,"",   0,"\Ikhar \i(Toba)",   0,"",   0,"Toba 90 *khwar."
 141,"*khən-li ( ~ *khət-)",2057,"foot, leg","\Ikhojli\i foot","\Ikhel\i leg, foot","","",   0,"",   0,"",   0,"",   0,""
 142,"*khop",2626,"gather up","\Ikhup-ca\i","\Ikhop-\i","\I'khwɔmnä\i (\I'khobu\i)","",   0,"",   0,"",   0,"",   0,""
 143,"*khīläm ( ~ *x-)",   0,"ghee","","\Ikhilam\i","\Ikhiläm\i","",   0,"",   0,"",   0,"",   0,""
 144,"*khòlʒam  ( ~ x-)",   0,"goitre","","\Ikhɔlʒöm\i","\Ikhwɔlʒɔm\i","",   0,"",   0,"\Ikhəlǯəma\i", 625,"",   0,""
 145,"*khùruk ( ~ x-)",   0,"grinding stone","","\Ikhuruk\i (AS \Ikhurüp\i) handmill","\Ikhürü\i","",   0,"",   0,"\Ikhururuwa\i", 688,"",   0,"Possibly < \I<*xäl-ruk\i, see \I*xäl-\i."
 146,"*[kh]ek",   0,"hang up","\Ikhī-ca\i hang rope","\Ikhɛk-\i (= \Ihɛk-\i) hang up","\I'khenä\i (\I'khehtu\i) hang up, put on, wear by hanging around neck or shoulders","",   0,"",   0,"\Ikāma\i", 523,"",   0,""
 147,"*khù",   0,"honey","\Ikhodo\i","","\Ikhudo\i","\Ikhu\i",   0,"",   0,"\Ikhudɔ\i", 676,"",   0,"Toba 91 *khudo."
 148,"*khèk, -kVr-cV (//*kV̀r-cV)",   0,"hook","","\Ikakarca,\i \Ikarca,\i \Ikarcali\i","\Ikherɔkso\i","\Ikhekcurī\i (but also \Iphekcuri\i)",   0,"",   0,"",   0,"\Ikhäk-\i 'to hook'", 587,""
 149,"*khli",   0,"intestines","\Ikī\i","\Isikhli,\i \Icekhli\i","\Iciskhli\i","hi-duʔl", 353,"\Isākhil\i",1067,"\Iciskhil\i", 125,"\Ikhi-rik\i 'kidneys'", 631,"Compounds: *cikkhli, *cikcəkhli, see *cik 'kidney' (Toba 88 *ciskhli). Cf. *χli 'faeces'."
 150,"*khə̀l ( ~ *x-)",2095,"move","","\Ikhəl-\i shift, move (smth. heavy)","\Ikhwɔlnä\i (\Ikholu\i) shift, move","",   0,"",   0,"\Ikhəlma\i", 626,"",   0,""
 151,"*xlép",1906,"peel","","\Ikhlep-\i","\I'khlemnä\i (\I'khlebu\i) peel (with a knife), cut at one point; \Ikhlep\i- peel, shave off (thin slice)","\Ihīpmaʔ\i", 379,"",   0,"\Ikhemma\i", 614,"\Ireploŋ\i 'peeling of the skin' (?)",1228,"Toba 93 *'khlep-."
 152,"*khúr",   0,"scrape","\I'khor-ca\i","\Ikhur-\i   shave, scrape","","",   0,"\Ikhārnɨ\i", 472,"",   0,"",   0,""
 153,"*xòr",   0,"snore","","\Ikhor-\i","\Ikhwɔrnä\i (\Ikhwɔrnɔ\i)","khɔnɔkwa",2277,"\Ihɨrnɨ\i", 319,"",   0,"\Ikho-noʔwa\i 'snoring'", 653,""
 154,"*khi",   0,"spittle, spit","","\I-ki\i in \Ithaŋki,\i \Ithəŋki\i spittle","\Ikhi\i in \Ikhi\i \I'thunä\i spit; \I'khimö\i saliva","",   0,"",   0,"",   0,"",   0,""
 155,"*khák",2620,"sputum","","\Ikhɔkmo\i mucus from chest","\I'khɔkmö\i","\Ikhākwā\i phlegm",2166,"",   0,"\Ikhakma\i", 584,"",   0,"Toba 96 *khakmö."
 156,"*khì",   0,"string","","","\Ikhi\i string, rope-ladder","\Ikhi\i thread",2176,"",   0,"\Isa-khi\i",1123,"\Ikhi\i", 612,"Cf. also T \Ikh-\i in \Ikhrep-\i twist (strands of rope) = L \Ikhi-lip-mā\i twist thread."
 157,"*khù(s)",2568,"steal, thief","\Ikhuj\i  thief (\I<*khut\i)","\Ikhu-\i steal, \Ikhucübo,\i \I-wa\i  (=K \Ikhespö\i) thief","\Ikhenä\i (\Ikheŋɔ\i) to rob, \Ikhepä\i (adj.) thief, \Ikhespö\i thief","\Ikhumā\i (\Ikhuttu\i) to steal, \Ikekhūpā\i thief",2164,"\Ikhīnɨ\i", 500,"\Ikhuma\i 'steal', \Ikhuspa\i 'thief'", 679,"\Ikhu:ma\i", 678,"Toba 96 *khu(s)-."
 158,"*khíp ( ~ x-)",2338,"tight","","\Ikhip-\i tighten","\I'khamnä\i (\I'khaptu\i) pull firm (waistband), \Ikhapsipä\i tight (of clothes)","",   0,"",   0,"",   0,"",   0,""
 159,"*khlók ( ~ x-)",1957,"turn over, knock down","","\Ikhlok-\i turn over, turn round, return","\Ikhlonä\i (\Iḱhlogu\i) punch, knock down","",   0,"",   0,"",   0,"",   0,""
 160,"*coŋ (/ʔc-)",   0,"to cook, prepare food","","","","sɔŋmaʔ",1601,"",   0,"",   0,"\Icuŋma\i", 202,""
 161,"*kä́p ( ~ ʔk-)",2535,"add","","\Ikap-\i give more of","\I'kämnä\i (\I'käptu\i) add, increase","",   0,"\Ikepnɨ\i", 400,"",   0,"",   0,""
 162,"*gh[u]ŋ (/*ʔk-,-k)",2369,"bend, crooked","","\Igəŋte,\i \Igəŋgəŋja\i crooked","\I'kunä\i (\I'kuktu\i) bend, \I'ghunä\i (\I'ghuktu\i) bend over (tr.), \Ighunä\i (\Ighuŋɔ\i) bend over (itr.)","",   0,"",   0,"\Ikhukh- \i(Toba)",   0,"",   0,""
 163,"*ghòl ( / *ʔk-)",   0,"big","","\Ikol-,\i \Ikəl-\i be large","\Ighwɔlnā\i (\Ighwɔlŋɔ\i) get big, \Ighwɔlpä\i big, important","",   0,"\Igolpɨ\i", 264,"",   0,"",   0,""
 164,"*kùp[ju]",   0,"k. of bird","","(AS) \Ikuppi\i cuckoo","\Iküpjü\i big blue bird","\Ikjābɔpu\i hoopoe (?)",   0,"",   0,"\Ikuppu\i", 575,"",   0,""
 165,"*ké- (~χ-)",2699,"black","\Ikjet\i","\Ikekem\i","\Ikekem\i","",   0,"",   0,"",   0,"",   0,"Could be also \I*kèk; \iS\I kjet\i may go back to \I*kek-et\i. Toba 87 *kekem."
 166,"*[k]ó(-s)",   0,"boil","\I'ke-ca\i cook (tr.)","\Ikhok-\i cook","","\Ikomā\i (\Ikosu\i) boil", 570,"",   0,"",   0,"",   0,"Toba 88 erroneously *kham- (comparing also Kal. kham-)."
 167,"*klùm (/-p)",   0,"bury","","\Iklüm-\i bury (corpse, money)","\Ikhlamnä\i (\Ikhlumu\i)","lupmaʔ, -lupt-/-lup-", 730,"",   0,"\Ikhumma\i", 681,"\Irupma\i",1291,"Initial in K could have been influenced by a different root, cf. T  \Ikhlə(t\i)- lay out (corpse)."
 168,"*krìm",2444,"close (eyes)","","\Ikrim-\i","\Ikramnä\i (\Ikrimu\i)","",   0,"",   0,"",   0,"",   0,""
 169,"*kiri(k)mə(~q-)",   0,"cricket","","\Ikirikmo,\i \Ikirimo\i smallesh variety of cricket","\Ikirime\i","",   0,"",   0,"\Ikirippa\i", 545,"",   0,""
 170,"*kríp",   0,"cut","","\Ikrip-\i cut (rope, nail, hair etc)","\I'kramnä\i (\I'kraptu\i) cut, saw","",   0,"",   0,"\Ikimma\i", 543,"",   0,"Toba 89 (erroneously comparing also Kul. khɔks-)."
 171,"*kùtu // *kùcu",   0,"dog","\Ikucum\i","\Ikutüma\i puppy","","\Ikutibā\i puppy, \Ikoco\i  dog", 563,"",   0,"",   0,"",   0,""
 172,"*krák",   0,"overeat, cram with food","","\Ikrɔk-\i cram (esp. a person with food)","\I'krɔnä\i (\I'krɔhtu\i) to stuff, to overeat","",   0,"",   0,"",   0,"",   0,""
 173,"*k[è]l ( ~ ʔk-)",2381,"face","\Ikul\i","\Ikəl\i","\Ika-phi\i (?)","",   0,"",   0,"",   0,"",   0,"Toba 89 *ka--."
 174,"*kùpphi ( ~ ʔk-)",   0,"forehead","\Ikuphi\i","\Ikuppi,\i \Ikukpi\i","\Iküpphi\i","",   0,"",   0,"",   0,"",   0,""
 175,"*ka ( ~ ʔk-)",   0,"from","\I-ke\i of","\I-ka\i erg. instr. adv. suffix","\I-kɔ\i from (time, space)","",   0,"",   0,"",   0,"",   0,""
 176,"*[kh]ə̀r",   0,"fry","\Ikar-ca\i","","\Ikhwɔrnä\i (\Ikhoru\i)","",   0,"\Ikharnɨ\i", 461,"",   0,"",   0,""
 177,"*kòŋ(ka)tum",   0,"wooden hammer","","\Ikodümbi,\i \Ikōdiwi,\i \Ikundim,\i \Ikhundüm\i","\Ikoŋkɔdam\i","",   0,"",   0,"\Ikɔŋkhedum\i (cf. also \Ikɔŋkhi\i 'pestle')", 558,"\Ikaŋgi\i", 471,""
 178,"*kòr ( ~ ʔk-)",2072,"ladle","","\Ikorcöm\i flat wooden stirrer used in cooking","\Ikwɔrcam\i wooden ladle","",   0,"",   0,"",   0,"",   0,"In the comp. \I*kòr-cam,\i see  \I*cam\i"
 179,"*kùr (/ʔk-)",2065,"carry","\Ikur-ca\i","\Ikur-\i","\Ikarnä\i  (\Ikuru\i)","\Ikumā\i  (\Ikuju\i)", 654,"\Ikɨrnɨ\i", 435,"\Ikhurma\i", 687,"\Ikhi:ma\i", 640,"Toba 88 *kur-."
 180,"*krè",   0,"meet","","\Ikri-\i take (person) with oneself","\Ikrenä\i (\Ikreŋɔ\i) meet together","",   0,"",   0,"\Ikhaima\i 'take, take away' (?)", 583,"",   0,""
 181,"*kòk (/ʔk-)",   0,"grind","","\Ikok-\i crush, pulverise (e.g. salt)","\Ikok-\i in \Ikokcam\i small mortar (=T \Ikokcüm\i)","",   0,"",   0,"\Ikhɔ̄ma\i", 673,"\Ikokcoŋ\i 'wooden mortar'", 520,""
 182,"*kàlaŋte ( ~*ʔk-)",   0,"naked","","\Ikalatüp,\i \Ikolatüp,\i \Ikhalaŋte\i","\Ikɔlɔnte\i","",   0,"",   0,"",   0,"",   0,""
 183,"*ʔi[t]",1993,"one","","","","",   0,"",   0,"ī-bum", 481,"ikko", 414,""
 184,"*ʔkə̀- (?)",2304,"porcupine","\Ikudi\i","\Ikös\i","","\Iaʔiʔ\i",   3,"",   0,"\Ikhas\i", 605,"\Ikhasma\i", 573,""
 185,"*ʔkä̀p",2309,"pot","","\Ikap\i  vessel","\Ikäp\i","khɔppēʔ",2282,"",   0,"",   0,"",   0,""
 186,"*khìnu- (//ʔk-)",   0,"pus","","\Ikən\i","\Ikhünüwä\i","",   0,"\Ikhɨ́ni\i", 507,"\Ikhunwa\i", 684,"",   0,"Toba 94 *khänwe. Cf. Yamphu kimma (kim-) 'decay, rot'; Limbu kīmaʔ 'rot (i.)' (kī(r)-), kīmmaʔ (tr.) (kīn-). Perhaps two (or more?) roots, hopelessly confused."
 187,"*kaŋ",2149,"put on stove, fire","\I'kā-ca\i","\Ikoa(t\i)-","\Ikɔnä\i (\Ikɔŋu\i)","",   0,"",   0,"",   0,"\Imi-gäŋa\i 'glow or warmth of a fire'", 815,""
 188,"*krùk", 806,"roar","","\Ikruk-\i","\Ikrunä\i (\Ikru\i) roar (tiger, bull)","",   0,"",   0,"",   0,"",   0,""
 189,"*klék / *kléŋ",   0,"rub in (oil)","\I'khrēk-ca\i","\Iklək\i- smear, anoint, rub on","\I'klenä\i (\I'klehtu\i) rub, smear","\Ileŋmā\i (\Ileŋu\i) smear", 664,"",   0,"\Ikilma\i \I(?)\i", 537,"",   0,"Toba 99 *klek-."
 190,"*kúk",2080,"scold","","\Ikuk-\i scold, be angry with (also knock, bruise, thresh)","\I'kunä\i (\I'kuktu\i) revile, hurt with words","",   0,"",   0,"",   0,"\Ikakma\i (?)", 461,""
 191,"*khlút ( / ʔk-)",   0,"shut","","\Ikhlüt\i- shut, lock door","\I'klannä\i (\I'klattu\i) shut (with a key)","",   0,"",   0,"",   0,"",   0,""
 192,"*kòro ( ~ ʔk-)",   0,"slide (earth slide)","\Ikoro\i (\I'la-ca\i)","","\Ikoro\i (\I'khwɔnnä\i)","",   0,"",   0,"",   0,"",   0,""
 193,"*kát (/-n)",   0,"splash, pour, spill","","\Ikot-\i splash (with beer from gourd - a ritual act)","\I'kannä\i (\I'kattu\i) splash, whitewash","",   0,"\Ikānnɨ\i", 397,"\Ikaima\i", 512,"",   0,""
 194,"*kìn (/*ʔk-)",   0,"stretch","\Ikī-ca\i, \Igī-ca\i stretch (itr.)","\Iki-\i stretch, tighten (skin over drum), \Ikimsi-\i stretch (one`s body)","\Ikajnä\i (\Ikandu\i) stretch (itr.)","\Ikembā\i (\I<*ken-\i) long; khiŋmaʔ 'be taut; make taut, stretch'", 516,"",   0,"\Ikīma\i", 547,"\Ikiʔä\i 'long, tall', khiŋ 'stretched out', khiŋma 'stretch'", 504,""
 195,"*krék  ( / -ŋ)",   0,"stunt","","\Ikrɛ(ŋ)/-k(t)-\i  be stunted, fail to grow","\I'krenä\i (\Iḱrehtu\i) to stunt","",   0,"",   0,"",   0,"",   0,""
 196,"*ko(n) (/ʔk-)",2181,"this","\I-ko\i in \Ieko\i he, it, that; \Ikā \ione","\Iko, koŋ\i one","","\Ikɔŋ\i this, \Ikhɛŋ\i he, she, it; that, \Ikhunɛʔ\i he, she, him, her", 589,"\Ijaḱka\i",1481,"\Ikhə,\i \Ikhuŋkə\i", 622,"\I-go\i in \Iigo\i 'this', \Ikhom-\i 'his, her', \Ikho:\i 'she, he'; \I-ko\i in ikko 'one'", 663,"Cf. *g-."
 197,"*krèm-c\L1\lə̀",   0,"tick (insect)","","\Ikrömsi\i tick (on dogs or cattle)","\Ikremci\i","",   0,"",   0,"",   0,"",   0,""
 198,"*k[ù]",2547,"uncle","","\Ikuk\i mother`s brother","\Ike\i uncle (mother`s brother)","\Ikukuwā\i maternal uncle", 657,"\Ikiki\i", 412,"\Ikɔkpa\i", 555,"\Ikwäŋ\i", 551,"The reconstruction is not quite clear: perhaps also *kè, *kèku? Toba 98 *kVk."
 199,"*kù",2635,"water","\Ibāk-ku\i (cf. also \Iśēk-ku\i soup, broth  etc.)","\Iku\i water, spring, sap, juice, white (of egg)","\Iku\i","\Ikwā\i (\I<*ku-wā\i) juice", 623,"\Ikɨ\i", 426,"\Ikawa\i (cf. also \Ikhuwɔlu\i 'ocean')", 522,"",   0,"Toba 98 *ku."
 200,"*kər  ( /ʔk-)",   0,"wound","\Igār\i","","\I'kwɔr\i bruise (CSDP \Ikwɔr\i),  wound, injury","\Ikāmmaʔ,\i \I-kānd-/-kān-\i", 505,"\Ikar\i", 389,"\Ikher\i", 620,"",   0,""
 201,"*jo",   0,"also","\Ijo\i","\Io, wo\i","","",   0,"",   0,"",   0,"",   0,""
 202,"*jàŋ",   0,"behind","","","\Ijothɔ\i back, behind, after","\Ijāŋsi\i afterwards, \Ijāŋā\i behind",2023,"\Ijō\i",1512,"",   0,"",   0,""
 203,"*jä̀",   0,"blade","","","","\Ija\i edge, \Ijāmbe\i edge of blade, \Ijārāpmā\i to sharpen",1994,"",   0,"\Ija\i",1425,"",   0,""
 204,"*jóps",2133,"break (in small pieces)","","\Ijops\i-  disintegrate, rust away, turn to dust","\I'jwɔmnä\i (\Ij́obu\i) make small,fine, break into small pieces","\Ijupmā\i (\Ijuttu\i) to grind; sharpen",2133,"",   0,"\Ijemma\i 'thresh, eat greedily', \Ijəmma\i 'crush, bruise'",1435,"\Ijipma\i 'to sharpen'; jopma 'break into splinters, grind to dust'",1909,"Some interaction with *r[o]p is possible. Toba 91 *yap- (also confused with *jàl q.v.)."
 205,"*jó[l]i (?)",1456,"chin","\I'jojli\i","\Ijoʒi\i","","",   0,"",   0,"",   0,"ya-buk mouth (?)",1820,""
 206,"*jV(-k)",1463,"descend","\I'ji-ca\i","\Ijok\i- come down; fall (of rain)","\Ijenä\i (\Ijeŋɔ\i)","\Ijumā\i (\Ijū\i) descend",2116,"\Ijīnɨ\i",1504,"\Ijuma\i 'come down'; \Ijuima\i 'bring down' (?)",1463,"\Ijoŋsiʔ\i 'the lower part', juma, ju:ma 'descend', juŋma 'to put down'",1961,"Probably = *ju 'down'. Toba *je(k)-."
 207,"*ju",1463,"down","\I'uju\i","\I-ju\i  down at, down to","\I-mä-jü\i (for \I-mä-\i cf. \I-mä-tü\i up) down, under","\Ijo\i  down, below",2084,"\Ijukko\i",1515,"",   0,"",   0,"Cf. *jV(k)."
 208,"*jaŋ (?/*jak)",1426,"fly (n.) (in compounds)","","\Isömu\i","\Isɔjɔme\i","\Ijoŋnābā\i",   0,"",   0,"\Icəiəmma\i", 109,"",   0,"Toba 90 *caymV."
 209,"*jík",   0,"grind","","\Ijik-,\i \Ihik-\i turn round, grind (grain on handmill), \Ijək\i- pulverise, grind up (as salt, chili)","\I'junä\i (\I'jigu\i) grind, grain","",   0,"\Ijɨknɨ\i",1507,"\Ijīma\i",1443,"\Ii:kma\i", 450,""
 210,"*jùl (?)",   0,"haze","","\Ijun\i haze","\Ijül\i heat haze","",   0,"",   0,"\Ijul\i",1462,"",   0,"Toba 91 *yun. May be \I*jùl-nV\i or \I*jùn-lV\i ?"
 211,"*jùnpi(k)",   0,"-in-law","","\Ijumpi\i youngest of a series of siblings","\Ijumpi\i brother-in-law (term used by woman)","",   0,"",   0,"",   0,"",   0,""
 212,"*ja",1409,"land, earth","","\Ijē\i unirrigated field, land, \Iwa-je\i lowland, \Iba-ja\i land, earth, floor","\I-jɔ\i in \Ibhɔjɔ\i place, ground, earth, \Iwɔjɔ\i lowland","",   0,"",   0,"\Iji\i 'dry field'",1441,"",   0,"Toba 90 *yu (erroneously comparing Kal. 'u)."
 213,"*jà",   0,"magic","","\Ijum\i magic power,","\Ijɔm\i great shaman","\Ijābā\i exorsist, \Ijāmā\i  female exorsist",   0,"",   0,"",   0,"",   0,""
 214,"*jòŋ",   0,"melt","\Ije-ca\i","\Ijoŋ\i-","\Ijonä\i (\I\Ijoŋu\i\i)","\Ijonmā (jondu\i) to thaw, \Ijonmā\i (\Ijondā\i) to melt",   0,"",   0,"\Ijɔ̄ma\i",1453,"",   0,""
 215,"*jok",   0,"move","\Ijāk-ca\i shift, \Ijāk-si-ca\i move to other place","\Ijuk\i- poke (for ex. metal spike on blade into wooden handle when making tool)","\I'jonä\i ('joh-) move, transfer, shift","\Iikmā/iŋmā\i (\Iikkhu\i) remove",   0,"\Ijoknɨ\i 'distribute, portion out'",1509,"",   0,"",   0,"Toba 95 *yok-."
 216,"*jíc\L1\lu  (<jú-c\L1\lə)",1455,"rat","\Ij́icu\i","\Ijucü,\i \Ihicü\i pine marten","\Iispö\i (CSDP \I'ispö\i)","\Isubā\i (\I<*jisubā\i = K \I'ispö\i)",1619,"\Iɨspɨ\i", 375,"\Ichuwi\i", 231,"\Isiʔnuma\i (?)",1441,""
 217,"*jàŋ",1434,"sift","","\Ijɛ-\i shake, sieve","\Ijɔnä\i (\Ijɔŋu\i) (Toba \I'jak-\i 'shake')","\Ikhedum-joŋmā\i (\I-joŋu\i) sieve flour (\Ikhedum\i flour)",   0,"",   0,"\Ijɔ̄ma\i",1456,"",   0,"Toba 95 *yak-."
 218,"*jàk, *jak-ki",2173,"small","","\Ijakke\i small","\Ijɔhki\i small, soft (voice)","\Imi-jāk\i, \Ijāk\i a little, almost",   0,"",   0,"",   0,"",   0,""
 219,"*jàk ( / *jáŋs)",   0,"strike","","\Ijak-\i  strike, lop (branches from tree); castrate (rare)","\I'jɔnä\i (\I'jɔhtu\i)","\Ijāŋmā\i (\Ijāŋkhu\i) get hit",2017,"",   0,"",   0,"",   0,""
 220,"*jàl",   0,"strike","","\Ijal-\i strike, hit","\Ijɔlnä\i (\Ijɔlu\i) hit","",   0,"",   0,"",   0,"\Ije:ma\i",1887,""
 221,"*jút",   0,"succeed","","\Ijut-\i succeed in, manage to","\I'jannä\i (\I'jattu\i) find time to do smth.","",   0,"\Ijātnɨ\i 'like, be fond'",1495,"",   0,"",   0,""
