"NUMBER","PROTO","PRNUM","PSPEECH","MEANING","NEPALI","DERCOMM","COMMENTS"
 372,"ɨnnɨ",   6,"vt-2a ɨnd/ɨn-ɨnts/ɨs","fell"," ḍhālnu","[dir. < ɨnnɨ vi-1 'be felled']"," cf.  \X0ripnɨ\x \X0vt-2a.\x"
 373,"ɨntsɨ",   0,"pro.","they (dual)","","[ɨm 'he' + tsɨ < *-si Kirāntī dual sf.]","vide  3.4; cf.  \X0ɨmnɨ.\x"
 374,"ɨrpɨ",   0,"n.","branch"," hāʔgā.","",""
 375,"ɨspɨ", 216,"n.","mouse"," musā",""," cf.  \X0berɨspɨ,\x \X0bhu-ɨspɨ.\x"
 376,"ɨtnɨ",   0,"vt-2a ɨd/ɨt-ɨts/ɨs","roast","","[+ edible, e.g. su 'meat']","cf.  \X0hɨtnɨ.\x"
 377,"ɨtsɨ",   0,"adv.","definitely, verily"," pakkā.","",""
 378,"ɨyo:", 839,"n.","nest"," gũḍ.","",""
 379,"kaʔo:", 595,"n.","river"," kholā, nadī.","",""
 380,"kaʔo:khɨ",   0,"n.","river-sāʔgo.","","[kaʔo: 'river' + khɨ q.v.]",""
 381,"kaʔrimbhu",   0,"n.","the tree Fraxinus floribunda"," lākurī, lāʔkurī.","[< -bhu 'tree']",""
 382,"kakharɨ",   0,"n.","gargling, gurgling, esp. in preparing to spit or spew out phlegm","khakār","","vide  \X0mɨnɨ\x \X0vt-7\x \X0(2),\x \X0ka:nnɨ\x \X0vt-2a.\x"
 383,"kalkal",   0,"n.","popliteal fold, fossa poplitea","","","cf.  \X0gutna.\x"
 384,"kaḿsinɨ",  68,"vr.erg.","1) cover oneself (with a blanket) 2) n., blanket 3) (with ho:p 'self') dress, put on (gu, sikiri 'clothes', 'clothing')","1) oḍnu; 2) oḍne","","\Iɨntsiʔa\i \Iintsi-ho:p\i \INə\i \Ikamsisti\i Let's get dressed; cf.  \X0wa:tmɨtnɨ\x \X0vt-2a.\x"
 385,"kaNkɨ",   0,"n.","1) water; 2) juice"," ras","[< kɨ 'water']","\Itsɨrpa-po\i \IkaNkɨ\i lemon juice; cf.  \X0kökɨ.\x"
 386,"kaNkɨdɨm",   0,"n.","a medicinal herb, the leaves of which are squeezed to extract the sap which is applied directly to wounds.","","[< kaNkɨ 'water']",""
 387,"kaNkɨ-dharam",   0,"n.","water tap (Nep. dhārā ) or kuvā","","[kaNkɨ 'water' + dhara < Nep. dhārā 'water tap' + -m nom.sf.]","cf.  \X0subukɨ.\x"
 388,"kaNkɨ-tsirkhɨm",   0,"n.","cascade, waterfall"," chāʔgo, Eastern Nep. chẽgā.","[kaNkɨ 'water' + tsirkhɨm 'urine']",""
 389,"kar", 200,"n.","wound, boil, ulcer, blister"," ghāu, khaṭiro.","",""
 390,"karela",   0,"n.","vide \X0kari:m.\x","","[< Nep. karelā ]",""
 391,"kari:m",   0,"n.","1) labu siam, an avocado-shaped light waxy green fruit with a thin, soft thorny skin, a large flat thin pit. It is cooked and eaten without the soft thorny skin; 2) the labu siam plant","","","the taste of cooked \Ilabu\i \Isiam\i is vaguely reminiscent of artichokes, although insipid by comparison; cf.  \X0kari:m-dzasi.\x"
 392,"kari:m-dzasi",   0,"n.","the fruit of the labu siam, as opposed to the plant.","","[kari:m 'labu siam' + dzasi 'fruit']",""
 393,"kartɨkpu",  66,"n.","short-tailed Himalayan jungle cat, Felis chaus"," banḍāḍhe, banbirālo","[< -pu animal suffix; cf. kyakpu, sya:lpu ]"," cf.  \X0nurɨ.\x"
 394,"ka:diʔ", 922,"n.","vagina","","","cf.  \X0bha,\x \X0li:,\x \X0i:gdəm,\x \X0tsirdəm.\x"
 395,"Ka:ma:ruma",   0,"n.myth.","the roaring god of the heavens and of thunder, wind and other atmospheric phenomena.","","",""
 396,"ka:mpipi:r", 670,"n.","slender, black wasp with orangish red legs and with two black, nearly parallel stingers protruding from its posterior extremity","","","its sting is said to be lethal when the \Ika:mpipi:r\i gains access to the inside of the human ear."
 397,"ka:nnɨ", 193,"vt-2a ka:nd/ka:n-ka:nts/ka:s","pour out, pour, spill; fling out; toss out; spew out (e.g. kakharɨ 'phlegm')"," pokhāunu.","",""
 398,"ka:tnɨ",  65,"vt-2a ka:d/ka:t-ka:ts/ka:s","bite someone or something"," ṭoknu.","","\IKhi:bɨʔa\i \IaN\i \Iaka:tsə\i The dog bit me"
 399,"ka:yɨ",   0,"n.","wet ashes, ash paste made from water and ash"," kharānī",""," cf.  \X0pɨʔɨ.\x"
 400,"kepnɨ", 161,"vi-3 kiph/kip-kep","stick to, be or become stuck or glued, adhere"," ṭāʔsnu",""," cf.  \X0kepnɨ\x \X0vt-2a.\x"
 401,"kepnɨ", 161,"vt-2a kept/kep-kiph/kip","stick, attach, glue"," ṭāʔsnu.","[dir. < kepnɨ vi-3 'stick']",""
 402,"kepnɨ", 804,"vt-2a kept/kep-kiph/kip","sting"," cīlnu.","",""
 403,"-kə",   0,"sf.","perfect gerund suffix","","","vide  9.1."
 404,"kəm", 930,"n.","mouth, buccal cavity"," mukh.","[also attested in Sasarkā ]",""
 405,"kəmrisəm",   0,"","","",""," vide  \X0kəmsəm.\x"
 406,"kəmsəm, kəmrisəm",   0,"n.","moustache"," jhun%gā.","[kəm 'mouth' + səm 'body hair']",""
 407,"kəmtso",   0,"n.","beak, bill, snout, mouth (of animals).","","[< kəm 'mouth']",""
 408,"kəmtsoksi, tsoksi",   0,"n.","1) lips (human); 2) mouth (buccal cavity) and lips; beak, bill, snout, muzzle (non-human).","","[kəm 'mouth' + tsoksi 'lip']",""
 409,"kəNkɨ",   0,"","vide \X0kaNkɨ.\x","","",""
 410,"-kəy",   0,"postp.","with","","","cf.  \X0ma:ndɨ.\x"
 411,"-ki",   0,"sf.","(emphatic perfect gerund attached to verb) as soon as, just as.","","[< -kə pfG]",""
 412,"kiki", 198,"n.","1) maternal uncle, older than mother; 2) maternal uncle, irrespective of age with respect to mother.","","[2 - in Sasarkā only]","1) cf.  \X0kira,\x \X0ma:idzu,\x \X0nono,\x \X0te:te:m\x \X0(1)\x"
 413,"killik-killik",   0,"n.","Adam's apple, the lump caused by projecting thyroid cartilage in men's throats.","","",""
 414,"kira",   0,"n.","maternal uncle, younger than mother","","","cf.  \X0kiki\x \X0(1),\x \X0kiramu,\x \X0nono,\x \X0te:te:m\x \X0(1).\x"
 415,"kiramu",   0,"n.","wife of mother's younger brother","","","cf.  \X0kira.\x"
 416,"kititsu",   0,"adv.","very little, very few, a very little bit","","[< titsu 'little']","cf.  \X0titsu.\x"
 417,"ki:",  72,"n.","tuber, radish, potato"," tarūl, ālu",""," cf.  \X0khoksi,\x \X0pa:lkokti.\x"
 418,"ki:khepkö",   0,"n.","potato tarkārī"," ālū ko tarkārī","[ki: 'potato, tuber' + khep- < khepnɨ 'chop, mince' + kö 'cooked vegetables' (Nep. tihun )]"," cf.  \X0Na:lkö.\x"
 419,"ki:m",  60,"n.","house"," ghar.","",""
 420,"ki:mbinlu",   0,"n.","one of the three stones comprising the sɨptɨlu (q.v.), the stone situated away from the wall and nearest to the main entrance","","[ki:m 'house', -bi loc.sf., -m nom.sf., lu 'stone']","cf.  \X0seyərlu.\x"
 421,"ki:mkopnɨ",   0,"n.","roof"," chānā.","[ki:m 'house' + kopnɨ 'to thatch']",""
 422,"ki:m-mu",   0,"n.","house mother.","","",""
 423,"ki:m-to:ma",   0,"n.","wife, mater familiās.","","[lit. 'house eldest']",""
 424,"ki:nɨ", 808,"vi-1 ki:y/ki:","fight, quarrel"," bājhnu.","",""
 425,"ki:tnɨ", 807,"vt-2a ki:d/ki:t-ki:ts/ki:s","buy"," kinnu.","",""
 426,"kɨ", 199,"n.","1) water 2) source, tap, kuwa"," dhārā, kuvā",""," Cf.  meaning 'water, source' in the proper names of local water sources, e.g. \X0Ba:sirkɨ\x or \X0Ba:sirku\x (proper name of the main \X0dhārā\x  of the hamlet of \X0Ciurīkharka\x \X0),\x \X0Sasarkakɨ\x or \X0Sasarkaku\x (proper name of the main \X0dhārā\x of \X0Sasarkā\x village); cf. \X0ku,\x \X0subɨkɨ.\x"
 427,"kɨbi",   0,"n.","shaman"," dhāmī",""," cf.  \X0naksö-kɨbi.\x"
 428,"Kɨbi",   0,"n.","outdoor deity which lurks within crevices in precipitous escarpments and along large cliffs"," Raŋkenī, riŋgaṭā calāune devatā.","","the \Ikɨbi\i disguises himself in the form of a tree or a monkey or simply remains invisible, and he causes people to feel dizzy so that they lose their balance and fall to their deaths"
 429,"kɨ́hɨm", 758,"n.","cloud, mist, fog; air"," bādal, kuiro.","[< kɨ 'water']",""
 430,"kɨhɨm-sadzɨm",   0,"n.","thunderhead, nimbus cloud, gail winds, black clouds, thunder and torrential rains.","","[kɨhɨm 'cloud' + jingle]",""
 431,"kɨmi:n",   0,"n.","thirst","","[< kɨ 'water']","cf.  \X0lɨnɨ\x \X0vi-4\x (2b), \X0so:ʔwa.\x"
 432,"kɨḿsinɨ", 806,"vr.non-erg.","1) bend over, bow, bend forward; 2) concentrate, pay attention, be pensive.","","",""
 433,"kɨri, kɨrim", 452,"n.","shade, shadow; silhouette, outline; image picture, photograph.","","",""
 434,"kɨrim",   0,"","","",""," vide  \X0kɨri.\x"
 435,"kɨrnɨ", 179,"vt-1 kɨr","1) carry; 2) mupu kɨrnɨ (mupu abdomen) be with child, be pregnant"," boknu.","",""
 436,"kɨtna", 116,"n.","elbow.","","",""
 437,"kɨtsɨ",   0,"n.","poison"," viṣ, bikh.","",""
 438,"kobo",   0,"n.","small bowl for kö 'tihun'","","","cf.  \X0koptsa,\x \X0kho:,\x \X0selap.\x"
 439,"kokda",   0,"n.","large spade with metal blade pointed diagonally away from the long wooden haft"," kodālo","[kok < koknɨ 'dig', -da augm.sf. 'large']","see illustration; cf.  \X0koksa,\x \X0kukdi,\x \X0pɨ:khɨ:\x \X0koknɨ.\x"
 440,"koknɨ",  69,"vt-2a kokt/kok-kokh/kok","1) dig with a spade, till the soil; strike (e.g. with a hammer or other implement) 2) strike (of a snake), peck (of a bird)","1) khannu 2) Nep. thun%nu.","","1) cf.  \X0dhunɨ,\x \X0phɨnnɨ\x"
 441,"koknɨ", 911,"vt-2a kokt/kok-kukh/kuk","cut"," kāṭnu.","",""
 442,"koknɨ",  73,"vt-3 kukh/kuk-kok","know (with infinitive) how to do something","","","\ITsəpnɨ\i \Iakukhɨ?\i Did you know how to write? ; (with animate patient) be up to someone's wiles or schemes, see through someone; \IAna\i \Iɨm\i \Iakukta\i You are up to his wiles; cf.  \X0tsɨknɨ,\x \X0tsennɨ.\x"
 443,"kokpɨ",   0,"n.","a knower, someone in the know.","","[kok- 'know' + -pɨ AP]",""
 444,"koksa",   0,"n.","small spade with point of metal blade inclined toward the wooden haft"," cam-kodālo","[kok < koknɨ 'dig', -sa dim.sf. < sa child]","see illustration; cf.  \X0kokda,\x \X0kukdi.\x"
 445,"kokte:",   0,"n.","lizard"," chepāro.","",""
 446,"kopnɨ",  68,"vt-2a kopt/kop-kuph/kup","thatch"," chaunu.","",""
 447,"kopmɨtnɨ",  68,"vt-2a kop lɨd/mɨt-mɨts/mɨs","cover someone with a blanket"," oḍāunu","[< kopnɨ thatch; cf. Limbu -khaps-/-kham- 'cover oneself with bedclothes', -khapt-/-khap- 'tuck someone in, cover someone with bedclothes; thatch or re-thatch a roof:]","\IAna\i \Iɨm\i \Ikopmɨda!\i Cover him with a blanket!; cf.  \X0kamsinɨ\x \X0vr.erg.\x"
 448,"kopsɨ",   0,"n.","trunk, culm (of bamboo); hollow trunk (of tree)"," khapaṭo",""," cf.  \X0phapoʔo.\x"
 449,"koptsa",   0,"n.","small bowl, especially for kö"," baṭuko","[< kobo 'small bowl']"," cf.  \X0kho:,\x \X0selap.\x"
 450,"ko:phu",   0,"n.","face (of a man)"," mukh",""," cf.  \X0Na:yɨ.\x"
 451,"kö",  62,"n.","cooked vegetable dish to be eaten with dza:, esp. vegetable curry"," tihun.","",""
 452,"kökɨ",   0,"n.","sauce, gravy, juice"," jhol, ras","[kö 'cooked vegetables' + kɨ 'water']","cf.  \X0kaNkɨ\x \X0(2).\x"
 453,"ku",   0,"n.","vide \X0kɨ.\x","","[attested in the speech of middle-aged speakers of Dumi in the proper names of dhārās]",""
 454,"kukdi",   0,"n.","sharp digging implement with a blade the shape of which is reminiscent of the beak of a spoonbill"," kuṭo, kuṭe","[kuk- < koknɨ 'dig']","see illustration; cf.  \X0kokda,\x \X0koksa.\x"
 455,"kulɨm",   0,"n.","black","","[kulɨ < Nep. kālo + -m nom.sf.]","cf.  \X0dɨtəm,\x \X0hi:təm.\x"
 456,"kupbusɨ",   0,"n.","the tree Ficus semicordata (also known as F. cunia, F. cunii)"," khaniũ, khanāyo","[attested in Sasarkā only; sɨ 'wood']"," vide  \X0khoktarɨ.\x"
 457,"kursibhu",  80,"n.","the walnut tree Juglans regia"," okhar.","[also attested in Sasarkā; -bhu 'tree']",""
 458,"kyakpu",   0,"n.","the Himalayan yellow-throated marten, Martes flavigula"," mansāʔpro, malsāʔpro","[< kyek onomatopoeia + -pu animal suffix; cf. kartɨkpu, sya:lpu ]"," cf.  \X0kyek.\x"
 459,"kyek, kyek-kyek-kyek",   0,"onomatopoeia","the barking sound of the kyakpu, q.v.","","",""
 460,"khano:the",   0,"adv.","well","","[no: < nɨnɨ vi-4 'be good']","cf.  \X0khənɨkpa.\x"
 461,"kharnɨ", 176,"vt-3 khur-khar","pop (muluswasi 'maize'), sear (su 'meat')"," bhuṭnu.","",""
 462,"kha:di:m",   0,"n.","1) sea, ocean 2) fluid, liquid"," samudra","[< kha:- 'fluid, liquid']","cf.  \X0kha:mdim,\x \X0kha:nəm.\x"
 463,"Kha:di:m-kaNkɨ",   0,"n.","1) the Primordial Ocean, the water of the Primordial Ocean 2) the herbal millet beer potion which the shaman carries in his solotɨm.","1) mahāsamudra","",""
 464,"kha:di:mkɨ",   0,"n.","well.","","[kha:di:m 'sea' + kɨ 'water']",""
 465,"kha:di:m-kɨbi",   0,"n.","the primordial ocean shaman, an epithet of the purple clad naksö-kɨbi, q.v.","","[kha:di:m 'ocean' + kɨbi 'shaman']",""
 466,"kha:mdim",   0,"n.","alcoholic decoction","","[< kha:- 'liquid, fluid']","cf.  \X0kha:dim,\x \X0kha:nəm.\x"
 467,"kha:nəm",   0,"n.","juice, extract","","[< kha:- 'liquid, fluid']","cf.  \X0kha:di:m,\x \X0kha:mdim.\x"
 468,"kha:nɨ", 131,"vi-1 kha:","be bitter, taste bitter","","","cf.  \X0kha:kpɨ,\x \X0li:mnɨ,\x \X0tsɨrnɨ.\x"
 469,"kha:kpɨ", 131,"adj.","bitter"," tīto.","[AP < kha:nɨ 'taste bitter']",""
 470,"kha:ktɨp",   0,"n.","gall bladder"," pito, pitto.","[< kha:nɨ 'be bitter']",""
 471,"kha:pkor",   0,"n.","healing ceremony as executed by the naksö-sele","","","cf.  \X0mɨnɨ\x \X0vt-6a\x \X0(5),\x \X0samsam.\x"
 472,"kha:rnɨ", 152,"vt-1 kha:r","scrape off of something, scrape; rout in the soil (said of a bhiʔi 'bull')"," kharsinu",""," cf.  \X0pha:knɨ\x \X0vt-1,\x \X0phɨnnɨ\x \X0vt-2a.\x"
 473,"khe:ma",   0,"n.","younger sister"," bahinī",""," cf.  \X0Khe:ma,\x \X0nana,\x \X0to:ma,\x \X0To:ma,\x \X0to:ma-khe:ma.\x"
 474,"Khe:ma",   0,"n.myth.","the younger sister of Khopsi-Lɨkpa.","","",""
 475,"kheʔe",   0,"n.","time, turn"," palṭo.","[< khep < khepnɨ 'chop, mince']",""
 476,"khepnɨ",   0,"vt-3 khi:ph/khi:p-khep","chop into smaller pieces, mince"," canā pārnu.","",""
 477,"khəldzəm",   0,"n.","gizzard.","","",""
 478,"khələ", 125,"adv.n.","all, everything, everyone.","","",""
 479,"khələy",   0,"emph.adv.","all (emphatic).","","[< khələ 'all']",""
 480,"khələmbɨ", 397,"n.","cold, cough"," markī rughā.","",""
 481,"khənɨkpa",   0,"adj. [*khə- AP + -nɨ- 'be good' + -kpa AP]","beautiful, comely, good, nice","","","cf.  \X0khano:the.\x"
 482,"khərə",   0,"n.","1) gourd used as a sacred vessel for an ɨmma or a:rkɨ based potion and wielded by the shaman as a rattle and as a potion-flask 2) sacred wooden offeratory vessel for a:rkɨ 'millet brandy'","1) cinḍo; 2) kaṭhuvā","","1) cf.  \X0solotɨm;\x \X02)\x see illustration in section 1.5.3."
 483,"khərɨm",   0,"n.","broom.","","",""
 484,"khə́tap",   0,"n.","scab, dried up crust on a wound"," pāprā.","",""
 485,"khətn",   0,"n.","shame, ashamedness"," lāj",""," cf.  \X0lɨnɨ\x \X0vi-4\x (2h), \X0ya:tnsinɨ.\x"
 486,"khətnɨ",   0,"vt-2a khət-khuts/khus","1) take, take away, take up, accept, receive","1) lagnu, lānu","[dir. < khotnɨ vi-3 'go']"," 2) \Ihālnu.\i"
 487,"khəyi:kpa",   0,"adj. [*khə- AP + i:- < i:nɨ 'be bad' + -kpa AP]","ugly, bad.","","",""
 488,"khiʔləm",   0,"n.","ghee"," ghiu.","",""
 489,"khikə",   0,"postp.","since.","","[< -kə pfG; the element khi- may be related to the morpheme -khini in adzəNkhini, ape:khini, atinã:khini ]",""
 490,"khikɨ",   0,"n.","1) glue; 2) sticky paste used in a trap to ensnare birds by rendering them flightless"," liso.","[< -kɨ 'water']",""
 491,"khil",  52,"n.","shit, faeces"," guhu, disā, ṭaṭī.","",""
 492,"khilɨ",   0,"n.","wilderness; impenetrable jungle, inaccessible peaks, uninhabited areas.","","",""
 493,"khipnɨ",   0,"vt-2a khipt/khip-khiph/khip","cook"," pakāunu.","",""
 494,"khipkhotnnɨ",   0,"vt-2a khipkhotnd/khipkhotn-khipkhotnts/khip-khos","cook for someone"," pakāi dinu.","[profferatively aspectivized khipnɨ 'cook']",""
 495,"khi:bɨ, khi:bu", 137,"n.","dog, hound"," kukur",""," cf.  \X0khlebu.\x"
 496,"khi:bɨ-Nilo",   0,"n.","canine teeth","","[khi:bɨ 'dog' + Nilo 'tooth', a remarkable parallel to the English]","cf.  \X0bakham.\x"
 497,"khi:ka:ndu",   0,"n.","bamboo species Arundinaria intermedia"," nin%gālo bāʔs",""," cf.  \X0akbu.\x"
 498,"khi:m",   0,"n.","spittle, saliva, spit"," thuk",""," cf.  \X0momrim\x \X0khi:m.\x"
 499,"khi:nɨ",   0,"vi-2 khe:-khi:y/khi:","steal","","","\IAN\i \Ian-ləkə\i \Ikhe:tə\i I steal from you; cf.  \X0khi:nɨ\x \X0vt-6b.\x"
 500,"khi:nɨ", 157,"vt-6b khi:y/khi:-khe:","steal"," cornu","","\IHammɨlʔa\i \Imom\i \Iboʔo\i \Ikhi:ni\i They stole it; \IANa\i \Ia-po\i \Ikhi:Ntə\i \II'll\i steal yours; \ITom\i \Iboʔo\i \Ikhi:!\i Steal it!; \IANa\i \Ihammɨl-po\i \Ikhi:Nu\i I stole theirs; cf.  \X0khi:nɨ\x \X0vi-2a.\x"
 501,"khi:tnɨ", 809,"vt-2a khi:t-khi:ts/khi:s","1) comb (e.g. do:səm 'hair'); 2) card (wool)"," koḍnu.","","1) \IA-do:\i \Ikhi:ta!\i Comb your hair!; 2) cf.  Dutch \X0kaarden\x"
 502,"khi:tnɨ",   0,"vt-2a khi:t-khi:ts/khi:s","count"," gannu.","","\IMom\i \Ibɨlɨ\i \Ikhi:ta!\i Count this money!; \IMom\i \Imi:nmɨl\i \Ikhi:tsini!\i Count those men!"
 503,"khi:tnɨ",   0,"vt-2a khi:t-khi:ts/khi:s","heed someone's word, heed someone's command or instructions, obey"," ternu","","\IAna\i \IIm\i \Ikhi:ta!\i Obey him!; cf.  \X0repnɨ.\x"
 504,"khɨ",   0,"n.","bamboo foot bridge"," sāʔgo.","",""
 505,"khɨlboknɨ",   0,"vi-1 khɨlbokh/khɨlbok","pout, sit there angrily not saying anything"," ṭhuski rahanu.","[perseveratively aspectivized *khɨlnɨ ]","Dutch \Imokken\i"
 506,"khɨlɨ",   0,"verbal complement","open","","[< Nep. khulā 'open']","collocates with \Imɨnnɨ\i \Ivt-7\i \I(9)\i and \Itsɨknɨ\i \Ivi-1\i inchoative 'to be, become'; \IKhɨlɨ\i \Itsɨkha\i It opened up; \IKhɨlɨ\i \ImaNtə\i I'll open it."
 507,"khɨ́ni", 186,"n.","pus (from a wound)"," pīp.","",""
 508,"khɨ́nipɨm",   0,"n.","furuncle, abcess.","","[< khɨ́ni 'pus' + pɨm 'clod, wadd']",""
 509,"khɨr", 950,"n.","hand, lower arm (from elbow to fingertips); front paw","","","cf.  \X0pakhɨr.\x"
 510,"khɨri-khɨri",   0,"adj.","crumbly, gristly.","","",""
 511,"khɨri-khɨri-sa:lu",   0,"n.","cartilage, gristle.","","[khɨri-khɨri 'crumbly' + sa:lu 'bone']",""
 512,"khɨrnɨ",   0,"n.","shoulders (as seen from above), the upper surface of the shoulders","","[khɨr 'arm']","cf.  \X0bokto,\x \X0khoʔkɨlsa:lu.\x"
 513,"khlebu", 137,"n.","dog hound"," kukur","[attested in Ciurīkharka and Sasarkā only]"," vide  \X0khi:bɨ,\x \X0khi:bu.\x"
 514,"kho",   0,"conj.","if"," bhane.","","\IO:-tsili\i \Ibusta\i \Ikho\i \Ino:ta?\i And is it all right when I get all upset? [sarcastic chastisement by grandpa directed at the idle women]"
 515,"khoʔo", 982,"n.","year","","","\Itom\i \Ikhoʔo\i this year; \Iho:thiNtɨm\i \Ikhoʔo\i the coming year, next year; cf.  \X0adzəNkhini,\x \X0ańnamma,\x \X0ańnamma-átsimma,\x \X0átsimma.\x"
 516,"khoʔsi",   0,"n.","cotton"," kapās.","",""
 517,"khoʔkɨl-sa:lu",   0,"n.","clavicle, collarbone","","[sa:lu 'bone']","cf.  \X0khɨrnɨ.\x"
 518,"khokribhu",   0,"n.","the tree Saurauia nepaulensis"," gogan.","[< -bhu 'tree']",""
 519,"khoksi",   0,"n.","Calladium arumaciae, delicious and wholesome bite-sized waxy, potato-like tuber, cooked in its shaggy brown skin and peeled individually whilst eating"," pin5ḍālu.","",""
 520,"khoksibhu, khoksikhɨribhu",   0,"n.","the tree Ficus religiosa"," pīpal.","[also attested in Sasarkā; -bhu 'tree']",""
 521,"khoksikhɨribhu",   0,"","","",""," vide  \X0khoksibhu.\x"
 522,"khoksɨm",   0,"n.","bamboo wicker basket (Eastern Nep. maulā ), used as a receptacle for foodstuffs or utensils and suspended above the indoor fireplace of a Dumi household","","","cf.  \X0pɨktsɨm.\x"
 523,"khoktarɨ",   0,"n.","the tree Ficus semicordata"," khaniũ, khanyū",""," \Ikhanāyo,\i cf.  \X0kupbusɨ.\x"
 524,"khoNnɨ",   0,"vi-3 khuN-khoN","come up"," māthi āunu",""," cf.  \X0hu:nɨ\x \X0vi-2,\x \X0pi:nɨ\x \X0vi-1,\x \X0ta:tnɨ\x \X0vi-3.\x"
 525,"khopbɨ",   0,"n.","flat circular winnowing basket"," nāŋlo","[khop- < khopnɨ 'winnow' vt-3 + -bɨ ?AP]"," cf.  \X0khopnɨp.\x"
 526,"khoplɨ",   0,"n.","skull, esp. the top portion of the skull"," khappar","[< khopnɨ vt-2a 'cap, cover']"," cf.  \X0dəkhlö-sa:lu.\x"
 527,"khoplɨ-dɨ",   0,"n.","fontanelle.","","[khoplɨ 'skull' + dɨ 'cavity']",""
 528,"khopnɨ",   0,"vt-2a khopt/khop-khuph/khup","1) plug up, cap, cover; 2) n., cover, cap"," ḍhakanā, birko.","","1) cf.  \X0depnɨ\x"
 529,"khopnɨ",   0,"vt-3 khuph/khup-khop","winnow (e.g. lomdzom 'grain')"," cāmal, sāʔval",""," Nep. \Iniphannu.\i"
 530,"khopnɨp",   0,"n.","flat round winnowing basket"," nāŋlo","[khop- < khopnɨ vt-3 'winnow' + -nɨp ʔ]"," cf.  \X0khopbɨ.\x"
 531,"Khopsi-Lɨkpa",   0,"n.myth.","the only begotten son of Mukuli-Ya:rita and Dakhɨli-Surita, the husband of Na:ghɨle:m.","","",""
 532,"khore",   0,"n.","anxiety, worry"," phikrī, surtā, cintā",""," with \Ilɨnɨ\i \Ivi-4\i 'be felt'."
 533,"khotnɨ",   0,"vi-3 khuts/khus-khot","1) go, go away","","","\IHaNkhutsɨm\i It has completely dried out; ɨnɨ \Iri:yɨ-kə\i \Ithi:-khuts-a.\i Having gotten dizzy, he stumbled and fell; ɨnɨ \Itsa:mkhuts-a.\i He lost consciousness. (Nep. \IUsko\i \Ijñān\i \Iharāi\i \Igayo\i \I).\i"
 534,"khotlitnɨ",   0,"vi-3 khuts/khus-khot + vi-3 lits/lis-lit","go away, leave"," jāi jānu.","[discessively aspectivized khotnɨ 'to go', from intransitive litnɨ 'to cut']",""
 535,"khotnɨ",   0,"vt-2a khod/khot-khots/khos","bring up","","[dir. < khoNnɨ vi-3 'come up']","cf.  \X0ho:tnɨ\x \X0vt-4,\x \X0pitnɨ\x \X0vt-2a,\x \X0ta:nnɨ\x \X0vt-5a.\x"
 536,"khotnnɨ",   0,"vt-5a","profferative aspectivizer, e.g. Khip-khotnsi (Nep. pakāi die ) Theyd cooked it for them","","","vide  6.3.5; cf.  \X0sewa\x \X0khotnnɨ.\x"
 537,"kho:", 841,"n.","pot, pan, cooking vessels (of all sorts)"," bartan","[also attested in Sasarkā ]"," cf.  \X0kobo,\x \X0koptsa,\x \X0selap.\x"
 538,"khubo",   0,"n.","species of plant from which the Dumi make ri:bha 'rope' and is used by the Nepali to fashion Daphne paper (Nep. Nepālī kāgat )"," lokatā, lokato",""," cf.  \X0arghe:li.\x"
 539,"khúdu",   0,"n.","notched log or bamboo trunk used as a ladder"," lisnu, bharyān%.","",""
 540,"khúduku",   0,"vide \X0khúdu.\x","","","","[attested in Ciurīkharka only] vide \X0khúdu.\x"
 541,"khur",   0,"n.","hand","","[attested in Sasarkā only]","vide  \X0khɨr.\x"
 542,"khyoknɨ",   0,"vt-2a khyokt/khyok-khyokh/khyok","1) hang up, suspend (e.g. a khoksɨm onto a post or pillar); 2) hitch up (livestock to a post)"," jhunḍyāunu.","",""
 543,"laitsi",   0,"n.","1) the Nepalese cardamom, Amomum subulatum, a shrub with large long leaves living in moist or humid surroundings, bearing yellow flowers; 2) the fruit of the alaĩcī-plant consisting of refreshingly tangy red seeds in a brownish pod.","","[< Nep. alaĩcī ]",""
 544,"lal",   0,"adv.","1) up front, in front 2) before."," agāḍi","","1) cf.  \X0yo:\x"
 545,"lala",   0,"n.","golden ornamental jewelry worn by women.","","[also attested in Sasarkā ]",""
 546,"lalikha", 405,"n.","love","","","cf. \X0mɨnnɨ\x \X0vt-7\x \X0(4).\x"
 547,"lallal",   0,"adv.emph.","up front, in front"," agāḍi-agāḍi.","[< lal 'up front']",""
 548,"lallambu",   0,"adv.","front side, to the front of"," agāḍipaṭṭī","[< lal 'front' + lambɨ 'at (same elevation)']"," cf.  \X0yo:lambu.\x"
 549,"lalsa:lu",   0,"n.","sternum","","[lal 'front' + sa:lu 'bone']","cf.  \X0heksa:lu,\x \X0lalsu,\x \X0tsat-sa:lu.\x"
 550,"lalsu",   0,"n.","chest","","[lal 'front' + su 'meat']","cf.  \X0lalsa:lu.\x"
 551,"lam",   0,"postp.","via.","","",""
 552,"lam",   0,"n.","road, way, path"," bāṭo","[attested in Khārmī only; rejected in Sasarkā and Lamdi:dza as a loan from Sangpang (Sāŋpāŋ)]"," cf.  \X0lamdu.\x"
 553,"lamba, lambha",   0,"1) adv. 2) postp.","1) below, downhill, downstairs 2) down toward, down to","1) ohrālo","[*lam 'road' + -ba anomalous derivative ʔ< -bɨ 'down at']","cf.  \X0lambɨ,\x \X0lamda,\x \X0lamtɨ.\x"
