"NUMBER","PROTO","PRNUM","MEANING","CHIN","CHINNUM","TIB","BURM","KACH","LUSH","LEPCHA","KIR","KIRNUM","STLSNUM","COMMENTS"
 455,"*[d]ā (-t)",   0,"thick, solid","太 \I*thāts\i, \I大 *dhāts\i great, greatly; thick.", 117,"\Itha\i hard, solid, \Iãthas\i id.","Naxi \I(n)dɨ\i big","\Ithat\H2\h\i thick, (H) \Iləthat\i coarse, rough.","\Ičhaʔ\i thick (as wood).","\Ităŋ\i be thick as anything (cloth,paper etc.); to be plump","\I*thèn (/*ʔt-)\i", 383,1194,"Mikir \Iarthat\i fat, thick; Meithei \I ətha-ba\i thick. Ben. 102. Cf. also: Taraon dɨ rɨŋ, Aka *dV, Pumi *da 'big' (some forms are difficult to distinguish from the reflexes of \X<0.870>*tajH\x q.v. A form with a nasal suffix, beside Lepcha and Kiranti, is also present in Karen *d̄VN.4L 'big'."
 456,"*dăm",   0,"speak, talk, utter","詹 \I*tam\i garrulous, 譫 \I*tam\i speak, chat.",3235,"\Igtam,\i \Igtom\i talk, discourse, speech, report, rumour, news, \Igdam-pa\i to advise, give counsel.","","","\Ičham\i to repeat, utter, recite.","\Idjam\i to tell tales","",   0, 295,"Cf. Maram a-sam-tam, Anong thim 'say'."
 457,"*dɨ[l]",   0,"womb, pregnant","娠 \I*tərs\i pregnant.",1582,"","","","\Ičhūl\i afterbirth, placenta; womb, uterus.","\Ia-jeŋ-tjól\i placenta","",   0,   0,"STEDT 285-288 *(t)s[y/w][a/u]l ~ *(t)sul 'womb, placenta, umbilical cord', with obvious confusion of several roots (see *[c]ual 'genitalia', *chə̄j 'nest'). To *dɨ[l] one may add Mru thua 'womb', Lepcha (see above). ?Cf. PAN *itil 'clitoris', *teli, *tila 'female genitalia'; ? PAA *tu:l 'buttocks'."
 458,"*dɨaŋ",   0,"household","堂 \I*dāŋ\i hall, apartment.",2007,"","\Ithəuŋh\i country, state, district.","\Ithoŋ\H2\h\i build, as a village, \Ikəthoŋ\H2\h\i a village, (H) \Iniŋthoŋ\i a large village or district.","\Ičhūŋ\i family, household.","dóŋ, a-dóŋ a house or roosting-place for birds: fó-dóŋ; hik-dóŋ","",   0,   0,"Cf. Austric: PAA *dʔo:ŋ 'house', PAN *uduŋ 'field hut', *pa(n)duŋ 'floor, building'."
 459,"*di(ə)p ~ *dep", 394,"top","",   0,"","\Ithip\i top, apex.","","\Ičhīp\i crown of the head; top, apex.","","\I*thèm\i ?", 558,   0,"Sh. 67."
 460,"*djet",   0,"fear, be afraid","",   0,"\Iźed\i to fear, be afraid.","\Ithit\i to be scared, afraid.","","\Ičhiat\i to act in an unnatural manner producing an unexplicable fear.","","",   0,   0,"For Tib. cf. alternatively Kulung reima (ret-) 'get scared'."
 461,"*dV̄n",   0,"answer","",   0,"\Ithan\i answer.","","\Ithan\H3\h\i to answer.","\Ičhōn\i to answer; speak to.","\Idŭn\i 1 to tell, to fortell, to relate, to remind, to confess, to show, to give intelligence, to persuade","\I*d(h)ä̀n\i", 531, 768,"Cf. also: Motuo than, Phom dan 'hear', Khoirai kaŋ-tan 'know'."
 462,"*d(r)ə̆k",   0,"top, ascend","陟 \I*trək\i ascend.",6073,"\Ithog\i what is uppermost, roof, above.","\Itak\i to climb up, LB \I*tak\i; \Ithak\i top, LB \I*thak\i.","\Ithaʔ\H2\h\i, \Iləthaʔ\H2\h\i top.","\Ičhak\i the East; be higher up, KC \I*čhak\i.","","",   0,   0,"BG: Dimasa \Isao\i, Garo \Isak\i; Rawang tha-kha; Thebor \Itek-\i. Sh. 54, 132; Ben. 123; Luce 66.  Cf. Austric: PAA *dʔək 'ascend', PAN *bunduk 'elevated ground', *pa(n)tuk 'peak, top', *a(n)Dak 'ascend' (in Eurasiatic cf. PA *tēga)."
 463,"*druaŋ",   0,"middle, inside","中 \I*truŋ\i middle.",  70,"\Igźuŋ\i the middle, midst.","\Iətwaŋh\i the inside, inner part of a thing.","","\Ičhūŋ\i inside.","\Ită-djŭŋ\i the ventricle of stomach","",   0,   0,"Dimasa \Ibisiŋ\i inside; Rawang \Iəduŋ\i in, middle; Trung \Ia\H3\h-tuŋ\H1\h\i middle. Simon 16; Ben. 17, 82; Coblin 53. Note Austroasiatic: Khmer trūŋ 'centre, middle, chest', Kui thru:ŋ 'chest'  (also PAA *ruŋ 'cave, hole', PAN *Rawaŋ?; Peiros 1998, 222 compares PAN *teleŋ 'middle'). STEDT 178-180, with a (hardly justified) subdivision into 2 roots (*(t)s(y)u:ŋ and *[t/d]uŋ)."
 464,"*duak",   0,"go out","",   0,"","\Ithwak\i to go or come out, emerge from; LB *thuakx.","","\Ičhuak\i (\Ičhuaʔ\i)  go out, come out; escape.","","",   0,   0,"Cf. also Lush. \Idok\i (\Idoʔ\i) to slip out, slip partly out, come off, \Iduk\i (\Iduʔ\i) come off, slip off."
 465,"*dŭH",   0,"collect, receive","受 \I*ḏuʔ\i to receive, accept.", 781,"\Iãthu, btu, thu\i to gather, collect, pick up.","? təwʔ to touch","","\Ičhuʔ\i snatch away, take away from.","","",   0,   0,"A derivate in *-n is OCh. 屯 \I*ḏūn\i 'accumulate', Tib. \Ithun,\i \Iãthun\i 'one who collects, a gatherer'."
 466,"*dūH",   0,"beat, pound","擣 \I*tūʔ\i to beat, pound.",7627,"","\Ithuʔ\i to hit, knock.","(D) \Ithu\i\H3\h to push.","\Ičhu\i (\Ičhut\i) to strike.","","",   0,   0,"Ben. 69."
 467,"*dŭm",   0,"end (specifically of a harvest, season)","終 \I*tuŋ\i end, finish.",2289,"","\Itumh\i be ended (as a season).","\Ithum\H2\h\i be ended, terminated (cf. also \Išətom\H2\h,\i \Išədom\H2\h\i to end).","\Ičhum\i to finish reaping or gathering.","","\I*[d(h)]úm(s)\i", 539,   0,""
 468,"*dV̄mH",1197,"dark","點 \I*tēmʔ\i black spot, blot.",4654,"\Iãthom\i, \Ithoms\i be dim, dull, clouded.","\Itim\i cloud, LB \I*(s\i)\Itim\i.","","\Ičhūm\i cloud, mist, fog.","","\I*d(h)úm\i", 522, 102,"Rgyarung \Isdim\i. Sh. 67. Cf. \X0*dhə̄mH.\x"
 469,"*[dh]ă", 146,"sweet, saltless","蔗 \I*tia(k)s\i sugar-cane, sweet (since Han; possibly the same word as the earlier attested 柘 \I*tiaks\i a k. of mulberry tree ?).",3951,"\Ibda\i (resp.) savoury, well-tasted.","","","\Ida\i (\Idāk\i) lose saltness, taste.","","",   0,   0,"Cf. \X0*tɨă.\x"
 470,"*dhā",   0,"width, length","",   0,"\Ibrta\i to grow, wide, extend, \Igtos\i size, width, quantity.","\Ita\i length, distance; measure of length equal to seven cubits.","\Indaʔ\H2\h\i width, breadth.","KC *da far.","\Ithó,\i \Idă\i \Ithó\i a large expanse, a sea of water (?)","",   0,1017,"Newari \Ita-\i far; Digaro \Ida\i id. Sh. 163, 190. Cf. also Karen *thV.T 'long'."
 471,"*dhăH (/*thăH)", 716,"put, place","署 \I*ḏa(ʔ)s\i to place, position; 處 \I*thaʔ\i dwell, stay, place.",3154,"\Igda\i to be, to be there, \Igtad\i (p. \Ibtad\i, \Igtad\i, f. \Igtad\i, i. \Ibtod\i) lean upon, deliver up, \Istad\i (p., f. \Ibstad\i, i. \Istod\i) put on, lay on.","\Ithah\i to put, place, LB \I*stax\i.","\Ida\H3\h\i put, place, (H) \Ita\i be left, placed, \Itha\i to sit, rest.","\Idaʔ\i put, place, set.","\Itho-m\i place","",   0,   0,"Tsangla \Itha\i; Kanauri \Ita\i; Vayu \Ita\i put, place, keep. Sh. 58; Ben 19; Mat. 191. Cf. also: OC 佇 *ḏraʔ 'to stand', Burm. thaʔ 'to stand up'."
 472,"*[dh]ĕŋ", 374,"straight","正 \I*teŋs\i straight, correct, 貞 \I*treŋ\i id.", 257,"\Idraŋ\i straight.","\Itańʔ\i be straightward, direct from one point to another.","\Idiŋ\H1\h\i be straight, rectilinear.","\Idiŋ\i right, right-handed (cf. also \Idīŋ\i go straight or direct, as arrow).","\Idiŋ\i 1 to be erect, to be high, to be perpendicular; the highest point or degree 2 to stand, to remain, to exist","",   0,   0,"Simon 15; Luce 62."
 473,"*dhēŋ",   0,"stop, obstruct","停 \I*dhēŋ\i to stop.",1943,"","\Itańh\i to stop, remain for a little while.","\Idaŋ\H1\h\i be choked, throttled, (H) \Indaŋ\i be unable to deliver in childbirth.","\Idiŋ\i (\Idin\i) to stand, stop, halt (cf. also \Idaŋ\i (\Idan\i) to prevent, deter, stop).","","Kulung di:ma (diN-) 'stop'.",   0,1065,"Cf. Austric: PAN *endaŋ 'stop, come to a stop', PAA *dɨŋ / *tɨŋ 'stand'."
 474,"*[dh]ak ~ *[dh]ək",   0,"dry","",   0,"","","\Igəthaʔ\H3\h\i be dry and brittle (as bamboo strips).","\Idaʔ-ro\i be dry (as wood).","","*dhVŋ", 973, 751,"A nasalised form is perhaps reflected in Kaling dhoŋpɛ, Kham thə̃.1 'dry'."
 475,"*dhān",   0,"order, manner","",   0,"\Igtan\i order, system; duration; always, continually; \Ibstan\i doctrine.","\Itanh\i to extend in a line from one point to another.","\Itan\H3\h\i a division ( < Burm.).","\Idān\i way, manner, mode.","","",   0,   0,""
 476,"*dhə̆r",   0,"strew, scatter","",   0,"\Igtor\i to strew, to scatter; to cast, to throw, \Iãthor\i (p. \Ibtor,\i f. \Igtor,\i i. \Iãthor\i) be scattered.","","","\Idarʔ\i to scatter, disperse.","","",   0,   0,""
 477,"*dhār",   0,"bow, shoot","彈 \I*dhār\i shoot pellets.",3778,"","","\Indan\H1\h\i bow, cross-bow, (H) \Idan,\i \Indan\i id.","","","",   0,   8,""
 478,"*dhāw (-t)",   0,"eat voraciously","饕 \I*thāw\i eat voraciously.",5177,"","\Iəthut\i voracious eating.","(H) \Išədot\i food (poet.).","","\Itha\i to eat (said almost of everything except rice \I[zo\i q.v.] and vegetables \I[bi]\i)","",   0, 547,"Cf. also Tani *do 'eat'."
 479,"*[dh]ek",   0,"pinch with nails","",   0,"","","\Iməthiʔ\H2\h\i to pinch with the nails.","\Ideʔ\i to crack (as flea, louse).","","",   0,   0,""
 480,"*[dh]ĕkʷ",1247,"burn, glow","灼 \I*tekʷ\i burn, brilliant, illuminate (cf. also 的 \I*tēkʷ\i bright, brilliant).", 661,"\Idugs\i heat; make warm; to light, to kindle; \Ithog\i thunderbolt, lightning.","\Itauk\i to blaze, flame, be luminous brilliant, LB \I*t[uk]x\i burn.","","\Iduk\i be glowing with heat (as ashes).","\Itik,\i \Itik-kă\i \Itik-kă\i sparkling, flickering (light)","\I*thok\i (~-uk,-ak)", 537,1127,"Luce 81. Cf. also OCh. 燭 \I*tok\i torch; Kir. \X<1.540>*thik\x 'cook, burn': perhaps two original roots that are now very hard to distinguish."
 481,"*dhălH",   0,"wide, spread, extend","? \I*thajʔ\i wide, extend.",8421,"\Irdal\i (p., f. \Ibrdal\i, i. \Irdol\i) to spread, to cover, \Igdal,\i \Ibdal\i id. (cf. also \Idar\i be diffused, to spread).","\Ithaʔ\i to develop, become stronger.","\Iməden\H2\h\i to widen, extend.","","","",   0,   0,""
 482,"*dhēŋ",   0,"to strike","丁\I*tēŋ\i to strike.",   3,"","","","\Idēŋ\i, KC \I*deŋʔ\i to hammer.","","",   0,   0,"  OCh. *tēŋ instead of expected *thēŋ under the influence of *tēŋ nail, peg (see *tēŋ). Trung \Iduŋ\H1\h\i to forge; Mantśati \Iteŋ\i. Sh. 140."
 483,"*[dh]ēŋ",   0,"throw","",   0,"\Iãtheŋ\i to throw away as unfit.","","\Inteŋ\H3\h\i to throw\i, (H) \Iteŋ\i id.","\Idēŋ\i (\Iden\i) to throw, fling, cast.","","",   0,   0,""
 484,"[*dhep]",   0,"near","",   0,"","","\Igəthep\i\I\H2\h\i be close as against a support, (H) \Iǯəthep\i to bring close together, \Ithep\i be near.","\Idep\i (\Ideʔ\i) be close to.","","",   0,   0,""
 485,"*dhēp",   0,"press down, throw down","帖 \I*thēp\i submit.", 857,"\Irdeb(s\i) to throw down with a clap; to prostrate oneself; to fall upon one's face; \Iãdebs\i (p. \Ibtab,\i i. \Ithob\i) cast, throw, strike, hit, \Iãthebs\i (p. \Ithebs\i) be thrown, scattered.","","\Idip\H2\h\i to press, (H) \Iədip\i  to compel.","","","",   0,   0,"Cf. \X0*tīm.\x Cf. PAN *qatip 'pinch, press together'."
 486,"*dhɨ(H)",   0,"help, wait upon","侍 \I*ḏə(ʔ)s\i accompany, wait upon (cf. also 待 \I*dhə̄ʔ\i wait).",1217,"","","\Ido\H3\h\i to serve, \Išədo\H3\h\i to help, strengthen.","","\Itek\i to serve,to be on service to  (?)","",   0,   0,""
 487,"*dhɨ̄n / *dhɨ̄ŋ",1254,"drink, swallow","吞 \I*thə̄n\i to swallow.", 505,"\Iãthuŋ\i (p. \Iãthuŋs\i, i. \Iãthuŋ\i) to drink, suck, smoke.","LB \I*taŋ\i to drink.","","\Idōn\i drink (poet.).","\Ithăŋ,\i \Ithoŋ,\i caus. \Itjăn\i to drink","\I*ʔtùŋ\i", 386, 959,"Simon 26; Sh. 125. STEDT 242-248 *tuŋ 'suck, milk', *[N/s]-tuŋ 'drink, suck'; OC 湩 *troŋ-s / *tōŋ-s 'milk' is compared by Matissoff, but is attested only since Han, and, according to Pulleyblank (CSOC) may be a Xiongnu borrowing."
 488,"*dh[ɨă]ŋH",   0,"plains, level land","\I敞 *thaŋ\iʔ high, level land.",2566,"\Ithaŋ\i a plain, steppe, pasture ground.","","(H) \Igəduŋ\i level country, the plains.","","\Ităŋ,\i \Ia-tăŋ\i all country below the source of springs or rivers; cf. also \Itiŋ\i the plains, flat country","",   0,   0,"Coblin 119."
 489,"*dhə̆k", 387,"clay, mire","埴 \I*dhək\i, \I*thəks\i clay, clayey.",6110,"\Iãdag\i clay; cleaving, adhering.","","","\Idiak\i mud, mire.","","",   0, 450,"Peiros-Starostin 212. Cf. also Konyak *kətok 'earth'."
 490,"*dhel", 813,"lake, still water","",   0,"\Iãdal\i still water.","","","\Idīl\i a lake, pond.","","",   0,   0,""
 491,"*dh[ə̆]mH",   0,"full, fill","甚 \I*ḏəmʔ\i, \I*ḏəms\i excessive, very.",1349,"\Igtam\i (p. \Igtams\i), \Igtom\i to fill (cf. also \Itheb\i full, \Iãtheb\i overplus, extra).","","\Idem\H1\h\i be filled to the top.","KC \I*dim\i > Tiddim \Idim\i to be full.","","\I*d(h)ems\i", 524, 750,"Bahing \Idyam\i be full; Vayu \Idam\i full, \Itam\i fill; Trung \Idăm\H1\h\i full. Ben. 52, Sh. 411. Cf. PAA *tVm 'full', Tai tem 'full, filled up'."
 492,"*dhjē(k)",   0,"lift, take","提 \I*dhē\i lift, grasp.",2555,"\Ibźes\i (resp) take, receive, seize.","","\Idi\iʔ\H2\h to pick, pluck.","","","",   0,   0,""
 493,"*dhj[ŭ]l (~-ł)",1241,"belly","",   0,"\Ićhal\i (resp.) belly, abdomen.","","","\Idul\i the belly, stomach.","","",   0, 436,"Cf. also Naga *di(l) 'belly'. Cf. PAA *dʔɨl 'belly'."
 494,"*dhŭl ( ~ -ł; -ɨ̆-, -ŏ-)",   0,"defeat, conquer","",   0,"\Iãdul\i (p. \Ibtul\i, \Ithul\i, f. \Igtul\i) to tame, break in, to subdue, conquer.","","","\Idol\i be defeated, conquer.","","",   0,   0,"Cf. PAN *[t]al[u`] 'to conquer' (Peiros 1998, 223)."
 495,"*dhō̆[l] ( ~ -ŭ-)",   0,"push","推 \I*thū̆j\i push, push away.",2112,"","\Itwanh\i to shove, push, impel.","(H) \Idon\i to reach forth.","","\Itál\i to take away or off as pot off the fire; to dismiss (from presence), to discharge (from service), to send away","",   0,   0,"Luce 55. Cf. Kulung \Itəlma\i 'push, shove'."
 496,"*dhoŋ (/-k)",   0,"castrated  or hobbled animal","豖 \I*throk\i hobbled pig.",5658,"\Ithoŋ\i a ram that is castrated (Cs).","","(H) \Idoŋ\i to geld, castrate.","","","",   0,   0,""
 497,"*dhōŋ (~-ɨ̄-)",   0,"a k. of creeping plant","",   0,"\Idoŋ-ga\i name of a tropical climbing plant.","","","\Idōŋ\i the name of a jointed creeping plant.","\Ikŭn-tóŋ\i a creeping plant","",   0,   0,""
 498,"*dhūr (~-ō-)",   0,"vomit","涒 \I*thūr\i vomit [since Han].",5947,"","","\Imə\i\Idon\H1\h\i to vomit.","","","",   0,   0,""
 499,"*dhō̆t",   0,"drink, suck","歠 \I*thot\i drink, 啜 \I*thot\i taste, eat.",7957,"","","","\Idūt\i drink (by sucking, as water from river), \Idōt\i drink by sucking, draw up by suction.","","",   0,   0,"Cf. PAN *qudud 'suck, smoke', *sedut 'sip, suck'."
 500,"*dhəw (~-e-)",   0,"stick into, hurt","",   0,"\Ibdo\i to hurt, to injure.","\Ithəwh\i to thrust at, in, or through, to stub with a knife.","","\Ido\î stick into, causing discomfort.","","",   0, 464,"Here perhaps Konyak toi, Namuzi tu.35 'kill'."
 501,"*dhə̆w(H)",   0,"place upright, post","樹 \I*dhoʔ\i to plant, placed upright, \I*dhoʔs\i tree, 尌 \I*dhoʔs\i raise, put up so as to stand, 柱 \I*dhroʔ\i pillar.",4169,"\Igdos\i mast.","\Ithu\i to raise to an erect posture.","\Išədo\H3\h\i a post.","","","",   0,   0,"Cf. PAA *ta:w 'stand'."
 502,"*dh(r)ɨm",   0,"deep place, pond","沉 \I*dhrəm\i to sink in, plunge in.", 639,"","\Ithumh\i pond.","","\Idūm\i a pool in a stream.","","",   0,   0,""
 503,"*dhu (~-o, -ăw)",   0,"love","",   0,"\Igdu\i to love.","","\Imədu\i\H2\h valuable, expressive of love.","\Iduʔ\i want, wish.","","",   0,   0,"Cf. STEDT 366-367 *du(k), adding forms from Idu, Kuki-Chin, Tamang and LB."
 504,"*[dh]ŭ",   0,"curse, blame","祝 \I*tu(k)s\i to curse.",1782,"","","(H) \Išədu\i to blame, to charge.","\Ido\î be at enmity with, fight against.","","",   0,   0,""
 505,"*dhū̆",   0,"couple, counterpart","讎 \I*dhu\i counterpart, companion; enemy; 儔 \I*dhru\i equal, companion.",8316,"\Ido\i two, a pair, a couple; ãdo-ba to respond, reply","\Itu\i be like, similar, be the same, LB \I*tu\i; thuh to reply","\Igədo\H3\h\i \ibe alike.","\Idūn\i (\Idun\i) both, two.","\Ido,\i \Ido-lă\i equally, even as, alike, according to","",   0,   0,"Sh. 51."
 506,"*dh[ɨa]p",   0,"fly, wing","? \I*thāp\i to fly.",8428,"\Iãdab\i wing.","","","\Idop\i the feathers under the tail of a bird.","","",   0,   0,""
 507,"*dhŏŋ (~-ŭ-)", 170,"pierce, sharp weapon","? \I*thoŋ\i pierce.",8429,"\Imduŋ\i lance, spear, pike; sting of insects.","","","","","",   0,   0,"  Ben. 118."
 508,"*dhŏŋ", 402,"crest (of bird), feathers","",   0,"\Imdoŋs\i the eye in a peacock's feather; white spot on the forehead of a horse.","\Iuʔ-dauŋh\i peacock ( > Jnp. \Iu-toŋ\H1\h\i id.).","\Iduŋ-kuŋ\i crest (Sh.).","KC \I*duŋ\i crest.","","",   0, 539,"Sh. 410; Ben. 73; Mat. 179. Cf. also the Tani root for 'bird, feather' *pə-taŋ, *kə-taŋ."
 509,"*dhuŋ (~-o-)",   0,"long","",   0,"","","\Idiŋduŋ\H1\h\i length in opposition to width.","\Iduŋ\i length (as opposed to width).","\Ia-thŭŋ\i height, length","\I*ʔtaN\i (?)", 772, 704,"Mikir \Idiŋ\i long. Ben 19."
 510,"*dhŭr (~-ɨ̆-)", 588,"blister, abscess","",   0,"\Ithor\i smallpox; blotch, abscess.","","","\Idurʔ\i to blister.","","",   0,   0,""
 511,"*dhĕm",   0,"laugh, make fun of","",   0,"","","\Indam\H3\h\i to laugh.","\Idem\i to blame; make fun of.","","",   0,   0,""
 512,"*dhə̄mH",   0,"dark, shade","黮 \I*thə̄mʔ\i, \I*dhə̄mʔ\i black.",8238,"\Idom-ra\i screen, shade for the eyes.","","","\Idām\i (\Idam\i) be sheltered from the sun's rays; \Idum\i black (as sky), dark (in colour).","","",   0,1111,"Cf. \X<0.468>*dV̄mH.\x"
 513,"*dhĕp",   0,"adze, puncheon","",   0,"\Iãdebs\i puncheon (tool).","","","\Idap\i the bevelled edge (as of an adze); to adze, trim thin layers.","","",   0,   0,""
 514,"*dhVt",   0,"bite","唑 \I*ḏats\i to bite.",5886,"","","","\Idīt\i (\Idiʔ\i) bite or gnaw with the front teeth.","","",   0,1196,"(Cf. Khasi dait 'bite')"
 515,"*nă",   0,"lowland, meadow","洳 \I*ṉa,\i \I*ṉas\i marsh.",5769,"\Ina\i meadow.","","\Ina\H2\h\i a lowland, field.","","","",   0, 605,"Coblin 107. Cf. also Aka no, Mĳi nah 'earth'. Cf. Austric: PAN *banua 'inhabited land, territory', PAA *nV 'field', Thai nā 'field'."
 516,"*na (s-)", 433,"nose","",   0,"\Isna\i the nose.","\Ihna\i nose, LB \I*sna\i.","(?) \Inaʔ\H2\h\H\i \hmake a hole in ox's nose.","KC \I*hna\i.","","\I*nə̀\i", 494,1156,"Atong \Ina-kuŋ\i; PG \I*na\i; Kham \Isànī\i; Kanauri \Ista-gus\i; Banpara \Ina-kuŋ\i; Rawang \Iśəŋa\i; Trung \Isə\H3\h-na\H1\h;\i Kadu \Isəna\i; Newari \Ihna-sa\i; Magari\I hna\i; Dhimal \Ihna-pa;\i Digaro \Ihəna-\i. Sh. 38, 123, 134, 430; Ben. 35; Luce 4."
 517,"*na",  44,"elder female relative","",   0,"\Imna-ma\i daughter-in-law.","","\Ikəna\H1\h\i an elder sister.","","","\I*nä\i", 817,   0,"PG \I*a-na\i elder sister; Lakher \Ii-na\i  mother; Chang \Ia-no\i older sister; Miri \Ia-nă\i  mother; Vayu \Inu-nu\i older sister. Ben. 187."
 518,"*n[ɨă]",   0,"think, be aware","茹 \I*nas\i to deliberate, calculate, examine.",1858,"\Imno\i to think, fancy, imagine.","","\Ina\H2\h\i to feel, be aware of, conscious of.","","","",   0,   0,"Cf. Austric: PAN *henaq 'think, consider', PAA *nVh 'see'."
 519,"*nə̄",   0,"ill, sick","(?) 耐 \I*nə̄s\i endure, be patient.",1406,"\Ina\i \i be ill, sick, \Inad\i disease.","\Ina\i be ill, LB \I*na\i.","\Iəna\H2\h\i illness, \Iməna\H2\h\i be mad, insane, crazy.","\Inā\i (\Inat\i) sickness, illness; be sick.","\Injó\i to be sore, to be stiff (as body), to ache (from labour)","\I*ńò\i", 446,   0,"PG \I*nà\i ill, hurt; Rawang \Iəna;\i Kanauri \Ina\i be hurt. Sh. 38; Ben. 31; Mat. 169; Luce 3."
 520,"*nă-",   0,"thou, you","汝 \I*nhaʔ\i you, 爾 \I*nhejʔ\i you, 乃\I*nhə̄ʔ\i your.",3503,"","\Inaŋ\i thou, LB \I*nhaŋ\i (cf. also \Inań\i thou (addressing a female)).","\Inaŋ\H1\h\i thou.","\Inaŋ\i you, thou, KC \I*naŋ\i you.","","\I*ʔìnä\i / \I*gìnä\i",  19,1274,"BG: Garo \Inaŋ-\i, Dimasa \Iniŋ\i, Bodo \Inə́ŋ;\i Rawang \Ina\i, Trung \Ina\H2\h;\i Namsangia \Inaŋ-ma\i; Moshang \Im-naŋ\i; Dhimal \Ina\i; Chepang, Magari \Inaŋ\i. Sh. 38, 118, 410, 430; Ben. 93."
 521,"*nə̆H",  74,"ear","耳 \I*nhəʔ\i ear.", 435,"\Irna\i ear.","\Inah\i ear, LB \I*[n]ax\i ear, \I*sna\i to hear.","\Ina\H1\h\i the ear.","KC \I*k-Na\i.","\Injor,\i \Ia-njor\i ear, hon. \Injăn\i","\I*ńə\i", 447,1217,"Thangkur \Ikhəna\i ear; PG \I*na\HL\h\i; BG: Garo \Ina-tśil\i, Dimasa \Ikhana\i to hear; Moshang, Namsangia \Ina\i; Rawang \Iəna\i, Trung \Ia\H3\h-na\H2\h;\i Kadu \Ikənà,\i Bhramu \Ikəna\i. Simon 14; Sh. 38, 123, 430; Ben. 113; Luce 4."
 522,"*nĕkʷ (/*mĕkʷ)", 171,"a k. of rush, cane","蒻 \I*ṉekʷ\i rush used for making mats.",7061,"\Isńug\i reed, rush, bulrush; cf. also \Ismjug,\i \Ismjig\i cane, bamboo.","\Ihmjać\i bamboo sprouts, LB \I*smi[k]\i.","","","","",   0,   0,"Garo \Ibimik\i sprout, germ, blade. Sh. 67; Ben. 56."
 523,"*nēkʷ", 808,"sink, immerse","溺 \I*nhēk\i\Iʷ\i sink.",3054,"\Iśnug\i (p. \Ibsńugs,\i f. \Ibsńug\i) to dig in, to immerse (also \Ismjug\i id.).","\Inać\i to sink into, be immersed; \Ihnac\í to immerse.","","","","",   0,   0,""
 524,"*[n]eŋ",   0,"fashion, nature","",   0,"\Iŋaŋ\i the nature, essentiality of a person etc.","\Inańh\i method, example of action.","","","","",   0,   0,""
 525,"*n[a]j",   0,"juice","",   0,"","","\Ino\H3\h\i juice, glue, resin.","\Ihnai\i juice, sap, pus.","","",   0,   0,""
 526,"*năjH",   0,"sign, seal","璽 \I*snhajʔ\i (\I~-ejʔ\i) seal.",4858,"","","(H) \Iəna\i a sign, indication.","","","",   0,   0,""
 527,"*nĕk",   0,"strike, hit","",   0,"","\Ihnak\i strike, hit.","(H) \Ińak\i to beat, squash, as with the butt of a rod; \Iəńak\H3\h\i to shake.","\Ihnek, nek\i to strike, as with the butt.","\Injăk\i to shake, to cause to shake, to vibrate, to oscillate","",   0,   0,"Cf. Yamphu ni:kma 'to winnow by shaking'."
 528,"*na(k)",   0,"be","",   0,"\Ignas\i be, live, dwell, stay; to remain.","\Inah\i to rest, to perch; LB \I*nax\i.","\Ilənaʔ\H2\h\i to rest.","","","\I*na\i", 873,   0,"Kanauri \Ina-śi\i rest; Bahing \Ina-so\i take rest. Sh. 58; Ben. 99."
 529,"*nək ( ~ -a-)", 835,"black, dark","",   0,"\Inag,\i \Ignag\i black, \Inog\i very dark, deep-black.","\Inak\i be dark, LB \I*nak\i.","(H) \Igit-na\i black mould (\Igit\i).","KC \I*nak\i (?).","","",   0, 902,"Atong \I-nak\i; Moshang, Namsangia \I-nyak;\i Trung \Inaʔ\H1\h\i. Sh. 38, 430; Ben. 88, 102. Coblin 45 compares OCh. 慝 \I*snhə̄k\i evil."
 530,"*năk",   0,"reason, agree","若 \I*nak\i agree, conform to, accord with.",1431,"\Ignag,\i \Imnag\i well considered, \Ibrnag\i to devise, contrive, take care.","\Iənak\i sense, explanation.","","","","",   0,   0,""
 531,"*nāł",   0,"slippery, smooth","",   0,"","","\Imənen\H1\h\i be slippery, smooth.","\Ināl\i slippery, smooth, slithery, KC \I*nāl\i.","","",   0,   0,"Moshang \I-nyār;\i Banpara \Inan\i. Sh. 443."
 532,"*nāłH",   0,"agile, quick","",   0,"","\Inanʔ\i be light, agile.","n.31 nan.33 new","\Ināl\i (\Inalʔ\i) be quick, be agile.","","",   0, 805,"Cf. also Konyak *ńal 'new'."
 533,"*nam (~-ə̄m)",   0,"sesame","",   0,"","\Ihnamh\i sesame,\i LB \I*s-namx\i.","\Ičiŋnam\H4\h\i sesame, (H) \Inam\i id.","","\Ikă-njem\i a spec. of cock's comb; the grain is used for making \Ichi\i (sometimes) (?)","",   0,   0,"Mikir \Inem-po\i; Rawang \Isə-nam;\i Miri \Inam-duŋ\i, Ben. 106."
 534,"*năm",   0,"jungle","",   0,"","","\Inam\H2\h\i wilderness, jungle.","KC \I*nam\i jungle.","","\I*näm\i", 489, 232,"Abor \Imo-nām\i jungle. Sh. 196, 411. Cf. perhaps Ao Naga te-nem 'mountain'."
