"NUMBER","PROTO","PRNUM","MEANING","CHE","ING","BCB","COMMENT"
204,"*lar",229,"track, footprint","lar","ler","","    4th class in both languages. The root has a variation in the obl. stem: \I*laru-\i (Chech. \Ilora-\i) \I/*lari-\i (Ing. \Ilero,\i whence with vowel levelling the direct base \Iler\i)."
205,"*ani(-n)",299,"clean, pure","ena","ena","ajn",""
206,"*p“",719,"sleeve","p“o-","p“o-","p“o","    Chech. and Ing. reflect a suffixed form \I*p“-\i (obl. base \I*p“i-,\i cf. Chech. \Ip“a-\i); 3d class in Chech. and Ing., 6th class in Bacb. The Ablaut variant \I*p“-\i is reflected in the compound \I*p“-ʁat\i 'distance between stretched hands' (Chech. \Ip“-ʁat,\i Ing. \Ip“a-ʁat\i), where \I*ʁat\i goes back to PEC \X<1>*q_emtV\x\i q.v."
207,"*=is-",89,"stay","=is-","=is-","=is-",""
208,"*“un",282,"forest","“un","“u","“u~","    Obl. base \I*“une-\i (cf. Chech. \I“na-,\i Ing. \I“uno\i). 4th class in all languages."
209,"*du",737,"mountain ridge","du","","","    Obl. base \Idua-.\i A homonym with \Idu\i 'yoke' q.v., but most probably should be separated from it historically."
210,"*br()",738,"ravine, gorge, hollow","bra","ber","","   The PN paradigm should be probably reconstructed as \I*br(\i), \I*br()u-\i; the Chech. direct base goes back to oblique. 6th class in Chech."
211,"*‰Vʯ-ar",748,"rubble, quarry-stone","‰ʯar","‰ʯar","","    The combination ‰ʯ- in Chech. and Ing. can only be explained as a result of vowel elision; unfortunately there is no Bacb. parallel, so the vowel quality is impossible to establish."
212,"*mar (--)",751,"hose; sausage","mar","","","    Attested only in Chech., but having reliable external parallels."
213,"*=it-",762,"to leave","=it-","=it-","=it-",""
214,"*“eṭṭ (--)",765,"avalanche","“tt","","“eṭṭ","    The Bacb. word is quoted from Мациев 1932 where it is spelled \I“eṭ,\i pl. \I“aṭṭ-i.\i 4th class in both languages."
215,"*=tt-/*=tt-",767,"to pour","=ott-","=ott-","=ott-","    \I*=tt-\i is terminative, \I*=tt-\i - durative; in Bacb. there exists also a stem \I=att-\i ( < \I*=tt-\i) 'to be poured (out)'."
216,"*ʁnV",346,"elm-tree","","ʁn","","    PN length can be established by the Ing. -- (which in this position can only go back to *)."
217,"*q-‰-",770,"to arrive","q‰-","qa‰-","qa‰-","    q- is an old preverb."
218,"*qin",115,"1 wife of brother-in-law 2 daughter-in-law","qin 1","qɨ 2","","    Obl. base \I*qina-\i (Chech. \Iqina-,\i Ing. \Iqɨno-\i)."
219,"*ʔib‰V (ɦ-)",463,"1 corridor, gallery 2 veranda","‰ 1","uj‰e 2","","    Chech. -, Ing. -e is a suffix."
220,"*k",673,"1 ram 2 male (of animals)","ka 1","ka 1","komo~ 2","    Obl. base \I*kme-\i (cf. Chech. \Ikma-,\i Ing. \Ikomo\i); the Bacb. adjective reflects directly this oblique base."
221,"*ʡʯV-r",799,"lamb","ʕʯar","ʕʯar","ʕaʯr-ob","    PN -r is probably a former plural suffix (cf. the second plural affix added in the Bacb. form). 6th class in all languages."
222,"*qqu",800,"ram (from 2 up to 3 years old)","qqa","","","    In Chech. cf. also the derivate \Iqqorg\i 'lamb which has lost his mother'. The root is attested only in Chech., but has good EC parallels."
223,"*ʯabʯV-r",802,"a little lamb","ʯowʯar","ʯowʯar","","    *-r is a former plural suffix."
224,"*ta-bu",805,"ram (1 year old or more)","t","tɔ","tawbu","    -bu in PN is probably a former plural suffix."
225,"*bae",806,"foal","bea","ba","bao","    Cf. also Cheb. \Ibai,\i Shar., Ved. \Ibei\i etc. Obl. base with variations: \I*bau-\i (Chech. \Iboa-\i) / \I*bai-\i (Ing. \Ibeo\i). Nakh > Osset. \Ibx\i 'horse' (see Abayev 1958, 255-256)."
226,"*bo“",807,"kid","b“ig","bʕijg","bo“","    Chech. and Ing. reflect a diminutive form \I*bo“-iḳ\i (Ing. \Ibʕijg\i is a contraction < \I*bi“iḳ\i < \I*bo“iḳ\i). Cf. also Shar. \Ibi“ig,\i Khild., Itumk. \Ibʕijg\i etc."
227,"*bɦoḳ",809,"he-goat","bo","bo, bo","bʕoḳ","    Cf. also Shar., Khild. \Ibwog,\i Lev. \Ibwo.\i The old obl. stem must have been \I*bɦaḳi-\i (cf. Ing. \Ibeo\i); Chech. \Iboa-\i is a more recent analogical building."
228,"*‰uʯV",812,"lamb","‰uʯa","","‰ujʯi","    Final vowel not quite clear: Chech. points to \I*‰uʯa,\i while Bacb. - to \I*‰uʯe.\i"
229,"*psiḳ",820,"flea","saga-l","saga-l","psiḳ","    The Chech.-Ing. form goes back to the PN obl. stem \I*psaḳa-\i with a suffixed -l."
230,"*qo(w)e  *qe(w)u",822,"haricot","q","qe","","    \I*qo(w)e\i or \I*qe(w)u\i are possible reconstructions, correlating with external evidence; without the Bacb. reflex it is impossible to make the reconstruction more precise."
231,"*dli",824,"god","dla","dla","dal, dale",""
232,"*bV",825,"1 idol, god 2 heathen deity 3 priest"," 2","uw 3","ijb 1","    The final vowel is not quite clear; however, Bacb. -ij- can only go back to *--, thus the Inlaut vowel is clear."
233,"*ʔant",827,"shortcoming, defect","ant","","","    Isolated in Nakh., but having an Av. parallel."
234,"*ʯattV ( -ṭṭ-)",829,"dirt, mire","ʯatt","ʯotta","","    Obl. base \I*ʯattu-\i (Chech. \Iʯotta-\i); it is most probable that the Ing. direct base here reflects the original oblique one."
235,"*ṭʡar",830,"slush, mire","ṭar","ṭar","","    There's not enough information to establish the PN vowel length in this root."
236,"*b(ɦ)ar",831,"1 watery clay mortar with sand 2 slush, puddle","bora-m","bar","","    Chech. has a suffixed form (with a frequent nominal suffix *-(u)m). Vowel length, unfortunately, can not be established."
237,"*huma (f-)",835,"sore, abscess, boil","huma","","","    Attested only in Chech., but having good external parallels."
238,"*ḳṭi",836,"1 birth-mark, mole 2 spot","ḳda 1","ḳd 2","","    Initial *ḳɦ- also possible."
239,"*qarta",837,"rash, measles","qarta","qarta","","    Vowel length can not be established."
240,"*‰int",838,"wart","‰int","","","    Isolated in Chech. (thus PN *‰ɦ- or *‰ʕ- are also possible), but with some external parallels."
241,"*ṭṭi",839,"freckle, spot","ṭda","ṭd","","    *ṭɦ- also possible."
242,"*maʁu",842,"1 line 2 line, row","moʁa 2","muʁ 1","","    Initial *mɦ- also possible. In Chech. the word has two obl. stems: \Imaʁara-\i 'row' (cf. Ing. \Imuʁaro\i) and \Imoʁana-\i 'line'; the latter is obviously secondary."
243,"*maʯu",845,"stripe (on a cloth)","moʯa","","","    Isolated in Chech., but with probable external parallels. Initial *mɦ- also possible."
244,"*mʔ",848,"young hen","meʔ","","","    Chech. obl. \Imʔa-.\i"
245,"*poppVr",850,"1 clay 2 clay mortar","poppar 2","toppar 1","","    Initial t- in Ing. is obviously a result of dissimilation. The root contains an expressive medial geminate. It belongs to the 5th class in Ing. and 6th class in Chech."
246,"*peṭ",854,"tub","","ped","","    Isolated in Ing., but with probable external parallels."
247,"*mos",242,"down, feather 1 tuft of hair","mas","mos","","    4th class in Chech. and Ing. For PN a paradigm \I*mos,\i \I*masi-\i should be reconstructed (with vowel levelling in Chech.; cf. Chech. obl. \Imesa-\i)."
248,"*paʯ",856,"lung","paʯ","peʯk","","    6th class in Chech., 4th class in Ing. The PN obl. form was \I*paʯu-\i (to judge from Chech. \Ipoʯa-\i); Ing. \Ipeʯk\i goes back to a secondary diminutive \I*paʯ-iḳ.\i"
249,"*ʔp",857,"mill kennel","pari","ip","","    PN paradigm: \I*ʔp,\i \I*ʔp-ar-\i (cf. also Ing. erg. \Iaparo\i); in Chech. the former oblique base became direct (a doublet form \Iapar\i exists also in Ing.). Chech. 4th class, Ing. 3d class."
250,"*mutta (-ṭṭ-)",858,"juice","mutta","","",""
251,"*pop",860,"plane-tree","pop","pop","","    Obl. base \I*popa-\i (cf. Chech. \Ipopa-,\i Ing. \Ipopo\i). 6th class in Chech., 3/5th class in Ing."
252,"*patVr",245,"down  1 goat's down","patar","petar","","    3d class in Chech., 4th class in Ing. -r is originally a suffix (plural)."
253,"*hu(:)p",862,"to blow, blowing","hup la","","","    Attested only in Chech., but with probable external parallels."
254,"*par-lu (--,--)",863,"butterfly","polla","","","    Since there is no Ing. form, several vocalic reconstructions for PN are possible. We assume that the final -la is a suffix, thus the original Inlaut resonant may have been -r- or -l-."
255,"*pu",865,"bump, lump","","","pu","    Isolated in Bacb., but having reliable external parallels."
256,"*lp-",868,"to glitter, to blaze","lp-a","lep-a","lep-ar",""
257,"*bao",872,"horned cattle","baa","bean","ba~","    PN paradigm \I*bao,\i \I*bai-:\i cf. Chech. \Ibaa,\i \Ibea-.\i For the direct base \I*bao\i cf. also Chech. Cheb., Khild., Shar. \Iboo,\i Itumk. \Ibou;\i Bacb. (with metathesis) \Iabo\i 'horned cattle, herd'. There was also a PN derivate \I*bai-n(a\i) 'horned cattle', whence the Ing. form and Bacb. \Iba~\i ( < \I*baan\i), and also Chech. \Ibeana\i id."
258,"*b(ɦ)l-ik (-ʕ-)",875,"grove","blak","","","    Isolated in Chech., but having probable external parallels (cf. even a similar suffix formation in Chech. and Darg.)."
259,"*ʁam-maʁa",1268,"1 peach 2 apricot","ʁammaʁa 1","ʁamaʁa 2","",""
260,"*buṭ (  --)",879,"vulva","bud","bud","",""
261,"*bp-iḳ",887,"bread (made of wheat, barley)","bpig","","","    Cf. also Cheb. \Ibpig,\i Chech. obl. \Ibpka-\i (pointing to *--)."
262,"*ʔab-",890,"to sew","","","ʔab-","    Chech. and Ing. have not preserved the verb, but cf. in Chech. \Iew-na,\i Ing. \Iow\i 'seam'. Cf. also the PN derivate \I*jub\i (obl. \I*ʔabrV-\i) 'awl' (Bacb. \Ijub,\i Chech. \Ij,\i pl. \Iʔra,\i Ing. \Ijuw,\i erg. \Iowro,\i pl. \Iowra\i)."
263,"*p(ʕ)ott (--,-ṭṭ)",891,"wooden bar","pott","","","    Isolated in Chech., but having probable external parallels."
264,"*pisV",853,"pussy-cat","pis","","","    Isolated in Chech., with possible cognates in PL."
265,"*‰(ʕ)apu",892,"foam, scum","‰opa","","","    Isolated in Chech., but with probable external parallels."
266,"*b(ɦ)rʒ",301,"hillock","barz","bɔrz","","    Obl. stem \I*brʒu-\i (cf. Chech. \Iborza-\i and the Ing. \Ibɔrz,\i erg. \Ibɔrzo\i with vowel levelling in the direct stem). Cf. also Shar., Khild., It. \Ibrʒ.\i 6th class in Chech. and Ing."
267,"*b(ɦ)eV ( -a-)",897,"pole","","bea","","    Isolated in Ing., thus the PN reconstruction is tentative. Nakh > Osset. (Dig.) \Ibq\i 'pole', see Abayev 1958, 250."
268,"*b(ɦ)aḳa",899,"1 pine-tree 2 resinous root of pine-tree","baga 1","baga 2","","    3d class in Chech., 6th class in Ing."
269,"*barVg",900,"pick-axe","berg","","brag","    In literary Chech. the root is present only as a compound element of \Izʕok-berg\i 'pick-axe'; cf., however, Itumk., Khild. \Iberg\i id. For Bacbian Matsiyev adduces also a form \Ibarg\i 'hammer for incising the mill-stone' which is probably a variant of the same root."
270,"*bu",902,"back","bu","bu","bu","    Obl. stem \I*bua-\i (cf. Chech. \Ibua-,\i Ing. \Ibuo\i), plur. \I*ba-bV-\i (Bacb. \Ibabi,\i Ing. \Ibowa-,\i Chech. \Ibaa-\i). 6th class in all languages."
271,"*borc",898,"millet","borc","borc","borc","    Obl. base \I*barci-\i (Chech. \Iberca-,\i Ing. \Iberco\i). 6th class in all languages."
272,"*bar (--)",2323,"eight","barh","barh","bar",""
273,"*bar-iḳ",906,"hoof","berg","barg","","    4th class in Chech., 6th class in Ing. *-iḳ is a common diminutive suffix."
274,"*bar()am",907,"funeral stretcher","baram","","","    Isolated in Chech. (thus *-r-, *-r- or *-r- are equally possible), but having very probable external parallels."
275,"*b(ɦ)aVn (-ʕ-,--)",908,"rye","boan","","","    In Uslar's notation: \Ibaa.\i Since there are no Bacb. forms, both *-- and *-- are possible in PN."
276,"*‰im",291,"1 ashes 2 snow-flake","‰im 1,2","","‰im 1","    Obl. base \I*‰ima-\i (Chech. \I‰ima-\i). 5th class in Chech., 6th class in Bacb."
277,"*“ub (--)",910,"wound inflammation, caused by cold, dampness","“","“uw","","    4th class in Chech. and Ing. The original vowel length is impossible to establish."
278,"*kamu-r / *kumV-l",911,"1 raspberry 2 mulberry","komar 2","komar 1,2","kumel 1","    Cf. also Chech. \In komar\i 'raspberry' (lit. 'red mulberry'). In Ing. the word also means 'strawberry'. The word contains different suffixes in Chech./Ing. and Bacb.; in Bacbi there was, additionally, a vowel metathesis."
279,"*bumba-r- (--)",919,"1 bumble-bee, hornet 2 beetle","bumbari","bumbarg","","    Both form contain suffixes: Chech. \Ibumbari\i < \I*bumbar-Vj,\i Ing. \Ibumbarg\i < \I*bumbar-iḳ.\i 4th class in both languages."
280,"*bq",921,"fur-coat","beq","beq","","     Obl. base \I*bqa-\i (Chech. \Ibqa-,\i Ing. \Ibeqo\i). 4th class in Chech., 6th class in Ing."
281,"*“adV (--)",922,"brain","“","“ɔ","“ad(a)","    6th class in all languages."
282,"*“aḳ(a)",925,"forehead","“a","“aa","“aḳ","    Obl. base \I*“aḳi-,\i cf. Chech. \I“a-.\i 3d class in Chech. and Bacb., 4th class in Ing."
283,"*bʕl",257,"set (in a game)","bal","bʕal","","    Obl. stem \I*bʕlu-,\i cf. Chech. \Ibla-.\i 6th class in Chech. and Ing."
284,"*=u“",929,"1 face 2 edge,blade 3 end 4 beginning","j“ 1,3","ju“ 1, du“ 4","ju“ 1, du“ 2","    In Chech. cf. also \I-“-ig\i 'end' (with changing class prefixes). In Bacb. the root is present also in the compound \Ijo“-koṭo,\i \Ido“-koṭo\i 'face' and in adverbs \I-uj“-ṭeʯ\i (with changing class prefixes) 'face down', \Iduj“re~\i 'at first' and \Iju“al\i 'on the other side (of a river, ravine)'.     The same root served as stem in the derivate \I*ɦi-ri-n\i ( < \I*-uHi-ri-n\i) 'sharp' > Chech., Ing. \Iira,\i Bacb. \Iʕiri~.\i"
285,"*babV (--)",917,"grandfather","","","babo","    Attested only in Bacb., but having obvious parallels in other EC languages."
286,"*mar (--)",931,"muzzle","mar","","","    Isolated in Chech. (obl. base \Imara-\i), thus the vowel length is not clear."
287,"*a-ʡVm",934,"eyebrow","oam","aam","",""
288,"*mʡa‰-iḳ",261,"tip (of smth.) bent upwards","mʕ‰ig","","","    Isolated in Chech., but having probable external parallels."
289,"*ʒʡok",935,"beak","zʕok","zʕok","zok","    4th class in all languages. Obl. base \I*ʒʡak-ar-\i (cf. Chech. \Izʕakara-,\i Ing. with vowel levelling \Izʕokaro\i). Nakh > Osset. \Iʒɨx\i / \Iʒux\i, \Iux\i 'mouth' (see Abayev 1958, 408-409)."
290,"*b(ɦ)asV",937,"1 southern slope of a hill 2 cheek","bas 1, besni 2","bas-ilg 2","","    Both Chech. and Ing. have different suffixed forms."
291,"*d-le",940,"gum (in mouth)","dla","dol","","    3d class in Chech. and Ing. Cf. also Chech. Cheb. \Idwle,\i Ved. \Idwle,\i Khild. \Idwle\i etc."
292,"*aniḳ",942,"chin","enig","ang","aniḳ","    4th class in all languages. The root is extended by the diminutive *-iḳ."
293,"*mer (--,-ʒ)",943,"hair in horse's tail","merz","merz","","    6th class in Chech., 5th class in Ing. Cf. also Chech. Shar., Khild. \Imjerʒ.\i Original vowel length unclear."
294,"*hoʔ (  f-)",1602,"bullet, projectile","hoʔ","","","    Attested only in Chech. (obl. base \Ihʔa-\i), but having probable external parallels. The meaning 'bullet' is, of course, secondary < 'arrow'."
295,"*naqV (--)",951,"palate; throat, pharynx","","","naq(a)","    Isolated in Bacb., but having probable external parallels."
296,"*ḳms(s)ur",225,"canine tooth","ḳomsar","ḳomsar","","    4th class in Chech. and Ing. Cf. also Chech. Lev. \Iḳmsur,\i \Iḳmsar,\i Shar. \Iḳncur\i (with secondary -c-)."
297,"*ṭwi",180,"1 crossbeam 2 bridge 3 collar-bone, clavicle","ṭaj 1,2","ṭij 2","ṭiw 2,3","    The PN paradigm \I*ṭwi,\i obl. \I*ṭwi-\i is clearly reflected in Ing. \Iṭij,\i \Iṭwo;\i Chech. has generalized the vocalism of the obl. stem (\Iṭaj\i < \I*ṭj(i\i) < \I*ṭwi,\i obl. \Iṭ-\i < \I*ṭji-\i < \I*ṭwi-\i). For Bacb. cf. also Desheriyev's notation: \Iṭew.\i 3d class in all languages.     The root originally meant just 'stick' or 'pole', cf. the Chech. diminutive \Iṭe-rg-a\i (pl. t.) 'drumstick', and Ing. dial. \Iṭi(j\i) 'penis'."
298,"*ḳ",957,"1 plait 2 wool","ḳar 1","ḳe 1","ḳe 2","    4th class in all languages. PN paradigm: \I*ḳ,\i \I*ḳ-ar-\i (cf. Ing. \Iḳe,\i erg. \Iḳaaro\i); in Chech. the oblique stem became direct."
299,"*‰arʯ (--)",958,"carcass","‰arʯ","","","    Obl. stem \I*‰arʯu-\i (Chech. \I‰orʯa-\i)."
300,"*ʔu-ḳ (-ʒ-,ɦ-)",966,"1 core of a lash 2 island 3core(of a boil,abscess)","zig 2,3","ezig 1","","    4th class in both languages. The original meaning must have been simply 'core, centre'."
301,"*kre",269,"belly, entrails","kra","ker","","    Cf. also Chech. Pharch. \Ikr,\i Cheb. \Ikjri.\i 5th class in Chech., 6th class in Ing."
302,"*m(ɦ)u(H)ar",967,"snout, muzzle; trunk","muar","muar","","    Some kind of medial cluster is indicated by Ing. dial. \Imuoʒʁər\i id. 4th class in both languages."
303,"*nna",272,"mother","nna","nana","nan","    Obl. stem \I*nni-\i (cf. Chech. \Inna-,\i Bacb. \Inani-\i); Ing., however, reflects \I*nnu-\i (Ing. pl. \Inona-\i)."
304,"*p“ars(s) (--)",970,"arm","p“ars","p“ars","p“ars","    Obl. base \I*p“arsi-\i (cf. Chech. \Ip“rsa-,\i (Uslar) \Ip“ɛrsi-\i). Cf. also Chech. Shar., Khild. \Ip“arc.\i"
305,"*an-ḳu",972,"navel","onga","ong","","    Cf. also Chech. It. \Iang.\i 3d class in Chech., 4th class in Ing. The form contains a suffix *-ḳu (probably a variant of the more usual diminutive *-iḳ)."
306,"*=ist",975,"edge, end","=ist","=ist","bist","    Bacb. \Ibist\i in Matsiyev's notation (Kadagidze: \Ibisṭ\i). Vowel length unclear (because of the consonant cluster). One of the stems with changing class prefixes."
307,"*‰rʁV (-a-)",976,"kennel, gutter; ravine","‰orʁ","","","    Attested only in Chech., thus the vocalic reconstruction (including the vowel length) not quite certain."
308,"*b(ɦ)r‰",977,"a wide seam on cloth","bar‰","bar‰","","    The precise meaning is "a wide seam on cloth (for passing a lace etc.); the place for fitting a lace (in a bag)". Obl. base \I*b(ɦ)r‰e-\i (cf. Chech. \Ibr‰a-\i). 6th class in Chech., 4th class in Ing."
309,"*j“",249,"large intestine","j“","","aj“i","    PN paradigm: \I*j“,\i \I*ʔ“i-.\i In Bacb. the former oblique stem became direct; in Chech., vice versa, the direct base became oblique: \I*j“i-.\i In its turn, the new oblique base influenced the vocalism of the direct one (\Ij“\i)."
310,"*nugV (--,-b-,-d-)",981,"besom","nuj","nuv","","    Since there is no Bacb. form, any voiced stop may be reconstructed for PN. 6th class in Chech. and Ing."
311,"*amʔar-iḳ",982,"throat, larynx","amarg","amarg","","    4th class in Chech. and Ing. The stem contains a frequent PN diminutive suffix *-iḳ."
312,"*im",335,"kidney","im","im","i~","    Obl. base \I*amu-r-\i (cf. Ing. \Iomar-\i) / \I*ima-\i (Chech. \Iima-\i). 6th class in all languagess."
313,"*‰u“e",991,"1 cheese whey 2 cheese brine","‰“a","‰u“i","",""
314,"*p“atV (--)",996,"lung","","","p“ajti","    Isolated in Bacb., but having reliable external parallels."
315,"*bʡar()V",270,"liver sausage","bʕara / baʕar","bʕar","","    6th class in both languages. Since there is no Bacb. parallel, it is impossible to establish whether PN had *-- here or not."
316,"*liṭṭ-",1543,"to filter","litt-","litt-","liṭṭ-","    The verb stem is both terminative and durative in all languages."
317,"*n(ɦ)sta (-ṭ-)",999,"1 leg (from foot to knee) 2 shin, shank","nosta","nost","","    PN paradigm \I*n(ɦ)sta\i, \I*n(ɦ)star-\i (cf. Chech. \Inastara-,\i Ing. \Inastaro\i). 4th class in Chech. and Ing."
318,"*‰aʯ-um /*‰aʯ-‰um",1001,"cartilage, gristle","‰oʯ‰am","‰o‰ʯam","‰ʯam‰ʯam","    A reduplicated stem. 4th class in Chech., Ing., 6th class in Bcb."
319,"*p“-ʁat",1004,"distance between stretched hands","p“-ʁat","p“a-ʁat","","    A compound with \I*p“-\i 'arm' (see under \I*p“\i) as first component."
320,"*mu",1010,"hilt (of a dagger, sabre)","mu","mu","mu","    PN paradigm \I*mu,\i \I*maara-\i (cf. Chech. \Imaara-\i). 6th class in all languages."
321,"*mor",1011,"1 armful 2 to embrace","mor 1","morh 1","mor-bar 2","    PN paradigm \I*mor,\i \I*marV-\i (cf. the archaic adv. Chech. \Imara\i "into one's arms", Bacb. \Imajra d-oar\i 'to embrace'; the present obl. base Chech. \Imora-,\i Ing. \Imorho\i is a result of secondary vowel levelling). 6th class in Chech. and Ing."
322,"*ṭal-iḳ",181,"finger","ṭelg","ṭelg","ṭarḳ","    The stem contains a diminutive *-iḳ. Bacb. \Iṭarḳ\i instead of \I*ṭalḳ\i on analogy with \Ilarḳ\i 'ear', \Ibʕarḳ\i 'eye'. 6th class in all languages."
323,"*biV",1015,"a child's hand","bii","","","    Attested only in Chech. with a possible Tsez. parallel."
324,"*gʒV (--)",1017,"part of leg (thigh+shin+foot)","","gɔz","","    Attested only in Ing., but with probable external parallels."
325,"*=ss-",1020,"empty, hollow","=ssa","=ssa","=ase~","    Cf. also Chech. Cheb. \I=sse~,\i Ved. \I=sse~\i etc. The pure stem \I*=ss-\i is contained in Chech. \I=ass-,\i Bacb. \I=as-da~\i 'to empty'."
326,"*ʯ",1021,"side (of body), hip","ʯa","ʯa","ʯa","    Obl. base \I*ʯ-ni-\i (Chech. \Iʯ-na-,\i Ing. \Iʯno\i). 6th class in Chech., 3d class in Ing., 8th class in Bacb."
327,"*kars ( --)",1022,"1 rope of horse's hair 2 rope of goat's wool","kars 1","kars 1","karsa~ 2","    4th class in all languages. There is not enough information to establish the PN vowel length."
328,"*ʁlu-ḳ",158,"bone for playing dice","ʁulg","ʁolg","","    The stem contains a usual diminutive suffix. 3d class in Chech., 4th class in Ing."
329,"*mV (--)",57,"limb","m","me","","    A formation with a frequent *-VjV suffix. 4th class in both languages."
330,"*“aqV",1024,"ankle, ankle-bone","“aqolg","“aqing","","    4th class in both languages. Without suffix cf. Chech. Pharch. \I“aqo\i id."
331,"*“qu-m ( *“qa-m)",265,"knee-cap","“qam","","","    Attested only in Chech., but with probable external parallels."
332,"*ḳurV-m",1,"bone for playing dice","ḳuram","","","    Attested only in Chech., but having probable external parallels."
333,"*garʒa (--,--)",3,"noodles","garza","garza","","    4th class in both languages."
334,"*p“iṭ",1028,"calf of leg","p“id","p“id","","    Obl. base \I*p“iṭa-\i (Chech. \Ip“ida-,\i Ing. \Ip“ido\i). The word is homonymous with \I*p“iṭ\i 'frog' (q.v.) which is a secondary merger."
335,"*ḳaru",12,"coal","ḳora","ḳor","ḳor","    5th class in Chech., Ing., b in Bacb. Cf. also Shar. \Iḳoro,\i Khild. \Iḳoru,\i Cheb. \Iḳaru\i - proving the reconstruction with *-a-. The form \Iḳor\i in Bacb. is irregular (\I*ḳajru\i should be expected) and still has to be explained."
336,"*ne“",206,"1 skin 2 skin (for making soles)","neʕ","ni“","ni“","    Obl. stem \I*na“a-ra-\i (cf. Ing. \Ina“aro,\i Chech. with vowel levelling \Ineʕara-\i). 3d class in all languages."
337,"*m(ɦ)il-(*--,--)",20,"1 from cold, with cold (adv.) 2 to get cold","mil-la 1","","mil-dar 2","    Vowel length and the precise quality of the lateral are hard to establish (the Bacb. stem is known only in Kadagidze's notation)."
338,"*barḳal ( -a-)",37,"1 lumps of dirt in animals' hair 2 bad,dirty wool","bargal 1","","barḳal 2",""
339,"*m(ɦ)ʯV (-ʕ-,--)",1032,"leather strip to be cut in threads; harness thread","mʯa","","","    Attested only in Chech., but having probable external parallels."
340,"*q-t-",22,"to get (somewhere)","q-t-","q-et-","","    The root is used only with the preverb *q-."
341,"*kondV-r (-a-)",339,"1 crown of a tree; a k. of weed 2 savory","kondar 1","kondar 2","kondar 2","    Forms with the meaning 'weed, savory' may be loaned from Georgian (cf. Georg. \Ikondari\i); however, a reverse direction of borrowing is also possible."
342,"*ḳe",25,"puppy","ḳza","ḳaza","ḳa(e)","    Obl. base \Iḳi-\i (Chech. \Iḳza-,\i Ing. \Iḳzo\i). Cf. also Cheb. \Iḳze,\i Khild. \Iḳʒe,\i Ved. \Iḳze\i etc. 3d class in all languages."
343,"*(p)s(ɦ)rV",50,"long switch, long branch; wire","sra","srg","","    In Ing. - a form with the diminutive *-ḳ (cf. also Chech. (Usl.) \Israg\i id.). 6th class in both languages. Since there is no Bacb. reflex, it is impossible to determine whether we deal with PN *s- or *ps-, and whether there was a medial laryngeal. External evidence is in favour of PN \I*psɦrV.\i"
344,"*ḳu",56,"1 forelock, tuft of hair 2 mountain top","ḳu 1","ḳu 1","ḳu 1,2","    Obl. base \I*ḳue-\i (cf. Chech. \Iḳa-,\i Ing. \Iḳuo\i). 6th class in all languages. Cf. also Khild. \Iḳu,\i Ing. (Imnaishvili) \Iḳu‰:,\i Chech. \Iḳu-al\i 'fringe, forelock'."
345,"*k‰-Vr ( *k‰-ur)",1037,"bundle (of onions, garlic etc.)","k‰ar","","","    Attested only in Chech., but having probable external parallels."
346,"*ʯl",1046,"a piece of thread","ʯal","","","    Obl. base \I*ʯli-\i (Chech. \Iʯla-\i). Attested only in Chech., but having good external parallels."
347,"*mobʯV-r ( -a-)",1040,"thick hempen threads","","mowʯar","","    Attested only in Ing., but having probable external parallels."
348,"*“so",1042,"1 golden threads 2 woollen threads","“sa","“ɔsa","“as","    Obl. stem \I*“si-\i (Chech. \I“sa-,\i Ing. \I“so\i). 6th class in all languages."
349,"*ʔʯ-ni",1043,"woollen thread, yarn","ʯang","ʯing","ajʯni","    Bacb. reflects the form \I*ʔʯ-ni\i (with an old *-ni suffix); Chech. and Ing. reflect the further suffixation \I*ʔʯ-ni-ḳ\i (with diminutive *-ḳ). 3d class in Chech., Ing., 5th class in Bacb."
350,"*pʯ",1044,"vein","pʯa","pʯa","pʯa","    Obl. stem \I*pʯ-ni-\i (Chech. \Ipʯna-,\i Ing. \Ipʯno\i). 6th class in all languages."
351,"*samV-ḳ ( --)",1045,"sausage made of a large intestine","samg","","","    Attested only in Chech., but having probable external parallels."
352,"*mli",1047,"good deed, good (relig.)","mla","ml","","    5th class in both languages."
353,"*ʡr",1049,"1 skin, envelope 2 shell, peel","or 1","or 2","ar 1","    3d class in Chech., 4th class in Ing., 5th class in Bacb. Chech. and Ing. point to an obl. stem \I*ʡru-\i (Chech. \Ira-,\i Ing. \Ioro\i). However, there must have existed an obl. base with Ablaut \I*ʡrV-\i reflected in Bacb. as the direct base."
354,"*ʔn",53,"rheumatic pain, rheumatism","n","a","a~","    Obl. base \I*ʔne-,\i cf. Chech. \Ina-,\i Ing. \Iano,\i Bacb. \Iani-.\i 3d class in all languages."
355,"*d(ɦ)o (-ʕ-)",1055,"ear-wax","do","","","    Obl. base \Ido-na-.\i Attested only in Chech., but having probable external parallels."
356,"*ʔirV (ʕ,ɦ,,-ʒ-)",195,"stubbed ground; a sown forest clearing","irz","","","    The word is attested only in Chech. (- is a nominal suffix), thus there may be several variants of the PN reconstruction."
357,"*ʔʁ-",1058,"1 to fight, quarrel 2 to be upset","ʁ- 1","eʁ- 1","eʁ- 2",""
