"NUMBER","PROTO","PRNUM","MEANING","ABK","ABA","ADG","KAB","UBK","COMMENT"
170,"*bə",2308,"a demonstrative stem","a-b-","a-b-","","()-bə","","    PAT \I*(a)bə-\i - an approximating deictic particle (Abkh. \Iab-ni\i "that (nearer than \Iani\i)", Abaz. \Iabani\i id. etc.). In AK the particle has survived only in Kab. within the pronoun \I-bə\i 'that'."
171,"*da",2304,"a demonstrative stem","-da","-da","-da","-da","(aj)-da","    Dumezil (1932, 120) relates Ub. -da in \Iaj-da\i 'that, another' (cf. also -da- in \Im-da-ḳa\i 'where') to Abkh. -da in \Ia-la-da\i 'down', \Ia-ʕʷa-da\i 'above' ( < PAT \I*-da,\i cf. Abaz. \Iʕʷa-da\i 'ascent, climbing'). While this may be true, we would also adduce the AT pronominal (agentive) prefixes of the 3d person singular and plural (\I*də-\i > Abkh., Abaz. \Id(ə)-\i) and probably also the 3d person plural pronoun \I*da-ra\i 'they' (Abkh. \Ida-ra,\i Abaz. \Ida-ra\i).     In AK the stem is preserved in \I*a-da\i  'there' (Ad., Kab. \Ida\i); cf. also Ad. \Itə-da\i 'where' and the PAK locative preverb \I*da-\i (Ad., Kab. \Ida-\i). See Шагиров 1, 57."
172,"*mə-",2311,"demonstrative pronoun","","","mə","mə","","    PAK \I*mə-\i 'this', \I*mə-wə-\i 'that'. Although Ub. and AT have lost this morpheme, it is obviously archaic and has good parallels in EC."
173,"*jA",2309,"a demonstrative stem","ja-ra","ja-ra","jəj","jə, jej","jə-","    In PAT used as the 3d p. pronoun \I*ja-ra\i 'he'; cf. also \I*jə\i (Abkh. \Ij(ə)-,\i Abaz. \Ij(ə)-\i the verbal prefix of the 3d person) and *-jə within complex demonstrative stems (\I*a-nə-jə\i 'that', \I*a-rə-jə\i 'this' > Abkh., Abaz. \Iani,\i \Iari\i etc.).     In AK the root functions as the 3d p. possessive prefix (\Ijə-\i 'his'), see Шагиров 1, 180.     In Ubykh \Ijə-\i is the demonstrative pronoun expressing near deixis ('this'); the same morpheme is probably used as a personal prefix of the 3d p. pl."
174,"*nanV",272,"1 mother, mummy (tend.) 2 old woman,granny (tend.)","nan 1","","nn 1","nna 2","nan(a) 1","    PAK \I*nana.\i"
175,"*wA",2285,"thou (2d p. pr.)","wa-ra","wa-ra","wa","wa","wə-ʁʷa","    PAT \I*wa-,\i PAK \I*wa.\i"
176,"*bəzA",102,"1 tongue 2 language","a-bz 1","bzə 1","bza 2","bza 2","bza 1","    PAT \I*bəzə\i (cf. also Bz. \Ia-bz\i). PAK \I*bza\i 'language'; in the meaning 'tongue' PAK employed a compound \I*bza-gʷə\i (lit. 'tongue's center') > Ad. \Ibzagʷə,\i Kab. \Ibzagʷ.\i In Ub. the variants \Ibza\i and \Ibza\i coexist, the latter being obviously loaned from AK."
177,"*c:A",104,"1 tooth 2 fang, canine tooth","a-c 2","pə-c 1","ca 1","ʒa 1","ca-ḳə 1","    PAT \I*cə\i (the pure root is preserved in Abkh. \Ia-c,\i Bz. \Ia-c\i 'fang'; the meaning 'tooth' is being rendered by the compound \I*pə-cə\i lit. "front tooth" > Abaz. \Ipə-c\i or \I*qA-pə-cə\i lit. "head's front tooth" > Abkh. \Ia-ʯa-pə-c\i (Bz. with secondary voicing \Ia-ʯa-bə-c\i).     PAK \I*c:a.\i In Ub. the element -ḳə is an original singularity marker."
178,"*əla",769,"tree","a-la","la","","","","    PAT \I*əla\i (cf. also Bz. \Ia-la\i). Abdokov (1983, 133) proposes a connection with \Ia-i\i 'vegetation', thus suggesting a root \I*ə-;\i however, accentology speaks against this analysis."
179,"*‰:ʷə",345,"tree","","","‰ə-ɣə","ə-ɣ","","    PAK *‰:ə-ɣə 'tree'. Shagirov (1, 196) is certainly right in treating the component -ɣə as 'seed' (see *A) and establishing the original meaning of the compound as "acorn". Cf. also PAK *‰:ə-ɣa-jə "oak-tree" (Ad. ‰əɣj, Kab. əɣej). However, the root *‰:ə can not be related to Abkh. a- 'oak-tree' for phonetic reasons; the latter is rather connected with PAK *p‰:V 'plane-tree' q.v."
180,"*ʁʷənə",346,"tree","","","","","ʁʷənə","    Isolated in Ub. with the only possible parallels in EC (despite Dumezil 1932,124 the root has nothing to do with PAK \I*wəna,\i PAT \I*ʕʷənə\i 'house')."
181,"*tqI:ʷA",2315,"two","ʕʷ-ba","ʕʷ-ba","ṭʷə","ṭʷə","ṭʷa","    PAT \I*ʕʷə;\i PAK \I*ṭʡʷə\i (for the initial cluster cf. Ad. Khakuch. \Iṭʷə\i)."
182,"*ca (*‰-)",770,"to go, walk","a-ca-ra","ca-ra","","","","    PAT \I*ca\i (cf. also Bz. \Ia-ca-ra\i). The verb can also be used with a causative meaning (Abkh. \Ia-t-ca-ra,\i Bzyb. \Ia-t-ca-ra\i 'to drive out, expel' etc.). It is somewhat suspicious that the causative form does not have the usual causative prefix -r(ə)- in Abkh.: this could mean that we deal here in fact with a different verbal root, which could be compared to PEC \I*=VV\i 'to drive' (q.v.)."
183,"*bəə",974,"1 measles 2 scarlet fever 3 navel","a-bə 1","bə 1","nəbə 3","bəna 3","bəə 2","    The original meaning is clearly 'spot(s)', whence a) 'measles' or 'scarlet fever', b) *'spot of the belly' > 'navel'. PAT \I*bəə;\i PAK compound \I*nəba-bəa\i (* instead of * as a result of assimilation) "belly-spot" > \I*nəbəa\i / \I*bənəa.\i Despite Shagirov 1977, 103-104, we can not reconstruct in PAK \I*nəba-ga\i "belly+bad" - primarily because Ad.  : Kab.  point only to PAK * (not *g).         The Adygh words were borrowed in Abaz. (\Ibəna\i "navel") and Ub. (\Inəbə\i "navel")."
184,"*pəV",771,"1 warm 2 to boil","a-pʯa 1","pʯa 1","p-ta-n 2","ps-tə-n 2","psə 1","    PAT \I*pəxa\i (cf. also Bz. \Ia-pxa\i). The AK form raises some problems: it may be treated on Adygh ground as a contraction of \I*p:ə-ta-\i (cf. \I*p:ə-\i 'to swell up'), see Kuipers 1975, 92, Shagirov 2,34. In this case it does not belong here. Cf., however, Kab. \Ipstə-r\i 'hot' and AK \I*pa-\i 'to cook' which could also serve as basis for \I*p(ə)-tA-\i. We prefer (for the time being) the second hypothesis, although it is rather probable that a contamination occurred in the PAK derivate.         PAK \I*pa-\i 'cook' is reflected in Kab. \Ipsa-fa-\i 'cook (v.)', \Ips-fa\i 'cook (n.)', Ad. \Ipa-rə“\i (Bzhed. \Ipar“ə\i) 'cook; young man serving elder', \Ipsa-rə“a-\i 'cook (v.)' (suffixes are not quite clear both in Ad. and Kab.)."
185,"*ʷV",168,"1 to boil 2 warm","a--ra 1","-ra 1","f-ba 2","xʷ-ba 2","ʷa-da- 1","    PAT \I*ə;\i PAK \I*xʷa-ba.\i Shagirov (2,106) takes from Ubykh another root: \Ia-\i 'to be hot'. However, Ub.  can not correspond to PAK *xʷ, while Ub. \Iʷa-da-\i is a perfect match for both AA and AK forms.     It is probable that Ub. \Ia-\i 'be hot' goes back to another PWC root, \I*V\i (\I*:V\i) which is not reflected in PAK, but in PAT merged with \I*ə\i < \I*ʷA.\i This seems probable because the Abkh. root means both 'boil' and 'become hot'."
186,"*bzə",858,"1 water 2 juice","a-ʒə 1,2","ʒə 1,2","psə 1","psə 1","bzə 1","    PAT \I*ʒə\i (cf. also Bz. \Ia-ʒə\i); PAK \I*psə;\i Ub. def. \Ia-bzə.\i Shagirov (2, 16) suggests that PAT \I*ʒə\i should be separated from the AK and Ub. forms and prefers to compare them with PAT \I*p(ə)sə\i '*water,*river' (reconstructed on hydronymic evidence). There exists indeed a PAT root \I*pəsa\i 'to become wet, soak' (e.g. Abaz. \Ipsa-ra\i id., Abkh. (a-ʒə) \Ia-psa-la-ra,\i Bz. (a-ʒə) \Ia-psə-la-ra\i 'throw into water') which could be compared with PAK \I*psə\i ( - but not with voiced bz- in Ub.!). Still it is very hard to separate the AA root \I*ʒə\i from Ubykh (with which it correlates even in what concerns accent), and the Ubykh one from AK. We think that in PAK there could have occurred a contamination of two original roots: \I*bzə\i 'water' and \I*pəsə\i 'river; liquid' - this would be the best explanation of the whole situation.     Abdokov (1983, 185) compares PAT \I*ʒə\i with PAK \I*p:c:a-\i in \I*p:c:a-n-t“a\i "glue" (Ad. \Ipcnt“a,\i Kab. \Ibʒnt“a\i). This would be fine in view of the EC data, but Shagirov (1, 81) is probably right in treating \I*p:c:a-n-t“a\i as "fish glue" (with \I*p:c:a\i "fish")."
187,"*ʯa",773,"we","“a-ra","“a-ra","","","","    PAT *“a. Despite Dumezil 1932 there can be no connection with PAK *t:a or Ub. ə- 'we'."
188,"*t:a (*r-)",774,"we","","","ta","da","","    PAK *t:a. Despite Dumezil, no connection can exist between PAK *t:a and PAT *“a or Ub. ə- 'we'. Etymology unclear."
189,"*ə",2287,"we","","","","","ə-ʁwa","    The Ub. 1st p. pl. pr. is the only one which has reliable EC parallels (the EC exclusive 1st p. pl. pr.); despite Dumezil 1932, PAT \I*“a\i and PAK \I*t:a\i have no connection with it."
190,"*-a",2295,"what, who (interrogative stem)","-a(-)","-a(-)","","","","    In Abkh. the meaning of interrogative pronouns is normally expressed by verbal suffixes -da ('who'), -j ('what'). Since d- and j- are class markers  (animate/unanimate respectively), the only morpheme to which we can ascribe the interrogative meaning is -a (probably reduced in *-ja > -j). The same morpheme can be seen in \I-a-ba-\i 'where' and independent pronouns \Id-a-rban\i 'who', \Ij-a-rban\i 'what' (the -rban suffix is not very clear etymologically - perhaps it contains the root \I*-ba-\i 'to see' q.v.?). In Abaz. the situation is analoguous - only in the function of independent pronouns we have \Id-zaʷə-j-a\i 'who' and \Ij-zaʷə-j-a\i (or \Iaʷəja\i) 'what'. These are derived (by suffixing the same hypothetic interrogative morpheme *-a) from \Id-zaʷ,\i \Ij-zaʷ\i 'each'  (\Iaʷ\i probably had also existed) where \I-zaʷ\i = Abkh. \I-zaə\i 'single' (from \I*zA\i 'one')."
191,"*ʯa",484,"bottom, lower part","","","","","ʯa","    Isolated in Ub., but with probable EC cognates."
192,"*sA ( *-)",2298,"what","","","səd()","sət","sa","    PAK \I*sə-\i (the Bzhed. and Shaps. variant \Isə-d\i is still unexplained). The second part of the stem (Ad. -d, Kab. -t) raises some problems. In Kab. -t could have been obtained under influence of \Ixa-t\i 'who' (q.v.); thus we should probably reconstruct *-dA for PAK. The precise nature of this *-dA is not clear (perhaps it reflects the PWC demonstrative *da)."
193,"*ʷV",775,"white","a--ḳʷaḳʷa","-ḳʷaḳʷa","fə-ə","xʷə-z","sʷa","    PAT \I*ə\i (used independently as "wall-eye": Abkh. \Ia-,\i Abaz. \Iə;\i the meaning of the element \I*-ḳʷaḳʷa\i is not clear); PAK \I*xʷə-ə\i (with a suffix *-ə common for names of colours).         A similar root is used in WC with the meaning 'dawn, light': PAT \I*a-\i 'to come (of dawn)' (Abkh. \Ia-a-ra,\i Abaz. \Ia-ra\i), PAK \I*na-xʷə\i 'light' (Ad. \Inaf,\i Kab. \Inaxʷ\i), Ub. \Isʷə\i 'dawn', \Ia-sʷə-n\i 'dawn is coming'. However, it differs from \I*ʷV\i 'white' accentologically and may have a different origin."
194,"*(bə)ʁʷV",980,"side","","","bʁʷə","bʁʷə","ʁa-ḳa","    PAK \I*bʁʷə;\i the Ub. form contains a frequent singular suffix -ḳ(a). Shagirov (1977) compares the AK form to PAT \I*ɣʷə\i 'board', Ub. \Iʁʷə\i 'post' (PWC \I*Gʷə\i), which seems much less trustworthy. The initial *b- of the PAK form is a historical prefix."
195,"*ərəə /*[ʷ]ərəʷə",986,"1 throat, gullet 2 cervical vertebrae","a-ərə 1","ərə","psa-gʷərq: 2","psa-kʷəq:ʷ","","    PAT \I*ərəə;\i PAK \I*kʷərq:ʷə\i / \I*gʷərq:ʷə\i (in compound with \I*psa\i 'neck'). The Kab. word has a specific meaning "part of neck between the first cervical vertebra and the skull".         Despite some phonetic irregularities (expectable in expressive stems of this type) it is hard to separate the PAT and PAK forms."
196,"*xA",2294,"who","","","xat","xat","ə","    PAK \I*xa-tə.\i Abdokov (1973, 23, 72) and Shagirov (2, 104) are quite right in comparing this morpheme with Ub. \Iə\i and rejecting Trubetzkoy's (1930, 80) comparison of Ub. \Iə\i with Bzhed., Shaps. \Isə-d\i 'what'. Semantically and phonetically the comparison \Iə\i = AK \I*xa-\i is blameless."
197,"*pəʯʷA",115,"daughter","a-p“a","p“a","pʯʷə","pʯʷə","pʯa","    PAT \I*pə“a\i (with a secondary dissimilative delabialisation); PAK \I*pʯʷə.\i The root must have originally meant 'woman' in general and has preserved this meaning in PWC \I*pəʯʷA-sʷə:\i PAT \I*pə“ʷəsə\i 'woman' (Abkh. \Ia-p“ʷəs,\i Bz. \Ia-p“ʷəs,\i Abaz. \Ip“ʷəs\i) = Ub. \Ipʯaʷ\i 'wife'. Cf. also Ub. \Ipʯa-ʒa\i 'wife, woman'."
198,"*sʷə(mə)V",776,"woman","","","səz","fəz","sʷəma","    PAK \I*sʷəzə.\i It seems possible to compare the PAK and Ub. forms as a whole (if PAK -z- < *-- as a result of secondary deglottalisation; perhaps under influence of PAK \I*bzə\i 'female' q.v.), and not only PAK \I*sʷə-\i with Ub. \Isʷə-.\i"
199,"*ʁʷa",117,"yellow","a-ʕʷa-","ʕʷa-","ʁʷa-ə","ʁʷa-z","ʁʷa","    PAT \I*ʕʷa-ə.\i Shagirov 1, 133 considers it as borrowed from AK; we would rather follow Dumezil 1932, 124 and regard it as a genuine cognate - but possibly influenced by PAK \I*ʁʷa-ə.\i In PAK there exists an independent form \I*ʁʷa\i (Ad., Kab. \Iʁʷa\i 'yellow, reddish')."
200,"*‰:əɣa (?)",777,"far","","","‰əa","əza","","    PAK \I*‰:əa.\i Further etymology obscure (Shagirov's explanation /1, 196/ is not persuasive)."
201,"*ə",335,"gall","a-z","az","zazə","zaz","-ca (?)","    PAT \I*(a)zə\i (cf. Bzyb. - in Marr's notation - \Ia-z\i); PAK (reduplicated) \I*zazə.\i Ub. \I-ca\i may be observed in \Iʷa-ca\i 'gall' - assimilation from \I*ʷa-za\i (?); note that Ub. \Izaza\i 'gall' (recorded by Dirr), as well as Abaz. \Izaz\i (coexisting with the genuine \Iaz\i), is an Adygh loanword.          The correspondence PAK, Ub. z : PAT *z points to PWC *.          See Trubetzkoy 1930, 86; Шакрыл 1968, 25; Aбдоков 1973, 52; Шагиров 1977, 205."
202,"*-anəTa",778,"heavy","a-ʯanta","ʯanta","wantaʁʷ","wandaʁʷ","gənṭʷa","    PAT \I*ʯanəta\i (in Abkh. there also exists a variant \Ia-ʯamta\i). PAK \I*want:aʁʷə\i (also borrowed in Abkh. \Ia-wadaʕw\i).         A very difficult case. PAT *ʯ- can not in any way correspond to PAK *w-, and Ub. g- to either, so we must assume that in all subgroups we have compounds with different initial components (but the nature of these components is not clear). The situation is aggravated by irregularity of correspondence between PAT *-t- , PAK *-t:- and Ub. -ṭ- and by the existence in Abaz. of a synonymous adjective \I“at-la\i 'heavy' (does it have any connection with \I*ʯanəta\i ?)."
203,"*bəLa",779,"1 between, inside 2 near","a-ba-ra 1","ba-ra 1","bL-ʁa 2","bL-ʁa 2","bLa- 1","    PAT \I*bəa-\i (also used as a preverb 'between, inside' = Ub. \IbLa-\i). In PAK the preverb \I*bLa-\i means 'past (smth.)'. Its original meaning must have been 'near', cf. \I*bLa-ʁa\i 'near', and it has hardly any connection with PAK \I*bLa\i 'arm' q.v. In spite of some semantic difficulties we think that it is possible to relate PAK \I*bLa-\i 'near, past' to the Ub. and PAT forms (a semantic shift of 'inside' to 'environs')."
204,"*aa",993,"kidney","a-aa","aa","zazəj","zazaj","a","    PAT \I*aa\i (cf. also Abkh. Bzyb. \Ia-a\i); PAK \I*zazəjə.\i The Abkh. and Ub. form correspond very well to each other and can only go back to PWC \I*aa\i (note that Ub. also has \Izazəja\i 'kidney', borrowed from Ad.). However, the phonetic explanation of the PAK form is more difficult (we should also expect \I*aa\i). Shagirov (1977, 200) divides the AK form into the root *za- and a diminutive suffix *-zəjə; but we should rather think of a contraction and assimilation \I*aa-zəjə\i > \I*a-zəjə\i > \I*zazəjə.\i In any case, it is impossible to separate the PAK form from other WC forms."
205,"*ʒV",780,"1 reach 2 approach, come near","a-na-ʒa-ra 1","ana-ʒa-ra 1","","","a-ʒə- 2","    PAT \I*na-ʒa-,\i \I*ʕa-ʒa-\i (with different locative preverbs; the second form is reflected in Abkh. \I-ʒa-ra,\i Abaz. \Iʕa-ʒa-ra;\i cf. also Bz. \Ia-naʒa-ra,\i \Iʒa-ra\i).      The Ub. forms \Ia-ʒə-\i 'approach', \Ia-ʒ-\i 'near' contain the same root; it is also present in the postposition \I--n-ʒa\i 'to, up to, towards' ( = Abkh. (n)ʒa, Abaz. -ʒa id.; see Dumezil 1932, 75, 250-251). However, the element a- is the Ub. preverb \Ia-\i 'in hand(s), at hand' (so \Ia-ʒə-\i means something like 'near at hand') and does not correspond directly to PAT \I*ʕa-,\i PAK \I*q:a-.\i          See also under PWC \I*ə\i (  *s-) about possible AK parallels."
206,"*ə (/*‰ə)",781,"salt","a-əḳa","ḳa","əʁw","əʁw","ə","    PAT \I*ə-ḳa\i (with a not quite clear second component: is it the singulative marker *-ḳə - \I*ə-ḳa\i < \I*ə-ḳə\i 'a grain of salt' ?). PAK \I*‰ə-ʁʷə\i (Shagirov 2, 142 must be right in equating the second component with \I*ʁʷə-\i 'dry, get dry'). It is not quite clear why the affricate in PAK had become unvoiced (perhaps a secondary dissimilation)."
207,"*ḳaʷə",312,"short","a-ḳa","","aə","as","","    PAK \I*ḳaə.\i Identifying \I*ḳa\i as 'tail' and treating the PAK form as 'empty-tailed' (thus in Shagirov 2, 134) is obviously a folk etymology. The Abkh. word may be, but not necessarily is, an AK loanword (phonetic correspondences are quite regular here)."
208,"*b(ə)La",145,"snake","","","bLa","bLa","","    PAK \I*bLa.\i"
209,"*ʒʷanVzʷV (-zʷV)",995,"1 spleen 2 rennet, abomasum","a-vanəza 1","ʒanəza 1","anaz 2","","","    PAT \I*ʷanəza\i ( -z- - because the Bzyb. form is not known); cf. also Abaz. Ashkh. \Ivanəza.\i The Ad. form \Ianaz\i points to PAK \I*ʒanazə.\i It is possible that we should compare also Kab. \Izanfa-n\i 'intestines (of animal); entrails'. This will support the reconstruction *ʒ (Ad.  : Kab. z), but we will have to reconstruct PAK variants \I*ʒanazə\i / \I*ʒanəsʷa\i ( < \I*ʒanəzʷa\i with different dissimilational processes).     A regular correspondence for PAK *ʒ would be PAT * (*) < PWC *ʒʷ. Therefore for PAT we must suppose a metathesis of labialisation: \I*ʷanəza\i < \I*anəzʷa.\i The correlation PAT \I*anəzʷa\i : PAK \I*ʒanəzʷa\i would unequivocally point to PWC \I*ʒʷanVzʷV.\i However, the Ad. form \Ianaz\i allows for still another possibility of reconstruction: PWC \I*ʒʷanVzʷV\i (regularly > PAK \I*ʒanazə\i > Ad. \Ianaz;\i > PAT \I*ʷanəza\i - since /see above/ *-z- is also possible in PAT).     Pace Shagirov (1977, 277), it is absolutely impossible to analyze the PAT form as \I*ʷa\i + \I*nəza.\i"
210,"*ʷa",121,"thin","a-ṗa","a","ṗʷa","ṗs.a","ṗa","    PAT \I*ʷa\i (cf. also Abaz. Ashkh. \Ifa\i). PAK \I*ṗʡʷa-a.\i Only the second part of the PAK word corresponds to PAT \I*ʷa\i and Ub. \Iṗa\i (this peculiar correspondence - note that this is the only word with it, and likewise the only word in PAT with *ʷ and in Abaz. with f!- points unambiguously to the PWC  lateral *ʷ). The first component is not quite clear (perhaps it's PAK \I*ṗʡʷa\i 'place' - 'having thin places'?).     PAK \I*-a\i is contained also in \I*psə-n-a\i 'light', \I*za-n-a\i 'straight' (originally *'light and thin', 'straight and thin')."
211,"*‰a",416,"abomasum, rennet","a-ca","cara","","","","    PAT \I*ca,\i \I*ca-ra\i (cf. also Bzyb. \Ia-car,\i \Ia-cər\i id.); PAT *c may go back to *‰ or *c."
212,"*ɣə",785,"1 swift 2 wind 3 air","a-ʁə 1","","ə 3","zə 2","","    PAK \I*ə.\i Shagirov (1, 201) compares the Abkh. word (presupposing PAT \I*ɣə\i) with \I-bʁa\i in Ad. \Iə-bʁa\i 'wind', Kab. \Izə-bʁa\i 'strong wind'. However, PAK *ʁ can not correspond to PAT *ɣ, while on the other hand PAK * corresponds well to PAT *ɣ. Therefore (despite some semantic difficulties) we prefer to compare the first part of the Ad. compound with Abkh."
213,"*pə:ʷa",529,"1 wind 2 blow","a-pa 1","pa 1","ja-pa-n 2","ja-psa-n 2","ṭa-psa 1","    PAT \I*pəa.\i PAK \I*p:a-\i (Bzhed. \I-p:a-\i) with different preverbs means both 'blow (in gen.)' and 'blow (of wind)'. The component \Iṭa-\i in Ub. is unclear; \I-psa\i < \I*-psʷa\i ( < \I*pəʷa\i) with secondary dissimilatory delabialisation. See Шагиров 1, 175-176)."
214,"*ʯIamələ-",325,"worm","","","“mləw","“ambələw","","    PAK \I*“aməLə-wə.\i"
215,"*xʷa",786,"worm","a-ʯʷa","ʯʷa","","","xa(nḳə)","    PAT \I*xʷa\i (cf. also Bz. \Ia-xʷa\i). In Ub. -ḳə is an archaic singulative suffix; the morpheme xa- by itself is used in compounds. In Adygh cf. perhaps  Kab. \Ixʷə-ps\i 'larva, grub'."
216,"*V",787,"1 year 2 day","ə- 2","ə- 2","jə-a-s 1","jə-a-s 1","","    PAT \I*ə-\i in compounds: Abkh. \Ia-ə-b,\i Abaz. \Iə-ba-n\i 'noon' ( < \I*ə-bəa,\i see \I*bəa\i 'half'); Abkh. \Ia-ə-\i 'morning', Abaz. \Iaə\i 'early in the morning'.         In the AK word (\I*jə-a-sə\i) jə- is a pronominal prefix; meaning of the final component (-sə) is not quite clear (cf. *-sa in \I*pa-sa\i 'early'?). Shagirov's (1, 185) hypothesis of a Turk. origin seems, anyway, very improbable.     The original meaning of the root is not clear ('time' in general?). Note that the corresponding root in Avaro-Andian languages has the same range of  meanings."
217,"*ʷA",146,"year","a-kʷs","skʷə","","","ʷa","    Ub. def. \Ia-ʷa.\i PAT \I*ə-kʷəsə\i : probably from earlier \I*ʷə-kʷəsə\i with dissimilation (cf. also different dissimilations and metatheses in modern languages: Bz. \Ia-skʷs,\i Abaz. \Iskʷə\i). The meaning of the component -kʷəsə is not clear. Abdokov (1973, 54) compared the Abkh. word with AK \I*jəasə\i 'year' which is improbable."
218,"*k:ʷə (*k:ʷ-)",793,"carriage, vehicle","","","kʷə","gʷə","","    PAK \I*k:ʷə.\i"
219,"*tʷanə",471,"any musical instrument","","","","","tʷanə","    Ub. tʷ- may go back to *t:ʷ- or *tʷ-."
220,"*ʯʷə",799,"sheep","","","ʯʷə-","ʯʷə-","","    Attested only within compounds: PAK \I*ʯʷə-ba\i 'sheep' (q.v.), \I*ʯʷə-rə-sʷa\i 'sheepskin' (Ad. \Iʯʷərəs,\i Kab. \Iʯʷərəfa\i). Cf. also Kab. \Iʯʷəreṭ\i 'an exclamation for urging sheep'. The verbal root \I*ʯʷə\i 'to graze, breed' (despite Shagirov 2) is to be kept apart.     Since only the PAK form is attested, for PWC *ʯʷ, *ʯʷ or *ʯIʷ can be reconstructed."
221,"*tə / *ṭə",805,"ram","a-tə","tə","ṭə","ṭə","ṭə","    PAT \I*tə,\i PAK \I*ṭə.\i Glottalisation in PAK and Ub. is obviously secondary, although its source is not quite clear (perhaps it reflects the original laryngeal -ʔ- which had been lost in Inlaut). Another solution would be  comparing the PAK and Ub. root with a different EC stem (cf. PA \I*riṭana\i [-o-]  'lamb' > Botl. \Ireṭana,\i Cham. \Ijeṭana\i etc.) - which, however, seems rather  dubious (it is difficult to separate WC forms from each other)."
222,"*bəʷa",809,"a flock of sheep or goats","","","-bɣa","-ba","","    PAK \I*-ba\i present only in the compound \I*ʯʷə-ba\i (see *ʯʷə). PAK -- can only go back to PWC *-ʷ-."
223,"*nə‰ə",2316,"a ram slaughtered in honor of the guest","","","nəə","nə","nə‰ə","    The Ub. form corresponds to PAK quite regularly, and there are no reasons to suppose a loan (despite Shagirov 1977). Judging from the external evidence, the root must have originally meant "a two-year-old ram, a grown-up ram"."
224,"*sʷə(na)",810,"lamb","a-sə-s","sə-s","səna","səna","","    PAT \I*sə-sə\i (cf. also Bz. \Ia-səs\i), pl. \I*sa-ra\i (Abkh. \Ia-sa-ra,\i Bz. \Ia-sa-ra,\i Abaz. \Isa-ra\i); -sə is the common suffix for names of young animals. PAK \I*səna.\i         External evidence suggests that -na is part of the root; reason for its loss in PAT is not quite clear. The correspondence PAT *s : PAK *s points unambiguously to PWC *sʷ."
225,"*k:ət:ə (g-,-d-)",314,"hornless (of horned domestic animals)","a-gdə","gdi","","","","    PAT \I*gədə\i (or \I*gədə-jə\i > Abaz. \Igdi\i)."
226,"*aḳa / *ḳaa",820,"1 bug 2 nit","a-ḳaa 1","ḳaa 1","a 2","aa 2","","    PAT \I*ḳaa\i (cf. also Bz. \Ia-ḳaa\i); PAK \I*aḳa.\i The meaning of the PAK form could have been influenced by its folk-etymological analysis as 'louse' (\I*a\i) + 'egg' (\I*ḳa\i), but external parallels leave no doubt that the bisyllabic structure is here original."
227,"*bəɣA",307,"waist","a-bʁa","bʁa","bɣə","bɣə","","    PAT \I*bəɣa;\i PAK \I*bɣə.\i See Shagirov 1962, 1977."
228,"*k:ap:a",119,"1 side 2 mountain slope","","","‰pa 2","ba 1","","    PAK \I*k:ap:a.\i"
229,"*aḳa",833,"beard","a-aḳa","aḳa","a","za","","    PAT \I*aḳa,\i PAK \I*aḳa.\i The Abkh. form is usually considered as a loan from AK, because the word may be analysed in AK as 'tail (\I*ḳa\i) of the mouth (\I*a\i)'. However, external correspondences for the root as a whole make us suspect that this may be a folk etymology; in the latter case - since the correspondences are fully regular - the root could be reconstructed as such for PWC. Still, Ub. \Iḳa\i 'beard' is certainly borrowed from AK (otherwise we should expect - in Ub.).     From WC the word was borrowed into neighbouring languages, cf. Osset. (Dig.) \Izaḳ,\i \Izeḳ\i 'chin, beard', \IMegr.\i baḳe 'beard' (for initial b- cf. Abkh. Samurz. (Marr) \Ia-baḳa\i). See Abayev 1969, 285."
230,"*bVba",260,"soft;shaggy 1 fluffy, downy","a-baba 1","baba 1","","","dʷədʷa","    PAT \I*baba.\i"
231,"*ə(nə)ka (/-ḳ-)",834,"wart","a-ḳanəəra","ənḳra","q:am-ə‰","“am-əra","","    PAT \I*ənḳə-ra\i / \I*ḳanə-ra\i (cf. also Bzyb. \Ia-ḳanəər,\i Ashkh. \Iḳanəra\i); PAK \I*-əka\i / \I*-əraḳa\i (meaning of the component: Ad. \Iq:m-,\i Kab. \I“am-\i is unclear).     An expressive root with metatheses and some irregular changes; however, obviously archaic (cf. external data)."
232,"*parəpalə-",849,"moth","a-parpaləḳ","","","","","    Attested only in Abkh., but with sound PEC parallels."
233,"*bəbə",850,"dust 1 bubble 2 blister 3","a-bəb","","psə-bəb 2","psə-bəb 3","","    PAK \I*bəbə\i (\Ipsə-\i "water")."
234,"*ʷa",129,"1 rib 2 side 3 (preverb) by side of","a-va-ra 2","ʒa-rta 2","c-ɣa 1","ʒ-a 1","ʒa- 3","    PAT \I*ʷa\i in compounds \I*ʷa-rV(-ta)\i 'side' (Abkh. \Ia-va-ra,\i Abaz. \Iʒa-rta\i), \I*ʷa-əs\i 'rib' (Abkh. \Ia-va-əs,\i Abaz. \Iʒa-əs\i); the morpheme *ʷa is also used as a preverb 'side, by side of' ( = Ub. \Iʒa-\i). PAK \I*-a\i in a compound \I*c:a-a\i 'rib(s)' (\I*c:a-\i 'tooth, sharp edge'). The correspondence PAK * (Ad. ɣ, Kab. ) :PAT *ʷ (Abkh. v, Abaz. ʒ) : Ub. ʒ points only to PWC *ʷ. The original meaning "rib" is preserved in PAT and PAK compounds."
