NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
656|*būs-|to flow out stormily|2976||{büsia 'mit großer Gewalt ausströmen'}|{böüsa 'hervorstürmen'}||{busa 'bestürzen, hervorstürzen'}||||||{būsen 'gewaltsam sein, brausen, lärmen, stürmen', būsterig 'stürmisch' }|||||||||||
657|*siniwō(n), *sinwō(n)|sinew|1097||sin f. `Sehne'|sin(a)||sena||sene|seonu (sionu, senu, sinu, synu), gen. seonwe/sine f. `sinew, nerve, tendon'||sinew|sini, sine||senewa, sinewa|sēnuwe, sēnewe f. `zenuw, pees, spier', sene f.|zenuw f., zeen||sēne, senne||senawa f. (11.Jh.) `Sehne, Bogensehne, eine Krümmung verbindende gerade Linie, Nerv'|sën(e)we, sën(n)e wk./st. f. 'sehne, bogensehne; sehne, senne, nerv'|Sehne f., Senne|
658|*saiwi-z|sea|993|saiw-s m. `sea'|sǟ-r, sjā-r, sjō-r m. `See, Meer'|sjo, sjö, sjɔ, sä||sjö||sö|sǟ, gen. sǟs/sǟes, sǟ/sǟwe/sēo m., f. `sea'||sea|sē m. `zee'||sēo|see m., f., gen. sēwes `zee; mer'|zee f.|sēo, sēu m. `mare'|sē||sēo, gen. sēwes m. `Binnensee, Meer' (8.Jh.)|sē (-w-) st. m., sē st. f. 'see, landsee; meer'|See m., f.|
659|*saima-z, -n, *saimōn|thick liquid|994|Burg. *saim-s `Blutgerinsel'|seim-r `Honigscheibe, Honig'|dial. seima f. `Schleimschicht; zähe Flüssigkeit'||||||||||sēm|seem m., n.|zeem n., m.||||seim m. `Honigseim'|seim, sein st. m. 'honigseim'|{ Seim }|
660|*sáixa-z, *sáixēn, *sáixadla-n|vessel (measure)|995||sā-r m. `Kübel'; sāld n. `Mass für Korn oder flüssige Waren'|sɔ; sɔld||sɔ; MSwed saald||sɔ|sā, gen. sān m. `tub, pail, vessel'||||||||||||||
661|*sibí, *siftian- vb.|sieve|996||||||||sife, -es n. `sieve', siftan (-te) `to sift, pass through a sieve'||sieve, sift||WFris sou n., souwe f.||sēve m., n.?, f.|zeef f.||sēve n. `Sieb'; siften, sichten `sieben'||sib n. (9.Jh.)|sip (-b-) st. n. 'sieb'|Sieb n.|
662|*sula-n, *sulwō, *sulwōn- vb., *saul(i)=, *saulian- vb.|spot, mud|997|*bi-sauljan wk. `spot', *bi-saulnan wk. `become spotted, unclean'||saula, söyla `Schlamm, Pfütze', söyla `beflecken'||dial. saula `beschmutzen'|||sol `dirty', sol, -es n., solu, -we/-e f. `miry, miry place'; solian (-ode) `make or bekome foul', { sylian }||||Fris soal||sol m. `poel, vuil, drek', sole `geul, kuil'|sol m. `met water en modder gevulde kuil in het morenelandschap'||sȫle `Schlamm, Schmutz, Dreck'||gi-sol (um 800), sol (9.Jh.) `Kotlache'; bi-sullen (12.Jh.)|sol, söl st. m. 'kotlache'; soln, suln wk. 'mit kot beschmutzen, im köte wälzen'|Suhle; suhlen|
663|*sū́f=, *súf=, *sū́fla-n, *súfla-n; *sūpan-, *saup=, *sup=, *supōn- vb.|gulp; soupe|998|supōn wk. `salt, season'|saup `Buttermilch', sopi `Schluck', sūpa `schlürfen, trinken', sūp-r m.; sufl `toespĳs'|||supa `schlürfen, trinken'|||{ sūf `Brühe, Suppe', sufel }; { soppe }, sopp `sop', soppian `to sop', sūpan (sēap, supon; sopen) `to sup, to take fluid into the mouth'||to sop, sup `schlürfen'; dial. sop (sbst.)|||suval `pulmentum'|soppe f., sop n. `sop, saus, geweekt brood', soppen `Brot in Flussigkeit eintrunken', sūpen `schlürfen, trinken'; sūvel n. `zuivel'|sop n., vlam. zoppe f., zop n.; soppen, vlam. zoppen `Brot in Flussigkeit eintrunken', zuipen `schlürfen, trinken'; zuivel m., n.||soppe, suppe f. `eingeweichtes Brot, Brühe, Brei, Sosse', sūpe f. `soep', sūpen `schlürfen, trinken'; sūvel n. `zuivel'||souf `Brühe' (9.Jh.), gi-sopho `gebrühter Getreideabfall' (um 800), suphila `schlürfbares brühchen, Süppchen' (9.Jh.), soffōn `würzen'; sūfan (9.Jh.) `schlürfen, trinken', suvil `pisumen', sufili n., sufila f. `sorbitiuncula'|suppe, soppe wk./st. f. 'brühe, suppe; morgensuppe, frühstück'; mahlzeit überh.' { sopfe `gesopt brood' }, suf, sof (-ff-) st. m. 'schuff, schlurf'; sūf st. m. 'trank'; supfen wk. 'schlürfen', sūfen, soufen st. tr. 'schlürfen, trinken', intr. versinken, untergehen', sūfe f.'suppe'|[ Suppe (< LG) ]; saufen|
664|*sunú-z, *suní-z, *sōnV-z; *sōni-z; *suxtriēn|son|999|sunu-s m. (u) `son'|sun-r, son-r|||son|||{ sun }; suhterga (suhtriga, suhtria), -an m. `brother's son, nephew'||son|sunu, sune, sun, son||sunu|sōne, zuene|zoon m., dial. zeun||sȫne||sunu (8.Jh.), sun (i-St., 8.Jh.)|sun, suon, md. son, sūn st. m. 'sohn; das männl. junge der tiere'|Sohn m.|
665|*siuka- , *siukan- vb., *sukēn- vb., *suxti-z, *sūxsli-|sick, weak|1001|siuk-s (a) `sick, weak'; siukan st. `be sick'; *sɔht-s f. (i) `sickness'|sjūk-r krank, betrübt, sokna `krank w., sōtt `Krankheit', sǖsl, sǖsla `Tätigkeit, Amt, Amtsbezirk', sǖsl `eifrig bemüht, sorgsam'|||sjuk||sot|sēoc `sick, ill'; [ suht < OSax ]||sick|siāk; seht||siok `krank, betrübt'; suht `Krankheit'|siec; sucht, socht f.|ziek; zucht f.||sēk; sucht||sioh `krank, aussätzig' (8.Jh.); suht `Krankheit' (8.Jh.)|siech 'krank, siech. bes. aussätzig', sochen, sōchen wk. 'siechen, kränkeln, abmagern', suht st. f., md. suct st. f., m. 'krankheit (spez. pest, aussatz; fieber; rheumatisches übel; tobsucht, waunsinn)'|siech; Sucht f.; Seuche|
666|*sōta-n|soot|1003||sōt n. `Russ'|sot||sot||sod|sōt, -es n. `soot'||soot||||||||||||
667|*nista-n|nest|1004||||||||nest, -es n.||nest|||nest n.|nest, nist m. `nest, leger van dieren'|nest n.||nest||nest n. (8.Jh.) `Nest, Lager für Vögel oder Säugetiere'|nëst, nɛst, nist st. n. 'nest, vogelnest; lager, schlupfwinkel anderer tiere; lager, bett, wohnung; augenhöhle'|Nest n.|
668|*sumara-n, -z|summer|1006||sumar n., sumar-r m.|||sommar|||sumor (-er, -ur), -es m. `summer'||summer|sumur||sumar|sōmer m.|zomer m.||sōmer, sommer||sumar (8.Jh.)|sumer st. m. 'sommer'|Sommer|
669|*sēmi-|half|1007||||||||||||| sām-||||||{ sāmi }|||
670|*sini-, *sina-, *sinōn|old|1008|sinīg-s (a) `old', sup. *sinista `oldest'|sina f. `altes Wintergrass'|dial. sina||dial. sena|||||||||||OFrank > MLat seni-scalcus `famulorum senior (sénéchal)'||||{ sen-wurz `senecio' }||
671|*sindra-n, *sindr=, ? *sundria-n|dross, cinder|1009||sindr n. `Metallschlacke; Hammerschlag'||||||sinder, -es n., sindre (~ -a), -an f. (~ m.) `dross, impurity of metal'||cinder|||sinder `scoria'|sinder `metaalslak'|vlam. zinder m.||sinder, sünder||sintar `Metallschlacke' (um 800)|sinder, sinter st. m., n. `Abfall von mit Hammerschlag bearbeitetem (glühendem) Metall, Metallschlacke'; { sindel `id.' }|Sinter m., Kalksinter (окалина, агломерат)|
672|*swalō(n); *swalja-n, -z, *swaljō(n); *swiliō, *suliō, -a-|beam, threshold|1011||pl. svalar f., NIsl svoli `Holzklotz, nicht zugehauener Baumstumpf'; svill, süll f. `Grundbalken'||swali `um den Oberstock des Hauses herumführender Balken (tabulatum)'|süll|||{ syll, sylle f. }||sill||||sulle, sille f.|||sul m., sülle m., f.||swelli n. `Türschwelle, Fussgestell, Sockel' (9.Jh.), swella f. (13.Jh.)|swɛlle st./wk. f., n. 'balken zum hemmen, schwellen des wassers; balken überh., bes. grundbalken, schwelle'|Schwelle f.|
673|*salbṓ(n), *salbōn-|ointment|1013|salbōn, *ga-salbōn wk. `anoint'|||||||sealf (salf), -e; sealfe, -an (?) f. `salve, ointment', { sealfian }||salve|salvia vb.||salva `Salbe', salvōn `salben'|salve f.|zalf f.||salve||salba f., salb n. (8.Jh.) `Salbe, Salböl'; salbōn `salben'|salbe wk. f., (/st. f.) 'salbe'; salp (-b-) st. n. 'ds.'|Salbe f; salben|
674|*sangō(n)|sheaf|0||||||||||dial. sangle Ährenbüschel, manipulus|||||||||sanga 'Ährenbüschel, manipulus'|sange wk. f. 'büschel von ähren'|{ Sange, Sangel }|
675|*sūra-; *sūriōn/*sūrīn|sour, sour milk|1016||sūr-r `sauer, bitter'; sǖra f. `saure Milch'|sur adj.; süra||sur adj.; süra||sur adj.; süre|sūr `sour'; { sǖring `saure Milch' }||sour|||sūr-ōgi `triefäugig'|suur|zuur||sūr||sūr (8.Jh.) `sauer'; sūrī `Sauerkeit'|sūr, sūwer 'sauer, herbe, scharf, bitter', st. n. 'bitterkeit; übel'; siure, siurde st. f. 'säure, schärfe, bitterkeit; sauerteig'|sauer|
676|*swōtu-, *swōtia-, *sutja-|sweet|1019|suti-s (i/ja) `gentle, yielding'|sȫt-r `süss'|söt||söt||söd|swēte `sweet'||sweet|swēte||swōti|soete `zoet, zacht, vriendelĳk, aangenaam, lief'|zoet|suoti|sȫte||suoʒi (8.Jh.) `süss, mild, angenehm, lieblich, freundlich'|süeʒe, suoʒe, md. sūʒe, sōʒe 'süss; milde, angenehm, leiblich; freundlich, gütig'|süss|
677|*swaita-z, -n, *swaitēn; *switjan- vb.|sweat|1020||sveiti m. `Schweiss, Blut'|sveite||svet||sved|swāt, -es n.? `sweat, perspiration; labour, toil'||sweet|swēt||swēt|sweet n., m.|zweet n.||||sweiʒ m. (9.Jh.); swizzen (9.Jh.)|sweiʒ st. m. 'schweiss; blut'; switzen wk. 'schwitzen'|Schweiss m.; schwitzen|
678|*swíxra-z, *swigrṓ, *swíxrōn, *swíxrēn; *swēgrá-z|father-in-law, mother-in-law|1021|swɛhrō f. (n) `mother-in-law', swɛhra m. (n) `father-in-law'|svǟra `Schwiegermutter'||svǟr, svēr m. `SChwiegervater'; svǟra, svēra f. `Schwiegermutter'||||swēor (swehor), -es m. `father-in-law; consobrinus, cousin', sweger (swegr), -e f. `mother-in-law'||||||swāgher m. `zwager, schoonzoon, schoonvader'; sweer; swēgher|zwager m.||swāger||swehur m. (9.Jh.) `Schwiegervater'; swigar f. (9.Jh.) `Schwiegermutter'; swāgur (8.Jh.) `Schwager, Schwiegervater, Schwiegersohn'|swiger st. f. 'schwiegermutter'; swëher, swǟher, swëger, swēr st. m. 'schwiegervater'; swāger st. m. 'schwager; schwiegervater; schwiegersohn'|Schwieger f; Schwäher m.; Schwager m.|
679|*swangra-|heavy, slow|1022||||||||swangor `heavy (in the movement of the body or mind), slow, slothful, sluggish, indolent'|||||||zwanger||swanger||swangar `schwanger (von Menschen und Tieren)' (9.Jh.)|swanger 'schwanger; schwankend'|schwanger|
680|*swirō, *swira-z, *swirjēn|column, pole|1023||||||||sweor (swer, swyr) m., f. `column, pillar, that which is shaped like a pillar'||||||||||||swir wk. m. 'uferpfahl'|schweiz. Schwiren `Pfahl'|
681|*áusan- vb.|draw (water)|1024||ausa st. `schöpfen'|ausa|ösa||ösä|öse|||||Fris eaze, eazje, eazgje `hozen, aalt over het land spreiden'||ōsen `scheppen, legscheppen, natgooien'|hozen||ȫsen `scheppen, leegmaken'|ūt-ösen `auschöpfen'|ōsen, ȫsen wk. 'leer machen, ausschöpfen; leer, frei machen, lösen; vernichten, berauben'||schwäb. öse `Schöpfgefäss'|
682|*swila-z|a relation|1026||pl. svilar m. `Schwäger von Schwestern'||||||||||||||||||||
683|*swiblá-z, *swa[b]la-z|sulphur|1027|*swibl-s m.? `sulfur'|||||||swefel (swefl), -s m. `sulphur, brimstone', { swäfl }|||||sweval|swāvel; swēvel|zwavel m.||swāvel||swebal, swebul (8.Jh.), sweval (9.Jh.)|swëbel, swëvel st. m. 'schwefel'|Schwefel m.|
684|*swistr-; *swizjá-z|sister|1028|swistar f. (n) `sister'|süstir f. `Schwester'; Run. Norw swestar|süster|swiri `Sohn der Mutterschwester'|süster||söster|sweostor (swistor, swystor, swustor, -er, -ur), pl. sweostor/sweostra/sweostru f. `sister'; swiria, -an `sister's son'||[ sister < NG ]|swester, suster; swire `status of cousin'||swestar; swiri `Sohn der Mutterschwester'|suster|zuster f.||süster||swester (8.Jh.)|swëster, md. suster, süster st./wk. f. 'schwester; titel geistl. frauen; klageschwester, -frau'|Schwester f.|
685|*swamma-z, *swampu-z, *sumpu-z|sponge, tree-fungus|1029|swamm-s m.? (a) `sponge'|svɔpp-r `Ball', sopp-r `Ball'|sopp `Pilz'||svamp, dial. sopp `Pilz'|svamp||{ swamm m. }||swamp `Sumpf'||||swam, swamme m. `spons, paddestoel'; somp, tsomp, sump, Kil. sompe|zwam f.; zump f., m. `moeras'; westnl. somp f. `poel, drassige plek'||swamp, gen. -pes `Schwamm, Pilz'; swam, gen. -mmes `id.'; sump; sumpt||swamb m. `Schwamm, Pilz' (12.Jh.); swammo, swambo (12.Jh.) `id.'; swam, gen. -mmes `Schwamm; Pilz' (8.Jh.); sunft (9.Jh.) `Sumpf'|sumpf, sunpf st. m. 'Sumpf'; swam (-mm-), swamp (-b-) st. m.,  swamme wk. m. 'schwamm, pilz'|Sumpf m.; Schwamm m.|
686|*swarta-, *surtōn, -ēn|black|1030|swart-s (a) `black'|svart-r `schwarz'; sorta f. `schwarze Farbe', sorti m. `dunkel, dichter Nebel'|svart||svart||sort|sweart `swart, swarthy, black, dark'||(älter) swart|swart||swart|swart|zwart||swart||swarz `dunkelfarbig, schwarz' (8.Jh.)|swarz 'dunkelfarbig, schwarz'|schwarz|
687|*skība-, *skibja-|crooked, wry|1032||skeif-r `schief'|skeiv||skev||skjäv, skjev|{ scēaf, scāf } scāf-fōt `plattfüssig'||shew|||||scheef||schēf `schief'|hess.-fränk. schepp `schief'||adv. schipfes 'quer'|niederhess., thür. scheib|
688|*skauba-z, -n, *skū[b]a-z, *skubra-z|sheaf, bundle|1034||skauf n. `Fuchsschwanz', skūf-r `Kopftuch'|skuv|||||scēaf, -es m. `sheaf, bundle'||sheaf|||skōf m. `schoof'|scoof m.|schoof f.||schōf||scoub m. `Bündel, Strohbund, Garbe' (9.Jh.), scubil `Büschel von Haaren od. Stroh od. dgl., Haufen, Menge', scobar `Schober, Haufe, bes. von Getreide oder Heu'|schober st. m. 'schober, haufen'; schoup (-b-) st. m. 'gebund, bündel, bes. strohbund, strohwisch'|Schober m.; dial. Schaub `Bündel, Strohbund, Strohwisch'|
689|*skarna-n|dung, filth|1035||skarn n. `Mist, Dünger'|skarn||skarn `Unrat, Auswurf'||skarn|scearn, -es n. `dung, filth, sharn'||sharn|skern|||scharn|||scharn|scharn|scarno m. (de plant)|||
690|*skadwá-z, *skadwṓ, *skadwiō(n)|shadow|1036|skadu-s m. (u) `shadow'; *ufar-skadwjan wk. `overshadow'||skodde `Nebel', dial. skadda, skodda `nevel'|||||sceadu, gen. sceaduwe (sceadwe, sceade) f. `Schatten'; { scead, angl. scad }|sceadewe|shade, shadow||Fris skaed|skado|scāduwe, scāde f., m.|schaduw f., dial. skad|scado|schāde||scato, gen. -awes `Schatten' (8.Jh.)|schate st./wk. m., schate, schɛte st. f.; schatewe, schetewe wk. m. 'schatten; spiegelbild'|Schatten m.|
691|*sūlō, *sūlōn, *sūliō,  *suljō, *swiljō, *sauli-z, *swalō|beam, post|1037|saul-s f. (i) `Säule', *ga-sauljan wk. `found'|sūl f. `Säule', sūla f. `Säule; Kloben für Schweine; Bassangans', süll, svill f. `Grundbalken, Schwelle'; pl. svalar f. `Überdeckter, Hausumgang'|sul, svill, dial. süll; sval, svale||svill, süll; dial. sul; svale||süld; svale|sǖl, -e `pillar, column', syll `ploughs'|||sēle||Irmin-sūl|sūle, suul f., suul m.; { sulle }|zuil f.|sūl|sūle `Säule'; sül, sülle, sille `Grundbalken, Türschwelle'||sūl, pl. sūli (8.Jh.) `Säule, Pfosten, Pfeiler, Pfahl, Pranger'|sūl st. f. (/soul, sūel, siule, sūwel) 'säule, pfosten, pfeiler; bildsäule; feuer-, wolkensäule; heersäule; aufgerichteter pfahl, bes. schandsäule, pranger'|Säule|
692|*xúnsla-n|sacrifice|1039|hunsl n. (a) `sacrifice'|hunsl, hūsl n. `Sakrament, Abendmahl'||hosli (run.) `Opfer'||||hūsel (-ul, hūsl), -es n. `housel, consecrated bread and wine, the Eucharist'||housel||||||||||||
693|*xagrá-n; *skagjá-n, *skagjṓ|beard|1040||skegg n. `Bart; Eisenspitze am Bug; Mann'|dial. hagr n. `Haar aus dem Schweife oder der Mähne des Pferdes'||skägg `Bart'||skjeg|sceacga, -an m. `hair of the head'; { to-scecgan }||shaggy|||||scheg f. `wigvormig stuk hout; verbreding van voor- en achtersteven; vooruitspringend deel van voorsteven; scherpe kin; dicke snnee brood'|||||||
694|*xairu-, *xairia-, *xain=|gray, hoar|422||hār-r, hǟr-r `grau'||||hɔr||hār `hoar, hoary, grey, old'; hǟwen `blue, azure, purple, discoloured, green'||hoar|hēr||hēr `alt, eehrwürdig'|heer, gheheer `aanzienlĳk, voortreffelĳk'|heerlĳk||hēr||hēr `ehrwürdig, alt' (8.Jh.)|hēr, hēre 'hoch, vornehm; heilig, stolz; freudig'|hehr|
695|*skījēn, *skaimōn, *skimōn, *skinō, *skinjō(n), *skainōn|plate, board|1042|||dial. skeima, skeina `grössere, dünne Platte', skima `grosse Scheibe', skina `kleina Scheibe'||||||||||||||schēne f. `lange smalle lat'||scina, scena f. `strook metaal of hout, naald'|schin(e) st./wk. f. 'schiene, röhre; streifen zum flechten; eine verzierung der haube'; schīe, schīge wk. m., f. 'zaunpfahl, umzäunung von pfahlen'|Schiene|
696|*skaunia-, *skunjō|beautiful|1044|*skaun-s ~ *skaunī-s (i.ja) `beautiful'|skün f., n. `Bescheid; Einsicht'; kinn-skjōni `Pferd mit leichtfarbigen Wangen'|skün||skön||skjön|scīne (scīene, scēne, scēone, scīone, scǖne) `beautiful, fair, bright'||poet. sheen|skēne||skōni `glänzend,  schön'|scōne|schoon||schȫn(e)||scōni `ansehnlich, glänzend, rein, herrlich, gut, angenehm' (8.Jh.)|schȫn(e) 'schön, herrlich; glänzend, hell; weiss, fein; schonend, freundlich'|schön|
697|*xupi-z, *xupt=; *skuftu-z|hip|1045|*hup-s m. (i) `Hüfte'|||||||hype, -es m. `hip, haunch, upper part of the thigh'||hip||schoft `Vorderschulderblatt einer Kuh, eines Pferdes'||hōpe, heupe, huepe m.|schoft f., dial. schocht; heup f.||hüp, hüf, hüft(e) `Hüfte'; schuft m. `Vorderschulderblatt einer Kuh, eines Pferdes'||huf f. `Hüfte' (9.Jh.)|huf (gen. hüffe, pl. hüffe) st. f. 'hüfte'; { hufte }|Hüfte f.|
698|*skūri-z, *skūra-z, *skūrō, *skauriōn, *skiura-z, *skiurōn|shower|1046|skura f. (ō): skura windis `storm (of wind)'|skūr f. `Regenschauer'|skur; dial. sköyra `Windschauer', skjöra `Windstoss'|skur||||scūr (scēor, skyūr), -es m., -e f. (?) `shower, storm of rain, snow, hail, etc.', scūra (~ -e), -an m. (~ f.) `id.'||shower|||skūr `Ungewitter, Sturm'||||||scūr `Hagel, Ungewitter' (8.Jh.)|schūr(e), schour(e) st./wk. m. 'hagel, ungewitter'|Schauer m.|
699|*skulō|crowd|1047||||||||scolu (scolu), -e f. `band or troop of people, shoal, school (of fishes)'||shoul|||skola|scole `menigte, troep; zwerm van dieren'|school f.|||||||
700|*xamala-, *skamma-|short|1048||skamm-r `kurz'; hamal-kürni `Getreideart mit Ähren ohne Granen'; Hamal-l m. PN|skamm; hummel-korn `Hafer mit Gerste gemischt', hammal-künn, hommer-künn `Gerste mit Weizen'|skamber||slammär|dial. hammel-korn `Gerste und Weizen'|{ scamm; homol }||humble `hornloos'||||hāmel|hamel m. `versneden ram'||hamel m.||hammēr `verstümmelt', scam(mēr), skemmi `kurz', hamal m.|hamel st. m. 'hammel; abgehauener stein, klotz, stange; schroff abgebrochene anhöhe, klippe, berg'|dial. hummel `rund zonder horens'|
701|*xwala-z, *xwali-z; *xwalisa-z|whale|1050||hval-r m. `Wal'|kval||val||hval|hwäl, -es m. `whale'||whale||||wal m.; wils|walvis m.||walfisch; wils, wilsch||(h)wal m. (um 800); (h)wal(i)ra (10.Jh.)|wal (-l-) st. m. 'walfisch'; wɛls st. m. 'wels'; { walre, waler }, EaHG waller, weller `Wal; Wels'; wels, welsch, wilsch (15.Jh.)|Wels m.; Wal m.|
702|*skirō(n)|shrew|1054|||{ vatn-skjer u. dgl. `Spitzmaus' }||||||||||||||||scero `Maulwurf'|schër-mūs st. f. 'maulwurf'|{ Schermaus }|
703|*skarp=|belt, scarf|1055||||||||||scarf (earlier scarp) - пишут что из франц., а само франц. пишут из франкск. *skerpa `sacouche en bandoulière', scand. skreppa|escarpe, escharpe, esquarpe, escreppe `pilgrim's scrip suspended from the neck'|||scarpe, schaerpe, scerpe `Tasche, die die Pilger an einem Bande um den Hals trugen'||*skirpja||scherf, scherpe `Gürtel'||ndrh. schirpe st. f. 'die dem pilger um den hals hängende tasche' { schurpe, scherpe }|Schärpe f.; bair. schärpfen `Gürtel'|? < MLat scirpa (Beiform von \Iscirpea\i `uit biezen gevlochten tas')
704|*skal=|testicles|2527||||||||pl. sceallan (scallan) `testiculi' (`Hoden'), skal `id.'|||skal `Hoden'|||||||||||
705|*xilma-z, *xilmēn, *xalm=, *xulm=; *skalmō|handle|1056||hjalm-r m. `Ruder', skalm, skɔlm f. `Gabelzweig; Schwert'|skolm, skjelm `Schote', dial. `Kluft, Muschel'||skalm `Gabel einer Gabeldeichsel'||skalm `dünnes Holzstück'|helma, -an m. `helm, rudder'|halm `Stiel'|helm||schalm `dünner Holzstreifen od. Latten als Deckel der Schiffsluken; pin om een gat dicht te maken'||scalm `ĳzeren band om een vat'; helm|helmstock `Handhabe des Steuerruders'; schalm `dünner Holzstreifen od. Latten als Deckel der Schiffsluken'; helm m. `handvat van het roer'||helm `Stiel, Hand-, Rudergriff'; holm `Querbalken, Jochträger'; schalm `dun plankje'|schalm `dünner Holzstreifen od. Latten als Deckel der Schiffsluken'|halme `Stiel, Griff' (14.Jh.); jioh-helmo, -halmo `lorum'|halm(e), hɛlm wk./st. m. 'Handhabe, Stiel'|Helm m.|
706|*skalka-z, *skulka-z|sword, sword-shaped board|1057||skalk-r m. `Schwert' (poet.), skolk-r m. `Schwert, Helm'; Far skalk-ur `Holzstück am Dachsparren'|dial. skalk `laatste stuk van een brood'||skɔlk `abgesägter Balkenstumpf'||skalk `eerste stuk dat van vrood of kaas afsneden wordt'||||||||schalk m. `eenvoudig hĳstoestel; heistelling; verlengstuk aan daksparren, waardoor het dak over de muur uitsteekt'||schalc `Stütze, auf der ein Sparren ruht'|||||
707|*stikēn, *stikjōn, *stikja-n, *stika-n, *stakēn, *staki-z, *stakka-z, -ēn; *stikkēn, -ōn, *stikka-n, -z|stick|1060|stak-s m.? `mark'; (i)hlīϑra-stakīn-s f. (i/ō) `Feast of Tabernacles ( = `pitching of booths')'|ljōsa-stjaki m. `Leuchter', NIsl stjaki; stakk-r m. `Heuschober, Haufen'; lǖsi-staki m. `Leuchter'; stikk n., stikka f. `Stock, Stecken'; stika f. `Stange', stik n. `Stock, Pfahl'|stjakje|staki `Stange, Spiess'|stack `Schober'; stake `Stange'; sticka; stäk||stak `Schober'; stage `Stange'; stikke|staca, -an m. `stake'; { sticca m. }||stake; stick|||stekko|stāke m., f.; stecke, stec m. `paal, stok, pin'|stek m.; staak m.||stāke `Stange, Spiess'; stak `schräger Damm aus Pfählen und Reisig'||stecko m. `Knüttel, Pfahl, Stecken, Pflock' (um 800); dat. stache `young deer'; stehho `Stange, Pfahl' (9.Jh.)|stɛcke wk. m. 'stecken, knüttel, pfahl, pflock', { stec }; { steche }|Stecken m.; Stake f., Staken m. (< LG)|
708|*stumpa-z, -ō(n)|stem|1061||||||||||stump||||stompe f.|stomp m.||stump m. `Baumstumpf'||stumph m. `Stumpf, Stummel, Stoppel, Baumstumpf, verstummeltes Glied'|stumpf(e) st./wk. m. 'stumpf, stummel; stoppel; baumstumpf; vertümmeltes glied; beinbekleidung'|Stumpf m.|
709|*stirna-z, *stirnōn, -ēn; *stirrōn, -ēn|star|1063|stɛrnō f. (n) `star', CrimGot *stern `stella'|stjarna f. `Stern'|stjerna||stjärna||stjerne|steorra, -an m. `star'||star|stēra||sterro|sterre, starre, sterne, steerne f., m.|ster, star f., dial. steern||stērne m., f., stērn m.; sterre||sterno (8.Jh.); { stern }; sterro (8.Jh.)|stërne, stërre wk. m., stërn st. m. 'stern'|Stern m.|
710|*ϑrikka-z, -n|dung|1064||ϑrekk-r m. `Dreck, Schmutz'|||träck `Kot'|träk||{ ϑreax `Fäulnis, Abfall, Kehricht' }|||threkk|||drec m., n. `drek, bezinksel'|drek m.||dreck m.||mūs-threc `Mäusekot' (12.Jh.)|drëc, gen. -ckes st. m. 'dreck'|Dreck m.|
711|*spikan- vb.; *spaka-, *spakjan- vb., *spaka-, *spakī(n)|clever, understanding|1065||spak-r `klug, erfahren', speki f. `Verstand, Weisheit', spekja `weise machen, besänftigen'|spak; spekkja `zähmen, unterdrücken'||späka||spag; späge `züchtigen'|{ spekan }||||||||||||||
712|*faim=|foam|1068||||||||fām, -es n. `foam'||foam|||||||||feim|veim st. m. 'schaum'|{ Feim }|
713|*xnuki-z|smell|1069||hnük-r m. `Gestank' (= fnükr, knükr, nükr, snükr)|nük|||||||||||||||||||
714|*skurta-, *skurda-; *skurtiōn; *skurtian- vb.|short|2511||skorta wk. `fehlen, mangeln', skort n., skort-r m. `Mangel', skürta f. `shirt'|skort; skorta vb.||skorta vb.||skorte vb.|scort (sceort) `short', scyrte, -an f. `short garment, skirt, kirtle' (h. l., = praetexta)||short; shirt||||scorte; op-scorten `(de kleren) van onderen opbinden, (neus en lippen) optrekken, uitstellen', scorten `minder breed maken, opbinden, belemmeren'|schort f., n.; op-schorten vb.||schörte f., schort m.? `apron', schorten `(de neus) optrekken, uitstellen'||scurz (8.Jh.) `kurz', scurt (um 800) `id.'; scherze, scherzel `afgesneden stuk'|schurz 'abgeschnitten. kurz'; schurz st. m. 'kleid, das nur einen teil des untern leibes deckt, also oben und unten abgeschnitten ist, schurz, schürze'; schürzen wk. `kürzen, abkürzen'|Schurz m., Schürze f., schürzen|
715|*stōda-n, *stōdō, *stadjō, -ēn|stall; stud|1072||stōδ n. `Stutenherde'; stedda f. `Stute'|stod `Stute'||sto `Stute'||stod `Herde von Pferden, Stute'|stōd, -es n. `stud, herd of horses'; { stǟda m. `Hengst' }||stud; steed||||Kil. stuyte|||stōt (-d-) f. `Einzäunung für Pferde, Herde von Zuchtpferden'||stuot f. `im freien Gelände gehaltene Herde von (Zucht)pferden' (9.Jh.)|stuot st. f. 'herde von zuchtpferden; gestüte; stute; weibl. tier überh.'|Stute f.|
716|*stṓla-z|stool|1073|stōl-s (a) m. `chair, throne'|stōl-l m. `Stuhl; Thron'|stol||stol||stol|stōl, -es m. `stool, seat; seat, throne'||stool|stōl||stōl|stoel|stoel m.||stōl||stuol `Sitz, Thron' (8.Jh.)|stuol st. m. 'stuhl, sitz (auch für mehrere)'|Stuhl m.|
717|*stōra-, *stōri-|great, stark|1074||stōr-r `gross, stark'|stor||stor||stor|stōr `great, strong, violent'|||stōr||stōri `gross, berühmt'||stoer|||||||
