"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
   278,"*kel-a- n.","wheel",   602,"","","","kelan `Rad' V. 295",""
   279,"*kū̂š= (1?): *kū̂š-ā̂ (1), *kūš-ia-, -iā̃ (1) f., *kuš-k-ia-","pubic hair, bunch",   607,"","kūšī̃-s `Haarbüschel über der weibl. Scham, weibl. Scham'; kùški-s `Flocke, (Haar)büschel, Wisch'","kūse 'Schamhaare; weibliche Scham', kũsa `Schamhaare', kūsis `Schamhaare, weibl. Scham', kušk̨is `Büschel, Handvoll; Wisch, Strohwisch'","",""
   280,"*čap-al-a-, -ia- c.","a k. of fish",   612,"","šãpala-s `Döbel(fisch), Leuciscus dobula, Art Karpfen, Alant, Gangling, Leuciscus idus, L. cephalus'","sapals, sapalis `Dünakarpfen, Alant(sbleyer) (Leuciscus idus L.); Leuc. cephaleus L.; Squalius dobula; Squ. leuciscus; Eifisch (Leuc. grislagine L.)'","",""
   281,"*krib-ā̂ f.","bast-box",   614,"","","kribas, kribes pl. 'zusammengebundene Stäbe, welche den Boden des Bauernschlittens bilden'","",""
   282,"*krai[s]=","straw",   615,"","","","craysi `Halm (соломина)' V. 275, crays `Heu' V. 289",""
   283,"*skarund-ā̂","rags",   618,"","skarunda (ostlit.) 'Fetzen, Lappen'","","",""
   284,"*kulk-š-i-, *kulk-š-n-i- c.","thigh",   621,"","kùlšē, -i-s 'Oberschenkel, Hüfte'; kulkšì-s, kulkšnì-s 'Knöchel am menschl. Fuss; Sprunggelenk beim menschl. Fuss'","*kùlša (kùlša\H2\h, kul̂ša\H2\h) 'Hüfte, Lende', kulksnis 'Sprunggelenk (bei Pferden, Kühen, Schweinen), Gelenkstück, Keule; ein grosser Knochen, an dem wenig Fleisch dran ist'","culczi 'Hüfte'",""
   285,"*kraû-/*kreû- (1) vb. tr., *krau-jā̂, *kreuw-ā̂, *krūw-ā̂, *kruw-ā̂ f.","heap up",   622,"","kráuti `aufeinanderlegen, häufen, packen, laden'; krūvà, kruvà `Haufe'","kr̨aũt (kr̨aũju/kr̨aũnu, kr̨ãvu) `häufen, laden, packen, fleihen'; krauja, kraujš 'Haufe', kr̨ava 'Haufe', kruva, kr̨uva `Haufen; Erhöhung, Höcker'","",""
   286,"*kraũ-ja- c., -jā̂ f.","blood",   624,"","kraũja-s `Blut'; krùvinti `mit Blut beflecken'","","crauyo V. 160, krawia Ench 47:34 `Blut'",""
   287,"*kruš-ā̂ f.","hail",   625,"","krušà, kriušà `Hagel'","krusa `Hagel; etwas hageldicht Niederfallendes'; krušuôt 'hageln',","",""
   288,"*krak-ul-a-, *kur̂k-ul-ia- (1) c.","frog-spawn",   627,"","kurkulaĩ, krakulaĩ pl. `Froschlaich'","kur̃kulis, pl. kur̃kul̨i, kur̂kul̨i\H2\h `Froschlaich'","",""
   289,"*krū̃t-i-, -iā̂ f.","breast",   631,"","krūtìs `weibliche Brust', krūtìbē 'Brust'","krùts (gen. -s), krūte `Erhöhung, Hügel, Hümpel; Brust'","",""
   290,"*kleu-d- vb. tr., [*kljū- vb. intr.]","hang on a hook",   633,"","kliū́ti `abhaken, hangenbleiben'; kliausti (-d-) `hindern, aufhalten'","","",""
   291,"*člap-ja- adv., *člap-, *člap-ē̂- vb. intr., *člap-al-a- c.","wet",   635,"","šlãpia- `nass, feucht, voll Wasser', šlàpti, šlam̃pa `nass werden', šlapumà `nasse Stelle (auf der Wiese, Strasse usw.); Feuchtigkeit', šlãpala-s `Harn, Urin'","slapjš `nass', slapêt (-ẽju) `nass, feucht machen', slapt (sluopu, slapu) `nass, feucht werden'","",""
   292,"*klē̂p- / *klē̂b- (1) vb. tr., *klē̃b-ia-/klē̃p-ia- c.","take in one's arms",   636,"","klḗbti (žem.) `in die ausgebreiteten Arme nehmen, umarmen', klēbī̃-s `ausgebreitete Arme, Armvoll'","pìe-klẽpt `anschliessen', klèpi-s `Schoss; Schossvoll (als Massbestimmung)'","",""
   293,"*člaun-i-, *člaûn-ā̂ (1), *člaũn-iā̃ (2) f.","thigh, hip",   638,"","šlaunì-s, gen. -iẽs `Hüfte, Oberschenkel'","slaũna, slàune, slaun-s `Schenkelstück am Fleisch, Keule am Vogel","slaunis 'Oberschenkel' V. 139, slaune `Arme (= Deichselarme an der Vorderachse des Wagens)' V. 300",""
   294,"*skuj-ā̂, -iā̃ f.","spruce-needle",   641,"","skujà `Nadel (der Nadelhölzer); Tannenzapfen, dial. Fruchtkolben der Nadelbäume', dial. skuje","skuja `Tannennadel', pl. skujas `Tannenreiser'","",""
   295,"*knut-iā̃, *knut-el-iā̃ f.","perch, pole",   644,"","","knute, knutele 'dünne Stange zur Befstigung des Strohs auf dem Dache gebraucht'","",""
   296,"*tlā̂k-ia-s (2) m., *tlā̂k-en-ā̂, -iā̃ (2) f.","bear",   646,"","lōkī̃-s `Bär', lōkenà `Bärenhaut, Bärenfell'","lâcis `Bär', lâcene, lâciene `Bärin'","clokis `Bär' V. 655, caltestis-klok(is) `Zeidelbär' V. 656",""
   297,"*lū̂nč-i-, -ā̂, -iā̃ (1) f.","lynx",   647,"","lū́ši-s (gen. -ies, -iō), žem. (Kvēdarna, Rietavas) lųnši-s, lųnši (-i < ē) `Luchs'","lũsis, lũsa, lũse `Luchs'","{ luysis - NOWHERE FOUND }",""
   298,"*lin-a- c., -ā̂ f.","flax",   649,"","lìna-s `Flachsstengel, einzelne Flachspflanze', pl. linaĩ `Flachs, Lein'","lins `einzelne Flachspflanze', pl. lini `Flachs'","linno `Flachs' Grunau 31",""
   299,"*lǖ-l-iā̃ f.","louse",   650,"","liū̃lē 'Laus'","","",""
   300,"*lač-i-s, *lačiš-ā̂ f., *lač-en-a- c.","salmon",   651,"","lašišà `Lachs, Lachsforelle', lãšis `Lachs', lašìšiu-s `Lachsforelle'","lasis `Lachs', lasę̃ns `Lachsforelle (Salmo trutta L.)'","lalasso [lasasso] `Lachs' V. 563",""
   301,"*pa=leûk-ia- c., *pa=leûk-iā̃ f.","belly (ot the animals)",   654,"","pa-liáuki-s `Wamme (подгрудок) beim Hornvieh', paliaukī̃-s `id.', pl. paliaukiaĩ `Rotlauf (bei Schweinen), Bräunen, Schweinetyphus', paliáukēs `Doppelkinn' { palaũkos `die Wamme der Rindes' WP: у Френкеля palaũkis falsche Schreibung für paliáukis `Wamme beim Hornvieh', s. s. v. liaukà }","","",""
   302,"*lek-men-iā̃ f., *lak-men-ā̂ f.","pool, puddle",   655,"","lekmẽnē 'Pfhuhl, Pfütze', lakmenà 'tiefer Teich, in dem ziemlich viel Schlamm ist'","","",""
   303,"*lō̃t-a- c.","boot",   657,"","lũota-s `Kahn, Einbaum, Boot, Nachen'","","",""
   304,"*lō̂p-a- (1) c.","cattle",   658,"","","luõps 'Vieh, Tier'","",""
   305,"*lā̂m-ā̂ (1?), *lā̃m-a- c.","hole, den, pit",   661,"","lōmà (acc. lō̃mą), lō̃ma-s `Grube, Höhle, Vertiefung'","lãma `niedrige Stelle, Lache, Senkung auf dem Felde od. auf dem Wiese, Pfütze, Grube, Sumpf, Grube'","",""
   306,"*lazd-ā̂, *lazd-iā̃ f., *lezd-ā̂ f., -a- c.","rod, perch, pole",   662,"","lazdà `Haselstacken, Stock, Stab', lazdī́na-s `Haselnussstrauch'","la(g)zda, lagzde, la(g)zds, lę(g)zda, lę(g)zds `Haselnussstrauch (Corylus avellana)'","laxde `Haselstrauch' V. 607, kellaxde `Speerschaft' V. 423",""
   307,"*leĩt-uw-ā̂, -aw-ā̂, *leĩt-ia-s m.","Lithuania(n)",   664,"","Lietuvà; lietùvi-s, -ē `Litauer(in)'","leĩtis, fem. leĩtiẽte `Litauer(in)'; Lìetava 'Litauen'","",""
   308,"*lē̂n-a-/*lē̃n-a- adj.","quiet, weak",   666,"","lḗna-, lē̃na- `ruhig, still, sanft, mild, verträglich, langsam, träge, phlegmatisch, pomadig, dünn, schwach'","lę̀ns `langsam, leise, faul, sanft; gelassen, gelinde, mild'","",""
   309,"*leîk-n-a- (1) c., *leîk-n-ā̂ (1), *leĩk-n-jā̂, *leĩk-n-iā̃, *leîk-n-iā̃ (1) f., *laîk-š-iā̃ f.","marsh, swamp",   667,"","lá́ikšēs pl. `grosser, vom Buschwerk überwachsener Sumpf'; líekna-s `sumpfiges, mooriges Wiesengelände, mit feinem Holz bestandener Sumpf', líekna `tiefgelegene, feuchte Wiese'","liẽkna, *lìekn̨a (liêkn̨a\H2\h, lìekn̨a\H2\h), *lìekne (liêkne\H2\h) / liẽkne, liẽkns, liẽknis `Sumpf, Niederung zwischen zwei Anhöhen; feuchte, sumpfige Stelle im Wald; sumpfifer Wald, grosse, feuchte Wiese; Biegung, Vertiefung'","",""
   310,"*leîg- vb. abs., *lig-ā̂ f.","be ill, illness",   668,"","líegti `schwer krank sein, siechen', ligà `Krankheit, Seuche'","liga `Krankheit; Malheur, Unglück'","",""
   311,"*leĩk-n-a- adj., *lik-ut-a- adj.","badly grown",   669,"","liekna- `schlankgewachsen, ebnenmässig (von Wuchs), wohlgestaltet'; ? liẽka- 'unpaar'","*lìekns (lìekns\H2\h, liêkns\H2\h) 'niedrig'; ? lìeks 'ein-, angelegt, falsch; zurückgelegt, reserviert","licuts 'klein'",""
   312,"*lī̂g-u- (1) adj., *lī̂g- (1?) vb. intr., *līg-ia- c., *lī̂g-in̂g-a- (1) adj.","even, like",   670,"","lī́gu- `gleich, gleichartig, ebenbürtig, gut gebaut'; lī́gti `gleichkommen, vergleichen können, über den Preis unterhandeln, dingen, feilschen'; lī̃gi-s `Gleichheit, Ebenbürtigkeit'","lĩgt, lîgt, lìgt (-gstu, -gu) intr., tr. `dingen, sich vereinbaren, übereinzukommen, handelseins zu werden suchen'; lĩdzîgs `ähnlich; quitt, schuldenfrei'","polīgu adv. 'gleich', līgint(on) `richten' (= `Gericht halten'), līgan 'Gericht', lĳgan 'Urteil'",""
   313,"*leîp-ā̂ (1) f., -iā̃ f., -a- c., *lip-iā̃ f.","lime, linden",   672,"","líepa, dial. líepa-s, líep-ē `Linde'","liẽpa, liepe, lieps `Linde'","lipe `Linde' V. 601",""
   314,"*lī̂s-ā̂, -iā̃, lī̂s-w-iā̃ f.","bed",   673,"","lī́sē, lī́svē `Gartenbeet'","","lyso `bete' (= `Gartenbeet') V. 242",""
   315,"*laũd-t-in-ē̂- vb., *lǖ̃d- vb. intr.","sad",   677,"","liū̃sti, liūstù, liūdaũ `traurig, gramvoll, betrübt schwermütig, niedergeschlagen werden', liū̃dnas `traurig, gramvoll, betrübt, niedergeschlagen'","","laustineiti imp. 2 pl. `demütiget!' Ench. 61:16",""
   316,"*leud-i- m., *leûd-jā̂ f., *lū̆d-[i]- (Lith AC / Lett CIRC)","people",   678,"","liaúdis `niederes, gewöhnliches Volk', dial. liaudžià `alle Leute, die im Hause sind, sowohl die Angehörigen wie die Mietlinge', žem. (Varniai) liaudē `familia'","l̨àudis, dial. l̨àuži pl.`Leute, Menschen', ? l̨àudava, l̨aũdava, l̨aũduva `Braut, junge Frau; Schwiegertochter'","ludis `Wirt' V. 185, ludini `Wirtin' V. 186, ludysz `Mensch' Grunau 40",""
   317,"*lō̂b-a- c., *lub-ā̂ f.","shingle, tree-bark",   679,"","lubà `Brett der Zimmerdecke', pl. lùbōs `Zimmerdecke', lúoba-s `(Baum)rinde', lúoba-s `Pappe'","luba 'Linden-, Tannenrinde; lange Dachschindel; Brett, nam. Ablegendbrett an der Wand'; luobs `Schale'","lubbo `Brett' V. 206",""
   318,"*lak-at-a- c.","rag(s)",   680,"","lãkata-s 'Lappen, Fetzen, Flicken, Fleck'","","",""
   319,"*lak-n-ā̂ f.","trousers",   681,"","","","lakno `Hosen' V. 481",""
   320,"*leñgw-a-, *leñgw-u- adj., *lañg=","light",   684,"","leñgva-, lengvù- `leicht'; ? lagénti 'in mässigem Treib reiten oder fahren'","liêgs\H2\h `leicht; sanft, milde, zart, lieblich'","lāngiseilingins pl. acc. `einfaltige', acc. lāngiseiliskan `Einfältigkeit', preitlāngus `gelinde' Ench. 55:13/14, erlāngi `erhöht, erhebe'",""
   321,"*led-u- c., *led-a- m.","ice",   687,"","lẽda-s `Eis, Hagel', dial. (Lazūnai) ledù-s `id.'","lędus (gen. -us) `Eis'","ladis `Eis' V. 56, lattako `Hufeisen' V. 543",""
   322,"*lā̂p-ā̂ (1) f.","paw, claw",   689,"","lṓpa `Pfote, Tatze, Klaue'","lãpa `Pfote'","",""
   323,"*slab-n-a- adj., *slab- vb. intr., *slāb-a- (1), *slāb-n-a-, -n-u- adj., *slāb- vb. intr. (Lith CIRC / Lett AC, 1)","weak, etc.",   692,"","slãbna- `schwach, kraftlos', slàbti `schwach werden'; dial. slō̃bna- `schwach, kraftlos', slōbnù- `id.', slō̃bti `schwach werden' || slōpù- 'stickig, erstickend, beklemmend; beklommen, erstickt, dumpf', slōpà 'schwüle, bedrückende Luft, Witterung', slṓpti (-psta, -pō) 'fast ersticken, das Bewusstsein verlieren, ohnmächtig werden', dial. slṓpti (-pia, -pē) 'ersticken, durch Daraufliegen ersticken'","slãb-s `schlaff', slãbans, slãbęns, slàbins\H2\h `schlaff; matt', slãbt (slābstu, slābu) ntr.`schlaff werden, zusammenfallen (vom Körper, von einem Geschwür)' || slâpt (-pstu, -pu) 'dursten, dürsten; sticken; zusammenfallen, weich werden; nachlassen, gelinde werden'; slâpêt (-ẽju) 'ersticken; eine Geschwulst fallen machen, weich machen; dursten', pl. slâpes 'Durst'","",""
   324,"*lam-at-ā̂ f.","trap",   693,"","","lamata, pl. lamatas 'Falle'","",""
   325,"*leñt-ā̂","bord, plank",   694,"","lentà `Brett, Tafel, Platte'","","",""
   326,"*lind-a- n.","valley",   697,"","","","lindan 'Tal'",""
   327,"*māk-iā̃ f.","poppy",   712,"","","","moke `Mohn' V. 265","Fraenk. < Pol - because the word is absent in other Baltic languages; there is, however, Lith aguonà, dial. màgōnē, Lett maguone 'id.' < Germ ?"
   328,"*mal̂-n-ā̂ (1) f.","a k. of plant",   713,"","málna `Schwäden, Süssgrass, Kolbenhirse'","","",""
   329,"*mūs-a- c., *mus-ā̂ f.","mould",   714,"","mūsaĩ pl. `Schimmel, Kahm', mùsōs pl. `id.'","","",""
   330,"*marw-ā̂, *merw-ā̂","a k. of insect",   715,"","marvà, mervà `Bremse'; { pl. marmalaĩ 'grosse Bremsen' }","","",""
   331,"*mū̂s-ā̂ (1) f., *mus-iā̃, *mus-jā̂ f.","fly (sbs.)",   717,"","musē̃, mùsē, musì-s, musià `Fliege', mùsula-s `(Kriebel)mücke","muša Fliege'; mũsa `Fliege'","muso `Fliege' V. 782",""
   332,"*mā̂m-ā̂ (1)","mummy",   720,"","mōmà dial. `Mutter'","mãma `Mutter, Mütterchen'","",""
   333,"*marw-ā̂ f.","medley",   721,"","marvà 'Mischmasch, alles durcheinander'","","",""
   334,"*mak-ā̂n-iā̃ f., *mak-n-jā̂ f., *mā̃k- vb. tr., *mā̂k-ō̂n-ia- (1) c., -jā̂ (1) f., *mā̂k-ul-ia- (1) c.","wet, marsh, puddle",   724,"","makénti, -ḗti, mak(n)ṓti `in sumpfigem Boden herumwaten, durch Strassenkot waten, in einen Sumpf, in tiefen Kot hineinwaten, hineintappen, -patschen', makṓnē `Sumpf, Morast, Pfütze'","makn̨a `Sumpf, moorige Stelle'; mãkuônis, mãkuõnis, mâkuônis\H2\h, màkuonis, mãkuôn̨a, màkuon̨a `Wolke'; mãkulis, mākul̨a 'Wolke'; màktiês `sich bewolken'","",""
   335,"*mak-a- c., -ia- c., *mak-š-n-ā̂, *mak-š-t-i-, -t-a- c., -ia- c., *mek-er-ia- c.","pouch, purse",   725,"","mãka-s, -i-s `(Geld)beutel'; makštìs, mãkštīs, gem. -čių̄̃/-tų̄̃ `Scheide, Futteral, Etui', makšnà `(Geld)beutel'; mẽkeri-s `Tabak-, Geldbeutel'","maks `Beutel', maksts (in Ruj., Warkl. gen. -s-) `Netzbeutel, Scheide, Futteral'; maksts (gen. -s N.-Schwanb., o-Stamm in Ruj., Selg.), makste (pl. makstis), makstis (pl. makšk̨i) 'Scheide, Futteral'","danti-max `Zahnfleisch' V. 93",""
   336,"*mač-al-a- c., -ā̂ f.","a k. of insect",   726,"","mãšala-s, ostlith. mãšala `Kriebelmücke'","masala, masals `Rossfliege'","","Cf. Lith mãkata-s `Kriebelmücke'"
   337,"*mā̂tē̃ (-er-es) (1), *pā=matr-iā̃ f., *mā̂t-jā̂ f. (1)","woman, mother",   729,"","mṓtē, gen. -ers, dial., alt -eres `Frau, Weib, Ehefrau, dial. Mutter', mṓteri, gen. -ies, pl. gen. mṓterų̄ `Frau'; pãmōtē `Stiefmutter'; mṓčia 'Mutter' {Lyberis: mṓtē  (1) 'жена; мать';  mṓter-is [-ies (s), -ų] (1) 'женщина'; mṓtina (1) 'мать' - В. Ч.}","mãte `Mutter; ehrende Bezeichnung für ältere Frau; Weibche bei manchern Tieren; eine Gottheit (in heidnischer Zeit)', pamãte `Stiefmutter'","mūti Ench. 43:32, muti Grunau 69, mothe V. 170 `Mutter', pomatre `Stiefmutter' V. 180;",""
   338,"*mar-i n.?, *mar-iā̃, *mar-jā̂ f.","sea, harbour",   735,"","marē, pl. mãrēs, mãriōs f. `Meer, See, Haff'","mare, mar̨a `Haff'","mary `Haff' V. 65",""
   339,"*meĩt-a- c.","stake, post",   738,"","miẽta-s `(Zaun)pfahl; mita Stecken zum Netzestricken; Garnflügel, kleines Brettchen, das mit einer Schnur am ende des Netzsackes befestigt ist und durch seine Lage auf dem Wasser dem Fischer die Stellung des Netzes anzeigt'","mìets  'Pfahl; Staken, Hopfenstange, Bihnenstange'","",""
   340,"*meĩ-l-ā̂, -iā̃ f.; *maî-w-ā̂ (1) f.","yeast",   739,"","miẽles pl. t. `Hefen'; máiva 'Sumpfboden'","mìeles, miêlas\H2\h pl. t. `Hefen'","",""
   341,"*mig-l-ā̂ f.","fog",   741,"","miglà̀ `Nebel'","migla `Nebel'","",""
   342,"*maĩt-a-, *maĩt-ā̂ f., *maĩt-(s)t-a- c., *mit- vb. intr., *mit-a- c.","food, feed; carrion",   742,"","maĩta-s, mìta-s `(Lebens)unterhalt; Ausgaben, Kosten', maità, muità `verendetes Tier, Aas'; mìsti, mintù `sich (er)nähren, von etw. leben, sich durchs Leben schlagen, sein Leben fristen, leben, existieren'; maĩsta-s `Nahrung, Lebensmittel, Proviant'","mist (mìtu mitu) `leben, sich aufhalten, seinen Lebensynterhalt haben, sich ernähren, gedeihen, leben'; màita `Aas, Fleisch gefallener Tiere'","maitā 3 prs. `nährt', pomaitat `nähren', maitätunsin `sich nähren', maitāsnan `Nahrung', ismaitint `verloren', nomaytis `verschnittenes, männliches Schwein'",""
   343,"*smaûl-ia- (1) c., *smul=","soil, to clean",   743,"","","smaũlis `ein schmutzig Gewordener', smaũlêt (-ẽju) 'sabbeln, schmurgeln', smul̨̃l̨a 'Sabbeler, Schmutzfink', smulis, smu[ll]is 'ds.'; smulêt (-ẽju) 'besudeln'; smul̨̃l̨ât (-ãju) `sabbeln, sudeln'","",""
   344,"*med-u n.","honey",   748,"","medù-s `Honig'","medus (gen. -us) `Honig, Met'","meddo `Honig' V. 391",""
   345,"*med-ia- c., *med-ja- m., *med-iā̃ f.","wood, tree, forest",   749,"","mẽdi-s, mẽdžia-s `Baum, Holz', ostlit. 'Wald', žem. mẽdē `(grosser) Wald, Gehölz; Jagd'","mežs `Wald, Gehölz; von einem dichten, dem Waldesdickicht ähnlichen Gewimmwl, Gedränge', gen. meža als Adj. 'wild'; mede (Dond.) `Jagd'","median `Wald' V. 586, medies `Jäger' V. 696",""
   346,"*meñs-ā̂ f.","flesh",   750,"","meisà žem. (< *mensā) `Fleisch'; lit. mēsà","mìesa `ungeteiltes, lebendiges Fleisch des Körpers; Fleisch (in biblischem Sinne)', pl. 'Leib, Körper'","mensā `Fleisch' Ench. passim, menso V. 154, 374",""
   347,"*men̂-k-ā̂, -iā̃ (1) f., -ia- (1) c.","a k. of fish",   753,"","ménkē `Dorsch'","męñca, dial. meñce, meñcis, męñcs `Dorsch'","",""
   348,"*mē̂n-ō̃ (gen. -es-es) (1), *mē̂n-ig=","month, moon",   758,"","mḗnuo, gen. sg. mḗnesiō `Mond, Monat', mḗnesi-s 'Monat'","mẽness (gen. -s), mẽnesis `Mond; Monat'","menig `Mond' V. 8",""
   349,"*mer̂g-ā̂, *merg-iā̃ f.","girl, maiden",   763,"","mergà, dial. mer̃gē `Bauernmädchen, Mädchen aus dem niederen Volke, Liebste, Liebchen, Schatz'","mę̄̀rga\H2\h (Lettg.), mę̃rga (Dunika), męrga (N.-Sessau) `Mädchen (meist verächtlich)'","mergo V. 192, merga Grunau 22 `Jungfrau', mergu, acc. mērgan, mergwan, pl. dat. mergūmans `Magd' (Katechismen)",""
   350,"*mar̃t-ī̂, -jā̂, -iā̃ f.","fiancee",   764,"","martì `Braut, junge Frau, solange sie noch keine Kinder hat, Schwiegertochter, Sohnesfrau, Schwägerin'","mā̀rša `des Bruders Weib', mārte (Rutzau) `Braut'","mārtin acc. `Braut' Ench. 6:25, mārtan `id.' Ench. 69:3",""
   351,"*mel-a-, *mal-a- adj., *mel-ja-, -ia- c., *mel̃s- vb. tr.","lies",   769,"","mẽla-s, žem. mãla-s `Lüge'","męli pl. `Lüge', melis, f. mele `Lügner, -in', mèlst (-šu, -su) `faseln, flunkern, verwirrt reden; Unsinn schwatzen'","",""
   352,"*mil-n-a- adj.","many",   770,"","","milns 'sehr viel' }","",""
   353,"*mel-mō̃ (-men-es) (Lith AC / Lett CIRC)","waist, flesh aroud the kidneys",   771,"","mélmenīs pl. `die Nieren umgebende Fleischteile', melmuõ `Kreuz, Rückgrat'","mèlmen̨i, mel̂men̨i, mel̂mini, mel̂menes\H2\h pl., `Kreuz des Körpers, Krezschnerzen; Weichen, Lendengegend; Yüften; zwei Müskeln unter am Rückgrat nach den Nietren zu (wenn diede inflammiert werden, verursacht es grosse Pein und eine schwere Krznkeit); Gicht'","",""
   354,"*mē̂l-a-, *mel̂-n-a-, -ja- (1), mē̃l-sw-a- adj., *mē̃l- vb. intr.","blue",   772,"","mḗla- `blau', mélsva-, mē̃lsva- `bläulich', mē̃lti `blau werden'","męl̃ns `schwarz', mẽl̨š `dunkelblau'","melne 'blauer Fleck', acc. f. mīlinan 'Fleck'",""
   355,"*mul̃w-a- adj., *mulw-iā̃","dirt, swamp, marsh",   773,"","mul̃vē `Schlamm, Sumpf, Morast, Quebbe', mul̃va- `gelb, rot, lehmig, von lehmiger Farbe'","","",""
   356,"*mil-a- n., *mil-ā̂ f., *mil-n-ā̂ f.","wool",   774,"","mìla-s `grober, selbstgewebtes Wollstof, selbgewebtes Tuch'","mils `wollenes Gewebe', mila `grobes Bauerngewand, grobes Tuch', milna `Gewand, Tuch'","milan `Gewand' V. 455",""
   357,"*mal-ā̂ f.","land, landscape",   775,"","malà 'Land, Landschaft'","mala `Rand; Ufer; Grenze mit umgrenztem Ort, Gegend'","",""
   358,"*miln-ā̂, ? *meld-iā̃","lightning, the hammer of Perkunas",   779,"","","milna 'Hammer des Donners'","mealde 'Blitz'",""
   359,"*maĩš-a- m., *maîš-ā̂, -iā̃ f.","sack, bag",   784,"","maĩša-s `(grosser) Sack', máišē, -a `grosser, netzartiger Heusack'","màiss `Sack'","moasis `Blasebalg' V. 516",""
   360,"*mal̂k-ā̂ (1/2) f., *mal̂k-n-ā̂ (1) f.","heap, pile (of logs)",   791,"","málka `Haufen aufeinander geschichteter Dinge, Stoss, besonders Holzstoss', pl. málkōs `(Brenn)holz', málkna `Tannenborke, Tannenrinde'","mal̂ka `Brennholz'","malko [überl. nalko] `Holz' Grunau 43",""
   361,"*muzg-en-ā̂ f., *smag-en-ā̂, -iā̃ f., -a-, -ia- c.","gum (in the mouth), marrow",   792,"","smãgenēs, smãgenōs pl. '(Knochen)mark, Zahnfleisch, Grosshirn, Gehirn', pl. smãgēns, smãgenīs, smãginēs 'Zahnfleisch'","smadzenes, smadzenis, smadzęni pl. 'Gehirn; Mark in den Knochen'","musgeno [überl. mulgeno] `Mark' V. 74",""
   362,"*nā̂w-iā̃ (2) f., -ia-s m.","death, corpse",   804,"","nō̃vē `Bedrückung, (Todes)qual, Tod', nōvis, gen. -ies `id.'","nâve `Tod', nâvêt (-ẽju) `töten, morden'","nowis `rump' (= der tote Leib) V. 151",""
   363,"*naut-i-","misfortune",   805,"","","","nauti(i)n acc., dat. nautei, pl. acc. nautins `Not'",""
   364,"*nāg-n-a- n.","skin",   806,"","","","nognan `Leder' V. 498",""
   365,"*nā̂s-i- (1), -iā̃ (1) f., *nas-r-a- c.","nose, nostril",   807,"","nṓsis, gen. -ies `Nase', pl. nas(t)raĩ `Rachen, Schlund, Maul', apìnas(t)ris `Köpfstück am Pferdezaum, Maulkorb'","nãss (gen. -s), nãse `Nasenloch, Nüster', pl. nãsis `Nase'","nozy `Nase' V. 85, ponasse `Oberlippe'",""
   366,"*neiǯ-ē̂- vb. (Lith CIRC, Lett AC, 1), neiǯ-a- c., *naiǯ-ā̂ f., -a- c. (Lett CIRC/AC, 1)","itch",   808,"","niežḗti, 3 prs. niežt(i) `jucken'; niẽžas `Krätzmilbe', pl. niežaĩ `Krätze, Räude'","niẽzêt (3 sg. prs. niẽz/niezt, prt. niẽzẽja) intr. `jucken', naĩza, nàiza\H2\h, naîza\H2\h, nàizs\H2\h, naĩzis `Krätze', naîze\H2\h 'Gipken'","",""
   367,"*naũ-j-a-, *nau-n-a- sdj.","new",   809,"","naũja-s `neu'","","nauns 'neu'",""
   368,"*nač-l-ia- m., -iā̃ f.","widow",   810,"","našlī̃-s 'Witwer', fem. našlē̃","","",""
   369,"*nā̂t-r-iā̃ (2), *nā̂t-er-iā̃ (2) f., *nāt-[i]-","nettle",   811,"","nōtrē̃, nō̃terē `Nessel', nō̃trīnē `(grosse) Brennessel', Brennessel","nâtre, nâtra (/ nãtra Schujen), dial. n̨âtra, n̨âtre `Nessel'","noatis 'Nessel' V. 291",""
   370,"*nen̂d-r-iā̃ (2) f.","reed",   812,"","néndrē `Schilfrohr'","niêdre, niêdra `Rohr, Schilf (Phragmites communis); Rohrstock, Spazierstock'","",""
   371,"*nepōt-i- m., *nept-iā̃ f.","grandchild",   813,"","nepuoti-s `Enkel, Neffe', neptē̃ `Enkelin'","","",""
   372,"*nakt-i- (*nakt=)","night",   815,"","naktì-s, gen. -iẽs, pl. gen. naktų̄̃ `Nacht'","nakts (gen. -s) 'Nacht'","naktin acc. sg.",""
   373,"*nō̂g-a- (2) adj.","naked",   816,"","núoga- `nackt, bloss, kahl'","nuôgs `nackend, arm'","",""
   374,"*nū, *nu","now",   819,"","nù, nū̃ `nun, jetzt, heute', nūnái, nūnaĩ `id.'","nu, nù\H2\h `nun'","tei-nu `nun', esteinu `von nun an'",""
   375,"*eî-n-ā̂ (1) f.","shaft",   820,"","íena `Deichsel'; ailē 'Pricke', dial. aĩli-s 'Keule'","ailis, aile 'Stütze an Fischweren, um Körbe daran zu befestigen; dünne Stange am Neunaugennetz; Rundholz zum Fortbwegen schwerer Gegenstände; ein Fach in den Ständenwerken'; pl. ielukši 'Femerstangen'","","Balt *aisō, *aisa > Finn aisa 'Deichsel'"
