"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
 950,"*reiwə-",   0,"furrow, fold, cut","борозда, складка, разрез",1592,"","","","","","","",     0,"*reiw-iā̃, *raiw-iā̃ f., *raîw-ā̂ f. (1/2)",   436,"",     0,"rīma, -ae f. 'трещина, щель'","","","","","WP II 343 f",""
 951,"*orik-",1533,"louse, tick","насекомое (вошь, клещ)", 505,"","likṣā f. `nit, young louse'","","","orǯil, oǯil `Nisse, Lausei'; ? ord(n) 'worm'","","",     0,"*ar̂k-iā̃ (1) f.",   437,"",     0,"ricinus, -ī m. `Ungeziefer an Schafen (Holzbock?), Hunden, beim Rind; Laus'","","","erg̨is 'kleine Laus'","","WP II 343 f",""
 952,"*rAik'- ?",   0,"roe","скот (косуля)",1593,"","riśya- m. `deer, antelope' [but possibly = ŕ̥śya-, see *alk'-]","","","","","",     0,"",     0,"*ráix-u- n., *ráix-a- m., *ráix-an- m., *raig-iṓn- f., *rikk-ī(n-) f.",   624,"","","","","","WP II 346",""
 953,"*orw- [cf. *(o)rū-]", 472,"ditch, ditch (as a boundary), scar","ров, граница; шрам", 510,"","áruṣ- n. `wound, sore'; ? ūrvá- m. `ocean' [but as adj. `broad, great', probably derived from uru-]","","","","att. hóro-s, ep., on. ọ̄̂ro-s, kork. orwos, kret., arg. ō̂ro-s, herakl. óro-s m. `Grenze, Grenzzeichen (-pfahl, -säule, -stein), Termin, Schranke, Ziel, Bestimmung, Definition'","*rъvъ, -*rъvā", 11740,"*ur̂w-a-/*ur̂w-a- (2?) c.",   438,"*arw-az-, *arw-iz- n.",   625,"urvus `circuitus civitatis'; (amb)urvāre `mit einer Grenzfurche umziehen'","Osk uruvú `Grenze, Grenzweg'","","","","WP II 351 f",""
 954,"*rewəgh-",   0,"to sour (milk)","скисать (о молоке)",1628,"","","raoɣna- 'Butter'","MPers, NPers rōɣan '(ausgelassene) Butter'","","","",     0,"*raûg-a- c., *rū̂g- vb. intr.",   439,"*riu-m-an- m., *rau-m-a- m., *rau-m-ō f.",   626,"","","","","","WP II 357",""
 955,"*Araud-",   0,"ore","руда",1627,"","[ lohá- `red, reddish'; m. n. `red metal, copper' ]","","","","","*rūdā́", 11906,"",     0,"*arut-a- m., *arut-ja- n., *arutja-taugō",   627,"raudus, rōdus, rūdus `ein formloses Erzstück als Münze'","","","arɛ́nts Stahl (from Arretium ?)","","WP II 358 f","Seems to be different from *(e)reudh- 'red'; a probable loan from Sum. urudu 'copper'."
 956,"*reub-",   0,"partridge, heath-cock","птица (куропатка, тетерев)",1626,"","","","","","","",     0,"*rub-en-ia- c.",   440,"*riup-ōn- f.",   628,"","","","","","WP II 360","Cf. *ere(m)b-"
 957,"*ere(m)b-",   0,"hazel-grouse","птица (рябчик)",   0,"","","","","","","*jerę̄bь, *rę̄bьcь, *rę̄bъkā рябчик", 12048,"*jer(u)b-iā̃, ir̂b-iā̃ (1) f.",   441,"*irp=, *rip=",   629,"","","","","","WP II 360","Cf. *reub-."
 958,"*reu-men-",   0,"horse-hair","(конский) волос",1623,"","róman, loman n. `hair on body of men and animals'","","","","","",     0,"",     0,"",     0,"","","OIr ruamnae gl. `lodix', Ir rōn `Pferdehaar', rūainne `einzelnes Haar' (< Cymr ?); Cymr rhawn `Pferdehaar', Bret reun(enn) `einzelnes starkes Haar, Schweineborste'","","","WP II 361",""
 959,"*rē̆g'-",   0,"chief, king","вождь, царь",1589,"","rāj- m. `king', rā́jan- m. id., rā́jñī f. `queen', rā́jati, rā́ṣṭi `to reign, be king, rule over'; rā́jya-, rājyá-, rājyà- n.  `royalty, kingship', rāṣṭrá- m. n. `kingdom, realm'","rāstar- 'Lenker, Leiter'","","","","",     0,"",     0,"*rik-a- m., *rik-an- m.",  1508,"rēx, gen. rēgis m. `Leiter, König, Fürst, Prinz; Despot, Oberhaupt; Patron; Erzieher'","","Gaul Catu-rīx, pl. -rīges, etc. `Kampfkönig(e)'; Rīgo-magus eig. `Königsfeld'; OIr rī, gen. rīg `König', rīgain `Königin', MIr rīge `Königreich'; Cymr rhi `Fürst', rhiain `Dame'; [ OCorn ruy, MBret roe, NBret roue ]","","","WP II 362 f",""
 960,"*(e)regʷ-",1886,"darkness, twilight","темнота, сумерки",1591,"","rájas- n. `sphere of vapour or mist, region of clouds, atmosphere; vapour, mist, clouds, gloom, darkness'","","","erek, erekoy `Abend'","érebos n. `Dunkel der Unterwelt, Totengrund'","",     0,"",     0,"*rikw-iz-, *rikw-az- n.",   630,"","","","","A arkant-, B erkent- 'black' (PT *erkent-) (Adams 95); A orkäm, B ork(a)mo 'darkness, dark' (PT *orkmo) (123)","WP II 367",""
 961,"*rāt- (~ -ō-)",1536,"log","бревно",1621,"","","","","","","*rātīšče, *rātovīšče копье: ORus ратище, ратовище, Ukr ра́тище, Sloven ratíšte, Czech ratište", 11430,"",     0,"*rōd-ṓ(n-) f., *rṓϑ=",   631,"ratis, -is f. `Floss'","","","","","WP II 368",""
 962,"*rot- (-th-)",   0,"wheel","колесо",1620,"","rátha- m. `chariot, car'","","Pers. rāh 'road' (*raϑyā)","","","",     0,"*rat-a- (1) c.",   442,"*ráϑ=, *raϑ-ul=, -r-",   632,"rota f. `Rad; Töpferscheibe, Rolle, Wagen, Sonnenscheibe, Kreisel'; rotundus, -a `rund'","","Gaul Roto-magus ON (> Fr Rouen), petor-ritum `vierräderiger Wagen'; Ir rath m. `Rad', rethim `ich laufe'; Cymr rhōd f. `Rad'","","","WP II 368",""
 963,"*rēp-",   0,"stake, stick","кол, палка",1616,"","","","","","","*rēpьjь Pfahl; Klette", 11601,"*rē̃p- vb. tr., *rē̂p-l-jā̂-, *rē̂p-l-in- vb., *rep-et-ā̂; *rā̂p-/*rā̃p- (1) vb. intr., *rā̂p-ā̂- (1) vb., rā̂p-u- (1) adj.",   443,"*rē[f]-a- m., n., *rḗf-an- m., *ra[f]-i- m., *raf-t-a- m.; *rō[f]-ōn- f.",   633,"","","","","","WP II 370",""
 964,"*rebh-",   0,"rib","ребро",1583,"","","","Oss. rīw 'breast' (*raibya-)","","","*rebro", 11468,"",     0,"*rib-ja- n., m., *rib-jō(n-) f.",   634,"","","","","","WP II 371","[Cf. *(e)rebh-]"
 965,"*rent-",   0,"thing, stock, property","вещь, имущество",1615,"","rátna- n. `gift, wealth, riches'","","","","","",     0,"",     0,"",     0,"","","*rentu-: Ir rēt `Sache'","","","WP II 374",""
 966,"*rug(')-",   0,"upper clothes","верхняя одежда",1636,"","","","","","","",     0,"",     0,"*rukk-a- m.",   635,"","","OIr rucht `tunica'","","","WP II 374",""
 967,"*rugh-i-",   0,"rye","растение (злак - рожь)",2222,"","","","","","","*rъžь", 11779,"*rug-i- c., *rug-ia- c.",   444,"*rug-i-z c.; *rugg-n=",   636,"","","","","","WP II 374 f",""
 968,"*(s)nAp-",   0,"beak","клюв",   0,"","","","","","","",     0,"*snap-a- c., -ia- c.",   445,"*snab-ul-a- m., *(s)nab-ja-, *(s)nib-ja- m.",  1676,"","","","","","Fraenkel 852",""
 969,"*steur-",   0,"bull","скот (бык домашний)",1869,"","Gipsy šturno `Stier'","staora- `Grossvieh'","MPers stōr, NPers sutūr `bull'; Osset stur, stor `bull; cow'","","","",     0,"",     0,"*stiur-a- m.",   637,"","","","","","WP I 711",""
 970,"*sū-, *sū-k-", 921,"pig","скот (свинья)",1912,"","sū-kará- m. `boar, hog, pig'","gen. hū `Schwein'","","","hǖ̂s, acc. hǖ̂n, gen. hüós m., f. `Schwein, Sau, Eber'","*svīnъ", 12334,"",     0,"*sū-, *su-g-ṓ f., *sug-iṓ f.",   638,"sūs, gen. suis f. `Schwein'; su-bulcus `Sauhirt', su-cerda `Schweinekot'; sucula f. `Schweinchen'","","OIr socc sāil `Meeressäugetier'; MIr soc m. `snuit van varken', Cymr hwch m., f. `varken'","thi, pl. thĳ m. `pig'","B suwo 'pig, hog' (Adams 698)","WP II 512 f",""
 971,"*swAlw-",1570,"a k. of small bird (nightingale, swallow)","птица (соловей/ласточка)",   0,"","","","","","","*solvьjь, *solvьcь, *solvīkъ, *solvī f.", 13089,"? *šalw-i- c., *šalw-a- c., -ia- c.",   446,"*swalw-ōn- f.",   639,"","","","","","WP II 535","The association of a fish and a bird is questionable, but not impossible. For Slav. s = Balt. š < *sw- cf. *swel-men- >  Gr. sélma = Germ. selm- = Slav. *selmę = Lit. šelmuõ  etc."
 972,"*(s)tern-",   0,"starling","птица (скворец)",1904,"","","","","","","",     0,"",     0,"*staran- m., *star-a- m., *starn-a- m.; *ϑirn-ōn- f.",   640,"sturnus, gen. -ī `Star'","","","","","WP II 649",""
 973,"*spar(w)-, *spraw-",1252,"sparrow","птица (воробей)",1840,"","","","","","*sparásio-s (acc. sparásion) `a bird similar to a sparrow' (Hes.), sporgílo-s m. N. eines Vogels, `Sperling ?', (s)pérgou̯lo-s `wild bird' (Hes.)","",     0,"*sper-g-l=, *spur-g-l=",   447,"*sper-k=; *sparw-a- m., *sparw-an- m.; *spraw-an- m.",   641,"parra f.; parrus, gen. -ī `ein Vogel, dessen Geschrei Unglück bedeutete, vl. Schleiereule oder Grünspecht, ev. Meise'","Umbr parfam, parfa `parram', parfa `parrā'","*sprawo- >  MIr serriach, serr-fiach `Geier'; Corn frau, Bret frâo `Krähe'","","A ṣpār 'sparrow?', B ṣparā-yäkre 'a k. of bird (sparrow-hawk?)' (Adams 666)","WP II 666 f",""
 974,"*kʷsawer- / *kʷsewar-",   0,"starling","птица (скворец)",   0,"","","","","","psā́r, ion. psḗr, gen. psārós, pl. psā̂res m. `Star'","*ščevornъ/*skovornъ `жаворонок'; *skvorьсь, *skvorъ `скворец'", 12698,"",     0,"",     0,"","","","","","WP II 666 f (different in Pok.)",""
 975,"*(s)pīk[ʷ]-",   0,"a k. of motley bird","птица (пестрая)",1850,"","piká- m. `the Indian cuckoo'","","","","pīpṓ f., { píprǟ } `Specht, Picus maior und minor'","",     0,"*pī̆k-l-iā̃ f.",   448,"*spíx-a- m.; *spix-t-a- m., *spix-t-ōn- f.",   642,"pīca f. `Elster', pīcus, gen. -ī m. `Specht'","Umbr peica `pīcam', peico `pīcum'","","","","WP II 681",""
 976,"*(s)terg(')-",   0,"a k. of bird","птица (крупная)",1890,"","","","","","tórgo-s m. `Geier'","*stьrkъ (> ORus стьркъ)", 13361,"? *ster̃k-a-, *star̃k-a-, -u- m.",   449,"*sturk-a- m.",   643,"","","","","","",""
 977,"*streig-",   0,"a k. of bird (owl, martlet)","птица (ушастая сова, стриж)",1907,"","","","","","stríŋks, stríks, { stlíks } f. `Eule'","*strīžь, *strēžь; *strīgā: Pol strzyga `eine  Art Nachgespenst'", 13478,"",     0,"",     0,"striga f. `Ohreule; Hexe, Nachtunhold'; strix/strīx, gen. strigis/strīgis f. `Ohreule'","","","","","WP II 651",""
 978,"*swor-",   0,"shrew","зверек (землеройка)",1942,"","","","","","hǘrak-s (~ ǖ́), -akos m. `Spitzmaus'","",     0,"",     0,"",     0,"sōrex, gen. -icis m. `Spitzmaus'","","","","","WP II 527 f",""
 979,"*salik(')-", 183,"willow","дерево (ива)",1645,"","","","","","","",     0,"",     0,"*sálx-a-/*salg-á- m., *sálx-ō f., *sálx-iōn- f.",   644,"salix, gen. -icis f. `Weide'","","MIr sail, gen. sa(i)lech; Cymr helyg-en","","","WP II 453 f",""
 980,"*sorbh-",1691,"a k. of fish (with red fins)","рыба (с красными плавниками)",   0,"","","","","","{ órpho-s `a k. of sea bass' }","",     0,"",     0,"*sarb=",   645,"","","","","","",""
 981,"*saip-", 751,"fence, to fence","забор; ставить забор",1642,"","","","","","hai̯masiǟ́ f. `Umfriedigung, Zaun, Mauer'","",     0,"",     0,"",     0,"saepēs (/saeps), gen. -is f. `Zaun, Gehege; Vermachung'; saepiō, saepsī, -ptum, -īre `umzäune, umschliesse, bedecke, verwahre'; prae-saepēs, -is f. `Krippe; Stall'","","","","","WP II 445 f",""
 982,"*sāw-el- (/*sūl-); *sw-en-", 278,"sun","солнце",1652,"","súvar, svàr, gen. sū́raḥ, sū́rya-, sū́ra- m. `sun'","hvarə, gen. hūrō n. 'Sonne'; xvə̄ng 'Sonne' (< *su̯en-s)","Pers. χor-šēd, Oss. χur 'sun'","","hom. ǟélio-s, att. hǟ́lio-s, dor., ark. āélio-s, kret. āwélio-s <abélios> (Hes.) m. `Sonne'","*sъlnьce, *sъln-; *soln- (посолонь)", 13086,"*saûl-iā̃ (1) f.",   450,"*sōw-il-a- n.; *sōw-ul-ō f.; *sunn-an- m., n., -ōn- f.; *sún-ϑ=, *sún-ϑ-r-a- n.",   646,"sōl, gen. -is m. `Sonne'","","*sāwel > Cymr haul, OCorn heuul, MCorn heul, houl, Bret heol `Sonne'; + OIr sūil f. Auge","hüł, üł Stern","A swāñce, B swāñco, swāñcai- (PT *swāñcai-) 'ray (of light), (sun) beam' (Adams 725)","WP II 446 f, 531",""
 983,"*saus-, *saus-k-", 553,"dry; to dry (tr., intr.)","сухой; сушить/сохнуть",1651,"","śúṣyati `to dry, become dry, fade', śoṣa- m. `drying up, desiccation', śúṣka- `dried, dry'; sūkṣma- `minute, small, fine, thin'","haoš- 'exarescere'; huška- 'trocken'","OPers uška- 'trocken'","","âu̯o-, att. hâu̯o- `dürr, trocken'; áu̯ō = ksēráinō Hdn., apháu̯ei̯ (Ar. Eq. 394); au̯khmó-s m. `Trockenheit, Dürre, Schmutz', au̯khmǟ́ f. `id.'","*sū̀xъ, *sъxnǭtī, *sūšī́tī", 13709,"*saũs-a- adj., *saũs-ē̂-, *saũs- vb. intr., *sus-a- adj., *sus- vb. intr.",   451,"*sauz-á-, *sauz-í- adj.",   648,"","","","","","WP II 447 f; Fraenkel 946","? Lith sùski-s 'Aussatz, Krätze; heruntergekommener, verkommener Mensch', Lett sušk̨is 'jmd., der sich unreinlich hält' [together with śúṣka- can be regarded as a reduplication of *seuk- `squeeze the juice' - but it is extremely dubious!]"
 984,"*sak(')-",2037,"sacred","освященный, святой",1643,"saklai- c. 'Brauch, Sitte; Gewohnheit, Art; Ritus' (Friedrich 176)","","","","","","",     0,"",     0,"*sax-t-i- c., *sax-t-a- adj.",   649,"sacer, -cra `heilig, geweiht'; sacerdōs, gen. -dōtis m./f. `Priester'; sanciō, sānxī, sānctum, -īre 'durch religiöse Weihe unverletzig m., heiligen; ein  Gesetz bestätigen'; sagmen, -inis n. `der heiligende, auf der Burg gepflückte und die Fetialen auf der Gesandtschaft unverletzlich machende Grasbüschel'; sāmenentum, -ī n. `ein Stück Fell, das der Flamen beim Eintritt in die Stadt auf seine Mütze steckt'","Osk  sakoro `sacra (?), acc. sakrím `hostiam', abl. sakrid; sakruvit `sacrat', sakrvist `sacrābit', sakarater `sacrātur', sakraítir `sacrētur', sakrannus `sacrandās', sakahíter `sanciātur, sacrificētur', sakasias `*sacrāriae', sakaraklúm `sacellum, templum'; Paelign sacaracirix `*sacrātrīx, sacerdōs'; Umbr sakra `sacrās', sacre `sacrum'; sacri- `aufs Opfer bezüglich, hostia'","","","B sākre 'blissful, happy; blessed, auspicious' (Adams 680)","WP II 448",""
 985,"*sag-",   0,"coat, cloak","плащ, накидка",1656,"","","","","","","",     0,"*sag-iā̃, *sag-s-t=, *seg-en-iā̃ f.",   452,"",     0,"sagum, -ī n.; sagus, -ī m. `viereckiges Stück groben Wolltuchs als Umwurf, bes. Soldatenmantel'","","","","","WP II 448",""
 986,"*sap-",   0,"juice, pitch","сок, смола",1648,"","","vī-šāpa `dessen Säfte Gift sind'","","ham `Saft, Geschmack'","","",     0,"",     0,"*sa[f]-an- m.; *sap-a- n.",   650,"sapa f.; sapō m. `Mostsaft'; sap-pīnus, -ī f. `Fichte'","","Cymr syb-wydd (gwydd `Bäume') `Föhre', Corn sib-uit `abies'","","","WP II 450 f",""
 987,"*sān-",   0,"healthy, happy","здоровый, благополучный",1647,"","","","","","","",     0,"",     0,"*sōn-ō f.",   651,"sānus, -a `gesund, heil, vernünftig, nüchtern'","Umbr abl. sanes `sānīs'","","","","WP II 452","Quite probably <\X<0.249> *esHa-n-(*asHe-n-)\x 'blood'."
 988,"*sal-", 771,"salt, salty","соль, соленый",1644,"","","","","ał `Salz' (i-St.), ałt (i-St.) `Salzlager', Salz, ałi `salzig'","hál-s, gen. hal-ós m. `Salz', f. poetische Benennung des Meeres; hali- (в сложениях); hálmǟ f. `Salzwasser, Salzlake'","*solь, *solnъ(jь); *soldъkъ(jь)", 13112,"*sal̂- vb. intr., *sal-jā̂ f., *iñ-sal-a- c., *sal̂-d-u- (2) adj., *sal-i-, *sā̃l-i- c.",   453,"*sal-t-a- n., *sal-t-a- adj., *sal-t-a- vb., *sul-t-(i)ō f., *sul-t-ia- adj.; *sul-jō(n-) f.; *sul-u- c., *sul-ō f.",   652,"sāl, gen. salis m.; sale, sal n. `Salz, Salzkörner'; sallō, salsus, sallere `salzen'","Umbr acc. salu `salem'","OIr salann; Cymr halen, OCorn haloin, Bret c'hoalenn, holen `Salz'","","B salyiye 'salt' (Adams 678)","WP II 452 f","Probably same as *sal- 'sea waves'."
 989,"*sal-, *salw-", 541,"dirt, dirty","грязь, грязный",   0,"","sāla-, sāra- 'grey'","","","","","*solvъ(jь)", 13092,"",     0,"*salw-a- adj.",   653,"salīva f. `Speichel'","","Cymr salw `vilis' (sal `vilis' < Fr); OCorn halou `stercora', OBret gl. haloc `lugubri', Cymr halog `befleckt'; OIr sal f. `sordes', Gael sal nasser `Schmutz, Ohrenschmalz, OIr salach `schmutzig', NBret saotr `Schmutz', saotra `beschmutzen'; ? Irl., Gael. saill 'fat'","","B sal 'dirty' (Adams 678)","WP II 453 f",""
 990,"*s(w)al- / -e-",   0,"sea waves","морское волнение",1646,"","","","","","? sálo-s m. `unruhige Bewegung des Meeren, Wogenschwall; Ankerplatz, Reede'","",     0,"",     0,"*síl-ϑ=",   654,"salum, -ī (/ salus m.) `unruhiger Seegang, hohe See; Meer'","","MIr sāl, gen. saile `Meer'","","","WP II 454; probably same as *sal- 'salt' (somewhat different in Pok.).",""
 991,"*sas-",1697,"cereals","растение (злаки)",1649,"","sasyá- `corn, grain, fruit',  sasá- `herb, grass, corn'","hahya- 'Getreide'","","","","",     0,"",     0,"",     0,"","","Gaul acc. (s)asiam Roggen ("secale Taurini sub Alpibus asiam vocant"  Plin. H.N.); Cymr haidd `hordeum', Bret heiz `orge'","","","WP II 454",""
 992,"*swAyən-",   0,"fellow, (younger) relative","парень, (младший) родственник",1653,"","","","","","","",     0,"*swaîn-ia- (1/2) m., -iā̃ (1/2) f.",   455,"*swain-a- m.",   655,"","","","","","WP II 454 f",""
 993,"*sīw-", 249,"juice, water, reservoir","имманентная влага",   0,"","","","","","","",     0,"*sī̂w-a- (1) c., *sīw-iā̃ f.",   456,"*saiw-i- c.",   658,"","","","","","WP II 464",""
 994,"*saim-", 370,"thick liquid","густая жидкость",1658,"","","","","","hâi̯ma n. `(flüssiges) Blut'","",     0,"",     0,"*saim-a- m., n., *saim-ōn- f.",   659,"","","","","","WP II 464 f (different in Pok.)",""
 995,"*sAik-",   0,"vessel (measure)","сосуд (мерный)",1663,"","","","","","","",     0,"*seĩk-a-, *saĩk-a-, *sī̃k-a- c., *seîk-s-n-ia- c.",   457,"*sáix-a- m., *sáix-an- m., *sáix-adl-a- n.",   660,"","","","","","WP II 465 f",""
 996,"*s[e]ip-", 391,"to sift","просеивать",1665,"","","","","","trǘg-oi̯po-s m. `Mostsieb, Mostseihe'","",     0,"",     0,"*sib-í- n., *sif-t-ia- vb.",   661,"","","","","","WP II 467 f",""
 997,"*sūl-",  51,"thick liquid","густая жидкость",1702,"","sū́ra- m. `Soma-juice', súrā f. `spirituous liquor, wine'","hura- 'Trank'","NPers χurā 'Kumys'; χord- 'trinken, essen'","","hǖ́lǟ `Bodensatz, Schleim, Kott, Schlamm, körperliches Sekret', acc. hǖ́lǟ-n 'dregs in wine or water' (tò kathízdon) Phot.","",     0,"*sul-ā̂ f., -iā̃ f.",   458,"*sul-a- n., *sulw-ō f., *sulw-ō- vb., *saul(i)=, *saul-ia- vb.",   662,"","","","","","WP II 468","Iran. *xʷar- 'drink, eat' = Germ. *swilja-, *swilxa-, *swilga- 'swallow'; may be related to *sūl- or represent a separate root (see Pok. 1045)."
 998,"*sūp-", 905,"to gulp; broth, soup","хлебать; суп, бульон",   0,"","sūpa- m. `sauce, soup, broth'","","","","","*sъsā́tī, *sъsā́lъ, *sъ̃sǭ", 13167,"",     0,"*sū́f=, *súf=, *sū́f-l-a- n., *súf-l-a- n.; *sūp-a- vb., *saup=, *sup=, *sup-ō- vb.",   663,"","","","","","WP II 468 f",""
 999,"*sowə-", 329,"to give birth","рож(д)ать; сын",   0,"","sūte, sūyate, inf. sū́tave, sávitave `to beget, procreate, bear', sū́- m. `one who begets, father, mother', sū́tu- f. `child-bearing, pregnancy'; sūnú- m. `son, child'; (?) *su-trī > strī́ 'woman'","hunāmi `gebären, Kinder zur Welt bringen', hazaŋrō-hunā `eine, die 1000 Kinder zur Welt bringt'; hunu- 'son'; strī- f. 'wife, female'","","ustr `Sohn'","hüi̯ó-s, att. hüó-s, aeol. hü̂i̯o-s, älter hüi̯ǘ-s, altatt., lak., gort. hüǘ-s, hǖ́-s m., hom. gen. hü̂i̯-os, dat. hüi̯éi, hüi̯êi̯, hü̂i̯i, acc. hüi̯éa, hü̂i̯a, pl. hüi̯ées, hü̂i̯es, gen. hüi̯éōn, dat. hüiôi̯si, hüi̯ási, acc. hüi̯éas, hü̂i̯as, dual. hüi̯ée, hü̂i̯e m. `Sohn'","*sɨ̄nъ", 13747,"*sū̂-n-u- (2) m.",   459,"*su-n-ú- m., *su-n-í- m., *sōn-V- m.; *sōn-i- c.; *su-x-tr-ian- m.",   664,"","","*sut- > OIr suth `Geburt, Frucht'","","A se, B soy `Sohn' (PT *soy); B soṃśke '(dear) son' (dimin.) ( < *sūnu-) (Adams 702 f)","WP II 469 f",""
1000,"*seuy-; *seiw-/*syew-",   0,"left","левый",1708,"","savyá- `left'","haoya- 'link'","","","","*šūjь(jь)", 17637,"",     0,"",     0,"","","Cymr. aswy, aseu 'left' (*ad-sewi̯o-)","","B saiwai 'left' (Adams 701)","WP II 472",""
1001,"*seug-", 757,"to be sad","печалиться, переживать",1706,"","","","","","","",     0,"*saug-ā̂ f., *saug-u- adj., *saug-iā̃ f., *saug-ē̂- (1) vb.",   460,"*siuk-a- adj., *siuk-a- vb., *suk-ē- vb., *sux-t-i- f., *sūx-sl-i- f.",   665,"","","","","","WP II 472 f",""
1002,"*seg(')-",   0,"seed(s)","семена",1655,"","","","","","","",     0,"",     0,"",     0,"seges, gen. -etis f. `Saat', Sēia `Göttin des Säens'","","OCymr segeticion `prolis',  MCymr se, he `Same', heu (< *hou),  NCymr hau `säen', heuodd `sevit'","","","WP II 480",""
1003,"*sōd-",1158,"soot","сажа",1654,"","","","","","","*sādjā", 12114,"*sō̂d-ia- c., *sō̂d-iā̃ f., *sō̂d-r-ia- (2) c.",   461,"*sōt-a- n.",   666,"","","","","","WP II 483 f",""
1004,"*nizd-",   0,"nest","гнездо",   0,"","nīḍá- m. n. `place for settling down, resting-place, abode; bird's nest'","","","nist `Lage, Sitz, Residenz'","","*gnēzdo",  2767,"*lizd-a- c., *lizd-ā̂ f.",   462,"*nist-a- n.",   667,"nīdus, -ī m. `Nest'","","MIr net `Nest'; Cymr nyth `Nest, Wohnung', Corn neid, Bret nez, neiz `ds.'","","","WP II 483 f",""
1005,"*sām-",1127,"quiet","тихий, спокойный",1682,"","sā́man- n. `calming, tranquilizing, conciliation'","","","","hǟ́mero- `zahm, gezähmt, gesittigt, veredelt'","",     0,"",     0,"",     0,"","","OIr sām `Ruhe', sāim `ruhig, mild'","","","WP II 488 f",""
1006,"*sam-", 865,"summer, year","лето, год",1683,"","sámā f. `a half-year, season, weather, year'","ham- 'Sommer'","","am `Jahr', amarrn `Sommer'","","",     0,"",     0,"*sum-ar-a- n., m.",   668,"","","OIr sam (st. samo-), samrad; Cymr, Corn haf, Bret hañv `Sommer'","","A ṣme 'summer', B ṣmāye 'pertaining to summer' (PT *ṣmiye or *ṣamo) (Adams 668)","WP II 492 f",""
1007,"*sēm-i-",   0,"half-","полу-",1684,"","sāmí `prematurely, incompletely, partially, half'","","","","hēmi- `halb-'","",     0,"",     0,"*sēm-i-",   669,"sēmi- `halb'","","","","","WP II 492",""
1008,"*senə-", 100,"of last year, old","прошлогодний, старый",1691,"","sána- `old, ancient'","hana- 'alt'","","hana-paz `immer', hin `alt'","héno- `alt' (nur in stehenden Redewendungen von Früchten und Beamten des vorigen Jahres, auch von dem letzten Tag des vorigen Monats oder Mondumlaufes, der zugleich den neuen Umlauf einl eitet'; { dí-eno- zweĳährig }","",     0,"*sen-a- adj., *sen-ia- c., *sen̂- vb. intr.",   463,"*sin-i-, *sin-a- adj., *sin-ōn- f.",   670,"senex, gen. senis/senicis `alt, bejahrt; Greis', comp. senior; senēre `bin alt, schwach', senium `Altersschwäche, Verdriesslichkeit'","","OIr sen `alt'; OCorn hen, Bret hen `senex'; Gaul Seno-gnatus, Seneca","","","WP II 494",""
1009,"*sendhr-",   0,"scale, cinder","окалина etc.",1686,"","","","","","","*sę̄dra Kalksinter, Gips", 13797,"",     0,"*sindr-a- n., *sindr-[a]n- m.?, ? *sundr-ia- n.",   671,"","","","","","WP II 497",""
1010,"*sarp- / -e-", 752,"sickle, to cut (with a sickle)","серп; жать серпом",1699,"","","","","","hárpǟ f. `Sichel'","*sьrpъ", 12515,"*sir̃p-a-, -ia- c., -ā̂, -iā̃ f.",   464,"",     0,"sarpiō/sarpō, sarpsī, sarptum, sarpere `beschneiteln die Weinstöcke'","","MIr serr `Sichel'; Cymr ser `ds.'","","","WP II 500 f",""
1011,"*swel-",1569,"mountain (ridge, forest); ridge (of a roof)","гора, холм; конëк крыши",1672,"","","","","","sélma n. { Hes. pl. hélmat-a } `Deck-, Ruderplanke, Ruderbank, Verdeck, Gerüst'; selís, -ídos f. `Querbalken eines Gebäudes, eines Schiffs, Querstück, Querwand, in die Quere laufende Bank- od. Sitzreihe im Theater, Querstreifen od. Kolumne einer Papyrusrolle'","*selmę̄ n., *selmen- m., ? *šelmę̄ 'конëк крыши' (?)", 12866,"*šel̃-mō̃ c. (?)",   465,"*swal-ō(n-) f.; *swal-ia- n., m.; *swil-iō, *sul-iō f., sul-an- m.~n.",   672,"silva f. 'Wald; Holz'","","","","A ṣul, B ṣale (PT *ṣw'äle) 'mountain, hill' (Adams 651)","WP II 503 f, Buck 46.",""
1012,"*sel-", 252,"water-meadow","заливной луг",1679,"","sáras- n. `lake, pond, pool'","","","","hélos n. `feuchte Wiese, sumpfige Niederung, Marschland'","*selo `пахотное поле'", 12434,"",     0,"",     0,"","","","","","WP II 507","Cf. *sel- 'village'."
1013,"*selp-", 983,"fat","жир",1680,"salpa- (salpi- c.) '(Hunde-)Kot' (Friedrich 180)","sarpís- n., sarpi- n. `clarified butter', sr̥prá- `slippery, oily, smooth'","","","","hélpos n. (~ -o-s m.) `olive oil, grease; abundance' (Hes.);  kypr. élphos n. (~ -o-s m.) `(animal) fat' (Hes.); ólpǟ f. `Ölflasche', ólpis, -ios/-idos f. `Weinkanne; Ölflasche'","",     0,"",     0,"*salb-ṓ(n-) f., *salb-ō- vb.",   673,"","","","ǵaĺpε Butter","A ṣälyp, B ṣalype `Fett, Öl' (PT *ṣälype) (Adams 652)","WP II 508",""
